,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Anthony's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rings of Saturn,"Sebald, W.G.",0811214133,9780811214131,0811214133,296        pp,4.23,"15,025",1995,"Apr 01, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2023",,Paperback,view,/book/show/434903.The_Rings_of_Saturn
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Libra,"DeLillo, Don",0140156046,9780140156041,0140156046,480        pp,4.03,"17,767","Aug 15, 1988","May 01, 1991",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2023",,Paperback,view,/book/show/400.Libra
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Under the Volcano,"Lowry, Malcolm",0060955228,9780060955229,0060955228,423        pp,3.77,"24,992",1947,"Apr 26, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2023",,Paperback,view,/book/show/31072.Under_the_Volcano
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Room,"Selby Jr., Hubert",0141195673,9780141195674,0141195673,225        pp,3.70,"6,291",1971,"Aug 25, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2023",,Unknown Binding,view,/book/show/11390922-the-room
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Power of the Dog,"Savage, Thomas",,,,306        pp,4.19,"13,951",1967,"Sep 26, 2009",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 26, 2023","Feb 06, 2023","Jan 26, 2023",,Kindle Edition,view,/book/show/18938171-the-power-of-the-dog
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Netanyahus,"Cohen, Joshua",,,B08S6XW1ZM,248        pp,3.81,"13,645","May 05, 2021","Jun 22, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Nov 25, 2022","Dec 06, 2022","Dec 09, 2022",,Kindle Edition,view,/book/show/57771850-the-netanyahus
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Europe Central,"Vollmann, William T.",0143036599,9780143036593,0143036599,811        pp,3.96,"2,904",2005,"Nov 14, 2005",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 09, 2022","Feb 07, 2023","Dec 09, 2022",,Paperback,view,/book/show/12398.Europe_Central
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Four Thousand Weeks: Time Management for Mortals,"Burkeman, Oliver",,,B08FGV64B1,290        pp,4.23,"79,412","Aug 10, 2021","Aug 10, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Oct 26, 2022","Nov 10, 2022","Dec 09, 2022",,Kindle Edition,view,/book/show/55742688-four-thousand-weeks
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Village Life: Poems,"Glück, Louise",,,B00KF2XXFM,87        pp,4.05,"1,871","Sep 01, 2009","Jul 08, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 04, 2022","Oct 12, 2022","Dec 09, 2022",,Kindle Edition,view,/book/show/23610971-a-village-life
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Art of Dramatic Writing: Its Basis in the Creative Interpretation of Human Motives,"Egri, Lajos",,,B0030H7U94,338        pp,4.17,"3,056",1942,unknown,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Sep 04, 2022not set","Sep 15, 2022not set","Dec 09, 2022",,Kindle Edition,view,/book/show/9215214-the-art-of-dramatic-writing
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Selected Poetry,"Goethe, Johann Wolfgang von",0140424563,9780140424560,0140424563,336        pp,4.12,"1,239",1954,"Dec 27, 2005",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 12, 2022","Oct 14, 2022","Dec 09, 2022",,Paperback,view,/book/show/128836.Selected_Poetry
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Complete Poems of Sappho,Sappho,1590306139,9781590306130,1590306139,224        pp,4.17,"9,452",-550,"Mar 10, 2009",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 04, 2022","Aug 28, 2022","Dec 09, 2022",,Paperback,view,/book/show/5945516-the-complete-poems-of-sappho
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Freedom,"Franzen, Jonathan",0374532575,9780374532574,0374532575,562        pp,3.78,"168,412","Aug 31, 2010","Aug 01, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Aug 14, 2022not set","Aug 29, 2022not set","Dec 09, 2022",,Paperback,view,/book/show/8917496-freedom
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lady from the Sea,"Ibsen, Henrik",1406814504,9781406814507,1406814504,88        pp,3.85,"2,059",1888,"Jan 01, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 07, 2022","Aug 12, 2022","Dec 09, 2022",,Paperback,view,/book/show/634117.The_Lady_from_the_Sea
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Iris : A Memoir of Iris Murdoch,"Bayley, John",0349114293,9780349114293,0349114293,304        pp,3.71,"2,948",1998,"Jan 01, 2002",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jul 16, 2022","Aug 03, 2022","Dec 09, 2022",,Paperback,view,/book/show/1286103.Iris_
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sketch for a Theory of the Emotions,"Sartre, Jean-Paul",041526751X,9780415267519,041526751X,84        pp,3.47,876,1939,"Oct 12, 2001",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jul 20, 2022","Aug 04, 2022","Dec 09, 2022",,Hardcover,view,/book/show/640575.Sketch_for_a_Theory_of_the_Emotions
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Essential Neruda: Selected Poems,"Neruda, Pablo",0872864286,9780872864283,0872864286,200        pp,4.43,"6,291","Jan 01, 1979","Apr 01, 2004",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jul 05, 2022","Aug 13, 2022","Dec 09, 2022",,Paperback,view,/book/show/5931.The_Essential_Neruda
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Complete Poetry,"Angelou, Maya",,,B00N6PEP98,337        pp,4.42,"16,656","Feb 01, 1994","Mar 31, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jul 12, 2022","Sep 04, 2022","Dec 09, 2022",,Kindle Edition,view,/book/show/25254317-the-complete-poetry
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Imaginary,"Sartre, Jean-Paul",0415287553,9780415287555,0415287553,240        pp,3.80,486,1940,"Feb 12, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jul 14, 2022","Jul 31, 2022","Dec 09, 2022",,Paperback,view,/book/show/868921.The_Imaginary
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Murphy,"Beckett, Samuel",0802150373,9780802150370,0802150373,288        pp,3.82,"5,910",1938,"Jan 20, 1994",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jun 24, 2022","Jul 13, 2022","Dec 09, 2022",,Paperback,view,/book/show/333314.Murphy
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Discourse on Colonialism,"Césaire, Aimé",,,B00B2KHQN6,103        pp,4.42,"6,174",1950,"Jan 01, 2001",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 17, 2022",Jun 2022,"Dec 09, 2022",,Kindle Edition,view,/book/show/19091179-discourse-on-colonialism
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crossing to Safety,"Stegner, Wallace",0140133488,9780140133486,0140133488,341        pp,4.16,"46,374",1987,"Mar 15, 1990",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"May 06, 2022","May 25, 2022","Dec 09, 2022",,Paperback,view,/book/show/373479.Crossing_to_Safety
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ballad of Reading Gaol and Other Poems,"Wilde, Oscar",0141192674,9780141192673,B007YXQSL6,180        pp,4.13,"1,840",1896,"Apr 01, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 29, 2022","May 03, 2022","Dec 09, 2022",,Paperback,view,/book/show/8465464-the-ballad-of-reading-gaol-and-other-poems
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Monologue Of A Dog,"Szymborska, Wisława",,,B00TD0N5T6,112        pp,4.29,512,"Nov 07, 2005","Feb 24, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 14, 2022","Apr 28, 2022","Dec 09, 2022",,Kindle Edition,view,/book/show/25007295-monologue-of-a-dog
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chasing Homer,"Krasznahorkai, László",,,B09HDWB2SF,83        pp,3.74,643,"Jun 06, 2019","Nov 02, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 16, 2022","May 12, 2022","Dec 09, 2022",,Kindle Edition,view,/book/show/59527067-chasing-homer
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A House for Mr. Biswas,"Naipaul, V.S.",0375707166,9780375707162,0375707166,564        pp,3.81,"21,089",1961,"Mar 13, 2001",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 18, 2022","Aug 05, 2022","Dec 09, 2022",,Paperback,view,/book/show/768116.A_House_for_Mr_Biswas
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wall and Other Stories,"Sartre, Jean-Paul",0811201902,9780811201902,0811201902,144        pp,4.07,"25,267",1939,"Jan 17, 1969",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 09, 2022","Mar 16, 2022","Dec 09, 2022",,Paperback,view,/book/show/237827.The_Wall_and_Other_Stories
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Inseperables,"Beauvoir, Simone de",,,,148        pp,4.09,"16,648","Oct 07, 2020",2021,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 03, 2022","Mar 07, 2022","Dec 09, 2022",,Hardcover,view,/book/show/60123266-the-inseperables
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Housekeeping,"Robinson, Marilynne",0312424094,9780312424091,0312424094,219        pp,3.81,"53,434","Mar 01, 1980","Nov 01, 2004",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 22, 2022","Nov 11, 2022","Aug 01, 2022",,Paperback,view,/book/show/11741.Housekeeping
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Afterlives,"Gurnah, Abdulrazak",,9781526615893,1526615894,275        pp,3.78,"10,847","Sep 17, 2020","Sep 02, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 29, 2022","Jul 14, 2022","Jun 24, 2022",,Paperback,view,/book/show/59088639-afterlives
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nine Stories,"Salinger, J.D.",0316767727,9780316767729,0316767727,302        pp,4.18,"147,446","Apr 06, 1953","Jan 30, 2001",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,not set,not set,"Jun 15, 2022",,Paperback,view,/book/show/4009.Nine_Stories
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Selected Short Stories,"Maupassant, Guy de",014044243X,9780140442434,014044243X,368        pp,4.15,"3,194","Apr 28, 1971","Apr 28, 1971",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,not set,not set,"Jun 15, 2022",,Paperback,view,/book/show/878136.Selected_Short_Stories
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Poems New And Collected,"Szymborska, Wisława",0156011468,9780156011464,0156011468,275        pp,4.42,"3,357","Jan 01, 1998","Nov 16, 2000",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,not set,"Jun 15, 2022",,Paperback,view,/book/show/10205.Poems_New_And_Collected
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Travels with Herodotus,"Kapuściński, Ryszard",1400078784,9781400078783,1400078784,275        pp,4.05,"8,527","Sep 28, 2004","Jun 10, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Apr 09, 2022","May 15, 2022","Jun 15, 2022",,Paperback,view,/book/show/3328914-travels-with-herodotus
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sound of Things Falling,"Vásquez, Juan Gabriel",1594487480,9781594487484,1594487480,302        pp,3.83,"18,592",May 2011,2014,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 07, 2022",,Hardcover,view,/book/show/16171259-the-sound-of-things-falling
60,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Forsyte Saga, Volume One","Galsworthy, John",0141184183,9780141184180,B00125X4N2,906        pp,4.18,"19,988",1921,"Jan 01, 1967",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 30, 2022",,Paperback,view,/book/show/92080.The_Forsyte_Saga_Volume_One
