,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Canadian Jen's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Good Girl,"Dunne, Michelle*",1504094069,9781504094061,B0CS6PHXQ7,338        pp,4.39,254,unknown,"Mar 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Mar 10, 2024",,Kindle Edition,view,/book/show/205588781-the-good-girl
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Making Up the Gods,"Agnew, Marion*",198898968X,9781988989686,198898968X,383        pp,4.80,10,unknown,"Oct 15, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Mar 06, 2024",,Paperback,view,/book/show/131867899-making-up-the-gods
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,There Are Rivers in the Sky,"Shafak, Elif*",,,B0BLGMP41J,0        pp,4.47,32,unknown,"Aug 08, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Mar 06, 2024",,Kindle Edition,view,/book/show/64431166-there-are-rivers-in-the-sky
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hinterland,"Geiger, Arno",1529003180,9781529003185,B0B1DSLRZY,336        pp,4.04,28,unknown,"Aug 04, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Mar 05, 2024",,Kindle Edition,view,/book/show/62702587-hinterland
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Cheerfully Refuse,"Enger, Leif",0802162932,9780802162939,0802162932,336        pp,4.18,313,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Mar 03, 2024",,Hardcover,view,/book/show/198276006-i-cheerfully-refuse
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Spirit Crossing        (Cork O'Connor, #20)","Krueger, William Kent*",,,B0CL5F4FKJ,336        pp,4.75,4,"Aug 20, 2024","Aug 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Mar 03, 2024",,Kindle Edition,view,/book/show/199898174-spirit-crossing
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Chamber,"Dean, Will",166802117X,9781668021170,166802117X,352        pp,4.64,33,"Aug 06, 2024","Aug 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Mar 03, 2024",,Paperback,view,/book/show/199798109-the-chamber
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Colors of the Dark,"Whitaker, Chris*",0593798872,9780593798874,0593798872,608        pp,4.66,175,"May 21, 2024","Jun 25, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Feb 28, 2024",,Hardcover,view,/book/show/203019740-all-the-colors-of-the-dark
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Begin at the End,"Whitaker, Chris*",1250759668,9781250759665,1250759668,384        pp,4.16,"100,748","Mar 26, 2020","Mar 02, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A spunky 13 year old girl named Duchess. Cleaning up the mess her mother continually leaves behind. Taking care of her little brother when her mother A spunky 13 year old girl named Duchess. Cleaning up the mess her mother continually leaves behind. Taking care of her little brother when her mother is working, drunk or overdosing.She claims to be an outlaw - willing to stand up to anyone who looks at her sideways.But now she’s gone too far. And someone is bent on revenge. This is a story shrouded in mystery, thrilling in fear, a broken child with broken people surrounding her. But there is also a good man who wants to ensure she is protected.Flawed characters with history, regrets and hope. Whitaker charmed me with this story, these characters and the humour threaded in.Sometimes we have to begin at the end to appreciate the journey forward.5⭐️...more",Notes are private!,88,153,1,"Feb 24, 2024","Feb 27, 2024","Feb 24, 2024",,Hardcover,view (with text),/book/show/50279680-we-begin-at-the-end
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Lovely Lie,"Hendricks, Jaime Lynn",1613165196,9781613165195,B0CK566Y44,0        pp,4.26,253,"May 28, 2024","May 28, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,0,not set,not set,"Feb 23, 2024",,Kindle Edition,view,/book/show/69706058-a-lovely-lie
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Limits,"Freudenberger, Nell*",059344888X,9780593448885,059344888X,368        pp,3.96,57,"Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Feb 22, 2024",,Hardcover,view,/book/show/179546868-the-limits
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Mother,"McCann, Colum*",,9798985882452,B0BSPDNQXT,256        pp,4.27,234,unknown,"Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Feb 22, 2024",,Hardcover,view,/book/show/129807687-american-mother
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jackie,"Tripp, Dawn*",0812997212,9780812997217,0812997212,496        pp,4.50,60,"Jun 18, 2024","Jun 18, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Feb 20, 2024",,Hardcover,view,/book/show/201816294-jackie
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Daughters of Smoke and Fire,"Homa, Ava",1683358945,,B07WVF14XM,320        pp,4.25,"1,939","May 12, 2020","May 12, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Assimilate or Annihilate. This was the plight of the Kurdish people.This story takes place in Iran and is the story of Leila, a young girl, who desperAssimilate or Annihilate. This was the plight of the Kurdish people.This story takes place in Iran and is the story of Leila, a young girl, who desperately wants to attend university in a society and culture that suppresses women, suppresses Kurds. A double edged sword. But when her brother goes missing for his political views, her world collapses.From a historical perspective, it was interesting learning about the Kurdish people. How they lost their country when the British drew out maps of Iran, Iraq and Turkey -excluding them. A culture pulverized for its identity, history, language and brutally punished when not complying with the Iranian laws. And of course the oppression of women whose lives were worthless.While I found this to be a revealing story of the devastation these people have suffered -there is much ugliness in the treatment of the Kurds - I had difficulty maintaining my connection with Leila. This didn’t happen until nearing the end of the story. Without revealing any spoilers, she seemed to transition to being inconsistent & unlikeable. Especially when chance gave her an escape from this suffocating and wretched country; Or perhaps it was the naivete of her preconceived notions of a first world country.Overall, 4⭐️...more",Notes are private!,62,130,1,"Mar 17, 2024","Mar 21, 2024","Feb 20, 2024",,Kindle Edition,view (with text),/book/show/50279982-daughters-of-smoke-and-fire
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Family Family,"Frankel, Laurie*",1250236800,9781250236807,1250236800,400        pp,4.05,"7,304","Jan 23, 2024","Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Feb 19, 2024",,Hardcover,view,/book/show/127282881-family-family
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Berlin Letters,"Reay, Katherine*",1400243068,9781400243068,1400243068,368        pp,4.35,"1,058","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2024",,Paperback,view,/book/show/180352054-the-berlin-letters
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Burn,"Heller, Peter",,,,unknown,4.61,18,"Aug 13, 2024","Aug 24, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Feb 17, 2024",,Kindle Edition,view,/book/show/153700027-burn
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shelterwood,"Wingate, Lisa*",0593726502,9780593726501,0593726502,368        pp,4.22,246,"Jun 04, 2024","Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Feb 15, 2024",,Hardcover,view,/book/show/198563674-shelterwood
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cold Crematorium: Reporting from the Land of Auschwitz,"Debreczeni, József",1250290538,9781250290533,B0C1X9675L,248        pp,4.60,805,1950,"Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Feb 11, 2024",,Kindle Edition,view,/book/show/126918752-cold-crematorium
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Arsenic Eater's Wife,"Mitchell, Tonya*",1504093607,9781504093606,B0CQ92MXNY,334        pp,4.09,994,"Feb 08, 2024","Feb 08, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Feb 08, 2024",,Kindle Edition,view,/book/show/203994965-the-arsenic-eater-s-wife
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Unbend the River,"Murphy, Devin*",1625570619,9781625570611,1625570619,175        pp,4.88,8,unknown,"Jan 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Feb 06, 2024",,Paperback,view,/book/show/61159578-unbend-the-river
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Safekeep,"Wouden, Yael van der",1668034344,9781668034347,1668034344,272        pp,4.22,241,"May 28, 2024","May 28, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Feb 03, 2024",,Hardcover,view,/book/show/199798201-the-safekeep
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Listen for the Lie,"Tintera, Amy*",,,B0C4JLQH5C,352        pp,4.22,"34,075","Mar 05, 2024","Mar 05, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Perhaps a more apt title for this would be, ""Listen for the Sarcasm.""This was a delightfully clever story. Everyone thinks Lucy killed her best friendPerhaps a more apt title for this would be, ""Listen for the Sarcasm.""This was a delightfully clever story. Everyone thinks Lucy killed her best friend, Savvy. Yet, there was never enough evidence to convict and Lucy has no recollection of that night. She fled that small town in Texas to end the speculation. Five years later, she returns for her Grandma’s bday and just as coincidental -a podcaster is there recreating that alleged night for his show: Wanting to discover the truth about that night; Wanting to solve the crime: Who did what where and when?I wasn’t sure of the format- previously podcasts within a story didn’t work for me. This one surprisingly did. As for the character, Lucy, she’s sarcastic, witty and interesting. Very likeable. Especially when she talks back to her inner voice. Which is quite vivid about murdering people. Maybe she did do it; Maybe she didn’t. Guess you’ll have to read it to find out.A fun 4.5⭐️...more",Notes are private!,76,133,1,"Mar 23, 2024","Mar 25, 2024","Feb 02, 2024",,Kindle Edition,view (with text),/book/show/150260823-listen-for-the-lie
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Triptych        (Will Trent, #1)","Slaughter, Karin*",,,,393        pp,4.13,"98,928","Aug 15, 2006","Aug 16, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 31, 2024",,Hardcover,view,/book/show/21717.Triptych
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Picasso's Lovers,"Mackin, Jeanne*",1101990562,9781101990568,1101990562,352        pp,3.80,365,"Jan 23, 2024","Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 27, 2024",,Paperback,view,/book/show/139400612-picasso-s-lovers
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Fire,"Lefteri, Christy",0593497287,9780593497289,B0C1YK9V82,323        pp,3.86,"2,405","Aug 17, 2023","Jan 02, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The element of Fire. At its fiercest, it can be a destructive force yet following its path can lead the way for renewed growth and expansion.A small vThe element of Fire. At its fiercest, it can be a destructive force yet following its path can lead the way for renewed growth and expansion.A small village in Greece is “accidentally” decimated by a fire. The wild life, the forest, the flowers all snuffed out and taking in its wake the villager’s spirits. What was once alive and blooming with colours is now a dull grey covered in ash.Lefteri takes us on a journey of loss through her deliberate story telling and character of Irini. The enchanted forest before to the devastation after. The issue of climate change and environmental crisis not just the cause of one man…but many.Once upon a Harry Lime….5⭐️...more",Notes are private!,87,134,1,"Jan 25, 2024",Feb 2024,"Jan 25, 2024",,Kindle Edition,view (with text),/book/show/127488337-the-book-of-fire
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mother Doll,"Apekina, Katya*",1419770950,9781419770951,1419770950,320        pp,4.08,112,"Mar 12, 2024","Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Jan 16, 2024",,Hardcover,view,/book/show/195660554-mother-doll
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All We Were Promised,"Lattimore, Ashton*",0593600150,9780593600153,0593600150,368        pp,4.20,391,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Jan 16, 2024",,Hardcover,view,/book/show/182484361-all-we-were-promised
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Kill for Me, Kill for You","Cavanagh, Steve*",1668049341,9781668049341,1668049341,352        pp,4.28,"13,111","Jul 20, 2023","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 16, 2024",,Hardcover,view,/book/show/176451879-kill-for-me-kill-for-you
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How the Light Gets In,"Maynard, Joyce*",,,B0727TN8C8,0        pp,4.40,30,"Jun 25, 2024","Jun 25, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 16, 2024",,Kindle Edition,view,/book/show/58867951-how-the-light-gets-in
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Butcher,"Oates, Joyce Carol",0593537777,9780593537770,0593537777,352        pp,4.40,5,"May 21, 2024","May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 16, 2024",,Hardcover,view,/book/show/197516630-butcher
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The End of the World Is a Cul de Sac: Stories,"Kennedy, Louise",,,B0BXKGHRDQ,300        pp,3.82,"2,015","Apr 08, 2021","Dec 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 16, 2024",,Kindle Edition,view,/book/show/123504998-the-end-of-the-world-is-a-cul-de-sac
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Briar Club,"Quinn, Kate*",0063244748,9780063244740,0063244748,432        pp,4.48,79,"Jul 09, 2024","Jul 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Jan 12, 2024",,Hardcover,view,/book/show/181110045-the-briar-club
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ragged Edge of Night,"Hawker, Olivia",1503957144,9781503957145,B078JG8M8P,340        pp,4.16,"44,848","Oct 01, 2018","Oct 01, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Jan 10, 2024",,Kindle Edition,view,/book/show/38096424-the-ragged-edge-of-night
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lion Women of Tehran,"Kamali, Marjan*",1668036584,9781668036587,1668036584,336        pp,4.54,130,"Jul 02, 2024","Jul 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Jan 09, 2024",,Hardcover,view,/book/show/199798217-the-lion-women-of-tehran
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bear,"Phillips, Julia*",0525520430,9780525520436,0525520430,304        pp,4.19,183,"Jun 25, 2024","Jun 25, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Jan 08, 2024",,Hardcover,view,/book/show/196056205-bear
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tell Me Everything,"Strout, Elizabeth*",0593446097,9780593446096,0593446097,336        pp,4.63,19,unknown,"Aug 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 07, 2024",,Hardcover,view,/book/show/204811915-tell-me-everything
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"When We Flew Away: A Novel of Anne Frank, Before the Diary        (0)","Hoffman, Alice*",0702337145,9780702337147,B0CRF5V4KP,0        pp,4.50,4,unknown,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Jan 06, 2024",,Kindle Edition,view,/book/show/204790314-when-we-flew-away
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Falling Through the New World,"Reeves, Cynthia*",1737780860,9781737780861,1737780860,172        pp,3.75,8,unknown,"Feb 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Jan 04, 2024",,Paperback,view,/book/show/203435607-falling-through-the-new-world
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,2024 on Goodreads,Various,,,,unknown,4.71,279,2024,2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Jan 03, 2024",,,view,/book/show/195342176-2024-on-goodreads
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Deeper the Water the Uglier the Fish,"Apekina, Katya*",1937512754,9781937512750,1937512754,353        pp,4.08,"4,629","Sep 18, 2018","Sep 18, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What begins as a sad story becomes a warped and twisted one. And it’s intense.Marianne, a mother, is the centre of the universe for her 2 teen daughteWhat begins as a sad story becomes a warped and twisted one. And it’s intense.Marianne, a mother, is the centre of the universe for her 2 teen daughters, Mae & Edie. But when she attempts suicide, the girls are forced to move in with their estranged father. The story is told from multiple POV’s -each voice distinctive in their own perceptions of what they've witnessed in this dysfunctional family.This is about mental illness and abuse- how they become entwined; the victims; the social injustices - the obvious ones but also the hidden ones; the betrayals from the ones who should have been the most trustworthy.The prose is beautiful and poetic; the subject is brutal and raw. A debut from 2018 that flew under the radar. Clearly an author to watch for (Apekina has a new release coming out this year!)Thank you to my GR friends who brought this one to my attention although I’m now emotionally drained.5⭐️...more",Notes are private!,93,140,1,"Jan 14, 2024","Jan 18, 2024","Jan 02, 2024",,Paperback,view (with text),/book/show/40663721-the-deeper-the-water-the-uglier-the-fish
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nothing But the Bones,"Panowich, Brian*",1250835240,9781250835246,1250835240,336        pp,4.49,96,"Apr 16, 2024","Apr 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 01, 2024",,Hardcover,view,/book/show/127280300-nothing-but-the-bones
