,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Glee's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Blood, Sweat & Chrome: The Wild and True Story of Mad Max: Fury Road","Buchanan, Kyle",0063084341,9780063084346,0063084341,384        pp,4.35,"2,933","Feb 22, 2022","Feb 22, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"First of all, I am not a fan of ""action"" movies - I honestly fall asleep during the ""action"" of most movies. I have come to regard the MCU as a colossFirst of all, I am not a fan of ""action"" movies - I honestly fall asleep during the ""action"" of most movies. I have come to regard the MCU as a colossal bore. Mad Max - both Road Warrior and Fury Road are just about 100% action movies. But. I think both are masterpieces. In both, I think I held my breath for two hours. When the Road Warrior came out (40 years ago!!) I tried to get some of my friends to see the movie because I thought it was one of the best ""see what happens when you destroy everything, humans"" pieces of propaganda I'd ever seen. Here's your humanity - little glory, almost all guts - I'd never seen anything to top Road Warrior. Then Miller comes out with Fury Road. My God.I truly have trouble believing that no one died making that movie. This book does a great job of explaining how. Such meticulous planning, such devotion - by cast, crew, craftspeople that make so much out of old junk - junk that would have survived Armageddon. And then there's George Miller. Twenty five years in the making, fighting the movie suits and the Namib desert (not sure which was worse), George wouldn't let go.I couldn't put the book down. And couldn't wait to watch the movie again - which I did, even though I'm sure I had seen it at least three times before. I even bought the movie - (BTW, I am a notorious cheapskate about buying movies, but I had to in this case). Having read this book, I was so much more aware of the details of the story and was brought to tears several times watching the movie. I now knew these actors and crew as human beings, not just people playing parts.I cannot recommend this book enough if you have ANY interest in the movie, or even if you don't....more",Notes are private!,0,0,1,not set,"Aug 15, 2023","Aug 17, 2023",,Hardcover,view (with text),/book/show/57789644-blood-sweat-chrome
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,And Put Away Childish Things,"Tchaikovsky, Adrian*",1786188791,9781786188793,1786188791,208        pp,3.79,"1,351","Mar 28, 2023","Mar 28, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This author continues to amaze me. There is some variability in the quality of his work, but his worst is better than most authors' best. What is stunThis author continues to amaze me. There is some variability in the quality of his work, but his worst is better than most authors' best. What is stunning is the range and seemingly endless things he finds to write about. This (short) novel is definitely an homage to The Lion, The Witch, and The Wardrobe, but it is a Fractured Fairy Tale version. The ""hero"" is a klutz, and the recognizable characters, i.e. the faun, the witch, etc are nothing like they are in the C.S. Lewis version.Kind of a fairy tale horror story with a lot of making fun of middle class social mores... oh yeah, and children's TV shows....more",Notes are private!,0,1,1,not set,"Jul 10, 2023","Jul 10, 2023",,Hardcover,view (with text),/book/show/61273440-and-put-away-childish-things
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"How It Unfolds        (The Far Reaches, #1)","Corey, James S.A.*",1662515723,9781662515729,B0C4R4V6KN,38        pp,4.01,"8,680","Jun 27, 2023","Jun 27, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Very creative, very good writing, very short. It just wasn't The Expanse. But nothing else is. Inventive idea, well written. And free. That's always gVery creative, very good writing, very short. It just wasn't The Expanse. But nothing else is. Inventive idea, well written. And free. That's always good....more",Notes are private!,0,0,1,not set,"Jul 05, 2023","Jul 05, 2023",,Kindle Edition,view (with text),/book/show/151908910-how-it-unfolds
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,"Grann, David*",0385534256,9780385534253,,359        pp,4.15,"340,211","Apr 18, 2017","Apr 18, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Good book, one of the narrators very good (Will Patton), one terrible (Ann Marie Lee), one OK. The unevenness of the narrators bothered me a bit, but Good book, one of the narrators very good (Will Patton), one terrible (Ann Marie Lee), one OK. The unevenness of the narrators bothered me a bit, but I have to admit what really kept the book from 5 star status is that the writing is not good. Remarkable (and painful) story, uneven narration, and really awful writing. I don't expect deathless prose from authors, especially from nonfiction books, but this was deadly. It didn't flow and it didn't hang together.I'm looking forward to the movie!...more",Notes are private!,0,1,1,not set,"Jun 18, 2023","Jul 05, 2023",,ebook,view (with text),/book/show/29496076-killers-of-the-flower-moon
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Smallest Lights in the Universe: A Memoir,"Seager, Sara*",0525576258,9780525576259,0525576258,308        pp,4.12,"2,626","Aug 18, 2020","Aug 18, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I read this within the last year, but somehow forgot to write it up. It was a somewhat first person story that made me very sad. But then not sad. CanI read this within the last year, but somehow forgot to write it up. It was a somewhat first person story that made me very sad. But then not sad. Can't really remember it well enough to do it justice....more",Notes are private!,0,2,1,not set,Jan 2023,"Jun 24, 2023",,Hardcover,view (with text),/book/show/43982439-the-smallest-lights-in-the-universe
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No One Is Talking About This,"Lockwood, Patricia*",0593189582,9780593189580,0593189582,210        pp,3.56,"47,896","Feb 16, 2021","Feb 16, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Extraordinary. I almost threw this book across the room and quit very early on. Just gibberish in the first half of the book, and heartrending prose iExtraordinary. I almost threw this book across the room and quit very early on. Just gibberish in the first half of the book, and heartrending prose in the second half. But the gibberish is a wonderful way to portray what it is like to get sucked into social media - no beginning, no end, no structure at all, just jumping from one incomplete thought to another, just clicking on not necessarily the next thing but something with shared partial thought or impulse until - oh yeah, jump from one incomplete thought to another just related tangentially by a word or phrase until you stop or get interrupted. And you say to yourself - what just happened to the last hour or three and what the hell was I looking for?And the second part breaks your heart - in a kinda good way.One half free of your earthly existence and the second half EXTREMELY grounded in actual existence. Just an amazing feat....more",Notes are private!,0,2,1,"Jun 16, 2023","Jun 18, 2023","Jun 18, 2023",,Hardcover,view (with text),/book/show/53733106-no-one-is-talking-about-this
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Remarkably Bright Creatures,"Van Pelt, Shelby",0063204150,9780063204157,0063204150,360        pp,4.40,"541,249","May 03, 2022","May 03, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I had such high hopes for this book. I feel like I'm being a bit generous with the three stars. I can (sort of) see why people liked it, but I thoughtI had such high hopes for this book. I feel like I'm being a bit generous with the three stars. I can (sort of) see why people liked it, but I thought it was pretty slow moving with not-very-interesting characters. And one of the characters was a lazy man-child who never stopped whining.In contrast, I recently read a book with an octopus POV that was much more believable than this one. He was a real snob about what dimwits humans are....but that one won't be for everyone, either...So I'm glad so many people enjoyed the book - that's always a good thing - but I just don't get it....more",Notes are private!,0,1,1,not set,"May 29, 2023","May 29, 2023",,Hardcover,view (with text),/book/show/58733693-remarkably-bright-creatures
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Straight Man,"Russo, Richard*",0375701907,9780375701900,0375701907,391        pp,4.01,"28,760",1997,"Jun 09, 1998",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I was prompted to read this by the recent TV adaptation of ""Lucky Hank"" starring Bob Odenkirk. I love Odenkirk and I love Russo books, but I had neverI was prompted to read this by the recent TV adaptation of ""Lucky Hank"" starring Bob Odenkirk. I love Odenkirk and I love Russo books, but I had never gotten around to finishing the book. Haven't quite finished the TV series, but it is (so far) a great adaptation. And the book is wonderful. (I do have to admit the the 25 years since it was published have made some of the misogyny come out from behind the curtain. It was there before, but not as loud...)I am all in on Russo's writing - the people, the settings, the daily pettiness in living a life, are all so familiar to me. And not many can write a scene like Russo. I cannot read his stuff with any liquids in my mouth.No great life lessons learned, but I had a great time....more",Notes are private!,0,1,1,not set,May 2023,"May 11, 2023",,Paperback,view (with text),/book/show/414298.Straight_Man
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Act of Oblivion,"Harris, Robert*",006324800X,9780063248007,006324800X,463        pp,4.07,"14,589","Sep 01, 2022","Sep 13, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Interesting and much of the time, a page turner. Reminded me that I never mastered the fact that when ""Cromwell"" was referenced, there were two of theInteresting and much of the time, a page turner. Reminded me that I never mastered the fact that when ""Cromwell"" was referenced, there were two of them of note - Oliver and Thomas. This book is about Oliver. Well, it was about the events that occurred after his followers killed Charles I. And the vengeance that was sought when Charles II was restored to the throne.The historical novel covers the cat-and-mouse game of chasing down the 59 men who were implicated in the overthrow of Charles I. But it got stale. Most of the 59 were tracked down and summarily executed in short order. This book is mostly about two that got away, and their implacable pursuer. It is interesting, but after a while, my interest waned. Mostly, I felt a lot of sympathy for these two who escaped to New England - Boston and Connecticut of the 1660's. Refreshed my thoughts of gratitude that I was NOT a woman of that place or time. Or a man, for that matter, but much worse for women. I don't know which would have been worse - the hard living, or the Puritans. A decent read if this era appeals - it held my interest for about two-thirds of the book, and that's not bad....more",Notes are private!,0,1,1,not set,"Apr 23, 2023","Apr 24, 2023",,Hardcover,view (with text),/book/show/60141403-act-of-oblivion
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The River We Remember,"Krueger, William Kent*",198217921X,9781982179212,198217921X,421        pp,4.32,"46,488","Sep 05, 2023","Sep 05, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I really liked this book. It is for everyone, but for those of us of a certain age, definitely a memory lane trip. The author is about my age (3 yearsI really liked this book. It is for everyone, but for those of us of a certain age, definitely a memory lane trip. The author is about my age (3 years difference), and the novel is set in 1958, a year I remember well. And it would appear upstate New York and the north woods of Minnesota were not very different in terms of the sentiments of their respective populations, based on my own memories growing up. And while the sentiments and judgments ring true, my own small town was much more diverse. But the prejudices run in a very familiar path. It will come across as old-fashioned to many readers younger than 60 or so. But I can say that it rings true.It is a good story (he has written quite a few murder mysteries) and it moves along pretty smoothly. If you are a fan of his, you will enjoy this book. Even if you aren't, you should try it, and you might want to read others....more",Notes are private!,1,1,1,not set,"Dec 02, 2023","Apr 18, 2023",,Hardcover,view (with text),/book/show/101160844-the-river-we-remember
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Children of Memory        (Children of Time, #3)","Tchaikovsky, Adrian*",1529087201,,B09ZFBFWN9,486        pp,4.04,"17,273","Nov 24, 2022","Nov 24, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I don't know if this is the final book of a trilogy or not. I don't care. If he keeps writing them, I'll keep reading them. Even though each of the boI don't know if this is the final book of a trilogy or not. I don't care. If he keeps writing them, I'll keep reading them. Even though each of the books are great, they do increase in difficulty, or at least, they did for me. No matter. All are brilliant.Some commentators seem to think each of the books can be stand alone novels. As lost as I got at times, I don't think I could have made it through without all of the buildup in Children of Time, Children of Ruin, and then this one. But whatever your experience, mine was wonderful. Even with the occasional brain fog and confusion. (That's what you get when you keep the headphones on even as you are falling asleep.)I am promising myself to read all three again, in sequence. This may be another promise to myself that I am unlikely to keep, but I sure hope I do. I have read Lonesome Dove several times, and it only gets richer. This has the same potential for me. I think. Long live Adrian Tchaikovsky!...more",Notes are private!,0,1,1,not set,"Apr 02, 2023","Apr 15, 2023",,Kindle Edition,view (with text),/book/show/60850767-children-of-memory
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lost in Time,"Riddle, A.G.*",1804541753,9781804541753,B09TCFTSPH,455        pp,4.22,"20,155","Sep 01, 2022","Sep 01, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Well, sheesh. Strong start, even though the writing was not very good. Good idea, but over time (see what I did there), it collapsed under its own weiWell, sheesh. Strong start, even though the writing was not very good. Good idea, but over time (see what I did there), it collapsed under its own weight. Kind of like a 100 piece puzzle, but with 1,000 pieces. After a while it grew so confusing and without good reason that I could tell, I kept loosing track and by then I didn't care. Final reveals underwhelming.But. It was fast paced, so if that's your thing, maybe you'll enjoy this more than I did....more",Notes are private!,0,1,1,not set,"Mar 26, 2023","Mar 27, 2023",,Kindle Edition,view (with text),/book/show/60522318-lost-in-time
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Light Pirate,"Brooks-Dalton, Lily*",1538708272,9781538708279,1538708272,336        pp,4.05,"27,741","Dec 06, 2022","Dec 06, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Feb 26, 2023","Feb 27, 2023",,Hardcover,view,/book/show/60468332-the-light-pirate
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lessons in Chemistry,"Garmus, Bonnie*",,,,390        pp,4.30,"1,230,733","Mar 31, 2022","Apr 05, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Feb 20, 2023","Feb 27, 2023",,Hardcover,view,/book/show/58065033-lessons-in-chemistry
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ring of Bright Water        (Ring of Bright Water, #1)","Maxwell, Gavin",0140249729,9780140249729,0140249729,240        pp,4.13,"3,244",1960,"Oct 06, 1987",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jan 09, 2023","Feb 27, 2023",,Paperback,view,/book/show/1075635.Ring_of_Bright_Water
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Moonstone,"Collins, Wilkie",0375757856,9780375757853,0375757856,528        pp,3.91,"93,128","Aug 01, 1868","Sep 11, 2001",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Feb 13, 2023","Feb 27, 2023",,Paperback,view,/book/show/6138.The_Moonstone
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Alaska,"Michener, James A.",037576142X,9780375761423,037576142X,868        pp,4.15,"14,684","May 12, 1988","Nov 12, 2002",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A remarkable book, but I am exhausted. I like long books, but this was.....There were some hiccups, but the ambition of the book was fully realized. TA remarkable book, but I am exhausted. I like long books, but this was.....There were some hiccups, but the ambition of the book was fully realized. The only complaints I have are (1) the end of the book felt choppy and somewhat thrown together, as if the author either couldn't figure out how to tie it up, or was just sandwiching things in to come to a close; (2) the anthropomorphism of all the critters was a bit much at times [I don't need to be in the head of a fingerling salmon or a grannie mammoth, thanks anyway], and (3) as mentioned, I am exhausted.I always felt certain that I have read Michener before, but I'm not sure now. But I would recommend this book to anyone who is interested in the amazing history of Alaska - just take your time....more",Notes are private!,0,2,1,"Jan 02, 2023","Jan 21, 2023","Jan 22, 2023",,Paperback,view (with text),/book/show/42953.Alaska
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Brilliant Night of Stars and Ice,"Connolly, Rebecca*",1629729922,9781629729923,1629729922,320        pp,4.09,"3,262","Apr 05, 2022","Apr 03, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I'm a sucker for Titanic re-tellings, and this is a good one. It moves back and forth in the chapters from two perspectives: Captain Arthur Henry RostI'm a sucker for Titanic re-tellings, and this is a good one. It moves back and forth in the chapters from two perspectives: Captain Arthur Henry Rostron of the Carpathia and Kate Connelly, a third class passenger of the Titanic.Very well done, and yes, a few more tears....more",Notes are private!,0,1,1,not set,"Dec 08, 2022","Dec 08, 2022",,Hardcover,view (with text),/book/show/58564876-a-brilliant-night-of-stars-and-ice
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Desert Star        (Renée Ballard, #5; Harry Bosch, #24; Harry Bosch Universe, #37)","Connelly, Michael*",0316421464,9780316421461,B09QKSLPN9,400        pp,4.49,"66,937","Nov 04, 2022","Nov 08, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Well, I thought the last Bosch book might have been the last. Obviously not. But - I think this may be the last, although I'm guessing this would be tWell, I thought the last Bosch book might have been the last. Obviously not. But - I think this may be the last, although I'm guessing this would be the next to last. Can't blame Connelly for not wanting to let go. I don't either. Still a satisfying mystery and resolution, but Harry is clearly on his way out. A whole lot of commentary about how old Harry is, especially by punks/thugs who will regret their commentary.Still a good read, but really feel like we are doing a long farewell tour....more",Notes are private!,0,0,1,not set,"Dec 04, 2022","Dec 04, 2022",,Kindle Edition,view (with text),/book/show/60219987-desert-star
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bewilderment,"Powers, Richard",0393881148,9780393881141,0393881148,278        pp,3.92,"59,188","Sep 21, 2021","Sep 21, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Extraordinary book. In reading through other people's s, I could understand some of the negative comments, but they were a bit difficult for me Extraordinary book. In reading through other people's s, I could understand some of the negative comments, but they were a bit difficult for me to accept. Yes, the science was probably oversimplified, but my science knowledge is not so vast that it posed a problem - the concepts were clear and I didn't need more than that. Also, the complaint that a major part of the plot was very similar to that of another novel didn't disturb me because that prior novel was one of the greatest of all time. Well, particularly for the 1960's. And, yes, there was some unnecessary political showcasing.But what does set this book apart is the sheer poetry of Powers' writing. I re-read sentences just to savor them. And to appreciate what he can do with words.Anyway, good story and wonderful writing. My Thanksgiving is complete....more",Notes are private!,0,1,1,not set,"Nov 27, 2022","Nov 27, 2022",,Hardcover,view (with text),/book/show/56404444-bewilderment
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,To The Bright Edge of the World,"Ivey, Eowyn*",0316242853,9780316242851,0316242853,417        pp,4.13,"20,722","Aug 02, 2016","Aug 02, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"While I'm not generally a fan of magic, I am a fan of magical folklore. Which is where I am choosing to place this book. Also historical fiction, whicWhile I'm not generally a fan of magic, I am a fan of magical folklore. Which is where I am choosing to place this book. Also historical fiction, which I love.Allen Forrester is in charge of a military expedition into interior Alaska in 1885. Newly married to Sophie, their separation is painful. Sophie is just the kind of person/woman I really admire. She has figured herself out on a basic level, and lives her life according to her own precepts. As such, she takes up photography in the early days of that craft/profession. The novel is largely an epistolary story, again one of my favorite styles.Anyway, I'm going on about the novel without getting to its intrinsic wonder. I can't do it justice. There is elegant prose, unbelievable events, and good characters. There are also a few plot holes. I don't care. As people who know me are aware, I'm a sucker for Alaska based stories, especially in the 19th century, and in particular a sucker for expeditions into very inhospitable territory, while sitting in front of a fire with a cozy blanket.The characters are not necessarily heroic, but very human. Extraordinary, but flawed.I can only suggest you read the book, rather then waste more time reading my prattling....more",Notes are private!,0,1,1,not set,"Nov 15, 2022","Nov 16, 2022",,Hardcover,view (with text),/book/show/27917957-to-the-bright-edge-of-the-world
