,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Mari's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Io sono Dio,"Faletti, Giorgio",8860734053,9788860734051,8860734053,523        pp,3.73,"3,572",2009,"Apr 19, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 09, 2023",,Hardcover,view,/book/show/6729483-io-sono-dio
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ho paura torero,"Lemebel, Pedro",8871683927,9788871683928,8871683927,202        pp,4.49,"11,155",2001,"Apr 29, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 08, 2023","May 19, 2023","May 08, 2023",,Paperback,view,/book/show/9696766-ho-paura-torero
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tina Modotti. Fuoco che non muore,"Ebano, Gabriella",8832055244,9788832055245,8832055244,0        pp,3.00,3,unknown,"Dec 31, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 08, 2023","Mar 11, 2023","May 08, 2023",,Paperback,view,/book/show/50369270-tina-modotti-fuoco-che-non-muore
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Avviso ai naviganti,"Proulx, Annie",8875219257,9788875219253,8875219257,470        pp,3.88,"146,085",1993,"May 10, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 26, 2023","May 06, 2023","May 08, 2023",,Paperback,view,/book/show/40096241-avviso-ai-naviganti
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"La parola alla difesa        (Hercule Poirot, #22)","Christie, Agatha",880417269X,9788804172697,880417269X,194        pp,3.93,"39,382",Mar 1940,1983,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 24, 2023","Jan 28, 2023","Jan 30, 2023",,Paperback,view,/book/show/9789244-la-parola-alla-difesa
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Paradiso e inferno,"Stefánsson, Jón Kalman",887091190X,9788870911909,887091190X,241        pp,4.17,"5,957",2007,"May 10, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 03, 2023","Jan 20, 2023","Jan 13, 2023",,Paperback,view,/book/show/13558166-paradiso-e-inferno
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La cena del cuore: Tredici parole per Emily Dickinson,"Masini, Beatrice",8895689194,9788895689197,8895689194,112        pp,4.17,30,2015,2015,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 09, 2022","Dec 13, 2022","Jan 13, 2023",,Paperback,view,/book/show/25738905-la-cena-del-cuore
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Questo immenso non sapere: Conversazioni con alberi, animali e il cuore umano","Candiani, Chandra Livia",8806247611,9788806247614,8806247611,159        pp,4.06,835,"Aug 31, 2021","Aug 31, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Nov 10, 2022not set","Nov 13, 2022not set","Jan 13, 2023",,Paperback,view,/book/show/58699695-questo-immenso-non-sapere
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La libreria sulla collina,"Donati, Alba",8806253824,9788806253820,8806253824,194        pp,3.50,"2,618","Apr 26, 2022","Apr 26, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 04, 2022","Sep 10, 2022","Jan 13, 2023",,Paperback,view,/book/show/60834154-la-libreria-sulla-collina
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A nuoto verso casa,"Levy, Deborah",8811684986,9788811684985,8811684986,154        pp,3.41,"13,967","Oct 06, 2011","Sep 11, 2014",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 16, 2022","Aug 18, 2022","Jan 13, 2023",,Hardcover,view,/book/show/23172346-a-nuoto-verso-casa
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Le lettere di Esther,"Pivot, Cécile",8817158747,9788817158749,8817158747,288        pp,3.78,492,"Aug 19, 2020","Jan 11, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 08, 2022","Aug 11, 2022","Jan 13, 2023",,Paperback,view,/book/show/59932593-le-lettere-di-esther
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gli sdraiati,"Serra, Michele",8807018349,9788807018343,8807018349,112        pp,3.14,"5,403","Oct 27, 2013","Nov 06, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 09, 2022","Jun 11, 2022","Jan 13, 2023",,Paperback,view,/book/show/18758671-gli-sdraiati
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Virginia Woolf,"Gabriele, Liuba",8833141802,9788833141800,8833141802,127        pp,3.72,320,2021,"Oct 07, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 25, 2022","Apr 25, 2022","Apr 27, 2022",,Paperback,view,/book/show/59239819-virginia-woolf
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A questo poi ci pensiamo,"Torre, Mattia",8835713072,9788835713074,,180        pp,3.65,285,"Oct 19, 2021","Oct 19, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 04, 2022","Apr 10, 2022","Apr 27, 2022",,ebook,view,/book/show/59435221-a-questo-poi-ci-pensiamo
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Morsi,"Peano, Marco",883010504X,9788830105041,883010504X,192        pp,2.94,"1,098",unknown,"Jan 19, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 10, 2022","Mar 15, 2022","Apr 27, 2022",,Paperback,view,/book/show/60138111-morsi
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Felici tutti i giorni,"Colwin, Laurie",8869980995,9788869980992,B075DCWQM1,172        pp,3.86,"5,422","Sep 12, 1978","Sep 07, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 10, 2022","Feb 24, 2022","Apr 27, 2022",,ebook,view,/book/show/36275500-felici-tutti-i-giorni
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Le otto montagne,"Cognetti, Paolo*",880623983X,9788806239831,880623983X,208        pp,4.10,"43,470",Nov 2016,"Oct 23, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Jan 26, 2022not set","Jan 31, 2022not set","Feb 02, 2022",,Paperback,view,/book/show/42420581-le-otto-montagne
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ofelia,"Stevenson, Florence",8861929230,9788861929234,8861929230,186        pp,3.64,80,1968,Jun 2015,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 04, 2022","Jan 24, 2022","Jan 04, 2022",,Paperback,view,/book/show/25925667-ofelia
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La vita perfida,"Condé, Maryse",8833570681,9788833570686,8833570681,320        pp,3.73,165,1987,Oct 2018,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 18, 2021","Oct 17, 2021","Nov 10, 2021",,Paperback,view,/book/show/42925729-la-vita-perfida
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il nostro bisogno di consolazione,"Dagerman, Stig",,,,48        pp,4.24,"1,476",1952,"May 01, 1991",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 14, 2021","Oct 14, 2021","Nov 10, 2021",,Paperback,view,/book/show/1773183.Il_nostro_bisogno_di_consolazione
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il valore affettivo,"Verna, Nicoletta",8806248685,9788806248680,8806248685,304        pp,4.03,630,"Mar 30, 2021","Mar 30, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,https://bricioleditempo.blogspot.com/...https://bricioleditempo.blogspot.com/......more,Notes are private!,0,0,1,"Jun 11, 2021","Jun 15, 2021","Jun 11, 2021",,Paperback,view (with text),/book/show/57195430-il-valore-affettivo
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La libreria della rue Charras,"Adimi, Kaouther",8899793506,9788899793500,8899793506,200        pp,3.71,"3,208","Aug 17, 2017",May 2018,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jun 04, 2021","Jun 10, 2021","Jun 04, 2021",,Paperback,view,/book/show/40198413-la-libreria-della-rue-charras
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Casa di bambola,"Ibsen, Henrik",880467248X,9788804672487,880467248X,157        pp,3.76,"145,115",1879,"Nov 25, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 24, 2021","May 27, 2021","May 26, 2021",,Paperback,view,/book/show/44512684-casa-di-bambola
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il weekend,"Wood, Charlotte*",8894938816,9788894938814,8894938816,240        pp,3.39,"13,955","Oct 15, 2019","Aug 06, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"May 17, 2021not set","May 22, 2021not set","May 26, 2021",,Paperback,view,/book/show/54769225-il-weekend
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Marie-Claire,"Audoux, Marguerite",8861928218,9788861928213,8861928218,144        pp,3.70,117,1910,"Jan 28, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 08, 2021","May 16, 2021","May 26, 2021",,Paperback,view,/book/show/24805893-marie-claire
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Un litro di lacrime,"Kito, Aya",8817154679,9788817154673,8817154679,190        pp,4.17,"4,571","Feb 01, 1986",Feb 2021,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 26, 2021","May 05, 2021","Apr 26, 2021",,Paperback,view,/book/show/57860580-un-litro-di-lacrime
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Academy Street,"Costello, Mary",8833926044,9788833926049,8833926044,179        pp,3.68,"2,252",2014,"Mar 12, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Apr 2021,"Apr 17, 2021","Apr 26, 2021",,Paperback,view,/book/show/26182495-academy-street
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ferito,"Everett, Percival",8865591218,9788865591215,8865591218,240        pp,3.95,884,2005,2012,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,http://bricioleditempo.blogspot.com/2...http://bricioleditempo.blogspot.com/2......more,Notes are private!,0,0,1,"Mar 08, 2021","Mar 21, 2021","Apr 26, 2021",,Paperback,view (with text),/book/show/16154477-ferito
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Leggere Lolita a Teheran,"Nafisi, Azar*",8845921549,9788845921544,8845921549,379        pp,3.65,"134,260",2003,"Mar 01, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 30, 2021","Feb 20, 2021","Jan 30, 2021",,Paperback,view,/book/show/3996063-leggere-lolita-a-teheran
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Quando eravamo eroi,"Muccino, Silvio",8893444062,9788893444064,8893444062,240        pp,3.70,158,unknown,"Mar 08, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 24, 2021","Jan 29, 2021","Jan 24, 2021",,Paperback,view,/book/show/39683856-quando-eravamo-eroi
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La chiave di Sara,"Rosnay, Tatiana de*",880462020X,9788804620204,880462020X,321        pp,4.18,"474,841","Sep 01, 2006",Jan 2012,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,http://bricioleditempo.blogspot.com/2...http://bricioleditempo.blogspot.com/2......more,Notes are private!,0,1,1,"Jan 21, 2021","Jan 24, 2021","Jan 21, 2021",,Hardcover,view (with text),/book/show/13490301-la-chiave-di-sara
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La novella degli scacchi,"Zweig, Stefan",8867232746,9788867232741,8867232746,91        pp,4.27,"128,426",1942,2017,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Su un piroscafo diretto da New York a Buenos Aires, viaggiano Mirko Czentovic, campione di scacchi a livello mondiale e il misterioso Dr. B. PreferiscSu un piroscafo diretto da New York a Buenos Aires, viaggiano Mirko Czentovic, campione di scacchi a livello mondiale e il misterioso Dr. B. Preferisco tralasciare gran parte della trama, vista la brevità della novella ed arrivare al nodo centrale della storia, che vede i due protagonisti scontrarsi davanti ad una scacchiera che racchiude in sé fantasmi del passato e proiezioni del futuro. Da un lato c’è Czentovic, un uomo privo di passione, analfabeta e attaccato al denaro dall’altro il Dr. B., che negli scacchi ha trovato un’ancora di salvezza per fuggire, almeno mentalmente, da una realtà che lo avrebbe annientato. Gli scacchi sono un mezzo, una metafora, che Zweig abilmente usa per raccontarci i sentimenti che lo stanno tormentando e che probabilmente lo condurranno al suicidio pochi mesi dopo la pubblicazione di questo libro.Poche, bellissime, drammatiche pagine, in cui Zweig esprime tutto sé stesso, l’amarezza, l’ossessione, le illusioni spazzate via dal nazismo. Solo un piccolo spiraglio di luce, un’emozione che fa tremare le ginocchia al Dr. B: la vista di un libro “parole allineate, righe, pagine e fogli […] pensieri da accogliere nel cervello, capaci di distrarre.”...more",Notes are private!,0,0,1,"Jan 20, 2021","Jan 20, 2021","Jan 20, 2021",,Paperback,view (with text),/book/show/41882448-la-novella-degli-scacchi
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cacao,"Amado, Jorge",8806177176,9788806177171,8806177176,136        pp,3.63,"1,007",1933,"Jun 21, 2006",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Di Jorge Amado avevo già letto Dona Flor e i suoi due mariti e Gabriela garofano e cannella, due romanzi completamente diversi da Cacao. ProbabilmenteDi Jorge Amado avevo già letto Dona Flor e i suoi due mariti e Gabriela garofano e cannella, due romanzi completamente diversi da Cacao. Probabilmente perché quest’ultimo è il secondo libro che ha scritto, quindi più acerbo o forse perché, come lui stesso dichiara, è un racconto, il più onesto possibile, sulla condizione dei braccianti delle fazendas. Mancano, in questa storia, i colori e i profumi di Bahia, ma prendono forma altri temi molto cari ad Amado, quello della denuncia sociale e della “Coscienza di classe.” Josè Cordeiro, detto il Sergipano per via della regione da cui proviene, nasce benestante, ma alla morte del padre, lo zio si impossessa dell’azienda di famiglia lasciandolo senza un soldo. Inizia così a lavorare prima come operaio e poi come bracciante nella fazenda Fraternità. Il nome, ovviamente, trae in inganno. La vitta alla roça è durissima; fagioli come pasto, una tavola di legno per dormire, una misera paga e la fatica nei campi da mattina a sera. È in questa situazione che giorno dopo, si insinuano in lui la consapevolezza di voler cambiare qualcosa e il senso di appartenenza.“Solo parecchio tempo dopo ho saputo che il gesto di Honório non si chiamava generosità. Aveva un nome più bello: Coscienza di Classe.”Poche pagine, semplici ma intense. Amado ha la capacità di rendere reali le scene che racconta e di far emergere l’anima popolare brasiliana in ogni sua opera....more",Notes are private!,0,1,1,"Jan 19, 2021","Jan 20, 2021","Jan 19, 2021",,Paperback,view (with text),/book/show/9697121-cacao
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"L'Odissea: raccontata da Penelope, Circe, Calipso e le altre","Oliva, Marilù",8828203617,9788828203612,8828203617,224        pp,3.16,"1,637","Feb 06, 2020","Feb 06, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 06, 2021","Jan 17, 2021","Jan 06, 2021",,Paperback,view,/book/show/51294850-l-odissea
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gli anni al contrario,"Terranova, Nadia",8806217313,9788806217310,8806217313,144        pp,3.51,694,"Jan 13, 2015","Jan 13, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,https://bricioleditempo.blogspot.com/...https://bricioleditempo.blogspot.com/......more,Notes are private!,0,0,1,Jan 2021,"Jan 03, 2021","Jan 05, 2021",,Paperback,view (with text),/book/show/24485907-gli-anni-al-contrario
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chi manda le onde,"Genovesi, Fabio",8804662549,9788804662549,8804662549,391        pp,3.70,942,"Feb 03, 2015","May 31, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Non mi è dispiaciuta del tutto questa storia. Ci sono pagine molto tenere, c'è la spensieratezza di quell'età che va dall'infanzia all'adolescenza. PuNon mi è dispiaciuta del tutto questa storia. Ci sono pagine molto tenere, c'è la spensieratezza di quell'età che va dall'infanzia all'adolescenza. Purtroppo, però ci sono anche troppe scene grottesche e personaggi talmente immaturi da risultare insopportabili, per questo non riesco a dargli più della sufficienza. Troppo strampalato e con qualche pagina di troppo....more",Notes are private!,0,0,1,"Dec 15, 2020","Dec 29, 2020","Jan 05, 2021",,Paperback,view (with text),/book/show/30359923-chi-manda-le-onde
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dio di illusioni,"Tartt, Donna",8858656857,9788858656853,,622        pp,4.17,"742,039","Sep 16, 1992",Feb 2014,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Oct 11, 2020not set","Nov 25, 2020not set","Jan 05, 2021",,ebook,view,/book/show/31680766-dio-di-illusioni
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La fattoria degli animali,"Orwell, George",8852021701,9788852021701,,125        pp,3.99,"3,884,181","Aug 17, 1945",2011,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Un libro ingannevole. All’inizio si ha l’impressione di leggere una storia per ragazzi, il testo poi è talmente scorrevole che non si impiega molto a Un libro ingannevole. All’inizio si ha l’impressione di leggere una storia per ragazzi, il testo poi è talmente scorrevole che non si impiega molto a finirlo.L’intento di Orwell era di attaccare Stalin e il suo regime, alla fine però, la storia lascia l’amaro in bocca perché è di un’attualità sconvolgente. Passa il tempo, molte cose cambiano, ma non la natura umana; avidità e potere, cinismo e rassegnazione sono caratteristiche comuni a tutte le epoche a quanto pare, così come la disumanità.Non ne siamo usciti migliori in passato, non ne usciremo migliori neanche oggi!""Le creature di fuori guardavano dal maiale all'uomo e dall'uomo al maiale e ancora dal maiale all'uomo, ma già era loro impossibile distinguere fra i due.""...more",Notes are private!,0,3,1,"Oct 02, 2020","Oct 06, 2020","Jan 05, 2021",,ebook,view (with text),/book/show/51206206-la-fattoria-degli-animali
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La fioraia del Giambellino,"Teruzzi, Rosa",8845497364,9788845497360,B072L46QND,173        pp,3.68,362,May 2017,"May 18, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 16, 2020","Sep 19, 2020","Sep 23, 2020",,Kindle Edition,view,/book/show/35162218-la-fioraia-del-giambellino
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La felicità del cactus,"Haywood, Sarah*",8807032929,9788807032929,8807032929,362        pp,3.57,"69,678","Jan 25, 2018","Jun 14, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 18, 2020","Aug 25, 2020","Sep 23, 2020",,Paperback,view,/book/show/40527561-la-felicit-del-cactus
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I segreti del giovedì sera,"Seminara, Elvira",8806243977,9788806243975,8806243977,200        pp,2.70,60,"Jul 07, 2020","Jul 07, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 27, 2020","Jul 30, 2020","Jul 27, 2020",,Paperback,view,/book/show/54433201-i-segreti-del-gioved-sera
