,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Kasia's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Last Hellion        (Scoundrels, #4)","Chase, Loretta",0380776170,9780380776177,0380776170,379        pp,4.00,"8,104","Apr 01, 1998","Apr 01, 1998",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 20, 2024",,Mass Market Paperback,view,/book/show/958521.The_Last_Hellion
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Captives of the Night        (Scoundrels, #2)","Chase, Loretta",0425209652,9780425209653,0425209652,352        pp,3.66,"3,139","Feb 01, 1994","May 02, 2006",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 20, 2024",,Mass Market Paperback,view,/book/show/132602.Captives_of_the_Night
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Falling Stars,"Chase, Loretta",1943772355,,B018GZS6B0,64        pp,3.81,507,Nov 1992,"Nov 23, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 20, 2024",,Kindle Edition,view,/book/show/27970525-falling-stars
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Daniels' Running Formula,"Daniels, Jack",0736054928,9780736054928,0736054928,304        pp,4.25,"4,513","May 01, 1998","Oct 01, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 11, 2024",,Paperback,view,/book/show/112152.Daniels_Running_Formula
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eiger Dreams: Ventures Among Men and Mountains,"Krakauer, Jon*",0385488181,9780385488181,0385488181,186        pp,4.03,"23,415",1990,"May 19, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Paperback,view,/book/show/1897.Eiger_Dreams
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Into the Wild,"Krakauer, Jon*",0385486804,9780385486804,0385486804,203        pp,4.01,"1,090,153","Jan 13, 1996","Feb 01, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Paperback,view,/book/show/1845.Into_the_Wild
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fingerprints Of God,"Hancock, Graham*",0770427251,9780770427252,0770427251,607        pp,4.16,"13,604",1995,"Jun 01, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Mass Market Paperback,view,/book/show/1380741.Fingerprints_Of_God
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"River God        (Ancient Egypt, #1)","Smith, Wilbur",0312954468,9780312954468,0312954468,664        pp,4.22,"40,679",1993,"Feb 15, 1995",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Mass Market Paperback,view,/book/show/429138.River_God
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heretic Queen,"Author Moran, Michelle*",0307381757,9780307381750,0307381757,383        pp,4.21,"25,280","Aug 07, 2008","Sep 16, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Hardcover,view,/book/show/2897258-the-heretic-queen
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rise and Fall of Ancient Egypt,"Wilkinson, Toby",0747599491,9780747599494,0747599491,646        pp,4.12,"5,026","Aug 02, 2010","Aug 02, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Hardcover,view,/book/show/8536070-the-rise-and-fall-of-ancient-egypt
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Homo Deus: A History of Tomorrow,"Harari, Yuval Noah",,,,450        pp,4.21,"250,137",2015,"Feb 21, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Kindle Edition,view,/book/show/31138556-homo-deus
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Silk Roads,"Frankopan, Peter",1408839970,9781408839973,1408839970,636        pp,4.17,"39,273",2015,"Aug 27, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Hardcover,view,/book/show/25812847-silk-roads
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Genghis Khan and the Making of the Modern World,"Weatherford, Jack",,,B000FCK206,352        pp,4.05,"73,576","Mar 16, 2004",Jul 2018,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Kindle Edition,view,/book/show/40718726-genghis-khan-and-the-making-of-the-modern-world
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Upheaval: Turning Points for Nations in Crisis,"Diamond, Jared",,,0316409138,512        pp,3.90,"10,135","May 07, 2019","May 07, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Hardcover,view,/book/show/41716904-upheaval
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Win Friends and Influence People,"Carnegie, Dale",,,,288        pp,4.22,"979,634",Oct 1936,1998,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Dec 27, 2000",not set,"Dec 27, 2023",,Paperback,view,/book/show/4865.How_to_Win_Friends_and_Influence_People
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Królestwo,"Twardoch, Szczepan",8308068006,9788308068007,8308068006,352        pp,4.09,"3,054","Oct 31, 2018","Oct 31, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Hardcover,view,/book/show/42166718-kr-lestwo
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Król,"Twardoch, Szczepan",8308062245,9788308062241,8308062245,432        pp,4.20,"8,601","Oct 12, 2016","Oct 12, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Paperback,view,/book/show/31817750-kr-l
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Keep House While Drowning: A Gentle Approach to Cleaning and Organizing,"Davis, K.C.",,,B09JPHQZQZ,156        pp,4.26,"49,613","Apr 26, 2022","Apr 26, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Kindle Edition,view,/book/show/60139504-how-to-keep-house-while-drowning
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dead Wake: The Last Crossing of the Lusitania,"Larson, Erik*",0307408868,9780307408860,0307408868,430        pp,4.11,"144,164",2015,"Mar 03, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Hardcover,view,/book/show/22551730-dead-wake
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nefertiti,"Author Moran, Michelle*",0307381463,9780307381460,0307381463,463        pp,4.09,"38,936","Jul 10, 2007","Jul 10, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Hardcover,view,/book/show/481446.Nefertiti
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"I, Claudius        (Claudius, #1)","Graves, Robert",067972477X,9780679724773,067972477X,468        pp,4.24,"66,601",1934,"Oct 23, 1989",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Paperback,view,/book/show/18765.I_Claudius
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Unknown Americans,"Henríquez, Cristina*",0385350848,9780385350846,0385350848,286        pp,3.89,"43,099","Jun 03, 2014","Jun 03, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Hardcover,view,/book/show/18465852-the-book-of-unknown-americans
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Funny Story,"Henry, Emily*",0593441222,9780593441282,B0CCNBRNRQ,395        pp,4.52,"3,523","Apr 23, 2024","Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Hardcover,view,/book/show/194802722-funny-story
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Women,"Hannah, Kristin*",1250178630,9781250178633,,480        pp,4.69,"223,794","Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Hardcover,view,/book/show/127305853-the-women
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sure, I'll Join Your Cult: A Memoir of Mental Illness and the Quest to Belong Anywhere","Bamford, Maria",1982168560,9781982168568,B0BVN1M6G2,287        pp,3.84,"13,399","Sep 05, 2023","Sep 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 22, 2023",,Hardcover,view,/book/show/112093865-sure-i-ll-join-your-cult
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Congratulations, the Best is Over!","Thomas, R. Eric*",0593496264,9780593496268,0593496264,240        pp,4.10,"5,195","Aug 08, 2023","Aug 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 22, 2023",,Hardcover,view,/book/show/71872896-congratulations-the-best-is-over
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tough Titties: On Living Your Best Life When You're the F-ing Worst,"Belgray, Laura",0306826046,9780306826047,0306826046,320        pp,3.62,"1,422",unknown,"Jun 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 22, 2023",,Hardcover,view,/book/show/62873978-tough-titties
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,It Was an Ugly Couch Anyway: And Other Thoughts on Moving Forward,"Passarella, Elizabeth*",1400219019,9781400219018,1400219019,256        pp,4.01,"2,957",2023,"May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 22, 2023",,Paperback,view,/book/show/61349388-it-was-an-ugly-couch-anyway
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Quietly Hostile: Essays,"Irby, Samantha*",0593315693,9780593315699,0593315693,290        pp,3.72,"15,498","May 16, 2023","May 16, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 22, 2023",,Paperback,view,/book/show/62052300-quietly-hostile
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ultra-Processed People: The Science Behind Food That Isn't Food,"Tulleken, Chris van",1324036729,9781324036722,1324036729,384        pp,4.44,"13,879","Apr 27, 2023","Jun 27, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 22, 2023",,Hardcover,view,/book/show/62586003-ultra-processed-people
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Never Finished: Unshackle Your Mind and Win the War Within,"Goggins, David*",1544534086,9781544534084,1544534086,312        pp,4.45,"27,918","Dec 06, 2022","Dec 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 22, 2023",,Hardcover,view,/book/show/63102846-never-finished
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lord Perfect        (Carsington Brothers, #3)","Chase, Loretta",,,,304        pp,4.05,"6,505","Mar 07, 2006","Mar 07, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Nov 19, 2023","Nov 22, 2023",,Mass Market Paperback,view,/book/show/132598.Lord_Perfect
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Don't Tempt Me        (Fallen Women, #2)","Chase, Loretta",006163266X,9780061632662,006163266X,353        pp,3.82,"4,324","Jun 30, 2009","Jun 30, 2009",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Nov 22, 2023","Nov 22, 2023",,Mass Market Paperback,view,/book/show/5307483-don-t-tempt-me
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Last Night's Scandal        (Carsington Brothers, #5)","Chase, Loretta",0061632678,9780061632679,B0072B68OC,361        pp,3.92,"4,859","Jul 27, 2010","Jul 27, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Nov 16, 2023","Nov 22, 2023",,Mass Market Paperback,view,/book/show/6957680-last-night-s-scandal
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ten Things I Hate About the Duke        (Difficult Dukes, #2)","Chase, Loretta",0062457403,9780062457400,0062457403,386        pp,3.94,"5,191","Dec 01, 2020","Dec 01, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Nov 10, 2023","Nov 22, 2023",,Mass Market Paperback,view,/book/show/52037043-ten-things-i-hate-about-the-duke
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Silk Is for Seduction        (The Dressmakers, #1)","Chase, Loretta",0061632686,9780061632686,0061632686,371        pp,3.91,"12,301","Jun 28, 2011","Jun 28, 2011",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Nov 03, 2023","Nov 22, 2023",,Mass Market Paperback,view,/book/show/9466068-silk-is-for-seduction
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Secrets of Sir Richard Kenworthy        (Smythe-Smith Quartet, #4)","Quinn, Julia*",0062072943,9780062072948,0062072943,378        pp,3.67,"24,766","Jan 27, 2015","Jan 27, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Oct 18, 2023","Oct 22, 2023",,Mass Market Paperback,view,/book/show/22046656-the-secrets-of-sir-richard-kenworthy
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Lady's Guide to Scandal        (A Lady's Guide, #2)","Irwin, Sophie",0593492005,9780593492000,0593492005,359        pp,3.83,"8,640","Jul 06, 2023","Jul 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 06, 2023",,Paperback,view,/book/show/63018956-a-lady-s-guide-to-scandal
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Never Wager with a Wallflower        (The Merriwell Sisters, #3)","Heath, Virginia*",1250787807,9781250787804,1250787807,320        pp,3.73,"2,564","Nov 07, 2023","Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 04, 2023",,Paperback,view,/book/show/65213479-never-wager-with-a-wallflower
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Never Rescue a Rogue        (The Merriwell Sisters, #2)","Heath, Virginia*",1250787785,9781250787781,1250787785,368        pp,3.93,"5,157","Nov 02, 2022","Nov 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 04, 2023",,Paperback,view,/book/show/59808217-never-rescue-a-rogue
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,French Silk,"Brown, Sandra*",1455574325,9781455574322,1455574325,576        pp,3.86,"10,777","May 08, 1992","Nov 19, 2013",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 29, 2023",Sep 2023,"Aug 29, 2023",,Mass Market Paperback,view,/book/show/17860852-french-silk
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hero,"Perry, Thomas*",,,B0C8XK5GKN,336        pp,4.09,"1,497","Jan 16, 2024","Jan 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 17, 2023",,Kindle Edition,view,/book/show/179940681-hero
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Simply the Best        (Chicago Stars, #10)","Phillips, Susan Elizabeth*",,,B0C5942RFN,382        pp,4.16,"3,634","Feb 13, 2024","Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 17, 2023",,Kindle Edition,view,/book/show/156007545-simply-the-best
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,White Hot,"Brown, Sandra*",,,B000FC297K,608        pp,4.03,"15,859",2004,2016,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 17, 2023","Aug 27, 2023","Aug 17, 2023",,Kindle Edition,view,/book/show/40195402-white-hot
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Make Yourself Miserable,"Greenburg, Dan",0394731689,9780394731681,0394731689,113        pp,3.66,195,1966,"Jan 01, 1976",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 11, 2023",,Paperback,view,/book/show/598825.How_to_Make_Yourself_Miserable
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House Is on Fire,"Beanland, Rachel*",1982186143,9781982186142,1982186143,376        pp,4.11,"15,492","Apr 04, 2023","Apr 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 11, 2023",,Hardcover,view,/book/show/61273814-the-house-is-on-fire
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Big Swiss,"Beagin, Jen",1982153083,9781982153083,1982153083,336        pp,3.69,"62,678","Feb 07, 2023","Feb 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 11, 2023",,Hardcover,view,/book/show/60701439-big-swiss
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dear Edward,"Napolitano, Ann*",198485478X,9781984854780,198485478X,340        pp,4.08,"179,400","Jan 06, 2020","Jan 06, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 11, 2023",,Hardcover,view,/book/show/45294613-dear-edward
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Deadline,"Brown, Sandra*",1455501514,9781455501519,1455501514,410        pp,4.12,"20,094","Sep 24, 2013","Sep 24, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 10, 2023","Aug 14, 2023","Aug 10, 2023",,Hardcover,view,/book/show/17333403-deadline
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Unspeakable,"Brown, Sandra*",0340836431,9780340836439,0340836431,486        pp,3.93,"10,568","Jan 01, 1998","Nov 08, 2004",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Aug 08, 2023","Aug 09, 2023",,Paperback,view,/book/show/30375.Unspeakable
