,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,L.K.'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Letters of E.B. White,"White, E.B.",0060757086,9780060757083,0060757086,736        pp,4.13,903,1976,"Nov 28, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 31, 2022",not set,"Aug 02, 2022",,Hardcover,view,/book/show/10810.Letters_of_E_B_White
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Quiet: The Power of Introverts in a World That Can't Stop Talking,"Cain, Susan*",0307352145,9780307352149,0307352145,333        pp,4.08,"435,279","Jan 24, 2012","Jan 24, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 29, 2022",,Hardcover,view,/book/show/8520610-quiet
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Man Who Fell to Earth,"Tevis, Walter",0345431618,9780345431615,0345431618,209        pp,4.05,"13,970",Feb 1963,"Sep 28, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 20, 2022",,Paperback,view,/book/show/396329.The_Man_Who_Fell_to_Earth
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Night Songs        (The Bedford County Series Book 1),"Sienes, Jennifer*",1951839560,9781951839567,1951839560,384        pp,4.70,46,unknown,"Apr 12, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 15, 2022",,Paperback,view,/book/show/60808458-night-songs
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fiction Writer's Guide to Dialogue: A Fresh Look at an Essential Ingredient of the Craft,Hough,,,B00R3L74VM,165        pp,3.99,134,"Feb 03, 2015","Feb 17, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 14, 2022",,Kindle Edition,view,/book/show/28074340-the-fiction-writer-s-guide-to-dialogue
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Far Way to Run (2)        (2) (Turnaround in Texas),"Altebaumer, Lori*",1667840924,9781667840925,1667840924,358        pp,4.70,23,unknown,"May 26, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 04, 2022",,Paperback,view,/book/show/60779140-a-far-way-to-run-2
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Finding Sarah        (Pine Hills Police #1),"Odell, Terry*",,,B005P3GR7C,331        pp,4.06,"1,838","Feb 15, 2007","Dec 03, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 02, 2022",,Kindle Edition,view,/book/show/18987166-finding-sarah
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Worst Case Scenario,"Enmon, Larry*",1957529415,9781957529417,B09RWC2Z1H,389        pp,4.91,11,unknown,"Mar 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 24, 2022",,Kindle Edition,view,/book/show/60743556-worst-case-scenario
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vanishing Act of Esme Lennox,"O'Farrell, Maggie*",,,,277        pp,3.92,"42,989",2006,"Feb 26, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 17, 2022",,Paperback,view,/book/show/250729.The_Vanishing_Act_of_Esme_Lennox
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Laser Trap,"Dibianca, Frank",1645263681,9781645263685,1645263681,320        pp,4.04,47,"Jun 07, 2022","Jun 07, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Graduate student Dan Butler has a lot going for him, but he has a problem. Dan chokes every time he tries to talk with a young woman. Not good for a gGraduate student Dan Butler has a lot going for him, but he has a problem. Dan chokes every time he tries to talk with a young woman. Not good for a guy who's looking for the love of his life. Dan's crippling shyness soon becomes the least of his worries when an organization targets him to hijack his laser research for nefarious purposes. Laser Trap takes readers on a high-stakes ride with plenty of suspense, friendship, and even love along the way. Highly recommend!...more",Notes are private!,0,2,1,"Apr 17, 2022","Apr 21, 2022","Apr 17, 2022",,Paperback,view (with text),/book/show/59796976-laser-trap
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lost Daughter,"Ferrante, Elena",1933372427,9781933372426,1933372427,140        pp,3.73,"47,019","Jan 01, 2006","Apr 01, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2022",,Paperback,view,/book/show/1058564.The_Lost_Daughter
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,An Actual Life,"Thomas, Abigail",068483751X,9780684837512,068483751X,240        pp,3.62,351,1996,"Nov 04, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2022",,Paperback,view,/book/show/221077.An_Actual_Life
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,As Time Unfolds,"Zerfoss, Barbara*",1631957422,9781631957420,1631957422,294        pp,4.14,92,"May 03, 2022","May 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2022",,Paperback,view,/book/show/59704547-as-time-unfolds
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Forget the Alamo: The Rise and Fall of an American Myth,"Burrough, Bryan",1984880098,9781984880093,1984880098,416        pp,4.26,"4,890","Jun 08, 2021","Jun 08, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 28, 2022",,Hardcover,view,/book/show/55411740-forget-the-alamo
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Diablo Mesa        (Nora Kelly, #3)","Preston, Douglas*",1538736756,9781538736753,1538736756,385        pp,4.07,"14,107","Feb 15, 2022","Feb 15, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 27, 2022",,Hardcover,view,/book/show/58340961-diablo-mesa
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Such Deliverance as This: Such a Hope Series,"Velez, Rebecca*",1732292132,9781732292130,B07WTR3ZG7,321        pp,4.33,49,"Dec 13, 2013","Aug 19, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 27, 2022",,Kindle Edition,view,/book/show/52339329-such-deliverance-as-this
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Safekeeping: Some True Stories from a Life,"Thomas, Abigail",0385720556,9780385720557,0385720556,192        pp,4.21,"1,811",2000,"Apr 17, 2001",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A remarkable, brief, and beautifully written memoir of a woman, a mother, a sister, a daughter, a wife making her way through an ordinary life that shA remarkable, brief, and beautifully written memoir of a woman, a mother, a sister, a daughter, a wife making her way through an ordinary life that she makes extraordinary. Abigail Thomas's remembrance is welcoming, compassionate, funny, and frequently poignant. Sentences like ""You died, and the past separated itself from me like a continent drifting away."" held so much meaning and imagery that I read them over and over. Definitely a favorite I'll return to in the coming years. This one's a keeper. Highly recommend!...more",Notes are private!,0,0,1,"Mar 11, 2022","Apr 20, 2022","Feb 26, 2022",,Paperback,view (with text),/book/show/221075.Safekeeping
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sounds Like Titanic: A Memoir,"Hindman, Jessica Chiccehitto*",0393357732,9780393357738,0393357732,272        pp,3.89,"3,127","Feb 12, 2019","Feb 11, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2022",,Paperback,view,/book/show/45894060-sounds-like-titanic
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Unconsoled,"Ishiguro, Kazuo*",057122539X,9780571225392,057122539X,535        pp,3.58,"15,610",1995,1995,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2022",,Paperback,view,/book/show/40117.The_Unconsoled
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Red Moon,"Percy, Benjamin*",145554535X,9781455545353,145554535X,832        pp,3.37,"5,987","May 07, 2013","May 07, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 16, 2022","Mar 16, 2022","Feb 16, 2022",,Hardcover,view,/book/show/15826602-red-moon
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cloud Cuckoo Land,"Doerr, Anthony*",1982168439,9781982168438,1982168439,626        pp,4.26,"214,086","Sep 28, 2021","Sep 28, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 16, 2022",,Hardcover,view,/book/show/56783258-cloud-cuckoo-land
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Something in the Water,"Steadman, Catherine*",1524797189,9781524797188,1524797189,342        pp,3.57,"197,576","Jun 05, 2018","Jun 05, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 16, 2022",,Hardcover,view,/book/show/36388243-something-in-the-water
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are so You Can Become Who You Were Meant to Be","Hollis, Rachel*",1400201659,9781400201655,,220        pp,3.58,"257,617","Feb 06, 2018","Feb 06, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2022",,Hardcover,view,/book/show/35754629-girl-wash-your-face
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Other Half of Happy,"Balcárcel, Rebecca*",,,,332        pp,4.12,934,"Aug 20, 2019","Aug 20, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2022",,Kindle Edition,view,/book/show/35178488-the-other-half-of-happy
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Sea, the Sea","Murdoch, Iris",014118616X,9780141186160,014118616X,528        pp,3.95,"21,836",1978,"Mar 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 04, 2022",,Paperback,view,/book/show/11229.The_Sea_the_Sea
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All Adults Here,"Straub, Emma*",159463470X,9781594634703,159463470X,384        pp,3.58,"81,874","May 04, 2020","Apr 13, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 04, 2022",,Paperback,view,/book/show/57165446-all-adults-here
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Storm's Fury        (Amelia Storm #1),"Stone, Mary*",,,B08S6MY2DX,335        pp,4.34,"10,816","Jan 04, 2021","Jan 04, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2022",,Kindle Edition,view,/book/show/56567896-storm-s-fury
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Notes on an Execution,"Kukafka, Danya*",,,B09292JSZF,308        pp,4.08,"88,960","Jan 25, 2022","Jan 25, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2022",,Kindle Edition,view,/book/show/57698794-notes-on-an-execution
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sorrow and Bliss,"Mason, Meg*",0063049597,9780063049598,0063049597,352        pp,4.10,"99,733","Sep 02, 2020","Mar 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 20, 2022",,Paperback,view,/book/show/58064080-sorrow-and-bliss
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rules for Visiting,"Kane, Jessica Francis*",0525559221,9780525559221,0525559221,290        pp,3.74,"13,065","May 14, 2019","May 14, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 15, 2022",,Hardcover,view,/book/show/41880608-rules-for-visiting
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Romeo's Way        (Mike Romeo #2),"Bell, James Scott*",,,,247        pp,4.41,"1,138","May 31, 2016","May 31, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 15, 2022","Feb 12, 2022","Jan 15, 2022",,Kindle Edition,view,/book/show/30336868-romeo-s-way
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Family Chao,"Chang, Lan Samantha*",0393868079,9780393868074,0393868079,303        pp,3.36,"9,086","Feb 01, 2022","Feb 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 15, 2022",,Hardcover,view,/book/show/58085230-the-family-chao
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dawn Girl        (Special Agent Tess Winnett, #1)","Wolfe, Leslie*",,,,231        pp,4.32,"14,815","Aug 30, 2016","Aug 30, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Kept me turning pages.,Notes are private!,0,0,1,"Jan 15, 2022","Jan 30, 2022","Jan 13, 2022",,Kindle Edition,view (with text),/book/show/56929474-dawn-girl
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Ninth Metal        (The Comet Cycle, #1)","Percy, Benjamin*",0358331536,9780358331537,0358331536,304        pp,3.69,"2,154","Jun 01, 2021","Jun 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 13, 2022",,Hardcover,view,/book/show/53968532-the-ninth-metal
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shadows of the Past        (Logan Point #1),"Bradley, Patricia*",0800722604,9780800722609,0800722604,352        pp,4.09,"5,479","Feb 04, 2014","Feb 04, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 12, 2022",,Paperback,view,/book/show/18059992-shadows-of-the-past
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fragile Things: Short Fictions and Wonders,"Gaiman, Neil*",,,,384        pp,3.96,"69,814","Sep 25, 2006","Jan 25, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2022",,Paperback,view,/book/show/59903442-fragile-things
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Project Hail Mary,"Weir, Andy*",0593135202,9780593135204,0593135202,476        pp,4.51,"565,584","May 04, 2021","May 04, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 01, 2022",,Hardcover,view,/book/show/54493401-project-hail-mary
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hell of a Book,"Mott, Jason*",059333096X,9780593330968,059333096X,323        pp,4.05,"22,966","Jun 29, 2021","Jun 29, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 01, 2022",,Hardcover,view,/book/show/55964195-hell-of-a-book
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Winter in Sokcho,"Dusapin, Elisa Shua",1911547542,9781911547549,1911547542,154        pp,3.57,"20,285","Aug 19, 2016","Feb 20, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 01, 2022",,Paperback,view,/book/show/52873922-winter-in-sokcho
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mixed Company: Stories,"Shank, Jenny*",1680032615,9781680032611,1680032615,245        pp,4.21,34,unknown,"Nov 16, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 24, 2021",,Paperback,view,/book/show/58049398-mixed-company
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Time After Tyme,"Dibianca, Kay*",1735788864,9781735788869,B09MSMXK3C,278        pp,4.27,79,unknown,"Nov 29, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Kay DiBianca brings a new twist in her latest novel of The Watch series of cozy mysteries - a precocious preteen named Reen. Reen will have you cheeriKay DiBianca brings a new twist in her latest novel of The Watch series of cozy mysteries - a precocious preteen named Reen. Reen will have you cheering and groaning while the adults around her try to keep up. Get ready for a clever, engaging tale and a fascinating cast of characters. Time After Tyme keeps you guessing with Kate and Cece until the very end....more",Notes are private!,0,2,1,Dec 2021,"Dec 11, 2021","Dec 11, 2021",,Kindle Edition,view (with text),/book/show/59740134-time-after-tyme
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bright Side Sanctuary for Animals,"Mandelbaum, Becky*",1982112980,9781982112981,1982112980,336        pp,3.62,920,"Aug 04, 2020","Aug 04, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 07, 2021",,Hardcover,view,/book/show/52765833-the-bright-side-sanctuary-for-animals
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Diablo Mesa        (Nora Kelly #3),"Preston, Douglas*",154913342X,9781549133428,,unknown,4.07,"14,107","Feb 15, 2022","Feb 15, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 07, 2021",,Audiobook,view,/book/show/57505821-diablo-mesa
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Brilliant Night of Stars and Ice,"Connolly, Rebecca*",1629729922,9781629729923,1629729922,320        pp,4.09,"3,261","Apr 05, 2022","Apr 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 06, 2021",,Hardcover,view,/book/show/58564876-a-brilliant-night-of-stars-and-ice
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"To Be Taught, If Fortunate","Chambers, Becky*",0062936018,9780062936011,0062936018,153        pp,4.20,"43,384","Aug 08, 2019","Sep 03, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 27, 2021",,Paperback,view,/book/show/43190272-to-be-taught-if-fortunate
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Piranesi,"Clarke, Susanna",163557563X,9781635575637,163557563X,272        pp,4.23,"280,811","Sep 15, 2020","Sep 15, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 25, 2021",,Hardcover,view,/book/show/50202953-piranesi
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The End of the World: Stories of the Apocalypse,"Greenberg, Martin H.",,,B00BFXWEW8,12        pp,3.59,"1,533","Jul 08, 2010","Feb 28, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 06, 2021",not set,"Nov 06, 2021",,Audible Audio,view,/book/show/46150507-the-end-of-the-world
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Extinction        (The Remaining, #6)","Molles, D.J.*",0316261645,9780316261647,0316261645,480        pp,4.37,"3,190","Jul 28, 2015","Jul 28, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A satisfying end to the six-book series. Thank you, D.J. Molles for the world you built and the characters you populated it with. They were absolutelyA satisfying end to the six-book series. Thank you, D.J. Molles for the world you built and the characters you populated it with. They were absolutely absorbing. Christian Rummel's narration of the audiobooks was flawless and riveting. I enjoyed it immensely. ...more",Notes are private!,0,0,1,Oct 2021,"Oct 23, 2021","Oct 24, 2021",,Mass Market Paperback,view (with text),/book/show/23612516-extinction
