,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Jolynn's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Story of a New Name        (The Neapolitan Novels, #2)","Ferrante, Elena",,,1609451341,471        pp,4.44,"179,009","Sep 22, 2012","Sep 03, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 30, 2023",,Paperback,view,/book/show/17465515-the-story-of-a-new-name
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Woman in Me,"Spears, Britney",1668009048,9781668009048,1668009048,288        pp,3.91,"383,426","Oct 24, 2023","Oct 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 25, 2023",,Hardcover,view,/book/show/63133205-the-woman-in-me
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Horse,"Brooks, Geraldine*",0399562966,9780399562969,0399562966,401        pp,4.28,"128,810","Jun 14, 2022","Jun 14, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 11, 2023",,Hardcover,view,/book/show/59109077-horse
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Utopia for Realists: How We Can Build the Ideal World,"Bregman, Rutger*",,,B01MXDBTWM,262        pp,4.22,"37,139","Sep 14, 2014","Mar 14, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 10, 2023",,Paperback,view,/book/show/40876575-utopia-for-realists
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Grass Is Singing,"Lessing, Doris",0002257556,9780002257558,0002257556,208        pp,3.83,"13,697",1950,"Mar 06, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 10, 2023",,Hardcover,view,/book/show/130115.The_Grass_Is_Singing
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bridges of Madison County,"Waller, Robert James",0446364495,9780446364492,0446364495,224        pp,3.69,"97,104","Apr 13, 1992","Sep 01, 1995",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 18, 2023",,Mass Market Paperback,view,/book/show/83674.The_Bridges_of_Madison_County
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Demon Copperhead,"Kingsolver, Barbara",0063252015,9780063252011,0063252015,548        pp,4.51,"397,691","Oct 18, 2022","Oct 18, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 15, 2023","Oct 16, 2023","Aug 15, 2023",,Paperback,view,/book/show/60506185-demon-copperhead
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Month in the Country,"Carr, J.L.",0940322471,9780940322479,0940322471,160        pp,4.12,"15,908",1980,"Oct 31, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 13, 2023",,Paperback,view,/book/show/60707.A_Month_in_the_Country
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Funny Story,"Henry, Emily*",0593441281,,0593441281,400        pp,4.52,"3,545","Apr 23, 2024","Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 02, 2023",,Hardcover,view,/book/show/194803835-funny-story
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Different Drummer,"Kelley, William Melvin",,,0385413904,205        pp,4.22,"2,595",1964,"May 01, 1990",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 17, 2023",,Paperback,view,/book/show/570438.A_Different_Drummer
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Comanche Moon,"McMurtry, Larry",,,,716        pp,4.11,"16,280",1997,2003,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 16, 2023",,Paperback,view,/book/show/26212088-comanche-moon
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Opium Prince,"Aimaq, Jasmine*",1641291583,9781641291583,1641291583,384        pp,3.69,625,"Dec 01, 2020","Dec 01, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 10, 2023",,Hardcover,view,/book/show/54267153-the-opium-prince
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Excavations,"Michell, Hannah*",0593596056,9780593596050,0593596056,320        pp,3.82,432,"Jul 11, 2023","Jul 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 08, 2023",,Hardcover,view,/book/show/63946932-excavations
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Where Late the Sweet Birds Sang,"Wilhelm, Kate",0060146540,9780060146542,0060146540,251        pp,3.85,"10,359","Jan 01, 1976","Dec 01, 1977",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 08, 2023",,Hardcover,view,/book/show/968827.Where_Late_the_Sweet_Birds_Sang
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pod,"Paull, Laline*",1639363718,9781639363711,1639363718,272        pp,3.63,"2,643","Feb 09, 2022","Feb 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 27, 2023",,Hardcover,view,/book/show/61272986-pod
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Unfortunately Yours        (A Vine Mess, #2)","Bailey, Tessa*",0063239035,9780063239036,0063239035,384        pp,3.82,"70,586","Jun 06, 2023","Jun 06, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 26, 2023","Jul 03, 2023","Jun 26, 2023",,Paperback,view,/book/show/62365891-unfortunately-yours
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sounds Fake But Okay,"Costello, Sarah",1839970014,9781839970016,1839970014,160        pp,3.65,538,"Feb 21, 2023","Feb 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 14, 2023","Jun 15, 2023","Jun 15, 2023",,Paperback,view,/book/show/61475786-sounds-fake-but-okay
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In the Lives of Puppets,"Klune, T.J.*",125021744X,9781250217448,125021744X,432        pp,3.94,"58,921","Apr 25, 2023","Apr 25, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Jun 05, 2023",,Hardcover,view,/book/show/60784549-in-the-lives-of-puppets
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Love Letters for Joy,"See, Melissa*",1338875418,9781338875416,B0B84CGXTN,320        pp,3.68,375,"Jun 06, 2023","Jun 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 05, 2023",,Kindle Edition,view,/book/show/60850243-love-letters-for-joy
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Gods Themselves,"Asimov, Isaac",0553288105,9780553288100,0553288105,293        pp,4.09,"63,455",1972,"May 04, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jun 28, 2023","Jul 09, 2023","Jun 05, 2023",,Mass Market Paperback,view,/book/show/724667.The_Gods_Themselves
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,"Grann, David*",0385534256,9780385534253,,359        pp,4.15,"340,077","Apr 18, 2017","Apr 18, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 25, 2023",,ebook,view,/book/show/29496076-killers-of-the-flower-moon
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Finding Me,"Davis, Viola",1669639460,9781669639466,,9        pp,4.56,"116,042","Apr 26, 2022","Apr 26, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"May 23, 2023","May 29, 2023","May 23, 2023",,Audiobook,view,/book/show/60611726-finding-me
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A History of Burning,"Oza, Janika",1538724243,9781538724248,1538724243,400        pp,4.14,"3,046","May 02, 2023","May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 17, 2023",,Hardcover,view,/book/show/62315839-a-history-of-burning
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Long Game        (The Long Game, #1)","Armas, Elena*",1668011301,9781668011300,1668011301,373        pp,3.61,"53,999","Sep 05, 2023","Sep 05, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Sep 15, 2023",Oct 2023,"May 10, 2023",,Paperback,view,/book/show/101144869-the-long-game
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When We Were Sisters,"Asghar, Fatimah",0593133463,9780593133460,0593133463,352        pp,3.94,"5,162","Oct 18, 2022","Oct 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 04, 2023",,Hardcover,view,/book/show/60279775-when-we-were-sisters
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Misery,"King, Stephen*",,,,310        pp,4.21,"698,199","Jun 08, 1987","Jun 08, 1987",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 03, 2023",,Hardcover,view,/book/show/534679.Misery
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cutting for Stone,"Verghese, Abraham*",0375414495,9780375414497,,560        pp,4.32,"386,977",2009,"Feb 03, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 01, 2023",,Hardcover,view,/book/show/3591262-cutting-for-stone
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Covenant of Water,"Verghese, Abraham*",,,,724        pp,4.47,"150,482","May 02, 2023","May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 01, 2023",,Hardcover,view,/book/show/62687857-the-covenant-of-water
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Indifferent Stars Above: The Harrowing Saga of a Donner Party Bride,"Brown, Daniel James*",0061348104,9780061348105,0061348104,288        pp,4.25,"26,105","Apr 28, 2009","Apr 28, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 30, 2023",,Hardcover,view,/book/show/6033525-the-indifferent-stars-above
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Loved and Missed,"Boyt, Susie",,,,unknown,4.28,"1,310","Sep 19, 2023",Aug 2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 24, 2023",,,view,/book/show/58283993-loved-and-missed
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Still Born,"Nettel, Guadalupe",1913097668,9781913097660,1913097668,219        pp,4.13,"15,120",Sep 2020,"Jun 22, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 24, 2023",,Paperback,view,/book/show/59115451-still-born
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Count of Monte Cristo,"Dumas, Alexandre",0140449264,9780140449266,0140449264,"1,276        pp",4.30,"913,607","Aug 28, 1844","May 27, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 22, 2023",,Paperback,view,/book/show/7126.The_Count_of_Monte_Cristo
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Came the Lightening: Twenty Poems for George,"Harrison, Olivia",1905662734,9781905662739,1905662734,104        pp,4.61,128,unknown,"Jun 21, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Apr 20, 2023","May 02, 2023","Apr 20, 2023",,Hardcover,view,/book/show/60115060-came-the-lightening
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Kid,Sapphire*,1594203040,9781594203046,1594203040,374        pp,2.70,"2,532","Jan 01, 2011","Jul 05, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 19, 2023",,Hardcover,view,/book/show/10095413-the-kid
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bluest Eye,"Morrison, Toni",0307278441,9780307278449,0307278441,206        pp,4.11,"252,643","Jun 01, 1970","May 08, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 19, 2023",,Paperback,view,/book/show/292327.The_Bluest_Eye
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Let the Lord Sort Them: The Rise and Fall of the Death Penalty,"Chammah, Maurice*",1524760285,9781524760281,1524760285,368        pp,4.11,737,"Jan 26, 2021","Jan 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 18, 2023",,Paperback,view,/book/show/59201553-let-the-lord-sort-them
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hours,"Cunningham, Michael*",0312243022,9780312243029,0312243022,230        pp,3.95,"141,235","Jul 31, 1998","Jan 15, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2023",,Paperback,view,/book/show/461121.The_Hours
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Madly, Deeply: The Diaries of Alan Rickman","Rickman, Alan",1250847958,9781250847959,1250847958,469        pp,3.59,"12,264","Oct 04, 2022","Oct 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Apr 03, 2023",,Hardcover,view,/book/show/59808451-madly-deeply
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Travels with Charley in Search of America,"Steinbeck, John",1101615168,9781101615164,,240        pp,4.08,"94,543",1961,"Oct 02, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"“And in the humid ever-summer I dare his picturing mind not to go back to the shout of color, to the clean rasp of frosty air, to the smell of pine wo“And in the humid ever-summer I dare his picturing mind not to go back to the shout of color, to the clean rasp of frosty air, to the smell of pine wood burning and the caressing warmth of kitchens. For how can one know color in perpetual green, and what good is warmth without cold to give it sweetness?”This was such a lovely read. Filled with beautiful imagery of American landscapes and interesting perspectives of American life in the 1960’s. The chapters on the South and the story of Ruby Bridges were so compelling. Some of the dialogue was and felt a little contrived, but it’s still an iconic travel memoir that’s sure to fill you with wanderlust.Thank you Simon for lending this to me!...more",Notes are private!,0,3,1,"May 05, 2023","May 25, 2023","Apr 01, 2023",,Paperback,view (with text),/book/show/16082035-travels-with-charley-in-search-of-america
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pretty Girls,"Slaughter, Karin*",0062430874,9780062430878,0062430874,432        pp,4.05,"410,149","Jul 02, 2015","Sep 29, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2023",,Paperback,view,/book/show/25574782-pretty-girls
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No Longer Human,"Dazai, Osamu",,,,177        pp,4.00,"158,449",1948,2001,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I truly don’t know how to rate this. This was short, but really packed a punch. Desperate to read some Emily Henry now!",Notes are private!,0,4,1,"Apr 29, 2023",May 2023,"Mar 31, 2023",,Paperback,view (with text),/book/show/11222940-no-longer-human
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Trackers,"Frazier, Charles",0062948083,9780062948083,0062948083,320        pp,3.72,"10,669","Apr 11, 2023","Apr 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2023",,Hardcover,view,/book/show/61609871-the-trackers
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Really Good, Actually","Heisey, Monica*",0063235412,9780063235410,,370        pp,3.16,"75,322","Jan 17, 2023","Jan 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2023",,Hardcover,view,/book/show/60877616-really-good-actually
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The New Life,"Crewe, Tom*",1668000830,9781668000830,1668000830,392        pp,3.81,"3,757","Jan 03, 2023","Jan 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2023",,Hardcover,view,/book/show/61273326-the-new-life
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kitchen Confidential: Adventures in the Culinary Underbelly,"Bourdain, Anthony",,,B00005AAQ7,8        pp,4.16,"315,251",2000,"Feb 06, 2001",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 21, 2023","Jun 18, 2023","Mar 21, 2023",,Audible Audio,view,/book/show/13637496-kitchen-confidential
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Half-Bads in White Regalia: A Memoir,"Caetano, Cody",073524085X,9780735240858,073524085X,288        pp,4.04,674,unknown,"May 31, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Although we didn’t know each other, Cody and I both grew up in “The Sunshine City” and went to the same high school. Many times in my youth I felt likAlthough we didn’t know each other, Cody and I both grew up in “The Sunshine City” and went to the same high school. Many times in my youth I felt like there was no one like me - no one with a poor, dysfunctional, and (at the time) embarrassing family. Like Cody, I moved around a lot and never felt like any of those places were home. But Orillia itself was home. His descriptions of the mall, downtown, the Island Princess, Brewery Bay and more paired with his relatable childhood events made this a really powerful read for me. What I thought would be an easy read between novels turned out to be a book I’ll be recommending for a long time. ...more",Notes are private!,0,6,1,"Mar 19, 2023","Mar 23, 2023","Mar 19, 2023",,Paperback,view (with text),/book/show/59627585-half-bads-in-white-regalia
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Dark Vanessa,"Russell, Kate Elizabeth*",006294150X,9780062941503,006294150X,373        pp,4.10,"326,091","Mar 10, 2020","Mar 10, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2023",,Hardcover,view,/book/show/44890081-my-dark-vanessa
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Echo Maker,"Powers, Richard",0312426437,9780312426439,0312426437,449        pp,3.44,"11,401","Oct 17, 2006","Aug 21, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 09, 2023",,Paperback,view,/book/show/41348.The_Echo_Maker
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Losing Eden: Why Our Minds Need the Wild,"Jones, Lucy",0141992611,9780141992617,0141992611,272        pp,4.07,"1,695","Feb 27, 2020","Feb 25, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2023",,Paperback,view,/book/show/53403846-losing-eden
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Migrations,"McConaghy, Charlotte*",125020402X,9781250204028,125020402X,256        pp,4.14,"73,114","Aug 04, 2020","Aug 04, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2023",,Hardcover,view,/book/show/42121525-migrations
