,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Lavinia's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The ABC Murders        (Hercule Poirot, #13)","Christie, Agatha",,,0007527535,267        pp,4.03,"166,522","Jan 06, 1936","Jan 01, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 26, 2024","Feb 29, 2024","Feb 26, 2024",,Paperback,view,/book/show/21085299-the-abc-murders
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Martyn Pig,"Brooks, Kevin",1910002003,9781910002001,1910002003,220        pp,3.53,"3,221","May 01, 2002",2002,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/23299427-martyn-pig
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kudos,"Cusk, Rachel",0571346723,9780571346721,0571346723,232        pp,3.90,"13,216","Jun 05, 2018","Apr 02, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 11, 2024","Feb 16, 2024","Feb 11, 2024",,Paperback,view,/book/show/40949675-kudos
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book Thief,"Zusak, Markus*",,,0375831002,592        pp,4.39,"2,557,450","Sep 01, 2005","Mar 14, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 02, 2024","Feb 11, 2024","Feb 02, 2024",,Kindle Edition,view,/book/show/19063.The_Book_Thief
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Noughts & Crosses        (Noughts & Crosses, #1)","Blackman, Malorie*",0552555703,9780552555708,0552555703,479        pp,4.19,"73,907","Jan 15, 2001","Oct 03, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 21, 2024","Jan 31, 2024","Jan 21, 2024",,Paperback,view,/book/show/714902.Noughts_Crosses
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stela,"Goșu, Simona",,9789734696390,,248        pp,3.86,191,unknown,2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 13, 2024","Jan 14, 2024","Jan 13, 2024",,Paperback,view,/book/show/202312153-stela
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Berlin Boxing Club,"Sharenow, Robert",0061579688,9780061579684,0061579688,399        pp,4.19,"5,644","Apr 26, 2011","Apr 26, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Jan 2024,"Jan 04, 2024","Jan 01, 2024",,Hardcover,view,/book/show/9266762-the-berlin-boxing-club
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Very Large Expanse of Sea,"Mafi, Tahereh",0062866567,9780062866561,0062866567,310        pp,4.09,"61,671","Oct 16, 2018","Oct 16, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 29, 2023","Dec 31, 2023","Dec 29, 2023",,Hardcover,view,/book/show/38720939-a-very-large-expanse-of-sea
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Aristotle and Dante Discover the Secrets of the Universe        (Aristotle and Dante, #1)","Sáenz, Benjamin Alire*",1442408928,9781442408920,1442408928,390        pp,4.31,"600,440","Feb 21, 2012","Feb 21, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 25, 2023","Dec 28, 2023","Dec 25, 2023",,Hardcover,view,/book/show/12000020-aristotle-and-dante-discover-the-secrets-of-the-universe
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Am Not Your Perfect Mexican Daughter,"Sánchez, Erika L.",1524700487,9781524700485,1524700487,344        pp,4.02,"68,872","Oct 17, 2017","Oct 17, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 23, 2023","Dec 25, 2023","Dec 23, 2023",,Hardcover,view,/book/show/29010395-i-am-not-your-perfect-mexican-daughter
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Almond,Sohn Won-Pyung,0062961373,9780062961372,0062961373,272        pp,4.17,"110,901","Mar 31, 2017","May 05, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 21, 2023","Dec 23, 2023","Dec 21, 2023",,Hardcover,view,/book/show/52219386-almond
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jävla karlar,"Walden, Andrev",,9789177953241,,unknown,4.08,"5,305","Sep 01, 2023","Sep 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 10, 2023","Dec 21, 2023","Dec 03, 2023",,Audiobook,view,/book/show/198412686-j-vla-karlar
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Malma station,"Schulman, Alex",,9789100191436,,248        pp,3.62,"4,397","Aug 26, 2022","Aug 26, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 24, 2023","Nov 28, 2023","Nov 24, 2023",,Hardcover,view,/book/show/62091098-malma-station
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Studie i mänskligt beteende,"Andersson, Lena",,9789177959540,,272        pp,3.64,"1,148",unknown,"Sep 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 13, 2023","Nov 17, 2023","Nov 13, 2023",,Paperback,view,/book/show/199045099-studie-i-m-nskligt-beteende
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Detaljerna,"Genberg, Ia",9127175545,9789127175549,9127175545,152        pp,3.90,"10,017","Jan 07, 2022","Jan 07, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 06, 2023","Nov 10, 2023","Nov 06, 2023",,Hardcover,view,/book/show/60065606-detaljerna
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Transit,"Cusk, Rachel",1910702617,9781910702611,1910702617,272        pp,3.97,"19,242","Sep 29, 2016","Sep 29, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 06, 2023","Nov 24, 2023","Nov 06, 2023",,Paperback,view,/book/show/28092867-transit
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Băgău,"Bradea, Ioana",,,,248        pp,3.54,188,2004,2022,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 23, 2023","Oct 28, 2023","Oct 28, 2023",,,view,/book/show/124132749-b-g-u
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last of the Just,"Schwarz-Bart, André",1585670162,9781585670161,1585670162,374        pp,4.24,"1,320",1959,"Feb 01, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 22, 2023",,Paperback,view,/book/show/253292.The_Last_of_the_Just
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The MANIAC,"Labatut, Benjamín",0593654471,9780593654477,,368        pp,4.36,"7,955","Oct 03, 2023","Oct 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 21, 2023","Nov 02, 2023","Oct 21, 2023",,Hardcover,view,/book/show/75665931-the-maniac
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Persepolis 2: The Story of a Return        (Persepolis, #2)","Satrapi, Marjane",0375714669,9780375714665,0375714669,187        pp,4.22,"75,205",2003,"Aug 02, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 14, 2023","Oct 21, 2023","Oct 14, 2023",,Paperback,view,/book/show/9517.Persepolis_2
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Systrarna,"Khemiri, Jonas Hassen",9100800767,9789100800765,9100800767,722        pp,4.21,"1,818",unknown,"Sep 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 07, 2023","Nov 06, 2023","Oct 07, 2023",,Hardcover,view,/book/show/193474961-systrarna
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Outline Trilogy: Outline, Transit and Kudos","Cusk, Rachel",1443458384,9781443458382,,608        pp,4.16,618,unknown,"Aug 20, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 18, 2023","Sep 26, 2023","Sep 18, 2023",,Paperback,view,/book/show/40942732-the-outline-trilogy
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Annie John,"Kincaid, Jamaica",0374525102,9780374525101,0374525102,160        pp,3.71,"10,221","Jun 01, 1985","Jun 30, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 05, 2023","Sep 08, 2023","Sep 05, 2023",,Paperback,view,/book/show/386336.Annie_John
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Four Soldiers,"Mingarelli, Hubert",1846276519,9781846276514,1846276519,160        pp,3.82,710,"Jan 03, 2003","Jun 06, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 03, 2023","Sep 05, 2023","Sep 03, 2023",,Paperback,view,/book/show/50221296-four-soldiers
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"I Know Why the Caged Bird Sings        (Maya Angelou's Autobiography, #1)","Angelou, Maya",0553279378,9780553279375,B00P4JQBIC,289        pp,4.29,"530,970",1969,Nov 1993,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 24, 2023",Sep 2023,"Aug 24, 2023",,Paperback,view,/book/show/13214.I_Know_Why_the_Caged_Bird_Sings
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Simple Passion,"Ernaux, Annie*",1913097552,9781913097554,1913097552,80        pp,3.93,"30,124",1991,"Mar 10, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Aug 24, 2023",,Paperback,view,/book/show/57371655-simple-passion
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jag heter inte Miriam,"Axelsson, Majgull*",9173374660,9789173374668,9173374660,457        pp,4.26,"4,684","Mar 01, 2014",Mar 2014,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 19, 2023",,Hardcover,view,/book/show/20346092-jag-heter-inte-miriam
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A hóhér háza,"Tompa, Andrea",,9788081012877,,300        pp,4.00,94,"Jan 01, 2010",2010,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 19, 2023",,Hardcover,view,/book/show/15853055-a-h-h-r-h-za
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Forbidden Notebook,"Céspedes, Alba de",1662601395,9781662601392,1662601395,288        pp,4.13,"6,515",1952,"Jan 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 12, 2023","Aug 23, 2023","Aug 12, 2023",,Hardcover,view,/book/show/61026364-forbidden-notebook
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Amintiri în dialog: memorii,"Călinescu, Matei",9735053756,9789735053758,9735053756,512        pp,4.49,49,1994,Nov 2016,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 03, 2023","Aug 12, 2023","Aug 03, 2023",,Hardcover,view,/book/show/32994358-amintiri-n-dialog
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Soldier Sailor,"Kilroy, Claire",0571375588,9780571375585,,unknown,4.18,"2,290","May 02, 2023","May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 01, 2023",,ebook,view,/book/show/61842212-soldier-sailor
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Story of the Night,"Tóibín, Colm",0330340182,9780330340182,0330340182,311        pp,3.87,"2,710",1996,"Jan 01, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 27, 2023","Aug 03, 2023","Jul 27, 2023",,Paperback,view,/book/show/834870.The_Story_of_the_Night
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ännu ett liv,"Kallifatides, Theodor",,9789100170387,,140        pp,3.88,"1,865",Nov 2016,2017,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 22, 2023","Jul 27, 2023","Jul 22, 2023",,Hardcover,view,/book/show/34558404-nnu-ett-liv
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Our Spoons Came from Woolworths,"Comyns, Barbara",0860683532,9780860683537,0860683532,223        pp,3.90,"3,196",1950,"Apr 21, 1983",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 16, 2023",,Paperback,view,/book/show/1818286.Our_Spoons_Came_from_Woolworths
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pe cine iubești mai mult?,"Buruiană, Mihaela*",,9786064315106,,230        pp,4.35,355,unknown,"Mar 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 14, 2023","Jul 21, 2023","Jul 14, 2023",,Paperback,view,/book/show/123254071-pe-cine-iube-ti-mai-mult
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The New Yorker Book of Literary Cartoons,"Mankoff, Robert",0671035584,9780671035587,0671035584,112        pp,3.76,239,2000,"Aug 27, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 13, 2023","Jul 13, 2023","Jul 14, 2023",,Paperback,view,/book/show/299418.The_New_Yorker_Book_of_Literary_Cartoons
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Músika,"Azpeitia, Javier",8490669627,9788490669624,8490669627,400        pp,3.80,35,"May 05, 2021","May 05, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 02, 2023",,Paperback,view,/book/show/57960682-m-sika
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Străinătate,"Cupşa, Augustin",,9789735077631,,211        pp,3.68,41,"Dec 20, 2022","Dec 20, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 30, 2023","Jul 04, 2023","Jun 30, 2023",,Paperback,view,/book/show/75415617-str-in-tate
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mă găsești când vrei,"Braniște, Lavinia",,,,200        pp,3.81,"1,839",Sep 2021,Sep 2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"N-am mai citit un roman de-al Laviniei Braniște din 2019, după ce ani de zile i-am vînat cărțile, pentru firescul și naturalețea scrisului. Ajunsesem,N-am mai citit un roman de-al Laviniei Braniște din 2019, după ce ani de zile i-am vînat cărțile, pentru firescul și naturalețea scrisului. Ajunsesem, probabil pe bună dreptate, la un fel de saturație—mai mult sau mai puțin același univers și același personaj, ușor reinterpretat, de fiecare dată. Dar, îmi dau seama citind acum romanul ăsta, că de fapt nici nu cred că aștept altceva de la ea, alt gen de romane/povestiri, că de fapt mă mulțumește personajul femeie de 30+ (care probabil va avansa în vîrstă odată cu autoarea), aflat în relații precare, cu un job corporatist epuizant sub posibilități și chirii în garsoniere sordide, pentru că de fapt ce îmi place la Braniște e stilul și confortul pe care mi-l dau cărțile ei, felul în care disecă atitudini, replici și situații (exact la fel cum o face Sally Rooney și ăsta e chiar motivul pentru care-o iubesc și pe ea), așa că o să-i citesc cărțile în continuare (mă rog, mă voi lipsi de Rostogol :D), știind/sperînd că o să livreze exact ce știe și ce a făcut și pînă acum....more",Notes are private!,0,13,1,"Jun 28, 2023","Jun 29, 2023","Jun 28, 2023",,Paperback,view (with text),/book/show/59039592-m-g-se-ti-c-nd-vrei
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Daisy Jones & The Six,"Reid, Taylor Jenkins*",1524798622,9781524798628,1524798622,355        pp,4.21,"1,486,876","Mar 05, 2019","Mar 05, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jun 23, 2023","Jun 27, 2023","Jun 23, 2023",,Hardcover,view,/book/show/40597810-daisy-jones-the-six
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A View of the Harbour,"Taylor, Elizabeth",0860685438,9780860685432,0860685438,309        pp,3.88,"1,664",1947,"Dec 27, 1987",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 17, 2023","Jun 21, 2023","Jun 17, 2023",,Paperback,view,/book/show/1707956.A_View_of_the_Harbour
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Un nor în formă de cămilă,"Nelega, Alina",9734685023,9789734685028,9734685023,232        pp,3.90,250,Jun 2021,Jun 2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 04, 2023","Jun 06, 2023","Jun 04, 2023",,Paperback,view,/book/show/58348296-un-nor-n-form-de-c-mil
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Women of Troy        (Women of Troy, #2)","Barker, Pat",0385546696,9780385546690,0385546696,307        pp,3.83,"20,632","Aug 24, 2021","Aug 24, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 27, 2023","Jun 17, 2023","May 27, 2023",,Hardcover,view,/book/show/55440232-the-women-of-troy
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Cement Garden,"McEwan, Ian*",0099755114,9780099755111,0099755114,152        pp,3.54,"31,839",1978,2016,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"May 18, 2023","May 19, 2023","May 18, 2023",,Paperback,view,/book/show/815311.The_Cement_Garden
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crampton Hodnet,"Pym, Barbara",1559212438,9781559212434,1559212438,216        pp,4.05,"2,746",1985,"Jan 01, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 30, 2023","May 18, 2023","Apr 30, 2023",,Paperback,view,/book/show/178566.Crampton_Hodnet
