,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Fernando's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Fraude,"Smith, Zadie",9722080806,9789722080804,9722080806,536        pp,3.35,"17,296","Sep 05, 2023","Feb 20, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 19, 2024","Mar 24, 2024","Mar 01, 2024",,Paperback,view,/book/show/207249441-a-fraude
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Somos o esquecimento que seremos,"Abad Faciolince, Héctor",9897874933,9789897874932,B0CJZFWTTX,298        pp,4.60,47,unknown,"Oct 09, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Maravilhoso!,Notes are private!,0,12,1,Mar 2024,"Mar 02, 2024","Mar 01, 2024",,Kindle Edition,view (with text),/book/show/199441845-somos-o-esquecimento-que-seremos
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Against the Loveless World,"Abulhawa, Susan*",152661880X,9781526618801,152661880X,384        pp,4.49,"16,475","Apr 19, 2019","Jul 23, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 24, 2024",,Paperback,view,/book/show/55302664-against-the-loveless-world
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Uma Hora Tão Tardia,"Keegan, Claire",9897834125,9789897834127,9897834125,88        pp,4.03,"10,982","Feb 22, 2022","Mar 01, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A não perder.,Notes are private!,0,5,1,"Mar 28, 2024","Mar 28, 2024","Feb 24, 2024",,Paperback,view (with text),/book/show/208893544-a-uma-hora-t-o-tardia
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A família Caserta,"Venturini, Aurora",9897878629,9789897878626,B0CW23NLKM,190        pp,3.69,415,May 2000,"Mar 04, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Mar 13, 2024","Mar 16, 2024","Feb 24, 2024",,Kindle Edition,view,/book/show/208917213-a-fam-lia-caserta
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Uma Brancura Luminosa,"Fosse, Jon",9897878092,9789897878091,B0CSPS99XZ,48        pp,3.51,"5,005","Jan 01, 2023","Feb 19, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Feb 24, 2024","Feb 24, 2024","Feb 24, 2024",,Kindle Edition,view,/book/show/205573152-uma-brancura-luminosa
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Marzahn, Mon Amour","Oskamp, Katja",9897834222,9789897834226,9897834222,128        pp,3.92,"2,916","Jul 22, 2019","Feb 02, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Um livro tocante, terno e pungente que conta a história de uma mulher que se aproxima da meia-idade e que decide abandonar a sua carreira frustrada deUm livro tocante, terno e pungente que conta a história de uma mulher que se aproxima da meia-idade e que decide abandonar a sua carreira frustrada de escritora para se tornar pedicura. Através da sua relação com os clientes e colegas, ela dá-nos conta das suas histórias pessoais, oferecendo um retrato íntimo dos habitantes de Marzahn....more",Notes are private!,0,8,1,"Apr 05, 2024","Apr 06, 2024","Feb 22, 2024",,Paperback,view (with text),/book/show/208154023-marzahn-mon-amour
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hotel Savoy,"Roth, Joseph",9722080768,9789722080767,9722080768,160        pp,3.78,"2,184",1924,"Jan 09, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Mar 29, 2024","Mar 31, 2024","Feb 05, 2024",,Paperback,view,/book/show/203531382-hotel-savoy
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Três Mulheres na Cidade,"Moreno, Lara",9897876030,9789897876035,9897876030,344        pp,4.05,710,Sep 2022,Jan 2024,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 03, 2024","Feb 06, 2024","Feb 03, 2024",,Paperback,view,/book/show/205953266-tr-s-mulheres-na-cidade
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ressurreição,"Tolstoy, Leo",9722370588,9789722370585,9722370588,472        pp,4.16,"24,460",1899,"Feb 01, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,15,1,"Feb 15, 2024","Feb 23, 2024","Jan 28, 2024",,Paperback,view,/book/show/136823603-ressurrei-o
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Leopard,"Lampedusa, Giuseppe Tomasi di",0679731210,9780679731214,0679731210,319        pp,4.01,"37,217",1958,"Jul 23, 1991",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 26, 2024",,Paperback,view,/book/show/625094.The_Leopard
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Novela de Xadrez,"Zweig, Stefan",9789723717,,,92        pp,4.27,"128,416",1942,Oct 2013,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 26, 2024",,Paperback,view,/book/show/19502905-novela-de-xadrez
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,O Deus das Moscas,"Golding, William",,9789722036542,9722036548,258        pp,3.69,"2,904,130","Sep 17, 1954",2008,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 26, 2024",,Paperback,view,/book/show/6333630-o-deus-das-moscas
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Demónios,"Dostoevsky, Fyodor",9722367285,9789722367288,9722367285,664        pp,4.30,"52,043",1872,"Sep 15, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 23, 2024",Feb 2024,"Jan 23, 2024",,Paperback,view,/book/show/58912217-dem-nios
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,O terceiro país,"Sainz Borgo, Karina*",,,B0C7FCHPQP,263        pp,3.65,558,"Mar 04, 2021","Jun 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2024",,Kindle Edition,view,/book/show/175377414-o-terceiro-pa-s
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pais e Filhos,"Turgenev, Ivan",9896416230,9789896416232,9896416230,272        pp,3.99,"89,426",Feb 1862,Jul 2016,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 17, 2024",,Paperback,view,/book/show/32316187-pais-e-filhos
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Doutor Jivago,"Pasternak, Boris",,9789898093769,9898093765,552        pp,4.01,"96,754",Nov 1957,2008,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 16, 2024",,Hardcover,view,/book/show/12438.Doutor_Jivago
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crónica de una muerte anunciada,"García Márquez, Gabriel",1400034957,9781400034956,1400034957,118        pp,3.97,"193,435",1981,"Oct 14, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 16, 2024",,Paperback,view,/book/show/762.Cr_nica_de_una_muerte_anunciada
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fury,"Michaelides, Alex*",125075898X,9781250758989,125075898X,298        pp,3.42,"79,682","Jan 16, 2024","Jan 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 16, 2024",,Hardcover,view,/book/show/123206645-the-fury
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Demon Copperhead,"Kingsolver, Barbara",9897874569,9789897874567,,640        pp,4.51,"397,811","Oct 18, 2022",Nov 2023,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Feb 07, 2024","Feb 14, 2024","Jan 16, 2024",,Paperback,view,/book/show/201524025-demon-copperhead
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Eu Vou, Tu Vais, Ele Vai","Erpenbeck, Jenny",9896418896,9789896418892,9896418896,280        pp,3.97,"8,679","Aug 31, 2015","Dec 07, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Jan 14, 2024","Jan 19, 2024","Jan 14, 2024",,Paperback,view,/book/show/43170478-eu-vou-tu-vais-ele-vai
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,À Espera No Centeio,"Salinger, J.D.",9897832483,9789897832482,9897832483,216        pp,3.80,"3,523,680","Jul 16, 1951","Sep 09, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,9,1,"Jan 09, 2024","Jan 13, 2024","Jan 09, 2024",,Paperback,view,/book/show/61949624-espera-no-centeio
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Felizes Anos de Castigo,"Jaeggy, Fleur",9897849785,9789897849787,,112        pp,3.66,"5,980","Sep 01, 1989",Oct 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 01, 2024",,Paperback,view,/book/show/201245574-felizes-anos-de-castigo
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Temporada de Furacões,"Melchor, Fernanda*",,9789896238575,,224        pp,4.07,"30,288","May 12, 2017","Jan 23, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Mar 31, 2024",Apr 2024,"Jan 01, 2024",,Paperback,view,/book/show/76598931-temporada-de-furac-es
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,O Polaco,"Coetzee, J.M.",,,B0C625G66V,121        pp,3.71,"2,752","Sep 19, 2023","May 01, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Jan 09, 2024","Jan 09, 2024","Jan 01, 2024",,Kindle Edition,view,/book/show/159359321-o-polaco
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,As Paixões de Júlia,"Maugham, W. Somerset",9724141578,9789724141572,9724141578,256        pp,4.16,"8,489",1937,2005,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 26, 2023",,Paperback,view,/book/show/2265416.As_Paix_es_de_J_lia
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,O Jogador,"Dostoevsky, Fyodor",9722327445,9789722327442,9722327445,165        pp,3.91,"91,370","Mar 10, 1866",May 2001,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Adjetivos como ""profunda"", ""intensa"", ""complexa"" ou ""impactante"", traduzem fielmente a singularidade de toda a obra de Fiódor Dostoiévski. Este livro Adjetivos como ""profunda"", ""intensa"", ""complexa"" ou ""impactante"", traduzem fielmente a singularidade de toda a obra de Fiódor Dostoiévski. Este livro mantém a mestria que se lhe reconhece....more",Notes are private!,0,5,1,"Dec 16, 2023","Dec 19, 2023","Dec 16, 2023",,Paperback,view (with text),/book/show/6389206-o-jogador
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sem Culpa,"Hunter, Cara*",,9789720036773,972003677X,400        pp,4.36,"5,553","Jul 21, 2022","Jul 13, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 26, 2024",Mar 2024,"Dec 16, 2023",,Capa mole,view,/book/show/182921621-sem-culpa
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Factotum,"Bukowski, Charles",006113127X,9780061131271,006113127X,208        pp,3.93,"69,885",1975,"Aug 15, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 13, 2023",,Paperback,view,/book/show/38496.Factotum
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Pérola,"Steinbeck, John",972381532X,9789723815320,972381532X,153        pp,3.53,"237,960",1947,Mar 1999,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Esta obra revela com fidelidade a essência do ser humano e as consequências nefastas da ganância desmedida.,Notes are private!,0,7,2,"Dec 10, 2023not set","Dec 10, 2023not set","Dec 10, 2023",,Paperback,view (with text),/book/show/6331839-a-p-rola
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,As cores da infâmia,"Cossery, Albert",9726081203,9789726081203,9726081203,unknown,3.85,666,1999,Apr 2000,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 04, 2023",,,view,/book/show/12253922-as-cores-da-inf-mia
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Quanto Mais Depressa Ando, Mais Pequena Sou","Skomsvold, Kjersti Annesdatter",9896231990,9789896231996,9896231990,144        pp,3.67,"4,036",2009,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 02, 2023",,Paperback,view,/book/show/42383997-quanto-mais-depressa-ando-mais-pequena-sou
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,O Confronto,"Grisham, John*",,9789722545907,,472        pp,4.06,"79,427","Oct 18, 2022","Nov 09, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 30, 2023","Dec 04, 2023","Nov 30, 2023",,Paperback,view,/book/show/202330191-o-confronto
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Yellowface,"Kuang, R.F.*",,,,336        pp,3.80,"428,452","May 25, 2023","May 16, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 11, 2023","Dec 16, 2023","Nov 30, 2023",,Hardcover,view,/book/show/62047984-yellowface
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kokoro,"Sōseki, Natsume",9722370901,9789722370905,9722370901,304        pp,4.04,"31,975","Aug 11, 1914",Apr 2023,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Nov 27, 2023","Nov 28, 2023","Nov 27, 2023",,Paperback,view,/book/show/123412030-kokoro
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Norte e Sul,"Gaskell, Elizabeth",9896415897,9789896415891,9896415897,450        pp,4.15,"169,966",1855,Apr 2016,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Dec 23, 2023","Dec 27, 2023","Nov 14, 2023",,Paperback,view,/book/show/29914437-norte-e-sul
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Junto ao Mar,"Gurnah, Abdulrazak",9896236259,9789896236250,9896236259,296        pp,3.90,"3,490",2001,"Sep 12, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Nov 13, 2023","Nov 19, 2023","Nov 03, 2023",,Paperback,view,/book/show/62202353-junto-ao-mar
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Os Esquecidos de Domingo,"Perrin, Valérie",9722372505,9789722372503,,312        pp,4.24,"11,323","Apr 29, 2015","Nov 02, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,6,1,"Nov 06, 2023","Nov 07, 2023","Nov 03, 2023",,Paperback,view,/book/show/200392175-os-esquecidos-de-domingo
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Denúncia,Bandi,9896651213,9789896651213,9896651213,235        pp,3.99,"6,517",May 2014,2016,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 31, 2023",,Paperback,view,/book/show/31929618-a-den-ncia
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Malnascida,"Salvioni, Beatrice",989784872X,9789897848728,,248        pp,3.89,"4,291","Mar 21, 2023","Oct 09, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Nov 08, 2023","Nov 10, 2023","Oct 29, 2023",,Paperback,view,/book/show/199296673-a-malnascida
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Weyward,"Hart, Emilia",972003632X,9789720036322,972003632X,344        pp,4.09,"140,033","Feb 02, 2023","Apr 06, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Feb 24, 2024","Feb 25, 2024","Oct 29, 2023",,Paperback,view,/book/show/123285531-weyward
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pequeno-almoço de campeões,"Vonnegut, Kurt, Jr.",9897874992,9789897874994,B0CKV29PWG,332        pp,4.07,"260,549","Jul 12, 1973","Oct 23, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Desconcertante e divertido. A princípio estranha-se, depois entranha-se e a leitura flui.",Notes are private!,0,2,1,"Oct 31, 2023",Nov 2023,"Oct 29, 2023",,Kindle Edition,view (with text),/book/show/199441903-pequeno-almo-o-de-campe-es
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,O Eu É um Outro (Septologia III-V),"Fosse, Jon",9897875565,9789897875564,B0CKNYXXZK,270        pp,4.45,"1,391","Oct 07, 2020","Nov 06, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Jon Fosse continua a encantar-nos neste segundo volume da Septologia.,Notes are private!,1,5,1,"Nov 24, 2023","Nov 26, 2023","Oct 27, 2023",,Kindle Edition,view (with text),/book/show/199428661-o-eu-um-outro-septologia-iii-v
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Judas, o Obscuro","Hardy, Thomas",,9789896820862,,411        pp,3.83,"71,803","Apr 16, 1895",2011,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 26, 2023",,Paperback,view,/book/show/11250264-judas-o-obscuro
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Trilogia,"Fosse, Jon",9895647611,9789895647613,9895647611,208        pp,3.93,"5,027",2014,"Oct 10, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,7,1,"Oct 25, 2023","Oct 27, 2023","Oct 25, 2023",,Paperback,view,/book/show/59108503-trilogia
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jezabel,"Némirovsky, Irène",9896686378,9789896686376,9896686378,208        pp,3.79,"2,721",1936,Sep 2019,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 21, 2023",,Paperback,view,/book/show/52933199-jezabel
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Empúsio,"Tokarczuk, Olga",,9789897872105,,344        pp,4.05,"3,632","Jun 01, 2022",Oct 2023,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ao ler este livro sentimos que estamos a revisitar ""A Montanha Mágica"" de Thomas Mann. O protagonista, Mieczyslaw Wojnicz, é um estudante de engenhariAo ler este livro sentimos que estamos a revisitar ""A Montanha Mágica"" de Thomas Mann. O protagonista, Mieczyslaw Wojnicz, é um estudante de engenharia que sofre de tuberculose e procura uma cura nas águas termais e nos tratamentos inovadores da clínica. No entanto, ele descobre que o lugar esconde segredos macabros e que os pacientes são vítimas de experiências sinistras. O livro é uma crítica ao racionalismo, ao progresso e à civilização ocidental, que Tokarczuk considera responsáveis pela destruição da natureza e da vida humana....more",Notes are private!,0,6,1,"Nov 11, 2023","Nov 13, 2023","Oct 20, 2023",,Paperback,view (with text),/book/show/200742404-emp-sio
