,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,gam s's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Baron Bagge / Count Luna,"Lernet-Holenia, Alexander",0941419207,9780941419208,0941419207,256        pp,4.16,90,1956,"May 01, 1989",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Hardcover,view,/book/show/1175031.Baron_Bagge_Count_Luna
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vertigo,"Walsh, Joanna*",0989760758,9780989760751,0989760758,120        pp,3.59,649,"Oct 01, 2015","Oct 01, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 08, 2024",not set,"Apr 08, 2024",,Paperback,view,/book/show/25909574-vertigo
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Greek Lessons,Han Kang,0593595270,9780593595275,0593595270,192        pp,3.49,"7,477","Nov 10, 2011","Apr 18, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 08, 2024",not set,"Apr 08, 2024",,Hardcover,view,/book/show/61686012-greek-lessons
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Psalm for the Wild-Built        (Monk & Robot, #1)","Chambers, Becky*",,,,160        pp,4.28,"106,087","Jul 13, 2021","Jul 13, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 08, 2024",not set,"Apr 08, 2024",,Kindle Edition,view,/book/show/40864002-a-psalm-for-the-wild-built
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Women in the Dunes,"Abe, Kōbō",,,,239        pp,3.89,"32,933","Jun 08, 1962",Sep 1964,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Paperback,view,/book/show/18739810-the-women-in-the-dunes
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Self-Portrait in Green,"NDiaye, Marie",1931883394,9781931883399,1931883394,120        pp,3.67,866,2005,"Nov 11, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Paperback,view,/book/show/20893797-self-portrait-in-green
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Cabinet,"Kim, Un-Su",0857669176,9780857669179,0857669176,304        pp,3.54,"4,338",2006,"Oct 26, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Paperback,view,/book/show/56353777-the-cabinet
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Living and the Rest,"Agualusa, José Eduardo",1529421764,9781529421767,B0BTVJB4QD,229        pp,3.79,574,unknown,"Aug 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Kindle Edition,view,/book/show/125558852-the-living-and-the-rest
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,คนลากรถ,Lao She,,9786163887085,,408        pp,3.88,"2,334",1936,Oct 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Paperback,view,/book/show/200205965
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,ถ้ำ,"Saramago, José",,9786168123874,,342        pp,3.88,"14,903",2000,Nov 2022,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Paperback,view,/book/show/63376404
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Splendid Ticket,"Cotter, Bill",1952119499,9781952119491,1952119499,303        pp,3.67,95,"Dec 06, 2022","Dec 06, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Hardcover,view,/book/show/60262824-the-splendid-ticket
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,ปีแสง,"วัฒนปกรณ์, ดุจดาว",,9786163272195,,208        pp,4.53,144,unknown,Oct 2019,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Paperback,view,/book/show/48731473
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Harlequin Butterfly,"EnJoe, Toh",1782279776,9781782279778,1782279776,160        pp,3.47,124,"Jan 26, 2012","Jan 25, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Paperback,view,/book/show/176729912-harlequin-butterfly
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Labyrinth of the Spirits        (The Cemetery of Forgotten Books #4),"Ruiz Zafón, Carlos",1443457132,9781443457132,,816        pp,4.53,"52,869","Nov 17, 2016","Sep 18, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Audiobook,view,/book/show/37954156-the-labyrinth-of-the-spirits
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Piglet,"Hazell, Lottie",125028984X,9781250289841,125028984X,320        pp,3.60,"5,829","Feb 27, 2024","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Hardcover,view,/book/show/127282554-piglet
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Women! In! Peril!,"Marshall, Jessie Ren*",1639732276,9781639732272,1639732276,288        pp,4.17,72,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Paperback,view,/book/show/133938853-women-in-peril
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Your Presence Is Mandatory,"Vasilyuk, Sasha*",1639731539,9781639731534,1639731539,336        pp,4.44,41,"Apr 23, 2024","Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Hardcover,view,/book/show/133938432-your-presence-is-mandatory
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,You Know What You Did,"Nguyen, K.T.*",059347385X,9780593473856,059347385X,384        pp,3.84,321,"Apr 16, 2024","Apr 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Hardcover,view,/book/show/192761618-you-know-what-you-did
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Temptation to Exist,"Cioran, Emil M.",0226106756,9780226106755,0226106756,224        pp,4.10,"2,030",1956,"Jul 20, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Paperback,view,/book/show/117565.The_Temptation_to_Exist
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Short History of Decay,"Cioran, Emil M.",1559704640,9781559704649,1559704640,186        pp,4.20,"4,932",1949,"Sep 15, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Paperback,view,/book/show/2855.A_Short_History_of_Decay
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On the Heights of Despair,"Cioran, Emil M.",0226106713,9780226106717,0226106713,128        pp,4.16,"7,902",1934,"Oct 01, 1992",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Paperback,view,/book/show/117566.On_the_Heights_of_Despair
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Trouble With Being Born,"Cioran, Emil M.",,,1559704624,224        pp,4.11,"8,735",1973,"Sep 15, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Paperback,view,/book/show/117564.The_Trouble_With_Being_Born
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Invisible Hotel,"Ham, Yeji Y.",1638931372,9781638931379,1638931372,320        pp,3.50,137,"Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 31, 2024",,Hardcover,view,/book/show/192793483-the-invisible-hotel
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pet,"Chidgey, Catherine*",1776920740,9781776920747,1776920740,352        pp,4.08,"4,692","Jul 13, 2023","Jun 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 31, 2024",,Paperback,view,/book/show/86546624-pet
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Enter Ghost,"Hammad, Isabella*",080216238X,9780802162380,080216238X,336        pp,4.08,"2,095","Apr 04, 2023","Apr 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 31, 2024",,Hardcover,view,/book/show/59725231-enter-ghost
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,วรรณาคดี อัตชีวประวัติของวรรณา ทรรปนานนท์,ศรีดาวเรือง,6168300120,9786168300121,6168300120,240        pp,4.00,2,unknown,Mar 2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Paperback,view,/book/show/210566374
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Woman from Uruguay,"Mairal, Pedro",1635577330,9781635577334,1635577330,160        pp,3.69,"10,369",2016,"Jul 20, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Hardcover,view,/book/show/54860591-the-woman-from-uruguay
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dislocations,"Molloy, Sylvia",1913867358,9781913867355,1913867358,150        pp,4.08,700,Sep 2010,"Nov 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Paperback,view,/book/show/60843125-dislocations
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Perfect Cemetery,"Falco, Federico",1916277896,9781916277892,,125        pp,3.85,546,May 2015,"Apr 06, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,ebook,view,/book/show/55904395-a-perfect-cemetery
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Homesick,"Croft, Jennifer*",1944700943,9781944700942,1944700943,256        pp,3.78,"1,780","Sep 10, 2019","Sep 10, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Hardcover,view,/book/show/43531017-homesick
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Cheerfully Refuse,"Enger, Leif",0802162932,9780802162939,0802162932,336        pp,4.20,337,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Hardcover,view,/book/show/198276006-i-cheerfully-refuse
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,ตลิ่งสูง ซุงหนัก,"รายยวา, นิคม",9748682986,9789748682983,,190        pp,4.18,72,1984,2004,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,,view,/book/show/3330970
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,ทะเลและกาลเวลา,"ธรรมโชติ, อัศศิริ",,9789744753137,,167        pp,5.00,3,unknown,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Paperback,view,/book/show/26138381
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Short Walk Through a Wide World,"Westerbeke, Douglas",1668026066,9781668026069,1668026066,400        pp,3.80,770,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Hardcover,view,/book/show/176443045-a-short-walk-through-a-wide-world
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Miracle at St. Anna,"McBride, James*",1573229717,9781573229715,1573229717,320        pp,3.88,"3,940",2001,"Jan 07, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Paperback,view,/book/show/23438.Miracle_at_St_Anna
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,ตัวโน้ตบนฝ่ามือ,藤岡陽子,,9786169342243,,288        pp,4.15,41,unknown,Oct 2022,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,★★★★☆ 4.5 ปัด 5 ชอบจังงง ไม่ได้อ่านอะไรแบบนี้มาพักใหญ่ๆ หนังสือที่อ่านๆไปก็หัวเราะ อ่านๆไปก็ร้องไห้,Notes are private!,2,13,1,"Mar 28, 2024","Mar 29, 2024","Mar 28, 2024",,Paperback,view (with text),/book/show/63045130
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The World of Yesterday,"Zweig, Stefan",0803252242,9780803252240,0803252242,455        pp,4.51,"22,213",1942,"Jan 01, 1964",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Paperback,view,/book/show/629429.The_World_of_Yesterday
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beware of Pity,"Zweig, Stefan",,,,353        pp,4.24,"15,382",1939,"Jun 20, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Paperback,view,/book/show/59149.Beware_of_Pity
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,อดีเตกาเล,แดนอรัญ แสงทอง,,9786167374994,,237        pp,4.20,30,Mar 2013,Mar 2013,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Paperback,view,/book/show/17750431
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Understory,"Sangsuk, Saneh",1646052757,9781646052752,,320        pp,4.36,106,"Sep 01, 2003","Jul 18, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Paperback,view,/book/show/63903021-the-understory
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Darling Dreadful Thing,"Veen, Johanna van",1728281547,9781728281544,1728281547,384        pp,4.24,206,"May 14, 2024","May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Paperback,view,/book/show/193544852-my-darling-dreadful-thing
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Angel of Indian Lake        (The Indian Lake Trilogy, #3)","Jones, Stephen Graham*",1668011662,9781668011669,1668011662,455        pp,4.42,"1,020","Mar 26, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Hardcover,view,/book/show/178019710-the-angel-of-indian-lake
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Annie Bot,"Greer, Sierra*",0063312697,9780063312692,0063312697,240        pp,3.85,"7,894","Mar 19, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Hardcover,view,/book/show/156023123-annie-bot
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Evocation        (The Summoner’s Circle, #1)","Gibson, S.T.*",191520268X,9781915202680,191520268X,400        pp,4.00,314,"May 28, 2024","May 28, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Hardcover,view,/book/show/123288408-evocation
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Sweet Sting of Salt,"Sutherland, Rose*",0593594592,9780593594599,0593594592,352        pp,4.17,435,"Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Paperback,view,/book/show/186872566-a-sweet-sting-of-salt
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All Fours,"July, Miranda*",0593190262,9780593190265,0593190262,336        pp,4.30,158,"May 14, 2024","May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Hardcover,view,/book/show/197798168-all-fours
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Oye,"Mogollon, Melissa*",0593594908,9780593594902,0593594908,336        pp,3.96,188,"May 14, 2024","May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Hardcover,view,/book/show/196845489-oye
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Cemetery of Untold Stories,"Alvarez, Julia*",1643753843,9781643753843,1643753843,256        pp,3.85,434,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Hardcover,view,/book/show/195820829-the-cemetery-of-untold-stories
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Where Sleeping Girls Lie,"Àbíké-Íyímídé, Faridah*",1250800846,9781250800848,1250800846,416        pp,4.17,"1,622","Mar 19, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Hardcover,view,/book/show/61484909-where-sleeping-girls-lie
60,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Truth about the Devlins,"Scottoline, Lisa*",0525539700,9780525539704,0525539700,384        pp,4.07,"3,176","Mar 26, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Hardcover,view,/book/show/181350612-the-truth-about-the-devlins
61,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Five Year Lie,"Bowen, Sarina*",0063280604,9780063280601,0063280604,432        pp,4.15,209,"May 14, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Paperback,view,/book/show/195853534-the-five-year-lie
62,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Autobiography of Red,"Carson, Anne",037570129X,9780375701290,037570129X,160        pp,4.28,"29,413","Mar 31, 1998","Aug 01, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Paperback,view,/book/show/61049.Autobiography_of_Red
