,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Deborah's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Have Some Questions For You,"Makkai, Rebecca*",0593490150,,B09ZRWP8DS,448        pp,3.62,"101,888","Feb 21, 2023","Feb 21, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 21, 2023","Mar 26, 2023","Mar 21, 2023",,Kindle Edition,view,/book/show/61053833-i-have-some-questions-for-you
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Thing He Told Me,"Dave, Laura*",,,B08LDY1MKW,316        pp,3.84,"941,237","May 04, 2021","May 04, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 13, 2023","Mar 14, 2023","Mar 13, 2023",,Kindle Edition,view,/book/show/56169546-the-last-thing-he-told-me
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Local Woman Missing,"Kubica, Mary*",,,B08DKZX3FX,353        pp,4.15,"422,492","May 18, 2021","May 18, 2021",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 10, 2023","Mar 13, 2023","Mar 10, 2023",,Kindle Edition,view,/book/show/55970694-local-woman-missing
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Final Girl Support Group,"Hendrix, Grady*",,,B08MBQKTTQ,352        pp,3.52,"135,300","Jul 13, 2021","Jul 13, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 06, 2023","Mar 07, 2023","Mar 06, 2023",,Kindle Edition,view,/book/show/55939506-the-final-girl-support-group
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last to Vanish,"Miranda, Megan*",,,B09JPKYJZH,352        pp,3.56,"61,499","Jul 26, 2022","Jul 26, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 25, 2023","Mar 06, 2023","Feb 25, 2023",,Kindle Edition,view,/book/show/59366312-the-last-to-vanish
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Exiles        (Aaron Falk, #3)","Harper, Jane*",,,B09XL72RWP,352        pp,4.05,"57,369","Sep 20, 2022","Jan 31, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 16, 2023","Feb 19, 2023","Feb 16, 2023",,Kindle Edition,view,/book/show/60807061-exiles
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Somebody's Fool,"Russo, Richard*",0593317890,9780593317891,,464        pp,4.28,"5,809","Jul 25, 2023","Jul 25, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 23, 2023",,Hardcover,view,/book/show/62952125-somebody-s-fool
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,"Grann, David*",0307742482,9780307742483,0307742482,377        pp,4.15,"340,102","Apr 18, 2017","Apr 03, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 23, 2023",,Paperback,view,/book/show/35954609-killers-of-the-flower-moon
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Safest Lies,"Miranda, Megan*",,,,370        pp,3.84,"14,802","May 24, 2016","May 24, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 29, 2022","Dec 02, 2022","Nov 29, 2022",,Kindle Edition,view,/book/show/29335006-the-safest-lies
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Chairlift,"Irving, John*",1501189271,9781501189272,1501189271,889        pp,3.44,"8,130","Oct 18, 2022","Oct 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 20, 2022",,Hardcover,view,/book/show/60320396-the-last-chairlift
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bewilderment,"Powers, Richard",,,B08X19W2HD,288        pp,3.92,"59,181","Sep 21, 2021","Sep 21, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 18, 2021",not set,"Nov 18, 2021",,Kindle Edition,view,/book/show/57621073-bewilderment
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Survivors,"Harper, Jane*",,,B087ZY8NXX,379        pp,3.76,"96,023","Sep 22, 2020","Feb 02, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 09, 2021","Nov 13, 2021","Nov 09, 2021",,Kindle Edition,view,/book/show/53519886-the-survivors
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Story Sisters,"Hoffman, Alice*",,,B002AWX6HK,338        pp,3.85,"17,005","Jan 01, 2009","Jun 02, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 03, 2021","Nov 09, 2021","Nov 03, 2021",,Kindle Edition,view,/book/show/6582536-the-story-sisters
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Killer's Wife        (Desert Plains, #1)","Methos, Victor*",1542003903,9781542003902,B07R29FDQD,358        pp,4.32,"39,575","Mar 01, 2020","Mar 01, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 03, 2021","Nov 03, 2021","Nov 03, 2021",,Kindle Edition,view,/book/show/46224901-a-killer-s-wife
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Less        (Arthur Less, #1)","Greer, Andrew Sean",,,B01MSICPW3,273        pp,3.64,"203,355","Jul 18, 2017","Jul 18, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 14, 2021","Nov 02, 2021","Oct 14, 2021",,Kindle Edition,view,/book/show/39927096-less
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Temple House Vanishing,"Donohue, Rachel",1643751735,,B08GFTQYX8,304        pp,3.39,"3,142","Feb 06, 2020","Jul 06, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 13, 2021","Oct 13, 2021","Jul 13, 2021",,Kindle Edition,view,/book/show/56230698-the-temple-house-vanishing
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Familiar Sight        (Dr. Gretchen White, #1)","Labuskes, Brianna*",1542027357,9781542027359,B089GSVYJW,367        pp,4.12,"22,912","Aug 01, 2021","Aug 01, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 05, 2021","Jul 13, 2021","Jul 05, 2021",,Kindle Edition,view,/book/show/55582157-a-familiar-sight
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Were Liars,"Lockhart, E.*",,,B00FPOSDGY,242        pp,3.67,"1,144,866","May 13, 2014",Mar 2018,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 28, 2021","Jun 29, 2021","Jun 28, 2021",,Kindle Edition,view,/book/show/39673241-we-were-liars
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,House Made of Dawn,"Momaday, N. Scott",,,B07L2Z4T5H,195        pp,3.63,"9,324",1968,"Dec 18, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 02, 2020",not set,"Nov 02, 2020",,Kindle Edition,view,/book/show/43226513-house-made-of-dawn
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Extraordinary Life of Sam Hell,"Dugoni, Robert*",1503933334,9781503933330,B074H8NFDF,449        pp,4.43,"161,569","Apr 24, 2018","Apr 24, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 26, 2020","Nov 02, 2020","Aug 26, 2020",,Kindle Edition,view,/book/show/36183538-the-extraordinary-life-of-sam-hell
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Thief River Falls,"Freeman, Brian*",1542093376,9781542093378,B07MCT1GC3,314        pp,3.97,"37,044","Feb 01, 2020","Feb 01, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Got a few chapters in and abandoned it. Wasn't capturing my attention, felt terribly contrived.Got a few chapters in and abandoned it. Wasn't capturing my attention, felt terribly contrived....more",Notes are private!,0,2,1,"Aug 24, 2020","Sep 04, 2020","Aug 24, 2020",,Kindle Edition,view (with text),/book/show/43708240-thief-river-falls
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In the Dark,"White, Loreth Anne*",1542003822,9781542003827,B07PSFHQPG,413        pp,4.07,"23,944","Dec 01, 2019","Dec 01, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Really clever little mystery in the style of Agatha Christie. Has two crime solvers who are bound to turn up in other installments, and that's fine wiReally clever little mystery in the style of Agatha Christie. Has two crime solvers who are bound to turn up in other installments, and that's fine with me. Kept my attention throughout. Well done....more",Notes are private!,0,4,1,"Aug 13, 2020","Aug 19, 2020","Aug 13, 2020",,Kindle Edition,view (with text),/book/show/44527037-in-the-dark
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Surfacing,"Atwood, Margaret*",,,B007EDZ13C,206        pp,3.45,"26,523",1972,"Mar 27, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 13, 2020",not set,"Aug 13, 2020",,Kindle Edition,view,/book/show/15716507-surfacing
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Astrophysics for People in a Hurry,"Tyson, Neil deGrasse *",,,B01MAWT2MO,222        pp,4.08,"179,154","May 02, 2017","May 02, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Aug 2020,not set,"Aug 01, 2020",,Kindle Edition,view,/book/show/33395538-astrophysics-for-people-in-a-hurry
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Stand,"King, Stephen*",,,,"1,348        pp",4.35,"760,548",1990,"Jun 24, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 24, 2020","Nov 02, 2020","Jul 24, 2020",,Kindle Edition,view,/book/show/5864120-the-stand
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Fly in Ten Thousand Easy Lessons,"Kingsolver, Barbara",0062993089,9780062993083,0062993089,111        pp,3.86,"2,559","Aug 04, 2020","Sep 22, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 02, 2020",,Hardcover,view,/book/show/49867447-how-to-fly-in-ten-thousand-easy-lessons
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Catch and Kill: Lies, Spies, and a Conspiracy to Protect Predators","Farrow, Ronan",0316486647,9780316486644,0316486647,480        pp,4.41,"96,894","Oct 15, 2019","Jun 30, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 26, 2020",,Paperback,view,/book/show/52588603-catch-and-kill
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Find Me        (Inland Empire, #1)","Frasier, Anne*",,,,282        pp,4.20,"26,980","Jul 01, 2020","Jul 01, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Serviceable book with a unique, creepy premise. Suffers from an issue in the big reveal that absolutely infuriates me in a multitude of recent books (Serviceable book with a unique, creepy premise. Suffers from an issue in the big reveal that absolutely infuriates me in a multitude of recent books (I've mentioned it in other s so won't go on a tangent), but otherwise engaging and well paced. A quick, engrossing read....more",Notes are private!,0,3,1,"Jul 26, 2020","Jul 31, 2020","Jun 17, 2020",,Kindle Edition,view (with text),/book/show/49884715-find-me
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Anxious People,"Backman, Fredrik*",198216963X,9781982169633,198216963X,336        pp,4.18,"633,729","Apr 25, 2019","Jan 01, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 16, 2020",,Hardcover,view,/book/show/49127718-anxious-people
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Utopia Avenue,"Mitchell, David",0812997433,9780812997439,0812997433,574        pp,4.00,"23,539","Jul 14, 2020","Jul 14, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 26, 2020",,Hardcover,view,/book/show/52597312-utopia-avenue
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Case Histories        (Jackson Brodie, #1)","Atkinson, Kate",0316010707,9780316010702,0316010707,389        pp,3.81,"107,482","Sep 01, 2004","Oct 17, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 26, 2020",,Paperback,view,/book/show/16243.Case_Histories
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sometimes I Lie,"Feeney, Alice*",,,B074ZR3ZLM,264        pp,3.78,"222,408","Mar 23, 2017","Mar 13, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 26, 2020",,Kindle Edition,view,/book/show/36112959-sometimes-i-lie
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What You Did,"McGowan, Claire",1542091349,9781542091343,B07KPFLD6Q,282        pp,3.94,"69,381","Aug 01, 2019","Aug 01, 2019",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Unfortunate. This is the first time I have ever gotten halfway through a book and become so tired of the characters that I just skipped to the end to Unfortunate. This is the first time I have ever gotten halfway through a book and become so tired of the characters that I just skipped to the end to see if I was right about the ""big reveal."" (I was.) Poorly written, lacking in adequate character development and believability, full of stereotypes and stale tropes. Skip it. There are plenty of good mystery books out there. This isn't one of them....more",Notes are private!,0,5,1,"May 19, 2020","May 21, 2020","May 19, 2020",,Kindle Edition,view (with text),/book/show/44107392-what-you-did
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Am Watching You,"Driscoll, Teresa*",1542096596,9781542096591,B06Y1264PX,301        pp,3.99,"163,048","Oct 01, 2017","Oct 01, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"On a train ride to London, a woman overhears two young men chatting up two teenage girls. They flirt for a while and soon the young men convince the gOn a train ride to London, a woman overhears two young men chatting up two teenage girls. They flirt for a while and soon the young men convince the girls that London will be more fun if the girls agree to join them at a club that evening. The woman eavesdropping on all this finds out the young men have just been released from prison. What to do? After gleaning all the necessary information to make a call and warn their parents, the woman agonizes over whether or not to meddle and ultimately does not make the call. The next morning, one of the girls from the train goes missing.Such is the premise of ""I Am Watching You,"" a serviceable mystery, fast-paced, simply written, broken down into short chapters featuring various integral characters. The premise leads us down many interesting paths, there are lots of twists and turns, and the ending is one I didn't expect even though there were hints along the way. The book has a few flaws and moments that don't quite ring true, but these are excusable, because the story is quite good and clips along. A nice palate cleanser for anyone who wants a diversion from heavier fare....more",Notes are private!,0,1,1,"May 09, 2020","May 12, 2020","May 09, 2020",,Kindle Edition,view (with text),/book/show/34914739-i-am-watching-you
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Magic Lessons        (Practical Magic, #0.1)","Hoffman, Alice*",1982108843,9781982108847,1982108843,396        pp,4.21,"55,242","Oct 06, 2020","Oct 06, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 05, 2020",,Hardcover,view,/book/show/50892349-magic-lessons
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Turn of the Key,"Ware, Ruth*",150118878X,9781501188787,150118878X,336        pp,3.92,"279,538","Aug 06, 2019","May 12, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 27, 2020",,Paperback,view,/book/show/49931482-the-turn-of-the-key
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Daisy Jones & The Six,"Reid, Taylor Jenkins*",1524798649,9781524798642,1524798649,382        pp,4.21,"1,486,809","Mar 05, 2019","Feb 04, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 24, 2020",,Paperback,view,/book/show/50392746-daisy-jones-the-six
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Uninhabitable Earth: Life After Warming,"Wallace-Wells, David*",0525576703,9780525576709,0525576703,310        pp,4.01,"27,282","Feb 19, 2019","Feb 19, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 11, 2020",,Hardcover,view,/book/show/41552709-the-uninhabitable-earth
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,State of Wonder,"Patchett, Ann",,,B004G8QZSS,370        pp,3.89,"188,469","May 03, 2011","Jun 07, 2011",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I have read three other Ann Patchett books (""The Patron Saint of Liars,"" ""Run,"" and the award-winning ""Bel Canto""), and I have loved all of them. TrulI have read three other Ann Patchett books (""The Patron Saint of Liars,"" ""Run,"" and the award-winning ""Bel Canto""), and I have loved all of them. Truly loved them. They were very different from each other- the settings, the themes, the tone, the pacing - and yet, I connected with all of them and often recall scenes and moments that still speak to me and move me. ""State of Wonder,"" on the other hand, was so devoid of authenticity from start to finish that it felt like it wasn't even written by Patchett, and I am a little heartbroken to have to give it a bad . (There may be spoilers ahead.)The story centers around Marina, a middle-aged pharmacologist working for a large pharma company (and entwined in a secret relationship with the CEO) whose lab partner and friend is sent to the Amazon to track down the brilliant and headstrong elderly ethnobotanist, who is being generously funded for her research into a remarkable new drug, but has not been reporting back on her progress for months at a time. When the lab partner sent to track her down is subsequently reported to have died there, the CEO decides to send Marina to the Amazon to do what her friend could not. Do you see the problems with this scenario already? Why is an elderly ethnobotanist being left to her own devices for months, sometimes years, with virtually no contact whatsoever (she could be dead for all they know) by a pharma company who continues to foot the bill for all of her needs despite having no idea how far she has come in the drug development process? [Note: I have worked for big pharma - this would NEVER happen.] Why are two people wholly unequipped for difficult passage in the Amazon sent ALONE to scope out the situation? [Note: A wealthy pharma company would provide a team, a guide, a plan of some sort. A middle-aged sedentary lab doctor would not be the first choice for this mission.] And why would...Let me stop myself here. This was the problem with every sentence of ""State of Wonder."" Not a single scenario made any sense at all. Every plot contrivance was so ludicrous, in fact, that I started to wonder if this were not a straightforward narrative at all, but a set-up, and that I would discover somewhere in the middle of the book that this was some existential dream - the fever dream of a woman in the Amazon or a woman in an asylum or some sort of drug-induced delirium. I started to actually hope that it was, because that would have made the book far more interesting and believable. I won't go on. You see my issues here. I gave the book two stars, because despite it's ridiculousness, I kept reading, which is something I rarely do when contrivances bother me this much. I still wanted to see if something unexpected would redeem the story, some greater point would be made or some hint of genuine connection would surface to remind me of the writer whose books I have come to love over the years. Unfortunately, that did not happen. If you don't mind suspending disbelief over and over again, by all means, read this book. The prose is still captivating and the characters hold a weird mystique. But if you like a well-crafted, thoughtful book with genuine depth and enough realism to create a connection, try one of the other Patchett books mentioned above. They are far superior to this one and shine a better light on an author I otherwise highly recommend. ...more",Notes are private!,0,1,1,"Feb 10, 2020","Feb 24, 2020","Feb 10, 2020",,Kindle Edition,view (with text),/book/show/10288116-state-of-wonder
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Caribou Island,"Vann, David*",0061875724,9780061875724,0061875724,293        pp,3.48,"3,431",2010,"Jan 18, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2020",,Hardcover,view,/book/show/8584946-caribou-island
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hunting Party,"Foley, Lucy",0062868918,9780062868916,0062868918,327        pp,3.63,"279,739","Dec 03, 2018","Mar 03, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2020",,Paperback,view,/book/show/46258982-the-hunting-party
