,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Radu's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Căderea unui sombrero,"Brautigan, Richard",9734729063,9789734729067,9734729063,168        pp,4.08,"3,316",1976,Mar 2019,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Paperback,view,/book/show/45036154-c-derea-unui-sombrero
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Experimentul Dosadi        (ConSentiency Universe, #2)","Herbert, Frank",9739081282,,,320        pp,3.83,"7,711",1977,1993,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,8,1,not set,not set,"Mar 12, 2024",,Paperback,view,/book/show/23307770-experimentul-dosadi
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rob Roy,"Scott, Walter",,9786065399778,,491        pp,3.69,"9,904",1817,2011,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,14,1,not set,not set,"Mar 12, 2024",,Hardcover,view,/book/show/16131611-rob-roy
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Der Stechlin,"Fontane, Theodor",3538063052,9783538063051,3538063052,470        pp,3.69,683,1898,"Jan 01, 2006",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,not set,"Mar 12, 2024",,Hardcover,view,/book/show/3428399-der-stechlin
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ce verde era valea mea,"Llewellyn, Richard",,,,unknown,4.20,"17,417",1939,unknown,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,not set,"Mar 12, 2024",,Paperback,view,/book/show/16149268-ce-verde-era-valea-mea
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Disperare,"Nabokov, Vladimir",9734613537,9789734613533,9734613537,272        pp,3.91,"10,157",1934,2009,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,14,1,not set,not set,"Feb 25, 2024",,Hardcover,view,/book/show/17607660-disperare
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Antologia Nebula 2012,"Kelly, James Patrick*",9737077504,9789737077509,9737077504,504        pp,3.55,173,"Jan 01, 2012",May 2013,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/18167614-antologia-nebula-2012
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Greaţa,"Sartre, Jean-Paul",9733401714,,,230        pp,3.94,"119,313",1938,1990,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,8,1,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/10358683-grea-a
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jonathan Strange & Mr. Norrell,"Clarke, Susanna",,,,"1,006        pp",3.86,"236,380","Sep 08, 2004","Aug 01, 2006",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/14201.Jonathan_Strange_Mr_Norrell
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Programatorul Divin,"Sawyer, Robert J.*",9731020217,9789731020211,9731020217,391        pp,3.86,"9,762","Jun 03, 2000",2009,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/12769263-programatorul-divin
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Floarea de loldilal,"Mircea, Ana-Veronica*",6065793639,9786065793637,6065793639,368        pp,3.67,51,"Jun 02, 2012","Jun 02, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/14290818-floarea-de-loldilal
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ultimul Caiet. Texte scrise pentru blog: martie 2009-noiembrie 2009,"Saramago, José",9734620843,9789734620845,9734620843,224        pp,3.86,225,"Jan 01, 2009",Jul 2011,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Feb 25, 2024",,Hardcover,view,/book/show/21563814-ultimul-caiet-texte-scrise-pentru-blog
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Istoria sacră: ființele supranaturale și nașterea lumii noastre,"Black, Jonathan",,9786065798144,6065798142,504        pp,3.95,528,"Jan 01, 2013",Jul 2014,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Feb 25, 2024",,Hardcover,view,/book/show/22755679-istoria-sacr
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Istoria secretă a lumii,"Black, Jonathan",,9786065796348,6065796344,400        pp,3.51,"4,959",2007,2013,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/35445065-istoria-secret-a-lumii
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ziua reîntoarcerii lor,"Anderson, Poul",9739144047,9789739144049,,223        pp,3.26,257,1973,1992,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/17227319-ziua-re-ntoarcerii-lor
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Despartiri,"Onetti, Juan Carlos",9735698129,9789735698126,,144        pp,3.72,"1,502",1953,2006,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/15829542-despartiri
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Următoarea poveste,"Nooteboom, Cees",0978753216,,,112        pp,3.66,"2,012",1991,2006,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/11280404-urm-toarea-poveste
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,CAPITANUL LAFORTUNE,"Gandon, Yves",,,,472        pp,4.33,12,1970,1972,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/17974671-capitanul-lafortune
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La miezul nopţii 2,"King, Stephen*",9737072065,9789737072061,9737072065,552        pp,4.00,23,"Jan 01, 2008",2008,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/20697881-la-miezul-nop-ii-2
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La miezul nopţii 1,"King, Stephen*",9737070631,9789737070630,B004ZKVKXW,616        pp,4.35,34,"Jan 01, 2006",2006,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/20697849-la-miezul-nop-ii-1
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La aventura equinoccial de Lope de Aguirre,"Sender, Ramón J.",8421818406,9788421818404,8421818406,376        pp,3.82,250,1964,"Jan 01, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/3517626-la-aventura-equinoccial-de-lope-de-aguirre
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Temporada de ángeles,"Otero, Lisandro",8402106676,9788402106674,,405        pp,4.33,3,unknown,Jan 1986,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/36103492-temporada-de-ngeles
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Theofano, imparateasa Bizantului","Kyriazis, Kostas D.",,,,463        pp,4.25,12,unknown,1973,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/32486140-theofano-imparateasa-bizantului
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Erotica -  Colectiile Cotidianu,"Purcaru, Alina",,,,400        pp,3.00,8,2008,2008,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/25708952-erotica---colectiile-cotidianu
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Babilon,"Calder, Richard",,9789737332042,,236        pp,3.04,27,"Jan 01, 2005",2008,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/26346886-babilon
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Catharii,"Brenon, Anne",9731432604,9789731432601,9731432604,240        pp,3.67,54,"May 14, 1997","Oct 26, 2008",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/35109808-catharii
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Veniss Underground,"VanderMeer, Jeff*",9737330951,,,334        pp,3.79,"3,336",Apr 2003,2006,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/19181417-veniss-underground
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cowl,"Asher, Neal*",9738465869,9789738465862,,432        pp,3.78,"2,200",Mar 2004,2004,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/17559922-cowl
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Exploratorul        (Alex Benedict, #3)","McDevitt, Jack",,9789731432229,,538        pp,3.92,"7,770",Nov 2005,2008,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/19153032-exploratorul
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Year's Best Science Fiction, Volumul 7","Dozois, Gardner",6065794503,9786065794504,6065794503,616        pp,4.29,7,2011,"Mar 21, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,7,1,not set,not set,"Feb 24, 2024",,Paperback,view,/book/show/33986989-the-year-s-best-science-fiction-volumul-7
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Year's Best Science Fiction, Volumul 6","Dozois, Gardner",6065791245,9786065791244,6065791245,664        pp,3.58,12,Jan 2011,Jan 2011,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,not set,not set,"Feb 24, 2024",,Paperback,view,/book/show/16099755-the-year-s-best-science-fiction-volumul-6
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Year's Best Science Fiction, Volumul 5","Dozois, Gardner",6068134040,9786068134048,6068134040,736        pp,3.80,15,Jan 2010,Jan 2010,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,not set,not set,"Feb 24, 2024",,Paperback,view,/book/show/16109994-the-year-s-best-science-fiction-volumul-5
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Year's Best Science Fiction, Volumul 4","Dozois, Gardner",9731432213,9789731432212,9731432213,732        pp,3.43,21,Jan 2008,Jan 2008,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,not set,"Feb 24, 2024",,Paperback,view,/book/show/16110022-the-year-s-best-science-fiction-volumul-4
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Year's Best Science Fiction, Volumul 3","Dozois, Gardner",9731431756,9789731431758,9731431756,724        pp,3.70,23,May 2008,May 2008,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,not set,not set,"Feb 24, 2024",,Paperback,view,/book/show/16110051-the-year-s-best-science-fiction-volumul-3
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Year's Best Science Fiction, Volumul 2","Dozois, Gardner",9731430725,9789731430720,9731430725,672        pp,3.60,15,2008,2008,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,6,1,not set,not set,"Feb 24, 2024",,Paperback,view,/book/show/16110073-the-year-s-best-science-fiction-volumul-2
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Year's Best Science Fiction, Volumul 1","Dozois, Gardner",9731430563,9789731430560,,672        pp,3.71,17,2006,Oct 2007,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Feb 24, 2024",,Paperback,view,/book/show/13602835-the-year-s-best-science-fiction-volumul-1
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Pan Wołodyjowski, Vol. 1+2. Top 10+","Sienkiewicz, Henryk",9734687476,9789734687473,9734687476,0        pp,3.97,"2,879",1886,"Nov 22, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,11,1,not set,not set,"Feb 24, 2024",,Paperback,view,/book/show/63388923-pan-wo-odyjowski-vol-1-2-top-10
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Potopul,"Sienkiewicz, Henryk",,,,"1,408        pp",3.69,"5,781",1886,2005,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,not set,not set,"Feb 24, 2024",,Hardcover,view,/book/show/31804038-potopul
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Prin foc și sabie,"Sienkiewicz, Henryk",,,,928        pp,4.05,"5,926",1884,2008,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,not set,not set,"Feb 24, 2024",,Hardcover,view,/book/show/31804064-prin-foc-i-sabie
60,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chłopi,"Reymont, Władysław Stanisław",8311157669,9788311157668,8311157669,"1,182        pp",3.37,"5,113",1909,2019,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 24, 2024",,Hardcover,view,/book/show/57328802-ch-opi
61,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bureți de fag,"Duțescu, M.",6064011572,9786064011572,6064011572,176        pp,3.71,532,Oct 2021,Oct 2021,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Feb 21, 2024","Feb 22, 2024","Feb 21, 2024",,Paperback,view,/book/show/59245283-bure-i-de-fag
62,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Un yankeu la curtea regelui Arthur,"Twain, Mark",,,,428        pp,3.77,"103,489",1889,1975,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,10,1,not set,not set,"Feb 21, 2024",,Paperback,view,/book/show/23160769-un-yankeu-la-curtea-regelui-arthur
