,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Alex's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Slowworm's Song,"Miller, Andrew",,9781399701266,,unknown,4.08,"1,053","Mar 03, 2022","Mar 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 11, 2024",,Hardcover,view,/book/show/59969245-the-slowworm-s-song
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chef's House,"Carver, Raymond",,,,unknown,3.67,18,unknown,unknown,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Yes I'm logging short stories now fuck off. I just refuse to have my first official read of the year be that God awful How To Kill Your Family book, wYes I'm logging short stories now fuck off. I just refuse to have my first official read of the year be that God awful How To Kill Your Family book, which I will be tearing to absolute shreds At A Time Near You :)))(This is beautiful btw)...more",Notes are private!,0,5,1,"Jan 09, 2024","Jan 09, 2024","Jan 09, 2024",,Audiobook,view (with text),/book/show/61050602-chef-s-house
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Black Sugar,"Bonnefoy, Miguel",1910477524,9781910477526,1910477524,208        pp,3.53,481,"Aug 16, 2017","Apr 03, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Yeah man this is decent. Some old ass pirate treasure gets buried deep under a Venezuelan village and three hundred years later everyone's still thinkYeah man this is decent. Some old ass pirate treasure gets buried deep under a Venezuelan village and three hundred years later everyone's still thinkin about it. 'Wouldnt it be nice to find the treasure,' say this one family. 'Let's pursue this in a very healthy and normal manner.' It's a technically solid story and a good easy to follow allegory for the colonisation of this part of the Americas. It doesn't really do anything wrong, but it doesn't really lurch to any great heights either. I think I would have liked Bonnefoy to get a bit closer to the characters and the setting and to really build up the sense of the community here. As it is, the more stood-back, tale-round-a-fire style of storytelling made it feel a little bit meat n potatoes. There was an opportunity here for something with much more emotional force had the author (treasure joke coming this is a treasure joke okay here it is treasure joke) dug a little deeper....more",Notes are private!,0,1,1,"Jan 02, 2024","Jan 15, 2024","Jan 02, 2024",,Paperback,view (with text),/book/show/34381155-black-sugar
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Kill Your Family,"Mackie, Bella",0008365911,9780008365912,0008365911,355        pp,3.55,"125,539","Jun 10, 2021","Jun 10, 2021",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a pathetic novel. I'm taking it as an extreme testament to my mental strength that I stuck this out to the end. The writing is poor. The storyThis is a pathetic novel. I'm taking it as an extreme testament to my mental strength that I stuck this out to the end. The writing is poor. The story is poor. It's barely even her family that she's killing and she doesn't even kill them all!!! The two most important ones just die by themselves!!! I would tick the 'my  contains spoilers' box but this book isnt worthy of it. Grace has hands down got to be the most lethargic and boring serial killer ever. Even shE can't be arsed. Absolutely zero personality. Like,,, mAybe this is meant to show how detached and driven she is to murder these people, but most of the time the only thing she's killing is the buzz. The humour is cynical and so unoriginal it's nauseating. Like, yes British people love queueing. Ha ha ha who even likes bountys. 'I loved this book,' says Richard Osman. So now we know for sure never to give the Thursday Murder Club a chance. This really could be the book that pushes me to being one of those contradictorians who assumes anything that sells well must be bad. I didn't want to be this way but this is the content that we are dealing with. You did this to me. It's just the exact opposite of good writing. It's so stupidly lazy at every turn and just wastes everybody's time. Who the fUck was editing this??? How can you just let a mysterious new brother magically appear at the end to wrap up the loose ends??? Loose ends that even with a basic amount of plot management wouldnt have had to be there in the first place??? Did an infant write this????? The euphoria I feel to be shot of this shite heap is so palpable I could cry. I can't believe I sold this to someone in my bookshop using the phrase 'like a millennial Kill Bill'. I'm going to actually throw up....more",Notes are private!,2,10,1,"Dec 28, 2023","Jan 10, 2024","Dec 28, 2023",,Hardcover,view (with text),/book/show/50224049-how-to-kill-your-family
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cup of Gold,"Steinbeck, John",0141186127,9780141186122,0141186127,187        pp,3.43,"3,995",1929,2008,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Okay John I wont become a pirate I guess??Sometimes when you read the first novel of a big time author it's not up to the level they go on to achieve Okay John I wont become a pirate I guess??Sometimes when you read the first novel of a big time author it's not up to the level they go on to achieve but you can still see elements of them finding their voice and getting into gear. But for the most part Cup Of Gold feels like anybody could have written it. A very dated ripping yarn type adventure story that is interesting as a historical artefact but nothing much more. Incredibly jarring to read Steinbeck writing about south Wales....more,Notes are private!,0,2,1,"Dec 07, 2023","Dec 29, 2023","Dec 07, 2023",,Paperback,view (with text),/book/show/186364.Cup_of_Gold
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Green Road,"Enright, Anne",0393352803,9780393352801,0393352803,336        pp,3.50,"15,172","May 04, 2015","May 03, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 14, 2023",,Paperback,view,/book/show/26530354-the-green-road
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Piranesi,"Clarke, Susanna",1432886576,9781432886578,1432886576,365        pp,4.23,"280,820","Sep 15, 2020","Apr 28, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This whole thing definitely could and possibly already has happened to Aaronn Coogan.,Notes are private!,0,4,1,"Nov 11, 2023","Nov 28, 2023","Nov 11, 2023",,Library Binding,view (with text),/book/show/56297492-piranesi
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nagasaki,"Faye, Éric",190831365X,9781908313652,190831365X,109        pp,3.58,"1,895","Aug 18, 2010","Apr 14, 2014",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I work in a secondhand book shop that also buys paperbacks off people and a nice old lady sold me this and was like 'I read it in an afternoon it's reI work in a secondhand book shop that also buys paperbacks off people and a nice old lady sold me this and was like 'I read it in an afternoon it's really good promise' so I read it in an afternoon and unfortunately it's not very good and that woman was a liar. It's a little story about a guy who discovers that a woman has been living secretly in his house for over a year, eating all his yoghurt without him realising. Then when she gets found out and arrested he really misses her even though he was never really aware of her. It's actually quite a good concept but the writing is just bad on a fundamental level. Lots of cliches and bizarre similes. Lots of big profound statements on the meaningless of the universe that just come out of nowhere. Also keeps changing tense and perspective for some reason? It's like the writer is close to isolating a good story about loneliness and alienation, but doesnt seem to realise it at all and just bulldozes on into this weird narrative about how everyone should be allowed to have a key to their childhood home after they move out (????) I'm not joking that's the note the book ends on. It ends with this deranged letter from the intruder being like 'and the big reason why I stayed in your house so long.... is that I wanted to lol. Also I'm addicted to drugs. One time I was in a paramilitary group. Anyway, bye!' That's literally it like it's one of the wildest endings to a books I've ever read. Also the author has clearly never been to Nagasaki or Japan in general it's so funny when he's all like 'I bought a /bento box/ at lunch and ate... /rice/'. King shit level of no research whatsoever. Okay this is a longer  than I anticipated but I'm actually just kinda fascinated by this book. Who published it? What is this French academy that gave it an award??? It's right in that uncanny, In Time (dir. Andrew Niccol, 2011) sweetspot between almost good and actually terrible which you all know sends my greasefire brain into absolute haywire. Was gonna bring this back to my shop but maybe this is one for Jay Fox to check over. Something's up here. What is it....more",Notes are private!,0,6,1,"Nov 08, 2023","Nov 08, 2023","Nov 08, 2023",,Paperback,view (with text),/book/show/20956922-nagasaki
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Story of Mr Sommer,"Süskind, Patrick",0747566755,9780747566755,0747566755,128        pp,3.82,"6,424",1991,"Jan 01, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 06, 2023",,Paperback,view,/book/show/2900.The_Story_of_Mr_Sommer
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Pigeon,"Süskind, Patrick",0140105832,9780140105834,0140105832,77        pp,3.71,"19,280",1987,"Jan 01, 1989",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 06, 2023",,Paperback,view,/book/show/2899.The_Pigeon
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,To Battersea Park,"Hensher, Philip",0008323127,9780008323127,B0BFKFBVZ9,295        pp,3.18,169,unknown,"Mar 30, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Sat in Auckland airport waiting for my ears to pop, thinkin about the sheer gall of my man Philip Hensher.For a long time I felt like we shouldn't be Sat in Auckland airport waiting for my ears to pop, thinkin about the sheer gall of my man Philip Hensher.For a long time I felt like we shouldn't be writing about covid, mostly for emotionally driven reasons, but I feel like this novel is a really great way to dip the toe into that whole trauma bath, a novel which, in itself, is an exploration of how the fuck we can write about this period in a way that's remotely meaningful. It's four parts, four different lockdown stories written in four different styles, essentially being like 'how about this', 'no actually how about this', 'or this', 'actually forget it'. It's really interesting to see Philip fucking with the ideas in real time. Like, he does a really good job of making everything as boring and banal as possible, then seems to just go 'actually fuck this someone's gotta get stabbed'. Defo a bit wanky in places when he starts writing about the craft of the story during the story - felt like he could have left all that to speak for itself - but I respect the ambition to fuck with the form, and ultimately each story is really rewarding in the way they slowly unfurl and pull threads together. On the whole our Phil uses covid really effectively as a means of exploring how little we know about people's private lives. LOVE the ending as well what an absolutely wild left turn into like a whole other genre so out of character lmao king shitKinda unrelated but feels like this is for fans of videos that explain old London tube maps...more",Notes are private!,0,3,1,"Nov 05, 2023","Dec 05, 2023","Nov 05, 2023",,Kindle Edition,view (with text),/book/show/62703158-to-battersea-park
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I'm Glad My Mom Died,"McCurdy, Jennette",,,,320        pp,4.47,"965,464","Aug 09, 2022","Aug 09, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Damn I'm glad her mom died too.Damn I'm glad her mom died too....more,Notes are private!,0,9,1,"Oct 19, 2023","Nov 03, 2023","Oct 19, 2023",,ebook,view (with text),/book/show/59364173-i-m-glad-my-mom-died
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Shadow of the Torturer        (The Book of the New Sun, #1)","Wolfe, Gene",0671540661,9780671540661,0671540661,262        pp,3.83,"29,377",May 1980,"Jun 03, 1984",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 13, 2023",,Paperback,view,/book/show/60211.The_Shadow_of_the_Torturer
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Shipping News,"Proulx, Annie",0743225422,9780743225427,0743225422,337        pp,3.88,"146,081",1993,2002,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Twat. Back of the net. So so glad I took the whole month to read this. This is an all-timer. Annie Proulx's The Shipping News asks a simple question. Twat. Back of the net. So so glad I took the whole month to read this. This is an all-timer. Annie Proulx's The Shipping News asks a simple question. How can you get over your terrible wife dying in a car crash when everyone around you is completely deranged?? The Newfoundland Proulx gives us is fucked. Violence is everywhere. The world is depraved and scary. Yet the overall reading experience is so calming, so immersive, each paragraph like another wave coming into shore. Quoyle is just tryna do right by his kids and grill a few squid burgers. I love him. I love him. I love him forever. The grOWth each of these characters go through... and without the need for overly punctuated plot beats, just through life unfurling in its own unpredictable way. This is a tour de force of the nothing-happens genre. They even find a severed head in a suitcase and it drives the plot nowhere. The language! The dialogue! Just completely off the rails! I've read and loved Annie before but she is just so completely On from the get go here. You won't find a single cliche in the whole book, and if there is a familiar scenario to us (folks in the diner arguing about the way things used to be) she comes at it with such flair and such imagination that it cant feel like anything other than real life. It's just joyous, chaotic and explosive writing. Fully deserving of all the prizes it won in '94. Should be talked about more today. The work of a genius at the top of her game....more",Notes are private!,1,7,1,"Oct 03, 2023","Nov 05, 2023","Oct 03, 2023",,Paperback,view (with text),/book/show/7354.The_Shipping_News
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Moominpappa at Sea        (The Moomins, #8)","Jansson, Tove",0141327200,9780141327204,0141327200,224        pp,4.24,"10,153",1965,"Jul 28, 2009",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Even the moomins are troubled by the problems of patriarchy.Our friends are feelin lonely, unfulfilled and misunderstood, and their problems have follEven the moomins are troubled by the problems of patriarchy.Our friends are feelin lonely, unfulfilled and misunderstood, and their problems have followed them out to this here island. Tonally, it's very sweet and warm, but it's actually very melancholic in places, and shows that family life can be hard, even if you're a troll. Little My is the exception to all this of course she's just living for the drama. Lack of Snufkin is criminal....more",Notes are private!,0,1,1,"Sep 23, 2023",Oct 2023,"Sep 23, 2023",,Mass Market Paperback,view (with text),/book/show/6218457-moominpappa-at-sea
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Playing for Pizza,"Grisham, John*",0385525001,9780385525008,0385525001,262        pp,3.51,"52,254",2007,"Sep 04, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 19, 2023",,Hardcover,view,/book/show/1205297.Playing_for_Pizza
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fangirl,"Rowell, Rainbow*",,,,483        pp,3.95,"745,460","Sep 10, 2013","Sep 10, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I came for easy trash and I got what I wanted. BUT within the trashiness there's still bangin family dynamics and well-rounded characters who I care aI came for easy trash and I got what I wanted. BUT within the trashiness there's still bangin family dynamics and well-rounded characters who I care about?? It's a win-win. This feels like a real celebration of YA and romance tropes and the way online fanfiction has contributed to both. Yeah it's kinda yucky sweet, but there are moments here where Rowell really captures the most joyful parts of being a writer. I so appreciate how self-indulgent this is and how much fun she's having. It made me want to get back to my book and finish it. Also made me weirdly nostalgic for when Tesco used to open at midnight for the new Harry Potter books. What were that all about??...more",Notes are private!,0,0,1,"Sep 14, 2023","Sep 23, 2023","Sep 14, 2023",,Kindle Edition,view (with text),/book/show/16068905-fangirl
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wounded,"Everett, Percival",1555974279,9781555974275,1555974279,242        pp,3.95,884,2005,"Sep 01, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 10, 2023",,Hardcover,view,/book/show/355817.Wounded
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Travels with Charley: In Search of America,"Steinbeck, John",0142000701,9780142000700,0142000701,214        pp,4.08,"94,547",1961,"Feb 05, 2002",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"My man has written all his best books and now literally thinks he is God. This is so wanky. So high n mighty. So stupidly portentous at every moment. My man has written all his best books and now literally thinks he is God. This is so wanky. So high n mighty. So stupidly portentous at every moment. Frankly, I absolutely love to see it. Let him riff. Go the fuck off. Every time he segues from some long essay about caravans into some dialogue with a motel worker I literally want to cum. The vibes are in the stratosphere. Christ what an awful country....more",Notes are private!,0,4,1,"Aug 23, 2023","Sep 14, 2023","Aug 23, 2023",,Paperback,view (with text),/book/show/5306.Travels_with_Charley
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Catching the Big Fish: Meditation, Consciousness, and Creativity","Lynch, David",1585425400,9781585425402,1585425400,181        pp,3.72,"14,878",2006,"Dec 28, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 20, 2023",,Hardcover,view,/book/show/58169.Catching_the_Big_Fish
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Memory Foam,"Power, Dan",,9781739618117,,32        pp,4.64,11,unknown,"Jul 21, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"God damn. In equal parts whimsical, lovely, heartbreaking, hopeful and existentially horrifying. Dan doing Dan things, really.",Notes are private!,0,4,1,"Sep 23, 2023","Sep 23, 2023","Jul 27, 2023",,Paperback,view (with text),/book/show/185867246-memory-foam
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rest and Be Thankful,"Glass, Emma",1526601079,9781526601070,1526601079,144        pp,3.53,"3,179","Mar 19, 2020","Mar 19, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 - A really poignant and freaky little novel that deserves to graduate from Jay Fox's Academy for Women At Their Fucking Limit. Personally I'm just3.5 - A really poignant and freaky little novel that deserves to graduate from Jay Fox's Academy for Women At Their Fucking Limit. Personally I'm just not a huge fan of first person present tense. I get why it was needed here to convey the relentless one-after-the-otherness of the job, but the cadence was just a little too stop-starty for me to REALLY get into it.But that shouldn't take away from the punch of the content itself. This book really powerfully and emotionally captures how absolutely fucked it is to be a paediatric nurse. I'm a huge fan of the syngery Glass creates between burnout and psychological n supernatural horror. Plenty of real blow-out-your-cheeks moments. Man oh man....more",Notes are private!,0,2,1,"Jul 25, 2023","Aug 17, 2023","Jul 25, 2023",,Hardcover,view (with text),/book/show/44587970-rest-and-be-thankful
