,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Sara Nelson's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Carousel Court,"Jr., Joe McGinniss*",1476791309,9781476791302,1476791309,368        pp,3.18,"1,125","Aug 02, 2016","Aug 02, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book is, or at least should be, a sleeper hit this summer. It has shades of Gone Girl (but, boy, am I sick of making that comparison. Enough alreThis book is, or at least should be, a sleeper hit this summer. It has shades of Gone Girl (but, boy, am I sick of making that comparison. Enough already with Gone Girl!) but is a much more relatable story of a marriage that frays and frays and frays. . .Ok, the couple in question here is a little off to start with -- the wife works for a drug company, and will do just about anything to make a sale to a doctor; the husband is so desperate for cash he basically becomes a criminal -- but the way McGinniss tells the story, you can see how economic pressure makes their lives explode. In that ways it reminds me of a book called The Financial Lives of the Poets, by Jess Walter, a kind of elegy to screwed up, suburban 30somethings whose lives don't go as planned. ...more",Notes are private!,0,25,1,not set,not set,"Aug 02, 2016",,Kindle Edition,view (with text),/book/show/27274415-carousel-court
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Girls,"Cline, Emma",081299860X,9780812998603,081299860X,355        pp,3.50,"216,831","Jun 14, 2016","Jun 14, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I was put off by the idea of this book--the twentysomething author is writing about the 60s, an era that may even predate her parents; it features a vI was put off by the idea of this book--the twentysomething author is writing about the 60s, an era that may even predate her parents; it features a very Manson-like cult (really, is there anything more to say?) and, well, it comes with a lot of pre-publication “buzz.” So hear this: The Girls really is as good as they’re saying. First of all: it’s called The Girls for a reason; While this mesmerizing debut does involve a charismatic Mansonesque leader in California in the late 1960s, it is more focused on the girls in his cult, the ones who enthrall 14 year old Evie Boyd, a self-conscious child of divorce, privilege and malaise. The tale of the girls and the cult and the ultimate violence they commit is told by Evie, now a middle aged woman with regrets. Some of the parallels Cline tries to draw between the teenaged Evie’s rage and that of some current young people in her life can be strained but Cline’s observations are preternaturally mature and her writing strong. (A character the girls are attempting to rob lies “on her kitchen floor, calling my name like a right answer.”) The subject matter may be familiar--and I don’t just mean Manson, I mean the way teenagers can be terrified and terrifying all at once--Cline’s The Girls is surprisingly timeless and perfectly creepy....more",Notes are private!,0,24,1,not set,not set,"Jul 19, 2016",,Hardcover,view (with text),/book/show/26893819-the-girls
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Short and Tragic Life of Robert Peace: A Brilliant Young Man Who Left Newark for the Ivy League,"Hobbs, Jeff*",147673190X,9781476731902,147673190X,406        pp,4.14,"26,981","Sep 23, 2014","Sep 23, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Full disclosure: I am a friend of the author and have read this book in many drafts and encouraged him to publish it. Still, I am blown away by how beFull disclosure: I am a friend of the author and have read this book in many drafts and encouraged him to publish it. Still, I am blown away by how beautifully Jeff Hobbs showed us a story in which there are no heroes, where everybody is complex. . .if there's a perfect person in this book it is Jackie, Rob Peace's mother, who suffers his loss to this day. This is a hugely important book, but I worry that to say that makes it sound like the literary equivalent of kale: good for you but not that appetizing. This book is fascinating, smart, provocative: extraordinarily balanced and a page turner, all at once. ...more",Notes are private!,0,206,1,not set,not set,"Sep 12, 2014",,Hardcover,view (with text),/book/show/18775365-the-short-and-tragic-life-of-robert-peace
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Euphoria,"King, Lily*",0802122558,9780802122551,0802122558,256        pp,3.86,"92,594","Jun 03, 2014","Jun 03, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"If I tell you that Euphoria is a novel loosely based on the life of the anthropologist Margaret Mead, your eyes will start to glaze over. Well, they  If I tell you that Euphoria is a novel loosely based on the life of the anthropologist Margaret Mead, your eyes will start to glaze over. Well, they shouldn’t--not when the novel is as wonderful as this one. Its both romantic and intelligent, a combination you don’t need to be a scientist to know doesn’t appear often in nature. Mead, a controversial character in real life, is here transmuted into the equally complex (and somewhat sickly) Nell Stone, who has made a reputation for herself by studying native tribes in New Guinea. Her husband, also an anthropologist, is more jealous than dutiful, although he does manage to make her feel inadequate for failing to produce a baby. Enter a charming-but-tortured third anthropologist, who at times seems to be unsure to which of his new friends he’s more attracted. Sparks of the emotional and sexual kind fly, but what’s even more interesting is the portrait of a growing friendship based at least partly on philosophy and attitudes toward “primitive” cultures. You know from the beginning that some bad things are going to happen, but it is to King’s great credit (and the fact that she changes some of the events in Mead’s life) that you can’t really guess what they are. This is the best kind of historical novel--the kind that sent me running to read more about its real-life inspiration...more",Notes are private!,0,30,1,not set,not set,"Jul 21, 2014",,Hardcover,view (with text),/book/show/18467802-euphoria
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Salinger Year,"Rakoff, Joanna*",0307958000,9780307958006,0307958000,252        pp,3.77,"10,618","Mar 01, 2008","Jun 03, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Once upon a time, not so very long ago, there existed a world in which writers used typewriters, publishers and agents sent manuscripts (on paper!) viOnce upon a time, not so very long ago, there existed a world in which writers used typewriters, publishers and agents sent manuscripts (on paper!) via the U.S. Postal Service, and starry-eyed ambitious young people moved to New York to try their luck in the literary world. (Okay, so that last bit still holds true.) It was the late ‘90s when writer-to-be Joanna Rakoff got her first job in New York publishing as an assistant to the woman who represented the great reclusive author J.D. Salinger. In the winsome and meticulously observed My Salinger Year, Rakoff recounts her experiences as an earlier-era Lena Dunham-creation, complete with a ratty Brooklyn apartment, strident anti-establishment boyfriend, and big, big dreams. “We all have to start somewhere,” is how Rakoff begins her story of being young, gifted, and possessed of a coveted “editorial assistant” job that her parents (my parents, your parents, everyone’s parents) would call “secretary.” While it’s true that J.D. “Jerry” Salinger figures into the narrative--and rather sympathetically so--it’s a mistake to say he’s at the heart of it. Youth, adventure, hope, ambition, and a keen eye and ear are what make this book run; with it, Rakoff--author of the novel A Fortunate Age--takes her place among such illustrious coming-of-age-in-New-York writers as Sylvia Plath, Jay McInerney, and, well, maybe even J.D. Salinger....more",Notes are private!,0,15,1,not set,not set,"Jul 21, 2014",,Hardcover,view (with text),/book/show/18630531-my-salinger-year
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Girls from Corona del Mar,"Thorpe, Rufi*",0385351968,9780385351966,0385351968,256        pp,3.58,"7,044",2014,"Jul 08, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"While much of pop culture might have you believe otherwise, the most important relationship a young woman has is not always with her first love, or evWhile much of pop culture might have you believe otherwise, the most important relationship a young woman has is not always with her first love, or even, say, with her father. It is with her best friend, the one to whom she tells everything about her sexual encounters, the one who accompanies her to medical procedures, the one who sometimes forgives but never forgets. As Rufi Thorpe demonstrates so vividly in her debut The Girls from Corona del Mar, the one we grow up with is the one we love forever--even well after we’ve grown apart. Lorrie Ann seems perfect: gorgeous, smart, and charming, while her best friend Mia, while brainy and attractive, has a more deliberative personality, and an alcoholic parent, to boot. If biology were destiny, it would be Lorrie Ann who succeeded most in life--except that bad choices and bad breaks intervened. Over nearly two decades, we watch Mia try to come to terms with her friend’s struggles and to understand why things didn’t go as planned. Occasionally, graduate-student Mia feels pretentious--her obsession with her PhD project, ancient Babylonian myth, is grating--and the way Lorrie Ann’s life unfolds can be contrived. But because of Thorpe’s raw and intelligent voice, this book stays with you. Mia calls her time in school “those seven strenuous years of tugging myself slowly toward excellence,” and explains Lorrie Ann’s attraction to an inappropriate mate this way: “She wanted to pick him up and shake him up and down until all the amazing things inside of him came out . . .[like]. . . the fallen candy from a piñata.” You may not like either of these women all the time, but you’ll likely recognize them, and find it hard to turn away. ...more",Notes are private!,0,19,0,not set,not set,"Jul 21, 2014",,Hardcover,view (with text),/book/show/18518285-the-girls-from-corona-del-mar
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Big Little Lies,"Moriarty, Liane*",0399167064,9780399167065,0399167064,458        pp,4.31,"1,005,999","Dec 25, 2014","Jul 29, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What is it about Liane Moriarty’s books that makes them so irresistible? They’re just classic “domestic” novels about marriage, motherhood, and modernWhat is it about Liane Moriarty’s books that makes them so irresistible? They’re just classic “domestic” novels about marriage, motherhood, and modern upper-middle-class family life, after all. And despite the fact that Big Little Lies is Moriarty’s sixth adult novel (and it comes decades after the grandmother of this kind of thing, Bridget Jones’ Diary), it is remarkably new and fresh and winning Set in an Australian suburb, Big Little Lies focuses on three women, all of whom have children at the same preschool. One is a great beauty married to a fabulously rich businessman; they have a “perfect” set of twins. One is the can-do mom who can put together a mean pre-school art project but can’t prevent her teenage daughter from preferring her divorced dad. The third is a withdrawn, single mother who doesn’t quite fit in. Right from the start--thanks to a modern “Greek chorus” that narrates the action--we know that someone is going to end up dead. The questions are who and how. Miraculously, Moriarty keeps this high concept plot aloft, largely because she infuses it with such wit and heart. She also knows not to overplay the message she’s sending: that we all tell lies--to each other and, more importantly, to ourselves....more",Notes are private!,0,22,1,not set,not set,"Jul 21, 2014",,Hardcover,view (with text),/book/show/19486412-big-little-lies
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Flight 232: A Story of Disaster and Survival,"Gonzales, Laurence*",0393240029,9780393240023,0393240029,432        pp,4.17,"1,798","Jul 07, 2014","Jul 07, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Twenty five years ago this month, a United Airlines flight from Denver to Chicago burst into a fireball and crashed in a cornfield outside of Sioux CiTwenty five years ago this month, a United Airlines flight from Denver to Chicago burst into a fireball and crashed in a cornfield outside of Sioux City, Iowa. It was one of the worst plane disasters in history--but it could have been worse. Of the 296 people on board, 184 survived. In his very long and gripping Flight 232: A Story of Disaster and Survival, journalist Laurence Gonzales takes us through the moments before and after the crash (as best remembered by those survivors and observers on the ground). He also goes back through records, scientific documents, and his own experience as a pilot and aviation reporter to piece together what went wrong with the jetliner that was as majestic (and, ultimately, doomed) as the Titanic. (The last third of the narrative delves into the tiny, microscopic flaw that likely brought the plane down.) As you might expect, there was plenty of terror on Flight 232, but what is surprising is how much inspiring behavior Gonzales discovered there as well--flight attendants who truly did put the passengers’ needs first, crew members whose quick thinking probably made the crash less devastating than it would have been, not to mention the plain dumb luck in evidence, as well--at least one woman moved out of first class at the last minute. Her original seat was eviscerated; she survived. This is a hard book to read because it addresses some of our worst fears and some we’d never even thought of (apparently, the blue water in the toilets on planes can leak out, freeze and get stuck, as ice, to the outside of the plane). But it is also a story of survival, a tale of science, of heroism and of faith....more",Notes are private!,0,16,1,not set,not set,"Jul 21, 2014",,Hardcover,view (with text),/book/show/18377974-flight-232
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shotgun Lovesongs,"Butler, Nickolas*",1250039819,9781250039811,1250039819,307        pp,3.79,"18,203","Mar 11, 2014","Mar 11, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Loved this deceptively simple novel and was surprised by it, since ""homespun"" is not often something I treasure. But this plainspoken story about fourLoved this deceptively simple novel and was surprised by it, since ""homespun"" is not often something I treasure. But this plainspoken story about four guys and the town they grew up in and the secrets they keep has stayed with me. I grew up in a smallish place, too and while it was completely different from Little Wing, Wisconsin, the alliances and secrets formed there travel with me....more",Notes are private!,0,13,1,not set,not set,"Mar 06, 2014",,Hardcover,view (with text),/book/show/17934521-shotgun-lovesongs
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bark,"Moore, Lorrie",0307594130,9780307594136,0307594130,192        pp,3.60,"8,799","Feb 25, 2014",2014,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"There’s a reason Lorrie Moore is so beloved by her baby boomer brethren: she’s smart, she’s funny, her eye is even sharper than her tongue. In Bark,  There’s a reason Lorrie Moore is so beloved by her baby boomer brethren: she’s smart, she’s funny, her eye is even sharper than her tongue. In Bark, her latest collection of stories, all those qualities are well on display. “He had never been involved with the mentally ill before,” she writes of her mid-life anti-hero in the (sort-of) title story, ""Debarking."" ""[B]ut he now felt more than ever that there should be strong international laws against them being too good looking.” Acerbic? Check. Knowing? Check. Says out loud on the page what we less talented, less observant mere mortals wish we could form so well in thought? Check. Check. Check. The only reason not to read these seven stories is that, perhaps, they’re just too accurate and perceptive about the way we live now--but then, why would you ever want to read stories that were anything else?...more",Notes are private!,0,8,1,not set,not set,"Mar 06, 2014",,Hardcover,view (with text),/book/show/18050057-bark
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shotgun Lovesongs,"Butler, Nickolas*",,9788253036793,,350        pp,3.79,"18,203","Mar 11, 2014","May 06, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Loved this deceptively simple novel and was surprised by it, since ""homespun"" is not often something I treasure. But this plainspoken story about fourLoved this deceptively simple novel and was surprised by it, since ""homespun"" is not often something I treasure. But this plainspoken story about four guys and the town they grew up in and the secrets they keep has stayed with me. I grew up in a smallish place, too and while it was completely different from Little Wing, Wisconsin, the alliances and secrets formed there travel with me....more",Notes are private!,0,1,1,not set,not set,"Mar 06, 2014",,Hardcover,view (with text),/book/show/21000781-shotgun-lovesongs
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All Our Names,"Mengestu, Dinaw",038534998X,9780385349987,038534998X,256        pp,3.61,"4,769","Mar 04, 2014","Mar 04, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Idealism, disillusionment, justice and love--these are the topics beautifully explored in this novel by the MacArthur “Genius” grantee and author of  Idealism, disillusionment, justice and love--these are the topics beautifully explored in this novel by the MacArthur “Genius” grantee and author of How to Read the Air. A young African man called Isaac has come to the Midwestern United States, where he embarks on a relationship with Helen, a social worker, who, for all her heart and intelligence, has trouble understanding him. Part illusion, part product of the revolutionary past in his own country, Isaac purposely makes himself unknowable. Who is Isaac (nicknamed “Dickens” by some, for his love of the writer) now? And who was he as a student in Ethiopia? Do names and times even matter? Sometimes lyrical, sometimes plaintive--“He’s the closest thing I have to a past in this country,” Isaac explains to Helen about a friend from home--Mengestu’s novel is about a young man coming to terms with his past and trying to determine his future. But it’s also a searing, universal story of emigration and identity....more",Notes are private!,0,19,1,not set,not set,"Mar 06, 2014",,Hardcover,view (with text),/book/show/18050096-all-our-names
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Redeployment,"Klay, Phil*",1594204993,9781594204999,1594204993,288        pp,3.96,"24,239","Mar 04, 2014","Mar 04, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I defy any readers of Phil Klay’s stunning Redeployment to a) put it down and b) limit the number of “wows” they utter while reading it. These twelve I defy any readers of Phil Klay’s stunning Redeployment to a) put it down and b) limit the number of “wows” they utter while reading it. These twelve stories, are all about the Iraq War or its aftermath; they are so direct, so frank, they will impress readers who have read all they care to about the war as well as those who thought they couldn’t stand to read about it at all. The strength of Klay’s stories lies in his unflinching, un-PC point of view, even for the soldiers he so clearly identifies with and admires. For example, one veteran tells a guy in a bar about a particularly harrowing war experience. When the stranger, moved, declares his respect for our troops, the soldier responds, “I don’t want you to respect what I’ve been through. I want you to be disgusted.” Klay is fearless; he eviscerates platitude and knee-jerk politics every chance he gets. “[A fellow soldier] was the one guy in the squad who thought the country wouldn’t be better off if we just nuked it until the desert turned into a flat plane of grass,” he writes. These stories are at least partly autobiographical, and yet, for all their verisimilitude, they’re also shaped by an undefinable thing called art. Phil Klay is a writer to watch. --Sara Nelson...more",Notes are private!,0,32,1,not set,not set,"Mar 05, 2014",,Hardcover,view (with text),/book/show/18114068-redeployment
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Apple Tree Yard,"Doughty, Louise",0571297889,9780571297887,0571297889,320        pp,3.73,"25,428","Jun 06, 2013","Jun 06, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A 52-year-old woman begins an affair with a mysterious man she meets by chance, and soon both she and the lover are on trial for murder. How does suchA 52-year-old woman begins an affair with a mysterious man she meets by chance, and soon both she and the lover are on trial for murder. How does such a thing happen to a married woman of maturity and gravitas, a renowned scientist whose first encounter with her lover took place in the halls of Parliament, where she had just testified before a government committee? In this masterful novel by British journalist/novelist/playwright Louise Doughty, every page builds the case that it’s often the smartest among us who invent the most unreliable stories about ourselves, and how it’s possible--likely, even--for essentially good solid people to do bad and stupid things. Less about torturous plot twists than slow, dawning revelations--and mercifully short on moralizing--this intelligent, sexy, grown-up thriller explores the power of desire and its consequences....more",Notes are private!,0,15,1,not set,not set,"Jan 28, 2014",,Hardcover,view (with text),/book/show/17452179-apple-tree-yard
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Persuasion,"Austen, Jane",1593080484,9781593080488,B007FAAIVY,243        pp,4.15,"702,290","Dec 20, 1817","Jan 01, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Dec 28, 2013",,Paperback,view,/book/show/548729.Persuasion
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Town: Two Parties and a Funeral — plus plenty of valet parking! — in America’s Gilded Capital,"Leibovich, Mark",0399161309,9780399161308,B01LX47LZM,386        pp,3.48,"6,945","Jan 01, 2013","Jul 16, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 20, 2013",,Hardcover,view,/book/show/15814168-this-town
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jesus: The Human Face of God,"Parini, Jay",054402589X,9780544025899,054402589X,170        pp,3.86,320,"Jun 04, 2013","Jan 01, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Skeptics--religious and otherwise--will surely ask what more could possibly be said about Jesus, who has been mythologized, de-mythologized, re-mytho Skeptics--religious and otherwise--will surely ask what more could possibly be said about Jesus, who has been mythologized, de-mythologized, re-mythologized and then some over twenty centuries. While novelist and professor Jay Parini hardly breaks new ground with this erudite yet accessible Jesus: The Human Face of God--the first in a series of short biographies known as the ICON series--he manages, in less than 200 pages, to raise and examine the most important questions about the founder of Christianity. For those already steeped in religion, myth and literature, Parini’s offering is mostly a guidebook. But to those seeking to understand both who Jesus was and how he came to dominate the minds and hearts of millions over thousands of years, this is the perfect primer--arriving, of course, at the perfect time of year....more",Notes are private!,0,13,1,not set,not set,"Dec 09, 2013",,Hardcover,view (with text),/book/show/15815599-jesus
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Kept,"Scott, James",0062236733,9780062236739,0062236733,368        pp,3.26,"7,659","Jan 01, 2013","Jan 07, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"If someone were to tell you that The Kept involved cross dressing and serial murder, you’d be forgiven for thinking you’d stumbled on a new contempor If someone were to tell you that The Kept involved cross dressing and serial murder, you’d be forgiven for thinking you’d stumbled on a new contemporary thriller. But James Scott’s debut, while thrilling, is set in rural upstate New York c: 1900. It tells the story of a mother and son who set off for a rough, rural town in search of the killers who murdered their family; there, they make some discoveries, all right--not just about the criminals, but also about their own damaged selves. This debut is not for the faint of heart--look for s that compare it to the work of Cormac (The Road) McCarthy. But it will grab you from the first line--“Elspeth Howell was a sinner”--and haunt you well past the discovery that Elspeth’s sins are both lesser and greater than you first thought. This is one profound and disturbing book from a writer to watch...more",Notes are private!,0,9,1,"Dec 05, 2013","Jan 29, 2014","Dec 05, 2013",,Hardcover,view (with text),/book/show/18090077-the-kept
