,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Travis's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Wear the Black Hat: Grappling With Villains,"Klosterman, Chuck",1439184496,9781439184493,1439184496,214        pp,3.70,"11,995","Jul 09, 2013","Jul 09, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Dec 23, 2023","Dec 23, 2023",,Hardcover,view,/book/show/16130377-i-wear-the-black-hat
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,White Holes,"Rovelli, Carlo",0593545443,9780593545447,B0BTKZVJJK,171        pp,4.10,"2,838","Mar 03, 2023","Oct 31, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,not setnot set,"Dec 19, 2023not set","Dec 19, 2023",,Hardcover,view,/book/show/102189640-white-holes
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"1177 B.C.: The Year Civilization Collapsed: Revised and Updated        (Turning Points in Ancient History, 1)","Cline, Eric H.*",0691208018,9780691208015,0691208018,304        pp,3.74,"9,281","Mar 23, 2014","Feb 02, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Dec 18, 2023","Dec 18, 2023",,Paperback,view,/book/show/55777567-1177-b-c
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"System Collapse        (The Murderbot Diaries, #7)","Wells, Martha*",1250826977,9781250826978,1250826977,245        pp,4.23,"33,823","Nov 13, 2023","Nov 14, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Dec 15, 2023","Dec 15, 2023",,Hardcover,view,/book/show/65211701-system-collapse
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Antichrist,"Nietzsche, Friedrich",1420925091,9781420925098,1420925091,88        pp,3.90,"28,328","Jun 02, 1895","Jan 01, 2005",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The anti-Semitism, misogyny, and eugenicist barbarism in The Antichrist strike me much more now as a 50-year-old than they did when I first read this The anti-Semitism, misogyny, and eugenicist barbarism in The Antichrist strike me much more now as a 50-year-old than they did when I first read this in graduate school over 20 years ago. Nevertheless, Nietzsche presents a trenchant critique of belief as a a legitimate way of knowing, of the denial of the goods of this world in favor of imagined immortality in another world, and of the ecclesiastical crusade against science and truth. Yet the Christianity that Nietzsche assails is often a straw man (or, at least, he fails to account for the multivariant expressions of Christianity that would side with him against the corrupt and dishonest religion that he is here attacking), and his arguments are frequently matters more of aesthetics than of logic or philosophy. The Antichrist is a great literary response to certain forms of degenerate and intellectually dishonest Christianity, and Nietzsche’s prose is often delightfully witty and brilliant, but this is not a work of rigorous philosophy and is extremely problematic due especially to its misogyny, anti-Semitism, and fascistic tendencies....more",Notes are private!,0,1,1,not set,"Dec 09, 2023","Dec 09, 2023",,Paperback,view (with text),/book/show/441274.The_Antichrist
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Peter Pan Must Die        (Dave Gurney, #4)","Verdon, John",0385348401,9780385348409,0385348401,440        pp,3.89,"7,043","Nov 07, 2013","Jul 01, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Dec 07, 2023","Dec 07, 2023",,Hardcover,view,/book/show/18630554-peter-pan-must-die
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Are Never Meeting in Real Life.,"Irby, Samantha*",1101912197,9781101912195,1101912197,275        pp,3.90,"45,176","May 30, 2017","May 30, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I loved Samantha Irby’s Quietly Hostile, so I happily picked up this earlier book of hers, and while I enjoyed We Are Never Meeting in Real Life, it wI loved Samantha Irby’s Quietly Hostile, so I happily picked up this earlier book of hers, and while I enjoyed We Are Never Meeting in Real Life, it wasn’t quite as funny and sharp as Quietly Hostile, but it was nevertheless a good read....more",Notes are private!,0,1,1,not set,"Nov 28, 2023","Nov 28, 2023",,Paperback,view (with text),/book/show/33381433-we-are-never-meeting-in-real-life
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,After the Crash,"Bussi, Michel",0316309672,9780316309677,0316309672,384        pp,3.77,"19,650","May 26, 2021","Jan 05, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Nov 24, 2023","Nov 24, 2023",,Hardcover,view,/book/show/25649186-after-the-crash
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vulnerables,"Nunez, Sigrid",0593715519,9780593715512,0593715519,256        pp,3.66,"6,025","Nov 07, 2023","Nov 07, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"After reading and loving Sigrid Nunez’s previous novel, The Friend, I was very much looking forward to reading The Vulnerables, and it does not disappAfter reading and loving Sigrid Nunez’s previous novel, The Friend, I was very much looking forward to reading The Vulnerables, and it does not disappoint. Nunez is a writer’s writer: her literary voice is so natural, so eloquent, and so engaging that she could write technical manuals that readers would find as interesting and propulsive as any work of fiction. Besides being a brilliant writer, she is smart, wise, and extremely knowledgeable; we readers learn so much about a wide variety of subjects when we read her books....more",Notes are private!,0,3,1,not set,"Nov 16, 2023","Nov 16, 2023",,Hardcover,view (with text),/book/show/125930473-the-vulnerables
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Defense        (Eddie Flynn, #1)","Cavanagh, Steve*",1250082250,9781250082251,1250082250,320        pp,4.04,"24,697","May 03, 2016","May 03, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Nov 14, 2023","Nov 14, 2023",,Hardcover,view,/book/show/26156988-the-defense
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Twisted Ones,"Kingfisher, T.",1534429573,9781534429574,1534429573,400        pp,3.64,"29,540","Oct 01, 2019","Oct 01, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Nov 09, 2023","Nov 09, 2023",,Hardcover,view,/book/show/42527596-the-twisted-ones
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,City of Dreams        (Danny Ryan #2),"Winslow, Don*",0062851233,9780062851239,0062851233,352        pp,4.06,"9,997","Apr 18, 2023","Apr 18, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,not setnot set,"Nov 02, 2023Nov 02, 2023","Nov 02, 2023",,Hardcover,view,/book/show/61713802-city-of-dreams
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bridge to Terabithia,"Paterson, Katherine",,,,179        pp,4.05,"546,205","Oct 21, 1977",2017,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"In my memory, I can still this book on display in the library of my elementary school, and I recall being absolutely transfixed by the cover and intriIn my memory, I can still this book on display in the library of my elementary school, and I recall being absolutely transfixed by the cover and intrigued by the strangeness of the title to my 9- or 10-year-old mind. Now, revisiting this book some 40 years after I first read it as a child, I am struck by how graceful, knowing, and beautiful this story is. This book brought me to tears numerous times as I was reading through it, but it left me with a melancholy smile as I read the final paragraphs. This is such a wise story for a children’s novel. It well deserves all the acclaim that it has received....more",Notes are private!,0,2,1,not set,"Oct 29, 2023","Oct 29, 2023",,Paperback,view (with text),/book/show/35097580-bridge-to-terabithia
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Everything's Fine,"Rabess, Cecilia",1982187700,9781982187705,1982187700,336        pp,3.57,"7,086","Jun 06, 2023","Jun 06, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a novel about a relationship strained by political differences—a liberal and a conservative trying to overcome their political disagreements tThis is a novel about a relationship strained by political differences—a liberal and a conservative trying to overcome their political disagreements to make their romance work. The dialogue is razor sharp. The emotions are raw and real. While he author definitely has a particular point of view, she is still fair and charitable to both of her main characters. I flew through the pages and stayed up until 1:30 in the morning to finish this book, and I haven’t done that in quite some time. This is an engaging and very entertaining read....more",Notes are private!,0,0,1,not set,"Oct 27, 2023","Oct 27, 2023",,Hardcover,view (with text),/book/show/62919844-everything-s-fine
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Black Sheep,"Harrison, Rachel",0593545850,9780593545850,0593545850,289        pp,3.62,"14,247","Sep 19, 2023","Sep 19, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Oct 23, 2023","Oct 23, 2023",,Hardcover,view,/book/show/69704909-black-sheep
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fair Play: How Sports Shape the Gender Debates,"Barnes, Katie*",1250276624,9781250276629,1250276624,304        pp,4.37,315,unknown,"Sep 19, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book is a fantastic resource for understanding the complex issues involved in the participation of transgender, intersex, nonbinary, and queer peThis book is a fantastic resource for understanding the complex issues involved in the participation of transgender, intersex, nonbinary, and queer people in sports. The author provides not only a wealth of data and explication of the scientific and biological issues involved but also numerous personal stories of individual athletes that highlight how the policies of governmental organizations and sporting organizations affect real human beings. I cannot recommend this book highly enough. ...more",Notes are private!,0,0,1,not set,"Oct 18, 2023","Oct 18, 2023",,Hardcover,view (with text),/book/show/65214287-fair-play
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wrong Place Wrong Time,"McAllister, Gillian*",0063252341,9780063252349,0063252341,416        pp,4.01,"305,188","May 12, 2022","Aug 02, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Oct 15, 2023","Oct 15, 2023",,Hardcover,view,/book/show/59947696-wrong-place-wrong-time
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hemlock Island,"Armstrong, Kelley*",1250284198,9781250284198,1250284198,295        pp,3.46,"7,251","Sep 12, 2023","Sep 12, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Oct 09, 2023","Oct 09, 2023",,Hardcover,view,/book/show/65214434-hemlock-island
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Th1rt3en        (Eddie Flynn #4),"Cavanagh, Steve*",1250297605,9781250297600,1250297605,325        pp,4.22,"63,058","Jan 25, 2018","Aug 13, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Yes, the plot is a bit far-fetched, but the story is really entertaining, and the last third of the novel flies by as you turn the pages furiously. ItYes, the plot is a bit far-fetched, but the story is really entertaining, and the last third of the novel flies by as you turn the pages furiously. It’s an outstanding legal thriller....more",Notes are private!,0,1,1,not set,"Oct 05, 2023","Oct 05, 2023",,Hardcover,view (with text),/book/show/39863495-th1rt3en
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Happiness Falls,"Kim, Angie*",0593448200,9780593448205,0593448200,387        pp,3.76,"47,064","Aug 29, 2023","Aug 29, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Oct 03, 2023","Oct 03, 2023",,Hardcover,view,/book/show/75495002-happiness-falls
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Country of the Blind: A Memoir at the End of Sight,"Leland, Andrew",,,B0BLB2Z7S2,8        pp,4.16,"2,990","Jul 18, 2023","Jul 18, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a fascinating insight (no pun intended; I’m trying to think of another word, and the first word that comes to mind is look, and both insight aThis is a fascinating insight (no pun intended; I’m trying to think of another word, and the first word that comes to mind is look, and both insight and look are obviously visually oriented terms, an irony not lost on me as I try to describe this memoir of a man going blind) into the life and the world of the blind and also of the larger community of individuals with various disabilities. This book is truly an education, and it has given me a better understanding of the civil rights struggles of the blind and other disabled individuals. It is, though, primarily of interest in its description of what life is like for the blind....more",Notes are private!,0,1,1,not set,"Sep 28, 2023","Sep 28, 2023",,Audiobook,view (with text),/book/show/196029378-the-country-of-the-blind
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Holly,"King, Stephen*",1668016133,9781668016138,1668016133,449        pp,4.14,"91,032","Sep 05, 2023","Sep 05, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Sep 26, 2023","Sep 26, 2023",,Hardcover,view,/book/show/65916344-holly
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Evolution Gone Wrong: The Curious Reasons Why Our Bodies Work,"Bezzerides, Alexander Lewis",1443457019,9781443457019,1443457019,384        pp,4.12,"1,003","May 18, 2021","May 18, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Sep 10, 2023","Sep 10, 2023",,Hardcover,view,/book/show/55004070-evolution-gone-wrong
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heat Will Kill You First: Life and Death on a Scorched Planet,"Goodell, Jeff*",0316497576,9780316497572,0316497576,400        pp,4.32,"4,833","Jul 11, 2023","Jul 11, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Sep 04, 2023","Sep 04, 2023",,Hardcover,view,/book/show/63251778-the-heat-will-kill-you-first
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dead of Winter,"Coates, Darcy*",1728270251,9781728270258,,341        pp,3.86,"15,106","Jul 11, 2023","Jul 11, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Aug 31, 2023","Aug 31, 2023",,Paperback,view,/book/show/63264519-dead-of-winter
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,None of This Is True,"Jewell, Lisa*",1982179007,9781982179007,1982179007,380        pp,4.15,"425,643","Jul 20, 2023","Aug 08, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,not setnot set,"Aug 14, 2023not set","Aug 14, 2023",,Hardcover,view,/book/show/62334530-none-of-this-is-true
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wind-Up Bird Chronicle,"Murakami, Haruki",,,,607        pp,4.15,"283,458","Apr 12, 1994",Aug 2015,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Murakami may be the greatest writer of his generation, and this novel is an epic of imagination. The prose is brilliant and beautiful, the story fasciMurakami may be the greatest writer of his generation, and this novel is an epic of imagination. The prose is brilliant and beautiful, the story fascinating and captivating. This is the rare 600-page novel that is truly a page-turner....more",Notes are private!,0,1,1,not set,"Aug 10, 2023","Aug 10, 2023",,Paperback,view (with text),/book/show/26846443-the-wind-up-bird-chronicle
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Who Is Maud Dixon?,"Andrews, Alexandra*",0316500313,9780316500319,0316500313,324        pp,3.83,"36,655","Mar 02, 2021","Mar 02, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,not setnot set,"Aug 02, 2023not set","Aug 02, 2023",,Hardcover,view,/book/show/52320705-who-is-maud-dixon
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fear and Loathing in Las Vegas,"Thompson, Hunter S.",0679785892,9780679785897,B01BITNA5S,204        pp,4.07,"349,173","Jul 07, 1971",Jun 1998,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"For a substantial part of my reading of this text, I was taking huge rips from my bong, which only enhanced the hilarity and beautiful vulgarity of thFor a substantial part of my reading of this text, I was taking huge rips from my bong, which only enhanced the hilarity and beautiful vulgarity of this book. But it was also completely, riotously funny and trippy and enjoyable even when I was not remotely stoned....more",Notes are private!,0,0,1,not set,"Jul 28, 2023","Jul 28, 2023",,Paperback,view (with text),/book/show/7745.Fear_and_Loathing_in_Las_Vegas
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wager: A Tale of Shipwreck, Mutiny and Murder","Grann, David*",0385534264,9780385534260,0385534264,354        pp,4.21,"96,433","Apr 18, 2023","Apr 18, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jul 26, 2023","Jul 26, 2023",,Hardcover,view,/book/show/61714633-the-wager
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Watership Down: A Novel,"Adams, Richard",,,B000IFS0V8,496        pp,4.08,"480,833",Nov 1972,"Nov 01, 2005",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jul 24, 2023","Jul 24, 2023",,Paperback,view,/book/show/128810935-watership-down
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Witch King,"Wells, Martha*",1250826799,9781250826794,1250826799,415        pp,3.72,"15,146","May 30, 2023","May 30, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Jul 18, 2023","Jul 18, 2023",,Hardcover,view,/book/show/61885085-witch-king
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wishing Game,"Shaffer, Meg*",0593598830,9780593598832,0593598830,304        pp,4.13,"103,535","May 30, 2023","May 30, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Jul 09, 2023","Jul 09, 2023",,Hardcover,view,/book/show/62926992-the-wishing-game
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Possibility of Life: Science, Imagination, and Our Quest for Kinship in the Cosmos","Green, Jaime*",1335463542,9781335463548,1335463542,304        pp,4.03,775,"Apr 18, 2023","Apr 18, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jul 02, 2023","Jul 02, 2023",,Hardcover,view,/book/show/61155429-the-possibility-of-life
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Forget the Alamo: The Rise and Fall of an American Myth,"Burrough, Bryan",1984880098,9781984880093,1984880098,416        pp,4.26,"4,889","Jun 08, 2021","Jun 08, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jun 27, 2023","Jun 27, 2023",,Hardcover,view,/book/show/55411740-forget-the-alamo
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Sinners Bleed,"Cosby, S.A.*",1250831911,9781250831910,1250831911,341        pp,4.26,"50,130","Jun 06, 2023","Jun 06, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jun 20, 2023","Jun 20, 2023",,Hardcover,view,/book/show/61884832-all-the-sinners-bleed
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Quietly Hostile,"Irby, Samantha*",0593315707,,B0B9W93C22,293        pp,3.72,"15,505","May 16, 2023","May 16, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is the first Samantha Irby book that I’ve read, and I find her to be an extremely talented and very funny writer. Her writing is reminiscent of tThis is the first Samantha Irby book that I’ve read, and I find her to be an extremely talented and very funny writer. Her writing is reminiscent of that of my favorite humorist, David Sedaris. I literally laughed out loud throughout this book. She is so warm, brutally and hilariously honest, and relatable. This book is an absolute treat!...more",Notes are private!,0,0,1,not set,"Jun 16, 2023","Jun 16, 2023",,Kindle Edition,view (with text),/book/show/62448054-quietly-hostile
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Drowning,"Newman, T.J.*",1982177918,9781982177911,1982177918,304        pp,4.18,"36,415","May 30, 2023","May 30, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Jun 13, 2023","Jun 13, 2023",,Hardcover,view,/book/show/59345230-drowning
