,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Sarah Jessica's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book Thief,"Zusak, Markus*",,,0375831002,592        pp,4.39,"2,557,717","Sep 01, 2005","Mar 14, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Jun 09, 2023",,Kindle Edition,view,/book/show/19063.The_Book_Thief
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mercury Pictures Presents,"Marra, Anthony*",0451495209,9780451495204,0451495209,416        pp,3.68,"10,979","Jul 19, 2022","Aug 02, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 09, 2023",,Hardcover,view,/book/show/59109471-mercury-pictures-presents
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Decent People,"Winslow, De'Shawn Charles",163557532X,9781635575323,163557532X,272        pp,3.61,"1,810","Jan 17, 2023","Jan 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 09, 2023",,Hardcover,view,/book/show/58532129-decent-people
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Best of Everything,"Jaffe, Rona",0143035290,9780143035299,0143035290,448        pp,3.82,"6,823",1958,"May 31, 2005",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,not set,not set,"Jun 09, 2023",,Paperback,view,/book/show/196842.The_Best_of_Everything
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Quitter's Paradise,"Chang, Elysha",163893052X,9781638930525,163893052X,336        pp,2.84,"2,589","Jun 06, 2023","Jun 06, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I’m excited and honored to publish A Quitter’s Paradise, the debut novel by standout literary talent Elysha Chang. A Quitter’s Paradise is a glorious,I’m excited and honored to publish A Quitter’s Paradise, the debut novel by standout literary talent Elysha Chang. A Quitter’s Paradise is a glorious, pondering, heartbreaking, extremely funny, very special book. In Eleanor and her family, Elysha Chang has created captivating characters, who continuously surprised, delighted, and intrigued me—so much so that I didn’t want to leave them. The stories of their lives are at once intimate and universally resonant....more",Notes are private!,1,284,1,not set,not set,"Jun 09, 2023",,Hardcover,view (with text),/book/show/60635756-a-quitter-s-paradise
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A History of Burning,"Oza, Janika",1538724243,9781538724248,1538724243,400        pp,4.14,"3,051","May 02, 2023","May 02, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,73,1,not set,not set,"Jun 09, 2023",,Hardcover,view,/book/show/62315839-a-history-of-burning
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Glorious Heresies,"McInerney, Lisa",1444798855,9781444798852,1444798855,384        pp,3.76,"8,035","Apr 09, 2015","Apr 09, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A book and tale to be reckoned with! I gobbled this up and mourned the last page. Completely fulfilling.,Notes are private!,0,377,1,not set,Jan 2020,"Feb 14, 2020",,Hardcover,view (with text),/book/show/24515225-the-glorious-heresies
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Education,"Choi, Susan*",0670024902,9780670024902,0670024902,304        pp,3.30,"4,471","Jul 03, 2013","Jul 03, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2020,"Jan 03, 2020",,Hardcover,view,/book/show/16158566-my-education
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,To Rise Again at a Decent Hour,"Ferris, Joshua*",0316033979,9780316033978,0316033979,352        pp,3.08,"15,198","Dec 18, 2014","May 13, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Jan 03, 2020",,Hardcover,view,/book/show/18453074-to-rise-again-at-a-decent-hour
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Purity,"Franzen, Jonathan",0374239215,9780374239213,0374239215,563        pp,3.64,"48,806","Sep 01, 2015","Sep 01, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Nov 11, 2019",,Hardcover,view,/book/show/23754479-purity
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Tsar of Love and Techno,"Marra, Anthony*",0770436439,9780770436438,0770436439,332        pp,4.27,"17,313","Oct 06, 2015","Oct 06, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Oct 24, 2019",,Hardcover,view,/book/show/23995336-the-tsar-of-love-and-techno
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Recipes From Many Kitchens: Celebrated Local Food Artisans Share Their Signature Dishes,"Rice, Valentina",1624142028,9781624142024,1624142028,192        pp,3.57,21,"Jan 26, 2016","Jan 19, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A wonderful book filled with gorgeously delicious recipes from your local chefs from all over the country!,Notes are private!,0,184,1,not set,Jan 2019,"Oct 14, 2019",,Paperback,view (with text),/book/show/25664440-recipes-from-many-kitchens
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shelter,"Yun, Jung*",1250075645,9781250075642,1250075645,336        pp,3.73,"8,662","Mar 01, 2016","Mar 15, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,Jan 2019,"Sep 27, 2019",,Unknown Binding,view,/book/show/25658832-shelter
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Shall Be Near to You,"McCabe, Erin Lindsay*",,,,305        pp,3.81,"7,078","Jan 28, 2014","Jan 28, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Sep 11, 2019",,Kindle Edition,view,/book/show/20026466-i-shall-be-near-to-you
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Furious Hours: Murder, Fraud, and the Last Trial of Harper Lee","Cep, Casey*",1101947861,9781101947869,1101947861,314        pp,3.78,"24,097","May 07, 2019","May 07, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,not set,Jan 2019,"Aug 20, 2019",,Hardcover,view,/book/show/41883932-furious-hours
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Am No One,"Flanery, Patrick",1782397973,9781782397977,B016UZBCXC,354        pp,2.86,"1,352","Jul 05, 2016","Feb 04, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Aug 02, 2019",,Kindle Edition,view,/book/show/28929115-i-am-no-one
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Happily Ali After: And Other Fairly True Tales,"Wentworth, Ali",0062238493,9780062238498,0062238493,240        pp,3.59,"2,512","Jun 09, 2015","Jun 09, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Jul 01, 2019",,Hardcover,view,/book/show/23287142-happily-ali-after
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Girl About Town        (Lulu Kelly Mystery #1),"Shankman, Adam",1481447874,9781481447874,1481447874,321        pp,3.28,323,"May 03, 2016","May 03, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,An incredible book by my friend Adam Shankman set in the golden age of Hollywood. Who could resist?,Notes are private!,0,254,1,not set,Jan 2019,"Jun 17, 2019",,Hardcover,view (with text),/book/show/23271655-girl-about-town
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Play It As It Lays,"Didion, Joan",0374529949,9780374529949,0374529949,231        pp,3.92,"67,118",1970,"Nov 15, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Jun 05, 2019",,Paperback,view,/book/show/428.Play_It_As_It_Lays
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Paying Guests,"Waters, Sarah",1594633118,9781594633119,1594633118,564        pp,3.45,"80,150","Aug 28, 2014","Sep 16, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,Jan 2019,"May 28, 2019",,Hardcover,view,/book/show/20821087-the-paying-guests
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Girl Is a Half-formed Thing,"McBride, Eimear",0957185324,9780957185326,0957185324,205        pp,3.50,"12,381","Jun 17, 2013","Jun 27, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"May 10, 2019",,Paperback,view,/book/show/18218630-a-girl-is-a-half-formed-thing
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dawn: Stories,"Demirtaş, Selahattin",0525576932,9780525576938,0525576932,176        pp,4.09,"2,564","Sep 16, 2017","Apr 23, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It’s my pleasure to present the next book on the SJP for Hogarth list: the gorgeous, heartrending short story collection DAWN by Selahattin Demirtaş. It’s my pleasure to present the next book on the SJP for Hogarth list: the gorgeous, heartrending short story collection DAWN by Selahattin Demirtaş. I'm not able to stop thinking about these warm, intimate and often very amusing stories. As a lover of literature, I couldn’t ask for more immersive storytelling. Like so many of the books I love, Demirtaş’s stories are windows on to a world that many of us have never seen or know little about. What makes them unforgettable is their insistence on hope, reminding us again of the power of human stories. I’m honored to be able to share this collection with you. ...more",Notes are private!,0,1035,1,not set,"Apr 19, 2019","Apr 19, 2019",,Hardcover,view (with text),/book/show/42166434-dawn
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,There There,"Orange, Tommy*",,,,294        pp,3.98,"181,655","Jun 05, 2018","Jun 05, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,11,1,not set,not set,"Apr 12, 2019",,Hardcover,view,/book/show/36692478-there-there
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,West,"Davies, Carys*",1501179349,9781501179341,1501179349,160        pp,3.69,"4,986","Apr 24, 2018","Apr 24, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 09, 2019",,Hardcover,view,/book/show/35297141-west
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Say Nothing: A True Story of Murder and Memory in Northern Ireland,"Keefe, Patrick Radden",0385521316,9780385521314,0385521316,441        pp,4.46,"104,762","Nov 01, 2018","Feb 26, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,20,1,"May 03, 2019","Jun 09, 2023","Apr 09, 2019",,Hardcover,view,/book/show/40163119-say-nothing
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Franny and Zooey,"Salinger, J.D.",0316769029,9780316769020,0316769029,201        pp,3.96,"222,196",1957,"Jan 30, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,not set,"Apr 07, 2019",,Paperback,view,/book/show/5113.Franny_and_Zooey
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Night of the Gun,"Carr, David",1416541527,9781416541523,1416541527,385        pp,3.81,"7,168","Aug 05, 2008","Aug 05, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 07, 2019",,Hardcover,view,/book/show/2509481.The_Night_of_the_Gun
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,It's What I Do: A Photographer's Life of Love and War,"Addario, Lynsey",159420537X,9781594205378,159420537X,368        pp,4.34,"12,547","Feb 05, 2015","Feb 05, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 07, 2019",,Hardcover,view,/book/show/22571757-it-s-what-i-do
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Higher Loyalty: Truth, Lies, and Leadership","Comey, James",1250192455,9781250192455,1250192455,290        pp,4.10,"48,000","Apr 17, 2018","Apr 17, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,not set,"Apr 07, 2019",,Hardcover,view,/book/show/35108805-a-higher-loyalty
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Russian Roulette: The Inside Story of Putin's War on America and the Election of Donald Trump,"Isikoff, Michael",1538728753,9781538728758,1538728753,352        pp,4.21,"6,533","Mar 13, 2018","Mar 13, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Apr 07, 2019",,Hardcover,view,/book/show/36222733-russian-roulette
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Old Drift,"Serpell, Namwali*",1781090491,9781781090497,1781090491,576        pp,3.75,"6,800","Mar 25, 2019","Mar 19, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,7,2,"Apr 12, 2019not set","May 03, 2019not set","Apr 07, 2019",,Hardcover,view,/book/show/40060700-the-old-drift
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I.M.: A Memoir,"Mizrahi, Isaac",1427274649,9781427274649,1427274649,0        pp,3.95,"2,010","Feb 26, 2019","Feb 26, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Apr 07, 2019",,Audio CD,view,/book/show/26072943-i-m
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Nickel Boys,"Whitehead, Colson*",,,,213        pp,4.26,"245,143","Jul 16, 2019","Jul 16, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,13,1,not set,not set,"Apr 07, 2019",,Kindle Edition,view,/book/show/42270835-the-nickel-boys
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Woman No. 17,"Lepucki, Edan*",1101904275,9781101904275,1101904275,352        pp,3.32,"7,443","May 09, 2017","Feb 13, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Apr 02, 2019",,Paperback,view,/book/show/36030995-woman-no-17
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,White Fur,"Libaire, Jardine*",0451497929,9780451497925,0451497929,305        pp,3.29,"5,522","May 30, 2017","May 30, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Jan 2019,Jan 2019,"Feb 27, 2019",,Hardcover,view,/book/show/32025142-white-fur
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Library Book,"Orlean, Susan*",1476740186,9781476740188,1476740186,317        pp,3.89,"114,954","Oct 16, 2018","Oct 16, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,14,1,not set,not set,"Jan 15, 2019",,Hardcover,view,/book/show/39507318-the-library-book
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rules Do Not Apply,"Levy, Ariel",0812996933,9780812996937,0812996933,207        pp,3.71,"33,897","Mar 14, 2017","Mar 14, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Jan 10, 2019","Jan 10, 2019",,Hardcover,view,/book/show/32572166-the-rules-do-not-apply
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Heartland: A Memoir of Working Hard and Being Broke in the Richest Country on Earth,"Smarsh, Sarah*",1501133098,9781501133091,1501133098,290        pp,3.76,"15,183","Sep 18, 2018","Sep 18, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,Jan 2018,"Dec 08, 2018",,Hardcover,view,/book/show/38532119-heartland
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lights All Night Long,"Fitzpatrick, Lydia*",,,,352        pp,3.89,"5,797","Apr 02, 2019","Apr 02, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,not set,Jan 2018,"Dec 07, 2018",,Kindle Edition,view,/book/show/35526438-lights-all-night-long
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Milkman,"Burns, Anna",0571338763,9780571338764,0571338763,352        pp,3.54,"61,603","May 15, 2018","May 15, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,8,1,not set,Jan 2018,"Dec 07, 2018",,Kindle Edition,view,/book/show/36047860-milkman
