,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Lee's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
182,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"North of Nowhere        (Alex McKnight, #4)","Hamilton, Steve*",0312268971,9780312268978,0312268971,288        pp,4.04,"4,054","May 08, 2002","May 08, 2002",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Aug 04, 2015","Aug 13, 2015","Aug 04, 2015",,Hardcover,view,/book/show/785394.North_of_Nowhere
183,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On the Run,"MacDonald, John D.",0449134334,9780449134337,0449134334,144        pp,3.75,209,1962,"Apr 12, 1988",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Dated language that is easily forgiven, and such a grasp of the human animal.",Notes are private!,0,1,1,"Aug 04, 2015","Aug 04, 2015","Aug 04, 2015",,Mass Market Paperback,view (with text),/book/show/2896370-on-the-run
184,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Fair Maiden,"Oates, Joyce Carol",0151015163,9780151015160,0151015163,165        pp,3.23,"3,849","Jan 06, 2010","Jan 06, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 04, 2015","Aug 13, 2015","Aug 04, 2015",,Hardcover,view,/book/show/5711702-a-fair-maiden
185,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On the Run,"MacDonald, John D.",,,,144        pp,3.75,209,1962,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 04, 2015",,Mass Market Paperback,view,/book/show/15829320-on-the-run
186,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Last Night at the Lobster,"O'Nan, Stewart*",0670018279,9780670018277,0670018279,160        pp,3.58,"12,037","Nov 01, 2007","Nov 01, 2007",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 29, 2015","Aug 04, 2015","Jul 29, 2015",,Hardcover,view,/book/show/673915.Last_Night_at_the_Lobster
187,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,3 Screenplays: The Color of Money / Sea of Love / Night and the City,"Price, Richard",0395669235,9780395669235,0395669235,363        pp,3.93,56,1993,"Jan 01, 1993",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 28, 2015",,Paperback,view,/book/show/249973.3_Screenplays
188,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Breaks,"Price, Richard",0140070370,9780140070378,0140070370,446        pp,3.21,271,1983,"Mar 06, 1984",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 28, 2015",,Paperback,view,/book/show/764239.The_Breaks
189,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ladies' Man,"Price, Richard",039597772X,9780395977729,039597772X,272        pp,3.51,713,1978,"Jan 01, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 28, 2015",,Paperback,view,/book/show/249929.Ladies_Man
190,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bloodbrothers,"Price, Richard",0395977738,9780395977736,0395977738,271        pp,3.77,837,1976,"Jan 01, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 28, 2015",,Paperback,view,/book/show/249924.Bloodbrothers
191,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wanderers,"Price, Richard",0747574634,9780747574637,0747574634,239        pp,3.91,"1,894",1974,2004,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 28, 2015",,Paperback,view,/book/show/249925.The_Wanderers
192,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Samaritan,"Price, Richard",037572513X,9780375725135,037572513X,378        pp,3.71,"2,232","Jan 07, 2003","Jun 08, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 28, 2015",,Paperback,view,/book/show/1182523.Samaritan
193,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Freedomland,"Price, Richard",038533513X,9780385335133,038533513X,672        pp,3.66,"3,519","Jan 01, 1998","Nov 29, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 28, 2015",,Paperback,view,/book/show/105786.Freedomland
194,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Clockers,"Price, Richard",0747562733,9780747562733,0747562733,608        pp,4.08,"9,289","Jun 02, 1992","Jan 01, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 28, 2015",,Paperback,view,/book/show/45794.Clockers
195,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Brass Cupcake,"MacDonald, John D.",044902945X,,,174        pp,3.92,948,"Jan 01, 1950",1969,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 28, 2015","Jul 29, 2015","Jul 28, 2015",,Paperback,view,/book/show/13490800-the-brass-cupcake
196,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pop. 1280,"Thompson, Jim",,,B004RD85AI,215        pp,4.05,"10,886",1964,"Dec 25, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 28, 2015",,Kindle Edition,view,/book/show/17204285-pop-1280
197,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Satyricon,Petronius,0192839527,9780192839527,0192839527,272        pp,3.78,"8,736",60,"Aug 19, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 28, 2015",,Paperback,view,/book/show/168214.The_Satyricon
198,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,High Jinx,"Westlake, Donald E.",093976704X,9780939767045,093976704X,121        pp,3.66,29,"Jan 01, 1987","Jan 01, 1987",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 28, 2015",,Paperback,view,/book/show/1608816.High_Jinx
199,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,You Live Once,"MacDonald, John D.",,,,159        pp,3.86,248,1959,1967,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 24, 2015","Jul 29, 2015","Jul 24, 2015",,Mass Market Paperback,view,/book/show/13120291-you-live-once
200,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sweetheart, Sweetheart","Taylor, Bernard",,,B011J87VUS,256        pp,3.74,876,1977,"Jul 12, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Jul 24, 2015",,Kindle Edition,view,/book/show/25924600-sweetheart-sweetheart
201,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Cypress Grove        (Turner, #1)","Sallis, James",0802733808,9780802733801,0802733808,256        pp,3.49,937,2003,"Apr 01, 2004",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jul 24, 2015","Jul 24, 2015","Jul 24, 2015",,Hardcover,view,/book/show/2644509-cypress-grove
202,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Where is Janice Gantry?,"MacDonald, John D.",0449025683,9780449025680,0449025683,192        pp,4.07,443,1961,1961,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jul 20, 2015","Jul 24, 2015","Jul 20, 2015",,Mass Market Paperback,view,/book/show/684717.Where_is_Janice_Gantry_
203,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Whites,"Brandt, Harry",0805093990,9780805093995,0805093990,333        pp,3.64,"10,549","Feb 12, 2015","Feb 17, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jul 20, 2015","Jul 24, 2015","Jul 20, 2015",,Hardcover,view,/book/show/22895696-the-whites
204,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sacrifice: A Novel,"Oates, Joyce Carol",006233297X,9780062332974,006233297X,310        pp,3.41,"2,016","Jan 01, 2015","Jan 27, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 15, 2015","Jul 20, 2015","Jul 15, 2015",,Hardcover,view,/book/show/22236659-the-sacrifice
205,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Gardener's Son: a screenplay,"McCarthy, Cormac",0880014814,9780880014816,0880014814,93        pp,3.45,"1,227","Sep 01, 1996","Sep 01, 1996",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 15, 2015","Jul 15, 2015","Jul 15, 2015",,Hardcover,view,/book/show/46492.The_Gardener_s_Son
206,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Put a Lid on It,"Westlake, Donald E.",0892967188,9780892967186,0892967188,256        pp,3.79,737,Apr 2002,"May 01, 2002",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jul 10, 2015","Jul 15, 2015","Jul 10, 2015",,Hardcover,view,/book/show/1435227.Put_a_Lid_on_It
207,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Winter of the Wolf Moon        (Alex McKnight, #2)","Hamilton, Steve*",0312252951,9780312252953,0312252951,274        pp,3.93,"4,522",2000,"Feb 14, 2000",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jul 10, 2015","Jul 15, 2015","Jul 10, 2015",,Hardcover,view,/book/show/785420.Winter_of_the_Wolf_Moon
208,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Creeps        (Samuel Johnson, #3)","Connolly, John*",1476757097,9781476757094,1476757097,321        pp,4.02,"2,023","Oct 03, 2013","Oct 22, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jul 10, 2015","Jul 15, 2015","Jul 10, 2015",,Hardcover,view,/book/show/17936214-the-creeps
209,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Slow Regard of Silent Things        (The Kingkiller Chronicle, #2.5)","Rothfuss, Patrick*",0756410436,9780756410438,0756410436,159        pp,3.88,"146,276","Oct 28, 2014","Oct 28, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 08, 2015",,Hardcover,view,/book/show/21535271-the-slow-regard-of-silent-things
210,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Oink-a-Doodle-Moo,"Czekaj, Jef*",0062060112,9780062060112,0062060112,32        pp,3.55,402,"Jun 12, 2012","Jun 12, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jul 07, 2015","Jul 07, 2015","Jul 07, 2015",,Hardcover,view,/book/show/13119900-oink-a-doodle-moo
211,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Diary of a Fly,"Cronin, Doreen",0060001569,9780060001568,0060001569,40        pp,4.19,"6,084",1996,"Aug 21, 2007",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 07, 2015","Jul 07, 2015","Jul 07, 2015",,Hardcover,view,/book/show/531344.Diary_of_a_Fly
212,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dozens of Cousins,"Crum, Shutta*",061815874X,9780618158744,061815874X,32        pp,3.15,192,"May 15, 2008","Jul 02, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jul 07, 2015","Jul 07, 2015","Jul 07, 2015",,Hardcover,view,/book/show/13202048-dozens-of-cousins
213,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Magic Thinks Big,"Cooper, Elisha*",0060581646,9780060581640,0060581646,32        pp,3.79,160,"Mar 30, 2004","Mar 01, 2004",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 07, 2015","Jul 07, 2015","Jul 07, 2015",,Hardcover,view,/book/show/277858.Magic_Thinks_Big
214,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Best Birthday Party Ever,"Huget, Jennifer LaRue",0375847634,9780375847639,0375847634,40        pp,3.84,199,"Jan 01, 2011","Feb 22, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 07, 2015","Jul 07, 2015","Jul 07, 2015",,Hardcover,view,/book/show/8626074-the-best-birthday-party-ever
215,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sanctuary        (Jack Taylor, #7)","Bruen, Ken",0312384416,9780312384418,0312384416,208        pp,4.03,"1,299",2008,"May 12, 2009",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 07, 2015","Jul 07, 2015","Jul 07, 2015",,Hardcover,view,/book/show/6294756-sanctuary
216,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Martian Chronicles,"Bradbury, Ray",0380973839,9780380973835,0380973839,288        pp,4.15,"262,096","May 04, 1950",2006,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 07, 2015","Jul 07, 2015","Jul 07, 2015",,Hardcover,view,/book/show/11490891-the-martian-chronicles
217,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hands Say Love,"Shannon, George",0316084794,9780316084796,0316084794,32        pp,3.88,208,"Sep 01, 2014","Dec 16, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 13, 2015","Jul 07, 2015","Jun 13, 2015",,Hardcover,view,/book/show/18012413-hands-say-love
218,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Once Upon an Alphabet: Short Stories for all the Letters,"Jeffers, Oliver*",0399167919,9780399167911,0399167919,112        pp,4.27,"3,566","Sep 25, 2014","Oct 14, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 13, 2015","Jul 07, 2015","Jun 13, 2015",,Hardcover,view,/book/show/20821124-once-upon-an-alphabet
219,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lizards Weird and Wonderful,"Facklam, Margery",0316173460,9780316173469,0316173460,32        pp,3.33,12,"Apr 01, 2003","Apr 01, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 13, 2015","Jul 07, 2015","Jun 13, 2015",,Hardcover,view,/book/show/2008075.Lizards_Weird_and_Wonderful
220,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Dance with Dragons        (A Song of Ice and Fire, #5)","Martin, George R.R.",,,,"1,125        pp",4.34,"652,479","Jul 12, 2011","Jul 12, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 11, 2015",,Kindle Edition,view,/book/show/10664113-a-dance-with-dragons
221,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Power and the Glory,"Greene, Graham",0142437301,9780142437308,0142437301,222        pp,3.98,"39,523",Mar 1940,"Feb 25, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 11, 2015",,Paperback,view,/book/show/3690.The_Power_and_the_Glory
222,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stained,"Thomas, Lee*",,,B00QXWYF0A,348        pp,3.74,115,"Apr 20, 2004","Dec 11, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 11, 2015",,Kindle Edition,view,/book/show/23824755-stained
223,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,It's a Long Story: My Life,"Nelson, Willie",0316403555,9780316403559,0316403555,400        pp,4.12,"8,644","May 05, 2015","May 05, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 11, 2015",,Hardcover,view,/book/show/23197334-it-s-a-long-story
224,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Stranger,"Camus, Albert",,,,159        pp,4.02,"1,094,404","May 19, 1942","Mar 28, 1989",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 11, 2015",,Paperback,view,/book/show/49552.The_Stranger
225,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Man in the High Castle,"Dick, Philip K.",0244151806,9780244151805,0244151806,239        pp,3.60,"212,812",Oct 1962,Oct 1962,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 11, 2015",,Hardcover,view,/book/show/2905378-the-man-in-the-high-castle
226,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Devil's Breath,"Gifune, Greg F.",,,B00YAS81H2,190        pp,3.91,96,unknown,"Jul 07, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 11, 2015",,Kindle Edition,view,/book/show/25611662-devil-s-breath
227,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Wolverine, Volume 2: Wolverine vs. the X-Men","Aaron, Jason",0785147861,9780785147862,0785147861,168        pp,3.59,500,"Aug 03, 2011","Jan 01, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 11, 2015",,Hardcover,view,/book/show/11332145-wolverine-volume-2
228,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Nightmare Within,"Krisch, Glen R.*",,,B004GNFTSA,231        pp,3.67,515,"Dec 18, 2010",unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 10, 2015",,Kindle Edition,view,/book/show/9976745-the-nightmare-within
229,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dr. Faustus,"Marlowe, Christopher",0486282082,9780486282084,0486282082,64        pp,3.80,"67,349",1588,"Oct 20, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 10, 2015",,Paperback,view,/book/show/18525.Dr_Faustus
230,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Swastika Night,"Burdekin, Katharine",0935312560,9780935312560,0935312560,196        pp,3.63,"2,555",1937,1985,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 10, 2015",,Paperback,view,/book/show/387373.Swastika_Night
231,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Batman: Arkham Knight Vol. 1: The Official Prequel to the Arkham Trilogy Finale,"Tomasi, Peter J.",1401258042,9781401258047,1401258042,144        pp,3.59,717,"Jul 14, 2015","Jul 14, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 04, 2015",,Hardcover,view,/book/show/25241742-batman
232,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Charlotte’s Web,"White, E.B.",0064410935,9780064410939,0064410935,184        pp,4.20,"1,834,831","Oct 15, 1952","Oct 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 01, 2015",,Paperback,view,/book/show/24178.Charlotte_s_Web
233,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Godsend,"Taylor, Bernard",,,B00UZAQ590,169        pp,3.76,592,"Jan 01, 1976","Apr 14, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 01, 2015",,Kindle Edition,view,/book/show/25356520-the-godsend
234,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blood and Guts in High School,"Acker, Kathy",080213193X,9780802131935,080213193X,165        pp,3.45,"5,965","Jan 11, 1984","Jan 11, 1984",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 01, 2015",,Paperback,view,/book/show/321950.Blood_and_Guts_in_High_School
235,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Silent Land,"Joyce, Graham",0385533802,9780385533805,0385533802,262        pp,3.64,"4,887","Nov 01, 2010","Mar 29, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 01, 2015",,Hardcover,view,/book/show/8719737-the-silent-land
236,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Ticket to the Boneyard,"Block, Lawrence*",1409138615,9781409138617,B005LWQ8P8,297        pp,4.15,"3,720",1990,"Oct 20, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 01, 2015",,Kindle Edition,view,/book/show/20165638-a-ticket-to-the-boneyard
237,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Stolen Season        (Alex McKnight, #7)","Hamilton, Steve*",031235360X,9780312353605,031235360X,304        pp,3.98,"3,089","Sep 05, 2006","Sep 05, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 30, 2015",,Hardcover,view,/book/show/30247.A_Stolen_Season
238,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jack of Spades,"Oates, Joyce Carol",0802123945,9780802123947,0802123945,224        pp,3.32,"3,963","May 05, 2015","May 05, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 04, 2015","Jun 04, 2015","May 30, 2015",,Hardcover,view,/book/show/23281515-jack-of-spades
239,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Final Recollections of Charles Dickens,"Hauser, Thomas",1619024284,9781619024281,1619024284,161        pp,3.44,163,"Oct 20, 2014","Nov 11, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 04, 2015","Jun 10, 2015","May 30, 2015",,Hardcover,view,/book/show/20893992-the-final-recollections-of-charles-dickens
240,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stuart Little,"White, E.B.",0064400565,9780064400565,B00AHFYJQE,131        pp,3.90,"125,736",1945,1973,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 30, 2015","Jun 10, 2015","May 30, 2015",,Paperback,view,/book/show/138959.Stuart_Little
241,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Misery Bay        (Alex McKnight, #8)","Hamilton, Steve*",1250008522,9781250008527,1250008522,320        pp,4.16,"4,175","Jun 07, 2011","Jun 05, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 30, 2015","Jun 04, 2015","May 30, 2015",,Paperback,view,/book/show/12159330-misery-bay
242,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wise Blood,"O'Connor, Flannery",0374530637,9780374530631,0374530637,256        pp,3.83,"33,327","May 15, 1952","Mar 06, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 28, 2015",,Paperback,view,/book/show/48467.Wise_Blood
243,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cat on a Hot Tin Roof,"Williams, Tennessee",0811216012,9780811216012,0811216012,208        pp,4.06,"60,852",1955,"Sep 17, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 28, 2015",,Paperback,view,/book/show/72159.Cat_on_a_Hot_Tin_Roof
