,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Erica's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Junie B., First Grader: Shipwrecked        (Junie B. Jones, #23)","Park, Barbara",0307280640,9780307280640,0307280640,85        pp,4.11,"5,616","May 25, 2004",unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2021",,Hardcover,view,/book/show/343265.Junie_B_First_Grader
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Junie B., First Grader: Boss of Lunch        (Junie B. Jones, #19)","Park, Barbara",0375802940,9780375802942,B009X8JTV6,77        pp,4.01,"5,775","Jan 01, 2002","Mar 12, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 08, 2021",,Paperback,view,/book/show/295663.Junie_B_First_Grader
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Junie B., First Grader: Boo...and I Mean It!        (Junie B. Jones, #24)","Park, Barbara",0375828079,9780375828072,0375828079,86        pp,4.07,"5,026","Aug 23, 2004","Aug 23, 2005",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 08, 2021",,Paperback,view,/book/show/284092.Junie_B_First_Grader
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Junie B., First Grader: Toothless Wonder        (Junie B. Jones, #20)","Park, Barbara",0375822232,9780375822230,0375822232,80        pp,4.04,"6,529","Jan 01, 2002","Aug 12, 2003",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 08, 2021",,Paperback,view,/book/show/261000.Junie_B_First_Grader
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Junie B., First Grader: One-Man Band        (Junie B. Jones, #22)","Park, Barbara",0375925228,9780375925221,0375925228,87        pp,4.04,"8,710","Sep 23, 2003","Sep 23, 2003",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 08, 2021",,Paperback,view,/book/show/586347.Junie_B_First_Grader
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Junie B., First Grader (at Last!)        (at Last!) (Junie B. Jones, #18)","Park, Barbara",0375815163,9787940039949,0375815163,96        pp,4.06,"8,481",2001,"Aug 20, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 08, 2021",,Paperback,view,/book/show/295665.Junie_B_First_Grader_at_Last_
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,"Vance, J.D.",0062300547,9780062300546,0062300547,264        pp,3.87,"412,268","Jun 28, 2016","Jun 28, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 08, 2021",,Hardcover,view,/book/show/27161156-hillbilly-elegy
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Believe Me,"Delaney, J.P.*",1787472434,,B0763SL75B,370        pp,3.70,"30,089","Jul 24, 2018","Jul 24, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 08, 2021",,Kindle Edition,view,/book/show/36399240-believe-me
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House Next Door,"Patterson, James*",1478969776,9781478969778,,448        pp,3.49,"9,528","Jan 08, 2019","Jan 08, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 08, 2021",,Audiobook,view,/book/show/31423139-the-house-next-door
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What You Wish For,"Center, Katherine*",1250219361,9781250219367,1250219361,320        pp,3.79,"51,500","Jul 14, 2020","Jul 14, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 08, 2021",,Hardcover,view,/book/show/51168993-what-you-wish-for
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Junie B., First Grader: Aloha-ha-ha!        (Junie B. Jones, #26)","Park, Barbara",,,B001V7U6YQ,119        pp,4.16,"5,502","May 23, 2006",unknown,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 04, 2021","Mar 11, 2021","Mar 04, 2021",,Kindle Edition,view,/book/show/8244890-junie-b-first-grader
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Black Girl Unlimited,"Brown, Echo",,,,304        pp,4.32,"4,333","Jan 14, 2020","Jan 14, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Added to my all time favorites shelf.,Notes are private!,0,0,1,"Feb 26, 2021","Mar 08, 2021","Feb 26, 2021",,,view (with text),/book/show/38599259-black-girl-unlimited
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Junie B., First Grader: Dumb Bunny        (Junie B. Jones, #27)","Park, Barbara",,,B001NLKWI0,128        pp,4.12,"4,947",2007,"Mar 12, 2009",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 24, 2021","Mar 08, 2021","Feb 24, 2021",,Kindle Edition,view,/book/show/8154994-junie-b-first-grader
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Orphan Train,"Kline, Christina Baker*",,,,278        pp,4.19,"442,009","Apr 02, 2013","Apr 02, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 06, 2021",,Paperback,view,/book/show/15818107-orphan-train
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Red Notebook,"Laurain, Antoine",1908313862,9781908313867,1908313862,159        pp,3.87,"21,177","Mar 05, 2014","Apr 07, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 06, 2021",,Paperback,view,/book/show/23129712-the-red-notebook
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"To Sleep in a Sea of Stars        (Fractalverse, #1)","Paolini, Christopher*",1250762847,9781250762849,1250762847,880        pp,3.79,"58,330","Sep 15, 2020","Sep 15, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 06, 2021","Mar 08, 2021","Feb 06, 2021",,Hardcover,view,/book/show/48829708-to-sleep-in-a-sea-of-stars
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Remote Control,"Okorafor, Nnedi*",,,B0879FRJ9X,156        pp,3.85,"16,843","Jan 19, 2021","Jan 19, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 31, 2021",,Kindle Edition,view,/book/show/34215764-remote-control
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Inn,"Patterson, James*",1780899963,9781780899961,1780899963,400        pp,3.72,"16,907","Aug 05, 2019","Aug 08, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 31, 2021",,Hardcover,view,/book/show/42778062-the-inn
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Nanny,"Macmillan, Gilly*",0062875574,9780062875570,,416        pp,3.70,"28,816","May 01, 2019","Sep 10, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 20, 2021","Jan 31, 2021","Jan 20, 2021",,ebook,view,/book/show/40863437-the-nanny
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nothing to See Here,"Wilson, Kevin*",0062913484,9780062913487,,288        pp,3.96,"183,991","Oct 29, 2019","Oct 29, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 12, 2021","Jan 14, 2021","Jan 12, 2021",,ebook,view,/book/show/42519313-nothing-to-see-here
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Broken Girls,"St. James, Simone*",,,,336        pp,4.07,"105,392","Mar 20, 2018","Mar 20, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 12, 2021",,Kindle Edition,view,/book/show/35533431-the-broken-girls
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Woman is Haunted,"Littrell, Betsy",1649219083,9781649219084,1649219083,92        pp,4.57,7,unknown,"Dec 03, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 30, 2020",not set,"Dec 30, 2020",,Paperback,view,/book/show/55564374-this-woman-is-haunted
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Talking to Strangers: What We Should Know About the People We Don’t Know,"Gladwell, Malcolm",0316478520,9780316478526,0316478520,388        pp,4.01,"294,256","Sep 10, 2019","Sep 10, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 18, 2020",,Hardcover,view,/book/show/43848929-talking-to-strangers
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Notes on a Nervous Planet,"Haig, Matt*",014313342X,9780143133421,014313342X,288        pp,3.96,"49,680","Jul 05, 2018","Jan 29, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 18, 2020",,Paperback,view,/book/show/40404801-notes-on-a-nervous-planet
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Survivor Song,"Tremblay, Paul*",0062679163,9780062679161,0062679163,320        pp,3.62,"16,718","Jul 07, 2020","Jul 07, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 18, 2020",,Hardcover,view,/book/show/52581895-survivor-song
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Where the Forest Meets the Stars,"Vanderah, Glendy",154204006X,9781542040068,154204006X,332        pp,4.14,"191,833","Mar 01, 2019","Mar 01, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 19, 2020",,Hardcover,view,/book/show/40545956-where-the-forest-meets-the-stars
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Girl Gone Mad,"Bishop, Avery*",1542018722,9781542018722,B07YNJ2JZM,411        pp,3.99,"19,901","Sep 01, 2020","Sep 01, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 29, 2020",,Kindle Edition,view,/book/show/51178033-girl-gone-mad
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dolores Claiborne,"King, Stephen*",1101138173,9781101138175,,384        pp,3.92,"153,340",Nov 1992,"Oct 27, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 29, 2020",,ebook,view,/book/show/7278752-dolores-claiborne
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pet Sematary,"King, Stephen*",,,,580        pp,4.06,"591,601","Nov 14, 1983","May 13, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 29, 2020",,Kindle Edition,view,/book/show/33124137-pet-sematary
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Messenger        (The Giver, #3)","Lowry, Lois*",0385732538,9780385732536,0385732538,169        pp,3.92,"136,643","Apr 26, 2004","Aug 22, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 27, 2020",,Paperback,view,/book/show/12930.Messenger
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Gathering Blue        (The Giver, #2)","Lowry, Lois*",0385732562,9780385732567,0385732562,240        pp,3.82,"192,082",Sep 2000,"Sep 25, 2000",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 27, 2020",,Paperback,view,/book/show/12936.Gathering_Blue
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Giver        (The Giver, #1)","Lowry, Lois*",0385732554,9780385732550,0385732554,208        pp,4.12,"2,478,405","Apr 26, 1993","Jan 24, 2006",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 27, 2020",,Paperback,view,/book/show/3636.The_Giver
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gone Girl,"Flynn, Gillian*",,,,415        pp,4.13,"3,091,005","Dec 06, 2012","Apr 22, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 27, 2020",,Paperback,view,/book/show/19288043-gone-girl
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Girl Before,"Delaney, J.P.*",0425285049,9780425285046,0425285049,341        pp,3.70,"155,900","Apr 04, 2017","Jan 24, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 13, 2020","Oct 18, 2020","Oct 13, 2020",,Hardcover,view,/book/show/28016509-the-girl-before
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Perfect Wife,"Delaney, J.P.*",1524796743,9781524796747,1524796743,413        pp,3.68,"36,862","Aug 06, 2019","Aug 06, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 13, 2020",,Hardcover,view,/book/show/42927050-the-perfect-wife
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Amber Spyglass        (His Dark Materials, #3)","Pullman, Philip",0440238153,9780440238157,0440238153,465        pp,4.10,"360,031","Oct 10, 2000","Sep 09, 2003",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 24, 2020","Oct 29, 2020","Sep 24, 2020",,Mass Market Paperback,view,/book/show/18122.The_Amber_Spyglass
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Know Who You Are,"Feeney, Alice*",0008236070,9780008236076,0008236070,384        pp,3.42,"47,063","Apr 23, 2019","May 16, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 10, 2020","Sep 22, 2020","Sep 24, 2020",,Mass Market Paperback,view,/book/show/35483371-i-know-who-you-are
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Derailed on the Bipolar Express,"Edson, Joie",,,B07FKT8DT2,152        pp,4.32,41,unknown,"Jul 20, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 22, 2020",not set,"Sep 22, 2020",,Kindle Edition,view,/book/show/40859013-derailed-on-the-bipolar-express
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vox,"Dalcher, Christina*",0440000785,9780440000785,0440000785,336        pp,3.54,"80,072","Aug 21, 2018","Aug 21, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 13, 2020",,Hardcover,view,/book/show/37796866-vox
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Subtle Knife        (His Dark Materials, #2)","Pullman, Philip",,,B00SSJYF8S,370        pp,4.15,"435,532","Jul 22, 1997",Sep 2018,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 13, 2020","Sep 17, 2020","Sep 13, 2020",,Kindle Edition,view,/book/show/41637836-the-subtle-knife
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Golden Compass        (His Dark Materials, #1)","Pullman, Philip",0679879242,9780679879244,B001NAR73E,399        pp,4.02,"1,525,515","Jul 01, 1995","Apr 16, 1996",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 13, 2020",,Hardcover,view,/book/show/119322.The_Golden_Compass
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Power,"Alderman, Naomi*",0670919985,9780670919987,0670919985,341        pp,3.76,"230,123","Oct 27, 2016","Oct 27, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 03, 2020",,Hardcover,view,/book/show/29751398-the-power
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Oryx And Crake / The Year Of The Flood / MaddAddam        (Maddaddam #1-3),"Atwood, Margaret*",9123934255,9789123934256,9123934255,0        pp,4.51,"4,050","Aug 27, 2013","Jan 01, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I've recently reread this series and will update my s 2020I've recently reread this series and will update my s 2020...more,Notes are private!,0,0,1,not set,not set,"Sep 03, 2020",,Paperback,view (with text),/book/show/49086403-oryx-and-crake-the-year-of-the-flood-maddaddam
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Burn Our Bodies Down,"Power, Rory*",0525645640,9780525645641,,352        pp,3.51,"11,301","Jul 07, 2020","Jul 07, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 03, 2020",,ebook,view,/book/show/52748041-burn-our-bodies-down
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wilder Girls,"Power, Rory*",0525645586,9780525645580,0525645586,357        pp,3.46,"88,207","Jul 09, 2019","Jul 09, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Review coming,Notes are private!,0,0,1,"Aug 03, 2020","Sep 03, 2020","Aug 03, 2020",,Hardcover,view (with text),/book/show/42505366-wilder-girls
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The 5th Wave        (The 5th Wave, #1)","Yancey, Rick",0399162410,9780399162411,0399162410,457        pp,4.01,"457,428","May 07, 2013","May 07, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 03, 2020","Sep 03, 2020","Aug 03, 2020",,Hardcover,view,/book/show/16101128-the-5th-wave
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lullabies for Suffering: Tales of Addiction Horror,"Matthews, Mark*",0578588846,9780578588841,0578588846,255        pp,3.89,480,"Jan 04, 2020","Jan 10, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 31, 2020",,Paperback,view,/book/show/53153152-lullabies-for-suffering
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Yearbook,"Condie, Ally*",1590386906,9781590386903,1590386906,208        pp,3.83,"1,370","Sep 15, 2006","Sep 15, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 29, 2020",,Paperback,view,/book/show/1542403.Yearbook
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,First Day,"Condie, Ally*",1590387759,9781590387757,1590387759,304        pp,3.92,913,"Jun 07, 2007","Jun 07, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 29, 2020",,Paperback,view,/book/show/1542405.First_Day
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Voyage of Poe Blythe,"Condie, Ally*",0525426450,9780525426455,0525426450,328        pp,3.49,"3,831","Mar 26, 2019","Mar 26, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 29, 2020",,Hardcover,view,/book/show/40944082-the-last-voyage-of-poe-blythe
