,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Cam's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Severance,"Ma, Ling*",0374261598,9780374261597,0374261598,291        pp,3.92,"99,016","Aug 14, 2018","Aug 14, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"high 4i feel like this is the first plot-driven book i’ve read in a while. i also feel like this would’ve been 5 stars pre pandemic but having lived thigh 4i feel like this is the first plot-driven book i’ve read in a while. i also feel like this would’ve been 5 stars pre pandemic but having lived through a parallel event, i missed a lot of the emotional impact history can skip over and I needed that from candace. I wanted her Worry about Johnathan and his fate, especially knowing where she ends up and why she feels the way she feel about it. good themes, good writing, enjoyable. ...more",Notes are private!,0,3,1,"Jan 27, 2024","Feb 05, 2024","Dec 02, 2023",,Hardcover,view (with text),/book/show/36348525-severance
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Woman in Me,"Spears, Britney",1668009048,9781668009048,1668009048,288        pp,3.91,"383,650","Oct 24, 2023","Oct 24, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"First half was a wikipedia article and the second half made me rlly sad for her, artists, and women in general. ironic how she talks about feeling infFirst half was a wikipedia article and the second half made me rlly sad for her, artists, and women in general. ironic how she talks about feeling infantalized when “her” voice feels like she’s 14. ...more",Notes are private!,0,2,1,"Jan 09, 2024","Jan 19, 2024","Oct 30, 2023",,Hardcover,view (with text),/book/show/63133205-the-woman-in-me
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,It's OK to Be Angry About Capitalism,"Sanders, Bernie",0593238710,9780593238714,0593238710,320        pp,4.09,"4,431","Feb 21, 2023","Feb 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 30, 2023",,Hardcover,view,/book/show/63249703-it-s-ok-to-be-angry-about-capitalism
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Pokémon Adventures, Vol. 3","Kusaka, Hidenori",1421530562,9781421530567,1421530562,226        pp,4.36,"2,787","May 28, 1998","Oct 06, 2009",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 03, 2023","Feb 02, 2024","Sep 27, 2023",,Paperback,view,/book/show/6697595-pok-mon-adventures-vol-3
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Pokémon Adventures, Vol. 2","Kusaka, Hidenori",1421530554,9781421530550,1421530554,208        pp,4.36,"4,997","Dec 16, 1997","Aug 04, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,i loved this onegreen is such a good character i need more of herrrrrrrrrrrrrrr. actually reeled me in this time. poor blaine!,Notes are private!,0,4,1,"Sep 20, 2023","Sep 27, 2023","Sep 20, 2023",,Paperback,view (with text),/book/show/6517938-pok-mon-adventures-vol-2
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Counting the Cost,"Duggar, Jill",,,B0C6L2JQX9,287        pp,4.16,"84,016","Sep 12, 2023","Sep 12, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Poor, poor woman. I am happy to see she is finally seeking peace and putting up boundaries. Adulthood seems a lot happier and less anxiety-ridden thanPoor, poor woman. I am happy to see she is finally seeking peace and putting up boundaries. Adulthood seems a lot happier and less anxiety-ridden than her childhood.I almost cried at the pants scene bc it makes me so sad that people have to grow up that way.I truly don’t know how she can go back to Jim Bob being in her life after all of the details she just spilled. So many of his actions were inexcusable, and she acknowledges it, too. But I guess that’s family for ya. It’s like she’s so close to breaking free, but will never take the final step. Minus one star bc her husband is probably transphobic (but I do credit a lot of her deconstruction happened because of his support and ability to firmly hold his ground against Jim Bob and IBLP)...more",Notes are private!,0,0,1,"Dec 18, 2023","Dec 20, 2023","Sep 14, 2023",,Kindle Edition,view (with text),/book/show/167770288-counting-the-cost
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Pokémon Adventures, Vol. 1        (Pokémon Adventures, #1)","Kusaka, Hidenori",1421530546,9781421530543,B076DP7JNH,200        pp,4.29,"6,504","Aug 08, 1997","Jun 30, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,baby’s first mangaperfect subway book. the manga makes pokémon feel more realistic. a lot more assholes than in the games & anime. how cute was mr fujbaby’s first mangaperfect subway book. the manga makes pokémon feel more realistic. a lot more assholes than in the games & anime. how cute was mr fuji tho...more,Notes are private!,1,1,1,"Aug 30, 2023","Sep 18, 2023","Aug 30, 2023",,Paperback,view (with text),/book/show/6432051-pok-mon-adventures-vol-1
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When Things Fall Apart: Heart Advice for Difficult Times,"Chödrön, Pema",1570623449,9781570623448,1570623449,148        pp,4.28,"55,898","Dec 24, 1996","Sep 26, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 22, 2023",,Paperback,view,/book/show/687278.When_Things_Fall_Apart
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Let the Great World Spin,"McCann, Colum*",1443412317,9781443412315,1443412317,512        pp,3.95,"104,955","Jun 16, 2009",2011,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"this is how you write a book of disjointed stories. a little slow in the beginning but the payoff is priceless. layers upon layers upon layers upon lathis is how you write a book of disjointed stories. a little slow in the beginning but the payoff is priceless. layers upon layers upon layers upon layers. each character had their own style of thinking and in turn writing. was very happy to see the story finish with claire&gloria bc they were my favs. i love you mr. tightrope man. also loved his exemplification that every life is unique, worthy, and intertwined. made me fall in love with new york city & life itself. i thought it was gonna be a 4 but colum rlly did that. ...more",Notes are private!,0,3,1,"Nov 03, 2023","Nov 22, 2023","Jul 28, 2023",,Paperback,view (with text),/book/show/15716535-let-the-great-world-spin
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Girls,"Cline, Emma",081299860X,9780812998603,081299860X,355        pp,3.50,"216,845","Jun 14, 2016","Jun 14, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,high 3i just can’t believe she’s 14; she’s so bold and absolutely stupid. loved the moments between evie and sasha in the present. i also liked how thhigh 3i just can’t believe she’s 14; she’s so bold and absolutely stupid. loved the moments between evie and sasha in the present. i also liked how the author illustrated how/why someone would be attracted to a crew like that throughout the book. everything else was kinda mid tho hence the 3 stars....more,Notes are private!,0,1,1,"Aug 24, 2023","Sep 14, 2023","Jul 24, 2023",,Hardcover,view (with text),/book/show/26893819-the-girls
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Invisible Monsters,"Palahniuk, Chuck*",0393355950,9780393355956,0393355950,304        pp,4.00,"143,535","Sep 17, 1999","May 01, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 04, 2024",not set,"Jul 24, 2023",,Paperback,view,/book/show/36236125-invisible-monsters
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Year of Rest and Relaxation,"Moshfegh, Ottessa",0525522131,9780525522133,0525522131,289        pp,3.64,"394,983","Jul 10, 2018","Jun 25, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"sooooooooo dramatic and ridiculousthis is the most fun i’ve had reading in a really long time, i wish the last 20% of the book was as enjoyable as thesooooooooo dramatic and ridiculousthis is the most fun i’ve had reading in a really long time, i wish the last 20% of the book was as enjoyable as the first 80% but i still give it 5 stars for making me laugh out loud at times. good premise, good writing. she’s insane in the best way and unfortunately a little relatable...more",Notes are private!,0,1,1,"Jul 23, 2023","Jul 24, 2023","Jul 23, 2023",,Paperback,view (with text),/book/show/44279110-my-year-of-rest-and-relaxation
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Filthy Animals,"Taylor, Brandon",0525538917,9780525538912,0525538917,288        pp,3.65,"8,874","Jun 22, 2021","Jun 22, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,mid 3might be the most mid book i’ve ever read so i have to give it the mid scorei love when the name of the story appears in the text so that was funmid 3might be the most mid book i’ve ever read so i have to give it the mid scorei love when the name of the story appears in the text so that was fun to uncover in each vignette. a full lionel-charles-sophie book might’ve been better so that Something could be fleshed out at least from the main story. i’ve read books where short stories feel complete but these just felt like a quick glimpse into a world and i didn’t like that nothing felt resolved. applauding the uniqueness of each vignette tho....more,Notes are private!,0,0,1,"Jul 02, 2023","Jul 11, 2023","Jun 22, 2023",,Hardcover,view (with text),/book/show/55801198-filthy-animals
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"My Brilliant Friend        (The Neapolitan Novels, #1)","Ferrante, Elena",,,,331        pp,4.04,"332,952","Oct 19, 2011","Sep 25, 2012",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,mid 2i would’ve DNF if i didn’t have a reading goal. so many useless characters. themes not fleshed out well. i don’t get the hype. the friendship dynmid 2i would’ve DNF if i didn’t have a reading goal. so many useless characters. themes not fleshed out well. i don’t get the hype. the friendship dynamic felt stale. the class-feud felt relevant but unoriginal. the very very rare moments when the narrator feels unobstructed bliss were nice. not 1 star bc maybe the italian version is better...more,Notes are private!,0,1,1,"Jan 03, 2024","Jan 21, 2024","Jun 21, 2023",,Paperback,view (with text),/book/show/35036409-my-brilliant-friend
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shuggie Bain,"Stuart, Douglas*",0802148042,9780802148049,0802148042,430        pp,4.31,"151,870","Feb 11, 2020","Feb 11, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 15, 2023",,Hardcover,view,/book/show/52741293-shuggie-bain
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In the Dream House,"Machado, Carmen Maria*",1644450038,9781644450031,1644450038,251        pp,4.43,"124,514","Nov 05, 2019","Nov 05, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 15, 2023",,Hardcover,view,/book/show/43317482-in-the-dream-house
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wuthering Heights,"Brontë, Emily",,,,464        pp,3.89,"1,805,424",Dec 1847,2002,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 05, 2024",not set,"Jun 15, 2023",,Paperback,view,/book/show/6185.Wuthering_Heights
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Picture of Dorian Gray,"Wilde, Oscar",,,,272        pp,4.12,"1,534,891",Jun 1890,"Jun 01, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"mid 4my favorite “older” book i’ve read so farclear plot with heavy hitting lines, oscar gets the job done. dorian is a very well-written character anmid 4my favorite “older” book i’ve read so farclear plot with heavy hitting lines, oscar gets the job done. dorian is a very well-written character and stole the show. i loved the twistswould’ve been high 4 if that one chapter wasn’t so bad...more",Notes are private!,0,4,1,"Jun 15, 2023",Jul 2023,"Jun 15, 2023",,Paperback,view (with text),/book/show/5297.The_Picture_of_Dorian_Gray
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Yellowface,"Kuang, R.F.*",,,B0B9SN8K6H,336        pp,3.80,"428,562","May 25, 2023","May 16, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 12, 2023","Jun 15, 2023","Jun 10, 2023",,Kindle Edition,view,/book/show/62060532-yellowface
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Testaments        (The Handmaid's Tale, #2)","Atwood, Margaret*",,,,422        pp,4.19,"352,091","Sep 10, 2019","Sep 10, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 01, 2023",,Hardcover,view,/book/show/42975172-the-testaments
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Malibu Rising,"Reid, Taylor Jenkins*",,,,369        pp,4.04,"1,018,356","May 27, 2021","Jun 01, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"**spoiler alert** high 33 stars bc it’s so mid, high 3 bc ninanina is the only character i feel like lives up to TJR character status (she’s really th**spoiler alert** high 33 stars bc it’s so mid, high 3 bc ninanina is the only character i feel like lives up to TJR character status (she’s really the only one that has a story). i didn’t give a care abt anything else in the book which made 369 pages a lil harder the whole party was just a hodgepodge of shit that you either could’ve predicted would happen or wouldn’t care about kit is so obviously gay it felt dragging reading her trying to figure it outit’s one of those things where i expected to like it/wanted to like it and when i didn’t, it made it worse...more",Notes are private!,0,0,1,"May 31, 2023","Jun 11, 2023","May 31, 2023",,Hardcover,view (with text),/book/show/55404546-malibu-rising
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Home at the End of the World,"Cunningham, Michael*",0312424086,9780312424084,0312424086,342        pp,3.93,"20,226",1990,"Jul 01, 2004",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"so much better than i expecteda story about death as much as it is about life. my favorite part about this book was that every phrase felt intentionalso much better than i expecteda story about death as much as it is about life. my favorite part about this book was that every phrase felt intentional. all narrators felt purposeful. jonathan was tragically relatable. i like that it highlighted untraditional relationships in love, family, and friends.heard the movie is ass tho...more",Notes are private!,0,2,1,"Dec 11, 2023","Dec 16, 2023","May 26, 2023",,Paperback,view (with text),/book/show/2137.A_Home_at_the_End_of_the_World
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Little Birds,"Nin, Anaïs",0156029049,9780156029049,0156029049,148        pp,3.71,"12,038",1979,"Feb 02, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 25, 2023",,Paperback,view,/book/show/11036.Little_Birds
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Hey, Hun: Sales, Sisterhood, Supremacy, and the Other Lies Behind Multilevel Marketing","Paulson, Emily Lynn*",1955905258,9781955905251,1955905258,384        pp,3.66,"8,583","May 30, 2023","May 30, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 20, 2023",,Hardcover,view,/book/show/62241157-hey-hun
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All This Could Be Different,"Mathews, Sarah Thankam*",0593489128,9780593489123,0593489128,320        pp,3.87,"15,790","Aug 02, 2022","Aug 02, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,**spoiler alert** high 3nothing happens but kinda in a bad waysneha was not likeable. who lies that their parents are dead and keeps it going for so l**spoiler alert** high 3nothing happens but kinda in a bad waysneha was not likeable. who lies that their parents are dead and keeps it going for so long???? tig and thom carriedi rlly like the ending tho and was hoping it would end up the way it did. anyone else think sneha was gonna end up coming out as trans??? the prndl scene and fact that she hated when people used her name made me think this would happen by the end. also other random lines about feeling like a boy...more,Notes are private!,0,0,1,"Jul 13, 2023","Jul 21, 2023","May 17, 2023",,Hardcover,view (with text),/book/show/59576064-all-this-could-be-different
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Seven Husbands of Evelyn Hugo,"Reid, Taylor Jenkins*",1501139231,9781501139239,1501139231,389        pp,4.42,"3,002,567","Jun 13, 2017","Jun 13, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"evelyn is probably the exact person i would hate yet i’m starting to understand her need for personal happiness and is so relatable. she takes the eveevelyn is probably the exact person i would hate yet i’m starting to understand her need for personal happiness and is so relatable. she takes the everyday’s thoughts and actions to the extreme but with cameras and paparazzi capturing her every move or what they think is her move. it’s classic story but w hot famous people which is why it’s more interesting unfortunately.harry was a highlight for me, he was the soul behind a lot of it that other characters didn’t bringi wish we got a little more of monique. the ending didn’t land as well as i’d hoped because i wasn’t attached to her and her story as much.celia kinda pissed me off at times bc she was…….. right most of the time but not understanding of the sacrifices others have to make to be in her position. background explains a lot of each character’s actionsevelyn made the right choice in the end, i would’ve done the same thing in her position. kinda wish she ditched the blonde hair thocouldn’t put it down once i really got into it, easy and enjoyable, just what i needed...more",Notes are private!,0,2,1,"May 08, 2023","May 17, 2023","May 08, 2023",,Hardcover,view (with text),/book/show/32620332-the-seven-husbands-of-evelyn-hugo
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Britney Spears's Blackout        (33 1/3),"Lasky, Natasha",1501377590,9781501377594,1501377590,144        pp,4.11,84,unknown,"Sep 22, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"high 4short & sweetshe really put some respect on the true beginnings of 2010s pop music that defined my teenagehood. her collaborators knew what theyhigh 4short & sweetshe really put some respect on the true beginnings of 2010s pop music that defined my teenagehood. her collaborators knew what they were doing. britney embraced it, and she ran w it.the commentary on the fine line between fan-celebrity culture & fan/public-celebrity exploitation that the album is rooted in was well-explored and necessary to understand the sonic and aesthetic choices that were made.couldn’t help but see parallels between britney’s celebrity experience and the product that came out of it and taylor’s celebrity experience and the product that came out of that.nice to hear that gimme more made other peoplegay too...more",Notes are private!,0,3,1,"Apr 24, 2023","Apr 26, 2023","Apr 20, 2023",,Paperback,view (with text),/book/show/57986229-britney-spears-s-blackout
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Alchemist,"Coelho, Paulo*",0062315005,9780062315007,0062315005,182        pp,3.91,"3,056,306",1988,"Apr 15, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,low 4so short so sweet so easywhat an adventure; the universe is so kind. i get the hype but it’s also a little preachy. i think everyone can see themlow 4so short so sweet so easywhat an adventure; the universe is so kind. i get the hype but it’s also a little preachy. i think everyone can see themselves in the boy to some extent....more,Notes are private!,0,0,1,"Jul 17, 2023","Jul 22, 2023","Mar 29, 2023",,Paperback,view (with text),/book/show/18144590-the-alchemist
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lolita,"Nabokov, Vladimir",,,,368        pp,3.88,"850,106",Sep 1955,1995,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2023",,Paperback,view,/book/show/7604.Lolita
