,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Jessica's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Eva Evergreen, Semi-Magical Witch        (Eva Evergreen, #1)","Abe, Julie*",0316493880,9780316493888,0316493880,400        pp,4.12,"3,481","Aug 04, 2020","Aug 04, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"So cute! Lots of elements of Kiki's Delivery Service, but it had more magical world-building and some very distinctive magical elements, as well as toSo cute! Lots of elements of Kiki's Delivery Service, but it had more magical world-building and some very distinctive magical elements, as well as tons of very different creatures and plants. The food had my mouth watering! Also, I want a flame fox so bad! SO BAD.I was a little startled by how mean so many of the people were to her! SHE'S A CHILD, and there were grown adults treating her really badly! Sir, you are picking a fight with a child, you need therapy! And seriously, need to get the second one, because WHAT was up with that ending?! ...more",Notes are private!,0,14,1,"Mar 10, 2024","Mar 14, 2024","Mar 10, 2024",,Hardcover,view (with text),/book/show/51285821-eva-evergreen-semi-magical-witch
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pretty Furious,"Johnston, E.K.*",1984816136,,1984816136,224        pp,3.58,24,"Apr 16, 2024","Apr 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2024",,Hardcover,view,/book/show/192761607-pretty-furious
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Magic Words: Writing Great Books for Children and Young Adults,"Klein, Cheryl B.*",039329224X,9780393292244,039329224X,368        pp,4.41,538,unknown,"Sep 06, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 28, 2024",,Paperback,view,/book/show/28789704-the-magic-words
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Children of Ragnarok,"Chima, Cinda Williams*",0063018691,9780063018693,0063018691,536        pp,4.02,"1,401","Nov 08, 2022","Dec 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 28, 2024",,Paperback,view,/book/show/123851875-children-of-ragnarok
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Scandalous Confessions of Lydia Bennet, Witch","Taub, Melinda*",1538739208,9781538739204,1538739208,400        pp,3.84,"2,122","Oct 03, 2023","Oct 03, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I don't like unofficial sequels. A year or so ago I read a Pride & Prejudice sequel about one of the other sisters so bad that I won't even tell you wI don't like unofficial sequels. A year or so ago I read a Pride & Prejudice sequel about one of the other sisters so bad that I won't even tell you what it was. It was just . . . so bad. My real problem is that too often I go in thinking, Surely if they wrote about about Pride & Prejudice/Little Women/Alice in Wonderland, it's because they love the story so much they want to add to it and make it even better! But alas, it seems like all too often these people really want to correct what they see as flaws, picking holes until they've ruined the fabric. That is most definitely not the case here!I picked this up because it casts Lydia (poor, foolish girl!) as a witch, which I thought was interesting and I'm reading a lot of witch books right now. But I was wary. Very wary. Then I happened to look at the author bio before I started, and realized that I know Taub's work and she is HILARIOUS. I started reading eagerly, and I was justly rewarded! This is someone who knows and loves not just P&P, but all of Austen's work. She brings Sanditon into it! SANDITON! I know, right? The way she plays with the characters of Lydia and Kitty, Georgiana Darcy, Wickham, and others beyond just Lizzy and Jane is marvelous! I really felt like this was something Lydia would write. And the plot wasn't just, while Lizzy was over here at the Meryton ball, I was over here doing this thing. It had a lot going on that was new and very creative. In short: if you are looking for a straight up companion book for Pride & Prejudice, this is not for you. But if you like clever fantasy that has been lovingly braided into Austen's world, this is FABULOUS. ...more",Notes are private!,0,19,1,"Feb 27, 2024","Mar 07, 2024","Feb 23, 2024",,Hardcover,view (with text),/book/show/83823784-the-scandalous-confessions-of-lydia-bennet-witch
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bookshop: A History of the American Bookstore,"Friss, Evan",0593299922,9780593299920,0593299922,416        pp,4.67,3,unknown,"Aug 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 23, 2024",,Hardcover,view,/book/show/201751300-the-bookshop
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Of Nightingales That Weep,"Paterson, Katherine",0064402827,9780064402828,0064402827,192        pp,3.40,790,1974,"Mar 07, 1989",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I've NEVER ed this book?! I was freaking OBSESSED with this book in junior high! I could probably recite it from memory! It's a lush historical I've NEVER ed this book?! I was freaking OBSESSED with this book in junior high! I could probably recite it from memory! It's a lush historical tale, and just . . . sometimes I think of the cup with the nightingale under the lid and the words, ""Is that the little god's name?"" and just . . . chills. ...more",Notes are private!,1,8,2,Jan 1989not set,Jan 1989not set,"Feb 22, 2024",,Paperback,view (with text),/book/show/189322.Of_Nightingales_That_Weep
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Angel of Indian Lake        (The Indian Lake Trilogy, #3)","Jones, Stephen Graham*",1668011689,9781668011683,,416        pp,4.42,"1,022","Mar 26, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,ebook,view,/book/show/178072409-the-angel-of-indian-lake
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Palace: From the Tudors to the Windsors, 500 Years of British History at Hampton Court","Russell, Gareth*",1982169060,9781982169060,1982169060,480        pp,4.26,455,unknown,"Dec 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Hardcover,view,/book/show/101160670-the-palace
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Fever in the Heartland: The Ku Klux Klan's Plot to Take Over America, and the Woman Who Stopped Them","Egan, Timothy*",0735225265,9780735225268,0735225265,432        pp,4.40,"23,891","Apr 04, 2023","Apr 04, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is the story of a con artist who rose to power in America, who boasted of being the law, and therefore above the law. Who talked of running for pThis is the story of a con artist who rose to power in America, who boasted of being the law, and therefore above the law. Who talked of running for president and said he would be a dictator if elected. An uneducated, obese man who nevertheless attracts followers, especially women. Who talks of family values despite being well known for his many divorces, ignoring his children, and having many affairs. A man accused of violence, of lying, of raping and brutalizing women, whose first wife needed medical treatment after he abused her. I know what you're thinking: ""Wait, this is about Trump?""NOPE. It's about a Grand Dragon of the Ku Klux Klan in the 1920's, D. C. Stephenson! I'm really wondering if Trump hasn't read about Stephenson, since he seems to have borrowed from his playbook. There were quotes from Stephenson (from his letters, newspapers, court reports) that were VERBATIM things that Trump has said. I read this with my jaw on the floor. And the thing that horrified me the most was that what finally stopped Stephenson was that one of his victims DIED. Horribly. Someone shouldn't have to die, in great pain, literally with teeth marks on their body from the brutality of the attack, for an evil man to be stopped. And yet this book gave me hope, because it finally was stopped. The madness was . . . well, tamped down, at least. Crooked mayors and judges were removed from office. People slunk back into their holes, and good people prevailed. It can happen! We can rise above!...more",Notes are private!,0,14,1,"Feb 18, 2024","Apr 02, 2024","Feb 18, 2024",,Hardcover,view (with text),/book/show/61423989-a-fever-in-the-heartland
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Rogue Protocol        (The Murderbot Diaries, #3)","Wells, Martha*",,9781501999796,,4        pp,4.26,"111,665","Aug 07, 2018","Aug 07, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Certain questions get answered, others crop up. It's like you're trying to unravel a sweater, but someone keeps knitting, and knitting, and knitting..Certain questions get answered, others crop up. It's like you're trying to unravel a sweater, but someone keeps knitting, and knitting, and knitting......more",Notes are private!,0,8,1,"Feb 16, 2024","Feb 17, 2024","Feb 16, 2024",,Audiobook,view (with text),/book/show/41062828-rogue-protocol
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In and Out the Window,"Yolen, Jane*",0593622510,9780593622513,0593622510,208        pp,3.93,29,unknown,"Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 16, 2024",,Hardcover,view,/book/show/177188713-in-and-out-the-window
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Artificial Condition        (The Murderbot Diaries, #2)","Wells, Martha*",,9781501977831,,4        pp,4.27,"139,172","May 08, 2018","May 08, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Dear Murderbot: I heart you, and your comfort watching of Sanctuary Moon. If there's anything that makes sense in this crazy world, or your crazy futuDear Murderbot: I heart you, and your comfort watching of Sanctuary Moon. If there's anything that makes sense in this crazy world, or your crazy future, it's that watching a favorite show can make everything be all right, just for a little while. ...more",Notes are private!,0,18,1,"Feb 11, 2024","Feb 11, 2024","Feb 11, 2024",,Audiobook,view (with text),/book/show/40194200-artificial-condition
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Pushcart War,"Merrill, Jean",1590179366,9781590179369,1590179366,232        pp,4.19,"4,791",1964,"Sep 29, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was fascinating! I'd heard about this book for years, notably because it's one of the rare children's books that doesn't have any children in it This was fascinating! I'd heard about this book for years, notably because it's one of the rare children's books that doesn't have any children in it and yet is still widely used in classrooms and is still relevant today. And, yeah, actually. It's set in 2036, or after 2036, really, and written like a nonfiction book about the Pushcart War, an event every schoolchild should know about. This story about corrupt politicians, greedy business owners, and the ""little guys"" who struggled to right the wrongs that are being done to themselves and their friends is truly timeless, and it's written in a way that is engaging for younger readers, even though they're reading about older characters. Is this a classic that I think every child MUST read? Not necessarily. But is it a book that could really spark some great classroom discussion? Absolutely. ...more",Notes are private!,0,8,1,"Feb 07, 2024","Feb 10, 2024","Feb 07, 2024",,Paperback,view (with text),/book/show/24621710-the-pushcart-war
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lula Dean's Little Library of Banned Books,"Miller, Kirsten*",0063348691,9780063348691,0063348691,304        pp,4.38,144,"Jun 18, 2024","Jun 18, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 06, 2024",,Hardcover,view,/book/show/200987258-lula-dean-s-little-library-of-banned-books
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sharpe's Eagle        (Sharpe, #8)","Cornwell, Bernard*",0451212576,9780451212573,0451212576,270        pp,4.29,"15,377",1981,Aug 2004,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Thoroughly enjoyable, my first foray into the Sharpe novels, and Bernard Cornwell's books, waaaay back when I just wanted to know what the fuss was abThoroughly enjoyable, my first foray into the Sharpe novels, and Bernard Cornwell's books, waaaay back when I just wanted to know what the fuss was about with the BBC series. ...more",Notes are private!,3,9,1,Jan 2004,Jan 2004,"Feb 04, 2024",,Mass Market Paperback,view (with text),/book/show/557307.Sharpe_s_Eagle
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Daring of Della Dupree,"Lowe, Natasha",1534443681,9781534443686,1534443681,272        pp,4.50,82,unknown,"Jul 20, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2024",,Paperback,view,/book/show/55710765-the-daring-of-della-dupree
