,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Emily M's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Evelina,"Burney, Frances",0192840312,9780192840318,0192840312,455        pp,3.69,"17,369",1778,"Jul 18, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2010","Apr 07, 2022",,Paperback,view,/book/show/37638.Evelina
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Italian,"Radcliffe, Ann",0140437541,9780140437546,0140437541,544        pp,3.51,"5,564",1796,"Feb 24, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2010","Apr 07, 2022",,Paperback,view,/book/show/93136.The_Italian
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Down Among the Women,"Weldon, Fay",0897331168,9780897331166,0897331168,222        pp,3.81,560,1971,"Aug 30, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2006","Apr 07, 2022",,Paperback,view,/book/show/619825.Down_Among_the_Women
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Life and Loves of a She Devil,"Weldon, Fay",0340589353,9780340589359,0340589353,256        pp,3.76,"5,795",1983,"Jan 01, 1995",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2006","Apr 07, 2022",,Paperback,view,/book/show/135048.The_Life_and_Loves_of_a_She_Devil
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ethan Frome,"Wharton, Edith",,,0142437808,99        pp,3.44,"127,273",1911,2005,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2006","Apr 07, 2022",,Paperback,view,/book/show/5246.Ethan_Frome
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Mayor of Casterbridge,"Hardy, Thomas",,,,393        pp,3.86,"62,424",1886,"Mar 27, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2006","Apr 07, 2022",,Paperback,view,/book/show/56759.The_Mayor_of_Casterbridge
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Decameron,"Boccaccio, Giovanni",0140449302,9780140449303,0140449302,909        pp,3.88,"40,037",1349,"Apr 29, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2006","Apr 07, 2022",,Paperback,view,/book/show/51799.The_Decameron
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Metamorphoses,Ovid,014044789X,9780140447897,014044789X,723        pp,4.09,"71,268",8,"Aug 03, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2006","Apr 07, 2022",,Paperback,view,/book/show/1715.Metamorphoses
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Crying of Lot 49,"Pynchon, Thomas",006091307X,9780060913076,006091307X,152        pp,3.69,"86,786",1966,"Nov 07, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2006","Apr 07, 2022",,Paperback,view,/book/show/2794.The_Crying_of_Lot_49
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Emma,"Austen, Jane",,,,474        pp,4.05,"886,143","Dec 23, 1815","May 06, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2006","Apr 07, 2022",,Paperback,view,/book/show/6969.Emma
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Antigone        (The Theban Plays, #3)",Sophocles,1580493882,9781580493888,1580493882,80        pp,3.67,"153,614",-441,"Nov 30, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2006","Apr 07, 2022",,Paperback,view,/book/show/7728.Antigone
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Aeneid,Virgil,0679729526,9780679729525,0679729526,442        pp,3.86,"130,242",-19,"Jun 16, 1990",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2006","Apr 07, 2022",,Paperback,view,/book/show/12914.The_Aeneid
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Awakening,"Chopin, Kate",0543898083,9780543898081,0543898083,195        pp,3.68,"208,647",1899,2006,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2006","Apr 07, 2022",,Paperback,view,/book/show/58345.The_Awakening
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Little Princess,"Hodgson Burnett, Frances",0142437018,9780142437018,0142437018,242        pp,4.22,"306,195",1905,"Feb 26, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2000","Apr 07, 2022",,Paperback,view,/book/show/3008.A_Little_Princess
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Canterbury Tales,"Chaucer, Geoffrey",0140424385,9780140424386,0140424385,504        pp,3.52,"221,793",1400,"Feb 04, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2006","Apr 07, 2022",,Paperback,view,/book/show/2696.The_Canterbury_Tales
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beowulf,Unknown,0393320979,9780393320978,0393320979,256        pp,3.48,"311,099",1000,"Feb 17, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2006","Apr 07, 2022",,Paperback,view,/book/show/52357.Beowulf
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Iliad,Homer,0140275363,9780140275360,B00A2KEJ5A,704        pp,3.91,"454,845",-660,"Apr 29, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2006","Apr 07, 2022",,Library Binding,view,/book/show/1371.The_Iliad
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Coriolanus,"Shakespeare, William",019832006X,9780198320067,019832006X,208        pp,3.72,"17,646",1608,"Jan 29, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2006","Apr 07, 2022",,Paperback,view,/book/show/108171.Coriolanus
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Titus Andronicus,"Shakespeare, William",0671722921,9780671722920,0671722921,268        pp,3.68,"31,103",1594,"Feb 01, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2006","Apr 07, 2022",,Mass Market Paperback,view,/book/show/72978.Titus_Andronicus
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Taming of the Shrew,"Shakespeare, William",074347757X,9780743477574,074347757X,291        pp,3.75,"171,197",1593,"Jan 01, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2006","Apr 07, 2022",,Mass Market Paperback,view,/book/show/47021.The_Taming_of_the_Shrew
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Merchant of Venice,"Shakespeare, William",0743477561,9780743477567,B00735ZIY8,247        pp,3.78,"188,062",1596,Apr 2011,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2006","Apr 07, 2022",,Mass Market Paperback,view,/book/show/24128.The_Merchant_of_Venice
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Twelfth Night,"Shakespeare, William",0743482778,9780743482776,0743482778,272        pp,3.97,"182,656",1601,"Jul 01, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2006","Apr 07, 2022",,Mass Market Paperback,view,/book/show/1625.Twelfth_Night
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Julius Caesar,"Shakespeare, William",0198320272,9780198320272,0198320272,175        pp,3.70,"203,900",1599,"Oct 17, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2006","Apr 07, 2022",,Paperback,view,/book/show/13006.Julius_Caesar
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Tempest,"Shakespeare, William",,,,218        pp,3.79,"209,830",1611,Jul 2004,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2006","Apr 07, 2022",,Mass Market Paperback,view,/book/show/12985.The_Tempest
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,King Lear,"Shakespeare, William",,,,338        pp,3.91,"218,855",1605,"Jan 01, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2006","Apr 07, 2022",,Mass Market Paperback,view,/book/show/12938.King_Lear
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Much Ado About Nothing,"Shakespeare, William",,,,246        pp,4.06,"244,274",1598,2004,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2006","Apr 07, 2022",,Paperback,view,/book/show/12957.Much_Ado_About_Nothing
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Midsummer Night’s Dream,"Shakespeare, William",0743477545,9780743477543,0743477545,240        pp,3.95,"540,258",1595,Jul 2016,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2006","Apr 07, 2022",,Mass Market Paperback,view,/book/show/1622.A_Midsummer_Night_s_Dream
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hamlet,"Shakespeare, William",0521618746,9780521618748,0521618746,289        pp,4.02,"952,009",1601,"Dec 19, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2006","Apr 07, 2022",,Paperback,view,/book/show/1420.Hamlet
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Animal Farm / 1984,"Orwell, George",,,,400        pp,4.30,"198,394",1949,"Jun 01, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2000","Apr 07, 2022",,Hardcover,view,/book/show/5472.Animal_Farm_1984
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Witches,"Dahl, Roald",0590032496,9780590032490,0590032496,208        pp,4.18,"395,899","Sep 28, 1981",1997,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2000","Apr 07, 2022",,Paperback,view,/book/show/6327.The_Witches
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Island of the Blue Dolphins,"O'Dell, Scott",,,B0038AUY8M,194        pp,3.87,"332,513","Sep 09, 1960","Feb 08, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2000","Apr 07, 2022",,Kindle Edition,view,/book/show/41044096-island-of-the-blue-dolphins
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Girl with a Pearl Earring,"Chevalier, Tracy*",0452287022,9780452287020,0452287022,233        pp,3.93,"736,620",1999,2005,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2006","Apr 07, 2022",,Paperback,view,/book/show/2865.Girl_with_a_Pearl_Earring
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bridge to Terabithia,"Paterson, Katherine",0439366771,9780439366779,0439366771,128        pp,4.05,"546,219","Oct 21, 1977","Jan 01, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2000","Apr 07, 2022",,Paperback,view,/book/show/2839.Bridge_to_Terabithia
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dubliners,"Joyce, James",0192839993,9780192839992,0192839993,207        pp,3.84,"156,195","Jun 15, 1914","Mar 15, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2006","Apr 07, 2022",,Paperback,view,/book/show/11012.Dubliners
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Waste Land,"Eliot, T.S.",0393974995,9780393974997,0393974995,288        pp,4.11,"54,014",1922,"Jan 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2006","Apr 07, 2022",,Paperback,view,/book/show/34080.The_Waste_Land
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Velveteen Rabbit,"Williams Bianco, Margery",0380002558,9780380002559,0380002558,40        pp,4.30,"258,201",1922,"Apr 01, 1987",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2000","Apr 07, 2022",,Paperback,view,/book/show/144974.The_Velveteen_Rabbit
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ulysses,"Joyce, James",,,,925        pp,3.75,"127,967","Feb 02, 1922",1990,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2010","Apr 07, 2022",,Paperback,view,/book/show/338798.Ulysses
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Secret Garden,"Hodgson Burnett, Frances",0517189607,9780517189603,0517189607,331        pp,4.16,"1,170,457",Aug 1911,"Sep 01, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2000","Apr 07, 2022",,Hardcover,view,/book/show/2998.The_Secret_Garden
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Lion, the Witch and the Wardrobe        (Chronicles of Narnia, #1)","Lewis, C.S.",,,,206        pp,4.24,"2,798,484","Oct 16, 1950",2005,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2006","Apr 07, 2022",,Paperback,view,/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Room of One's Own / Three Guineas,"Woolf, Virginia",0192834843,9780192834843,0192834843,470        pp,4.17,"4,652",Jun 1938,"Jan 01, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2006","Apr 07, 2022",,Paperback,view,/book/show/52228.A_Room_of_One_s_Own_Three_Guineas
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Between the Acts,"Woolf, Virginia",015611870X,9780156118705,015611870X,224        pp,3.61,"7,858",1941,"Oct 21, 1970",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2008","Apr 07, 2022",,Paperback,view,/book/show/46105.Between_the_Acts
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Flush,"Woolf, Virginia",0156319527,9780156319522,0156319527,204        pp,3.87,"10,148",Oct 1933,"Oct 04, 1976",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2008","Apr 07, 2022",,Paperback,view,/book/show/18844.Flush
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jacob's Room,"Woolf, Virginia",039392632X,9780393926323,039392632X,352        pp,3.53,"11,682",1922,"May 14, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2008","Apr 07, 2022",,Paperback,view,/book/show/225396.Jacob_s_Room
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Voyage Out,"Woolf, Virginia",0156028050,9780156028059,0156028050,375        pp,3.75,"11,188",1915,"Feb 03, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2007","Apr 07, 2022",,Paperback,view,/book/show/148905.The_Voyage_Out
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Waves,"Woolf, Virginia",0156949601,9780156949606,0156949601,297        pp,4.15,"43,813","Oct 08, 1931","Jun 01, 1978",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2008","Apr 07, 2022",,Paperback,view,/book/show/46114.The_Waves
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Candy House,"Egan, Jennifer*",1476716765,9781476716763,1476716765,352        pp,3.65,"57,139","Apr 05, 2022","Apr 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2022",,Hardcover,view,/book/show/58437521-the-candy-house
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Something Wicked This Way Comes,"Bradbury, Ray",0380729407,9780380729401,0380729407,293        pp,3.91,"133,003","Sep 17, 1962","Mar 01, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2022",,Mass Market Paperback,view,/book/show/248596.Something_Wicked_This_Way_Comes
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The October Country,"Bradbury, Ray",0380973871,9780380973873,0380973871,334        pp,4.12,"18,787",1955,"Sep 07, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2022",,Hardcover,view,/book/show/93251.The_October_Country
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sea of Tranquility,"Mandel, Emily St. John*",0593321448,9780593321447,0593321448,259        pp,4.08,"231,568","Apr 05, 2022","May 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2022",,Hardcover,view,/book/show/58446227-sea-of-tranquility
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dandelion Wine,"Bradbury, Ray",0671037706,9780671037703,0671037706,239        pp,4.08,"70,272",1957,Jul 2000,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 02, 2022","Apr 07, 2022","Apr 02, 2022",,Paperback,view,/book/show/50033.Dandelion_Wine
60,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tuesdays with Morrie,"Albom, Mitch*",,,0751529818,210        pp,4.17,"1,027,230","Aug 18, 1997",2000,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 02, 2002","Apr 02, 2022",,Paperback,view,/book/show/6900.Tuesdays_with_Morrie
