,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Celia's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Finding Margaret Fuller,"Pataki, Allison*",0593600231,9780593600238,0593600231,416        pp,4.19,856,"Feb 13, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2024",,Hardcover,view,/book/show/171680310-finding-margaret-fuller
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fourth Wing        (The Empyrean, #1)","Yarros, Rebecca*",1649374046,9781649374042,1649374046,498        pp,4.59,"1,499,693","May 02, 2023","May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2024",,Hardcover,view,/book/show/61431922-fourth-wing
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Salt Path,Raynor Winn*,0241349648,9780241349649,0241349648,288        pp,4.02,"68,815","Mar 22, 2018","Sep 25, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2024",,Hardcover,view,/book/show/38085814-the-salt-path
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Time Keeper,"Albom, Mitch*",1401322786,9781401322786,1401322786,224        pp,3.89,"113,796","Sep 04, 2012","Sep 04, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Hardcover,view,/book/show/13624688-the-time-keeper
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The World We Found,"Umrigar, Thrity",,,B005EGXODA,392        pp,3.83,"6,881","Jan 03, 2012",unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Kindle Edition,view,/book/show/13223484-the-world-we-found
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,There Are Rivers in the Sky,"Shafak, Elif*",,,B0BLGMP41J,0        pp,4.47,32,unknown,"Aug 08, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Kindle Edition,view,/book/show/64431166-there-are-rivers-in-the-sky
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Heart Like Home,"Nolfi, Christine*",1662514069,9781662514067,B0CGBNBVH9,316        pp,4.88,64,unknown,"Apr 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Kindle Edition,view,/book/show/197600310-a-heart-like-home
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Maria: A Novel of Maria von Trapp,"Author Moran, Michelle*",0593499484,9780593499481,0593499484,320        pp,4.64,33,"Jul 30, 2024","Jul 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Paperback,view,/book/show/201102253-maria
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mother Doll,"Apekina, Katya*",1419770950,9781419770951,1419770950,320        pp,4.08,114,"Mar 12, 2024","Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Hardcover,view,/book/show/195660554-mother-doll
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lost Boy of Santa Chionia,"Grames, Juliet*",,,,unknown,4.18,11,"Jul 23, 2024",unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Kindle Edition,view,/book/show/60372947-the-lost-boy-of-santa-chionia
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Forbidden Knowledge: Medicine, Science, and Censorship in Early Modern Italy","Marcus, Hannah",022673658X,9780226736587,022673658X,360        pp,4.50,6,unknown,"Sep 25, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Hardcover,view,/book/show/50860372-forbidden-knowledge
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Outlaw Noble Salt,"Harmon, Amy*",1662514441,9781662514449,B0CDD8DT54,364        pp,4.65,272,"Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Kindle Edition,view,/book/show/195511946-the-outlaw-noble-salt
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Keeper of Stars,"Turner, Buck*",,9798987818435,B0BZLZ5JNQ,298        pp,4.51,"4,855",unknown,"Mar 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 09, 2024",,Kindle Edition,view,/book/show/123858075-the-keeper-of-stars
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fresh Water for Flowers,"Perrin, Valérie",1609455959,9781609455958,1609455959,476        pp,4.28,"72,376","Feb 28, 2018","Jun 02, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 09, 2024",not set,"Mar 09, 2024",,Hardcover,view,/book/show/52649136-fresh-water-for-flowers
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Framed        (Jax Diamond Mysteries #2),"Meath, Gail*",,,B09L8FG6DH,200        pp,4.73,116,"Apr 01, 2022","Apr 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 07, 2024",,Kindle Edition,view,/book/show/75723434-framed
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Gospel of John,"Martin, Francis",080103647X,9780801036477,080103647X,368        pp,4.57,136,"Feb 17, 2015","May 05, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 07, 2024",,Paperback,view,/book/show/22504661-the-gospel-of-john
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Priest and Beggar: The Heroic Life of Venerable Aloysius Schwartz,"Wells, Kevin*",1621645061,9781621645061,1621645061,230        pp,4.80,69,unknown,"May 25, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 27, 2024",,Paperback,view,/book/show/57835605-priest-and-beggar
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Leaving,"Robinson, Roxana",1324065389,9781324065388,1324065389,344        pp,4.04,"1,679","Feb 13, 2024","Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Apr 2024,not set,"Feb 27, 2024",,Hardcover,view,/book/show/150778780-leaving
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Reading Life: The Joy of Seeing New Worlds Through Others' Eyes,"Lewis, C.S.",0062849980,9780062849984,,192        pp,4.10,"1,980","Oct 15, 2019","Oct 15, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,ebook,view,/book/show/36300732-the-reading-life
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Quickie,"Patterson, James*",0316117366,9780316117364,0316117366,357        pp,3.85,"41,429","Jul 02, 2007","Jul 02, 2007",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is not my normal genre and it was my first James Patterson. I read it on a whim because I like to listen to audio while I am driving. It was on tThis is not my normal genre and it was my first James Patterson. I read it on a whim because I like to listen to audio while I am driving. It was on the library shelf so I checked it out.The plot just seemed thrown together. Whenever I thought we had learned evrything, the authors threw one more thing at me.A married couple; she catches him cheating, she then cheats, he kills her lover. Obviously it is more complicated than that.If you like this kind of book, you will probably like it better than I did.2 stars ...more",Notes are private!,0,1,1,not set,"Mar 06, 2024","Feb 20, 2024",,Hardcover,view (with text),/book/show/13133.The_Quickie
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,2024 Magnificat Lenten Companion,Magnificat,1639670580,9781639670581,B0CHTZCLYZ,157        pp,4.85,72,unknown,"Sep 10, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This book was my constant companion as Lent progressed. I cannot say enough on how much the writings effected me and especially enhanced my Lenten behThis book was my constant companion as Lent progressed. I cannot say enough on how much the writings effected me and especially enhanced my Lenten behaviour!!Each day was a reflection on the gospel of that day's Mass. I am homebound right now but able to 'attend' Mass on Youtube. Hearing the Gospel proclaimed and the priest's homily on the gospel was a very special Lenten experience for me.I have read many of the Magnificat Seasonal Companions in the last 10 years.I cannot say enough good things about my experiences of reading them.5 stars...more,Notes are private!,0,7,1,"Feb 14, 2024","Mar 31, 2024","Feb 14, 2024",,Kindle Edition,view (with text),/book/show/199276775-2024-magnificat-lenten-companion
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,He Leadeth Me: An Extraordinary Testament of Faith,"Ciszek, Walter J.",0307818721,9780307818720,B00B0LP54Y,210        pp,4.62,"4,142",1973,"Oct 17, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I selected this book to read as part of my 2024 Lenten Journey. Father Ciszek, a Polish priest, was subjected to 23 years as a prisoner in the Soviet I selected this book to read as part of my 2024 Lenten Journey. Father Ciszek, a Polish priest, was subjected to 23 years as a prisoner in the Soviet Union during WWII. The authorities accused him of being a Vatican ""spy"".Reading about his experiences while a prisoner there was painful. Father suffered much both mentally and physically. But he never gave up his faith and after being released, came to the United States.The best part of this book are his thoughts on God's plan and the practice of humility. One of my favorite quotes:""... a proper understanding of pain and suffering (cannot) be achieved without the larger vision of salvation or the more immediate context of apostolate and of vocation. ... I learned it only through the constant practice of prayer, by trying to live always in the presence of God, by trying to see all things as a manifestation of his divine will.""I have my own crosses to bear in this stage of my life. Since reading this book, I do not feel alone. 5 stars...more",Notes are private!,0,1,1,"Feb 14, 2024","Mar 27, 2024","Feb 14, 2024",,Kindle Edition,view (with text),/book/show/22014628-he-leadeth-me
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Starling House,"Harrow, Alix E.*",1250799058,9781250799050,1250799058,308        pp,3.86,"67,474","Oct 03, 2023","Oct 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Hardcover,view,/book/show/65213595-starling-house
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Good Part,"Cousens, Sophie",0593539893,9780593539897,0593539893,368        pp,4.08,"19,314","Nov 07, 2023","Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2024",,Paperback,view,/book/show/112976344-the-good-part
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Only Survivors,"Miranda, Megan*",,,B0B3YB7TXQ,348        pp,3.55,"56,660","Apr 11, 2023","Apr 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2024",,Kindle Edition,view,/book/show/62669443-the-only-survivors
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Smoke Kings,"Mayfield, Jahmal*",168589111X,9781685891114,168589111X,400        pp,4.09,195,"Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2024",,Paperback,view,/book/show/150065107-smoke-kings
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Forgotten Chapter,"Jenoff, Pam*",1662520093,9781662520099,B0CNYGJMFB,38        pp,3.98,"1,026","Feb 22, 2024","Feb 22, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 11, 2024",,Kindle Edition,view,/book/show/205897123-the-forgotten-chapter
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Only One Left,"Sager, Riley*",0593183223,9780593183229,0593183223,385        pp,4.15,"233,736","Jun 20, 2023","Jun 20, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 09, 2024",,Hardcover,view,/book/show/62703226-the-only-one-left
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shelterwood,"Wingate, Lisa*",0593726502,9780593726501,0593726502,368        pp,4.21,247,"Jun 04, 2024","Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2024",,Hardcover,view,/book/show/198563674-shelterwood
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Best of Bookwinked,"Ledet, Diane T*",,,,137        pp,5.00,2,"Dec 04, 2023","Dec 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2024",,,view,/book/show/203179361-the-best-of-bookwinked
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Glassmaker,"Chevalier, Tracy*",0525558276,9780525558279,0525558276,416        pp,4.16,32,"Jun 18, 2024","Jun 18, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Hardcover,view,/book/show/202167720-the-glassmaker
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"I Survived The Great Molasses Flood, 1919        (I Survived, #19)","Tarshis, Lauren",1338317423,9781338317428,1338317423,144        pp,4.06,"2,315","Sep 03, 2019","Sep 03, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 03, 2024",,Hardcover,view,/book/show/43319593-i-survived-the-great-molasses-flood-1919
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Seeing People Off,"Beňová, Jana",1937512525,9781937512521,1937512525,142        pp,3.20,408,2008,"Mar 14, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 03, 2024",,Paperback,view,/book/show/29633672-seeing-people-off
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Scarlet Ribbon,"O'Dowd, Derry",1845887298,9781845887292,1845887298,239        pp,3.79,34,"Jan 01, 2012","Jan 01, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 03, 2024",,Paperback,view,/book/show/13516132-the-scarlet-ribbon
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Go as a River,"Read, Shelley*",1954118244,9781954118249,B0B71C17R4,299        pp,4.31,"64,772","Mar 07, 2023","Mar 07, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Go as a River is the debut book of Shelley Read, a fifth-generation Coloradoan.The book takes place over a period of 28 years (1948-1971). It takes plGo as a River is the debut book of Shelley Read, a fifth-generation Coloradoan.The book takes place over a period of 28 years (1948-1971). It takes place in and around Iola, Colorado.Iola is now an extinct town located in Gunnison County, Colorado, United States. The community was inundated and destroyed by the creation of Blue Mesa Reservoir which came to be in 1963.The book is billed as a coming-of-age story of Victoria Nash. At the book's onset, she is 17 years old.She runs the household on her family's peach farm in the small ranch town of Iola, Colorado—the sole surviving female in a family of troubled men. Wilson Moon is a young drifter with a mysterious past, displaced from his tribal land and determined to live as he chooses.Victoria encounters Wil by chance on a street corner, a meeting that profoundly alters both of their young lives. When tragedy strikes, Victoria leaves the farm. Eventually, she returns to handle all the obstacles she faces.Victoria is a very strong character. As one er states:""Read creates such a lifelike, three-dimensional character that I woke up one morning wondering how my friend was doing, only realizing after a second that the person I was worried about wasn't flesh and blood. While her life is filled with tragedy, Victoria herself is not a tragic figure. She reminded me a bit of Scarlett O'Hara from Gone with the Wind, a naïve young woman confronted with hardship. At first, she's overwhelmed but then she rallies, revealing a hidden strength – and it's that strength that readers both admire and love her for.""I strongly recommend this book for its gorgeous scenic descriptions AND its well-developed characters. 5 stars...more",Notes are private!,1,12,1,"Feb 26, 2024",Mar 2024,"Feb 01, 2024",,Kindle Edition,view (with text),/book/show/63922271-go-as-a-river
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bird Hotel,"Maynard, Joyce*",,,B0BHTPZBMX,457        pp,4.32,"6,561","May 02, 2023","May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2024",,Kindle Edition,view,/book/show/62357986-the-bird-hotel
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bear,"Phillips, Julia*",0525520430,9780525520436,0525520430,304        pp,4.19,185,"Jun 25, 2024","Jun 25, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2024",,Hardcover,view,/book/show/196056205-bear
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sandcastle Sister        (Carolina #2.5),"Wingate, Lisa*",1414388306,9781414388304,B00Y3MKDK8,155        pp,4.02,"2,027","May 29, 2015","May 29, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 29, 2024",,Kindle Edition,view,/book/show/25623287-the-sandcastle-sister
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In the Penal Colony,"Kafka, Franz",,,,52        pp,3.94,"25,927",Oct 1918,1974,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 27, 2024",,Paperback,view,/book/show/581552.In_the_Penal_Colony
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Read a Book,"Wood, Monica",0063243679,9780063243675,0063243679,288        pp,4.37,51,"Jun 18, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 23, 2024",,Hardcover,view,/book/show/62365896-how-to-read-a-book
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Family Family,"Frankel, Laurie*",1250236800,9781250236807,1250236800,400        pp,4.05,"7,316","Jan 23, 2024","Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2024",,Hardcover,view,/book/show/127282881-family-family
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Things in Jars,"Kidd, Jess*",1982121289,9781982121280,1982121289,369        pp,3.70,"23,029","Apr 04, 2019","Feb 04, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2024",,Hardcover,view,/book/show/49649443-things-in-jars
