,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Ralu's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Noi, cei care am râs","Holub, Miroslav",,9786306547050,,184        pp,4.00,12,unknown,Sep 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 18, 2023","Dec 18, 2023","Dec 18, 2023",,,view,/book/show/199134400-noi-cei-care-am-r-s
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Piatră și umbră,"Sönmez, Burhan",,9786069786789,,416        pp,4.30,415,unknown,"Oct 15, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,8,1,"Nov 23, 2023","Nov 23, 2023","Nov 23, 2023",,Paperback,view,/book/show/201444366-piatr-i-umbr
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fără instrucțiuni de folosire,"Burtea, Ioana",6064316810,9786064316813,6064316810,292        pp,4.67,152,unknown,"Sep 15, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Nov 23, 2023","Nov 23, 2023","Nov 23, 2023",,Paperback,view,/book/show/199011738-f-r-instruc-iuni-de-folosire
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Urmele încercării,"Mălaicu-Hondrari, Marin",,978606722556,,63        pp,3.79,61,unknown,2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 18, 2023","Oct 18, 2023","Oct 18, 2023",,Paperback,view,/book/show/59456258-urmele-ncerc-rii
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bucurie,"Vilas, Manuel",,9786069786345,,412        pp,3.27,"1,252",unknown,2023,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Oct 09, 2023","Oct 18, 2023","Oct 09, 2023",,Paperback,view,/book/show/165922313-bucurie
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ulises,"Joyce, James",8437617251,9788437617251,8437617251,"1,060        pp",3.75,"127,967","Feb 02, 1922","Jul 01, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 09, 2023",not set,"Oct 09, 2023",,Paperback,view,/book/show/395290.Ulises
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Teoria corzilor,"Wallace, David Foster",,9786069558447,,184        pp,4.17,"4,519",2014,"Apr 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 09, 2023",not set,"Oct 09, 2023",,Paperback,view,/book/show/156874641-teoria-corzilor
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Acasă: o istorie a vieţii private,"Bryson, Bill",9734671200,9789734671205,9734671200,408        pp,3.98,"93,792","May 27, 2010",Nov 2017,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 09, 2023","Oct 29, 2023","Oct 09, 2023",,Hardcover,view,/book/show/36679906-acas
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Războiul care mi-a salvat viața,"Bradley, Kimberly Brubaker*",,9786067880656,,296        pp,4.50,"99,819","Jan 08, 2015",2016,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Oct 09, 2023","Oct 09, 2023","Oct 09, 2023",,Hardcover,view,/book/show/33655135-r-zboiul-care-mi-a-salvat-via-a
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Despre memoriile femeii și alți dragoni,"Nagy, Raluca*",6064316829,9786064316820,6064316829,136        pp,3.92,120,unknown,"Sep 13, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Oct 06, 2023","Oct 06, 2023","Oct 06, 2023",,Paperback,view,/book/show/199011732-despre-memoriile-femeii-i-al-i-dragoni
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Eu plec, tu pleci, el/ ea pleacă","Erpenbeck, Jenny",,9786069003244,6069003241,304        pp,3.97,"8,679","Aug 31, 2015",2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 01, 2023",,Paperback,view,/book/show/59995978-eu-plec-tu-pleci-el-ea-pleac
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blestem curgerea timpului,"Petterson, Per",6068631168,9786068631165,6068631168,208        pp,3.44,"3,943","Oct 01, 2008",2014,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 26, 2023",,Paperback,view,/book/show/23401439-blestem-curgerea-timpului
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Donnatela,"Serediuc, Beatris*",,9789734692033,,304        pp,3.96,27,unknown,Nov 2022,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Sep 22, 2023","Sep 22, 2023","Sep 22, 2023",,Paperback,view,/book/show/63124001-donnatela
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lumea în flăcări,"Hustvedt, Siri",9734688375,9789734688371,9734688375,424        pp,3.70,"8,289",Mar 2014,Apr 2022,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I-am mai dat o șansă lui Siri după ce nu ne-am sincronizat prea bine în vara aceea fără bărbați, dar nu voi mai insista. Not my piece of cake. Și în pI-am mai dat o șansă lui Siri după ce nu ne-am sincronizat prea bine în vara aceea fără bărbați, dar nu voi mai insista. Not my piece of cake. Și în principiu, comentariul făcut acolo se potrivește și aici. Oricât aș fi apreciat ideea cărții și demersul dpdv intelectual, pur și simplu n-a reușit să mă facă să-mi pese de vreun personaj. M-am pierdut în filosofia sinelui, în dinamica percepției îmbibată cu feminism, în reacțiile super dramatice și în flirturile artistei cu iraționalul, descompuse toate în fragmențele și fragmentuțe de jurnal, cărți, cronici, interviuri în mai mult de 400 de pg. Și totuși n-am abandonat-o. O carte ca un performance. Interesantă. Cu siguranță efemeră....more",Notes are private!,0,2,1,"Sep 17, 2023","Sep 17, 2023","Sep 17, 2023",,Paperback,view (with text),/book/show/60766596-lumea-n-fl-c-ri
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Omul De Zapada Care Voia Sa Intalneasca Soarele,"Vişniec, Matei",6067889935,9786067889932,6067889935,0        pp,4.21,133,unknown,"Mar 13, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Sep 12, 2023","Sep 12, 2023","Sep 12, 2023",,Hardcover,view,/book/show/108057500-omul-de-zapada-care-voia-sa-intalneasca-soarele
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Extraterestrul Care Isi Dorea Ca Amintire O Pijama,"Vişniec, Matei",6067889927,9786067889925,6067889927,0        pp,3.90,62,unknown,"Apr 12, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Sep 12, 2023","Sep 12, 2023","Sep 12, 2023",,Hardcover,view,/book/show/108300601-extraterestrul-care-isi-dorea-ca-amintire-o-pijama
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lecţii de respiraţie,"Tyler, Anne*",1602570167,9781602570160,,304        pp,3.67,"29,976","Aug 12, 1988",2007,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 12, 2023",,Paperback,view,/book/show/20491418-lec-ii-de-respira-ie
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sora lui Copăcel,"Braniște, Lavinia",,9786060864332,,160        pp,4.07,29,unknown,2022,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Lavinia, spre deosebire de alți autori români pe care i-am citit recent, surprinde foarte bine momentele de infinită intimitate și vulnerabilitate cu Lavinia, spre deosebire de alți autori români pe care i-am citit recent, surprinde foarte bine momentele de infinită intimitate și vulnerabilitate cu care e presărat universul copiilor și relațiile (dificele de astă dată) pe care le au aceștia cu părinții. Și micile bucurii, și micile descoperiri din proximitatea casei, și micile apropieri tacite și portițele de scăpare, și fricile aparent nefondate. Unde se poate ascunde un copil care vrea să fugă? Într-un copac? Într-un insectar? Într-un cabinet de biologie sau într-o poveste scrisă și desenată în tandem? Sunt o mulțime de evadări în cartea asta, evadări subtile, evadări constructive, care duc, pas cu pas, spre formarea unei familii noi. A unui nou acasă. Nu e moralizatoare, nu idealizează, nu forțează pedala schematismului narativ (nu, nu exista un punct culminant), dar nici nu se rezumă la schimburi de replici minimale, doldora de slanguri. E doar un fin observator al oamenilor mici. Mă bucur să o fi citit! ...more",Notes are private!,0,5,1,"Sep 10, 2023","Sep 10, 2023","Sep 10, 2023",,Hardcover,view (with text),/book/show/62071794-sora-lui-cop-cel
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,În fața lumii lipsite de iubire,"Abulhawa, Susan*",,9789734694099,,416        pp,4.49,"16,474","Apr 19, 2019",2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 10, 2023",,Paperback,view,/book/show/198431049-n-fa-a-lumii-lipsite-de-iubire
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Benjamin's Crossing,"Parini, Jay",0805058249,9780805058246,0805058249,320        pp,3.63,126,"Jan 01, 1997","Jul 15, 1998",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Sep 09, 2023","Sep 09, 2023","Sep 09, 2023",,Paperback,view,/book/show/252154.Benjamin_s_Crossing
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,În țara vacilor fericite,"Sandu, Ana Maria",,9786068986654,,96        pp,4.00,5,unknown,May 2023,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Ilustrațiile sunt excelente.,Notes are private!,0,2,1,"Aug 25, 2023","Aug 25, 2023","Aug 25, 2023",,Paperback,view (with text),/book/show/197718848-n-ara-vacilor-fericite
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Trei într-o barcă,"Jerome, Jerome K.",,9781602571969,,206        pp,3.84,"72,662",1889,Jul 2009,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3,5Călătoria celor trei prieteni și a câinelui pe fluviu mi-a părut interesantă ca pretext al ironiilor de toate soiurile și recunosc că m-a făcut să 3,5Călătoria celor trei prieteni și a câinelui pe fluviu mi-a părut interesantă ca pretext al ironiilor de toate soiurile și recunosc că m-a făcut să râd de câteva ori. Cred însă că mi-ar fi plăcut și mai mult dacă aș fi citit-o mai devreme, acum fiindu-mi destul de greu să înaintez pe ritmul impus de George, Harris și Jerome pe Tamisa. E mult comic de situație într-adevăr, povocat de aceste personaje prea puțin individualizate, destul de egoiste și capricioase, de care mi-a păsat prea puțin....more",Notes are private!,0,6,1,"Aug 18, 2023","Aug 18, 2023","Aug 18, 2023",,Paperback,view (with text),/book/show/7712882-trei-ntr-o-barc
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cartea caselor,"Bajani, Andrea",,9786060970835,,256        pp,3.10,"1,037",2021,2022,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.8,Notes are private!,0,13,1,"Aug 25, 2023","Aug 25, 2023","Aug 16, 2023",,Paperback,view (with text),/book/show/79565078-cartea-caselor
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Băiatul care a furat calul lui Attila,"Repila, Iván",,9786067710267,6067710269,112        pp,3.88,"1,002",Jan 2013,"Dec 01, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 16, 2023",,Paperback,view,/book/show/28627615-b-iatul-care-a-furat-calul-lui-attila
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Intimități,"Kitamura, Katie*",,9786064012326,6064012323,255        pp,3.65,"33,282","Jul 20, 2021","Dec 01, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Aug 13, 2023","Aug 13, 2023","Aug 13, 2023",,Paperback,view,/book/show/60204270-intimit-i
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Spații mici,"Jderu, Adriana",,9789735080303,,176        pp,4.20,101,unknown,Jun 2023,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4,5",Notes are private!,0,4,1,"Aug 10, 2023","Aug 10, 2023","Aug 10, 2023",,Paperback,view (with text),/book/show/179858107-spa-ii-mici
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vlogger la 13 ani sau Buncarul cu bunataturi trasnite,"Lungu, Dan",9734685473,9789734685479,9734685473,0        pp,2.74,27,2021,"Jan 01, 2021",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,2.5,Notes are private!,0,1,1,"Aug 06, 2023","Aug 06, 2023","Aug 06, 2023",,Paperback,view (with text),/book/show/59702662-vlogger-la-13-ani-sau-buncarul-cu-bunataturi-trasnite
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tot mai multă splendoare,"Purcaru, Alina",,9789975866279,,96        pp,4.00,150,unknown,Nov 2022,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 04, 2023",,Paperback,view,/book/show/63244580-tot-mai-mult-splendoare
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jumătate din viața mea de acum,"Negrea, Ileana*",,9786069028483,,114        pp,4.52,209,unknown,"Feb 25, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 04, 2023",,Paperback,view,/book/show/58556379-jum-tate-din-via-a-mea-de-acum
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cum am devenit vrăjitor. Din carnetul unui explorator,"Stermin, Alexandru N.",,9789735079642,,108        pp,4.75,20,2023,2023,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Mi-a făcut plăcere să descopăr cabinetul de magie al autorului, ascuns în inima Clujului, și toate curiozitățile despre faună și floră împachetate întMi-a făcut plăcere să descopăr cabinetul de magie al autorului, ascuns în inima Clujului, și toate curiozitățile despre faună și floră împachetate într-o formă grafică excelentă. Fie vorba între noi, ar fi fost tare bine să aflu în copilărie despre originea superstiției legate de cântecul bietei cucuvele. Per ansamblu, cred că Alex Stermin a găsit o frecvență potrivită de unde să le vorbească copiilor, pe limba lor, cu căldură și prietenie, dublând explorarea exteriorului cu o constantă căutare de sine. ...more",Notes are private!,0,2,1,"Sep 23, 2023","Sep 23, 2023","Aug 04, 2023",,Hardcover,view (with text),/book/show/165922768-cum-am-devenit-vr-jitor-din-carnetul-unui-explorator
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Defalcare. Aproape nicio amintire. Integrala prozei scurte – volumul 1,"Davis, Lydia",6068642755,9786068642758,6068642755,268        pp,4.28,47,unknown,May 2016,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 04, 2023",,Paperback,view,/book/show/30647854-defalcare-aproape-nicio-amintire-integrala-prozei-scurte-volumul-1
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"De ce peștii nu există. O poveste despre iubire, pierdere și ordinea ascunsă a vieții","Miller, Lulu",6067224100,9786067224108,6067224100,264        pp,4.17,"39,235","Apr 14, 2020",2020,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 04, 2023",,Paperback,view,/book/show/55858715-de-ce-pe-tii-nu-exist-o-poveste-despre-iubire-pierdere-i-ordinea-asc
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,În creștere,"Mateiu, Mihai",,9786064019356,,160        pp,3.87,83,unknown,May 2023,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.5,Notes are private!,0,1,1,"Aug 18, 2023","Aug 18, 2023","Aug 04, 2023",,Paperback,view (with text),/book/show/170205975-n-cre-tere
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Travels with Epicurus: A Journey to a Greek Island in Search of a Fulfilled Life,"Klein, Daniel",0143121936,9780143121930,0143121936,176        pp,3.81,"3,029","Oct 01, 2012","Oct 30, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 04, 2023",,Hardcover,view,/book/show/15808241-travels-with-epicurus
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Al cincilea copil,"Lessing, Doris",9734611062,9789734611065,9734611062,195        pp,3.62,"21,056",1988,2008,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Aug 24, 2023","Aug 24, 2023","Aug 04, 2023",,Paperback,view,/book/show/18660915-al-cincilea-copil
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Către Saturn, înot. Tineri poeți din Ungaria","Tamas, Mihok*",6068577872,9786068577876,6068577872,200        pp,4.00,20,unknown,2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 04, 2023","Aug 04, 2023","Aug 04, 2023",,Paperback,view,/book/show/60072687-c-tre-saturn-not-tineri-poe-i-din-ungaria
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Asta este apa,"Wallace, David Foster",6069003764,9786069003763,6069003764,144        pp,4.48,"32,835",2009,2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 04, 2023","Aug 04, 2023","Aug 04, 2023",,Paperback,view,/book/show/194945238-asta-este-apa
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Love in the Big City,"Park, Sang Young",3518472283,9783518472286,3518472283,252        pp,3.65,"10,229","Jun 28, 2019","Mar 07, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Aug 03, 2023","Aug 03, 2023","Aug 03, 2023",,Paperback,view,/book/show/59837245-love-in-the-big-city
