,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,luce (cry baby)'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Cursed House,"Sandeen, Del",0593639529,9780593639528,0593639529,384        pp,4.75,4,unknown,"Oct 08, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/205064715-this-cursed-house
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Love Medicine        (Love Medicine, #1)","Erdrich, Louise",0060786469,9780060786465,0060786469,367        pp,4.01,"26,605",1984,"Aug 02, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Paperback,view,/book/show/91440.Love_Medicine
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Good Bright Wolf: A Memoir,"Moss, Sarah*",1035035812,9781035035816,1035035812,208        pp,5.00,1,"Aug 29, 2024","Aug 29, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/205423802-my-good-bright-wolf
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Prince of the Palisades,"Winters, Julian*",0593624424,9780593624425,0593624424,352        pp,4.42,12,unknown,"Aug 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Paperback,view,/book/show/203128337-prince-of-the-palisades
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dollmakers,"Buchanan, Lynn",0063308266,9780063308268,0063308266,400        pp,4.45,22,"Aug 13, 2024","Aug 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Paperback,view,/book/show/199793668-the-dollmakers
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The English Patient,"Ondaatje, Michael",0771068719,9780771068713,0771068719,320        pp,3.87,"132,005",Sep 1992,"Apr 18, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/11713.The_English_Patient
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Practical Rules for Cursed Witches,"Cottingham, Kayla*",0593813979,9780593813973,0593813979,432        pp,5.00,8,"Aug 27, 2024","Aug 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/205181255-practical-rules-for-cursed-witches
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Place for Vanishing,"Fraistat, Ann*",0593382218,9780593382219,0593382218,464        pp,4.02,569,"Jan 16, 2024","Jan 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/160047194-a-place-for-vanishing
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Maid,"Tsutsui, Yasutaka",1846880998,9781846880995,1846880998,224        pp,3.64,488,1972,"Mar 26, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Paperback,view,/book/show/7871289-the-maid
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Honey Witch,"Shields, Sydney J.*",0316568864,9780316568869,0316568864,368        pp,3.77,590,"May 14, 2024","May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Paperback,view,/book/show/196726166-the-honey-witch
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Any Other City,"Plante, Hazel Jane",1551529114,9781551529110,1551529114,287        pp,4.16,296,"Apr 18, 2023","Apr 18, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Paperback,view,/book/show/63105496-any-other-city
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Glasgow Boys,"McDonald, Margaret*",0571382975,9780571382972,0571382975,350        pp,4.56,50,unknown,"May 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Paperback,view,/book/show/197635571-glasgow-boys
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Little Luck,"Piñeiro, Claudia",1913867552,9781913867553,,211        pp,4.29,"5,548",May 2015,"Jul 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Paperback,view,/book/show/75582270-a-little-luck
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Spirit Bares Its Teeth,"White, Andrew Joseph*",,,B0BWQQ7FYR,384        pp,4.55,"6,076","Sep 05, 2023","Sep 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Kindle Edition,view,/book/show/89144437-the-spirit-bares-its-teeth
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Send Nudes,"Sams, Saba",1526648989,9781526648983,1526648989,224        pp,3.54,"6,127","Jan 20, 2022","Jan 20, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Paperback,view,/book/show/58612901-send-nudes
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,If I Have to Be Haunted,"Sun, Miranda",0063252767,9780063252769,0063252767,368        pp,3.66,"3,059","Sep 14, 2023","Sep 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Hardcover,view,/book/show/75498172-if-i-have-to-be-haunted
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Almost Surely Dead,"Akhtar, Amina",1662507593,9781662507595,B0C958T71V,298        pp,3.71,"13,924","Feb 06, 2024","Feb 01, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Kindle Edition,view,/book/show/180320288-almost-surely-dead
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Contract of Isako,"Lee, Fonda*",,,,unknown,5.00,1,2025,2025,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Hardcover,view,/book/show/123161631-the-last-contract-of-isako
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Is Salvaged,"Vara, Vauhini*",1804710636,9781804710630,B0CDJWD53J,196        pp,3.71,425,"Sep 26, 2023","Feb 01, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Kindle Edition,view,/book/show/195604126-this-is-salvaged
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Island Witch,"Jayatissa, Amanda*",0593549260,9780593549261,0593549260,384        pp,3.71,525,"Feb 20, 2024","Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Hardcover,view,/book/show/157979441-island-witch
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Scarlet Alchemist        (The Scarlet Alchemist, #1)","Baker, Kylie Lee*",1335458018,9781335458018,1335458018,432        pp,4.08,"3,810","Oct 03, 2023","Oct 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Hardcover,view,/book/show/66098770-the-scarlet-alchemist
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In the Time of Our History,"Pari, Susanne*",1496739264,9781496739261,1496739264,304        pp,4.06,"5,098","Jan 03, 2023","Jan 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Paperback,view,/book/show/60756719-in-the-time-of-our-history
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Favorite Scar,"Ferraro, Nicolás",1641295155,9781641295154,1641295155,312        pp,3.83,117,Nov 2021,"Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Hardcover,view,/book/show/125078589-my-favorite-scar
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Afterpains,"Stainsby, Anna Julia*",1039006949,9781039006942,1039006949,272        pp,4.34,44,unknown,"Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Hardcover,view,/book/show/63387764-the-afterpains
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Twilight Territory,"Pham, Andrew X.*",1324064846,9781324064848,1324064846,400        pp,4.00,107,"Jan 23, 2024","Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Hardcover,view,/book/show/150779167-twilight-territory
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Floating World        (The Floating World, #1)","Oh, Axie*",,,,unknown,4.75,12,2025,2025,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,,view,/book/show/61214808-the-floating-world
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Were Girls Once,"Odafen, Aiwanose*",1398506184,9781398506183,B0BHTKRV4B,462        pp,3.56,9,unknown,"Apr 25, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Kindle Edition,view,/book/show/74521495-we-were-girls-once
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Scaffolding,"Elkin, Lauren*",1784742945,9781784742942,1784742945,400        pp,4.30,10,unknown,"Jun 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Hardcover,view,/book/show/203726906-scaffolding
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Liquid, Fragile, Perishable","Kuebler, Carolyn*",1685891098,9781685891091,1685891098,352        pp,3.74,34,unknown,"May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Paperback,view,/book/show/195830911-liquid-fragile-perishable
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Need No Wings,"Cardinal, Ann Dávila*",1728258502,9781728258508,1728258502,304        pp,4.40,10,"Sep 29, 2024","Sep 10, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Paperback,view,/book/show/202204714-we-need-no-wings
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,She Who Knows: Firespitter,"Okorafor, Nnedi*",075641895X,9780756418953,075641895X,176        pp,4.10,62,"Aug 20, 2024","Aug 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/202470599-she-who-knows
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Friend Zone Experiment,"Cho, Zen*",1250330394,9781250330390,1250330394,352        pp,3.86,7,"Aug 06, 2024","Aug 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Paperback,view,/book/show/195791545-the-friend-zone-experiment
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Castle of the Cursed,"Garber, Romina*",1250863899,9781250863898,1250863899,304        pp,3.71,131,"Jul 30, 2024","Jul 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/195790931-castle-of-the-cursed
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bulgarian Training Manual,"Bonapace, Ruth*",1960988107,9781960988102,1960988107,334        pp,4.75,4,unknown,"Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Paperback,view,/book/show/192632030-the-bulgarian-training-manual
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Private Rites,"Armfield, Julia",0008608059,9780008608057,B0CJXBD1X2,0        pp,4.33,51,"Dec 03, 2024","Jun 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Kindle Edition,view,/book/show/199313102-private-rites
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ambition Monster: A Memoir,Jennifer Romolini*,1668056607,9781668056608,B0CL5FRH2N,303        pp,3.82,40,"Jun 04, 2024","Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Kindle Edition,view,/book/show/199898067-ambition-monster
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ballad of Jacquotte Delahaye,"Cameron, Briony",1668051028,9781668051023,1668051028,368        pp,4.12,78,"Jun 04, 2024","Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Hardcover,view,/book/show/199797561-the-ballad-of-jacquotte-delahaye
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Stars Too Fondly,"Hamilton, Emily",0063320819,9780063320819,0063320819,336        pp,4.22,81,"Jun 11, 2024","Jun 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Paperback,view,/book/show/200987229-the-stars-too-fondly
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,youthjuice,"Sathue, EK",1641295929,9781641295925,1641295929,288        pp,3.52,228,"Jun 04, 2024","Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Hardcover,view,/book/show/198509203-youthjuice
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Under the Eye of the Big Bird,"Kawakami, Hiromi",1593766203,9781593766207,B0CPDSX2C1,unknown,3.99,93,"Apr 22, 2016","Sep 03, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,ebook,view,/book/show/203162267-under-the-eye-of-the-big-bird
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Such Lovely Skin,"Schlote-Bonne, Tatiana*",,9798890030764,B0CFGDH31W,304        pp,4.85,39,unknown,"Sep 17, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Hardcover,view,/book/show/196407998-such-lovely-skin
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dancers of the Dawn,"Afzal, Zulekha*",0861545079,9780861545070,0861545079,320        pp,4.70,20,"Jun 06, 2024","Jun 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Hardcover,view,/book/show/63332004-dancers-of-the-dawn
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mysterious Setting,"Abe, Kazushige",1805330497,9781805330493,B0CKB9SKTP,0        pp,3.57,28,2006,"Jul 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Kindle Edition,view,/book/show/199547777-mysterious-setting
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The River Knows My Name,"Gzar, Mortada",1542038960,9781542038966,1542038960,207        pp,2.33,3,unknown,"Oct 08, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Hardcover,view,/book/show/202896619-the-river-knows-my-name
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,So Thirsty,"Harrison, Rachel",0593642546,9780593642542,0593642546,304        pp,4.48,40,unknown,"Sep 10, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Hardcover,view,/book/show/203608552-so-thirsty
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Hide in Plain Sight,"Noyes, Emma*",0593639022,9780593639023,0593639022,400        pp,4.75,16,unknown,"Sep 10, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 17, 2024",,Paperback,view,/book/show/203608444-how-to-hide-in-plain-sight
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Pairing,"McQuiston, Casey*",1250862744,9781250862747,1250862744,432        pp,4.31,767,"Aug 06, 2024","Aug 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It's-a me, Luce, and-a welcome to my ! Bellissimo! I wasn't a fan of Mcquiston's previous books (I only managed to finish Red, White & Royal BluIt's-a me, Luce, and-a welcome to my ! Bellissimo! I wasn't a fan of Mcquiston's previous books (I only managed to finish Red, White & Royal Blue, which was childish, even by romcom standards) but I decided to give their latest novel a chance. However, within just a few pages, I found myself cringing at their humor (dildos...ah-ah) and their portrayal of places outside of America (that whole pub scene in London...why?)...it's giving Emily in Paris. Mcquiston writing once again delivers some serious wattpad vibes, or the kind of character interactions and scenarios that would not be out of place in a romance movie of the netflix original variety. The introduction of the Italian tour guide sealed my dislike for this book. His welcome: ""Ah! The last two! Meraviglioso!"" It's the same tired caricature of an Anglo-American's perception of an Italian, which is an amalgamation of clichés based on men from Rome or Naples (who are often portrayed as loud, boisterous, charming, handsy even). Imagine someone from Veneto, working with or for a British company, greeting clients with a 'meraviglioso!'. Ridiculous, right? He also says ""Ciao bella"" to Theo because of course he fucking does. And don't get me started on the cheek-kissing... Americans have misunderstood this whole kissing cheeks greeting. Depending on where you are in Italy, you might do it with family, friends, and depending on the setting, with friends of friends or when your friends are introducing you to someone or whatever. The Italians who work in Britain or with a British/non-Italian clientele wouldn't pull this.It's frustrating how this Fabrizio character, despite his fluency in English, can't seem to resist sprinkling in Italian phrases/words like 'meraviglioso,' 'ciao,' 'grazie mille,' etc. It feels lazy and perpetuates a shallow stereotype. Frankly, it comes across as puerile, so much so that I doubt whether I'll bother finishing this book. Unless it's revealed later on that Fabrizio isn't actually Italian or is just playing up to the expectations of non-Italians (performing his own Italianness, so to speak), this portrayal is just lazy.I don't care if you want to make fun of Italy and Italians, go for it. All I ask, is that you be clever, witty even, about it. Don't resort to such tired clichés, which are so unimaginative & unfunny that they could have been generated by AI. Anyway, YMMV, so if you are the kind of reader who likes Emily in Paris chances are this book will be up your street....more",Notes are private!,2,36,0,not set,not set,"Mar 15, 2024",,Paperback,view (with text),/book/show/199440249-the-pairing
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Goodbye Process: Stories,"Jones, Mary",1958506648,9781958506646,B0CLGD9QQF,256        pp,5.00,4,unknown,"Jul 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Kindle Edition,view,/book/show/200303607-the-goodbye-process
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Verderame,"Mari, Michele",8806162810,9788806162818,8806162810,164        pp,4.00,477,"Sep 03, 2007","Sep 03, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Hardcover,view,/book/show/13417482-verderame
