,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Josh's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Children of the Woods,"Ciano, Joe",1506726801,9781506726809,1506726801,144        pp,3.31,295,"Feb 01, 2022","Feb 01, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I liked when the parents fell into the hole. That is what happened there, right?",Notes are private!,0,1,1,not set,not set,"Jan 02, 2023",,Paperback,view (with text),/book/show/59723841-children-of-the-woods
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bel Canto,"Patchett, Ann",,,0060838728,318        pp,3.93,"283,423","May 22, 2001","Feb 07, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ultimately, this is a very fine book. However, it sure drags in the middle. But not enough to ruin the thrilling, kinetic, and innovative writing of tUltimately, this is a very fine book. However, it sure drags in the middle. But not enough to ruin the thrilling, kinetic, and innovative writing of the beginning and the thrilling and emotional ending. And it turns out to be based a true story…....more",Notes are private!,0,4,1,not set,not set,"Mar 06, 2022",,Paperback,view (with text),/book/show/5826.Bel_Canto
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Something is Killing the Children, Book One        (Something is Killing the Children #1-3)","Tynion, James IV",1684157641,9781684157648,1684157641,384        pp,4.39,"1,132","Nov 16, 2021","Nov 16, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a pretty spooky graphic novel. Fortunately, the art is just cartoony enough to make it unrealistic but not so cartoony as to lose the gravity This is a pretty spooky graphic novel. Fortunately, the art is just cartoony enough to make it unrealistic but not so cartoony as to lose the gravity of the narrative. I wouldn’t anticipate this being converted into a film anytime soon. ...more",Notes are private!,0,5,1,not set,not set,"Mar 03, 2022",,Hardcover,view (with text),/book/show/57772525-something-is-killing-the-children-book-one
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Moon Knight, Vol. 2: Dead Will Rise","Wood, Brian*",0785154094,9780785154099,0785154094,136        pp,3.88,"2,688","Apr 15, 2015","Jan 01, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Considering this volume has a different author, Vol. 2 is remarkably similar in tone and pacing to the previous collection. I’m just curious where he Considering this volume has a different author, Vol. 2 is remarkably similar in tone and pacing to the previous collection. I’m just curious where he gets all of his money from?...more",Notes are private!,0,1,1,not set,not set,"Feb 07, 2022",,Paperback,view (with text),/book/show/23017871-moon-knight-vol-2
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Revolver,"Kindt, Matt*",1401222412,9781401222413,1401222412,192        pp,3.72,"1,221","Jul 20, 2010","Jul 20, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Remember Fight Club. This is a little bit like that. Though less nihilistic. And less likely to inspire bozos into being bigger bozos. I feel like it’Remember Fight Club. This is a little bit like that. Though less nihilistic. And less likely to inspire bozos into being bigger bozos. I feel like it’s really difficult to reveal any part of the story without revealing too much. You’ll just have to trust me when I say it’s really good. Matt Kindt did do the art in addition to the writing in this one....more,Notes are private!,0,6,1,not set,not set,"Feb 06, 2022",,Hardcover,view (with text),/book/show/6954421-revolver
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rorschach,"King, Tom*",,,,264        pp,3.74,"1,685","Dec 07, 2021","Nov 18, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This story and it’s articulation requires attention. But presents itself in a manner that makes you want to pay that attention. This all takes place iThis story and it’s articulation requires attention. But presents itself in a manner that makes you want to pay that attention. This all takes place in the world after the events of the original Watchmen series and all of the unsettling airs that come with it. Tom King uses this environment to tell the story of the investigation into a botched political assassination attempt. King’s work with time - often the past and present are told simultaneously, somehow - is remarkable and I am totally impressed. Jorge Fornes’ art is crisp and realistic and while impressive does not get in the way of the story being told. I hope that should the Watchmen universe continue to expand it does so with this level of expertise. ...more",Notes are private!,0,4,1,not set,not set,"Feb 03, 2022",,Paperback,view (with text),/book/show/55660008-rorschach
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Moon Knight, Vol. 1: From the Dead","Ellis, Warren",0785154086,9780785154082,0785154086,136        pp,4.12,"7,489","Oct 14, 2014","Jan 01, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Here we have Moon Knight at his most Batman. The art initial seemed amateur but then it perfectly articulated all of the action, which made up at leasHere we have Moon Knight at his most Batman. The art initial seemed amateur but then it perfectly articulated all of the action, which made up at least 65% of the story - much without any dialogue or even onomatopoeia. The art wound up being the star of the show. ...more",Notes are private!,0,3,1,not set,not set,"Jan 24, 2022",,Paperback,view (with text),/book/show/20898006-moon-knight-vol-1
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Interpreter of Maladies,"Lahiri, Jhumpa",0618101365,9780618101368,0618101365,198        pp,4.17,"193,357","Apr 20, 1999","Jan 01, 2000",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Very nice. I appreciated the sincerity of the final story.,Notes are private!,0,1,1,not set,not set,"Jan 19, 2022",,Hardcover,view (with text),/book/show/5439.Interpreter_of_Maladies
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Black Badge Vol. 3,"Kindt, Matt*",1684154804,9781684154807,1684154804,128        pp,3.54,161,2020,"Feb 11, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I recently mentioned that Scout’s Honor was comparable to Matt Kindt’s Black Badge series. It isn’t. Black Badge is much better. Also, I had assumed tI recently mentioned that Scout’s Honor was comparable to Matt Kindt’s Black Badge series. It isn’t. Black Badge is much better. Also, I had assumed that Kindt had the art himself. He hadn’t, while similar to Kindt’s style, Tyler Jenkins does the art. I am concerned that this might be the final volume. ...more",Notes are private!,0,1,1,not set,not set,"Jan 10, 2022",,Hardcover,view (with text),/book/show/51107702-black-badge-vol-3
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Scout’s Honor Vol. 1        (Scouts Honor),"Pepose, David*",1949028690,,B09CJ82Y67,129        pp,3.47,49,unknown,"Sep 08, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This title is very similar to Matt Kindt’s Black Badge series. Just add a touch of Hunger Games and you’ve got Scout’s Honor. It’s an engaging enough This title is very similar to Matt Kindt’s Black Badge series. Just add a touch of Hunger Games and you’ve got Scout’s Honor. It’s an engaging enough story, though it has the space to be flushed out further - for more world building to happen. I think a longer series would’ve been suitable, the brevity was constricting and ultimately hurt the story telling. Carlos M Mangual’s art was certainly crisper than Kindt’s Black Badge, however less interesting. ...more",Notes are private!,0,0,1,not set,not set,"Jan 09, 2022",,Kindle Edition,view (with text),/book/show/59059680-scout-s-honor-vol-1
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vs.,"Brownlee, Clint",,,B08QV3JF35,160        pp,3.80,132,"Mar 11, 2021","Mar 11, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I listened to this album about 10,000 times between 1996 and 2008 and I had no idea how many cuss words were used until Clint Brownlee spelled it all I listened to this album about 10,000 times between 1996 and 2008 and I had no idea how many cuss words were used until Clint Brownlee spelled it all out for me. I mean, there was no warning label on the cover (Brownlee does a good job of pointing out that the band probably avoided one because they are white).  Brownlee reminded me why I listened to this album 10,000 times between 1996 and 2008. But then also makes me feel by for not having listened to it 10,000 more times since. Surprisingly, this is the first of the 33 1/3 series that’ve read. I’ll get to others. ...more",Notes are private!,0,6,1,not set,not set,"Jan 09, 2022",,Kindle Edition,view (with text),/book/show/56489667-vs
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Black Widow, Vol. 1: The Ties That Bind","Thompson, Kelly*",1302924834,9781302924836,1302924834,112        pp,4.20,"1,864","May 04, 2021","Apr 20, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Action packed and nicely illustrated to articulate all of the activity.,Notes are private!,0,0,1,not set,not set,"Jan 03, 2022",,Paperback,view (with text),/book/show/52723546-black-widow-vol-1
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wonder Woman: Dead Earth,"Johnson, Daniel Warren",1779502613,9781779502612,1779502613,208        pp,4.05,"2,606","Dec 01, 2020","Dec 01, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Wonder Woman punches through Super Man. It kills him. Decades later she threads her lasso of truth through his spine and uses his skull as a mace. ThiWonder Woman punches through Super Man. It kills him. Decades later she threads her lasso of truth through his spine and uses his skull as a mace. This way ol’ Clark Kent could help in the good fight. ...more,Notes are private!,0,1,1,not set,not set,"Aug 03, 2021",,Hardcover,view (with text),/book/show/52352359-wonder-woman
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Department of Truth, Vol 1: The End of the World","Tynion, James IV",153431833X,9781534318335,153431833X,144        pp,4.12,"4,138","Mar 02, 2021","Mar 02, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This has left me questioning reality.,Notes are private!,0,1,1,not set,not set,"Jul 19, 2021",,Paperback,view (with text),/book/show/55843567-the-department-of-truth-vol-1
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Preacher, Volume 1: Gone to Texas","Ennis, Garth",,9781563892615,1563892618,336        pp,4.18,"86,876",1995,"Mar 01, 1996",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Off the wall,Notes are private!,0,0,1,not set,not set,"Jul 06, 2021",,Comics,view (with text),/book/show/95431.Preacher_Volume_1
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Hummingbirds' Gift: Wonder, Beauty, and Renewal on Wings","Montgomery, Sy",1982176083,9781982176082,1982176083,96        pp,4.13,"2,449",unknown,"May 04, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Very nice,Notes are private!,0,1,1,not set,not set,"Jun 28, 2021",,Hardcover,view (with text),/book/show/55711749-the-hummingbirds-gift
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Leaving the Atocha Station,"Lerner, Ben",,,,181        pp,3.79,"16,504","Aug 23, 2011","Aug 23, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Here is a funny line from this novel: “‘No’, she said simply, whether in English or Spanish I couldn’t tell”.",Notes are private!,0,3,1,not set,not set,"Jun 28, 2021",,Paperback,view (with text),/book/show/11100788-leaving-the-atocha-station
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Undiscovered Country, Vol. 2: Unity","Snyder, Scott*",1534318402,9781534318403,1534318402,168        pp,3.74,740,"Mar 30, 2021","Mar 30, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,It only get weirder.,Notes are private!,0,2,1,not set,not set,"Jun 20, 2021",,Paperback,view (with text),/book/show/55843574-undiscovered-country-vol-2
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Hip Hop Family Tree, Vol. 2: 1981-1983","Piskor, Ed",1606997564,9781606997567,1606997564,112        pp,4.27,873,"Aug 01, 2014","Aug 26, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 17, 2021",,Paperback,view,/book/show/18444234-hip-hop-family-tree-vol-2
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Boyz n the Void: a mixtape to my brother,"Asim, G'Ra",080705948X,9780807059487,080705948X,288        pp,4.11,62,"May 11, 2021","May 11, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Might first thought was, “You got all of that out of an Anti-Flag song?”My last thought was, “Oh yeah, of course, Bad Brains contains multitudes!”MostMight first thought was, “You got all of that out of an Anti-Flag song?”My last thought was, “Oh yeah, of course, Bad Brains contains multitudes!”Mostly, though, the punk rock was shoehorned into the woke-ness, which itself was shoehorned into the bio stuff - the best part (and plenty woke unto itself)Or at least, it spoke to me. I was a young man in the DC suburbs listening to these same bands at the turn of the century, too. So it was fun, kinda catching the nostalgia. And while, ultimately, I enjoyed Boyz in the Void, I’m not sure I’d recommend it to anyone beyond my main man Ali. ...more",Notes are private!,0,2,1,not set,not set,"Jun 17, 2021",,Hardcover,view (with text),/book/show/55334486-boyz-n-the-void
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Batman, Volume 5: Zero Year – Dark City","Snyder, Scott*",1401248853,9781401248857,1401248853,256        pp,4.17,"9,441","Oct 07, 2014","Oct 07, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 07, 2021",,Hardcover,view,/book/show/21524934-batman-volume-5
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Topeka School,"Lerner, Ben",0374277788,9780374277789,0374277788,282        pp,3.50,"25,796","Oct 01, 2019","Oct 01, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"There is a lot to be said about this piece of story telling. I don’t think I’ll be to articulate everything while typing with my thumbs....Anyway, I rThere is a lot to be said about this piece of story telling. I don’t think I’ll be to articulate everything while typing with my thumbs....Anyway, I really got a kick out of how time and space are used within the narrative. Especially as so much of the story is about the competitive debate strategy referred to as the Spread in which contestants speak ultra fast....Lerner was witty in his ability to have the novel be self referential throughout and I appreciated his efforts. So, I’ve learned that this is the third part of a trilogy of sorts. I liked The Topeka School so much that I hope to read the prior two novels and then the Topeka School again. Now I’m gonna type real fast, you know, Spread style .... djdhheakjdvdhxhdshhxc hshdhdjdhdhcbdhxhdjdiijdjdbbj...more",Notes are private!,0,5,1,not set,not set,"Jun 05, 2021",,Hardcover,view (with text),/book/show/43565369-the-topeka-school
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Battle Born: Lapis Lazuli,"Uriarte, Maximilian",0316448966,9780316448963,0316448966,352        pp,4.34,373,"Jul 28, 2020","Jul 28, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It’s always impressive when the creator does both the writing and the illustrating. And in this piece the illustration is particularly impressive. TheIt’s always impressive when the creator does both the writing and the illustrating. And in this piece the illustration is particularly impressive. The use of color is powerful, especially when applied to the landscape. The pacing, while not necessarily consistent, ebbs and flows almost perfectly. And the images are just cartoony enough that when the good guy rips off the lower jaw of Taliban member with his bare hands it’s not overly repulsive. The story is solid. Though the bad guy is too on the nose and his redemption turn is a little weak. And, really, do we need another war story? (I mean I read it and enjoyed it .... ) ...more",Notes are private!,0,2,1,not set,not set,"May 12, 2021",,Hardcover,view (with text),/book/show/42283305-battle-born
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Light of the Jedi,"Soule, Charles*",0593157710,9780593157718,0593157710,380        pp,3.93,"27,093","Jan 05, 2021","Jan 05, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This booked survived the beginning of baseball season, a visit from my parents, Easter, my partner thinking we need to buy a house, getting the vaccinThis booked survived the beginning of baseball season, a visit from my parents, Easter, my partner thinking we need to buy a house, getting the vaccine, and most devastatingly, have my lunch break reduced from 1 hour to 30 minutes. This story is pretty intense, with there being a lot more weight and consequence than you’d normally get in a Star Wars tale. And Yoda shows up. Pretty cool. ...more",Notes are private!,0,5,1,not set,not set,"May 09, 2021",,Hardcover,view (with text),/book/show/51637946-light-of-the-jedi
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fantastic Four, Vol. 7: The Forever Gate","Slott, Dan",1302920480,9781302920487,1302920480,160        pp,3.54,285,unknown,"May 11, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 03, 2021",,Paperback,view,/book/show/55201536-fantastic-four-vol-7
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Undiscovered Country, Vol. 1: Destiny","Snyder, Scott*",1534315993,9781534315990,1534315993,144        pp,3.54,"1,692","Jun 23, 2020","Jun 23, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I think this might be a true story.,Notes are private!,0,2,1,not set,not set,"Apr 27, 2021",,Paperback,view (with text),/book/show/48723339-undiscovered-country-vol-1
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Amazing Spider-Man, Vol. 11: Last Remains","Spencer, Nick",1302925873,9781302925871,1302925873,168        pp,3.49,506,"Mar 16, 2021","Mar 02, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 05, 2021",,Paperback,view,/book/show/55201555-the-amazing-spider-man-vol-11
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Black Badge Vol. 2        (2),"Kindt, Matt*",1684154235,9781684154234,1684154235,128        pp,3.82,196,2019,"Sep 10, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This series is darkly humorous. I like it.,Notes are private!,0,1,1,not set,not set,"Mar 31, 2021",,Hardcover,view (with text),/book/show/43909535-black-badge-vol-2
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Maestro: Symphony in a Gamma Key,"David, Peter",,,,unknown,3.89,447,"Feb 10, 2021",unknown,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 31, 2021",,,view,/book/show/54768397-maestro
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Batman, Volume 4: Zero Year – Secret City","Snyder, Scott*",1401245080,9781401245085,1401245080,176        pp,4.09,"12,748","May 13, 2014","May 13, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Scott Snyder’s run is very good.,Notes are private!,0,0,1,not set,not set,"Mar 24, 2021",,Hardcover,view (with text),/book/show/18339834-batman-volume-4
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Loneliness of the Long-Distance Cartoonist,"Tomine, Adrian",177046395X,9781770463950,177046395X,165        pp,4.02,"4,137","Jul 21, 2020","Jul 21, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 18, 2021",,Hardcover,view,/book/show/51796259-the-loneliness-of-the-long-distance-cartoonist
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Question: The Deaths of Vic Sage,"Lemire, Jeff",1779505582,9781779505583,1779505582,200        pp,3.44,649,"Nov 24, 2020","Nov 24, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Something I wonder if there aren’t actually folks like the protagonist and antagonist of this volume of The Question - guys just slipping through timeSomething I wonder if there aren’t actually folks like the protagonist and antagonist of this volume of The Question - guys just slipping through time, running into each other, fighting, and influencing history. Lee Harvey Oswald was probably one of them. This title is rougher around the edges than most of Lemire’s work. There is murder. There is cussing. There is a shady priest. And the art, fittingly so, is literally rough around the edges. There are certainly more stories to be told on the struggle between the man without a face and the man with a thousand faces falling in and out of time - perhaps to a detriment. But still I hope these characters continue. ...more",Notes are private!,0,3,1,not set,not set,"Mar 15, 2021",,Hardcover,view (with text),/book/show/51233679-the-question
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Batman, Volume 3: Death of the Family","Snyder, Scott*",1401242340,9781401242343,1401242340,176        pp,4.32,"20,069","Nov 05, 2013","Nov 05, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"At some point in an earlier volume the Joker had his face removed from his head. In this volume he steals it back and proceeds to menace Batman and GoAt some point in an earlier volume the Joker had his face removed from his head. In this volume he steals it back and proceeds to menace Batman and Gotham City with it simply stapled on. It was totally gross. Respect to Capullo and the illustrations team for being able to articulate all of the grotesque motions of loose face on a laughing head in a still medium. It was totally gross. Anyway, the Joker nearly breaks Batman this time. Was he able to break into the Bat Cave. Was he able to determine the true identity of Batman? Did he cut off a bunch of folks’ faces?This volume of Batman is dark, scary, unsettling, and most of all, gross. But it was also pretty excellent. ...more",Notes are private!,0,1,1,not set,not set,"Mar 10, 2021",,Hardcover,view (with text),/book/show/17671913-batman-volume-3
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Miles Morales: Spider-Man, Vol. 4: Ultimatum","Ahmed, Saladin*",1302920170,9781302920173,1302920170,136        pp,3.89,588,"Feb 16, 2021","Feb 16, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 08, 2021",,Paperback,view,/book/show/52723471-miles-morales
