,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Sheila's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The World We Make        (Great Cities, #2)","Jemisin, N.K.*",035651269X,9780356512693,035651269X,357        pp,4.11,"14,883","Nov 01, 2022","Nov 01, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The World We Make concludes the story begun in N.K. Jemisin’s The City We Became. For me, the first book stands alone as a classic, wonderful sci-fi nThe World We Make concludes the story begun in N.K. Jemisin’s The City We Became. For me, the first book stands alone as a classic, wonderful sci-fi novel, and readers should definitely read the City we Became before picking this book up, or they'll be quite confused. The same beloved characters are here, their tangled lives becoming even more tangled as love and politics break in. Meanwhile there’s a growing threat of alien annihilation, together with some fascinating metaphysical curiosities that all hang together convincingly as they grow.I love the individual story arcs in this book, as the author cleverly switches points of view, and weaves a tapestry from connected but radically different people and their needs. I could even, almost, love politics for a while. (I do not love politics!)The threads all come together through a scary path of dangers survived or avoided. The journey, from curious beginning to satisfying conclusion, is filled with mystery and magic, and the whole is a really good read. It's sad to see the duology end, but I’m probably not the only reader left hoping there might be more novels set in other cities one day.Disclosure: I’d read the first book and loved it, so I had to read the second....more",Notes are private!,0,1,1,not set,"Mar 08, 2024","Mar 08, 2024",,Hardcover,view (with text),/book/show/60399181-the-world-we-make
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The City We Became        (Great Cities, #1)","Jemisin, N.K.*",,,,437        pp,3.87,"69,319","Mar 24, 2020","Mar 24, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Great characters, great city (which is surely also a character), and great depiction of society with all its tumbled social issues, politics, crueltieGreat characters, great city (which is surely also a character), and great depiction of society with all its tumbled social issues, politics, cruelties and hope, The City we Became was, for me, a truly surprising novel and a really great read. Being a white West-coast English American, I enjoyed the chance to see East-coast life through the eyes of people very different from myself, and to learn how much we all have in common. Add that to the magic of a city’s sense of self, the threat of very alien invasion, and the sadly plausible reasons not to help, and the result is a novel that keeps you on the edge of your seat, slightly confused (like the characters), deeply invested, and longing for the multiple threats to finally resolve into hope. I really enjoyed it.Disclosure: I’ve been listening to Jemisin’s course on world-building, so I had to buy the book, and I love it (book and course). ...more",Notes are private!,0,1,1,not set,"Mar 08, 2024","Mar 08, 2024",,Hardcover,view (with text),/book/show/42074525-the-city-we-became
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Little Book of Unconventional Marketing Ideas for Self-published Authors: Or How to Sell Books with Little to No Marketing Savvy,"Bohart, Lynn*",,,B0B3QHXBRM,unknown,4.75,4,unknown,"Jun 09, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A small book with lots of interesting ideas, this was certainly well worth the read, but I’m not sure my marketing will improve as a result of readingA small book with lots of interesting ideas, this was certainly well worth the read, but I’m not sure my marketing will improve as a result of reading it. Frequently I found myself thinking, yes but… I don’t have a network, I don’t have the right background, or I’ve already done that and it didn’t help. For anyone who hasn’t “already done that” to sell their book, I would say they’re bound to find something here worth pursuing, and it just might help sell their books.The writing is filled with encouragement rather than promises, and for me that’s a definite plus. The writing advice, blogging advice, and other pieces of advice are all wise and well worth taking on board. So… It’s a good short book and definitely recommended for authors trying to sell their books.Disclosure: A friend gave me a copy and I’m glad she did....more",Notes are private!,0,1,1,not set,"Mar 08, 2024","Mar 08, 2024",,Kindle Edition,view (with text),/book/show/61290097-the-little-book-of-unconventional-marketing-ideas-for-self-published-aut
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Light We Cannot See,"Doerr, Anthony*",1476746583,9781476746586,1476746583,531        pp,4.32,"1,661,233","May 06, 2014","Jan 01, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A hauntingly evocative tale of WWII, from the French and German side, All the Light we cannot see pairs the tale of a blind French girl, hiding out onA hauntingly evocative tale of WWII, from the French and German side, All the Light we cannot see pairs the tale of a blind French girl, hiding out on the coast while the world is torn apart, with an orphaned German genius, drawn into using his talents for war and quite deliberately not seeing. The parallel tales, where a blind girl sees more than anyone knows, and an orphaned boy slowly learns to acknowledge his own blindness, play out against a background of separate dramas – a mystical jewel, an old man broken by what he saw in a previous war, a jeweler seeking magic, and, of course, a city that readers know from the first page will be bombed and destroyed. Some of these tales are more believable than others, and my favorite character is the elderly uncle. But the whole is a slow-burning narrative of love, loss, and hope.I didn’t entirely believe some of the details of this story, though I know it was well researched (blame my husband). And I didn’t entirely believe in that vitally important diamond either. But the depiction of blindness has a powerful ring of authenticity, as do the depictions of the fall of France (and the fall of German childhood). I enjoyed the novel for its characters and its portrayal of different kinds of blindness. The jumps between time-periods are well-planned and the whole is a beautifully constructed tale – one to keep on my bookshelf and reread later.Disclosure: I saw the TV adaptation – that’s when my husband asked “Does it really say that, because…” Ah well....more",Notes are private!,0,2,1,not set,"Mar 08, 2024","Mar 08, 2024",,Hardcover,view (with text),/book/show/18143977-all-the-light-we-cannot-see
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Humans,"Haig, Matt*",1476727910,9781476727912,1476727910,285        pp,4.08,"124,162","May 09, 2013","Jul 02, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"There’s a dog in it, so this has to be a good book. There’s also a Cambridge math professor, and I happen to have a certain fondness for math and for There’s a dog in it, so this has to be a good book. There’s also a Cambridge math professor, and I happen to have a certain fondness for math and for Cambridge – the author’s depiction of that much-loved town is pitch perfect, as is his depiction of academia. There’s a wife and son, unsure of their husband and father’s love. And there are questions of vital importance to the survival of the human race to be resolved.The story moves quickly, cleverly blending humor and serious thought, and inviting readers to see our world through very different eyes. We mess up the planet, mess up each other, generally fail to see the consequences of our actions. But we also have our good points, and there’s something very cool about finding those good points gradually revealed.The premise is seriously cool, the characters are pleasingly believable and relatable, and the food for thought is entertainingly packaged in a well-plotted, fascinating tale. Highly recommended.Disclosure: My sister in law knew I’d love it!...more",Notes are private!,0,1,1,not set,"Mar 08, 2024","Mar 08, 2024",,Hardcover,view (with text),/book/show/16130537-the-humans
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Science and Faith in Harmony: Contemplations on a Distilled Doxology,"Garte, Sy*",0825448158,9780825448157,0825448158,264        pp,4.80,5,unknown,"Feb 13, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"If you believe all scientists are soulless Godless atheists, this might not be the book for you – there again, it might be just perfect. And if you beIf you believe all scientists are soulless Godless atheists, this might not be the book for you – there again, it might be just perfect. And if you believe all Christians are anti-science judgementalists, this might be perfect too. Scientist Sy Garte’s faith sings through this collection of short essays, as does his love of music, nature, people and, yes, science. It’s a well-informed love, written into well-chosen words. And reading this book is rather like meeting an interesting stranger over coffee (such a gentle, welcoming start), then choosing to meet them again and again until you’re learning more than you ever thought you could, and thoroughly enjoying the experience.The essays follow many Christian themes – what is grace, how can you hear God’s voice? Then they reach into wonderful Christian parable, with scientific details reflecting the glory of God in truly fascinating ways. Deep questions of science parallel similarly deep questions of faith, and whole is truly, as the title says, science and faith in harmony.After reading this book, you’ll be able to converse with some of those friends you wrote off as hopeless cases, and find shared hope. You'll have learned some science, learned about faith, and shared in a song of good humor and joy.Disclosure: I met the author online many years ago and I love his writing, his faith, his humor, and his science....more",Notes are private!,0,1,1,not set,"Mar 08, 2024","Mar 08, 2024",,Paperback,view (with text),/book/show/197113220-science-and-faith-in-harmony
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Way the World Ends        (Warmer, #1)","Walter, Jess",1542042321,9781542042321,B07H7CRFYR,42        pp,3.57,"3,408","Oct 30, 2018","Oct 30, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A story that flings its readers in surprising directions, much like the apocalyptic weather of a frozen Mississippi, Jess Walter’s The Way the World EA story that flings its readers in surprising directions, much like the apocalyptic weather of a frozen Mississippi, Jess Walter’s The Way the World Ends offers a glimpse of despairing, reluctant Neros fiddling while the world burns. If those Neros seem much like faculty and students of today, and if politics seems as uncaring and unfeeling as today, that’s probably no surprise. The short story pulls its readers in, dances them around, then offers a quiet way out that’s both fitting and surprising. Cleverly told, it’s an intriguing and oddly absorbing short story....more",Notes are private!,0,1,1,not set,"Jan 08, 2024","Mar 08, 2024",,Kindle Edition,view (with text),/book/show/41945326-the-way-the-world-ends
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Boca Raton        (Warmer, #2)","Groff, Lauren*",1542041376,,B07H7BV4MN,26        pp,3.02,"2,061","Oct 30, 2018","Oct 30, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The world is dying, but death becomes both threat and promise in Lauren Goff’s tale of a woman’s spiraling despair and fear for her child. Perhaps it’The world is dying, but death becomes both threat and promise in Lauren Goff’s tale of a woman’s spiraling despair and fear for her child. Perhaps it’s an echo of our own misplaced fears, as we let the decay continue all around us. It makes for a sad, desperate read—emotional, evocative, surreal and scary, which is exactly what a tale of the world’s end ought to be....more",Notes are private!,0,1,1,not set,"Jan 08, 2024","Mar 08, 2024",,Kindle Edition,view (with text),/book/show/41839754-boca-raton
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Controller        (Warmer, #3)","Kellerman, Jesse",1542041368,9781542041362,B07H7DPGY1,30        pp,2.74,"1,417","Oct 30, 2018","Oct 30, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Jesse Kellerman’s Controller tells of a warming world where control of the heating and cooling of a house might be a matter of life and death. The proJesse Kellerman’s Controller tells of a warming world where control of the heating and cooling of a house might be a matter of life and death. The protagonist lives with his mother, and the battle for control rages on all fronts, including ice cream. It makes for a dark read, and depicts a sad, decaying world of sad, breaking people. Perhaps this is the end we deserve… It’s certainly all too plausible....more",Notes are private!,0,0,1,not set,"Jan 08, 2024","Mar 08, 2024",,Kindle Edition,view (with text),/book/show/41949993-controller
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"There's No Place Like Home        (Warmer, #4)","Lepucki, Edan*",1542041392,9781542041393,B07H7DQZMF,31        pp,3.52,"1,711","Oct 30, 2018","Oct 30, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A thirteen-year-old girl has just lost her father. But she lost her future long ago, perhaps before she was born, as the changing world begins to leavA thirteen-year-old girl has just lost her father. But she lost her future long ago, perhaps before she was born, as the changing world begins to leave humanity behind. She takes a menial job to get money, to get food, and finds relationships beyond the education of her father and the hard labor of her mom. But in a shrinking world, it might be too much to expect these relationships to be separate from what came before.Human love and loss, lost childhood, lost adulthood, and the loss of a world we once knew, all are subservient to the finding and living and moving on of a girl in this near-future world. The author depicts a very plausible future and peoples it with realistic needs and hopes and dreams, making No Place Like Home an intriguing and enticing read....more",Notes are private!,0,0,1,not set,"Jan 08, 2024","Mar 08, 2024",,Kindle Edition,view (with text),/book/show/41859285-there-s-no-place-like-home
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Falls the Shadow        (Warmer, #5)","Horack, Skip",1542041414,9781542041416,B07H7GML5T,20        pp,2.59,"1,265","Oct 30, 2018","Oct 30, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Coincidence brought Joel Dunbar into the public eye, but the public eye didn’t help him. Now his purposeless life is used to promote another product. Coincidence brought Joel Dunbar into the public eye, but the public eye didn’t help him. Now his purposeless life is used to promote another product. But the world is more than a product, and global warming is more than a commercial to sell more shares. Just maybe, Joel might find it’s not just the past of his land (now lost) that matters, but maybe the future steps he’ll take. And maybe he won’t be lost, but the world still might be. Falls the Shadow is a haunting story, as confusing perhaps as the world it depicts, and as shadowy as the characters that inhabit it....more",Notes are private!,0,0,1,not set,"Jan 08, 2024","Mar 08, 2024",,Kindle Edition,view (with text),/book/show/41957027-falls-the-shadow
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"At the Bottom of New Lake        (Warmer, #6)","Larson, Sonya",1542041406,9781542041409,B07H7DK5KZ,20        pp,3.17,"1,642","Oct 30, 2018","Oct 30, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Beauty is in the eye of the beholder in this fascinating tale of the near-future. The rich man’s disaster, as the shoreline devours mansions, is the pBeauty is in the eye of the beholder in this fascinating tale of the near-future. The rich man’s disaster, as the shoreline devours mansions, is the poor child’s delight as the water comes closer to her home. The poor might view the useless remains of the rich as strange treasure, while the rich might proclaim it theft to remove them from the water. And the teacher, caught in the middle, struggled as teachers always will. The story’s almost a coming of age tale. But perhaps it’s the planet, or our place on it, that’s really coming of age. A cool, haunting short story, At the Bottom of New Lake takes readers to the near future, and leaves them filled with questions for the present....more",Notes are private!,0,0,1,not set,"Jan 08, 2024","Mar 08, 2024",,Kindle Edition,view (with text),/book/show/41823058-at-the-bottom-of-new-lake
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Hillside        (Warmer, #7)","Smiley, Jane*",1542041384,9781542041386,B07H7DZTH5,16        pp,3.28,"1,536","Oct 30, 2018","Oct 30, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Humankind has stood as judge, jury, and maybe even executioner of the world around us. And now Jane Smiley’s fairytale of animals on a future earth ofHumankind has stood as judge, jury, and maybe even executioner of the world around us. And now Jane Smiley’s fairytale of animals on a future earth offers a haunting verdict on all we’ve done. A haunting verdict too on questions of guilt, collective guilt, and innocence. The story’s told from a nonhuman point of view, offering a beautifully evocative view of a post-human world, where just the last few people struggle to survive, and intelligence doesn’t only belong to us. It’s a great conclusion to the Warmer series of short stories, and a fine tale on its own....more",Notes are private!,0,0,1,not set,"Jan 08, 2024","Mar 08, 2024",,Kindle Edition,view (with text),/book/show/41892422-the-hillside
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Life Changes: A Poem Collection: Inspirations. Passions. Challenges. Hopes. Dreams.,"Apurado, Susan",,9798822915251,B0CCHSJXWQ,242        pp,5.00,1,unknown,"Aug 01, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"From the enticing cover to the beautifully laid out pages, through smooth-flowing text and thoughts that captivate the reader’s eye, to the reminder oFrom the enticing cover to the beautifully laid out pages, through smooth-flowing text and thoughts that captivate the reader’s eye, to the reminder on the back cover that “Change is the one constant we can rely on,” Susan Apurado’s Life Changes is a treasure of a book and a beautiful collection of poetry.Short poems let readers know the writer—or know themselves, and who hasn’t enjoyed a love-hate relationship with free will? “Sweet smile” lights up a cloudy day, letting the reader insert whoever they should choose as the “you” of the poem. Meanwhile, longer poems balance a haunting sense of loss with the passionate delights of nature, love, and hope, making this a book for all ages, all situations, all dreams and sorrows, and, perhaps, all readers. Each random opening of the book, even when it’s been read cover to cover, draws the reader back to see more, rest more, and calm down on a busy day; I certainly enjoyed it and will open it time and again, in sunshine or rain.Disclosure: I met the author through a writers’ group, and I really enjoyed this poetry book....more",Notes are private!,0,0,1,not set,"Jan 08, 2024","Mar 08, 2024",,Hardcover,view (with text),/book/show/193782339-life-changes
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In the Shadow of the Furies: A Novel of the Second Punic War        (Palladium Book 1),"Reed, Cary*",164953034X,9781649530349,B0BVK1NB88,366        pp,4.21,24,unknown,"Feb 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 20, 2023",,Kindle Edition,view,/book/show/184031343-in-the-shadow-of-the-furies
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ministry of Time,"Bradley, Kaliane",1668045141,9781668045145,1668045141,352        pp,4.00,789,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 20, 2023",,Hardcover,view,/book/show/199798179-the-ministry-of-time
