,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Elaine's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bookstore Sisters,"Hoffman, Alice*",1662510500,,B0BB52CCND,36        pp,4.03,"74,268","Nov 01, 2022","Nov 01, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Feb 02, 2024","Feb 02, 2024",,Kindle Edition,view,/book/show/62337113-the-bookstore-sisters
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Trust,"Diaz, Hernan*",,,B09BV2JNWV,415        pp,3.84,"97,359","May 03, 2022","May 03, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Feb 02, 2024","Feb 02, 2024",,Kindle Edition,view,/book/show/59039413-trust
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Yellowface,"Kuang, R.F.*",,,B0B9SN8K6H,336        pp,3.80,"428,113","May 25, 2023","May 16, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 29, 2024","Jan 30, 2024","Jan 29, 2024",,Kindle Edition,view,/book/show/62060532-yellowface
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dressmaker's Gift,"Valpy, Fiona*",1542005140,9781542005142,B07P2VZ6ZL,289        pp,4.23,"86,069","Oct 01, 2019","Oct 01, 2019",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Jan 29, 2024","Jan 29, 2024",,Kindle Edition,view,/book/show/44285117-the-dressmaker-s-gift
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Northanger Abbey,"Austen, Jane",1542099463,9781542099462,B075133SGP,254        pp,3.85,"401,109","Dec 20, 1817","Nov 07, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Jan 27, 2024","Jan 27, 2024",,Kindle Edition,view,/book/show/36164060-northanger-abbey
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Marion Lane and the Midnight Murder,"Willberg, T.A.*",,,B082Q58TN7,276        pp,3.40,"5,694","Dec 29, 2020","Dec 29, 2020",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Jan 27, 2024","Jan 27, 2024",,Kindle Edition,view,/book/show/55885422-marion-lane-and-the-midnight-murder
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Babel, or the Necessity of Violence: An Arcane History of the Oxford Translators' Revolution","Kuang, R.F.*",,,B09MD95S5V,560        pp,4.20,"218,378","Aug 23, 2022","Aug 23, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jan 24, 2024","Jan 24, 2024",,Kindle Edition,view,/book/show/59729042-babel-or-the-necessity-of-violence
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Murder of Crows        (Nell Ward, #1)","Yarwood-Lovett, Sarah",,,B09X2W7S54,368        pp,3.82,"8,726","Jul 01, 2022","Jul 01, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jan 21, 2024","Jan 21, 2024",,Kindle Edition,view,/book/show/60845211-a-murder-of-crows
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Square of Sevens,"Shepherd-Robinson, Laura*",,,B0BTZXXGJM,527        pp,4.16,"4,064","Sep 05, 2023","Sep 05, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Jan 17, 2024","Jan 17, 2024",,Kindle Edition,view,/book/show/123264263-the-square-of-sevens
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sword Catcher        (Sword Catcher, #1)","Clare, Cassandra*",,,B0BQ69W3VG,609        pp,3.82,"20,095","Oct 10, 2023","Oct 10, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jan 11, 2024","Jan 11, 2024",,Kindle Edition,view,/book/show/68045855-sword-catcher
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What Next?,"Low, Shari*",1800487363,9781800487369,B09H2BNPTG,315        pp,4.36,"7,175","Apr 13, 2022","Apr 13, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Jan 06, 2024","Jan 06, 2024",,Kindle Edition,view,/book/show/59731511-what-next
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Good Patient,"Stone, Alex",1802803343,9781802803341,B0BL2H1WGN,371        pp,3.65,"5,060","Mar 22, 2023","Mar 22, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 03, 2024","Jan 04, 2024","Jan 03, 2024",,Kindle Edition,view,/book/show/63259233-the-good-patient
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Of Mist and Murder        (Daughters of Eville, #5)","Hahn, Chanda*",1950440249,9781950440245,B08RY5H8XT,256        pp,4.29,"1,594",unknown,"Jun 22, 2021",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Dec 31, 2023","Dec 31, 2023",,Kindle Edition,view,/book/show/56582068-of-mist-and-murder
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Frozen River,"Lawhon, Ariel*",0385546882,9780385546881,B0BVTXZXZJ,432        pp,4.48,"58,012","Dec 05, 2023","Dec 05, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Dec 26, 2023","Dec 26, 2023",,Kindle Edition,view,/book/show/56699106-the-frozen-river
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Blowout: Corrupted Democracy, Rogue State Russia, and the Richest, Most Destructive Industry on Earth","Maddow, Rachel*",0525575472,9780525575474,0525575472,406        pp,4.35,"14,862","Oct 01, 2019","Oct 01, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 25, 2023",,Hardcover,view,/book/show/44767265-blowout
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Six: The Untold Story of America's First Women Astronauts,"Grush, Loren",1982172800,9781982172800,1982172800,432        pp,4.38,"2,962","Sep 05, 2023","Sep 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 25, 2023",,Hardcover,view,/book/show/101160753-the-six
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Book That Wouldn’t Burn        (The Library Trilogy, #1)","Lawrence, Mark*",0593437918,9780593437919,0593437918,559        pp,4.09,"14,884","May 01, 2023","May 09, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"As a gal who says in her will that she wants her ashes surreptitiously sprinkled through several of the great libraries, this book was just up my alleAs a gal who says in her will that she wants her ashes surreptitiously sprinkled through several of the great libraries, this book was just up my alley. What reader would not long for a library that never ends? But I would probably read the back of a cereal box if Mark Lawrence wrote it. He is just that good.In this novel, Mark Lawrence introduces us to intelligent characters, quick thinkers who inhale learning and knowledge like air and who use that knowledge to grow comfortable with the dark and light sides of life. As always, he builds a tale, and a world, that is complex, intriguing, engrossing, and immersive. Most of all, I love his foreshadowing, which is subtle and written with the lightest of touches. It is the single piano note, played softly, which signals the beginning of a melody that is yet to be defined, but ultimately builds to an unmistakable, unstoppable wall of sound riff by the end of the book. Mark Lawrence's novels are not casually read; no simple sentences designed to lull the reader forward with empty calories. No Instagram-ready quick sentence flicks designed to satisfy those who are looking to tell their friends about a book that they just read in two days. Rather, he is a writer at the top of his game, respectfully weaving stories of grace and power. ...more",Notes are private!,0,3,2,Dec 2023not set,"Dec 25, 2023not set","Dec 25, 2023",,Hardcover,view (with text),/book/show/61612864-the-book-that-wouldn-t-burn
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Invisible Hour,"Hoffman, Alice*",,,B0BHTP7TYV,240        pp,3.63,"28,008","Aug 15, 2023","Aug 15, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Books about those who love books can be excessive sometimes - at some point, the author's voice becomes too intrusive when they reference yet another Books about those who love books can be excessive sometimes - at some point, the author's voice becomes too intrusive when they reference yet another classic. Although initially jarring, the book's sudden transition from the now into the past grew on me. Her sense of place is fantastic, especially for those of us who have spent any time in either eastern or western MA. In this novel, she keeps a light hand on introducing the fantastical and perhaps magical, which I much preferred from some of her earlier novels which leaned more heavily into women as witches theme for my taste. ...more",Notes are private!,0,1,1,not set,"Dec 22, 2023","Dec 22, 2023",,Kindle Edition,view (with text),/book/show/63357538-the-invisible-hour
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Secrets of Hartwood Hall,"Lumsden, Katie*",,,B0B44T96XR,352        pp,3.68,"4,780","Feb 28, 2023","Feb 28, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Dec 19, 2023","Dec 19, 2023",,Kindle Edition,view,/book/show/59486994-the-secrets-of-hartwood-hall
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Making of Another Major Motion Picture Masterpiece,"Hanks, Tom",0525655603,,B0BF98VMD6,448        pp,3.71,"13,254","May 09, 2023","May 09, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Dec 17, 2023","Dec 17, 2023",,Kindle Edition,view,/book/show/62912108-the-making-of-another-major-motion-picture-masterpiece
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hunter        (Cal Hooper #2),"French, Tana*",0593493435,9780593493434,0593493435,480        pp,4.23,"10,556","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 16, 2023",,Hardcover,view,/book/show/174156145-the-hunter
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Little Thieves        (Little Thieves #1),"Owen, Margaret*",1250191904,9781250191908,1250191904,512        pp,4.27,"17,423","Oct 19, 2021","Oct 19, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Dec 16, 2023",,Hardcover,view,/book/show/54017820-little-thieves
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Forever, Interrupted","Reid, Taylor Jenkins*",,,,321        pp,3.66,"131,657","Jul 09, 2013","Jul 09, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 16, 2023",,Paperback,view,/book/show/16130531-forever-interrupted
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Rules of Magic        (Practical Magic, #0.2)","Hoffman, Alice*",,,,369        pp,4.00,"111,900","Oct 10, 2017","Oct 10, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 16, 2023",,Kindle Edition,view,/book/show/34037113-the-rules-of-magic
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fairy Tale,"King, Stephen*",1668002175,9781668002179,1668002175,608        pp,4.12,"233,821","Sep 06, 2022","Sep 06, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 16, 2023",,Hardcover,view,/book/show/60177373-fairy-tale
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Birth of Venus,"Dunant, Sarah",,,0812968972,427        pp,3.81,"98,037","Mar 06, 2003","Nov 30, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 16, 2023",,Paperback,view,/book/show/28078.The_Birth_of_Venus
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Emily Wilde's Encyclopaedia of Faeries        (Emily Wilde, #1)","Fawcett, Heather*",059350013X,9780593500132,059350013X,317        pp,4.05,"79,542","Jan 10, 2023","Jan 10, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Dec 16, 2023",,Hardcover,view,/book/show/60657589-emily-wilde-s-encyclopaedia-of-faeries
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Friends, Lovers, and the Big Terrible Thing","Perry, Matthew",1250866448,9781250866448,1250866448,250        pp,3.90,"250,205","Nov 01, 2022","Nov 01, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 16, 2023",,Hardcover,view,/book/show/59641216-friends-lovers-and-the-big-terrible-thing
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Cold Millions,"Walter, Jess",006286808X,9780062868084,006286808X,342        pp,3.96,"18,335","Oct 27, 2020","Oct 27, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 16, 2023",,Hardcover,view,/book/show/50358038-the-cold-millions
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Carnival of the Lost: BLUE PETER BOOK AWARD-WINNING AUTHOR,"Larwood, Kieran*",,,B097QFFFWK,243        pp,4.25,77,2022,"Feb 01, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Dec 16, 2023","Dec 16, 2023",,Kindle Edition,view,/book/show/60525880-carnival-of-the-lost
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fourth Wing        (The Empyrean, #1)","Yarros, Rebecca*",,,B0BGDM197Q,662        pp,4.59,"1,500,165","May 02, 2023","May 02, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Dec 11, 2023","Dec 11, 2023",,Kindle Edition,view,/book/show/63219094-fourth-wing
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Curator,"King, Owen*",,,B0B3Y8V4PJ,476        pp,2.98,"1,952","Mar 07, 2023","Mar 07, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Dec 09, 2023","Dec 09, 2023",,Kindle Edition,view,/book/show/62981849-the-curator
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Final Word        (The Winterton Deception, #1)","Johnson, Janet Sumner*",1645951987,9781645951988,B0BT1JVXBN,384        pp,4.03,339,unknown,"Oct 31, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Nov 29, 2023","Nov 29, 2023",,Kindle Edition,view,/book/show/125089512-final-word
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Witches of Bone Hill,"Morgyn, Ava*",,,B0BQGJMNVP,384        pp,3.72,"1,367","Oct 03, 2023","Oct 03, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Nov 26, 2023","Nov 26, 2023",,Kindle Edition,view,/book/show/58203494-the-witches-of-bone-hill
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Name Is Barbra,"Streisand, Barbra",0698405250,9780698405257,B0BTGVDVPP,989        pp,4.24,"10,495","Nov 07, 2023","Nov 07, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Nov 23, 2023","Nov 23, 2023",,Kindle Edition,view,/book/show/105269213-my-name-is-barbra
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Millie's Fling,"Mansell, Jill",,,B003H2Z4GS,514        pp,3.78,"10,899",2001,"Sep 01, 2009",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Nov 19, 2023","Nov 19, 2023",,Kindle Edition,view,/book/show/8204560-millie-s-fling
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wrong Bride        (The Windsors, #1)","Maura, Catharina*",,,B0B9TBGC5X,382        pp,3.92,"68,522","Oct 15, 2022","Oct 15, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Nov 13, 2023","Nov 13, 2023",,Kindle Edition,view,/book/show/62316382-the-wrong-bride
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,97 Orchard : An Edible History of Five Immigrant Families in One New York Tenement,"Ziegelman, Jane",,,B003JBI39W,276        pp,3.76,"3,070","Jun 01, 2010",unknown,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Nov 10, 2023","Nov 10, 2023",,Kindle Edition,view,/book/show/8660340-97-orchard
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lost Bookshop,"Woods, Evie*",,,B0BMF2M8Z6,444        pp,4.16,"66,931","Jan 24, 2024","Jun 22, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Nov 08, 2023","Nov 08, 2023",,Kindle Edition,view,/book/show/65137920-the-lost-bookshop
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Tenant of Wildfell Hall,"Brontë, Anne",,,B000FC1KMU,520        pp,4.01,"115,938",Jun 1848,unknown,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Nov 04, 2023","Nov 04, 2023",,Kindle Edition,view,/book/show/46116502-the-tenant-of-wildfell-hall
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sons        (House of Earth, #2)","Buck, Pearl S.",,,B008F4NSTS,229        pp,3.86,"6,737",Jun 1932,"Aug 21, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Oct 30, 2023","Oct 30, 2023",,Kindle Edition,view,/book/show/40776308-sons
