,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Maxwell's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Husbands,"Gramazio, Holly*",0385550618,9780385550611,0385550618,352        pp,3.79,"2,341","Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/193781998-the-husbands
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,There's Always This Year: On Basketball and Ascension,"Abdurraqib, Hanif",0593448790,9780593448793,0593448790,352        pp,4.61,479,"Mar 26, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/181346634-there-s-always-this-year
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blessings,"Ibeh, Chukwuebuka",,,B0C611Q3HD,246        pp,4.24,201,"Feb 22, 2024","Feb 22, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Kindle Edition,view,/book/show/159269939-blessings
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Until August,"García Márquez, Gabriel",0593801997,9780593801994,0593801997,144        pp,3.78,"7,309","Mar 06, 2024","Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/199928404-until-august
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mater 2-10,"Hwang, Sok-yong",1913348954,9781913348953,1913348954,486        pp,3.80,118,"Jun 01, 2020","May 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 08, 2024",not set,"Mar 20, 2024",,Paperback,view,/book/show/61921635-mater-2-10
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Not a River,"Almada, Selva",1913867455,9781913867454,1913867455,99        pp,4.01,"2,658",2020,Jan 2024,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Pared down prose and a vivid setting highlight this tension-filled story about masculinity and its devastating effects on a place and people. I think Pared down prose and a vivid setting highlight this tension-filled story about masculinity and its devastating effects on a place and people. I think the rhythm of the writing lends this story an energy that ultimately leads to a weak ending. I just wanted a little bit more. At 99 pages, this could've benefited from some further development while still retaining that power it holds in its simplicity. Themes were hinted at but not explored to give enough power to the story as a whole. I liked the characters and was intrigued only to find them vague outlines rather than real people. Perhaps in time they will live longer in my memory and I will revisit—ideally in conversation with the other two novels in this 'loose trilogy,' as its described. For now an enjoyable enough read that I surely wouldn't have found were it not for the International Booker Prize....more",Notes are private!,0,14,1,"Mar 23, 2024","Mar 23, 2024","Mar 20, 2024",,Paperback,view (with text),/book/show/203176874-not-a-river
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crooked Plow,"Junior, Itamar Vieira*",,,B0BGN2HC8F,236        pp,4.53,"19,526",Aug 2019,"Jun 27, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Bibiana and Belonisía, sisters in rural Brazil in the mid-20th century, are only around seven years old when an incident of violence set them on separBibiana and Belonisía, sisters in rural Brazil in the mid-20th century, are only around seven years old when an incident of violence set them on separate but inextricably linked paths. We follow them, and the fellow tenant farmers of their neighborhood, over the course of their lives and see the lingering effects that slavery and capitalism has on their people. As they find their voices—in whatever way they can—they must learn to confront the terrible history that their family has endured in order to find their footing in a world that is never acknowledged as their own. The story starts with a knife that rends the narrative in to three parts and appears throughout. Other persisting imagery is the landscape of the Bahia region of Brazil, the woods and rivers, years of drought and arid landscapes, blood-soaked earth and hands destroyed by toiling, diamonds, jaguars, and more. The writing is both lush but never verbose; and Lorenz's translation is flawless.This is a story I'd recommend to fans of Ferrante's  My Brilliant Friend and  Freshwater by Akwaeke Emezi. It explores themes of identity, religion, culture and connection to a land and one's community. I loved it!...more",Notes are private!,0,40,1,"Mar 16, 2024","Mar 18, 2024","Mar 16, 2024",,Kindle Edition,view (with text),/book/show/120855172-crooked-plow
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Why We Remember: Unlocking Memory's Power to Hold on to What Matters,"Ranganath, Charan",038554863X,9780385548632,038554863X,304        pp,4.13,319,2024,"Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Hardcover,view,/book/show/157981712-why-we-remember
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Angel of Indian Lake        (The Indian Lake Trilogy, #3)","Jones, Stephen Graham*",1668011662,9781668011669,1668011662,455        pp,4.42,"1,060","Mar 26, 2024","Mar 26, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"[Thank you to the publisher for an advanced copy for . All thoughts & opinions are my own.]Jade Daniels is back, baby! But 4 years have passed s[Thank you to the publisher for an advanced copy for . All thoughts & opinions are my own.]Jade Daniels is back, baby! But 4 years have passed since the last installment and she's grown a lot. She's in therapy, she has a steady job, and she's settling into life back in Proofrock with her best friend, Letha. But Proofrock isn't quite done with Jade just yet...Another mysterious slew of deaths is haunting the town. And Jade is doing everything in her power NOT to get involved. These can't be the slasher-esque killings she's experienced twice before, right? But if it is, what is she willing to do to protect the ones she loves and end the cycles of violence she's endured her whole life? How far is she willing to go when that means maybe losing the parts of yourself you've worked so hard to fix?After a brief detour into more characters' POVs in Book 2, Book 3 in the Indian Lake Trilogy is fully Jade Daniels' story. And it feels SO good to be back in her mind. The growth she's had from Book 1 to now is astounding, and that growth feels natural because Stephen Graham Jones has done such a good job developing her voice. At her core she's still the same old Jade with the same old knowledge of slasher films and genre conventions; but she's also more mature, wiser, more experienced, more wounded, and striving to make a peaceful life with what little she has left. I felt like this portrayal of someone who has gone through so much trauma was done so well. Because Jade is Jade, she doesn't turn into the villain and seek revenge, but she can't quite see herself, still, as the hero, the final girl. She just wants the film to end and for everyone to get on with their lives.This plot too! It is so full circle. Trust me, you might want to re-read books 1 and 2 before reading this final installment. Because boy are there a LOT of important connections being brought together in this book from what we've learned and experienced before.I will say, as someone who didn't do that before picking this up, I struggled at times and did a lot of Reddit/Wikipedia-ing to remind myself who's who. Jade treats her backstory like she treats the slashers she constantly references: it's up to you to remember and recall the details because she isn't holding your hand. That could be frustrating for some readers, but I found it refreshing that SGJ throws you right in—and if anything it makes me want to re-read the entire series, like immediately.The emotional core of this book is strong; probably the strongest of the 3 books. I was stressed at the end because I felt so emotionally invested in what was happening. And the body count in this book: is it the highest of them all? I'm not sure but it sure felt like it...I think SGJ nailed this ending. I loved it so much, I couldn't put this book down. When I wasn't reading it, I was thinking about it. I know the series as a whole has its flaws and definitely isn't for everyone, but I love how unique these stories are, how interesting and strange the writing style is (if you struggle with it at times, you aren't alone—maybe try the audiobooks!) and how special it is to spend 3 books with a character in horror. SGJ is a modern day master of the genre!...more",Notes are private!,0,27,1,"Mar 12, 2024","Mar 16, 2024","Mar 12, 2024",,Hardcover,view (with text),/book/show/178019710-the-angel-of-indian-lake
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Details,"Genberg, Ia",,,B0BLSRJM1T,136        pp,3.90,"10,027","Jan 07, 2022","Aug 08, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""We live so many lives within our lives—smaller lives with people who come and go, friends who disappear, children who grow up—and I never know which ""We live so many lives within our lives—smaller lives with people who come and go, friends who disappear, children who grow up—and I never know which of these lives is meant to serve as the frame.""In her English language debut, Ia Genberg explores what it means to live a meaningful life in a world of chaos and disorder. Told through four vignettes into particular relationships in the unnamed narrator's life—past loves, friends and family—we learn less about the main character as a person of action and more as a person of being.""As far as the dead are concerned, chronology has no import and all that matters are the details, the degree of density, this how and what and everything to do with who."" In the vein of Rachel Cusk's  Outline trilogy, the story is less concerned with narrative propulsion—in fact the narrator seems to reject or counter her partner's constant forward movement—and settles more into the seeing, the observing of everyday life. Of years of her life. Decades. Things once forgotten and remembered in a fevered state. What about a book that lingers on your shelf inscribed by a lost love? Or a dress ripped up the side that recalls a New Year's Eve party from the old millennium? This is the detritus, or perhaps treasures, of a normal life—the details that tell the full story, if any story, any life, is really complete.I was engaged, first, by her skilled writing and Kira Josefsson's flawless translation. The prose, each thought, flows so seamlessly into the next you can't help but be compelled forward by an otherwise 'mundane' story. Then, as each chapter unfolds and the narrator brings you into various spheres of her life through these relationships, you get to see a more intimate side of the speaker without every getting the full picture.My only wish was for it to be a bit longer. Selfishly because I was enjoying it so much I wanted more information, more detail; but also because I felt the story a bit choppy and it was just in the final section I started to feel it fully coming together. I did appreciate and enjoy the ending, though perhaps one extra glimpse into her life through another friendship, or lover, or sibling relationship would have made these stronger for me.Nonetheless, there's plenty to enjoy here and if you want an autofiction of a woman pondering life and her past while breathing hope rather than despair, this would be a great addition to your shelves....more",Notes are private!,0,19,1,"Mar 11, 2024","Mar 12, 2024","Mar 11, 2024",,Kindle Edition,view (with text),/book/show/62593601-the-details
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Starling House,"Harrow, Alix E.*",1250799058,9781250799050,1250799058,308        pp,3.86,"67,637","Oct 03, 2023","Oct 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I think I'll come back to this someday - I only got 66 pages in and was enjoying it enough but it just wasn't gripping me at the moment to make me wanI think I'll come back to this someday - I only got 66 pages in and was enjoying it enough but it just wasn't gripping me at the moment to make me want to keep reading. I think I should try again in the autumn because of the vibes....more,Notes are private!,3,19,0,not set,not set,"Mar 10, 2024",,Hardcover,view (with text),/book/show/65213595-starling-house
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tress of the Emerald Sea,"Sanderson, Brandon*",1250899656,9781250899651,,369        pp,4.43,"114,292","Jan 10, 2023","Apr 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 09, 2024",,Hardcover,view,/book/show/63068384-tress-of-the-emerald-sea
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lies and Sorcery,"Morante, Elsa",1681376849,9781681376844,1681376849,800        pp,4.18,"1,265",1948,"Jul 25, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Paperback,view,/book/show/62001844-lies-and-sorcery
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vanished Birds: A Novel,"Jimenez, Simon*",0593129008,9780593129005,0593129008,416        pp,4.07,"7,716","Jan 14, 2020","Jan 26, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Paperback,view,/book/show/55120626-the-vanished-birds
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Master and Margarita,"Bulgakov, Mikhail",0143108271,9780143108276,0143108271,412        pp,4.29,"353,398",1967,"May 03, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Paperback,view,/book/show/25716554-the-master-and-margarita
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nine Stories,"Salinger, J.D.",031645074X,9780316450744,031645074X,320        pp,4.18,"147,457","Apr 06, 1953","Nov 06, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Paperback,view,/book/show/39088524-nine-stories
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Revenge,"Ogawa, Yōko",,,,162        pp,4.04,"22,073","Jun 01, 1998","Jan 29, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A sometimes sinister and spooky collection of eleven short stories, all connecting in some way to one another. Characters you learn about in one storyA sometimes sinister and spooky collection of eleven short stories, all connecting in some way to one another. Characters you learn about in one story, or objects that appear in another, will come to play later on. Though the ultimate effect of these connections is more fun for the reader than impactful overall. I did expect some sort of larger revelation by the end because they were so closely linked, but that never came. I think these were fun and quick stories to read—I actually would recommend reading these stories back to back rather than 1 or 2 every few days, in order to keep those connections fresh in your mind—but none of the stories blew me away. A perfectly solid collection but not a new favorite....more",Notes are private!,0,16,1,"Mar 07, 2024","Mar 09, 2024","Mar 07, 2024",,Paperback,view (with text),/book/show/16032127-revenge
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Road to the Country,"Obioma, Chigozie*",0593596978,9780593596975,0593596978,384        pp,4.59,27,"Jun 04, 2024","Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 06, 2024",,Hardcover,view,/book/show/198563650-the-road-to-the-country
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Blueprint,"Rashad, Rae Giana*",0063330091,9780063330092,0063330091,304        pp,3.94,350,"Feb 13, 2024","Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/199248447-the-blueprint
