,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Blaine's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Gas and Flame Men: Baseball and the Chemical Warfare Service during World War I,"Leeke, Jim",1640126058,9781640126053,1640126058,256        pp,3.83,6,unknown,"Feb 01, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A definite 3.5*** rating for this book.It's just a few days before the start of the 2024 baseball season, and if you are like me, you enjoy reading a A definite 3.5*** rating for this book.It's just a few days before the start of the 2024 baseball season, and if you are like me, you enjoy reading a book about the National Pastime. Unfortunately, so many of these books deal with five or six teams, You know who they are: Yankees, Mets, Dodgers, Giants, and Red Sox. They predominate the bookstores and media s. So when this book crossed my desk, I was intrigued. A story about baseball, and World War I, a story about members of the Baseball Hall of Fame, who served in Europe, and not just in Europe, or part of the chemical warfare service. This is a something you don't usually read about. It's a good story. And it details the history of seven baseball players or executives who served in the AEF. Granted there many other people who served in the war in that branch of the army, but Jim Leek is a baseball historian. A member of the beloved baseball research group known as SABR he specializes in digging deep into many aspects of the game and its players that have gone either unnoticed or forgotten. And he hit upon a winning formula here as we learn about these players, but also about chemical warfare and history. If you're looking for scintillating prose, you're not going to get it in this book, but instead, you're going to get very good information about people such as Eppa Rixey, who was a chemistry major in college before he began his professional career, and who eventually became part of the chemical warfare service. You read about the attempts to get Christy Mathewson to represent the YMCA in France to lift the spirits of the troops, Instead, he eventually goes over to France and is a member of this chemical warfare service, as a matter fact, is one of the people who trained our troops to how to survive chemical warfare. Also, there is Thai Cobb, who is happy to be drafted and wanted to go to Europe to fight. Baseball executive Branch Rickey is also part of the contingent, as is former baseball manager and broadcaster Gabby Street. It's an interesting book filled with facts about the war, information on the chemical warfare service that I had no idea about until I read this book, and some fascinating insights as to these ballplayers and others, The book may not be about those well publicized, baseball teams that saturate the market, but instead, you read about real human beings, who lived in a different time, and when the time came to serve their country, they were there on the front lines in Europe, in one of the most dangerous jobs you could undertake....more",Notes are private!,2,29,1,"Feb 23, 2024","Mar 18, 2024","Feb 23, 2024",,Hardcover,view (with text),/book/show/86546574-the-gas-and-flame-men
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Wolf: From Nazi refugee to American Spy. A true story,"Birnbaum, Audrey*",9493322009,9789493322004,B0CHXXC9J8,426        pp,4.51,75,unknown,"Oct 23, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"American Wolf is a memoir/biography in which Audrey Birnbaum tells the story of her father. We follow the fortunes of her father from an infant througAmerican Wolf is a memoir/biography in which Audrey Birnbaum tells the story of her father. We follow the fortunes of her father from an infant through a myriad of experiences, which eventually culminated in the family finally being able to leave Germany and make it to Spain for a boat ride to America. Once in America, we also get to see the family struggle to make meet and to make their way in a new culture and environment. Eventually her father becomes a member of the US military and, lo and behold, is assigned to military intelligence and sent to Germany where he is stationed in East Germany during the days of the Cold War. This is a fascinating look at the man as well as the family and the memoir lays both the joys and difficulties that they encountered along the way. It's a fascinating read. 3.5***...more",Notes are private!,2,26,1,"Feb 23, 2024","Mar 09, 2024","Feb 23, 2024",,Kindle Edition,view (with text),/book/show/200496065-american-wolf
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Art Thief: A True Story of Love, Crime, and a Dangerous Obsession","Finkel, Michael*",0525657320,9780525657323,0525657320,240        pp,3.99,"26,327","Jun 22, 2023","Jun 27, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Sometimes the hoopla just does not match my feeling about a book, and The Art Thief falls into that category for me. It's not a bad book, but it did nSometimes the hoopla just does not match my feeling about a book, and The Art Thief falls into that category for me. It's not a bad book, but it did not really do a lot for me either. Granted the art crimes perpetrated by Stephane Breitwieser and his girlfriend are almost more than one can comprehend, but the book seems to cover the same ground over and over. Despite some prior books by other authors, not a whole lot new is added to the story in this book. Finkel is a fine writer but even he really cannot get a whole lot more out of Stephane other than the fact that Stephane swipes Finkel's laptop with a swift ease that Finkel had no idea it was happening. It just shows how adept Stephane was and how he was able to quickly steal over 300 priceless objects from museums throughout Europe. But he was unable to get any new info from Stephane's girlfriend and mother, both of whom blatantly lied during the two trials arising from these thefts. He places little blame, does not really give us more insights into the 80+ pieces still not found, and seems to be more at awe of Stephane than the ridiculous judicial proceedings that gave slaps on the wrist instead of severe penalties. A system that believed Stephane would not go back to his criminal ways upon release (he did numerous times and the penalties were not that severe), and a system that employs people to solve art crimes but until 2023 had no really meaningful punishment. Yes, it was interesting, but not deserving of all the hoopla. ...more",Notes are private!,0,26,1,"Feb 23, 2024","Feb 26, 2024","Feb 23, 2024",,Hardcover,view (with text),/book/show/62873378-the-art-thief
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Inferno on Fifth,"Wasserman, Marlie Parker",,,B0CFSWGTL6,399        pp,4.00,18,unknown,"Sep 25, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Historical Crime Fiction author Marlie Parker Wasserman has focused on one the last major mass tragedies of the 19th Century in her new book, Inferno Historical Crime Fiction author Marlie Parker Wasserman has focused on one the last major mass tragedies of the 19th Century in her new book, Inferno on Fifth. Wasserman casts her considerable talents on this St. Patrick's Day fire at the Windsor Hotel in New York City in 1899; The research in compiling this book is impeccable and the book is filled with Historical figures who either stayed at the Windsor, were associated with the Windsor or helped into the investigation into the cause of the fire which remains unsolved 125 later. This massive blaze that happened as the St. Patrick's Day parade neared the building, killed over 85 people, of which 41 were never identified. It was a massive conflagration that seemed to come from out of nowhere, and Wasserman through her characters provides us possible reasons for the fire (all of which were considered by the authorities at one time). Was it a ring of thieves aided by the hotel maids, was it started by a cigar ash that caused a dining room curtain to burst into flames. Anarchists who were trying to kidnap President McKinley's brother? Maybe it started in the basement while the workers were out watching the parade or an electric iron that was never properly turned off, or that it was it just an old flammable building that complied with the 1873 building code that was outdated? A myriad of characters are in this book which gives us the multiple perspectives on each individuals points of view. How newspaper reports were contradictory, how eyewitnesses and even survivors of the fire were not really sure what happened as memories blurred and peoples actions were questioned. One of the most interesting portions of the book dealt with fire ropes which were really one of the few ways to escape the upper floors.The book opens with a description of the early minutes of the fire, and it reads almost like what happened on 9/11 at the Twin Towers. I personally enjoyed all the different points of view and reminds me of CNN or FNC coverage of a major event. A fast and interesting read which solidifies Wasserman's place at the top of Historical Crime Fiction authors!!...more",Notes are private!,1,28,1,"Feb 17, 2024","Feb 23, 2024","Feb 17, 2024",,Kindle Edition,view (with text),/book/show/196941250-inferno-on-fifth
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Path of Peril,"Wasserman, Marlie Parker",,,B0BSXWCQ1F,unknown,4.32,19,unknown,"Jan 23, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Well, it took me a few months to get around to reading this, but it was well worth the wait! I really enjoyed this Historical Fiction novel set at theWell, it took me a few months to get around to reading this, but it was well worth the wait! I really enjoyed this Historical Fiction novel set at the time of President Theodore Roosevelt's inspection trip to the Panama Canal in 1906. One heck of an engineering marvel, even to this day, and the author does a wonderful job of weaving history and fiction into a fast paced book, Each chapter is told recounts different individuals actions during this trip, as we get to follow plotters, assassins, doctors, engineers, secret service agents, as well as the President, the First Ladyu and their entourage. Lots of characters, but then again this trip as well as the building of the Canal was a massive undertaking and all woven together in fine fashion by the author, Kudos. An entusiastic 4****...more",Notes are private!,0,55,1,"Feb 03, 2024","Feb 08, 2024","Feb 03, 2024",,Kindle Edition,view (with text),/book/show/108518549-path-of-peril
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Napoleon's Pyramids        (Ethan Gage, #1)","Dietrich, William*",0060848324,9780060848323,0060848324,376        pp,3.54,"4,446",2007,"Feb 06, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I enjoyed this first book of the Ethan Gage historical fiction series. It introduces us to Gage, who is an American living in Paris in the late 1790'sI enjoyed this first book of the Ethan Gage historical fiction series. It introduces us to Gage, who is an American living in Paris in the late 1790's and he has a host of travails that seems to follow him no matter where he goes. He ends up going to Egypt with Napoleon as one of the 150+ Savants he takes on the journey to try and unravel the mystery of the Pyramids. Filled with fascinating historical figures and details Gage and his servant manage to make their way into the Great Pyramid to find the answers, but never are able solve the mystery that revolves around the Egyptian Book of Thoth. But never fear, Gage avoids death and will leave Egypt with the British fleet and travel to Israel for the next book in this well-conceived series....more",Notes are private!,7,43,1,"Jan 27, 2024","Feb 15, 2024","Jan 27, 2024",,Hardcover,view (with text),/book/show/189568.Napoleon_s_Pyramids
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Uniform Justice        (Commissario Brunetti, #12)","Leon, Donna",,,B0097DHURW,340        pp,3.89,"9,265",2003,"Dec 01, 2007",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Book 12 of the series may be one of my favorites. There's not a lot of action, but rather a lot of contemplation and discussion about the political anBook 12 of the series may be one of my favorites. There's not a lot of action, but rather a lot of contemplation and discussion about the political and military classes in Venice and Italy. The book centers around the death of a 17-year-old boy in a Military Academy in Venice. Everyone is sure it was a suicide, but there was no suicide note, and, the boy had given no external indication of being unhappy or dismayed leading up to his death. Inspector Brunetti is on the case and something just does not seem right to him, so he keeps looking into possible external reasons for the boys death. Brunetti ponders the fate of Venice, Italian politics, the military, and these military academies, that aremtraining of young people, to think and act the same way as their forefathers. All the students in this Academy are children of either rich politicians or military leaders so they continue to create a class of individuals who feel they are above and beyond regular citizens as well as the law. as the book goes on, we find out that the young man's parents are separated, that his mother had been shot in the leg two years previously, that his sister is nowhere to be found, and that things just don't quite add up. His father had been a crusading politician and nobody wants that in Italy because no one wants to stop the corruption or the graft that keeps the country running. As I said one of my favorite books, and like most all of Donna Lyons works nothing ever is tied up with a neat ribbon at the end of the book. Was it suicide, was it murder, is there justice, and is there just more of the same that is beginning to drag, and wear upon Brunetti? A wonderful book!...more",Notes are private!,6,41,1,"Jan 26, 2024","Feb 03, 2024","Jan 26, 2024",,Kindle Edition,view (with text),/book/show/19518648-uniform-justice
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Days at the Morisaki Bookshop        (Days at the Morisaki Bookshop, #1)","Yagisawa, Satoshi",0063278677,9780063278677,0063278677,150        pp,3.66,"57,329","Sep 07, 2010","Jul 04, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Enjoyable and gentle book that centers around Satoru the owner of the Morisaki Bookshop, along with his niece, Takako, and Satoru's absent wife, MomokEnjoyable and gentle book that centers around Satoru the owner of the Morisaki Bookshop, along with his niece, Takako, and Satoru's absent wife, Momoko. As Takato suffers from a broken relationshp her uncle Satoru offers her a chance to come live and work at the bookshop. After a period of continued despair she finally comes to love the bookshop and a few of the people who enter. Not a book that goes into detail about the books at the used bookshop, but rather about relationships, including Momoko's return after a 5 year absence. I enjoyed the book but felt it needed a bit more depth to the characters and more characters on the whole. I did enjoy it and there is only so much one can fit into 150 pages. I am looking forward to the sequel. As I am not familiar with a lot of Japanese novels I give this a benefit of the doubt, 4****...more",Notes are private!,0,34,1,"Jan 22, 2024","Jan 26, 2024","Jan 22, 2024",,Paperback,view (with text),/book/show/62047992-days-at-the-morisaki-bookshop
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The War Librarian,"Armstrong, Addison*",,,B09LH5YTXT,384        pp,4.01,"3,086","Aug 09, 2022","Aug 09, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Addison Armstrong is one of the brightest young authors that I have and pleasure to read. Barely out of college she has produced two wonderful books, Addison Armstrong is one of the brightest young authors that I have and pleasure to read. Barely out of college she has produced two wonderful books, the newest being ""The War, Librarian."" This book follows the dual timeline of World War I and the first class of females at the US Naval Academy in 1976. in 1918 Emmaline Balakin is working at the Dead Letter Office of the US Postal System, and stumbles upon a letter from a former friend of hers, who is now serving in France during the war. She eventually becomes a librarian, and it shipped overseas where she is part of the effort to bring books to the soldiers. While there she finds that her friend is one of the wounded soldiers at the hospital where she is working. She is shocked by the horrors of the war, by the segregation among the wounded and hospitalized, and tries to bring joy and happiness to these individuals, through books, despite all the perils of being near the front line. She makes friends with another young lady named Nellie who is a Red Cross volunteer who helps Emmaline navigate the system while she's over there, as well as teaching her how to drive. In 1976 Kathleen Carrie is part of the first group of female midshipman at the US Naval Academy, and is the granddaughter of Nellie. We follow Kathleen as she is subjected to all types of hazing and harassment at the Academy. Many of the male midshipman do not wish to have females in the Academy, and do anything possible to intimidate them, including trying to have them dismissed from the Academy for treasonous behavior. But there is a secret from World War I, that will impact Kathleen in her attempt to be part of the first class of female midshipmentat the US Naval Academy. This is a well researched book, filled with historical events, and certainly shows you the female point of view in both timelines. The authenticity in this book is shocking, and it also saddens one to see what women had to put up with in their efforts to help and assist our country and military....more",Notes are private!,2,28,1,"Jan 22, 2024","Feb 03, 2024","Jan 22, 2024",,Kindle Edition,view (with text),/book/show/59616292-the-war-librarian
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Firetrap        (Marko Zorn #3),"Eskin, Otho*",1608095711,9781608095711,B0C1P53V8Y,276        pp,4.35,71,unknown,"Jan 16, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"For his third book in the Marko Zorn series, author Otho Eskin tackles, the pharmaceutical industry in one of the fastest reading books that I have haFor his third book in the Marko Zorn series, author Otho Eskin tackles, the pharmaceutical industry in one of the fastest reading books that I have had the pleasure to read in the past decade. Marko Zorn is a Washington DC homicide detective who many times does work outside of the police department, and not always following the rules of the police department. The book begins with a horrific car fire in which an individual has been locked inside a car that was deliberately set on fire and his horrible death was a shock to everyone’s system. From there, we discover that the deceased may have been connected with an illegal drug called Speedball, which is an offshoot of a prescription drug and which has extremely dangerous and deadly effect to anyone who takes it. The pharmaceutical company is owned and controlled by a pair of sinister, twin brothers, who have built an evil empire that basically keeps them out of range of any regulatory agency, governmental officials or law enforcement agencies. They own a security company who's not afraid to kill, even if it's one of their own people. As I said, this is a fast reading book, and it takes us to many different locales as we have the daughter of the new police chief of Washington DC being kidnapped when Marko gets too close to investigating to the deaths related to the company and Speedball. While this is the third book in the series, you don’t need to read the first two to follow the action, and there is action galore. If you are a fan of action, adventure, and thrillers then this is a book that is right up your alley. Zorn does whatever he can to bring down the empire the twins only to have a potential shocking twist at the very end, and which just leaves us to believe that the author is not yet finished with this pharmaceutical saga....more",Notes are private!,0,7,1,"Jan 16, 2024","Jan 19, 2024","Jan 16, 2024",,Kindle Edition,view (with text),/book/show/125636440-firetrap
