,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Sammy's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Better World,"Langan, Sarah*",1982191066,9781982191061,1982191066,368        pp,3.97,242,"Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Hardcover,view,/book/show/176443112-a-better-world
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ferryman,"Cronin, Justin*",0525619496,9780525619499,0525619496,560        pp,3.94,"27,660","May 02, 2023","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Paperback,view,/book/show/205064676-the-ferryman
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Jasad Heir        (The Scorched Throne, #1)","Hashem, Sara*",0316477869,9780316477864,,523        pp,3.99,"12,222","Jul 18, 2023","Jul 18, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Paperback,view,/book/show/60581370-the-jasad-heir
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Study in Drowning,"Reid, Ava*",0063211505,9780063211506,0063211505,378        pp,3.84,"39,423","Sep 19, 2023","Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/75302266-a-study-in-drowning
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ink Blood Sister Scribe,"Törzs, Emma*",0063253461,9780063253469,0063253461,416        pp,4.05,"33,691","May 30, 2023","May 30, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/62854842-ink-blood-sister-scribe
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Adventures of Amina al-Sirafi        (Amina al-Sirafi, #1)","Chakraborty, Shannon",,,,483        pp,4.29,"39,543","Feb 28, 2023","Feb 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/61294937-the-adventures-of-amina-al-sirafi
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Divine Rivals        (Letters of Enchantment, #1)","Ross, Rebecca*",1250857430,9781250857439,1250857430,357        pp,4.23,"363,903","Apr 04, 2023","Apr 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/60784546-divine-rivals
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Encephalitis Lethargica: During and After the Epidemic,"Vilensky, Joel A.",019537830X,9780195378306,019537830X,316        pp,3.91,11,"Nov 17, 2010","Dec 17, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/10397510-encephalitis-lethargica
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Perfect Murder, Perfect Town : The Uncensored Story of the JonBenet Murder and the Grand Jury's Search for the Final Truth","Schiller, Lawrence",0061096962,9780061096969,0061096962,832        pp,3.69,"3,536","Feb 01, 1999","Oct 01, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Mass Market Paperback,view,/book/show/238926.Perfect_Murder_Perfect_Town_
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Time to Dance, a Time to Die: The Extraordinary Story of the Dancing Plague of 1518","Waller, John",1848310218,9781848310216,1848310218,267        pp,3.44,831,"Jan 01, 2008","Jan 01, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/4903669-a-time-to-dance-a-time-to-die
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tress of the Emerald Sea        (The Cosmere, #28)","Sanderson, Brandon*",,,,483        pp,4.43,"114,081","Jan 10, 2023","Apr 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 04, 2024","Mar 16, 2024","Mar 11, 2024",,Kindle Edition,view,/book/show/60531406-tress-of-the-emerald-sea
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Poison Study        (The Chronicles of Ixia, #1)","Snyder, Maria V.*",0778368157,9780778368151,0778368157,336        pp,4.10,"165,625","Sep 27, 2005","Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Paperback,view,/book/show/201243073-poison-study
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Gild        (The Plated Prisoner, #1)","Kennedy, Raven*",1464224412,9781464224416,1464224412,402        pp,3.60,"146,860","Oct 16, 2020","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Paperback,view,/book/show/199420132-gild
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Long Bright River,"Moore, Liz*",0525540687,9780525540687,0525540687,496        pp,4.04,"108,520","Jan 07, 2020","Dec 01, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Paperback,view,/book/show/55835660-long-bright-river
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"From Blood and Ash        (Blood and Ash, #1)","Armentrout, Jennifer L.*",1952457017,9781952457012,,622        pp,4.24,"567,384","Mar 29, 2020","Mar 30, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,ebook,view,/book/show/52831200-from-blood-and-ash
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Part of Your World        (Part of Your World, #1)","Jimenez, Abby*",1538704374,9781538704370,1538704374,400        pp,4.30,"244,499","Apr 19, 2022","Apr 19, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Paperback,view,/book/show/58684524-part-of-your-world
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hello Stranger,"Center, Katherine*",1250283787,9781250283788,1250283787,323        pp,3.96,"80,261","Jul 11, 2023","Jul 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Hardcover,view,/book/show/61884987-hello-stranger
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Love, Theoretically","Hazelwood, Ali*",1408725797,9781408725795,1408725797,389        pp,4.13,"359,915","Jun 13, 2023","Jun 13, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Mar 2024,"Mar 04, 2024","Feb 10, 2024",,Paperback,view,/book/show/61326735-love-theoretically
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fourth Wing        (The Empyrean, #1)","Yarros, Rebecca*",1649374046,9781649374042,1649374046,498        pp,4.59,"1,499,599","May 02, 2023","May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Hardcover,view,/book/show/61431922-fourth-wing
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lies and Weddings,"Kwan, Kevin*",0385546297,9780385546294,0385546297,448        pp,4.02,283,"May 21, 2024","May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Hardcover,view,/book/show/197144545-lies-and-weddings
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Familiar,"Bardugo, Leigh*",125088425X,9781250884251,125088425X,400        pp,4.32,"1,010","Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Hardcover,view,/book/show/133286777-the-familiar
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Love,"Link, Kelly",0812996585,9780812996586,0812996585,628        pp,3.54,"1,881","Feb 08, 2024","Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Hardcover,view,/book/show/157981682-the-book-of-love
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The American Daughters,"Ruffin, Maurice Carlos*",0593729390,9780593729397,0593729390,304        pp,3.68,719,"Feb 27, 2024","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Hardcover,view,/book/show/174146851-the-american-daughters
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Good Fortune,"Chau, C.K.",,,B0BHWQM5DC,400        pp,3.45,"1,074","Jul 11, 2023","Jul 11, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"not setFeb 10, 2024","Feb 13, 2024Feb 13, 2024","Feb 10, 2024",,Kindle Edition,view,/book/show/63104773-good-fortune
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heaven & Earth Grocery Store,"McBride, James*",0593422945,9780593422946,0593422945,380        pp,4.08,"128,915","Aug 08, 2023","Aug 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Hardcover,view,/book/show/65678550-the-heaven-earth-grocery-store
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How You Grow Wings,"Onoseta, Rimma*",1643753770,9781643753775,1643753770,336        pp,3.99,461,"Aug 09, 2022","Jan 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 28, 2024",,Paperback,view,/book/show/145624836-how-you-grow-wings
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Great Dechurching: Who’s Leaving, Why Are They Going, and What Will It Take to Bring Them Back?","Davis, Jim",0310147433,9780310147435,0310147433,272        pp,3.87,755,unknown,"Aug 22, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 24, 2024",not set,"Jan 24, 2024",,Hardcover,view,/book/show/63354300-the-great-dechurching
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Maame,"George, Jessica",1250853737,9781250853738,1250853737,336        pp,4.07,"83,263","Jan 31, 2023","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 22, 2024",,Paperback,view,/book/show/127281413-maame
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Gilded Ones,"Forna, Namina*",1984848712,9781984848710,1984848712,432        pp,4.00,"47,860","Feb 09, 2021","Jan 11, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 15, 2024",,Paperback,view,/book/show/58496710-the-gilded-ones
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Live No Lies: Recognize and Resist the Three Enemies That Sabotage Your Peace,"Comer, John Mark*",0525653120,9780525653127,0525653120,336        pp,4.50,"10,101","Sep 28, 2021","Sep 28, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 12, 2024",,Hardcover,view,/book/show/56546732-live-no-lies
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sand        (The Sand Chronicles, #1)","Howey, Hugh*",009959515X,9780099595151,009959515X,372        pp,3.97,"29,424","Jan 04, 2014","Oct 23, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,Paperback,view,/book/show/20662430-sand
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Becoming a Daughter: Gracie's Story,"Carleton, Sara",,,B0CH5L1TFK,146        pp,5.00,1,unknown,"Sep 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 07, 2024",,Kindle Edition,view,/book/show/198427008-becoming-a-daughter
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Business or Pleasure,"Solomon, Rachel Lynn*",,,B0BG16FJ72,384        pp,3.79,"23,398","Jul 04, 2023","Jul 04, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 06, 2024","Jan 10, 2024","Jan 06, 2024",,Kindle Edition,view,/book/show/60290718-business-or-pleasure
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pax        (Pax #1),"Pennypacker, Sara",0062377019,9780062377012,0062377019,278        pp,3.97,"57,513","Feb 02, 2016","Feb 02, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2024",,Hardcover,view,/book/show/22098550-pax
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bodyguard,"Center, Katherine*",,,B09CNFRZDC,310        pp,3.99,"233,615","Jul 19, 2022","Jul 19, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 05, 2024","Jan 06, 2024","Jan 04, 2024",,Kindle Edition,view,/book/show/58803341-the-bodyguard
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All Rise for the Honorable Perry T. Cook,"Connor, Leslie",0062333461,9780062333469,0062333461,400        pp,4.31,"7,020","Mar 01, 2016","Mar 01, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/25817074-all-rise-for-the-honorable-perry-t-cook
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Homicide and Halo-Halo        (Tita Rosie's Kitchen Mystery, #2)","Manansala, Mia P.*",0593201698,9780593201695,0593201698,279        pp,3.67,"16,973","Feb 08, 2022","Feb 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Dec 2022,"Jan 02, 2024",,Paperback,view,/book/show/58082198-homicide-and-halo-halo
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vespertine,"Rogerson, Margaret*",153447711X,9781534477117,153447711X,400        pp,4.11,"20,736","Oct 05, 2021","Oct 05, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Dec 2022,"Jan 02, 2024",,Hardcover,view,/book/show/56980403-vespertine
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Locust Effect: Why the End of Poverty Requires the End of Violence,"Haugen, Gary A.",0199937877,9780199937875,0199937877,368        pp,4.31,"1,481","Dec 09, 2013","Feb 04, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Dec 2022,"Jan 02, 2024",,Hardcover,view,/book/show/17656566-the-locust-effect
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nuclear Family,"Han, Joseph*",1640094865,9781640094864,1640094865,320        pp,3.23,"2,063","Jun 07, 2022","Jun 07, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Dec 2022,"Jan 02, 2024",,Hardcover,view,/book/show/59349398-nuclear-family
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book Eaters,"Dean, Sunyi*",1250810183,9781250810182,1250810183,298        pp,3.65,"39,223","Aug 02, 2022","Aug 02, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Dec 2022,"Jan 02, 2024",,Hardcover,view,/book/show/58724745-the-book-eaters
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Afterlives,"Gurnah, Abdulrazak",,,,288        pp,3.78,"10,847","Sep 17, 2020","Sep 29, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Dec 2022,"Jan 02, 2024",,Hardcover,view,/book/show/52744975-afterlives
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"An Unreliable Magic        (A Hundred Names for Magic, #2)","Chupeco, Rin*",1492672696,9781492672692,1492672696,432        pp,3.87,336,"May 03, 2022","May 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Nov 2022,"Jan 02, 2024",,Hardcover,view,/book/show/43911457-an-unreliable-magic
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Wicked As You Wish        (A Hundred Names for Magic, #1)","Chupeco, Rin*",1492672661,9781492672661,1492672661,432        pp,3.41,"3,024","Mar 03, 2020","Mar 03, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Nov 2022,"Jan 02, 2024",,Hardcover,view,/book/show/45184250-wicked-as-you-wish
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Strange New World: How Thinkers and Activists Redefined Identity and Sparked the Sexual Revolution,"Trueman, Carl R.",1433579308,9781433579301,1433579308,204        pp,4.51,"3,227","Feb 15, 2022","Mar 22, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Nov 2022,"Jan 02, 2024",,Paperback,view,/book/show/58152491-strange-new-world
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Will My Cat Eat My Eyeballs? And other Questions about Dead Bodies,"Doughty, Caitlin",0393358496,9780393358490,0393358496,232        pp,4.13,"40,997","Sep 10, 2019","Sep 22, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Nov 2022,"Jan 02, 2024",,Paperback,view,/book/show/52672113-will-my-cat-eat-my-eyeballs-and-other-questions-about-dead-bodies
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Raise an Antiracist,"Kendi, Ibram X.*",059324253X,9780593242537,059324253X,288        pp,4.41,"2,286","Jun 14, 2022","Jun 14, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Nov 2022,"Jan 02, 2024",,Hardcover,view,/book/show/59149034-how-to-raise-an-antiracist
