,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Jeff's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Toad,"Dunn, Katherine",0374602328,9780374602321,0374602328,352        pp,3.65,"1,321","Nov 01, 2022","Nov 01, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Faltering only slightly from the dubious distinction of being a posthumous, ""found"" novel, Dunn's Toad is still a wonderfully insightful book. Lovers Faltering only slightly from the dubious distinction of being a posthumous, ""found"" novel, Dunn's Toad is still a wonderfully insightful book. Lovers of Geek Love might be turned off by this quasi-bildungsroman collegiate love(?) and despair story, but isolated, Toad is a wonderful criticism of the pseudo-intellectualism of the phony trust fund college type and the realities of loneliness in women who don't match the male gaze.Dunn really is marvelous in her prose. And, seriously, the brilliant chapter dedicated to the description and mastication of a candy bar? Stand-alone genius....more",Notes are private!,0,0,1,not set,not set,"Oct 19, 2023",,Hardcover,view (with text),/book/show/59808588-toad
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Neverending Story,"Ende, Michael",0525457585,9780525457589,0525457585,396        pp,4.18,"201,340","Sep 01, 1979",1997,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What a unexpected joy.Like most, I remember the film from my childhood, but the novel far exceeds its cinematic cousin (obv). Interestingly, the film What a unexpected joy.Like most, I remember the film from my childhood, but the novel far exceeds its cinematic cousin (obv). Interestingly, the film only covers the first half of the book (which, I'm sure, has been, at length, covered) and that first half is clearly the best. I found myself, often, wishing the book would have ended where the film did. The second half, in contrast to the first, is a very German existential crisis s*itstorm that, at first, felt off-putting to me. I came around, however......because if you strip all of the wild imaginative stuff, and all the fantasy (mostly) mumbo jumbo, and politely ignore all the plot holes and loose ends; this is a very wise book about imagination and how important it is to survival up against an adult world that suffocates it. I don't count myself a fan of the fantasy genre, but like in all genres, when a thesis appears that has relevance beyond the invention, it's a home run.In a lot of ways, this is a grand slam....more",Notes are private!,0,0,1,not set,not set,"Sep 27, 2023",,Hardcover,view (with text),/book/show/27712.The_Neverending_Story
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On Writing: A Memoir of the Craft,"King, Stephen*",0743455967,9780743455961,0743455967,320        pp,4.34,"287,649",2000,Jul 2002,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I think this is a valuable and very casual book ""on writing."" I remember reading this when I was younger and (don't all laugh at once) an aspiring wriI think this is a valuable and very casual book ""on writing."" I remember reading this when I was younger and (don't all laugh at once) an aspiring writer. I related to it more then, particularly the parts about finding an Ideal Reader and an agent.The non-fiction, ""off-writing"" sections are the best. King's voice and prose is just like in his novels: nerdy and homely, attractive and basic. Direct and authentic. My issue comes with his actual writing advice. I mean, what if people WANT to use adverbs? What if people like theme more than ""story"" (he never defines what this means beyond plot). Also, he bemoans plotting, like a lot, which is supremely ironic because his books so lack plot that each thuds with a klunk at their ends. In other words, maybe he SHOULD think about plot. In general, however (and owing to the reality that he's a famous and rich published author), I disagree greatly with his absolutisms on writing....more",Notes are private!,0,0,1,not set,not set,"Sep 05, 2023",,Mass Market Paperback,view (with text),/book/show/10569.On_Writing
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Am Homeless If This Is Not My Home,"Moore, Lorrie",0307594149,9780307594143,,208        pp,3.34,"4,175","Jun 20, 2023","Jun 20, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This daunting and haunting novel is the brand of genius that will be appreciated more 50 years from now than it ever could be today.Forget the 19th ceThis daunting and haunting novel is the brand of genius that will be appreciated more 50 years from now than it ever could be today.Forget the 19th century epistolary novel of a murderous mistress; and forget the modern pseudo-zombie (death adjacent) story about longing, love, and loss; and forget the political ties that bind them: Lincoln and Trump; and forget about the dreamy, intense movement of the novel as if through water: and you're left with Moore's uncompromising wit, humor, starkness, tragedy, and above all, absolute incisor-sharp writing.A masterwork, in partnership with McCarthy's The Passenger....more",Notes are private!,0,0,1,not set,not set,"Aug 24, 2023",,Hardcover,view (with text),/book/show/61605476-i-am-homeless-if-this-is-not-my-home
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Slade House,"Mitchell, David",,,B00S3RILQW,241        pp,3.81,"64,531",Oct 2015,"Oct 27, 2015",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I was disappointed at how derivative this book is. I mean, if you're going to do the haunted house, ghost trickery, Shirley Jackson thing--at least doI was disappointed at how derivative this book is. I mean, if you're going to do the haunted house, ghost trickery, Shirley Jackson thing--at least do something unique. In this case, it just seemed like a sequel to everything already done. Although, I did like the first chapter's narrator's voice (but derivative of Sound and the Fury?).I wasn't much surprised when I found out that he published the first part of this book on Twitter. It reads like it....more",Notes are private!,0,1,1,not set,not set,"Aug 14, 2023",,Kindle Edition,view (with text),/book/show/40611069-slade-house
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rabbit Hutch,"Gunty, Tess",,,,352        pp,3.52,"27,408","Jul 21, 2022","Aug 02, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a beautiful and delightful book. Tess Gunty can write and write well; it's amazing to think what her career will be as she matures as a writerThis is a beautiful and delightful book. Tess Gunty can write and write well; it's amazing to think what her career will be as she matures as a writer and takes on...I don't know...less obvious topics.My gripe with the novel is that it reads like something from an MFA program. I know it was; it just reads that way. Like trying a little too hard. The characters are all types. I didn't super feel for any of them. The thesis re: contemporary culture and mysticism is on the fringe of being fully developed. It has that: I'm-a-little-too-old-to-identify-with-the-writing-of-the-concerns-of-30-year-olds-vibe. You know: internet internet internet. But it doesn't ram it down your throat as much.Still, all that aside, it's a really good book. The writing is sharp. I don't suspect it will stick with me, but I enjoyed being in its moment....more",Notes are private!,0,0,1,not set,not set,"Aug 06, 2023",,Hardcover,view (with text),/book/show/59576076-the-rabbit-hutch
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Life Among the Savages,"Jackson, Shirley",0140267670,9780140267679,0140267670,256        pp,3.98,"8,190",1953,"Oct 01, 1997",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Because this is memoir/nonfiction, and a collection of mostly shorter work published in magazines, it doesn't have the same deep resonance of Jackson'Because this is memoir/nonfiction, and a collection of mostly shorter work published in magazines, it doesn't have the same deep resonance of Jackson's other work. Add to that the nuanced subject matter, and you'd isolate some readers.But her wit, intelligence, and tenderness are all out front. And for those with small children living such an otherworldly life, Jackson is nothing if not perfectly authentic....more",Notes are private!,0,0,1,not set,not set,"Jul 24, 2023",,Paperback,view (with text),/book/show/131191.Life_Among_the_Savages
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"All the Pretty Horses        (The Border Trilogy, #1)","McCarthy, Cormac",0679744398,9780679744399,0679744398,302        pp,4.04,"123,987",1992,"Jun 29, 1993",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Beautifully written bildingsroman that uses the liminal setting of ""borders"" to reflect the transition, through disappointment, into adulthood; the cuBeautifully written bildingsroman that uses the liminal setting of ""borders"" to reflect the transition, through disappointment, into adulthood; the cultural and historical heritages of the US/Mexico border; and the passage of time that leaves the old ways dissolute and distant.McCarthy's ability to blend the prosaic, bucolic atmosphere of the old West with deep philosophical notions of meaning makes him a permanent master....more",Notes are private!,0,0,1,not set,not set,"Jul 13, 2023",,Paperback,view (with text),/book/show/469571.All_the_Pretty_Horses
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rum Diary,"Thompson, Hunter S.",0684856476,9780684856476,0684856476,224        pp,3.84,"61,116",1998,Nov 1999,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"My first Thompson, a surprisingly coherent fictive-memoir about San Juan during its development boom that is refreshingly cognizant of colonial probleMy first Thompson, a surprisingly coherent fictive-memoir about San Juan during its development boom that is refreshingly cognizant of colonial problems in the Caribbean while adhering faithfully to the Beat existential dread of the mid-20th century. ...more",Notes are private!,0,0,1,not set,not set,"Jun 22, 2023",,Paperback,view (with text),/book/show/18864.The_Rum_Diary
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Damnation Game,"Barker, Clive*",0425188930,9780425188934,0425188930,433        pp,3.82,"20,235","Aug 19, 1985","Nov 05, 2002",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Don't tell my 15-year-old self I said this, but Clive Barker can NOT write.Don't tell my 15-year-old self I said this, but Clive Barker can NOT write....more",Notes are private!,0,0,1,not set,not set,"Jun 16, 2023",,Mass Market Paperback,view (with text),/book/show/34605.The_Damnation_Game
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fake Accounts,"Oyler, Lauren",1948226928,9781948226929,1948226928,272        pp,2.86,"10,008","Feb 02, 2021","Feb 02, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This ""novel"" is simultaneously self-conscious and self-aware; and because I have no doubt that Oyler is the sort who will read her Goodreads s (This ""novel"" is simultaneously self-conscious and self-aware; and because I have no doubt that Oyler is the sort who will read her Goodreads s (particularly the ones less than four stars), forgive the metacognitive second-personness of my critique here.Oyler's writing is extremely sharp, but the book feels like a message without a vessel. It's obvious that there's a criticism of our experience with social and digital medias, a half-interested take on contemporary feminism, and perhaps the erudite hipster-millennial NYC-transplant quasi-gravitas kinda-political messaging here. But I mostly felt a little bored and sad-for this generation (I can say these things now; I've turned 40!!!).Here's the bright side: now that Oyler has gotten her bildingsroman, roman a clef capitulation to the book publishing industry out of the way, she's now completely free to write novels that I believe will net her a big-time award or two. She's that good a writer. Now that she can (and yeah, I'm talking to HER) move on to literature: calm down with the complex sentences, pedantic NYC-ism, holy messaging; she's going to have a career of writing great books....more",Notes are private!,0,0,1,not set,not set,"May 17, 2023",,Hardcover,view (with text),/book/show/45732027-fake-accounts
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Scrape the Velvet from Your Antlers: Poems,"McQuain, Kelly",1680033328,9781680033328,1680033328,100        pp,4.83,6,unknown,"Feb 15, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Incredibly beautiful and poignant; from the rural beauty of West Virginia to the heat of Philadelphia, mcquain's poems reflect and inspire. A wonderfuIncredibly beautiful and poignant; from the rural beauty of West Virginia to the heat of Philadelphia, mcquain's poems reflect and inspire. A wonderful collection....more",Notes are private!,0,1,1,not set,not set,"Apr 29, 2023",,Paperback,view (with text),/book/show/63354834-scrape-the-velvet-from-your-antlers
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Siddhartha,"Hesse, Hermann",,,,152        pp,4.07,"771,319",1922,"Dec 01, 1981",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Revisiting an old favorite after 20-something years, I was astounded by how much of this I remembered and how much of the philosophy I internalized.A Revisiting an old favorite after 20-something years, I was astounded by how much of this I remembered and how much of the philosophy I internalized.A powerful, Western, novelization of Buddhist mythology easily-consumed but not watered-down....more",Notes are private!,0,0,1,not set,not set,"Apr 28, 2023",,Mass Market Paperback,view (with text),/book/show/52036.Siddhartha
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Invisible Cities,"Calvino, Italo",0156453800,9780156453806,0156453800,165        pp,4.12,"83,838","Nov 03, 1972",1974,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5This was a book I enjoyed more as I got into it and understood its structure. Somewhat rudimentary in nature: a frame story of grandiose ego (Kahn)3.5This was a book I enjoyed more as I got into it and understood its structure. Somewhat rudimentary in nature: a frame story of grandiose ego (Kahn) and colonialism (Polo) holding prose/poems of imaginative cities that reflect aspects of human culture, identity, and philosophy.Certainly interesting and unique, if only perhaps a little watery....more",Notes are private!,0,0,1,not set,not set,"Apr 15, 2023",,Paperback,view (with text),/book/show/9809.Invisible_Cities
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Charlie and the Chocolate Factory,"Dahl, Roald",,,0375815260,162        pp,4.16,"851,372","Jan 17, 1964",Sep 2001,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Dahl is pretty obviously fat-phobic, and the Oompa Loompas aren't as innocuous as one might have thought, but this book is a well-written and fun pageDahl is pretty obviously fat-phobic, and the Oompa Loompas aren't as innocuous as one might have thought, but this book is a well-written and fun page-turner for our young ones, and the young ones trapped in our old selves....more",Notes are private!,0,0,1,not set,not set,"Apr 07, 2023",,Hardcover,view (with text),/book/show/781822.Charlie_and_the_Chocolate_Factory
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Distance Between Us,"Grande, Reyna*",1451661770,9781451661774,1451661770,325        pp,4.33,"11,266","Aug 28, 2012","Aug 28, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"For me, this was more of a three-star situation; but because I accidentally checked out the ""young adult"" version of the book from my library, I'm goiFor me, this was more of a three-star situation; but because I accidentally checked out the ""young adult"" version of the book from my library, I'm going to give Grande the benefit of the doubt that the writing and circumstances were somewhat better in the ""old"" adult version.That said: narratives like this are necessary. Literature has the wonderful and compassionate ability to connect a reader and writer over space, time, identity, and experience. This function serves to grow objective empathy for the plights of others. The Mexican diaspora, American violence against displaced immigrants fleeing poverty, and the separation of family in all the tragedy are situated in the foreground; and anyone, regardless of where they come from, can identify and connect. This sort of thing is necessary....more",Notes are private!,0,0,1,not set,not set,"Mar 28, 2023",,Hardcover,view (with text),/book/show/13260227-the-distance-between-us
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crossroads,"Franzen, Jonathan",0374181179,9780374181178,0374181179,592        pp,4.06,"56,509","Oct 05, 2021","Oct 05, 2021",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"With apologies to Mr. Franzen, I read this novel directly after finishing Cormac McCarthy's The Passenger, and absolutely no novel could withstand theWith apologies to Mr. Franzen, I read this novel directly after finishing Cormac McCarthy's The Passenger, and absolutely no novel could withstand the cataclysmic decline in quality of following that masterpiece.Still, and with further apologies to the horde of Franzen admirers, this novel is very bad.I could go on about the watered down philosophical religiosity, or the one-dimensional and vacant characters, or the one-dimensional and vacant prose, or any number of other infractions; but what really struck me is the 600 pages of violating the ""sh0w-don't-tell"" mantra of many a creative writing institution. While you'll find me no bastion of rule following, this one, in writing, seems paramount. Franzen has remarkably very few scenes in this behemoth of a novel; so rather than showing us the story, the feelings, the ideas, he tells us. That is: he just explains everything.Ex. Show: Becky lit a prayer candle that was quickly extinguished by a tear from her loss.Tell: Becky felt sad.For 600 pages. Hard pass....more",Notes are private!,0,0,1,not set,not set,"Mar 10, 2023",,Hardcover,view (with text),/book/show/55881796-crossroads
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Stella Maris        (The Passenger, #2)","McCarthy, Cormac",0307269000,9780307269003,0307269000,190        pp,3.88,"16,975","Dec 06, 2022","Dec 06, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This might be an unpopular take, but I don't think this book ever needed to exist (but, oh, wait...maybe it doesn't. Maybe...what else?...nothing doesThis might be an unpopular take, but I don't think this book ever needed to exist (but, oh, wait...maybe it doesn't. Maybe...what else?...nothing does). It reads like the publisher a) was worried that The Passenger was too complex, unorthodox, and to unresolved for a traditional reader and so wanted an explanatory ""coda"" and b) wanted to sell another book. (Conspiracy theory: and c) had someone else write it [it doesn't even read like McCarthy's writing]).I read that McCarthy critics have landed upon his reluctance to use female characters. I think, perhaps, this novel stands as a testament as to why.The Passenger was a book about unknowing, and so the paradoxical plot points and open threads illustrated the theoretical motif. Stella Maris doesn't do anything to expand upon the theme or deepen the original rhetoric. In short, it didn't need to exist....more",Notes are private!,0,0,1,not set,not set,"Jan 31, 2023",,Hardcover,view (with text),/book/show/60526802-stella-maris
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Factory Summers,"Delisle, Guy",177046459X,9781770464599,177046459X,156        pp,3.76,"2,898","Jan 26, 2021","Jun 15, 2021",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"There is no doubt that Delisle is established in the graphic literary world, and that he is an exceptional illustrator. I just don't really understandThere is no doubt that Delisle is established in the graphic literary world, and that he is an exceptional illustrator. I just don't really understand why this is a book. It touches on summer work in a paper factory over and over with no discernable plot or thesis. Similar images populate, basic tropes. No interaction, engagement, or conclusion worth coming for.A real missed opportunity with the father angle.Nice singular use of the yellow-orange (goodread star) color....more",Notes are private!,0,0,1,not set,not set,"Dec 31, 2022",,Hardcover,view (with text),/book/show/54785566-factory-summers
