,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Mark 's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wreck of the Batavia: A True Story,"Leys, Simon",1560258217,9781560258216,1560258217,160        pp,3.73,387,2003,"Nov 30, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Hardcover,view,/book/show/482224.The_Wreck_of_the_Batavia
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,"Grann, David*",0593470834,9780593470831,0593470834,416        pp,4.15,"339,942","Apr 18, 2017","Oct 10, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Paperback,view,/book/show/193388249-killers-of-the-flower-moon
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Darkest Hour: How Churchill Brought England Back from the Brink,"McCarten, Anthony*",0062749544,9780062749543,,336        pp,4.04,"4,713","Dec 07, 2017","Nov 07, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,ebook,view,/book/show/34847534-darkest-hour
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sheltering,"Powell, Mark",1611174341,9781611174342,1611174341,305        pp,4.04,49,"Jan 01, 2014","Jul 03, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Hardcover,view,/book/show/22114725-the-sheltering
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Daughters of Smoke and Fire,"Homa, Ava",1683358945,,B07WVF14XM,320        pp,4.25,"1,939","May 12, 2020","May 12, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Kindle Edition,view,/book/show/50279982-daughters-of-smoke-and-fire
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Boy's Life,"McCammon, Robert",,,B005T54I2W,625        pp,4.39,"34,968",Aug 1991,"Oct 18, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2024",,Kindle Edition,view,/book/show/36505403-boy-s-life
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Trust Me,"Updike, John",0394558332,9780394558332,0394558332,302        pp,3.77,913,"Jan 01, 1987","Apr 12, 1987",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2024",,Hardcover,view,/book/show/870981.Trust_Me
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,So Many Lives and All of Them Are Yours,"Butlin, Ron*",1788855825,9781788855822,B0BPKMDQ34,164        pp,3.83,12,unknown,"Sep 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Kindle Edition,view,/book/show/128883101-so-many-lives-and-all-of-them-are-yours
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Our Man in Havana,"Greene, Graham",0140184937,9780140184938,0140184937,220        pp,3.94,"36,077",1958,"Sep 03, 1991",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Paperback,view,/book/show/133394.Our_Man_in_Havana
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ice Garden,"Crone, Moira*",9780932112,,,221        pp,4.24,117,"Oct 30, 2014","Oct 30, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Paperback,view,/book/show/23524239-the-ice-garden
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"All the Broken Places        (The Boy in the Striped Pajamas, #2)","Boyne, John*",0593653068,9780593653067,0593653068,400        pp,4.50,"48,392","Nov 29, 2022","Nov 29, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Hardcover,view,/book/show/61111301-all-the-broken-places
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Let Me Tell You About A Man I Knew,"Fletcher, Susan",0349007632,9780349007632,0349007632,272        pp,4.04,596,2016,"Jun 01, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Paperback,view,/book/show/35390371-let-me-tell-you-about-a-man-i-knew
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Girls of Slender Means,"Spark, Muriel",0241963990,9780241963999,0241963990,144        pp,3.65,"7,342",1963,"Jul 30, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Paperback,view,/book/show/21097464-the-girls-of-slender-means
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A History of Loneliness,"Boyne, John*",0857520946,9780857520944,0857520946,384        pp,4.26,"15,611","Sep 04, 2014","Sep 04, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,7,0,not set,not set,"Mar 16, 2024",,Hardcover,view,/book/show/19381635-a-history-of-loneliness
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Love Stories,"Dalton, Trent",146076093X,9781460760932,146076093X,352        pp,4.15,"12,994","Oct 28, 2021","Oct 27, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Hardcover,view,/book/show/58464268-love-stories
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Under the Skin,"Faber, Michel",0857861778,9780857861771,0857861778,299        pp,3.75,"26,323",2000,"Jan 01, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Paperback,view,/book/show/12963289-under-the-skin
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Power and the Glory,"Greene, Graham",0142437301,9780142437308,0142437301,222        pp,3.98,"39,517",Mar 1940,"Feb 25, 2003",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It’s 1930s Mexico, and we follow an ‘outlaw’ priest on the run. A priest who – I’m not sure if 'self-loathing' is the right term – is struggling with It’s 1930s Mexico, and we follow an ‘outlaw’ priest on the run. A priest who – I’m not sure if 'self-loathing' is the right term – is struggling with his belief that he is a bad priest.The internal struggles of a Catholic Priest's heart and mind, which to me seem fairly pointless, as they appear to be self-imposed, and also the internal conflicts created by religion such as witnessed here, is something I have little interest in. A couple of hundred pages of this was painful. I now understand Greene converted to Catholicism in the late 1920s. I have also learned that his books seem to be classified into two genres. First, the entertainment, suspense novels, and second, the more literary type, such as this work dealing with matters of faith. Note to self: I must remember to avoid the latter like the plague.However, I didn’t want this drab affair to go to waste as the history is fascinating, albeit terribly violent. Mexico during this period was destroying churches and shooting priests to move towards a secular society. Alcohol was also banned. Tens of thousands of people on both sides (Government and Christian) sadly died during this conflict. So, it was interesting from a historical perspective.My fascination came after reading this book. I had no relationship with any of the characters, and I found the plot a tad diffuse. I couldn’t wait for it to finish....more",Notes are private!,53,74,1,"Mar 11, 2024","Mar 18, 2024","Mar 11, 2024",,Paperback,view (with text),/book/show/3690.The_Power_and_the_Glory
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All Our Yesterdays,"Ginzburg, Natalia",1914198247,9781914198243,B0B178BR5Q,304        pp,3.98,"3,355",1952,"Jun 30, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Kindle Edition,view,/book/show/61343506-all-our-yesterdays
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cobalt Red: How the Blood of the Congo Powers Our Lives,"Kara, Siddharth",1250284295,9781250284297,B09Y462D6Z,279        pp,4.38,"6,488","Jan 31, 2023","Jan 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Kindle Edition,view,/book/show/60827705-cobalt-red
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Judgement at Tokyo,"Bass, Gary J.",150981275X,9781509812752,150981275X,892        pp,4.30,444,"Oct 03, 2023","Nov 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Paperback,view,/book/show/200490293-judgement-at-tokyo
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Girl Waits with Gun        (Kopp Sisters, #1)","Stewart, Amy*",0544409914,9780544409910,0544409914,408        pp,3.77,"32,050","Sep 01, 2015","Sep 01, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2024",,Hardcover,view,/book/show/23719378-girl-waits-with-gun
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stoner,"Williams, John",1590171993,9781590171998,1590171993,288        pp,4.33,"166,187",1965,"Jun 20, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Paperback,view,/book/show/166997.Stoner
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Ladder to the Sky,"Boyne, John*",1984823019,9781984823014,1984823019,362        pp,4.21,"34,440","Aug 09, 2018","Nov 13, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 28, 2024",,Hardcover,view,/book/show/40400269-a-ladder-to-the-sky
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Plot,"Korelitz, Jean Hanff*",125079076X,9781250790767,125079076X,320        pp,3.82,"113,945","May 11, 2021","May 11, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 28, 2024",,Hardcover,view,/book/show/55315487-the-plot
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Soft in the Head,"Roger, Marie-Sabine",,,B0165HVSXO,226        pp,3.85,"2,096","Aug 15, 2008","Jun 09, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 27, 2024",,Kindle Edition,view,/book/show/30748114-soft-in-the-head
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Good Samaritan,"Marrs, John*",1503958345,9781503958340,B0786JNS9X,399        pp,4.08,"42,304","Dec 01, 2017","Mar 08, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 27, 2024",,Kindle Edition,view,/book/show/37422823-the-good-samaritan
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tristes Tropiques,"Lévi-Strauss, Claude",0140165622,9780140165623,0140165622,417        pp,4.14,"3,671",1955,"Aug 01, 1992",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Paperback,view,/book/show/283901.Tristes_Tropiques
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Free Will,"Harris, Sam",1451683405,9781451683400,1451683405,96        pp,3.87,"34,817","Mar 06, 2012","Mar 06, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Paperback,view,/book/show/13259270-free-will
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Story of a Nobody,"Chekhov, Anton",,,1846882788,unknown,3.78,"1,561",1893,Jul 2020,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Feb 26, 2024",,Paperback,view,/book/show/54589853-the-story-of-a-nobody
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Stranger in Her House,"Marrs, John*",1662506473,9781662506475,B0C3JKFKXR,347        pp,4.01,"10,823","Feb 13, 2024","Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 24, 2024",,Kindle Edition,view,/book/show/141236527-the-stranger-in-her-house
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vulture,"Scott-Heron, Gil",0862415284,9780862415280,0862415284,256        pp,3.73,486,1970,"Jan 01, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Paperback,view,/book/show/1723385.The_Vulture
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bitter Herbs,"Minco, Marga",,,,115        pp,3.52,"3,602",1957,1960,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 21, 2024",,Hardcover,view,/book/show/34751588-bitter-herbs
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Man Alone,"Petroulias, Nick",,9780645578201,,125        pp,4.88,8,unknown,"Nov 07, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 21, 2024",,Paperback,view,/book/show/195634358-man-alone
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hija (Little One) (Amor de familia),"Almada, Ariel Andrés",8416733716,9788416733712,8416733716,32        pp,4.08,76,unknown,"Feb 01, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Hay tantas personas en el mundo que hablan distinto! Pero todas sonríen igual. Eso recuerdalo siempre, hijaMeaning, there are so many people in thHay tantas personas en el mundo que hablan distinto! Pero todas sonríen igual. Eso recuerdalo siempre, hijaMeaning, there are so many people in the world who speak differently! But they all smile the same. Always remember that, daughter.What a wonderful message. Too true. So good. Perhaps humanity can remember this.A wonderful children’s book in Spanish – I kind of got most of this journey of a little girl who discovers the world in front of her. The way a child can only discover the world. Imagine if us oldies could re-discover the wonder of our world as a matter of course. After two years of studying my arse off to learn this language – I was disappointed to not understand a number of las palabras aqui. But, it goes to show, how difficult it is to be fluent in a second language.However, I did get the gist of this on first pass, and after more study, I understand this is a wonderful book for any little girl wanting to discover the world we live in.4 Stars...more",Notes are private!,13,30,1,"Feb 21, 2024","Feb 22, 2024","Feb 21, 2024",,Hardcover,view (with text),/book/show/52734657-hija-little-one-amor-de-familia
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Madness,"Phillips, Jarale*",,9798218229863,B0C8RC1BL4,172        pp,4.37,27,unknown,"Jun 21, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Where to start? This book has been described as a piece of Dark Fiction - if that is indeed a genre, and it represents a spectrum, let’s say this littWhere to start? This book has been described as a piece of Dark Fiction - if that is indeed a genre, and it represents a spectrum, let’s say this little bundle of joy inhabits the really horrific, dark, murderous and sick end of that spectrum.The narrator lives in the Southern California State Asylum for the Criminally Insane – he has no hands because he, quite simply, chopped them off. His two-handed cell-mate is his scribe. The narrator creates a relationship with the reader immediately, he even apologises for introducing us to this journey of insanity. He warns us, the madness conveyed in this collection of twisted stories is CONTAGIOUS. Yeah, yeah – I hear you say – BUT there was a moment late in the book, where I was attending a séance hosted by our narrator – and I did indeed feel the chill down my spine as he ‘talked’ to me. It was at 1am admittedly, but yikes!!!The various POVs of each story (don’t worry our narrator drops in now and then to keep us on his miserable track), are again, unique, dark and at times violently depraved. We follow the misfortunes of a prostitute, criminals, a child living in some sort of crack-house whose best friend is a TV, I think – the devil himself even drops in, and so many more reprobates.I won’t pretend to understand everything here, it’s not just the content it’s the pace, it’s relentless, and it’s complex. The author is so clever, he changes format and style throughout. We even have poem titles “The Definition of Insanity”, and chapters that read like the Bible – or a variation of it. There’s even a really clever transcript of an interview between an asylum doctor, who later took his own life, and a leader of one of the cults of the asylum concerned. The pages really did look like a photocopied typewriter written interview – even with images of the paperclips at the top of the page. Wow – authentic.There’s not much joy here but reading this book and my experience was visceral. The author, Jarelle Phillips, is a star. Up and coming, and remarkably unique and shocking, but wickedly clever. I’m gonna stalk you and your books Jarelle Phillips – you deserve it!!5 StarsMany thanks to NetGalley and the publishers for providing me with a copy of this book in exchange for my ....more",Notes are private!,40,68,1,"Feb 21, 2024","Feb 26, 2024","Feb 21, 2024",,Paperback,view (with text),/book/show/179959262-the-madness
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Time and Again        (Time, #1)","Finney, Jack",0575073608,9780575073609,0575073608,400        pp,3.94,"23,150",1970,"Jan 01, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 20, 2024",,Paperback,view,/book/show/40526.Time_and_Again
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Who Have Never Known Men,"Harpman, Jacqueline",0380731819,9780380731817,0380731819,208        pp,4.24,"50,687",1995,"Jul 01, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Mass Market Paperback,view,/book/show/11996.I_Who_Have_Never_Known_Men
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Deliverance,"Dickey, James",0440118689,9780440118688,0440118689,236        pp,3.89,"32,573",1970,"Mar 15, 1971",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2024",,Mass Market Paperback,view,/book/show/3316219-deliverance
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Man Who Died Twice        (Thursday Murder Club, #2)","Osman, Richard",,,B08GS1BT6T,422        pp,4.38,"222,213","Sep 16, 2021","Sep 16, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I'll keep this one short. The first in the series was really enjoyable, but I found this one a bit tiresome. My lesson here is not to launch into #2 oI'll keep this one short. The first in the series was really enjoyable, but I found this one a bit tiresome. My lesson here is not to launch into #2 of a series immediately after loving #1. Too much of a good thing leaves one wanting less. But I also was a bit annoyed about a couple of the characters, most of them actually - particularly Elizabeth.Either way. Probably not the book's fault, I shouldn't have rushed into the next one so quickly, a bit like gobbling down that second piece of cake. It's not quite as good as the first....more",Notes are private!,61,68,1,"Feb 16, 2024","Mar 09, 2024","Feb 16, 2024",,Kindle Edition,view (with text),/book/show/55457493-the-man-who-died-twice
