,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Nandakishore's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heaven & Earth Grocery Store,"McBride, James*",0593422945,9780593422946,0593422945,380        pp,4.08,"128,794","Aug 08, 2023","Aug 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/65678550-the-heaven-earth-grocery-store
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Absolution,"McDermott, Alice",0374610487,9780374610487,0374610487,324        pp,3.88,"12,759","Oct 31, 2023","Oct 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/101404407-absolution
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Quarterlife,"Rege, Devika",9356990875,9789356990876,B0C3N71JJW,424        pp,3.92,122,unknown,"Jun 25, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Kindle Edition,view,/book/show/142065993-quarterlife
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tom Lake,"Patchett, Ann",006332752X,9780063327528,006332752X,309        pp,4.04,"241,216","Aug 01, 2023","Aug 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/63241104-tom-lake
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Our Strangers: Stories,"Davis, Lydia",,9798987717103,B0C168BP6B,304        pp,4.01,404,"Oct 05, 2023","Oct 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/125346444-our-strangers
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Yellowface,"Kuang, R.F.*",,,,336        pp,3.80,"427,762","May 25, 2023","May 16, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/62047984-yellowface
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bee Sting,"Murray, Paul",0374600309,9780374600303,0374600309,656        pp,4.01,"31,944","Jun 08, 2023","Aug 15, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/62039166-the-bee-sting
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jerusalem: The Biography,"Montefiore, Simon Sebag*",0297852655,9780297852650,0297852655,752        pp,4.07,"11,362",2011,"Jan 27, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/9477628-jerusalem
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Red House Mystery,"Milne, A.A.",0486401294,9780486401294,0486401294,156        pp,3.68,"12,268",1922,"Nov 18, 2010",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"There is something about the cosy murder mysteries written by British authors at the beginning of the last century that makes them endearing. They areThere is something about the cosy murder mysteries written by British authors at the beginning of the last century that makes them endearing. They are intellectual puzzles, and we are shielded as much as possible from the gory details that accompany a real murder. The police are unimaginative dolts: the amateur sleuth is brilliant beyond comparison: and his sidekick is the biggest idiot one can find on the planet, useful only to show off his companion's super-size intellect. The mystery is usually very far-fetched, stretching the bounds of credibility. And when the detective finally comes up with the solution like the magician bringing the rabbit out of the hat, we are all suitably impressed by its simplicity.A. A. Milne, the much-loved creator of Winnie the Pooh, tries his hand at a cosy whodunit here. He carries off the atmosphere brilliantly - but his mystery is a terrible failure, being utterly illogical and improbable. In fact, the more you think about it, the more you are struck by its utter silliness.The story starts with the arrival of Robert, the long-lost brother of the country gent Mark Ablett. Robert is the black sheep of the family: Mark has let it become known to all his friends that he is not welcome. Promptly on arrival, the brothers lock themselves up in the office, have an argument, and a gunshot is heard. Robert is on the floor, shot to death, and Mark has disappeared with the revolver. Obviously, he must be the murderer.Mark's poor cousin Cayley (whom he has adopted) is the only witness to the brothers going into the library. However, parlourmaid Elsie has heard their altercation immediately preceding the gunshot. So it's a pretty problem. Why did Mark kill Robert? If he didn't, who did? Where is Mark? And what is Cayley hiding?The sleuth here is Mr. Antony Gillingham who arrives fortuitously immediately after the murder; and Bill Beverly, a house guest and Antony's friend, is the dumb sidekick. Whether you consider Antony brilliant is totally dependent upon the fact that whether you consider the whole judicial and law enforcement systems of England are as clueless as Milne makes them out to be. In the usual course events, the mystery would be solved the moment Inspector Birch sets the law machinery in motion, even without any brilliant deductions.An eminently readable, silly tale. Hence the two stars....more",Notes are private!,0,10,1,"Dec 17, 2023","Dec 24, 2023","Dec 24, 2023",,Paperback,view (with text),/book/show/1333202.The_Red_House_Mystery
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Swapnangal Neyyunna Penkutty,"Akhila, Dr.",9387331466,9789387331464,9387331466,80        pp,3.00,1,unknown,"Feb 18, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"ആധുനികതയും ഉത്തരാധുനികയും അപനിർമ്മിതിയും മറ്റും എന്തെന്നറിയാത്ത ഒരു സാധാരണ വായനക്കാരനാണ് ഞാൻ. എന്നെ സംബന്ധിച്ചിടത്തോളം കഥ എന്നു പറഞ്ഞാൽ പ്രധാനമായും കേആധുനികതയും ഉത്തരാധുനികയും അപനിർമ്മിതിയും മറ്റും എന്തെന്നറിയാത്ത ഒരു സാധാരണ വായനക്കാരനാണ് ഞാൻ. എന്നെ സംബന്ധിച്ചിടത്തോളം കഥ എന്നു പറഞ്ഞാൽ പ്രധാനമായും കേട്ടു രസിക്കാനുള്ളതാണ്. അതിൻ്റെ കൂടെ അതു നമ്മുടെ ചിന്താമണ്ഡലത്തെ പ്രകാശമാനമാക്കുകയും, ആസ്വാദന നിലവാരത്തെ ഉയർത്തുകയും ചെയ്യുന്നെങ്കിൽ നല്ലതു തന്നെ. പക്ഷെ ഇതൊന്നുമില്ലെങ്കിലും നല്ല കഥകൾ ഞാൻ കേട്ടിരിക്കും.""സ്വപ്നങ്ങൾ നെയ്യുന്ന പെൺകുട്ടി"" എന്ന പുസ്തകത്തിൽ അഖില കഥ പറയുകയാണ്. അത് കുട്ടികളെ പിടിച്ചു തിന്നുന്ന രാക്ഷസരെക്കുറിച്ചായിരിക്കാം; കുട്ടികളുടെ ദേഹത്തു കുടിയേറുന്ന ജമോഗ എന്ന പിശാചിനെക്കുറിച്ചായിരിക്കാം; വീട്ടുമുറ്റത്തെ ഒരു പേരത്തയ്യിനെക്കുറിച്ചായിരിക്കാം. നിങ്ങൾക്ക് കഥ കേൾക്കാം, ആസ്വദിക്കാം, മറക്കാം, അല്ലെങ്കിൽ മനസ്സിൽ കൊണ്ടുനടക്കാം. കഥ പറഞ്ഞിട്ട് കഥാകാരി പോകുന്നു, അടുത്ത കഥയിലേക്ക്.വാക്കുകൾ കൊണ്ടു തെരുവുസർക്കസ്സു നടത്തുന്ന ആധുനിക കഥകളുടെ കൂട്ടത്തിൽ ഇവ ശ്രദ്ധിക്കപ്പെട്ടില്ലെന്നു വരാം. എന്നാലും എന്നെപ്പോലെ ഒരു പഴഞ്ചന് ""പഴയ"" രീതിയിൽ എഴുതിയ മനുഷ്യകഥാനുഗായിയായ ഈ കഥകൾ ഇഷ്ടമായി. ഇതിനർത്ഥം ഈ സമാഹാരത്തിലെ എല്ലാ കഥകളും ഒരുപോലെ നല്ലതാണെന്നല്ല. ഗുണനിലവാരത്തിൽ നല്ല ഏറ്റക്കുറച്ചിലുകൾ ഉണ്ട്. എങ്കിലും മനുഷ്യനും മനുഷ്യനുമായ ബന്ധത്തിൻ്റെ ഈ ആഖ്യാനങ്ങൾക്ക് ഒരു ഊഷ്മളതയുണ്ട്, പാരായണസുഖമുണ്ട്.അഖില ഇനിയും ഇതുപോലെ കഥപറഞ്ഞുകൊണ്ടിരിക്കട്ടെ....more",Notes are private!,0,3,1,"Dec 22, 2023","Dec 22, 2023","Dec 22, 2023",,Paperback,view (with text),/book/show/101061990-swapnangal-neyyunna-penkutty
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Tartar Steppe,"Buzzati, Dino",1786891646,9781786891648,1786891646,288        pp,4.20,"31,007",1940,"Oct 04, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"We are all waiting for something in life; something that's just around the corner. It may be different things for different people: that dream job, thWe are all waiting for something in life; something that's just around the corner. It may be different things for different people: that dream job, that breakout novel, the perfect partner... but the expectation is the same. Something will come, and change our life; provide it with meaning.In Dino Buzzati's The Tartar Steppe, war is what the protagonist Giovanni Drogo is waiting for. Posted at Fort Bastiani at the northern frontier, he initially wants to escape what he sees as a dead-end to his career. He has ample options to do it, too. The army doctor can immediately declare him unsuitable for the post due to health reasons (a subterfuge everyone uses), or he can ask for a posting in the city after staying there for a minimum of two years. But as Drogo eases into the routine of the fort, he finds that it is impossible to leave. The humdrum routine of the fort, the meaningless sorties, the insane password system, and the elaborate patrolling rituals have a hypnotising effect on the young officer; and before he knows, he has become a fixture at the fort, like many others before him. Soon, it has become a prison as his life wends towards its unspeakable tragedy.Calling a novel ""Kafkaesque"" is fraught with peril, since only Kafka can be Kafka. Yet this novel approaches that standard. There is the same sense of unease and dread, as though we are caught in an absurd dream which will never end: yet the story has a logical thread and does not slip down into total absurdity as it does with Kafka. The reader feels that the author is telling you something profound - but what? That we can never put our finger on. The central theme, one feels, continuously slips away.The Tartar Steppe, stretching endlessly away from the fort beyond the mountains, is the real protagonist here. The soldiers keep on staring at it and find the enemy on it, sometimes real, sometimes imaginary. Two of them die totally unnecessarily. And the ritual of waiting goes on, consuming more and more lives in the process.Reading this book, I was constantly reminded of the short story Before the Law by Kafka: where the protagonist spends his entire life in front of a door, through which the doorkeeper will not let him enter. Ultimately, at the moment of his passing, he learns that the door will be closed for ever on his death: it was built only for him, and it has served its purpose.Perhaps our destiny is only to wait....more",Notes are private!,0,15,1,"Nov 22, 2023","Dec 11, 2023","Nov 22, 2023",,Paperback,view (with text),/book/show/42304903-the-tartar-steppe
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Living Thing,"Premkumar, Manu*",9392094760,9789392094767,B0CN7B2B8J,88        pp,4.00,1,unknown,"Nov 05, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"BlueI'm blue.My dark blue fingernailsdance on the fretboardas my voice, barely there,croons a whimsical tune.I'm blue.I've pictured standing with my fBlueI'm blue.My dark blue fingernailsdance on the fretboardas my voice, barely there,croons a whimsical tune.I'm blue.I've pictured standing with my feet in the oceanwatching the blue-black skytwinkle with the whispersof a million midnight wishes.I'm blue.The pleats on my navy blue skirthiding high school secretsand memories of a simpler time.I'm blue.The bright blue poster on my wallreminding me of the day I wore myblue superman teeto Comic-Conand peeked through the crowds,hoping for a glance.I'm blue.The hands of my watch tick-tockingin a dial supported by the blue strapsthat would hold my wrist,like I want to be held.I'm blue.Like the colour on the pads in adsbecause red would be outrageous.I'm blue.Like the colour of a baby boy's balloonbecause pink would be wrong.I'm blue.Like a frozen corpse kept from rotting,that is both dead and exists. This blue colour, which borders on black, is what permeates Manu Premkumar's poetry. It's not a walk in the park, but a deep dive into a pitch black cavern, where her songs flow like the river Styx. It's not coincidental, I feel, that she quotes Sylvia Plath at the beginning: ""I am terrified by this dark thing that sleeps within me"".This dark thing has claws. It lies in wait in a corner of the bedroom, confident that one's guard will drop sometime; and when it does, that will be the time to pounce. How to counter this demon? The poet, with a river of tears inside her yet unable to cry, is helpless.Inky room.Dark whispers.Claws at my throat.Shooting pains.Appalling whimpers.Oh! But I'm perfectly fine.Shuddery breaths.Lonely tears.Ominous dreams.Dark pains.Cataclysmic screams,Slicing through me.Deep breaths,Forlorn thoughts,Oozing blood.Losing love.Freezing or melting?Both I believe.In this chaos of nothingness,Clandestine screams ofsilence pierce my ears,Sobs of regret.Cynical breaths of agony,Desperate,Lonely,Understand me!And lo! A breath of fresh air,Inhale,Deeply,Oh! It is but a passing breeze,Gone again.Lost.Abandoned.Lonely,Night has come againScream. Is all lost? No... There is a ray of sunshine:In ink, I spill the darkness in my soul,for fear that without them, I'd lose control.I write of heartbreak, despair, and endless strife,of life's journey, both taken and left behind.To glimpse my truth, there's a key, a secret way,to open my eyes, see night bleed into day.Perhaps it's time to pause, reflect, and see,how far I've come, how love's light set me free.And one day, amid the verses, I'll find,the sunshine's warmth, a balm for my heart and mind.A day when, in my words, a hopeful smile,will grace my face and linger for a while. The poet does not write because she wants to; not even because she has to; but because she can't not write. It's these words that keep the darkness at bay, and the clawed demon from sinking its teeth into one's soul.***I have followed Manu for quite a long time now. She has grown from a scribbler to a rhymster to a poet, maturing amazingly fast as a writer. Her best work is yet to come. Here is a poet to watch out for!...more",Notes are private!,0,8,1,"Nov 05, 2023","Nov 06, 2023","Nov 08, 2023",,Paperback,view (with text),/book/show/201772200-the-last-living-thing
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Brushing Up The Years: A Cartoonist's History of India, 1947 to the Present","Laxman, R.K.",0143103660,9780143103660,0143103660,312        pp,4.46,173,2005,"Jan 16, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,9,1,"Sep 28, 2023","Sep 29, 2023","Sep 28, 2023",,Paperback,view,/book/show/6594491-brushing-up-the-years
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Black Water: The Anthology of Fantastic Literature,"Manguel, Alberto*",0330281410,9780330281416,0330281410,967        pp,4.34,555,1984,"Dec 02, 1991",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 24, 2023",,Paperback,view,/book/show/1329251.Black_Water
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,South,Lakghomi*,1459750810,9781459750814,1459750810,200        pp,3.60,255,"Sep 12, 2023","Sep 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 24, 2023",,Paperback,view,/book/show/62989759-south
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Murder on Malabar Hill        (Perveen Mistry #1),"Massey, Sujata*",0143428233,9780143428237,0143428233,440        pp,3.93,"28,941","Jan 09, 2018","Feb 09, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"If you are looking for a whodunit in the Agatha Christie mould - don't read this book. Of course there is a murder. Of course there is an investigatioIf you are looking for a whodunit in the Agatha Christie mould - don't read this book. Of course there is a murder. Of course there is an investigation. And of course, one of the suspects is marked out as the murderer.But there is no ""aha!"" moment. There are no red herrings. There is no detective with superhuman intelligence, pulling rabbits out of the hat and leaving us gasping.What we have is Perveen Mistry, a 23-year-old Parsi lawyer, struggling to make her mark in what is exclusively a man's world: the Bombay of 1921. Only the fact that her father (the famous barrister Jamshedji Mistry) is progressive and influential, allows her to practise at all. Even then, she has to contend with a society which won't allow a woman lawyer to argue cases in court. She has to be satisfied doing back office work for her dad. Apart from all this, Perveen is also coping with the after-effects of a disastrous marriage.In the midst of humdrum office work relating to petty cases and property disputes, murder suddenly erupts - and that too, in the posh environs of Malabar Hill. Faisal Mukri, the agent of the family of Omar Farid, a recently deceased businessman, is stabbed to death in his employer's bungalow. The only people in the bungalow at the time of his death are Mr. Farid's widows and their children. Since the women are 'purdanashins' - that is, Muslim women who observe total seclusion from men other than their husbands - Perveen is the obvious choice to talk to them, on behalf of their law firm, and the police. So she becomes the accidental sleuth.The novel is written in two timelines - 1921, the novel's ""present"", when the murder takes place; and 1916-17, when Perveen's marriage happens and unravels almost immediately. They are not uniformly woven with chapters alternating, however. The shifts back and forth in time happens haphazardly, giving the novel a jerky feel; and it feels somehow apt with the subjects the story tackles.The present talks in depth about Muslim personal law, especially the distribution property to Muslim widows, highlighting how heavily it is tilted towards the male of the species. In fact, the whole murder hinges on the nuances of this law. And in the flashback, the unfairness of Parsi personal law which makes it extremely difficult for a woman to get out of an unhappy marriage is highlighted. In fact, Perveen is as much a victim of a patriarchal society as the widows of Omar Farid.Here, the whodunit format is being used to highlight the historical injustices towards women and make valid social commentary. The mystery is not important, but the story is.Definitely worth a read....more",Notes are private!,0,32,1,"Sep 18, 2023","Sep 27, 2023","Sep 18, 2023",,Paperback,view (with text),/book/show/37819251-a-murder-on-malabar-hill
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Closely Watched Trains,"Hrabal, Bohumil",0241290228,9780241290224,0241290228,84        pp,3.75,"10,865",1965,2017,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Clocking in at 84 pages, this novelette by Bohumil Hrabal belongs to the light flyweight category. But boy, does it pack a punch!The story is told in Clocking in at 84 pages, this novelette by Bohumil Hrabal belongs to the light flyweight category. But boy, does it pack a punch!The story is told in first person by twenty-two-year-old Milos Hrma, a trainee dispatcher at a sleepy little railway station in Czechoslovakia at the fag end of World War II. Germans have already lost control of the air space, and they are halfway en route to losing the battle on the ground too. Milos is tasked with flagging of trains carrying soldiers, goods, ammunition and cattle to the war front - and those returning with the wounded and the dead. He is a virgin who suffered an erectile dysfunction while trying to copulate with his cousin Masha and subsequently attempted suicide - his main worry, in the midst of war, is getting laid.The book is populated with weird characters. Milos's grandfather who tries to stop the Germans using hypnotism and gets crushed under a tank: the station master Lansky with his fetish for breeding pigeons: his wife who takes pleasure in the slow slaughter of rabbits: Dispatcher Hubicka who stamps the backside of the station telegraph operator Virginia with the station stamps, as forfeit for losing a game... The novel here straddles a fine line between black comedy and the absurd. But soon it gathers focus, as the visions get more and more disturbing (the descriptions of maimed cattle are especially distressing to read) and we can sense tragedy approaching.The trains carrying ammunition to the front are the ones which have to be closely watched, to prevent sabotage. Ironically, the author forces us to watch all the trains closely, and all the misery and destruction they carry. Milos's initial sexual frustration evokes a sense of stasis, so his ultimate success to prove himself a man, when it comes linked to mass destruction, seems a fitting denouement: he loses his virginity and with it, himself. The ending is almost unspeakably cruel - yet somehow appropriate. This story can only end in this way.Now I need to watch the film based on this book!...more",Notes are private!,2,25,1,"Sep 16, 2023","Sep 17, 2023","Sep 16, 2023",,Paperback,view (with text),/book/show/198273298-closely-watched-trains
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,വിഗതാക്ഷരങ്ങൾ: വഴി വിട്ടു സഞ്ചരിച്ച കഥകൾ,Nandakishore,,9789390751617,,368        pp,0.00,0,unknown,"Sep 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I am not rating this book - I don't believe that one can be 100% objective about what one writes. Yes, this book is by yours truly.It happened during I am not rating this book - I don't believe that one can be 100% objective about what one writes. Yes, this book is by yours truly.It happened during the Covid lockdown. Sitting idle with my phone in my hand, and browsing FB, I suddenly had the idea of writing a story. A truly short story, 150-200 words in length, and posting it on my wall.I did. I shared it also on WhatsApp with friends. A few people commented. And that was it.Except it was not. For the next day, I wrote another story.And another. And another. And another...This went on for a whole year. 365 days!The stories took on a life of their own. They were discussed, debated, criticised. Widely shared on social media, they went places.Now here they are, collected in a book, my itsy-bitsy tales. Enjoy!...more",Notes are private!,5,18,1,not set,not set,"Sep 12, 2023",,Paperback,view (with text),/book/show/198960150
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Little World Of Don Camillo,"Guareschi, Giovannino",0140017976,9780140017977,0140017976,160        pp,4.21,"3,896",Mar 1948,"May 28, 1979",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Before I start on the  of this book, let me talk about the little world of my childhood.I come from Kerala, a tiny state at the very bottom of tBefore I start on the  of this book, let me talk about the little world of my childhood.I come from Kerala, a tiny state at the very bottom of the Indian subcontinent. In our state, communism is still very much alive; so also is religion. You will find many communists on the organising committees of temple festivals. Stalin and Siva are worshipped with equal fervour.During my childhood (when we were all more of social animals, and society did not begin and end with social media), fierce arguments were common between the traditionalists and the communists, often culminating in fisticuffs. These hardy souls believed more in the efficacy of physical persuasion than the nuances of decent debate. But it didn't affect most friendships - the day after the fight, you'd find the adversaries walking hand in hand on the temple premises, munching on peanuts.This atmosphere of tolerant intolerance - now lost for ever in a deeply polarised world - I encountered again, in The Little World of Don Camillo, set in a small town on the banks of the Po River in post World War II Italy. Don Camillo, the pugnacious priest of the local church, who is not above using his fists to emphasise a spiritual viewpoint, is pitted against Peppone, the communist mayor and his loyal followers (who religiously attend the church, BTW). The battle between the church and the state goes on perennially in this small corner of Europe; moderated ably by Jesus Christ from the cross, who talks directly to Don Camillo.This is a collection of loosely connected stories. The satire is mild and the humour is underplayed, which makes it all the more enjoyable. But it's not all fun and games - there is violence (even a murder) and poignant thoughts about the human condition. You don't guffaw while reading these little gems; a thoughtful smile is the maximum you can expect.These handful of tales from a total of 347 that the author wrote (as per Wikipedia) has whetted my appetite for more....more",Notes are private!,1,12,1,"Aug 16, 2023","Aug 18, 2023","Aug 18, 2023",,Paperback,view (with text),/book/show/950015.The_Little_World_Of_Don_Camillo
