,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Sara's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Na zemlji smo nakratko predivni,"Vuong, Ocean",,9789532593013,,256        pp,4.04,"299,647","Jun 04, 2019",Sep 2020,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Poezija u prozi. Sjajno. Istovremeno i bolno i iskreno, ni malo patetično. Hrabro i otvoreno.",Notes are private!,0,6,1,"Feb 08, 2022","Feb 13, 2022","Feb 08, 2022",,Hardcover,view (with text),/book/show/55781720-na-zemlji-smo-nakratko-predivni
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pročišćenje,"Miller, Andrew",9531415692,9789531415699,9531415692,329        pp,3.59,"10,061",2011,2014,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Solidan roman koji kombinira stvarne povijesne događaje i fikciju, u razdoblju pred Francusku revoluciju. Nedostajalo mi je ono nešto u knjizi da uži Solidan roman koji kombinira stvarne povijesne događaje i fikciju, u razdoblju pred Francusku revoluciju. Nedostajalo mi je ono nešto u knjizi da uživam do kraja. Ne mogu tvrditi da je ovo loš roman, ali nedostaje to nešto , mogao bi biti i puno bolji....more",Notes are private!,0,4,1,"Feb 02, 2022","Mar 29, 2022","Feb 02, 2022",,Paperback,view (with text),/book/show/23455131-pro-i-enje
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stoneov sunovrat,"Pears, Iain",,9789533161693,,556        pp,3.87,"8,512","May 05, 2009",Apr 2013,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Vrlo detaljna i kompleksna, ova knjiga je triler koji vodi na putovanje kroz Pariz, London i Veneciju, na putovanje koje traje više od 500 stranica i Vrlo detaljna i kompleksna, ova knjiga je triler koji vodi na putovanje kroz Pariz, London i Veneciju, na putovanje koje traje više od 500 stranica i nosi sa sobom toliko toga. Od financijskih malverzacija i spletki do obiteljskih tajni. Ima stranica bez kojih bi roman i dalje dobro funkcionirao, onih kroz koje se malo teže probija i koje umaraju, ali zanemarit ću, zbog sveukupnog dojma. ...more",Notes are private!,0,2,1,"Jan 12, 2022","Feb 02, 2022","Jan 12, 2022",,Hardcover,view (with text),/book/show/31685660-stoneov-sunovrat
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bolna točka,"Haddon, Mark",,9789533160207,,415        pp,3.49,"36,277",2006,2010,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Plitki , emocionalno nezreli , dosadni, ali zaista dosadni i ni malo zanimljivi likovi. Njihova razmišljanja i odluke djeluju kao odluke male djece, tPlitki , emocionalno nezreli , dosadni, ali zaista dosadni i ni malo zanimljivi likovi. Njihova razmišljanja i odluke djeluju kao odluke male djece, teško je uopće vezati se za bilo koji od glavnih likova u romanu. Sve mi je djelovalo nekako loše. Razgovori neuvjerljivi , ništa nije uvjerljivo niti smisleno, čak ni duhovito, a vidi se koliko je autor forsirao upravo to. ...more",Notes are private!,0,3,1,"Dec 18, 2021","Dec 20, 2021","Dec 18, 2021",,Hardcover,view (with text),/book/show/15839364-bolna-to-ka
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lužinova obrana,"Nabokov, Vladimir",9532860746,9789532860740,9532860746,200        pp,3.95,"13,783",1929,Oct 2011,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Nabokov majstorski ulazi u glavu genijalca, usamljene osobe, fanatika, osobe koja je neshvaćena, možda čak i pomalo autistična. Nabokov te navodi da sNabokov majstorski ulazi u glavu genijalca, usamljene osobe, fanatika, osobe koja je neshvaćena, možda čak i pomalo autistična. Nabokov te navodi da suosjećaš i razumiješ i zavoliš glavnog lika, šahovskog genijalca Lužina. ...more",Notes are private!,0,6,1,"Dec 03, 2021","Dec 12, 2021","Dec 03, 2021",,Paperback,view (with text),/book/show/13540254-lu-inova-obrana
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Doba nevinosti,"Wharton, Edith",9536473151,9789536473151,,316        pp,3.97,"174,484",Oct 1920,1996,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Zapravo se malo toga promijenilo od vremena kad je knjiga nastala pa sve do danas. Bogataši su i dalje bogataši, nedodirljivi u svojim životima, uz hrZapravo se malo toga promijenilo od vremena kad je knjiga nastala pa sve do danas. Bogataši su i dalje bogataši, nedodirljivi u svojim životima, uz hrpu lažnog morala i dosade. Također , dvostruka mjerila i dalje postoje. Što je normalno za muškarca , često nije na ženu. Stilski vrlo lijepo napisano, ali na momente nisam mogla izdržati tu silnu pretjeranu dramu nastale iz dosade tih uštogljenih života i pravila. ...more",Notes are private!,0,2,1,"Nov 22, 2021","Dec 03, 2021","Nov 22, 2021",,Paperback,view (with text),/book/show/13609745-doba-nevinosti
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tuga je pernato stvorenje,"Porter, Max",,9788664571715,,130        pp,3.83,"42,018","Sep 17, 2015",Mar 2018,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ovo je knjiga proze i poezije. Čudna kombinacija svega i svačega i isto tako ničega. Ova knjiga je kaos, bolje riječi za to trenutno nemam. Ali kaos jOvo je knjiga proze i poezije. Čudna kombinacija svega i svačega i isto tako ničega. Ova knjiga je kaos, bolje riječi za to trenutno nemam. Ali kaos je i tuga zbog smrti voljene osobe, a upravo se o tome ovdje radi. Rečenice su tada nepovezane, ljudi su u magli i suvišni. Lišeno patetike. Uz snove i psovke i još ponešto. I uz jednu vranu, oca i dvoje djece....more",Notes are private!,0,5,1,"Nov 15, 2021","Dec 14, 2021","Nov 15, 2021",,Paperback,view (with text),/book/show/39328861-tuga-je-pernato-stvorenje
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Moja voljena žena,"Downing, Samantha*",,9789531426626,,390        pp,3.84,"142,575","Mar 26, 2019",Jan 2020,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Oprostit ću neke nedostatke, čak i predvidljivost likova i razvoja situacije. Vrlo dobar roman , jedan od boljih ovoga žanra koji sam pročitala u zadnOprostit ću neke nedostatke, čak i predvidljivost likova i razvoja situacije. Vrlo dobar roman , jedan od boljih ovoga žanra koji sam pročitala u zadnje vrijeme. Brza radnja jednostavno te tjera da čitaš dalje , što je za mene vrlo važno kad se radi o ovakvom tipu romana....more",Notes are private!,0,4,1,"Nov 04, 2021","Nov 15, 2021","Nov 04, 2021",,Paperback,view (with text),/book/show/50550592-moja-voljena-ena
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mona Lisa: A Life Discovered,"Hales, Dianne*",1451658966,9781451658965,1451658966,336        pp,3.56,559,"Aug 01, 2014","Aug 05, 2014",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ovaj mi je roman zadao toliko muka, do samog kraja tražila sam ono nešto što će me oduševiti , davala nove prilike, ali ništa od toga. Puno je tu podaOvaj mi je roman zadao toliko muka, do samog kraja tražila sam ono nešto što će me oduševiti , davala nove prilike, ali ništa od toga. Puno je tu podataka. Od povijesti Firence i povijesnih previranja, bogataških i plemićkih obitelji , politike i gospodarstva, trgovine do Leonarda Da Vincija. Sve su to vrlo zanimljivi događaji , zaista jesu, ali spisateljica je eto uspjela stvoriti jednu vrlo dosadnu i suhoparnu knjigu, bez puno emocija. Iako se vidi da je uložila puno vremena i truda za svoje istraživanje, pročitala brojne podatke onoga vremena i pričala sa vrhunskim stručnjacima, potrebno je puno više od pukog nizanja podataka i događaja da bi knjiga bila dobra. ...more",Notes are private!,0,4,1,"Oct 04, 2021","Nov 04, 2021","Oct 04, 2021",,Hardcover,view (with text),/book/show/18775443-mona-lisa
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Besmrtni život Henriette Lacks,"Skloot, Rebecca*",9531409722,9789531409728,9531409722,352        pp,4.12,"735,158","Feb 02, 2010",2011,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Jedna od boljih knjiga koje sam pročitala u zadnje vrijeme. Nevjerojatno je koliko znanost duguje Henrietti Lacks, a koliko malo ljudi u svijetu (ovdjJedna od boljih knjiga koje sam pročitala u zadnje vrijeme. Nevjerojatno je koliko znanost duguje Henrietti Lacks, a koliko malo ljudi u svijetu (ovdje spadam i ja, prije čitanja ove knjige) uopće zna za nju i što joj se dogodilo. Ne samo da knjiga priča priču o životu ove žene i njezine obitelji , nego postavlja i vrlo važna moralna pitanja. Da se čovjek zapita, zaista....more",Notes are private!,0,4,1,"Sep 12, 2021","Oct 04, 2021","Sep 12, 2021",,Hardcover,view (with text),/book/show/22635118-besmrtni-ivot-henriette-lacks
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kupi mi kupine,"Misirlic, Amir",,9789958414626,,190        pp,3.00,6,2012,2012,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Danas pročitala ovu knjigu, sutra ću je zaboraviti.",Notes are private!,0,5,1,"Jul 29, 2021","Sep 12, 2021","Jul 29, 2021",,Paperback,view (with text),/book/show/26063129-kupi-mi-kupine
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vječne ratnice,"Boianjiu, Shani",,9789533246895,,244        pp,3.20,"2,487",2012,Oct 2012,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ova me knjiga iscrpila do maksimuma. Stil pisanja , glavni likovi, ništa mi nije sjelo. Autorica piše u prvom licu, trećem licu, ima tu svega i onda uOva me knjiga iscrpila do maksimuma. Stil pisanja , glavni likovi, ništa mi nije sjelo. Autorica piše u prvom licu, trećem licu, ima tu svega i onda u jednom trenutku više ne znaš o kome i čemu zapravo čitaš niti što je sa time uopće željela postići. Već dugo nisam naišla na knjigu čiji me stil toliko umarao. Natjerala sam se pročitati do kraja, tema je zapravo sjajna i uvijek aktualna. Tri glavna lika, tri najbolje prijateljice i njihovi dani u vojsci i nakon nje, ali uz pisanje likovi mi također nisu sjeli. Umjesto suosjećanja djelovale su mi odbojno. ...more",Notes are private!,0,4,1,"Jul 12, 2021","Aug 22, 2021","Jul 12, 2021",,Paperback,view (with text),/book/show/21396033-vje-ne-ratnice
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Povijest čovječanstva,"Aydon, Cyril",,9789533245096,,390        pp,3.91,314,2007,Jan 2012,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"150 000 godina ljudske povijesti u jednoj knjizi. Od najranijih dana, početka ljudske civilizacije, do našeg doba.",Notes are private!,0,9,1,"Jun 12, 2021","Jul 12, 2021","Jun 12, 2021",,Paperback,view (with text),/book/show/22594756-povijest-ovje-anstva
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ogled o sljepoći,"Saramago, José",9536041995,,,293        pp,4.17,"289,758",1995,1999,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"“Inside us there is something that has no name, that something is what we are.”",Notes are private!,0,4,1,"May 14, 2021","Jun 12, 2021","May 14, 2021",,Paperback,view (with text),/book/show/6370006-ogled-o-sljepo-i
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pustinjak,"Rydahl, Thomas",,9789533431925,,460        pp,3.06,814,"Sep 26, 2014",2015,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ovaj roman obećava puno na samom početku. Sjajni opisi, atmosfera otoka i njegovih stanovnika, glavni lik, pomalo neobičan čovjek i njegova opsesija sOvaj roman obećava puno na samom početku. Sjajni opisi, atmosfera otoka i njegovih stanovnika, glavni lik, pomalo neobičan čovjek i njegova opsesija s djetetom koje je pronađeno mrtvo na plaži, zvuči kao recept za vrhunski triler. Situacija se mijenja kako roman ide prema kraju. Vrlo predvidljiv kraj sa velikim brojem nelogičnosti za mene je pokvario sve. ...more",Notes are private!,0,3,1,"May 02, 2021","May 14, 2021","May 02, 2021",,Hardcover,view (with text),/book/show/27202808-pustinjak
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kockar,"Dostoevsky, Fyodor",8676742774,9788676742776,8688003718,188        pp,3.91,"91,369","Mar 10, 1866","Jan 01, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ovo je sjajan prikaz jednog mladog, obrazovanog čovjeka, ruskog učitelja koji gubi sve, svoj status, život, pa i ženu koju voli i ljude oko njega zbogOvo je sjajan prikaz jednog mladog, obrazovanog čovjeka, ruskog učitelja koji gubi sve, svoj status, život, pa i ženu koju voli i ljude oko njega zbog ovisnosti o kocki. Osim glavnog lika, u romanu se pojavljuju i ostali životopisni likovi, od žene koja traži bogatog muža za udaju, preko kamatara, do bogatih plemića. Nedostaje mi barem još stotinjak stranica više da bi roman bio potpun, na nekim mjestima se sve jednostavno prebrzo odvija. ...more",Notes are private!,0,14,1,"Apr 30, 2021","Jul 29, 2021","Apr 30, 2021",,Paperback,view (with text),/book/show/48843078-kockar
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Šaptač,"North, Alex*",9789535201,9789535201670,,321        pp,4.03,"163,595","Jun 13, 2019",Jul 2019,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Vrlo dobar triler, jedan od onih koji te tjeraju da čitaš dalje, budi u tebi znatiželju što će se dogoditi na kraju. Brz i dinamičan, sa odličnim likoVrlo dobar triler, jedan od onih koji te tjeraju da čitaš dalje, budi u tebi znatiželju što će se dogoditi na kraju. Brz i dinamičan, sa odličnim likovima. Ipak nedostajalo mi je nešto. Rasplet se dogodio u svega nekoliko stranica, nedostajalo mi je tu još malo dinamike i ideje. Ipak, za ljubitelje trilera, moja preporuka....more",Notes are private!,0,13,1,"Apr 22, 2021","Apr 30, 2021","Apr 22, 2021",,Paperback,view (with text),/book/show/51372757-apta
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blago u Srebrnom jezeru,"May, Karl",,,,unknown,4.06,"2,746",1891,1981,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Knjiga koja ne traži puno od čitatelja , osim da s njom putuje kroz Divlji zapad. Uz sve što se događa u zadnje vrijeme, zapravo sam i tražila nešto tKnjiga koja ne traži puno od čitatelja , osim da s njom putuje kroz Divlji zapad. Uz sve što se događa u zadnje vrijeme, zapravo sam i tražila nešto takvo lagano. Ima tu mana, ali na stranu sve to, dobra knjiga za opustiti se nakon napornog dana. ...more",Notes are private!,0,1,1,"Mar 17, 2021","Apr 22, 2021","Mar 17, 2021",,Hardcover,view (with text),/book/show/23815430-blago-u-srebrnom-jezeru
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pustolovine Sherlocka Holmesa: Krivotvoritelji,"Doyle, Arthur Conan",,,,189        pp,3.82,49,unknown,2015,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Moj prvi susret sa poznatim detektivom, barem što se romana tiče. Arthur Conan Doyle stvorio je lik kojega vrijeme nikada neće pregaziti i koji će jošMoj prvi susret sa poznatim detektivom, barem što se romana tiče. Arthur Conan Doyle stvorio je lik kojega vrijeme nikada neće pregaziti i koji će još dugo privlačiti čitatelje....more",Notes are private!,0,6,1,Mar 2021,"Mar 17, 2021","Mar 01, 2021",,Paperback,view (with text),/book/show/25932190-pustolovine-sherlocka-holmesa
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tisuću i jedna noć,"Gaugler, Almut",,9789531407410,,736        pp,4.11,9,unknown,2010,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ova verzija Tisuću i jedne noći, u izdanju Mozaik knjige nije cjelovita verzija, već sadrži nekoliko odabranih priča . Za nas koji nismo previše sklonOva verzija Tisuću i jedne noći, u izdanju Mozaik knjige nije cjelovita verzija, već sadrži nekoliko odabranih priča . Za nas koji nismo previše skloni formi kratkih priča, a nismo baš ni skloni borbi sa originalnom verzijom, ovo je sasvim solidna opcija, tek toliko da se dobije dojam. Na momente su mi čak i ovih nekoliko priča bile previše predvidljive i naporne, čisto sumnjam da bi imala volje i snage pročitati original....more",Notes are private!,0,0,1,Feb 2021,"Feb 11, 2021","Feb 01, 2021",,Hardcover,view (with text),/book/show/30129533-tisu-u-i-jedna-no
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pisanje na drogama,"Plant, Sadie",953682535X,,,284        pp,3.99,188,1999,2004,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Droge su, priznali mi to ili ne , utjecale na brojne pisce kroz povijest. Od Alise u zemlji čudesa i Neobičnog slučaja dr. Jekylla i gospodina Hydea  Droge su, priznali mi to ili ne , utjecale na brojne pisce kroz povijest. Od Alise u zemlji čudesa i Neobičnog slučaja dr. Jekylla i gospodina Hydea pa sve do Straha i prezira u Las Vegasu , od pisaca s istoka do pisaca na zapadu. Sadie Plant sve ih je okupila na jednom mjestu i napisala odličnu knjigu na ovu temu. ...more",Notes are private!,0,12,1,"Jan 18, 2021",Feb 2021,"Jan 18, 2021",,Paperback,view (with text),/book/show/40128230-pisanje-na-drogama
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Oblik života,"Nothomb, Amélie",,9789532860788,,128        pp,3.53,"3,462","Aug 18, 2010",2012,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Roman napisan u formi pisma koja pišu spisateljica i jedan njezin obožavatelj, vojnik koji se nalazi u Iraku donosi puno neobičnosti i sjajnih razmišlRoman napisan u formi pisma koja pišu spisateljica i jedan njezin obožavatelj, vojnik koji se nalazi u Iraku donosi puno neobičnosti i sjajnih razmišljanja u vrlo malom formatu ( nešto više od stotinjak stranica). Sve ide sjajno, postoji čak i jedan vrlo neočekivan preokret, ali kraj. Kraj je vrlo loše odrađen, kao da je ispao iz nekog sasvim drugog romana....more",Notes are private!,0,3,1,"Dec 09, 2020","Dec 14, 2020","Dec 09, 2020",,Paperback,view (with text),/book/show/16282157-oblik-ivota
