,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Adam's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blackouts,"Torres, Justin*",0374293570,9780374293574,0374293570,306        pp,3.81,"5,176","Oct 10, 2023","Oct 10, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Bold, wild, experimental, brilliant - a total departure for Torres, whose last novel I loved, but also an incredible creative leap forward",Notes are private!,0,39,1,not set,"Aug 07, 2023","Aug 07, 2023",,Hardcover,view (with text),/book/show/65215321-blackouts
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Our Strangers: Stories,"Davis, Lydia",,9798987717103,B0C168BP6B,304        pp,4.01,404,"Oct 05, 2023","Oct 01, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Love Lydia Davis, loved this, love the way it's only available in locals.Love Lydia Davis, loved this, love the way it's only available in locals....more",Notes are private!,0,27,1,not set,"Jul 29, 2023","Jul 29, 2023",,Hardcover,view (with text),/book/show/125346444-our-strangers
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tremor,"Cole, Teju",0812997115,9780812997118,0812997115,256        pp,3.72,"1,245","Oct 17, 2023","Oct 17, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Astonishingly brilliant and beautiful, with a structure that kept surprising me",Notes are private!,0,53,1,not set,"Jul 28, 2023","Jul 28, 2023",,Hardcover,view (with text),/book/show/125515966-tremor
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Land of Milk and Honey,"Zhang, C Pam*",0593538242,9780593538241,0593538242,240        pp,3.57,"12,005","Sep 26, 2023","Sep 26, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Creative, frightening, beautiful sentences, and made me very, very hungry",Notes are private!,1,114,1,not set,"Jul 26, 2023","Jul 26, 2023",,Hardcover,view (with text),/book/show/101673225-land-of-milk-and-honey
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,An Elemental Thing,"Weinberger, Eliot",0811216942,9780811216944,0811216942,194        pp,4.28,978,2007,2007,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The kind of book that feels much bigger than it is - it's impossible to understand exactly how Weinberger does it, what is invented and what isn't, hoThe kind of book that feels much bigger than it is - it's impossible to understand exactly how Weinberger does it, what is invented and what isn't, how he can know so much....more",Notes are private!,0,35,1,not set,"Jun 29, 2023","Jun 29, 2023",,Paperback,view (with text),/book/show/753801.An_Elemental_Thing
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Roving Shadows,"Quignard, Pascal",0857420097,9780857420091,0857420097,240        pp,3.85,319,"Aug 28, 2002","Jun 15, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Stunning, evocative, and mysterious - flew through it. Sort of a combination of aphorisms, philosophy, lists, and flash stories.",Notes are private!,0,24,1,not set,"Jun 27, 2023","Jun 27, 2023",,Hardcover,view (with text),/book/show/11929640-the-roving-shadows
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The MANIAC,"Labatut, Benjamín",0593654471,9780593654477,,368        pp,4.36,"7,954","Oct 03, 2023","Oct 03, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Brilliant, with a stunning last 70 pages that are some of the best writing of games that I've ever read.Update: I profiled Labatut for Lit Hub: https:Brilliant, with a stunning last 70 pages that are some of the best writing of games that I've ever read.Update: I profiled Labatut for Lit Hub: https://lithub.com/benjamin-labatut-w......more",Notes are private!,2,80,1,not set,"Jun 23, 2023","Jun 23, 2023",,Hardcover,view (with text),/book/show/75665931-the-maniac
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Late Americans,"Taylor, Brandon",0593332334,9780593332337,0593332334,303        pp,3.42,"5,888","May 23, 2023","May 23, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Loved the book - and loved talking to the author about it for Guernica Mag: https://www.guernicamag.com/brandon-t...Loved the book - and loved talking to the author about it for Guernica Mag: https://www.guernicamag.com/brandon-t......more,Notes are private!,0,20,1,not set,"Jun 12, 2023","Jun 12, 2023",,Hardcover,view (with text),/book/show/62092265-the-late-americans
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vengeance Is Mine,"NDiaye, Marie",0593534255,9780593534250,B0BSKQ7W4C,241        pp,2.88,"1,282",2021,"Oct 17, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Stark, elliptical, fascinating little book, with echos of SAINT OMER, which NDiaye co-wrote.I had the pleasure of discussing this book with NDiaye - tStark, elliptical, fascinating little book, with echos of SAINT OMER, which NDiaye co-wrote.I had the pleasure of discussing this book with NDiaye - the transcript is here: https://wordswithoutborders.org/read/......more",Notes are private!,0,46,1,not set,"May 28, 2023","May 28, 2023",,Kindle Edition,view (with text),/book/show/112974898-vengeance-is-mine
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,August Blue,"Levy, Deborah",,,,208        pp,3.68,"4,950","May 04, 2023","Jun 06, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ripped through it, and loved every minute. Strange, dreamy, beautiful, and funny - very much the Levy of the writing journals.",Notes are private!,0,39,1,not set,"May 26, 2023","May 26, 2023",,Hardcover,view (with text),/book/show/62039277-august-blue
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Brief History of Living Forever,"Kalfar, Jaroslav*",0316463183,9780316463188,0316463183,320        pp,3.54,498,"Mar 28, 2023","Mar 28, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I had the pleasure of launching this novel at Powerhouse books - fascinating, ambitious, and, as with Spaceman of Bohemia, beautifully written",Notes are private!,0,17,1,not set,"May 17, 2023","May 17, 2023",,Hardcover,view (with text),/book/show/55867883-a-brief-history-of-living-forever
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fragments,Heraclitus,0142437654,9780142437650,0142437654,97        pp,4.18,"7,074",-500,"Oct 28, 2003",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Impossible to rate this in any tangible way, but it's remarkably prescientImpossible to rate this in any tangible way, but it's remarkably prescient...more",Notes are private!,0,18,1,not set,"May 17, 2023","May 17, 2023",,Paperback,view (with text),/book/show/134891.Fragments
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Early Greek Thinking: The Dawn of Western Philosophy,"Heidegger, Martin",0060638427,9780060638429,0060638427,144        pp,4.25,126,1975,1985,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Sometimes fascinating, occasionally troubling, and frustratingly difficult.",Notes are private!,0,12,1,not set,"May 17, 2023","May 17, 2023",,Paperback,view (with text),/book/show/1185245.Early_Greek_Thinking
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Enter Ghost,"Hammad, Isabella*",080216238X,9780802162380,080216238X,336        pp,4.08,"2,097","Apr 04, 2023","Apr 04, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Brilliant book, beautifully written, a bit like DRIVE MY CAR, in Palestine, with Hamlet. What could be better?",Notes are private!,0,77,1,not set,"May 04, 2023","May 04, 2023",,Hardcover,view (with text),/book/show/59725231-enter-ghost
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Storyteller Essays,"Benjamin, Walter",168137059X,9781681370590,,unknown,3.65,510,"May 01, 2016","Mar 01, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Benjamin is magnificent - these little aphoristic pieces are not my favorites of his work, but they contain some wonderful nuggets of brilliance, and Benjamin is magnificent - these little aphoristic pieces are not my favorites of his work, but they contain some wonderful nuggets of brilliance, and are fascinating as literary criticism....more",Notes are private!,0,22,1,not set,"Jan 08, 2023","Jan 08, 2023",,ebook,view (with text),/book/show/44676461-the-storyteller-essays
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Write an Autobiographical Novel,"Chee, Alexander*",1328764524,9781328764522,1328764524,277        pp,4.40,"11,087","Apr 17, 2018","Apr 17, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I read this preparing for a craft talk, so I really should have been focusing on the 3 pieces most centered on writing autobiographical fiction, but tI read this preparing for a craft talk, so I really should have been focusing on the 3 pieces most centered on writing autobiographical fiction, but the power of this ranging essay collection is such that I read the whole thing, slowly, savoring every word, and now I am very happy to have read it and very late in finishing my craft talk....more",Notes are private!,0,31,1,not set,"Jan 08, 2023","Jan 08, 2023",,Paperback,view (with text),/book/show/35721123-how-to-write-an-autobiographical-novel
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Aesthetica,"Rowbottom, Allie*",1641294000,9781641294003,1641294000,264        pp,3.37,"3,949","Nov 22, 2022","Nov 22, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Punchy, intense, wonderfully written, and very now, in the best sense of the word.",Notes are private!,0,37,1,not set,"Sep 07, 2022","Sep 07, 2022",,Hardcover,view (with text),/book/show/60291217-aesthetica
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ducks: Two Years in the Oil Sands,"Beaton, Kate",1770462899,9781770462892,1770462899,430        pp,4.42,"26,371","Sep 13, 2022","Sep 13, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Quite terrific, often beautiful, and sometimes harrowing graphic memoir about a 22 year old Beaton’s work in Alberta’s oil boom. Genuinely couldn’t puQuite terrific, often beautiful, and sometimes harrowing graphic memoir about a 22 year old Beaton’s work in Alberta’s oil boom. Genuinely couldn’t put it down until I finished. It took up a whole morning of my life. The stories in this book are often upsetting and deal with trauma head on, but Beaton's humor and art strike a necessary balance. I've always liked her work - this is on another level....more",Notes are private!,0,140,1,not set,"Aug 28, 2022","Aug 28, 2022",,Hardcover,view (with text),/book/show/59069071-ducks
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sojourn,"Chaudhuri, Amit",057136036X,9780571360369,,unknown,3.26,365,"Aug 25, 2022","Aug 23, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I quite liked this oblique, melancholy little novel of displacement. It never quite catches fire, but the 125 pages fly by and the writing is lovely tI quite liked this oblique, melancholy little novel of displacement. It never quite catches fire, but the 125 pages fly by and the writing is lovely throughout ...more",Notes are private!,0,51,1,not set,"Aug 24, 2022","Aug 24, 2022",,ebook,view (with text),/book/show/59733533-sojourn
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Combats et métamorphoses d'une femme,"Louis, Édouard",,9782021312546,2021312542,128        pp,4.11,"7,652","Apr 01, 2021","Apr 01, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A moving, compact, honest little book, with shades of Barthes and Handke, about the author's memoir. Louis's project remains fascinating.A moving, compact, honest little book, with shades of Barthes and Handke, about the author's memoir. Louis's project remains fascinating....more",Notes are private!,0,26,1,not set,"Aug 13, 2022","Aug 13, 2022",,Paperback,view (with text),/book/show/57299134-combats-et-m-tamorphoses-d-une-femme
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rabbit Hutch,"Gunty, Tess",,,,352        pp,3.52,"27,403","Jul 21, 2022","Aug 02, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Bold, stylish, and dark - kept on shifting forms, and somehow, kept sticking the landing.",Notes are private!,0,95,1,not set,"Aug 12, 2022","Aug 12, 2022",,Hardcover,view (with text),/book/show/59576076-the-rabbit-hutch
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bliss Montage,"Ma, Ling*",0374293511,9780374293512,0374293511,228        pp,3.92,"17,094","Sep 13, 2022","Sep 13, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Very very good, with two GREAT stories: The cerebral Peking Duck, and the extraordinary Returning. These stories thrum with oddities and surprises, slVery very good, with two GREAT stories: The cerebral Peking Duck, and the extraordinary Returning. These stories thrum with oddities and surprises, slightly uneven in the manner of a first collection, and further evidence that SEVERANCE was the start of something important. ...more",Notes are private!,0,88,1,not set,not set,"Aug 06, 2022",,Hardcover,view (with text),/book/show/60243188-bliss-montage
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dead-End Memories: Stories,"Yoshimoto, Banana",1640093699,9781640093690,1640093699,240        pp,3.89,"5,626",2003,"Aug 09, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"it's a really beautiful, weird story collection and I'm sad I've never read her before! The stories move in surprising ways, and the gentle touch withit's a really beautiful, weird story collection and I'm sad I've never read her before! The stories move in surprising ways, and the gentle touch with everything from ghosts to poisoning to abuse is remarkable. ...more",Notes are private!,0,76,1,not set,not set,"Jul 23, 2022",,Hardcover,view (with text),/book/show/59892213-dead-end-memories
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Linea Nigra,"Barrera, Jazmina",1949641309,9781949641301,1949641309,184        pp,4.31,"1,716",2020,"May 10, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I dug this cerebral, intense, sometimes funny, often interesting memoir-in-collage about the author's experience with pregnancy, childbirth, and the fI dug this cerebral, intense, sometimes funny, often interesting memoir-in-collage about the author's experience with pregnancy, childbirth, and the first months of maternity. As with many collage books, aspects of the collage (particularly the stories of her mother's paintings) grabbed me less, and I had to fight the urge to skim to get to the extraordinary narrative at the heart of the book, teeming with memorable characters (an awful doctor is especially notable) and fabulous research and quotations....more",Notes are private!,0,47,1,not set,"Jul 11, 2022","Jul 11, 2022",,Hardcover,view (with text),/book/show/58990706-linea-nigra
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Admissions: Life as a Brain Surgeon,"Marsh, Henry",1250127262,9781250127266,1250127262,288        pp,3.92,"7,463","Oct 03, 2017","Oct 03, 2017",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,It’s actually extraordinary how much worse this is than Do No Harm - less sequel and more leftovers.,Notes are private!,0,39,1,not set,not set,"Jul 06, 2022",,Hardcover,view (with text),/book/show/33574189-admissions
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Books of Jacob,"Tokarczuk, Olga",0593087488,9780593087480,0593087488,965        pp,4.03,"7,915","Oct 23, 2014","Feb 01, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Extraordinary how strong an achievement BOOKS OF JACOB ended up being - the more I think about the scope and ambition of the project, the better it seExtraordinary how strong an achievement BOOKS OF JACOB ended up being - the more I think about the scope and ambition of the project, the better it seems to me. It’s the story of a cult - a real one, Jacob Frank - and the first 250 pages or so are about the collection of the figures of the cult. The boldness of the text (it counts backward instead of forward, is narrated by a woman who can’t die, has interpolated photos and pictures and many forms of prose), the transportive quality of the research, and the plot, which really gets its hooks in as it goes, is all very notable. And what a translation by Croft! Very grateful to have read it ...more",Notes are private!,0,82,1,not set,"Jul 05, 2022","Jul 05, 2022",,Hardcover,view (with text),/book/show/58276619-the-books-of-jacob
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Do No Harm: Stories of Life, Death and Brain Surgery","Marsh, Henry",0297869876,9780297869870,0297869876,278        pp,4.25,"37,329","Mar 13, 2014","Mar 13, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Addictive, short chapters filled with the horrors and wonders of the physical brain - impossible to put down, if slightly repetitive. Knausgaard's greAddictive, short chapters filled with the horrors and wonders of the physical brain - impossible to put down, if slightly repetitive. Knausgaard's great NYTimes article got me into this, and it was a happy morning of reading....more",Notes are private!,0,24,1,not set,"Jul 05, 2022","Jul 05, 2022",,Hardcover,view (with text),/book/show/21086818-do-no-harm
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Elegy for Iris,"Bayley, John",0312421117,9780312421113,0312421117,275        pp,3.71,"2,948",1998,"Dec 14, 2001",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"More depressing than good, but does just enough to keep one going",Notes are private!,0,26,1,not set,not set,"Jun 20, 2022",,Paperback,view (with text),/book/show/549379.Elegy_for_Iris
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Lovers in the Night,"Kawakami, Mieko",1609456998,9781609456993,1609456998,224        pp,3.74,"26,224","Oct 13, 2011","May 03, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A bit willfully opaque, perhaps, and elusive til the end, but some of the beats in this slim novel of a woman In the midst of a sea change are lovely",Notes are private!,0,76,1,not set,not set,"Jun 20, 2022",,Hardcover,view (with text),/book/show/59336625-all-the-lovers-in-the-night
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Pachinko Parlour,"Dusapin, Elisa Shua",1914198166,9781914198168,1914198166,171        pp,3.62,"6,342",Aug 2018,"Aug 18, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Winter in Sokcho was one of my favorite books last year - this is one of my favorite books this year. I will read everything Dusapin writes from here Winter in Sokcho was one of my favorite books last year - this is one of my favorite books this year. I will read everything Dusapin writes from here on in. There's no one quite like her....more,Notes are private!,0,55,1,not set,"Jun 18, 2022","Jun 18, 2022",,Paperback,view (with text),/book/show/59825231-the-pachinko-parlour
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"In the Days of Rain: A Daughter, a Father, a Cult","Stott, Rebecca",0812989082,9780812989083,0812989082,320        pp,3.70,"2,614","Jul 04, 2017","Jul 04, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A lovely, fascinating book, with a tremendous lead character and some powerful glimpses into the life of an idiosyncratic UK cult - I am actually stayA lovely, fascinating book, with a tremendous lead character and some powerful glimpses into the life of an idiosyncratic UK cult - I am actually staying at the writing residency where the beginning is set!...more",Notes are private!,0,25,1,not set,"Jun 18, 2022","Jun 18, 2022",,Hardcover,view (with text),/book/show/32080124-in-the-days-of-rain
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When Prophecy Fails: A Social and Psychological Study of a Modern Group that Predicted the Destruction of the World,"Festinger, Leon",0061311324,9780061311321,0061311324,264        pp,3.82,"1,095",1956,"Jan 01, 1964",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ethically dubious and too repetitive, but there are some very striking revelations.",Notes are private!,0,17,1,not set,"Jun 18, 2022","Jun 18, 2022",,Paperback,view (with text),/book/show/1835405.When_Prophecy_Fails
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mother In the Dark,"Maiuri, Kayla*",0593083288,9780593083284,0593083288,304        pp,3.84,"1,664","Aug 09, 2022","Aug 09, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I inhaled this book - shades of Justin Torres and Lorrie Moore, with a strange alchemy all its own, and sharp writing all the way through.",Notes are private!,0,48,1,not set,"Jun 18, 2022","Jun 18, 2022",,Hardcover,view (with text),/book/show/59382048-mother-in-the-dark
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lover,"Duras, Marguerite",,,,117        pp,3.72,"56,626",1984,"Sep 08, 1998",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Hazy, strange, and often brilliant - I read it slowly, relishing it as I went. Impossible to really rate it.""I think it was during this journey that tHazy, strange, and often brilliant - I read it slowly, relishing it as I went. Impossible to really rate it.""I think it was during this journey that the image became detached, removed from all the rest. It might have existed, a photograph might have been taken, just like any other, somewhere else, in other circumstances. But it wasn't. The subject was too slight. Who would have thought of such a thing? The photograph could only have been taken if someone could have known in advance how important it was to be in my life, that event, that crossing of the river. But while it was happening, no one even knew of its existence. Except God. And that's why - it couldn't have been otherwise - the image doesn't exist. It was omitted. Forgotten. It never was detached or removed from all the rest. And it's to this, this failure to have been created, that the image owes its virtue: the virtue of repenting, of being the creator of, an absolute.""...more",Notes are private!,0,33,1,not set,"May 23, 2022","May 23, 2022",,Paperback,view (with text),/book/show/275.The_Lover
