,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,cypt's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Grief Is for People,"Crosley, Sloane*",0374609845,9780374609849,0374609845,208        pp,4.03,"2,613","Feb 27, 2024","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Hardcover,view,/book/show/127282631-grief-is-for-people
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Grybo sapnas,"Grušaitė, Gabija",,9786098198751,,384        pp,4.29,274,unknown,2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 16, 2024",not set,"Mar 16, 2024",,Hardcover,view,/book/show/203278941-grybo-sapnas
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eleven,"Highsmith, Patricia",087113327X,9780871133274,087113327X,169        pp,3.89,"1,134",1970,"Jan 18, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Paperback,view,/book/show/385077.Eleven
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Atlaidžiai šypsosi bedugnė,"Žekevičius, Aistis*",,9786098325065,,80        pp,3.86,14,"Sep 21, 2023","Sep 21, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Šalia kitos pastaruoju metu skaitytos poezijos Žekevičiaus rinkinys truputį nublanko, o gal tiesiog aš nesu jo skaitytoja. Kaip ir debiute Maratonas, Šalia kitos pastaruoju metu skaitytos poezijos Žekevičiaus rinkinys truputį nublanko, o gal tiesiog aš nesu jo skaitytoja. Kaip ir debiute Maratonas, čia kalbama pavargusiu balsu, atrodo, tas žvilgsnis į bedugnę yra ne staigios nevilties, o nesiliaujančio kasdienio užsiknisimo kasdienė dalis. Gal dėl to ta bedugnė atlaidžiai šypsosi - yra kas į ją žvelgia tik ribinėse situacijose, o prie šito žvelgėjo ji jau pripratusi, jam tai darbo (išsigelbėjimo?) dalis.Kad rašymas yra darbas - sveikintinas požiūris, taip ir yra; apie tai dažniau kalba prozininkės/ai (gal poezijos rašymas vis dar labiau siejamas su ""noru"", negalėjimu nerašyt ir tt? nežinau), bet juk ir eilėraščius rašyti yra dirbti, įvairiais būdais atlikti kūrybines užduotis. Beje, skaityti šitą Žekevičiaus rinkinį man irgi priminė darbą. Aš šiaip mėgstu dirbt ir ""priminė darbą"" man neatrodo kažkas baisaus, tiesiog reikia įjungt galvą, pabandyt daugiau ką prisiminti, praeit pro nuobodesnes vietas ir pagalvoti, kuo jos nervina. Nuobodesnių vietų knygoje vis dėlto buvo daugiau - daugiau vietų, kur, atrodė, mums tiesiog pateikiamas kūrybinis sprendimas ir lieka toks ""va"", maždaug ""padariau"". Pavyzdžiui:entropijakada nors visa tai baigsis ir vėl būsiu normaluskada nors visa tai baigsis ir vėl būsiukada nors visa tai baigsis ir vėlkada nors visa tai baigsis irkada nors visa tai baigsiskada nors visa taikada nors visakada norskada(p. 58)- taip, nubraukiant po žodį keičiasi prasmė, tie patys žodžiai iš užbaigto teiginio virsta kitu užbaigtu teiginiu, neužbaigtu teiginiu, klausimu ir tt, bet kas toliau? Ar čia norima kažką pasakyti apie kalbos ribas, apie žodžio keitimąsi vis skirtinguose kontekstuose? Atsimenu, su tuo gražiai žaidė Stasys Jonauskas, bet ten jis ironizavo (""Tobulas eilėraštis""), o čia viskas labai rimta ir labai neaišku. Užtai daug įdomesnis atrodo kitas Žekevičiaus eilėraštis ""negentropija"" (p. 70), kur eilutės apverstos (nuo vieno žodžio prie dešimties) ir reikšmė ne yra, o siaurėja ir griežtėja, vis pridedant po vieną žodį.Kaip ir ""Maratone"", šioje knygoje dažna ""paviršiaus"" ir ""gelmės"" (tikrumo prasme) priešprieša, ir ta priešprieša atrodo jau tokia girdėta ir netgi neteisinga. Daug įdomiau, jei paniręs randi ne Gelmę ir Tiesą, o tiesiog kitus pasaulius, pvz kaip Noreikos ""Akvanautuose"". Pas Žekevičių leidimasis į gelmę reikalauja drąsos, yra gamtiškas ir, supraskime, natūralus, kitaip nei gyvenimas paviršiuose. Pvz:tamsioji materijao kas jei visatėra sėlinantys įtrūkiaitūnančios tuštumoskurių mieliau- valingai ar ne -renkiesi nematytigeriausiu atvejumėšlungiškai pildai ertmesnereikalingais daiktaispertekliniais darbaisnaujomis patirtimisdar ir dar viena dopamino dozeužuot išmokęs nardytipo tamsiosios materijos įdubaslyg nirtus jūrų velniasužuot drąsiai leidęsisgilyn ir gilynatmerktomis akimisvis pasišviesdamas kelią(p. 48)Šia prasme Žekevičius kalba baisiai nešiuolaikiškai (gal žiūrėjimas į bedugnę atveria amžinybę), nes dabar juk psichoterapiškai hipsteriška ir populiaru džiaugtis paviršiumi, nesureikšminti ir neprisigalvoti; taip gyventi lengviau ir iš tiesų paprasčiau. Nerti į gelmę atrodo senoviška, toks ""go read a book"" pasiūlymas, ir šiaip jis fainas, nu bet kodėl jį žymi tokie neįdomūs įvaizdžiai - nirimas, gelmė, atmerktos akys, tamsa? Jie tinka prie bedugnės temos, bet sykiu eilėrašty pasitelkiami gana didaktiškai, tarsi tikram buvimui būtų tik va šitas būdas ir daugiau jokio kito.Ta pati didaktika, kuri net nebesuprasi, ar yra didaktika, ar šiuolaikybės kritika (gal tai tas pats?) ir čia:tolyn ir tolynpavargę ir melancholiškitūnome prieblandos zonojetiek to bėgimotų viltingų svaičiojimųapie nuolatinį tobulėjimąir iššūkių alkstančią dvasiąkur kas patogiau būtiant asfalto ištiškusiaapatiška vienaląsteniekaip neperprantančiako tas sukruštas finišasnė velnioneartėja(p. 18)Perskaičiusi pradėjau galvoti - taip, viskas nyksta, taip, sėdėt paviršiuje yra tipo patogiau ir nereikalauja pastangų (nes nebėgi, nenardai, esi apatiška/s ir neveikiama/s emocijų), o kas galiausiai iš tos bedugnės, ar tai tik teorinis geresnis pasirinkimas, kur teoriškai glūdi viskas, ko neliko arba ko trūksta paviršiuje? Tokia svajonių šalis, svajonių slėptuvė, nes dienos šviesa ir pasaulis yra sunykę, o vat oloje/gelmėje, priešingai nei pas Platoną, viskas išlikę tikra ir nepaliesta nuo pat pasaulio susiformavimo, su visais jūrų gyvūnais ir žmogaus neišnaudotomis paslaptimis. Tokia mintis nėra tolima ir, tiesą sakant, tiek karo, tiek apskritai šūdinos politikos (pvz naktinių taikiklių įteisinimo) kontekste nuovargis nuo pasaulio ir noras užsidaryti kokioj nors slėptuvėj ateina labai dažnai. Bet tas slėptuvės ir gelmės idealizavimas, noras pabėgti mane vis dėlto nervina - tikresnis darbas atrodo ne žiūrėt į bedugnę, o išbūti ištiškus ant to asfalto ir paviršiuose.Gal vis dėlto klaidingai supratau knygą, gal bedugnė ir nuovargis joje reiškia visai ką kita, negu įžiūrėjau (aš irgi, kaip ir Žekevičiaus atveju rašoma, žiauriai norėčiau geriau matyti į tolį ir apskritai geriau matyti), bet savo šiandieninėm jėgom perskaičiau būtent taip, mano šiandieninei aš ta knyga ne itin patiko, bet buvo įdomu apie ją galvoti....more",Notes are private!,0,5,1,not set,Jan 2024,"Mar 14, 2024",,Paperback,view (with text),/book/show/199061251-atlaid-iai-ypsosi-bedugn
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hangman,"Binyam, Maya*",037461007X,9780374610074,037461007X,208        pp,3.71,799,"Aug 08, 2023","Aug 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2024",,Hardcover,view,/book/show/62039176-hangman
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"One Corpse Too Many        (Chronicles of Brother Cadfael, #2)","Peters, Ellis",0446400513,9780446400510,0446400513,214        pp,4.08,"16,382",Jun 1979,"Mar 01, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2024",,Mass Market Paperback,view,/book/show/776384.One_Corpse_Too_Many
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Morbid Taste for Bones        (Chronicles of Brother Cadfael, #1)","Peters, Ellis",0446400157,9780446400152,0446400157,197        pp,3.97,"41,506",Aug 1977,1994,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2024",,Mass Market Paperback,view,/book/show/321545.A_Morbid_Taste_for_Bones
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sirenos ir vienaragiai,"Baublys, Karolis",,9786098301342,,108        pp,4.33,3,2023,2023,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Nu knyga kaip visuma man nelabai patiko, bet gerai, kad Dangvydės eilėraščiai pagaliau išspausdinti, gal ji kažkaip dar gali tuo džiaugtis - tikiuosi.Nu knyga kaip visuma man nelabai patiko, bet gerai, kad Dangvydės eilėraščiai pagaliau išspausdinti, gal ji kažkaip dar gali tuo džiaugtis - tikiuosi. Faina rinkinio mintis - kad jį sudaro dviejų draugų eilėraščiai, kad abiem poetams artima panaši stilistika, netgi galiausiai temos - queer meilė, antika, mitų perrašinėjimai ir perdėliojimai, eksperimentavimas su jais. Skaitant buvo tokia pagunda skirstyti ""kur moterys - tai Dangvydės, kur vyrai - tai Baublio"" - gal taip ir yra, bet iš tiesų dar stipriau buvo justi, kad vieni yra sugalvoti, o kiti sustilizuoti, darašyti kaip atliepas, dialogas. Nežinau, ar čia darašė Baublys, ar Dangvydė, gal nėra svarbu. (Gal ir netgi gražu - tikra knyga dialogas, o ne mechaniškai sumesti nuo vieno ir nuo kito.)Antikos mitams prisijaukinti man reikėjo vidinių pastangų, nesu jų ir jų interpretacijų mėgėja. Bet galbūt jie liudija alegorijos galią (atsimenu, kažkada mačiau parodą vien apie šventą Sebastijoną, tada tiesiog pribloškė visa ta vaizdinių ir skirtingų interpretacijų, sudėtų į vieną figūrą, gausa), kiekviena/s skaitytoja/s ir rašytoja/s iš tų mitų ir kitų savaip ""tuščių"" pasakojimų pasidaro sau reikalingą parafrazę - ar tai būtų psichologijos klausimų paaiškinimas, ar istorija apie įvairių rūšių emancipaciją, ar, va kaip ""Sirenų ir vienaragių"" atveju, apie ""uždraustą, bet visada egzistavusią"" meilę. (Ok ok ""šiandien"" neuždrausta, bet Dangvydė dar ką tik patyrė draudimą ir diskriminaciją savo kailiu.) Taip pat sunku buvo susigyventi su bendra estetika - žiedlapiai, kraujas, medus, torsas, gėlės, raumenys etc etc. Va pavyzdžiui:[...]Hefaisto raumenys ir sausgyslėsmedus, kraujas ir kakavalydėsi ugnies liepsnoseo gardus meduolių kvapaskuteno Veneros nosį(p. 17)Iš tiesų tas poezijos vizualumas, o gal perkrautumas / intensyvumas, šioje knygoje labai vargina; atrodo, kad kiekvienoje eilutėje turi būti nauja metafora, spalva, objektas ar kita ypatybė. Pvz:gelsvai balti liepų žiedainusėjantys tavo veidąblyškiai pilkas uosio kamienaslygia žievejuodi pumpuraiir lėtai slystanti toga ---[...](p. 20)po aušrosįskilusioje amforojeįstrigo auksinė sruogaant lūpų dar nenudžiūvo kraujo skonio vynasLa petite mort -kregždės sukarpė jūros bangų drobulęmudviejų meilės guoliui, Jasonai(p. 64)Na ir eilėraštis ""Juoda magnolija"" - nu negi tikrai, tikrai poetui (ar poetei? bet turbūt poetui?) neskambėjo rašant galvoje JUODA ORCHIDĖJA, KAIIIIIP MAN SKAUDĖJO??? Juoba kad visai tinka pagal temą... eilėraščio pabaiga:[...]išvydęs senįPoseidonas mylimojo nepažinoir išstūmė be gailesčio pro atvertą rūmų langąFrigijos kalnainusidažė Pelopo kraujuo iš sudrėkusios žemėsišaugomagnolijajuoda kaip anglis(p. 63)Ech, kokia puiki praleista proga įnešti subversijos į šitą dekoratyvų pasaulį.Kita vertus, dabar nurašinėdama mane nervinančias eilėraščių vietas negaliu negalvot, kad jos tokios.. labai vyriškos. Gal mane nervuoja tik vyriškoji knygos dalis? Ot tai naujiena!!Iš tiesų tie tekstai, kuriuos atsimenu iš Dangvydės publikacijų arba kurie akivaizdžiai jos, daug dažniau būna gražūs, o mitų perrašymai atrodo prasmingi. Juose nėra to eksceso, kuris gal ir yra įmanoma poezijos stilistika, bet mane žiauriai vargina. Kaip tik gali įžiūrėti pasakojimą, interpretaciją; jie irgi labai dekoratyvūs (nesu fanė), bet kažkokie ramesni. Anksčiau skaičiau, bet nebuvo suskambėję ""Mito perrašymai"", o dabar suskamba:MITO PERRAŠYMAI: EURIDIKEImano akyse atsispinditavo nugara, tolstanti išsiskyrimo koridoriaiskuri iš mudviejų vysis?kuri atsigręš į -ingsniuskad atstumtųper pačią žiedadulkių pūgą?klaidžiodama tavo sapne suklumpuEuridikeper anksti užmigai(aš nespėjau ištrūkti iš mito)Ariadnės siūlai dūla, tampa voratinkliaislimpančiais prie delnųir veido, atsukto į palėpės langelįpro kurį matau Dzeuso dukterįAtėnę Paladęplonose jos drobėse - galingųjų puotapačiame kamputyjeprie svetimo stalo prisėdusikumštyje gniaužiu duonos trupiniusvirsiančius rožėmkai pirštų galiukais - švelniai -vos vosji palies mano rankąžaibušiapus - tavo audimas, Arachneišdidžiai iškėlusi smakrąmetei iššūkį dievamstave užauginusiemsauklėjusiemsmokiusiems paklustisusimetusi į kuprą dabaraudi man pasakojimusnes nieko kitanemokivienatvė yra slenkstisties bučinio ribanedrįsome peržengtinumirėmatsigręžiu - jau apsisprendusi -tu ištirpsti(p. 49-50)Lyginant su tais ""vyriškais"", jei taip galima pasakyti, šie atrodo nesistengiantys nei šokiruoti, nei provokuoti, gal dėl to yra artimesni ir jaukesni. Va dar šitas man gražus:RAUDONŽIEDĖ DAFNĖtavo vandenims, tėve Penėjauatiduodu skaistų savo kūnąkol penetracijajo neišniekinoskaisčiaveidis Apolonas:jo lytis - ne mano lytisjo grožis mano akims svetimasmano ausis žeidžia jo kitaros garsaijo balsas priverčia krūpčiotir bėgti bėgti bėgtijo lytis - ne mano lytiskartoju lyg užkeikimąbrisdama į tavo vandenis, tėve Penėjauį tą pačią upę neįbrisi -sakai bandydamas sulaikytiį bri si, į bri si -atitaria Pano sudraskytosEchonės kraujasskalaudamas mano kojas glamonėmisjos apkabintaraudonžiedžio lauramedžio šaknimisskverbiuosi į žemę -pe ne tra ci ja -palinkstuvirš tėkmėsjau nepabėgsiu:vyro kūną - kamieną gavau, odą -spindinčią žievęApoloną ateinantžiedų akimis aš regiuir kuždu lauro lūpom:jo lytis yra manotegu liečiateguaš degutėve, leisk ir atleisksavo dukteriaisūnui(p. 40-41)- tikras ir aiškus queer eilėraštis, neprovokuojantis, nepiktas, nedeklaratyvus, net be didelės pretenzijos. Tiesa, dar neskaičiau Liutkevičiaus ir Pliuros, iš komentarų esu susidarius įspūdį, kad tie tai maištininkai. Bet šįkart būtent antimaištas knygoje man atrodė tikresnė patirtis ir pozicija.Visos žvaigždutės Dangvydei, nors ir jos žiedlapių jau buvo užtektinai, tai nepadauginau. Be to: nors Baublys ir užbaigė knygą ir parašė įvadą, vis dėlto jos pavardė turėjo eit pirma jau vien iš pagarbos....more",Notes are private!,0,7,1,not set,Jan 2024,"Mar 10, 2024",,Paperback,view (with text),/book/show/201027802-sirenos-ir-vienaragiai
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Poor Deer,"Oshetsky, Claire*",006332766X,9780063327665,006332766X,240        pp,4.01,"1,748","Jan 09, 2024","Jan 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 09, 2024",,Hardcover,view,/book/show/127823311-poor-deer
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Notice,"Lewis, Heather",1852424567,9781852424565,1852424567,217        pp,3.34,593,"Aug 01, 2004","Jan 01, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 09, 2024",,Paperback,view,/book/show/430590.Notice
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Anna O,"Blake, Matthew",0063314150,9780063314153,0063314150,421        pp,3.48,"9,235","Jan 02, 2024","Jan 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/134221476-anna-o
