,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Sally's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hello Stranger,"Center, Katherine*",,,B0B9KVDK8P,336        pp,3.96,"80,374","Jul 11, 2023","Jul 11, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I was going to write a  saying that this book was too predictable. BUT THEN I read the authors note at the end of the book and I’ve changed my mI was going to write a  saying that this book was too predictable. BUT THEN I read the authors note at the end of the book and I’ve changed my mind. She basically wrote an essay about the romance genre and it was WONDERFUL !!!!! Romance novels are fun to read because they run not on predictably but on anticipation! “They all run on a blissful sense that we’re moving toward something better.” The anticipation is the point! Her essay felt like a thoughtful analysis of why I love to read a happy book and that there is something beautiful about reading to find hope/love/joy. It can be deep!!! ...more,Notes are private!,0,2,1,"Feb 06, 2024","Feb 06, 2024","Feb 06, 2024",,Kindle Edition,view (with text),/book/show/61938393-hello-stranger
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Malibu Rising,"Reid, Taylor Jenkins*",,,,369        pp,4.04,"1,018,400","May 27, 2021","Jun 01, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 stars. I really enjoyed this !! It made me want to live on the beach, made me cry a little in the end, and I just really enjoyed the Riva family. 3.5 stars. I really enjoyed this !! It made me want to live on the beach, made me cry a little in the end, and I just really enjoyed the Riva family. I only wish that it was longer? The ending felt abrupt — I want to know how they’re doing !! ...more",Notes are private!,2,0,1,"Jan 29, 2024","Jan 31, 2024","Jan 29, 2024",,Hardcover,view (with text),/book/show/55404546-malibu-rising
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Secular Creed: Engaging Five Contemporary Claims,"McLaughlin, Rebecca*",0999284304,9780999284308,0999284304,107        pp,4.32,"2,462","Apr 09, 2021","Apr 09, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2024",,Paperback,view,/book/show/57534289-the-secular-creed
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Is Where You Belong: The Art and Science of Loving the Place You Live,"Warnick, Melody*",0525429123,9780525429128,0525429123,308        pp,3.70,"5,403","Jun 21, 2016","Jun 21, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 20, 2024",,Hardcover,view,/book/show/27209432-this-is-where-you-belong
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Maame,"George, Jessica",,,,320        pp,4.07,"83,362","Jan 31, 2023","Jan 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 18, 2024",,Hardcover,view,/book/show/60784605-maame
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,March,"Brooks, Geraldine*",,,,280        pp,3.80,"69,571","Mar 03, 2005","Jan 31, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 18, 2024",,Paperback,view,/book/show/13529.March
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Let the Great World Spin,"McCann, Colum*",1400063736,9781400063734,1400063736,351        pp,3.95,"104,956","Jun 16, 2009","Jun 23, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I don’t know if I’ve ever read a book that captures what it means to be a human quite like this one. Each character and storyline feels so unique in tI don’t know if I’ve ever read a book that captures what it means to be a human quite like this one. Each character and storyline feels so unique in tone yet similar in the thread of humanity. This book felt like a work of art in the sense that each and every word was delicately and purposefully placed in a way that makes the final product feel so special. Everything had purpose! Some of the brilliance of this book is how each story is written differently. The writing lends to the mental state of the character in such an enveloping way. While beautifully written, I ultimately struggled to get through this book—it was just a lot! It had no big driving force so reading it felt like reading 12 small books. I read another  that says this book “rewards patient readers” and that could not be more true. ...more",Notes are private!,2,2,1,"Feb 06, 2024","Feb 20, 2024","Jan 18, 2024",,Hardcover,view (with text),/book/show/5941033-let-the-great-world-spin
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nora Goes Off Script,"Monaghan, Annabel*",0593420039,9780593420034,0593420039,272        pp,4.12,"125,409","Jun 07, 2022","Jun 07, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 stars! I love a rom com pallet cleanser and this one did not disappoint! It was fun, reflective, and I loved the family aspect. A perfect happy re3.5 stars! I love a rom com pallet cleanser and this one did not disappoint! It was fun, reflective, and I loved the family aspect. A perfect happy read ...more",Notes are private!,0,0,1,"Jan 21, 2024","Jan 21, 2024","Jan 16, 2024",,Hardcover,view (with text),/book/show/58988426-nora-goes-off-script
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Same Time Next Summer,"Monaghan, Annabel*",059354496X,9780593544969,059354496X,320        pp,3.79,"77,768","Jun 06, 2023","Jun 06, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,There’s gotta be some writers formula of a second chance love story that takes place at a summer house. It’s a story I’ve read 10+ times but NEVERTHELThere’s gotta be some writers formula of a second chance love story that takes place at a summer house. It’s a story I’ve read 10+ times but NEVERTHELESS i’m entertained! It’s like meet me at the lake + the summer I turned pretty + happy place. I really did enjoy this one and appreciated that it’s cleaner than many of its beach read counterparts. Made me long for summer <3 ...more,Notes are private!,0,0,1,"Jan 16, 2024","Jan 16, 2024","Jan 16, 2024",,Paperback,view (with text),/book/show/62562931-same-time-next-summer
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The True Love Experiment,"Lauren, Christina*",1982173432,9781982173432,1982173432,409        pp,4.13,"117,959","May 16, 2023","May 16, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I was entertained but the bar is low. I felt as though the heavy romance overshadowed genuine feelings at many points of the book. I also deeply disliI was entertained but the bar is low. I felt as though the heavy romance overshadowed genuine feelings at many points of the book. I also deeply dislike when books mention TikTok or Instagram! Sorry! The main character was supposed to be this free spirited sexually in-tune woman but her “personal brand of debauchery” (her words not mine!) felt overboard and creepy at times. The male main character was great but the more I reflect I don’t know if he really had a personality? Overall, this book is just fine and I’m not mad I read it I just am also not glad I read it? ...more",Notes are private!,0,0,1,"Jan 15, 2024","Jan 17, 2024","Jan 15, 2024",,Hardcover,view (with text),/book/show/62361081-the-true-love-experiment
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Place to Hang the Moon,"Albus, Kate*",0823449815,9780823449811,B08N9PL8Q1,204        pp,4.58,"16,044","Feb 02, 2021","Feb 02, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book is like a warm hug. If cozy was a book it’s this book. I’ll be reading a bedtime story every night for the rest of my life! “The world is fuThis book is like a warm hug. If cozy was a book it’s this book. I’ll be reading a bedtime story every night for the rest of my life! “The world is full of magical things, simply waiting for our senses to grow sharper.”...more",Notes are private!,0,1,1,"Feb 11, 2024","Feb 21, 2024","Jan 14, 2024",,Kindle Edition,view (with text),/book/show/56924324-a-place-to-hang-the-moon
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Tree Grows in Brooklyn,"Smith, Betty",0061120073,9780061120077,0061120073,496        pp,4.29,"465,631","Aug 18, 1943","May 30, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 14, 2024",,Paperback,view,/book/show/14891.A_Tree_Grows_in_Brooklyn
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Carrie Soto Is Back,"Reid, Taylor Jenkins*",0593158687,9780593158685,0593158687,384        pp,4.22,"504,665","Aug 30, 2022","Aug 30, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,As someone who is in a MAJOR tennis phase this book was amazing to me. Reid has the ability to create worlds and characters that are so real I want toAs someone who is in a MAJOR tennis phase this book was amazing to me. Reid has the ability to create worlds and characters that are so real I want to google them and see how they’re doing now. This book is like reading a thrilling tennis match but with some character development and personal drama — what’s not to love! It fulfilled the part of me that stopped playing organized sports in elementary school ...more,Notes are private!,0,0,1,"Jan 13, 2024","Jan 14, 2024","Jan 13, 2024",,Hardcover,view (with text),/book/show/60435878-carrie-soto-is-back
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Human City: Urbanism for the Rest of Us,"Kotkin, Joel",1572841729,9781572841727,1572841729,304        pp,3.15,91,"Apr 12, 2016","Apr 12, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Hardcover,view,/book/show/26029214-the-human-city
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Who Have Never Known Men,"Harpman, Jacqueline",0380731819,9780380731817,0380731819,208        pp,4.24,"50,830",1995,"Jul 01, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 09, 2024",,Mass Market Paperback,view,/book/show/11996.I_Who_Have_Never_Known_Men
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Hidden Life of Trees: What They Feel, How They Communicate: Discoveries from a Secret World","Wohlleben, Peter",1771642483,9781771642484,1771642483,272        pp,4.07,"74,404","May 25, 2015","Sep 13, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,Hardcover,view,/book/show/28256439-the-hidden-life-of-trees
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heaven & Earth Grocery Store,"McBride, James*",0593422945,9780593422946,0593422945,380        pp,4.08,"129,325","Aug 08, 2023","Aug 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,Hardcover,view,/book/show/65678550-the-heaven-earth-grocery-store
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Woven: Nurturing a Faith Your Kid Doesn’t Have to Heal From,"Miller, Meredith",1546004351,9781546004356,1546004351,256        pp,4.56,388,"Aug 22, 2023","Aug 22, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,Hardcover,view,/book/show/64005330-woven
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Love and Other Words,"Lauren, Christina*",1501190539,9781501190537,1501190539,432        pp,4.27,"566,944","Apr 10, 2018","Apr 10, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Fun! Second chance love stories are always sweet and have a deeper level of love and history that I appreciate. However, I found myself getting frustrFun! Second chance love stories are always sweet and have a deeper level of love and history that I appreciate. However, I found myself getting frustrated at the main conflict — sometimes people just need to get in a room and talk it out!!! Alas, then we wouldn’t have books! ...more",Notes are private!,0,1,1,"Mar 30, 2024","Mar 30, 2024","Jan 06, 2024",,Hardcover,view (with text),/book/show/36206591-love-and-other-words
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Color Purple,"Walker, Alice",0143135694,9780143135692,0143135694,304        pp,4.27,"685,380","Jun 01, 1982","Dec 10, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,Paperback,view,/book/show/52892857-the-color-purple
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,"Clear, James*",,,B07D23CFGR,319        pp,4.36,"870,135","Oct 16, 2018","Oct 16, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,Kindle Edition,view,/book/show/40121378-atomic-habits
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tell Her Story: How Women Led, Taught, and Ministered in the Early Church","Gupta, Nijay K.*",1514000741,9781514000748,1514000741,224        pp,4.38,"1,205","Mar 14, 2023","Mar 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,Paperback,view,/book/show/62971339-tell-her-story
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Funny Story,"Henry, Emily*",0593441222,9780593441282,B0CCNBRNRQ,395        pp,4.52,"3,577","Apr 23, 2024","Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/194802722-funny-story
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Part of Your World        (Part of Your World, #1)","Jimenez, Abby*",1538704374,9781538704370,1538704374,400        pp,4.30,"244,939","Apr 19, 2022","Apr 19, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I really enjoyed this one! It was fun to spend time with main characters who are genuinely good. The dual POV was both insightful and a big aggravatinI really enjoyed this one! It was fun to spend time with main characters who are genuinely good. The dual POV was both insightful and a big aggravating at times — but I think that comes with the territory. This is a great book for someone who needs a light/fun read where you know everything will work out in the end. ...more,Notes are private!,0,0,1,"Jan 02, 2024","Jan 04, 2024","Jan 02, 2024",,Paperback,view (with text),/book/show/58684524-part-of-your-world
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Miracle Morning: The Not-So-Obvious Secret Guaranteed to Transform Your Life: Before 8AM,"Elrod, Hal*",,,B00AKKS278,172        pp,3.91,"76,651",2012,"Dec 07, 2012",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Do I think that following the Miracle Morning could change my life? Yes. Do I think this book could’ve been an infographic? Also yes. This was my firsDo I think that following the Miracle Morning could change my life? Yes. Do I think this book could’ve been an infographic? Also yes. This was my first foray into a true “Self Help” book. It was full of quotes, testimonials, and invitations to buy more classes/community/products. What more could I ask for! Elrod was at times painfully positive and self-promoting. I enjoyed hearing the perspective of someone who is so deeply invested in self-betterment and actualization. To Elrod, mediocrity is the ultimate fear. However, I cannot help but wonder what the opposing perspective is. Is there a healthy medium? One that sees and pursues potential yet also finds beauty in how things are — beauty in the ordinary/mediocre. Maybe I’ll figure that out during the meditation portion of my Miracle Morning. Ha! My real  of this book will come in the following month as I stick to or fail to stick to the principles laid out in the book. Stay tuned! ...more",Notes are private!,1,1,1,"Jan 02, 2024","Jan 03, 2024","Jan 02, 2024",,Kindle Edition,view (with text),/book/show/17166225-the-miracle-morning
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Writers & Lovers,"King, Lily*",,,,320        pp,4.02,"142,116","Mar 03, 2020",2020,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Strange to read a book that is so self-aware. A novel that is about writing a novel is that way I suppose. In one scene, she is describing why she lovStrange to read a book that is so self-aware. A novel that is about writing a novel is that way I suppose. In one scene, she is describing why she loves reading and writing. That some stories simply must be told! And the sheer wonder at the skill it takes to envelop someone in a world you created. The story itself (not just the writing, if that makes sense) made me appreciate the book so much more. There’s a passage where she describes how we often read books, and then ask questions that pull us out of the story. She asks how can we ask questions that push us further in “so they can feel everything the author tried so hard to create for them.” I often say I love reading books that teach me just as much about my own life as the life of the characters. But reading this made me stop and wonder if some books are meant to be read simply to know the characters and the world the author created more deeply. Overall, I really enjoyed this book. It started off a little slow for me but by the end I felt like I had read a true work of art! ...more",Notes are private!,0,1,1,"Jan 18, 2024","Jan 28, 2024","Jan 02, 2024",,Hardcover,view (with text),/book/show/45289222-writers-lovers
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Just for the Summer,"Jimenez, Abby*",1538767449,9781538767443,1538767449,432        pp,4.54,"25,069","Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/195820804-just-for-the-summer
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Great Dechurching: Who’s Leaving, Why Are They Going, and What Will It Take to Bring Them Back?","Davis, Jim",0310147433,9780310147435,0310147433,272        pp,3.87,756,unknown,"Aug 22, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/63354300-the-great-dechurching
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Yours Truly        (Part of Your World, #2)","Jimenez, Abby*",1538704390,9781538704394,1538704390,416        pp,4.33,"257,019","Apr 11, 2023","Apr 11, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,the first 60% was a 4 star but then it got SO repetitive and frustrating. Much deeper than I thought it would be! I love the world / town / supportingthe first 60% was a 4 star but then it got SO repetitive and frustrating. Much deeper than I thought it would be! I love the world / town / supporting characters. ...more,Notes are private!,0,0,1,"Dec 27, 2023","Dec 27, 2023","Dec 27, 2023",,Paperback,view (with text),/book/show/61918816-yours-truly
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The One        (The Selection, #3)","Cass, Kiera*",,,B00FJ2YTLK,337        pp,4.15,"686,386","May 06, 2014","May 06, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,1,0,1,"Dec 26, 2023","Dec 26, 2023","Dec 26, 2023",,Kindle Edition,view,/book/show/18917179-the-one
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Way of the Wolf: The Gospel in New Images,"Bell, Martin",0345305221,9780345305220,0345305221,144        pp,4.18,252,"Jun 01, 1970","Apr 12, 1983",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 25, 2023",not set,"Dec 25, 2023",,Mass Market Paperback,view,/book/show/486638.The_Way_of_the_Wolf
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beneath My Feet: Writers on Walking,"Minshull, Duncan",1910749982,9781910749982,1910749982,160        pp,3.42,74,unknown,"Apr 02, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 25, 2023",,Hardcover,view,/book/show/42954291-beneath-my-feet
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Elite        (The Selection #2),"Cass, Kiera*",,,B009NG1Q96,337        pp,3.95,"770,896","Apr 23, 2013","Apr 23, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 25, 2023","Dec 25, 2023","Dec 25, 2023",,Kindle Edition,view,/book/show/17230002-the-elite
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Selection        (The Selection, #1)","Cass, Kiera*",0062059939,9780062059932,B00BG7DY04,336        pp,4.08,"1,552,959","Apr 24, 2012","Apr 24, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Imagine if the bachelor was a prince and it was more like the hunger games,Notes are private!,0,0,1,"Dec 24, 2023","Dec 25, 2023","Dec 24, 2023",,Hardcover,view (with text),/book/show/10507293-the-selection
