,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Martha's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Biography of X,"Lacey, Catherine*",1250321689,9781250321688,1250321689,416        pp,3.87,"7,400","Mar 21, 2023","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Paperback,view,/book/show/127278790-biography-of-x
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Birnam Wood,"Catton, Eleanor",1250321719,9781250321718,1250321719,423        pp,3.83,"30,739","Mar 02, 2023","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Paperback,view,/book/show/127282570-birnam-wood
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dune        (Dune, #1)","Herbert, Frank",059309932X,9780593099322,059309932X,658        pp,4.27,"1,357,761","Jun 01, 1965","Oct 01, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/44767458-dune
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Poverty, by America","Desmond, Matthew*",0593239938,9780593239933,0593239938,320        pp,4.28,"33,989","Mar 21, 2023","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Paperback,view,/book/show/204736844-poverty-by-america
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wandering Stars,"Orange, Tommy*",0593318250,9780593318256,0593318250,336        pp,4.01,"4,899","Feb 27, 2024","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/174147294-wandering-stars
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Romantic Comedy,"Sittenfeld, Curtis*",039959096X,9780399590962,039959096X,352        pp,3.66,"176,276","Apr 04, 2023","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Paperback,view,/book/show/203227876-romantic-comedy
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Funny Story,"Henry, Emily*",0593441222,9780593441282,B0CCNBRNRQ,395        pp,4.52,"3,552","Apr 23, 2024","Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/194802722-funny-story
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Table for Two,"Towles, Amor*",0593296370,9780593296370,0593296370,464        pp,4.37,756,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/195474144-table-for-two
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Magnolia Parks: Into the Dark        (Magnolia Parks Universe, #5)","Hastings, Jessa*",0593474953,9780593474952,B0CFX5WT14,720        pp,4.50,"16,137","Feb 13, 2024","Feb 13, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Gotta admire a book that’s 700 pages of nothing because that’s not easy to do i suppose. Feeling kind of torn because this was just…. Not as enthralliGotta admire a book that’s 700 pages of nothing because that’s not easy to do i suppose. Feeling kind of torn because this was just…. Not as enthralling as the other two were because it was just so normal but also it was probably *technically* the best of the three because it made sense? But I’ve also realized these books drove me crazy (bad and good) when they were at their most unhinged batshit insane toxic plotlines so I was certainly missing that. Chau Magnolia...more,Notes are private!,0,4,1,"Mar 19, 2024","Mar 27, 2024","Mar 19, 2024",,Kindle Edition,view (with text),/book/show/197054431-magnolia-parks
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dark Places,"Flynn, Gillian*",,,B0027MJU00,370        pp,3.95,"751,302",2009,"May 05, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Tore through this, great fictional True Crime whodunnit vibe, looking forward to the (2nd) adaptation of it. Sharp Objects is still my fav, with Gone Tore through this, great fictional True Crime whodunnit vibe, looking forward to the (2nd) adaptation of it. Sharp Objects is still my fav, with Gone Girl trailing behind, and then the short story The Grown Up, with Dark Places in last but last in a competition of great books so what does that even mean? ...more",Notes are private!,0,2,1,"Mar 11, 2024","Mar 12, 2024","Mar 11, 2024",,Kindle Edition,view (with text),/book/show/6569735-dark-places
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Madame Bovary,"Flaubert, Gustave",0192840398,9780192840394,0192840398,329        pp,3.70,"334,511","Dec 15, 1856",2004,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Paperback,view,/book/show/2175.Madame_Bovary
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hamnet,"O'Farrell, Maggie*",1472223799,9781472223791,1472223799,372        pp,4.20,"255,731","Mar 31, 2020","Mar 31, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 10, 2024","Apr 08, 2024","Mar 10, 2024",,Hardcover,view,/book/show/43890641-hamnet
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bel Canto,"Patchett, Ann",,,0060838728,318        pp,3.93,"283,424","May 22, 2001","Feb 07, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Third Ann Patchett in three months and I have to admit that this one wasn’t calling me in the way the other two had even though thematically it has thThird Ann Patchett in three months and I have to admit that this one wasn’t calling me in the way the other two had even though thematically it has things I tend to enjoy - language, art, South America, unlikely friendships, etc etc. Part of this is just because narratively this was told in a completely different way than the other two books and I just couldn’t/didn’t want to adjust to the new style. However, around 2/3s of the way into the book, something clicked and I Got It. I think a good foundation had been laid for me up until that point and I’m sure bread crumbs had been dropped for me that I was choosing to ignore but the book just began to speak to me! I don’t even want to try to sum up the things that meant the most to me, but the quote below is kind of when it clicked for me. I just think this book is such a good meditation on how we, as humans, with completely different cultural backgrounds and multiple, large language barriers would react and interact when forced to live together in one house, trapped for months. It’s fiction but it’s also very real to me, because I DO believe art would be the connection between us and we WOULD all individually discover what is actually important to us and we would spend each day doing things we were BORN to do, which would be discovered by sitting around all day with nothing else to do. Oh Ann I will never doubt you again I swear.“The dead we can imagine to be anything at all. My brothers and I were all excellent observers. Some people are born to make great art and others are born to appreciate it. Don’t you think? It is a kind of talent in itself, to be an audience, whether you are the spectator in the gallery or you are listening to the voice of the world’s greatest soprano. Not everyone can be the artist. There have to be those who witness the art, who love and appreciate what they have been privileged to see.”...more",Notes are private!,0,3,1,"Feb 27, 2024","Mar 11, 2024","Feb 27, 2024",,Paperback,view (with text),/book/show/5826.Bel_Canto
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Down the Drain,"Fox, Julia",1668011506,9781668011508,1668011506,318        pp,4.41,"26,190","Oct 10, 2023","Oct 10, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Crazy from start to finish but def more intense before she was in her 20s… very dark but also funny. She deserves everything!!!!,Notes are private!,0,1,1,"Feb 20, 2024","Mar 09, 2024","Feb 20, 2024",,Hardcover,view (with text),/book/show/123183412-down-the-drain
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"House of Flame and Shadow        (Crescent City, #3)","Maas, Sarah J.*",1681193094,9781681193090,1681193094,835        pp,4.23,"279,100","Jan 30, 2024","Jan 30, 2024",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Im free… most grueling 1000 pages of my life….,Notes are private!,0,0,1,"Feb 09, 2024","Feb 15, 2024","Feb 09, 2024",,ebook,view (with text),/book/show/52857700-house-of-flame-and-shadow
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dutch House,"Patchett, Ann",0062963678,9780062963673,0062963678,337        pp,4.10,"446,663","Sep 24, 2019","Sep 24, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Maybe I have a rock for a heart but Man I don’t care how “saintly” a person is if that was my mother I would have held onto my anger for the rest of mMaybe I have a rock for a heart but Man I don’t care how “saintly” a person is if that was my mother I would have held onto my anger for the rest of my life and let it fester. I think Ann Patchett does a good job of painting the WHOLE picture by moving through most of a person’s life, you really get a fuller scope that way and I’m sure it’s hard to do. I also like that there always seems to be one central fixation in a person’s mind in her books for their whole life, makes me wonder what mine would be ...more",Notes are private!,0,1,1,"Feb 08, 2024","Feb 20, 2024","Feb 08, 2024",,Hardcover,view (with text),/book/show/44318414-the-dutch-house
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"8 Rules of Love: How to Find It, Keep It, and Let It Go","Shetty, Jay",,,B0B918SBSJ,352        pp,3.95,"18,342","Jan 31, 2023","Jan 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 03, 2024",,Kindle Edition,view,/book/show/62634115-8-rules-of-love
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Right Move        (Windy City, #2)","Tomforde, Liz*",,,B0B2L6CBXQ,499        pp,4.43,"183,448","Feb 07, 2023",Jan 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 03, 2024",,Kindle Edition,view,/book/show/84943172-the-right-move
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,City of Quartz: Excavating the Future in Los Angeles,"Davis, Mike",0679738061,9780679738060,0679738061,462        pp,4.20,"4,163","Oct 17, 1990","Mar 10, 1992",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 03, 2024",,Paperback,view,/book/show/484028.City_of_Quartz
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Master and Margarita,"Bulgakov, Mikhail",,,0802130119,402        pp,4.29,"353,341",1967,"Jan 23, 1994",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,If I were the devil I too would terrorize all the men in Russia. Took forever to finish because it’s kind of a lengthy and detailed filled beginning bIf I were the devil I too would terrorize all the men in Russia. Took forever to finish because it’s kind of a lengthy and detailed filled beginning but around the second half everything clicks and suddenly I was giggling. Most of the Christianity stuff went over my head but I look forward to re reading this in the future when I’m older and wiser ...more,Notes are private!,0,2,1,"Feb 03, 2024","Mar 19, 2024","Feb 03, 2024",,Paperback,view (with text),/book/show/339472.The_Master_and_Margarita
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Never        (Never, #1)","Hastings, Jessa*",1398717126,9781398717121,B0BKZHVSKY,377        pp,3.24,"4,777","Dec 05, 2023","Dec 05, 2023",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I have this weird relationship with this author where I read all her books but complain about them the whole time. This one was especially bad but besI have this weird relationship with this author where I read all her books but complain about them the whole time. This one was especially bad but best believe ill be reading the sequel when it comes out...more,Notes are private!,0,2,1,Feb 2024,"Feb 03, 2024","Feb 01, 2024",,Kindle Edition,view (with text),/book/show/122053874-never
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Foe,"Reid, Iain*",150112742X,9781501127427,150112742X,261        pp,3.72,"28,764","Aug 07, 2018","Sep 04, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Crazy that this book was written in the format of a three act play and yet the movie adaptation was dogshit… like the screenplay was handed to you on Crazy that this book was written in the format of a three act play and yet the movie adaptation was dogshit… like the screenplay was handed to you on a silver platter ...more,Notes are private!,0,0,1,"Jan 21, 2024","Feb 05, 2024","Jan 21, 2024",,Hardcover,view (with text),/book/show/37510662-foe
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Seven Year Slip,"Poston, Ashley*",,,,352        pp,4.26,"146,354","Jun 27, 2023","Jun 27, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 19, 2024","Jan 25, 2024","Jan 19, 2024",,Paperback,view,/book/show/62926938-the-seven-year-slip
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tom Lake,"Patchett, Ann",006332752X,9780063327528,006332752X,309        pp,4.04,"241,626","Aug 01, 2023","Aug 01, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Oh man where to begin… feeling really spoiled that this was my first ever audiobook (narrated by Meryl Streep so I’m ruined forever) AND my first Ann Oh man where to begin… feeling really spoiled that this was my first ever audiobook (narrated by Meryl Streep so I’m ruined forever) AND my first Ann Patchett book and it was just such a treat. I think for me personally there was so much to dig in to about the instability of your 20s plus the idea that really everything will work out in the end even if it feels like the world is ending. Summed up really nicely by one of her daughters, “Everything leads to the next thing.” Like it literally does (also is her daughter’s name really Nell Nelson… this was bothering me the whole book). All of the characters are just so interesting, real love to hate cast. Was gonna give this just 4 stars but the book just tickled me so much…. Also at any given moment there could be a production of Our Town… stay vigilant ...more",Notes are private!,0,2,1,"Jan 16, 2024","Jan 21, 2024","Jan 16, 2024",,Hardcover,view (with text),/book/show/63241104-tom-lake
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bee Sting,"Murray, Paul",0374600309,9780374600303,0374600309,656        pp,4.01,"32,044","Jun 08, 2023","Aug 15, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Book is less of a quick sting and more of an elongated cancer. So incredibly insidious and stressful while also just being a book about family life anBook is less of a quick sting and more of an elongated cancer. So incredibly insidious and stressful while also just being a book about family life and the way stories form and melt overtime. These days I’m really into fiction with multiple POVs and good tone/ aesthetic shifts to match each character (this book does a good job of it). My one complaint is some of the events were a bit on the nose i.e. cliche but I guess that’s also just life. Sink your teeth in ...more,Notes are private!,0,2,1,"Jan 14, 2024","Jan 19, 2024","Jan 14, 2024",,Hardcover,view (with text),/book/show/62039166-the-bee-sting
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Elvis and Me: The True Story of the Love Between Priscilla Presley and the King of Rock N' Roll,"Presley, Priscilla Beaulieu",0593639561,9780593639566,0593639561,288        pp,4.00,"22,274","Sep 19, 1985","Aug 01, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Certainly not the most well written book but I think paints a good portrait of both the creepiness of Elvis’s infatuation with Priscilla and an actualCertainly not the most well written book but I think paints a good portrait of both the creepiness of Elvis’s infatuation with Priscilla and an actual love story. Sofia Coppola did an excellent job adapting this IMO...more,Notes are private!,0,1,1,"Jan 05, 2024","Jan 13, 2024","Jan 05, 2024",,Paperback,view (with text),/book/show/63376550-elvis-and-me
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Southern Book Club's Guide to Slaying Vampires,"Hendrix, Grady*",,,,410        pp,3.80,"217,289","Apr 07, 2020","Apr 07, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Men stop writing books about housewives challenge,Notes are private!,0,0,1,"Jan 04, 2024","Jan 06, 2024","Jan 04, 2024",,Kindle Edition,view (with text),/book/show/44074800-the-southern-book-club-s-guide-to-slaying-vampires
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Flatshare,"O'Leary, Beth*",1787474402,9781787474406,1787474402,394        pp,4.01,"385,564","Apr 10, 2019","Apr 18, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Very fun but full star demoted for fade to black scenes… but did make me laugh out loud and the two main characters are so sweet, this is a very earneVery fun but full star demoted for fade to black scenes… but did make me laugh out loud and the two main characters are so sweet, this is a very earnest and genuine book...more",Notes are private!,0,2,1,"Jan 03, 2024","Jan 05, 2024","Jan 03, 2024",,Hardcover,view (with text),/book/show/36478784-the-flatshare
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Never Let Me Go,"Ishiguro, Kazuo*",,,1400078776,288        pp,3.85,"694,106","Apr 05, 2005","Aug 31, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Feeling so devastated can’t properly  good good sad sad book very interesting scratched everything in my brain left chills in my bones much to pFeeling so devastated can’t properly  good good sad sad book very interesting scratched everything in my brain left chills in my bones much to ponder ...more,Notes are private!,1,1,1,"Jan 03, 2024","Jan 03, 2024","Jan 03, 2024",,Paperback,view (with text),/book/show/6334.Never_Let_Me_Go
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Interestings,"Wolitzer, Meg",1594488398,9781594488399,1594488398,468        pp,3.59,"118,446","Apr 09, 2013","Apr 09, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Less interesting & straight version of A Little Life,Notes are private!,0,0,1,"Dec 08, 2023","Dec 25, 2023","Dec 08, 2023",,Hardcover,view (with text),/book/show/15815333-the-interestings
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Guest,"Cline, Emma",0812998626,9780812998627,,304        pp,3.32,"64,895","May 16, 2023","May 16, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Don’t recommend reading before bed,Notes are private!,0,0,1,"Nov 18, 2023","Nov 29, 2023","Nov 18, 2023",,Hardcover,view (with text),/book/show/61986136-the-guest
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Have Always Lived in the Castle,"Jackson, Shirley",0143039970,9780143039976,0143039970,160        pp,3.94,"227,037","Sep 21, 1962","Oct 31, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 18, 2023",,Paperback,view,/book/show/89724.We_Have_Always_Lived_in_the_Castle
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Heaven,"Kawakami, Mieko",1609456211,9781609456214,1609456211,192        pp,3.81,"53,388","Sep 02, 2009","May 25, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 18, 2023",,Hardcover,view,/book/show/53223710-heaven
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lie With Me,"Besson, Philippe",1501197878,9781501197871,1501197878,149        pp,4.26,"39,885","Jan 05, 2017","Apr 30, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 16, 2023","Nov 18, 2023","Nov 16, 2023",,Hardcover,view,/book/show/40539136-lie-with-me
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Madhouse at the End of the Earth,"Sancton, Julian*",1984824333,9781984824332,1984824333,354        pp,4.27,"13,213","May 04, 2021","May 04, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Justice for the cat they threw overboard before even reaching Argentina,Notes are private!,0,0,1,"Nov 07, 2023","Nov 27, 2023","Nov 07, 2023",,Hardcover,view (with text),/book/show/54900051-madhouse-at-the-end-of-the-earth
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Under the Dome,"King, Stephen*",1439148503,9781439148501,1439148503,"1,074        pp",3.92,"299,990",2009,"Nov 10, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 04, 2023",,Hardcover,view,/book/show/6320534-under-the-dome
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bad Summer People,"Rosenblum, Emma*",1250887003,9781250887009,1250887003,272        pp,3.46,"50,367","May 23, 2023","May 23, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 24, 2023","Nov 04, 2023","Oct 24, 2023",,Hardcover,view,/book/show/61884844-bad-summer-people
