,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Kristen's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Secret Lives of Church Ladies,"Philyaw, Deesha*",1949199738,9781949199734,1949199738,179        pp,4.18,"34,391","Sep 01, 2020","Sep 01, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Well written, deeply melancholic short stories. Best digested in smaller bites because of it. The narrator Janina Edwards is outstanding.",Notes are private!,0,1,1,"Feb 29, 2024","Mar 09, 2024","Feb 22, 2024",,Paperback,view (with text),/book/show/51582376-the-secret-lives-of-church-ladies
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Peace Like a River,"Enger, Leif",0802139256,9780802139252,B007CV7V5W,312        pp,4.01,"90,381","Aug 02, 2001","Jan 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Paperback,view,/book/show/227571.Peace_Like_a_River
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Binocular Vision: New and Selected Stories,"Pearlman, Edith",0982338295,9780982338292,0982338295,373        pp,3.93,"2,245","Jan 11, 2011","Jan 11, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Paperback,view,/book/show/9142881-binocular-vision
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Season: A Candid Look At Broadway,"Goldman, William",0879100230,9780879100230,0879100230,448        pp,4.09,418,"Jan 01, 1969","Sep 01, 1984",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Paperback,view,/book/show/21779.The_Season
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Carnivale of Curiosities,"Gibbs, Amiee*",153872393X,9781538723937,,448        pp,3.59,"1,228","Jul 11, 2023","Jul 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Hardcover,view,/book/show/59441651-the-carnivale-of-curiosities
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of (More) Delights: Essays,"Gay, Ross",1643753096,9781643753096,1643753096,304        pp,4.29,"1,148","Sep 19, 2023","Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Hardcover,view,/book/show/75593883-the-book-of-more-delights
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Delights: Essays,"Gay, Ross",1616207922,9781616207922,1616207922,274        pp,4.16,"15,783","Feb 12, 2019","Feb 12, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Hardcover,view,/book/show/38746152-the-book-of-delights
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Normal Rules Don't Apply: Stories,"Atkinson, Kate",0385688237,9780385688239,B0BNWVTP7J,212        pp,3.73,"5,482","Sep 13, 2023","Sep 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Hardcover,view,/book/show/63934847-normal-rules-don-t-apply
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Sparrow        (The Sparrow, #1)","Russell, Mary Doria*",0449912558,9780449912553,0449912558,419        pp,4.14,"75,550","Sep 09, 1996","Sep 08, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Paperback,view,/book/show/334176.The_Sparrow
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Supercommunicators: How to Unlock the Secret Language of Connection,"Duhigg, Charles*",0593243919,9780593243916,0593243919,320        pp,4.08,"3,317","Feb 20, 2024","Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2024",,Hardcover,view,/book/show/157981748-supercommunicators
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,As You Wish: Inconceivable Tales from the Making of The Princess Bride,"Elwes, Cary",1476764026,9781476764023,1476764026,259        pp,4.16,"67,964","Oct 14, 2014","Oct 14, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 stars that I’m rounding up to 4 out of sheer love for the film and cast. Elwes is a fantastic narrator, and the inclusion of audio interviews with3.5 stars that I’m rounding up to 4 out of sheer love for the film and cast. Elwes is a fantastic narrator, and the inclusion of audio interviews with most of the cast makes it that much more enjoyable. Easy, breezy, delightful. ...more",Notes are private!,0,0,1,"Feb 17, 2024","Feb 29, 2024","Feb 17, 2024",,Hardcover,view (with text),/book/show/21412202-as-you-wish
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Anxious People,"Backman, Fredrik*",1982121602,9781982121600,1982121602,336        pp,4.18,"633,753","Apr 25, 2019","Sep 08, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 16, 2024",,Paperback,view,/book/show/53799686-anxious-people
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lab Girl,"Jahren, Hope*",1101874937,9781101874936,1101874937,290        pp,3.98,"67,707","Mar 01, 2016","Apr 05, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Hardcover,view,/book/show/25733983-lab-girl
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Iron &  Silk,"Salzman, Mark",0394755111,9780394755113,0394755111,224        pp,3.96,"3,481",1986,"Oct 12, 1987",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Paperback,view,/book/show/685391.Iron_Silk
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"So Let Them Burn        (Divine Traitors, #1)","Cole, Kamilah*",,,,400        pp,4.03,"2,394","Jan 16, 2024","Jan 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Hardcover,view,/book/show/61219118-so-let-them-burn
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Color Purple,"Walker, Alice",0143135694,9780143135692,0143135694,304        pp,4.27,"685,352","Jun 01, 1982","Dec 10, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Paperback,view,/book/show/52892857-the-color-purple
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tenth of December,"Saunders, George",0812993802,9780812993806,0812993802,251        pp,3.98,"74,490","Jan 03, 2013","Jan 08, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Listened to as an audiobook read by Saunders, and he is wonderful reader of his own stories. The first and last short stories (Victory Lap and 10th ofListened to as an audiobook read by Saunders, and he is wonderful reader of his own stories. The first and last short stories (Victory Lap and 10th of December) are magnificent. 10th of December may be the most honest, moving short story I have ever read. The stories in between the first and last feel perfectly placed in a Black Mirror world — a not too distant future, unsettling, and occasionally gut punching. A recurring theme of poverty or feeling “not enough” and the steps people will take in the hope of making life better for their loved ones. He’s the kind of writer that you read and desperately wish you had just 10% of Saunders’ talent. ...more",Notes are private!,0,0,1,"Feb 07, 2024","Feb 17, 2024","Feb 07, 2024",,Hardcover,view (with text),/book/show/13641208-tenth-of-december
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Moon Tiger,"Lively, Penelope",0802135331,9780802135339,0802135331,208        pp,3.91,"16,669",1987,"Sep 18, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Paperback,view,/book/show/130028.Moon_Tiger
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All Boys Aren’t Blue,"Johnson, George M.",0374312710,9780374312718,0374312710,304        pp,4.21,"37,139","Apr 28, 2020","Apr 28, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 stars. I wanted to read this book after seeing it on so many banned book lists. It's a YA ""memoir manifesto"" written for those who are young, blac3.5 stars. I wanted to read this book after seeing it on so many banned book lists. It's a YA ""memoir manifesto"" written for those who are young, black, and queer; I am none of those things, so I'm not sure it's my place to write a . I truly appreciate that it exists and I hope it does serve as a reflection and starting place for those who aren't seen nearly enough in memoirs or popular culture. That said, I had hoped for it to be more reflective and deeper in its storytelling. There were moments in some essays when it felt more deeply emotional, but much of it felt surface level for me. Most of the time it felt about as deep as a college admissions essay. It may also have been a book that would have been better read rather than listened to....more",Notes are private!,0,0,1,"Feb 03, 2024","Feb 07, 2024","Feb 03, 2024",,Hardcover,view (with text),/book/show/44280883-all-boys-aren-t-blue
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sound of a Wild Snail Eating,"Bailey, Elisabeth Tova*",1565126068,9781565126060,1565126068,208        pp,4.14,"17,135","Aug 15, 2010","Jan 01, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2024",,Hardcover,view,/book/show/8303977-the-sound-of-a-wild-snail-eating
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eve: How the Female Body Drove 200 Million Years of Human Evolution,"Bohannon, Cat",0385350546,9780385350549,0385350546,624        pp,4.38,"3,873","Oct 03, 2023","Oct 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2024",,Hardcover,view,/book/show/75494215-eve
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Exceptions: Nancy Hopkins and the Fight for Women in Science,"Zernike, Kate",1982131845,9781982131845,1982131845,448        pp,4.45,"1,755","Feb 28, 2023","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2024",,Paperback,view,/book/show/176443528-the-exceptions
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Notes From the Bathroom Line: Humor, Art, and Low-grade Panic from 150 of the Funniest Women in Comedy","Solomon, Amy",0062973657,9780062973658,,256        pp,3.50,698,"Mar 16, 2021","Mar 30, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 29, 2024",,ebook,view,/book/show/52035052-notes-from-the-bathroom-line
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Homegoing,"Gyasi, Yaa*",,,,305        pp,4.47,"341,228","Jun 07, 2016","Jun 07, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 28, 2024","Feb 09, 2024","Jan 28, 2024",,Hardcover,view,/book/show/27071490-homegoing
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eleanor Oliphant Is Completely Fine,"Honeyman, Gail",0008172145,9780008172145,0008172145,390        pp,4.24,"1,227,054","May 09, 2017","Jan 18, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2024",,Paperback,view,/book/show/35900387-eleanor-oliphant-is-completely-fine
