,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Madison's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Who Have Never Known Men,"Harpman, Jacqueline",0380731819,9780380731817,0380731819,208        pp,4.24,"50,809",1995,"Jul 01, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Mass Market Paperback,view,/book/show/11996.I_Who_Have_Never_Known_Men
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cold Mountain: 100 Poems by the T'ang poet Han-Shan,Hanshan,0231034504,9780231034500,0231034504,118        pp,4.33,486,1962,"Apr 15, 1970",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Aug 16, 2019","Feb 16, 2024",,Paperback,view,/book/show/354935.Cold_Mountain
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,100 Love Sonnets,"Neruda, Pablo",0292760280,9780292760288,0292760280,232        pp,4.36,"17,556",1959,"Jan 01, 1986",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2024",,Paperback,view,/book/show/11339.100_Love_Sonnets
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Howl and Other Poems,"Ginsberg, Allen",0872863107,9780872863101,0872863107,56        pp,4.13,"111,484",1956,"Jan 01, 2001",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Trying to diversify my genre portfolio- I don’t know a lot about/read enough poetry OR the Beats to give this a proper rating so ignore this one :) reTrying to diversify my genre portfolio- I don’t know a lot about/read enough poetry OR the Beats to give this a proper rating so ignore this one :) read after watching ‘Kill Your Darlings’ and now the relationship and drama between the Beats crew is my Roman Empire. Similarly to my s of Joan Didion, I feel like I’m missing quite a bit of historical context here and it’s inhibiting my understanding/rating. I’m going to read more of them so maybe I will change my feelings later (aka @Morgan Taylor is going to give me a fun fact run down during book club) but for now this is how I feel with little to no explanation <3...more",Notes are private!,1,3,1,"Feb 16, 2024","Mar 04, 2024","Feb 06, 2024",,Hardcover,view (with text),/book/show/6295.Howl_and_Other_Poems
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Let the Great World Spin,"McCann, Colum*",1400063736,9781400063734,1400063736,351        pp,3.95,"104,954","Jun 16, 2009","Jun 23, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.5 stars: Woooooow. What a rollercoaster of emotions and what a satisfying ending. It’s a very moving portrait of loss, human connection, and how the4.5 stars: Woooooow. What a rollercoaster of emotions and what a satisfying ending. It’s a very moving portrait of loss, human connection, and how the two are knotted together.Here’s why it doesn’t get the 5 star from me: I felt myself getting aggravated with a couple of the narrators Colum introduced to us to, albeit he wove them together very cleverly. I wished we got less of some characters and wayyy more of others, some of their stories felt a bit unfinished to me.I also found some aspects of his style a bit superficial in terms of character voice (I also REALLY disliked the very long repetitive paragraphs, ie. “Death by _____” repeated I believe upwards of 20 times). But he also creates gorgeous imagery that really transported me.Despite my complaints, I couldn’t put it down when he finally started connecting the dots between characters. I surely won’t forget this story anytime soon. My only caution is that it holds a lot of grief, so it’s A LOT at some points, and something to keep in mind for my fellow sensitive girlies ...more",Notes are private!,0,4,1,"Jan 27, 2024","Feb 17, 2024","Jan 27, 2024",,Hardcover,view (with text),/book/show/5941033-let-the-great-world-spin
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Artist's Way: A Spiritual Path to Higher Creativity,"Cameron, Julia",1585421464,9781585421466,1585421464,237        pp,3.95,"111,327","Mar 04, 2002","Mar 04, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 26, 2024",,Paperback,view,/book/show/615570.The_Artist_s_Way
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stay True,"Hsu, Hua*",0385547773,9780385547772,0385547773,208        pp,4.04,"27,011","Sep 27, 2022","Sep 27, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 26, 2024",,Hardcover,view,/book/show/59900070-stay-true
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Meditations,Marcus Aurelius,0140449337,9780140449334,0140449337,254        pp,4.28,"247,822",180,"Apr 27, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 24, 2024",,Paperback,view,/book/show/30659.Meditations
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Everyone in This Room Will Someday Be Dead,"Austin, Emily*",198216736X,9781982167363,198216736X,256        pp,3.87,"58,879","Jul 06, 2021","Jun 28, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 24, 2024",,Paperback,view,/book/show/59366182-everyone-in-this-room-will-someday-be-dead
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bright Young Women,"Knoll, Jessica*",1501153226,9781501153228,1501153226,384        pp,4.03,"87,095","Sep 19, 2023","Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 24, 2024",,Hardcover,view,/book/show/101124639-bright-young-women
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pandora's Jar: Women in the Greek Myths,"Haynes, Natalie*",0063211319,9780063211315,0063211319,320        pp,4.24,"19,235",2020,"Mar 29, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 22, 2024",,Hardcover,view,/book/show/58275741-pandora-s-jar
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,North Woods,"Mason, Daniel*",0593597036,9780593597033,0593597036,372        pp,4.18,"27,212","Sep 19, 2023","Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 18, 2024",,Hardcover,view,/book/show/71872930-north-woods
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Parable of the Sower        (Earthseed, #1)","Butler, Octavia E.",0446675504,9780446675505,0446675504,345        pp,4.21,"167,826",Oct 1993,"Jan 01, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 16, 2024",,Paperback,view,/book/show/52397.Parable_of_the_Sower
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dark Matter,"Crouch, Blake*",1101904224,9781101904220,1101904224,352        pp,4.13,"499,976","Jul 26, 2016","Jul 26, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 09, 2024",,Hardcover,view,/book/show/27833670-dark-matter
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Who Will Run the Frog Hospital?,"Moore, Lorrie",1400033829,9781400033829,1400033829,147        pp,3.83,"12,270",1994,"Apr 13, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Paperback,view,/book/show/19634.Who_Will_Run_the_Frog_Hospital_
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Say Nothing: A True Story of Murder and Memory in Northern Ireland,"Keefe, Patrick Radden",0385521316,9780385521314,0385521316,441        pp,4.46,"104,737","Nov 01, 2018","Feb 26, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 01, 2024",,Hardcover,view,/book/show/40163119-say-nothing
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Left Hand of Darkness,"Le Guin, Ursula K.",0441007317,9780441007318,0441007317,341        pp,4.10,"181,966",1969,2019,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"My last book of this year ended up being my most difficult to read as well as to rate.I’ve never struggled THIS hard through a book and only began to My last book of this year ended up being my most difficult to read as well as to rate.I’ve never struggled THIS hard through a book and only began to get the hang of it with less than half the book remaining. It was so complicated and had incredibly dense world building to a point that I ended up using a chapter by chapter synopsis Reddit post to help me move along. The politics, the religions, the sciences, the lore, the social etiquette, the names of places/people, it was a LOT for the first entire HALF of the book, where I felt like nothing was happening along side of world building.I’ve NEVER been so frustrated reading a book. If it wasn’t a a book club pick, I don’t know if I would’ve been able to persevere. I hate to say it was too smart for me, but it was a bit too smart for me.That being said, the second half was a beautiful story: way more enjoyable and easy to digest. Overall, my low  relies heavily on the fact that I didn’t understand a lot of the concepts at the speed they were introduced and couldn’t stay focused. The discussions around gender were fascinating and truly revolutionary for the time it was written, for that reason alone I’m still so glad I read it.I’m confident that if I am ever to reread this book in the future, I would enjoy it much more. That’s no fault of the author or the book itself, more so a personal objective of my own....more",Notes are private!,0,3,1,"Dec 13, 2023","Dec 27, 2023","Dec 13, 2023",,Paperback,view (with text),/book/show/44417727-the-left-hand-of-darkness
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Giovanni's Room,"Baldwin, James",0345806565,9780345806567,0345806565,169        pp,4.32,"156,594","Jan 01, 1956","Jan 01, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.5 stars - It took me awhile to figure out my feelings about this rating. To start, this is such a beautifully written book, every detail feels metic4.5 stars - It took me awhile to figure out my feelings about this rating. To start, this is such a beautifully written book, every detail feels meticulously planned to create each city scape and social circle of Paris. I really did feel transported to every smoky bar, every uneven street, and of course - to Giovanni’s room.The love story centering this book is such a delight to read (at first). The scene of them eating oysters and drinking white wine at 6 in the morning will always stick with me. It feels very much like a coming of age story, which always have a soft spot in my heart.Now comes the worst part of this book and the reason I couldn’t give this book a 5 star: our narrator, David. David becomes not only the worst character of the book, but to me, one of the most despicable characters that I’ve read. I found myself rooting for every person that lashed out on David for his selfish and manipulative actions. His ‘woe is me’ attitude was the worst, he just got worse and worse as the book went on and I was frustrated to have to “stick with” his perspective throughout the story. This got me thinking; do I *~have~* to like a narrator in order to truly rate a book? Isn’t my hatred of him exemplifying how talented James Baldwin is as a writer? This book is so wonderfully written otherwise, do I really need to identify with the narrator in order to enjoy it? I don’t know the answer right now, but it gave me something to think about moving forward with my ratings.Overall, this is an incredible story if you’re looking for something fast to break your heart. I watched the James Baldwin documentary ‘I Am Not Your Negro’, based off the completed pages of his last, unfinished novel before he died, before finishing the book and it gave me some great insight to James as a whole. I’m definitely going to look more into his work and his life after this....more",Notes are private!,0,6,1,"Feb 13, 2024","Feb 26, 2024","Dec 09, 2023",,Paperback,view (with text),/book/show/17288631-giovanni-s-room
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Big Dead Place: Inside the Strange and Menacing World of Antarctica,"Johnson, Nicholas",0922915997,9780922915996,0922915997,260        pp,3.70,607,"Apr 01, 2005","Apr 01, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 28, 2023",,Paperback,view,/book/show/40919.Big_Dead_Place
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Girl, Woman, Other","Evaristo, Bernardine",0241364906,9780241364901,0241364906,453        pp,4.29,"231,182","May 02, 2019","May 02, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 22, 2023",,Kindle Edition,view,/book/show/41081373-girl-woman-other
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Everything I Never Told You,"Ng, Celeste*",159420571X,9781594205712,159420571X,297        pp,3.85,"549,968","Jun 26, 2014","Jun 26, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 22, 2023",,Hardcover,view,/book/show/18693763-everything-i-never-told-you
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kindred,"Butler, Octavia E.",1472258223,9781472258229,1472258223,295        pp,4.30,"217,825",Jun 1979,"May 03, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Not so much science fiction as much as horror. This is one of the most frightening books I’ve read in awhile, and certainly not for the squeamish. OctNot so much science fiction as much as horror. This is one of the most frightening books I’ve read in awhile, and certainly not for the squeamish. Octavia wastes NO time before jumping headfirst into the thick of it. Despite the plot being unfathomable, Dana, our protagonist, is logical in her theories and actions, making this all the more spooky to me; It feels way closer to home this way.The most impressive part of this book is watching the characters sway between protagonist and antagonist. We see characters act on their own volition and turn on a dime—not particularly tied to either side— which makes them all the more fascinating, unpredictable, and real.An absolutely gripping story all the way through. It’s not the happy ending we hope for (although it makes that abundantly clear from the opening paragraphs) but I appreciated it more that way....more",Notes are private!,0,3,1,"Nov 21, 2023","Dec 02, 2023","Nov 21, 2023",,Paperback,view (with text),/book/show/38190066-kindred
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stiff: The Curious Lives of Human Cadavers,"Roach, Mary",0393881725,9780393881721,0393881725,320        pp,4.06,"219,094","Apr 17, 2003","Aug 31, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 17, 2023",,Paperback,view,/book/show/56769575-stiff
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Just Kids,"Smith, Patti*",,,,304        pp,4.21,"280,518","Jan 19, 2010","Jan 19, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 13, 2023",,Hardcover,view,/book/show/341879.Just_Kids
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Picture of Dorian Gray,"Wilde, Oscar",1912714744,9781912714742,1912714744,249        pp,4.12,"1,534,861",Jun 1890,"Sep 08, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was already a 5 star when I read it in high school, but I loved it even more the second time around! This book reads like a play and is deliciousThis was already a 5 star when I read it in high school, but I loved it even more the second time around! This book reads like a play and is deliciously detailed. Could I have gone without the deeply misogynistic monologues and long winded philosophical rants? Absolutely. However, this book is so innovative and beautifully crafted that these hard-to-read passages don’t take away from its rating overall. I already knew the ending and still couldn’t put it down. ...more",Notes are private!,0,2,2,"Oct 28, 2023Jan 10, 2015","Nov 14, 2023Mar 2015","Nov 04, 2023",,Hardcover,view (with text),/book/show/55383203-the-picture-of-dorian-gray
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"May Contain Traces of Magic        (J. W. Wells & Co., #6)","Holt, Tom",1841495050,9781841495057,1841495050,339        pp,3.79,"1,143",2009,"Aug 01, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 28, 2023",,Hardcover,view,/book/show/6280653-may-contain-traces-of-magic
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Alchemist,"Coelho, Paulo*",0062315005,9780062315007,0062315005,182        pp,3.91,"3,056,260",1988,"Apr 15, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 09, 2023",,Paperback,view,/book/show/18144590-the-alchemist
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Hyperion        (Hyperion Cantos, #1)","Simmons, Dan",0553283685,9780553283686,0553283685,500        pp,4.26,"252,551","May 26, 1989",Mar 1990,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book kept me up at night: both to finish reading because I was so enthralled (which I feel like I haven’t done in years!) and because it was a biThis book kept me up at night: both to finish reading because I was so enthralled (which I feel like I haven’t done in years!) and because it was a bit *~spooky~*. I loved the way this story was told and I can’t wait to see how it gets wrapped up! It ends right on a cliffhanger, making it nearly impossible to not want to start the second book immediately.There’s a ton of world building in this book: bits and pieces of what caused people to migrate off of “Old Earth”, intergalactic politics/conflict, and AI/cybrids. This is the first of a dense four part series, so the author spends a LOT of time setting everything up accordingly. These parts are fairly easy to get through (the worst of it comes in the second to last ‘story’), a little painful at times, but totally necessary.I’m not sure if I’m going to read the whole series yet but I’m definitely gonna plow through the second book....more",Notes are private!,0,3,1,"Feb 19, 2024","Mar 09, 2024","Oct 09, 2023",,Mass Market Paperback,view (with text),/book/show/77566.Hyperion
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Gods,"Gaiman, Neil*",,,,635        pp,4.11,"925,189","Jun 19, 2001","Jun 21, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 30, 2023",,Kindle Edition,view,/book/show/30165203-american-gods
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lonesome Dove        (Lonesome Dove, #1)","McMurtry, Larry",067168390X,9780671683900,067168390X,960        pp,4.53,"190,851",1985,"Oct 01, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 30, 2023",,Mass Market Paperback,view,/book/show/256008.Lonesome_Dove
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Catch-22,"Heller, Joseph",0684833395,9780684833392,0684833395,453        pp,3.99,"831,190","Nov 10, 1961","Sep 04, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 30, 2023",,Paperback,view,/book/show/168668.Catch_22
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ariadne,"Saint, Jennifer*",125077358X,9781250773586,125077358X,308        pp,3.80,"114,538","Mar 30, 2021","May 04, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I started reading this book with only knowledge of the story of the Minotaur, none of the other stories. It’s safe to say I was shocked, devastated, aI started reading this book with only knowledge of the story of the Minotaur, none of the other stories. It’s safe to say I was shocked, devastated, and PISSED at the end of this book.I read the top  saying that this book is not a feminist retelling at all as it’s advertised, and I totally agree. The author circles the idea of women paying the price for the follies of all gods and men alike, and that theme remains true to the story, yet Ariadne is not the powerful female protagonist I had hoped for (and neither is Phaedra by the end). Overall it doesn’t do anything to push a feminist narrative.I think it was written beautifully and really picked up at the end, but I was a little bored for a good chunk of the book....more",Notes are private!,0,4,1,"Dec 03, 2023","Dec 17, 2023","Sep 23, 2023",,Hardcover,view (with text),/book/show/54860614-ariadne
