,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Allison's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dead Romantics,"Poston, Ashley*",0593336488,9780593336489,0593336488,368        pp,3.94,"151,067","Jun 28, 2022","Jun 28, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,dnf @ 40%im sorry this book was just not for me. i felt like it was so pointless and i just couldn't connect with any of the characters. the plot was dnf @ 40%im sorry this book was just not for me. i felt like it was so pointless and i just couldn't connect with any of the characters. the plot was also a bit too cheesy for me (ghostwriter falls in love with a ghost)....more,Notes are private!,0,3,1,not set,not set,"Mar 10, 2023",,Paperback,view (with text),/book/show/58885776-the-dead-romantics
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Soulmate Equation,"Lauren, Christina*",1982123966,9781982123963,1982123966,360        pp,4.01,"230,721","May 18, 2021","May 18, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2023",,Hardcover,view,/book/show/55692620-the-soulmate-equation
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Fifth Season        (The Broken Earth, #1)","Jemisin, N.K.*",,,,468        pp,4.31,"268,419","Aug 04, 2015","Aug 04, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2023",,Paperback,view,/book/show/19161852-the-fifth-season
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Maybe You Should Talk to Someone,"Gottlieb, Lori*",1328662055,9781328662057,1328662055,415        pp,4.38,"323,497","Apr 02, 2019","Apr 02, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"i think that this was a really sweet book! i feel like it was interesting to hear about the other side of therapy from a therapist's pov in addition ti think that this was a really sweet book! i feel like it was interesting to hear about the other side of therapy from a therapist's pov in addition to how she also navigated therapy herself. i liked how the story was told in alternating past-present chapters, as you come to see how the events of the past shaped her life. it was just really touching to hear about the stories of all of her patients and how they grow as people over the course of the book. you grow to really care about them and ASDFLK my heart. anyways, very glad i decided to pick this one up! c: it was a fun, thoughtful read. ...more",Notes are private!,0,3,1,not set,"Mar 24, 2023","Mar 10, 2023",,Hardcover,view (with text),/book/show/37570546-maybe-you-should-talk-to-someone
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crying in H Mart,"Zauner, Michelle",0525657746,9780525657743,0525657746,256        pp,4.27,"417,155","Apr 20, 2021","Apr 20, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2023",,Hardcover,view,/book/show/54814676-crying-in-h-mart
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Remarkably Bright Creatures,"Van Pelt, Shelby",0063204150,9780063204157,0063204150,360        pp,4.40,"540,958","May 03, 2022","May 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 28, 2023",,Hardcover,view,/book/show/58733693-remarkably-bright-creatures
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dune        (Dune, #1)","Herbert, Frank",059309932X,9780593099322,059309932X,658        pp,4.27,"1,357,771","Jun 01, 1965","Oct 01, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 25, 2023",,Hardcover,view,/book/show/44767458-dune
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cloud Cuckoo Land,"Doerr, Anthony*",1982168439,9781982168438,1982168439,626        pp,4.26,"214,093","Sep 28, 2021","Sep 28, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 25, 2023",,Hardcover,view,/book/show/56783258-cloud-cuckoo-land
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Romantic Comedy,"Sittenfeld, Curtis*",0399590943,9780399590948,0399590943,309        pp,3.66,"176,276","Apr 04, 2023","Apr 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 25, 2023",,Hardcover,view,/book/show/62628727-romantic-comedy
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Last Violent Call        (Secret Shanghai, #3.5)","Gong, Chloe*",1665934514,9781665934510,1665934514,240        pp,4.26,"9,435","Feb 28, 2023","Feb 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 18, 2023",,Hardcover,view,/book/show/61419120-last-violent-call
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Immortal Longings        (Flesh and False Gods, #1)","Gong, Chloe*",1668000229,9781668000229,1668000229,372        pp,3.53,"16,815","Jul 18, 2023","Jul 18, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 18, 2023",,Hardcover,view,/book/show/62919356-immortal-longings
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sword Catcher        (Sword Catcher, #1)","Clare, Cassandra*",0525619992,9780525619994,0525619992,624        pp,3.82,"20,111","Oct 10, 2023","Oct 10, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 18, 2023",,Hardcover,view,/book/show/36679274-sword-catcher
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Yellowface,"Kuang, R.F.*",,,,329        pp,3.80,"428,344","May 25, 2023","May 25, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"the idea of this book was really great. i feel like it has been a while since i’ve read a book with a villain/anti-hero lead and i enjoyed how it explthe idea of this book was really great. i feel like it has been a while since i’ve read a book with a villain/anti-hero lead and i enjoyed how it explored the publishing industry, cultural appropriation, and the implications of social media. seeing the rise and fall of her career was also interesting. however!! my biggest problem with the book is that the main character, june, is just too unlikeable for my tastes. yes, she’s supposed to be this awful person who steals athena’s manuscripts. but it just got to the point where there were absolutely no redeeming qualities to her and it physically pained me reading in her pov. she didn’t feel as morally gray as i would have liked.despite this, it was still a fun read! will hopefully read the poppy war and babel as well at some point. ...more",Notes are private!,0,9,1,not set,"Jun 04, 2023","Jan 18, 2023",,Hardcover,view (with text),/book/show/59357120-yellowface
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Day of Fallen Night        (The Roots of Chaos, #0)","Shannon, Samantha*",1635577926,9781635577921,1635577926,868        pp,4.39,"28,671","Feb 28, 2023","Feb 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 18, 2023",,Hardcover,view,/book/show/60766189-a-day-of-fallen-night
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Stolen Heir        (The Stolen Heir Duology, #1)","Black, Holly*",1549135031,9781549135033,,11        pp,4.00,"96,974","Jan 03, 2023","Jan 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 18, 2023",,Audiobook,view,/book/show/61198118-the-stolen-heir
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tomorrow, and Tomorrow, and Tomorrow","Zevin, Gabrielle*",,,,401        pp,4.18,"845,262","Jul 05, 2022","Jul 05, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"*4/5 starsi caught myself almost tearing up at the end. i really loved how this book covered relationships, especially the one between sadie and sam. *4/5 starsi caught myself almost tearing up at the end. i really loved how this book covered relationships, especially the one between sadie and sam. you see them grow from the very moment they met at the hospital, seeing how deep and meaningful their relationship is, without the typical romance you'd expect attached to it. all of these quotes from them too AJSDFLKSJ MY HEART. you can tell how much they care about each other despite how tumultuous their relationship may be.""There were smart people, yes. There were people with whom you might have a decent conversation for twenty minutes. But to find someone who you wanted to talk to for 609 hours—that was rare. Even Marx—Marx was devoted, creative, and bright, but he was not Sadie.""“I miss you, Sadie. I want to be in your life…A mistake I have made in the past. There is no purity to bearing pain alone.” i thought that the choice of telling the story through frequent flashbacks was interesting as well. i felt like it added a lot of depth to the story, seeing the past slowly unfold alongside the present and piecing together these transformative experiences in every character's lives. the way that we also had so many different character povs as well made me care more and understand more about them. did i think that this book got a bit repetitive at times? yes. did i feel like the pacing was off and the book dragged on at times? yes. but did i read it all in one sitting? also yes. it was an emotional read that got me invested in the complicated, tragic lives of these character and for that, i would recommend this book to anyone who finds the time....more",Notes are private!,0,2,1,not set,"Dec 28, 2022","Dec 28, 2022",,Hardcover,view (with text),/book/show/58784475-tomorrow-and-tomorrow-and-tomorrow
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Final Gambit        (The Inheritance Games, #3)","Barnes, Jennifer Lynn*",,9780316371124,,400        pp,4.13,"290,292","Aug 30, 2022","Aug 30, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"*3.5/5 stars moral of the story: i can fix grayson. i still believe that this series should have been a standalone, but it was a somewhat enjoyable co*3.5/5 stars moral of the story: i can fix grayson. i still believe that this series should have been a standalone, but it was a somewhat enjoyable conclusion to it anyways. love triangle? terrible, i'm sorry. it's like jennifer was trying to salvage it for what it was worth, despite how obvious avery's final choice would be between grayson and jameson. we got so many scenes trying to force the love triangle into place, when it should have honestly ended when it was clear that avery made her choice. as much as i love grayson, this book honestly ruined him. he lost so much depth and just general interestingness. for about 95% of the book, he bounced between being depressed over emily and obsessed over eve (for looking like emily, which was already dumb in the first place and a major plot convenience). i KNOW he has trauma over what happened, but it was just done poorly in him not really feeling like a person outside of it and i got so sick of it. also! the way jennifer did him so dirty literally the entire book. he deserved so much more. he did have some of the best quotes in the book though in the one scene of him having any depth whatsoever:""I wanted Eve to be different,” Grayson told me. “I wanted her to be you.""""Sometimes, you have an idea of a person - about who they are, about what you'd be like together. But sometimes that's all it is: an idea. And for so long, I have been afraid that I loved the idea of Emily more than I will ever be capable of loving anyone real.""like YES PLEASE give us more of this. as for our other half of the love triangle, jameson, i just found him to be lowkey boring. like he's so default! there's no flavor. completely bland. i have to speak my truth. xander though <333. he stays slaying. i did really enjoy all the puzzles and riddles, and it's a big reason why i fell in love with the inheritance games in the first place. the plot as a whole did keep me intrigued. the ending though? questionable. it was just all so easy in resolving/tying everything up in a way that felt rushed and anticlimactic. also the epilogue. it was just so so so cliche and default and predictable.and i don't particularly know why there's going to be another book in the universe, but you know what, you go follow cassandra clare's lead and get that bag! i will probably be back again and read it for the desperation i have at a grayson redemption arc....more",Notes are private!,0,5,1,not set,"Dec 23, 2022","Dec 23, 2022",,ebook,view (with text),/book/show/58658940-the-final-gambit
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Time Tomorrow,"Straub, Emma*",052553900X,9780525539001,052553900X,310        pp,3.80,"131,368","May 17, 2022","May 17, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"*2.5/5 starsusually, this type of book would not typically interest me. i'm not the biggest sci-fi nor time travel person, but when one of my friends *2.5/5 starsusually, this type of book would not typically interest me. i'm not the biggest sci-fi nor time travel person, but when one of my friends was talking about buddy reading it together, i was like why not! starting off on the more positive notes, i really did enjoy the very beginning of the book. i thought it was thoughtful! introspective! emotional! hearing about alice and her struggles in coping with the mistakes she made in her past and the interpersonal connections she has lost fr almost made me open up imessage to text everyone in my life i cared about. however, it soon started to fall off for me. i just thought the setup to the actual time-travel part of the book got so tedious and repetitive. everything that happened was just different events to explain alice losing touch with people she's close to and losing most of the stability in her life as she has grown older, and i got so tired of reading through it all. different events were occurring and different people were being introduced, but it was all to reiterate the same ideas over and over again. it was meaningful the first few times, but when it's over 1/3 of the book, it gets old. at first when we finally (!!) got to the time-travel part of the story, i thought it was interesting to see how alice coped with having a ""second-chance"" essentially at being 16 and changing things knowing where she is in her life at 40. and i did somewhat enjoy reading about her first time travel back! i found that reading about alice and seeing her struggle to cope with the weight of her decisions and the emotional aspect of her spending as much time as possible with her dad was meaningful, especially considering the (somewhat repetitive) foundation set up in the beginning of the novel. i also liked the first time travel forward to the present day life in seeing how her actions in just one day so drastically (but also not drastically at all) influenced where she was when she hit 40. however, there were several things that annoyed me throughout these time-travel scenes-the whole separate tangent on like the scientific ramifications of time travel at the sci-fi convention felt weirdly out of place.-seeing alice mess with the time travel and have her several do-overs was incredibly repetitive, yet i supposed you could say it had its purpose in giving her the revelation that made her stop time-traveling. -learning about her father's sickness was actually so dumb. -this is not totally a complaint, but how is the cat still alive...? the ending was also so incredibly cliche in both the events that transpired and its overall message. i literally could have seen it happening from a mile away. i'm not totally sure what i wanted to happen, but it just didn't give me the resolution i was craving.sadly, this book was just not for me....more",Notes are private!,0,2,1,not set,"Dec 22, 2022","Dec 22, 2022",,Hardcover,view (with text),/book/show/59089704-this-time-tomorrow
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Foul Lady Fortune        (Foul Lady Fortune, #1)","Gong, Chloe*",,,B09QLBXRT1,528        pp,4.26,"23,974","Sep 27, 2022","Sep 27, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"*4/5 starsfirst book out of my reading slump woo! these violent ends is probably one of my favorite books in existence, so when i heard that chloe gon*4/5 starsfirst book out of my reading slump woo! these violent ends is probably one of my favorite books in existence, so when i heard that chloe gong was writing foul lady fortune in the same universe, i was like yes please sign me up!and she did not disappoint! although i don't think it was as good as the original duology, it was still such a banger and i'm glad i ended up reading it. i thought the whole plot with the syringes was really interesting, and it gave me similar vibes to these violent delights with the cast attempting to solve the mystery of what is really going on. first of all, rosalind and orion's romance omg. forced proximity! fake marriage! enemies to lovers! swoon-worthy lines! literally everything i could ever ask for. like i swear to you i'm actually so weak for all these orion quotes: ""You were my first hope that there might be something else...A third category of memory. A future separate from the past. I have spent years thinking that if I just do the right thing, then I can go back to how it used to be. But maybe I don't want that anymore."" ""You accused me of being a philanderer, and suddenly I wanted to prove you wrong. You wanted daffodils at your wedding, and suddenly I wanted to be the one beside you at the altar watching you hold them. I wanted it to be real. I wanted it all to be real."" and of course we can't forget about oliver as well:""'Nation over everything,' Oliver repeated, his voice firm. 'But not you, sweetheart. Never your life in exchange'”and him being completely oblivious to celia liking him back LOL'Have you ever stopped to consider that I value your life just as much? If you want to protect me, don't you think that I want to protect you, too?' Oliver visibly inhaled, taken aback for a flash of a second before he composed himself. It was enough to give an answer: the notion had never occurred to him.i do think that this book was a bit slow towards the beginning, which is why i did not rate it higher. it was only at the end where things really started picking up with all the plot twists, etc. crammed towards the end. BUT, everything at the end was so wild and it's so fun to see everything come together from stuff i had honestly forgotten about towards the beginning of the book. i need book 2 immediately....more",Notes are private!,0,9,1,not set,"Dec 17, 2022","Dec 17, 2022",,Kindle Edition,view (with text),/book/show/57190453-foul-lady-fortune
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Golden Compass        (His Dark Materials, #1)","Pullman, Philip",0679879242,9780679879244,B001NAR73E,399        pp,4.02,"1,525,501","Jul 01, 1995","Apr 16, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 06, 2022",,Hardcover,view,/book/show/119322.The_Golden_Compass
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Daisy Jones & The Six,"Reid, Taylor Jenkins*",1524798622,9781524798628,1524798622,355        pp,4.21,"1,486,835","Mar 05, 2019","Mar 05, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 06, 2022",,Hardcover,view,/book/show/40597810-daisy-jones-the-six
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Happy Place,"Henry, Emily*",0593441273,9780593441275,0593441273,400        pp,4.02,"784,208","Apr 25, 2023","Apr 25, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"i am the biggest emily henry apologist, but i could not defend this book for the life of me.in all honestly, it just felt like a worse people we meet i am the biggest emily henry apologist, but i could not defend this book for the life of me.in all honestly, it just felt like a worse people we meet on vacation. you have the generic lovers to awkward in between to lovers again. you have a weeklong vacation changing their entire dynamics. you have the flashbacks between past and present. except you don’t have poppy and alex and the angst and essentially everything i loved about people we meet on vacation. i just didn’t think many of the characters were particularly likeable. they all felt weirdly underdeveloped and i just didn’t feel like i could root for them in the same way as emily henry’s other books. i also felt like there really wasn’t any depth to the plot besides the romance. it’s so romance centric that there’s nothing left and you don’t have nearly the same emotional depthness as a book like beach read. i felt like i was reading nothing of any substance. as much as i hate giving a bad  to an emily henry book, i think the fact that it took me months to read it start to finish says enough. ...more",Notes are private!,0,5,1,not set,"Jun 30, 2023","Dec 06, 2022",,Hardcover,view (with text),/book/show/61718053-happy-place
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Daughter of the Moon Goddess        (The Celestial Kingdom Duology, #1)","Tan, Sue Lynn*",0063031302,9780063031302,0063031302,503        pp,4.12,"83,677","Jan 11, 2022","Jan 11, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 06, 2022",,Hardcover,view,/book/show/57789637-daughter-of-the-moon-goddess
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Babel,"Kuang, R.F.*",0063021420,9780063021426,0063021420,544        pp,4.20,"218,439","Aug 23, 2022","Aug 23, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 06, 2022",,Hardcover,view,/book/show/57945316-babel
