,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Kate's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Make It! Write It! Read It!: Simple Bookmaking Projects to Engage Kids in Art and Literacy,"Libby, Wendy M. L.",1613730306,9781613730300,1613730306,112        pp,3.30,10,"Jul 01, 2015","Jul 01, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 21, 2016","Jul 16, 2016","Jun 21, 2016",,Paperback,view,/book/show/23310034-make-it-write-it-read-it
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Paradise Guest House,"Sussman, Ellen*",0345522818,9780345522818,0345522818,270        pp,3.68,"1,290","Mar 20, 2013","Mar 26, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 21, 2016","Jul 31, 2016","Jun 21, 2016",,Paperback,view,/book/show/15797356-the-paradise-guest-house
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Under the Bali Moon,"Octavia, Grace",0373864507,9780373864508,0373864507,224        pp,3.52,27,"Apr 19, 2016","Apr 19, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 21, 2016","Jul 16, 2016","Jun 21, 2016",,Mass Market Paperback,view,/book/show/27190182-under-the-bali-moon
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Series of Pained Facial Expressions Made While Shredding Air Guitar,"Ellis, Brian Alan*",0692494235,9780692494233,0692494235,148        pp,4.62,21,"Mar 13, 2016","Mar 13, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2016",,Paperback,view,/book/show/29355141-a-series-of-pained-facial-expressions-made-while-shredding-air-guitar
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Memory House        (Memory House, #1)","Crosby, Bette Lee*",0996080392,9780996080378,,178        pp,3.96,"2,041","Mar 18, 2015","Apr 14, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I had never read a book by this author before this one, and out of all her titles, this one spoke to me, as books sometimes do.This was a good story. I had never read a book by this author before this one, and out of all her titles, this one spoke to me, as books sometimes do.This was a good story. I really liked Ophelia and Annie's relationship, and I can relate in a lot of ways to Annie's back story, since these last few years have been difficult for me as well, with lots of changes.I also liked the concept of a memory house and only keeping things that speak to you personally. As well as, listening to them in order to get the story of the object. This was where the magical realism took place, and reminded me a bit of Sarah Addison Allen, another author who's books I have enjoyed as well.What I didn't like so much was the preachy tone it sometimes took on. It seemed to me as if something happened and then the next paragraph was an explanation of what just happened. This is one of my major pet peeves in modern literature, as I can figure out the connections on my own and draw my own conclusions, thank you very much. After I finished this story, I realized that this is a series, and I could see myself reading the next story, in a little bit, after I read some other things.All in all, a decent read by an interesting author. Just to let you know, I joined the author's ARC club, and the e-book of this title was given to me, in exchange for an honest .Thank you and happy reading!...more",Notes are private!,0,3,1,not set,not set,"Jan 16, 2016",,ebook,view (with text),/book/show/25064835-memory-house
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Unknown Americans,"Henríquez, Cristina*",0385350848,9780385350846,0385350848,286        pp,3.89,"43,102","Jun 03, 2014","Jun 03, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 27, 2014",,Hardcover,view,/book/show/18465852-the-book-of-unknown-americans
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sleep Donation,"Russell, Karen*",,9781937894283,,110        pp,3.34,"7,253","Mar 25, 2014","Mar 25, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 13, 2014","Jun 13, 2014","Jun 13, 2014",,ebook,view,/book/show/20454977-sleep-donation
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Rag Literary Magazine, Issue 6","Porter, Seth*",,B00KB2R1B8,,167        pp,4.00,29,"May 12, 2014","May 20, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I just wanted to state here that I was given a copy of this digital zine in exchange for an honest . I have ed other issues of this journaI just wanted to state here that I was given a copy of this digital zine in exchange for an honest . I have ed other issues of this journal here on GoodReads as well. This  is a home for my personal opinions and in no way is a reflection on the literary magazine itself, Amazon, nor GoodReads.Now, onto the :I really enjoy being a lounge lizard on the few and far days I have to myself. I only need to be outdoors with my sunglasses, sunscreen, a large cup of iced tea, a comfy chair, and a good read, to make me a happy camper.I must admit here that this literary journal gets better with each issue I read. Don't get me wrong, I liked the last issue, but I REALLY enjoyed this issue. To me the overarching theme was the tenaciousness of life, and something that I can personally relate to. This year alone, I feel I have undergone far more personal transformations, then any year past, so far. Some were good decisions, others not so much, and some were totally out of my control. So, reading about characters just trying to stay afloat when their inner and outer selves clash and/or their hopes and dreams are smashed by their own doing or circumstances beyond their control, was kind of cathartic for me in a lot of ways.This issue is jam packed with a ton of well written short stories. I just wanted to take a minute and tell you the titles that stood out for me:- Ayesha Miller- Floaters- Swimming With The Sharks- Oddly Precious Melancholy- Dog Days and Wet Dreams- Best Work- On Bread Alone I liked these stories the best because they all featured very flawed characters, and I am a sucker for realistic characters that may or may not reach their desired conclusions. So, if you enjoy these kinds of stories as well, pick up this issue. It just might be the kind of writing you've been looking to read.I also enjoyed the poems more in this one as well, as they had a more narrative flow. The two poetry titles that stood out for me were:- Lightnin' Hopkins Emerges from the Woods at Mooresville, IN- Todd's MomFrom the first line I was hooked and it only got better from there. For example, the opening line of Todd's Mom is: ""She smelled like Dr. Pepper..."" Finally, what's not to like about interesting art work? The featured artist, Justin Duerr, not only has the coolest bio, but his artwork, especially the ones in full color, were so intricate and amazing, I couldn't help but keep flipping back and looking at them throughout the reading process.All in all, if you're looking for a good ""beach"" read, you will NOT find it here, but if you are looking for well written material that you can get lost in within a space of a day or two, you've come to the right place. I can't wait to see what the brain children behind this literary journal will come up with next....more",Notes are private!,0,0,1,"Jun 12, 2014","Jun 27, 2014","Jun 12, 2014",,ebook,view (with text),/book/show/22214689-the-rag-literary-magazine-issue-6
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Next Best Thing,"Weiner, Jennifer*",1451617771,9781451617771,,400        pp,3.49,"31,635","Jul 01, 2012","Jul 03, 2012",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Jun 2014,"Jun 08, 2014","Jun 08, 2014",,ebook,view,/book/show/13544690-the-next-best-thing
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Look at Me,"Egan, Jennifer*",0385721358,9780385721356,0385721358,417        pp,3.42,"13,617",2001,"Oct 08, 2002",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 30, 2014","Jul 27, 2014","May 30, 2014",,Paperback,view,/book/show/774726.Look_at_Me
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,NOS4A2,"Hill, Joe*",0062200577,9780062200570,0062200577,692        pp,4.08,"128,930","Apr 30, 2013","Apr 28, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.5 starsThis is book 4 of my big book challenge. I haven't read a really good horror/suspense novel in a long time, but I'm glad I chose this, as the4.5 starsThis is book 4 of my big book challenge. I haven't read a really good horror/suspense novel in a long time, but I'm glad I chose this, as the writing was well done, the characters were interesting, and it definitely had some surprising twists and turns.This is one of those books, which you should just pick up and dive right into without knowing too much about, as knowing too much about the plot could ruin a lot of the surprises, and that wouldn't be too fun, now would it?...more",Notes are private!,0,1,1,"May 22, 2014","May 30, 2014","May 22, 2014",,Hardcover,view (with text),/book/show/15729539-nos4a2
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Flight Behavior,"Kingsolver, Barbara",,,B007HBY89E,610        pp,3.81,"94,485","Nov 01, 2012","Nov 06, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,May 2014,"May 10, 2014","May 22, 2014",,Kindle Edition,view,/book/show/17302754-flight-behavior
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Robinson Jeffers: Selected Poems,"Jeffers, Robinson",394702956,,,114        pp,4.27,592,1965,1963,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2014",,Paperback,view,/book/show/17349032-robinson-jeffers
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"No Slam Dancing, No Stage Diving, No Spikes: An Oral History of the Legendary City Gardens","Wuelfing, Amy Yates*",,,,434        pp,4.18,214,"Mar 10, 2014","Mar 10, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2014",,Paperback,view,/book/show/20430381-no-slam-dancing-no-stage-diving-no-spikes
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened","Brosh, Allie*",1451666179,9781451666175,1451666179,371        pp,4.17,"206,895","Oct 29, 2013","Oct 29, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"One hundred million gazillion stars!When I started this book, I thought that I would take it slow, read and savor every single story; but then after rOne hundred million gazillion stars!When I started this book, I thought that I would take it slow, read and savor every single story; but then after reading just the first four stories, I said 'fuck it,' and devoured the rest in one sitting. Then I had such a huge giggle fit, that my head exploded and this is all that's left: .The EndP.s. You must buy this one in physical book form as each story is color coded and when it's closed it forms a rainbow, which is just fantastically brilliant. That is all....more",Notes are private!,0,4,1,"Mar 29, 2014","Mar 29, 2014","Mar 29, 2014",,Paperback,view (with text),/book/show/17571564-hyperbole-and-a-half
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Goldfinch,"Tartt, Donna",0316055433,9780316055437,0316055433,771        pp,3.94,"925,169","Sep 23, 2013","Oct 22, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The Goldfinch has a solid three star plot-line, in which the main character, Theo Decker, has a fantastic interior life; which isn't always explored fThe Goldfinch has a solid three star plot-line, in which the main character, Theo Decker, has a fantastic interior life; which isn't always explored fully in shorter novels, and why I'm giving it the two extra stars it deserves.  There's no doubt in my mind that Donna Tartt is a brilliant genius and one of the most descriptive authors of our strange and wonderful time, as the descriptions throughout this book became more important to me, than even the plot itself. I would highly recommend this story to courageous readers who love long, in depth descriptions, with philosophic ramblings. It is most certainly a time consuming book, but if you have the time to get lost, this one is a great pick. I'm only worried that the other big books on my list for this year, might pale in comparison to this one, but time will tell, won't it? Up next: I'm going to tackle my other favorite author, Haruki Murakami, and his big book IQ84. This is broken up into three sections, so expect three exciting updates and then my original . Happy reading everyone, until next time!...more",Notes are private!,0,5,1,"Jan 08, 2014","Feb 08, 2014","Mar 15, 2014",,Hardcover,view (with text),/book/show/17333223-the-goldfinch
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Divergent        (Divergent, #1)","Roth, Veronica*",0062024035,9780062024039,0062024035,487        pp,4.14,"3,974,228","Apr 25, 2011","Jan 01, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 16, 2014",,Paperback,view,/book/show/13335037-divergent
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Hollow City        (Miss Peregrine’s Peculiar Children, #2)","Riggs, Ransom",1594746125,9781594746123,1594746125,399        pp,4.06,"238,631",2014,"Jan 14, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 14, 2014","Mar 03, 2014","Feb 14, 2014",,Hardcover,view,/book/show/12396528-hollow-city
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Voltaire's Excellent Adventure: The Broken Boarder,"Gibbs, Martin D.*",1495430952,9781495430954,1495430952,290        pp,4.56,9,"Feb 01, 2014",Feb 2014,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"If you enjoyed Mr. Gibbs first book, you will most likely enjoy this one as well. This tome was very well penned, [and in fact I thought it read betteIf you enjoyed Mr. Gibbs first book, you will most likely enjoy this one as well. This tome was very well penned, [and in fact I thought it read better than the first one, since it seemed more edited and less repetitious; but this is just my humble opinion - which should not reflect in any which way on the author himself, nor on the sales of the book itself] which for this reason alone you should reserve your e-copy right away.While I enjoyed the adventure with Gatsby, I thought Voltaire's adventures on Venus took the cake, and of course Happy Sally was my favorite character. All in all, another smart and hilarious ride into the unknown, that just might make you want to give your first born wombat to the author himself, as payment for such an interesting mind trip. There you have been warned!...more",Notes are private!,0,3,1,"Feb 13, 2014","Mar 15, 2014","Feb 13, 2014",,Paperback,view (with text),/book/show/20747458-voltaire-s-excellent-adventure
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Curtsies & Conspiracies        (Finishing School, #2)","Carriger, Gail*",0316254711,9780316254717,,310        pp,4.13,"26,750","Nov 05, 2013","Nov 05, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I have read and thoroughly enjoyed ALL of Carriger's books up to this one. I had a lot of trouble finishing it and couldn't put my finger on why, untiI have read and thoroughly enjoyed ALL of Carriger's books up to this one. I had a lot of trouble finishing it and couldn't put my finger on why, until I read Eden's , which is eloquently written and explains feelings that I had, but couldn't quite put my own words to. ...more",Notes are private!,0,0,1,"Feb 13, 2014","Apr 13, 2014","Feb 13, 2014",,ebook,view (with text),/book/show/17333809-curtsies-conspiracies
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Divergent        (Divergent, #1)","Roth, Veronica*",,,,342        pp,4.14,"3,974,228","Apr 25, 2011","May 03, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 13, 2014","Feb 16, 2014","Feb 13, 2014",,Kindle Edition,view,/book/show/9717320-divergent
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Etiquette & Espionage        (Finishing School, #1)","Carriger, Gail*",,,B007ZGKMXM,320        pp,3.83,"49,265","Feb 05, 2013","Feb 05, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Feb 07, 2014","Feb 13, 2014",,Kindle Edition,view,/book/show/12813649-etiquette-espionage
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nom Nom Paleo: Food for Humans        (Volume 1),"Tam, Michelle*",1449450334,9781449450335,1449450334,288        pp,4.31,"6,069","Dec 17, 2013","Dec 17, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ever since I was officially diagnosed with celiac disease, started cross-fit training, and generally had to do a lifestyle overhaul, Michelle Tam's blEver since I was officially diagnosed with celiac disease, started cross-fit training, and generally had to do a lifestyle overhaul, Michelle Tam's blog and now her amazing cookbook and iPad app, have been by my side. She's my go to gal for all things Paleo. She makes cooking fun and shows that it doesn't have to be very time consuming at all. Her recipes are easy to follow, look amazing, and taste delicious. I have even surprised guests. Don't take my word for it though, check it out for yourself, you just might be amazed....more",Notes are private!,0,1,1,not set,"Jan 12, 2014","Jan 12, 2014",,Hardcover,view (with text),/book/show/17924086-nom-nom-paleo
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Little Known Facts,"Sneed, Christine*",1608199681,9781608199686,,304        pp,3.29,"1,431","Jan 17, 2013","Feb 01, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 25, 2013","Dec 27, 2013","Dec 27, 2013",,ebook,view,/book/show/17075198-little-known-facts
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Flipped,"Van Draanen, Wendelin*",,,B003XMWSNY,226        pp,3.98,"117,342","Oct 09, 2001","Aug 10, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 24, 2013","Dec 26, 2013","Dec 26, 2013",,Kindle Edition,view,/book/show/8853089-flipped
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wishin' and Hopin': A Christmas Story,"Lamb, Wally*",0061968161,9780061968167,0061968161,288        pp,3.59,"17,634","Nov 01, 2009","Nov 10, 2009",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I was looking for a Christmas tale, when I came across this one. Since it was written by Wally Lamb, I thought I'd give it a go, as I really enjoyed sI was looking for a Christmas tale, when I came across this one. Since it was written by Wally Lamb, I thought I'd give it a go, as I really enjoyed some of his other books. This one was different than his other works, in that it was more light-hearted. However, it failed to wow me.It really didn't have a plot to speak of and it was written in way that's meant to make you feel nostalgic for a different era, but failed. Instead I felt as if I was being beaten over the head, with the writing saying: 'see how quirky and loveable people used to be?' Ugh, sorry, so not for me.The only redeeming quality for me was that it was a quick read.This is just my opinion, and I can see that others have read and enjoyed it, quite a bit. I'm going to recommend this to my mom, since she grew up in 1964 and probably could relate to the characters better. I would also recommend this one to anyone who has a funny play story or had to deal with catholic school, then you too might find this one enjoyable as well.Anyways, regardless of liking or not liking this book, I wish you all a very happy Holiday season! Cheers....more",Notes are private!,0,1,1,"Dec 21, 2013","Dec 24, 2013","Dec 21, 2013",,Kindle Edition,view (with text),/book/show/7202381-wishin-and-hopin
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Where'd You Go, Bernadette","Semple, Maria",0316204269,9780316204262,0316204269,326        pp,3.88,"572,358","Aug 14, 2012","Apr 02, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"**spoiler alert** Disappearing Has Never Been So Much Fun! It's the busiest time of the year, so I decided to forego all my expected obligations, and **spoiler alert** Disappearing Has Never Been So Much Fun! It's the busiest time of the year, so I decided to forego all my expected obligations, and sat down with this delightful read instead. I'm really glad I did because this was just what I needed!This was one of those rare books that spoke to me through it's wonderfully flawed adult characters (hint everyone's KRAZY in his or her own unique ways!) and made me LOVE the narrator Bee, who's adventerous, intellegent, and comes to her own conclusions about the chaos that swirls around her on a daily basis.I also really liked how the book was laid out. The information comes to the reader via emails, letters, logs, and confidential FBI documents that Bee has collected to form her version of the book. Brilliant on Maria Semple's part for letting the reader connect with Bee from the beginning, as well as, to set the stage for the mystery; the disappearance of Bee's mom, Bernadette.Bernadette's fabulous too! She's the kind of person I could be friends with. She comes across as being flaky, but in reality, she's brilliant. She's the most influential architect no one's ever heard of, since she's constantly disappearing in different ways throughout the book. It takes courage for Bernadette to go on the Antarctic voyage by herself, in order to come back around to appearing again, for Bee, as well as herself, by putting the experience in her own words for perspective at the end.Highly recommended for readers who have wished to disappear (either literally or figuratively), have relocated or even stayed put geographically but had to adjust to a new way of life, have called into question their sanity, have felt like an outsider, or are just looking for a fun and hilarious read that's different; then this book is for you!I leave you now with some breath taking views of Antarctica that can be viewed on my BookLikes page: http://kpaone92.booklikes.com/It makes me wish I was there....more",Notes are private!,0,4,1,"Dec 16, 2013","Dec 23, 2013","Dec 16, 2013",,Paperback,view (with text),/book/show/15790857-where-d-you-go-bernadette
