,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,A.S.'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Silence,"Endō, Shūsaku",0800871863,9780800871864,0800871863,219        pp,4.09,"34,200",1966,"Feb 15, 1980",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Wow. Just wow.,Notes are private!,0,1,1,not set,not set,"Jan 29, 2012",,Paperback,view (with text),/book/show/25200.Silence
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Maytrees,"Dillard, Annie",0061239534,9780061239533,0061239534,216        pp,3.61,"6,443","Jun 12, 2007","Jun 12, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 08, 2012",,Hardcover,view,/book/show/12533.The_Maytrees
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Orthodoxy,"Chesterton, G.K.",160096527X,9781600965272,160096527X,168        pp,4.18,"38,119",1908,"Jan 10, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 08, 2012",,Paperback,view,/book/show/87665.Orthodoxy
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Monster in the Hollows        (The Wingfeather Saga, #3)","Peterson, Andrew*",0982621434,9780982621431,0982621434,348        pp,4.69,"13,975",May 2011,"Jan 01, 2011",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 18, 2011",,Paperback,view,/book/show/10954417-the-monster-in-the-hollows
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rise and Fall of Mount Majestic,"Trafton, Jennifer*",0803733755,9780803733756,0803733755,352        pp,3.95,"2,141","Oct 25, 2010","Dec 02, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 12, 2010",,Hardcover,view,/book/show/7843500-the-rise-and-fall-of-mount-majestic
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Charlatan's Boy,"Rogers, Jonathan",0307458229,9780307458223,0307458229,320        pp,4.00,648,"Oct 05, 2010","Oct 05, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 05, 2010",,Paperback,view,/book/show/7832957-the-charlatan-s-boy
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Tale of Two Cities,"Dickens, Charles",0141439602,9780141439600,0141439602,489        pp,3.87,"947,102","Nov 26, 1859",2003,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Completely fabulous. Dickens' writing is witty, smart, unexpectedly funny, and then by turns beautiful and horrifying. Such great images: the rising sCompletely fabulous. Dickens' writing is witty, smart, unexpectedly funny, and then by turns beautiful and horrifying. Such great images: the rising sea, the golden thread, La Guillotine, St. Antoine, the wine barrel, the knitting, oh the terrible knitting! Truly one of the best books of our language. ...more",Notes are private!,0,5,1,"Sep 28, 2010","Oct 24, 2010","Sep 28, 2010",,Paperback,view (with text),/book/show/1953.A_Tale_of_Two_Cities
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fiddler's Green        (Fin's Revolution, #2)","Peterson, A.S.*",0982621418,9780982621417,0982621418,352        pp,4.42,860,Dec 2010,"Dec 15, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 28, 2010",,Paperback,view,/book/show/9379864-fiddler-s-green
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Watership Down        (Watership Down, #1)","Adams, Richard",038039586X,9780380395866,038039586X,478        pp,4.08,"480,834",Nov 1972,Jun 1975,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 18, 2010",not set,"Sep 18, 2010",,Mass Market Paperback,view,/book/show/76620.Watership_Down
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Death of Ivan Ilyich/Master and Man,"Tolstoy, Leo",0679642935,9780679642930,0679642935,116        pp,4.14,"1,184",1866,"Sep 30, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Great short story. Amazing how something written over 100 years ago can be so completely contemporary.,Notes are private!,0,0,1,"Sep 14, 2010","Sep 18, 2010","Sep 14, 2010",,Hardcover,view (with text),/book/show/18391.The_Death_of_Ivan_Ilyich_Master_and_Man
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Gilead        (Gilead, #1)","Robinson, Marilynne",031242440X,9780312424404,031242440X,247        pp,3.85,"110,302","Oct 28, 2004","Jan 10, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 14, 2010",,Paperback,view,/book/show/68210.Gilead
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Saint Patrick,"Rogers, Jonathan",1595553053,9781595553058,1595553053,160        pp,3.73,144,"Feb 06, 2010","Mar 01, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 17, 2010",not set,"Mar 17, 2010",,Paperback,view,/book/show/7789596-saint-patrick
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Paradise Lost,"Milton, John",0140424393,9780140424393,0140424393,512        pp,3.84,"165,919",1667,"Apr 29, 2003",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 17, 2010","Apr 18, 2010","Mar 17, 2010",,Paperback,view,/book/show/15997.Paradise_Lost
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Our Magnificent Bastard Tongue: The Untold History of English,"McWhorter, John",1592404944,9781592404940,1592404944,229        pp,3.82,"6,850","Oct 01, 2008",Nov 2009,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 03, 2010","Jan 30, 2010",,Paperback,view,/book/show/6428745-our-magnificent-bastard-tongue
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Out of Egypt        (Christ the Lord, #1)","Rice, Anne",0375412018,9780375412011,0375412018,322        pp,3.60,"14,820","Nov 01, 2005","Nov 01, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 03, 2010",,Hardcover,view,/book/show/333713.Out_of_Egypt
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"North! or Be Eaten        (The Wingfeather Saga, #2)","Peterson, Andrew*",1400073871,9781400073870,1400073871,331        pp,4.55,"16,060","Aug 07, 2009","Aug 18, 2009",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 23, 2009",,Paperback,view,/book/show/6447415-north-or-be-eaten
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"On the Edge of the Dark Sea of Darkness        (The Wingfeather Saga, #1)","Peterson, Andrew*",1400073847,9781400073849,1400073847,290        pp,4.33,"24,410","Mar 18, 2008","Mar 18, 2008",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 23, 2009",,Paperback,view,/book/show/1611657.On_the_Edge_of_the_Dark_Sea_of_Darkness
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Million Miles in a Thousand Years: What I Learned While Editing My Life,"Miller, Donald",0785213066,9780785213062,0785213066,255        pp,4.13,"30,836","Apr 15, 2009","Sep 29, 2009",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Dec 26, 2009","Dec 22, 2009",,Hardcover,view,/book/show/1999475.A_Million_Miles_in_a_Thousand_Years
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Vampire Lestat        (The Vampire Chronicles, #2)","Rice, Anne",0345476883,9780345476883,0345476883,481        pp,4.09,"200,356",1985,"Aug 31, 2004",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Mass Market Paperback,view,/book/show/43814.The_Vampire_Lestat
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Blood Meridian, or, the Evening Redness in the West","McCarthy, Cormac",,,,351        pp,4.16,"164,492","Apr 28, 1985",May 1992,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 13, 2010","Sep 06, 2010","Nov 01, 2009",,Paperback,view,/book/show/394535.Blood_Meridian_or_the_Evening_Redness_in_the_West
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Cry, the Beloved Country","Paton, Alan",074326195X,9780743261951,074326195X,316        pp,3.92,"74,783","Feb 01, 1948","Nov 25, 2003",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,not set,"Nov 01, 2009",,Hardcover,view,/book/show/6150.Cry_the_Beloved_Country
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Shack,"Young, William Paul",0964729237,9780964729230,0964729237,248        pp,3.83,"651,384","May 01, 2007","Jul 01, 2007",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Paperback,view,/book/show/1812457.The_Shack
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Neuromancer        (Sprawl, #1)","Gibson, William",,,,271        pp,3.90,"326,925",1984,"Jul 01, 1984",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Mass Market Paperback,view,/book/show/22328.Neuromancer
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Death of a Salesman,"Miller, Arthur",0435233076,9780435233075,0435233076,144        pp,3.57,"234,365",1949,"Jan 01, 1994",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Hardcover,view,/book/show/12898.Death_of_a_Salesman
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,It,"King, Stephen*",0451169514,9780451169518,0451169514,"1,090        pp",4.24,"1,110,679","Sep 15, 1986",2002,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Mass Market Paperback,view,/book/show/18342.It
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jonathan Strange & Mr. Norrell,"Clarke, Susanna",,,,"1,006        pp",3.86,"236,379","Sep 08, 2004","Aug 01, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Paperback,view,/book/show/14201.Jonathan_Strange_Mr_Norrell
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Silmarillion,"Tolkien, J.R.R.",0618391118,9780618391110,0618391118,386        pp,4.01,"292,794","Sep 15, 1977","Nov 15, 2004",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Hardcover,view,/book/show/7332.The_Silmarillion
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mere Christianity,"Lewis, C.S.",0684823780,9780684823782,0684823780,191        pp,4.35,"412,721",1942,"Jan 01, 1996",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Paperback,view,/book/show/11138.Mere_Christianity
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Extremely Loud & Incredibly Close,"Foer, Jonathan Safran *",0618711651,9780618711659,0618711651,326        pp,3.97,"420,938",2005,"Apr 04, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Paperback,view,/book/show/4588.Extremely_Loud_Incredibly_Close
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Two Towers        (The Lord of the Rings, #2)","Tolkien, J.R.R.",0618346260,9780618346264,0618346260,322        pp,4.48,"968,690","Nov 11, 1954","Jan 01, 1993",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Paperback,view,/book/show/15241.The_Two_Towers
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Walden or, Life in the Woods","Thoreau, Henry David",0877736812,9780877736813,0877736812,unknown,3.78,"189,213","Aug 09, 1854","Jul 28, 1992",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Audio Cassette,view,/book/show/1819090.Walden_or_Life_in_the_Woods
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Peace Like a River,"Enger, Leif",0802139256,9780802139252,B007CV7V5W,312        pp,4.01,"90,380","Aug 02, 2001","Jan 01, 2001",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Nov 01, 2009",,Paperback,view,/book/show/227571.Peace_Like_a_River
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Return of the King        (The Lord of the Rings, #3)","Tolkien, J.R.R.",,,,404        pp,4.56,"903,718","Oct 20, 1955",2003,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Mass Market Paperback,view,/book/show/18512.The_Return_of_the_King
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Heart of Darkness,"Conrad, Joseph",1892295490,9781892295491,1892295490,188        pp,3.43,"513,012",1899,"Oct 01, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Paperback,view,/book/show/4900.Heart_of_Darkness
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Confederacy of Dunces,"Toole, John Kennedy",0802130208,9780802130204,0802130208,394        pp,3.89,"275,441","May 01, 1980",Jan 1994,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Paperback,view,/book/show/310612.A_Confederacy_of_Dunces
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Golden Compass        (His Dark Materials, #1)","Pullman, Philip",0679879242,9780679879244,B001NAR73E,399        pp,4.02,"1,525,491","Jul 01, 1995","Apr 16, 1996",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Hardcover,view,/book/show/119322.The_Golden_Compass
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Watchmen,"Moore, Alan*",0930289234,9780930289232,0930289234,416        pp,4.38,"558,073",1987,2005,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Paperback,view,/book/show/472331.Watchmen
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Twilight Saga,"Meyer, Stephenie",0739352350,9780739352359,0739352350,65        pp,3.92,"119,400",2005,"Aug 02, 2008",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Audio CD,view,/book/show/3090465-the-twilight-saga
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Angels & Demons        (Robert Langdon, #1)","Brown, Dan*",1416524797,9781416524793,1416524797,736        pp,3.94,"3,158,521",May 2000,"Apr 01, 2006",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Paperback,view,/book/show/960.Angels_Demons
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Harry Potter and the Chamber of Secrets        (Harry Potter, #2)","Rowling, J.K.",,,B00ES27LCQ,352        pp,4.43,"3,928,028","Jul 02, 1998","Jun 02, 1999",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Hardcover,view,/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Harry Potter and the Half-Blood Prince        (Harry Potter, #6)","Rowling, J.K.",,,,652        pp,4.58,"3,274,394","Jul 16, 2005","Sep 16, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Paperback,view,/book/show/1.Harry_Potter_and_the_Half_Blood_Prince
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Where the Wild Things Are,"Sendak, Maurice",0099408392,9780099408390,B00BG704OS,38        pp,4.24,"1,003,659","Apr 09, 1963",2000,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Paperback,view,/book/show/19543.Where_the_Wild_Things_Are
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dracula,"Stoker, Bram",0393970124,9780393970128,0393970124,488        pp,4.01,"1,275,083","May 26, 1897","May 12, 1986",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Paperback,view,/book/show/17245.Dracula
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dune        (Dune, #1)","Herbert, Frank",0340839937,9780340839935,0340839937,604        pp,4.27,"1,357,689","Jun 01, 1965","Jan 01, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Paperback,view,/book/show/234225.Dune
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Harry Potter and the Goblet of Fire        (Harry Potter, #4)","Rowling, J.K.",,,,734        pp,4.57,"3,694,738","Jul 08, 2000","Sep 28, 2002",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Paperback,view,/book/show/6.Harry_Potter_and_the_Goblet_of_Fire
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Harry Potter and the Order of the Phoenix        (Harry Potter, #5)","Rowling, J.K.",,,,912        pp,4.50,"3,383,107","Jun 21, 2003",Sep 2004,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Paperback,view,/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
