,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Sheryl's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kissing Kosher,"Meltzer, Jean*",0778334406,9780778334408,0778334406,432        pp,3.86,"3,649","Aug 29, 2023","Aug 29, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 17, 2023","Jan 10, 2024","Sep 17, 2023",,Paperback,view,/book/show/62325757-kissing-kosher
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Everyone In My Family Has Killed Someone        (Ernest Cunningham, #1)","Stevenson, Benjamin*",,,B09Y94K74X,384        pp,3.81,"100,296","Mar 29, 2022","Jan 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 07, 2023",,Kindle Edition,view,/book/show/60669112-everyone-in-my-family-has-killed-someone
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Little Italian Hotel,"Patrick, Phaedra*",0778387127,9780778387121,0778387127,320        pp,3.60,"8,403","Jun 06, 2023","Jun 06, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 06, 2023","Sep 17, 2023","Sep 06, 2023",,Paperback,view,/book/show/61987494-the-little-italian-hotel
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Scent of Burnt Flowers,"Bazawule, Blitz",0593496256,9780593496251,0593496256,256        pp,3.49,"1,532","Jun 28, 2022","Sep 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 02, 2023",,Paperback,view,/book/show/157062597-the-scent-of-burnt-flowers
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lessons in Chemistry,"Garmus, Bonnie*",,,,390        pp,4.30,"1,230,254","Mar 31, 2022","Apr 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 26, 2023",,Hardcover,view,/book/show/58065033-lessons-in-chemistry
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heaven & Earth Grocery Store,"McBride, James*",0593422945,9780593422946,0593422945,380        pp,4.08,"129,164","Aug 08, 2023","Aug 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 20, 2023",,Hardcover,view,/book/show/65678550-the-heaven-earth-grocery-store
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tom Lake,"Patchett, Ann",006332752X,9780063327528,006332752X,309        pp,4.04,"241,610","Aug 01, 2023","Aug 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 20, 2023",,Hardcover,view,/book/show/63241104-tom-lake
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Look for Me There: Grieving My Father, Finding Myself","Russert, Luke*",0785291814,9780785291817,0785291814,272        pp,3.86,"3,780","May 02, 2023","May 02, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Aug 12, 2023",,Hardcover,view,/book/show/61349370-look-for-me-there
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Paper Names,"Luo, Susie*",1335426884,9781335426888,1335426884,288        pp,3.67,"7,131","May 02, 2023","May 02, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Aug 12, 2023",,Hardcover,view,/book/show/61393430-paper-names
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Art of Desire,"Montgomery, Selena",0593439422,9780593439425,0593439422,288        pp,3.35,266,"Dec 25, 2001","Sep 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 12, 2023",,Hardcover,view,/book/show/66086975-the-art-of-desire
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",1400095204,9781400095209,1400095204,543        pp,4.34,"158,872","Sep 12, 2006",Sep 2007,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 02, 2023",,Paperback,view,/book/show/58456361-half-of-a-yellow-sun
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When We Were Friends,"Bourne, Holly*",,9798200916665,B0B71QN3FD,unknown,4.06,"5,018","Sep 27, 2022","Sep 27, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 31, 2023","Jul 31, 2023","Jul 31, 2023",,Audio CD,view,/book/show/62070964-when-we-were-friends
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What She Left Behind: A Haunting and Heartbreaking Story of 1920s Historical Fiction,"Wiseman, Ellen Marie*",0758278454,9780758278456,,336        pp,3.99,"57,354",2015,"Dec 31, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 15, 2023",,Paperback,view,/book/show/17802747-what-she-left-behind
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Beartown        (Beartown, #1)","Backman, Fredrik*",,,,432        pp,4.29,"439,174","Sep 15, 2016","Feb 06, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 03, 2023",,Paperback,view,/book/show/35297401-beartown
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Measure,"Erlick, Nikki",0063204207,9780063204201,0063204207,353        pp,4.00,"196,141","Jun 28, 2022","Jun 28, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 12, 2023",,Hardcover,view,/book/show/58884736-the-measure
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crying in H Mart,"Zauner, Michelle",1984898957,9781984898951,1984898957,239        pp,4.27,"417,142","Apr 20, 2021","Mar 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 09, 2023",,Paperback,view,/book/show/75668238-crying-in-h-mart
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Roman Stories,"Lahiri, Jhumpa",,9780593536322,0593536320,224        pp,3.83,"4,570","Oct 10, 2023","Oct 10, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 04, 2023",,Hardcover,view,/book/show/125077431-roman-stories
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lost Girls of Willowbrook,"Wiseman, Ellen Marie*",1496715888,9781496715883,1496715888,355        pp,3.93,"36,611","Aug 30, 2022","Aug 30, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Jun 2023,"Jun 08, 2023","Jun 01, 2023",,Paperback,view,/book/show/59530862-the-lost-girls-of-willowbrook
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Museum of Failures,"Umrigar, Thrity",164375355X,9781643753553,164375355X,368        pp,4.14,"6,745","Sep 26, 2023","Sep 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 22, 2023",,Hardcover,view,/book/show/75593884-the-museum-of-failures
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Power of the Dog,"Savage, Thomas",0316610895,9780316610896,0316610895,293        pp,4.19,"13,952",1967,"Jun 01, 2001",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 18, 2023","Jun 12, 2023","May 18, 2023",,Paperback,view,/book/show/128073.The_Power_of_the_Dog
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sisters Brothers,"deWitt, Patrick",0062041282,9780062041289,0062041282,328        pp,3.85,"97,274","Apr 26, 2011","Feb 14, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 20, 2023",,Paperback,view,/book/show/12155981-the-sisters-brothers
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Truly Madly Guilty,"Moriarty, Liane*",,,B015MR0UJG,517        pp,3.59,"294,064","Jul 26, 2016","Jul 26, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.75. Like many ers, my primary complaint is that I grew weary of waiting for the “big reveal.” There is such a thing as too much anticipation. 3.75. Like many ers, my primary complaint is that I grew weary of waiting for the “big reveal.” There is such a thing as too much anticipation. This story was engaging, but after awhile, I began to feel strung along and manipulated. There is a certain artistry in knowing just when to divulge the big “what,” and then constructing the remaining narrative so it sheds well-timed light on the various “whys” and “hows.” Suspense for its own sake can be tiresome. Which is why, when I got about 40% through the book with “the day of the barbecue” as obfuscated as ever, I did a Google search in desperation to find spoilers! Then, naturally, once I learned the big secret I questioned whether there was any point in continuing with the book. But continue I did, and I am glad. Despite the “off timing,” I found myself fully engaged by this story and the assortment of characters, so much so that I couldn’t give up on it even after knowing the punch line. The more I read, the more I enjoyed it. This poignant story is funny and delicious; the characters quirky and delightful. Truly, Madly, Guilty would be a near-perfect Moriarty masterpiece had the author not led the reader on for quite so long. But be that as it may, Liane Moriarty has a real talent for harmonizing words and human emotions. Her books are like a merry-go-round—all cheerful music on the surface, but with ever-present ups and downs, the clanging merriment is mere overlay to an entertaining but sometimes stomach-churning ride....more",Notes are private!,0,0,1,not set,not set,"Mar 20, 2023",,Kindle Edition,view (with text),/book/show/27831371-truly-madly-guilty
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Real Life,"Taylor, Brandon",0525538895,9780525538899,0525538895,336        pp,3.81,"33,265","Feb 18, 2020","Feb 16, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 06, 2023",,Paperback,view,/book/show/56293627-real-life
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Barefoot,"Hilderbrand, Elin*",0316018589,9780316018586,0316018589,416        pp,3.79,"73,960","Jul 02, 2007","Jun 01, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 06, 2023","May 18, 2023","Mar 06, 2023",,Hardcover,view,/book/show/712313.Barefoot
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Las Madres,"Santiago, Esmeralda*",030796261X,9780307962614,030796261X,336        pp,4.10,744,"Aug 08, 2023","Aug 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2023",,Hardcover,view,/book/show/63241441-las-madres
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Paris Agent,"Rimmer, Kelly*",1525826689,9781525826689,1525826689,368        pp,4.14,"10,977","Jul 11, 2023","Jul 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2023",,Paperback,view,/book/show/62197599-the-paris-agent
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lincoln Highway,"Towles, Amor*",0735222363,9780735222366,0735222363,576        pp,4.23,"259,068","Oct 05, 2021","Mar 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 14, 2023",,Paperback,view,/book/show/75361333-the-lincoln-highway
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Maybe Someday        (Maybe, #1)","Hoover, Colleen*",1476753164,9781476753164,,384        pp,4.02,"541,823","Apr 18, 2014",Oct 2022,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I didn't finish. I was listening to the audio book and liking it okay, but stopped caring by the time the author got to the extensive bra description.I didn't finish. I was listening to the audio book and liking it okay, but stopped caring by the time the author got to the extensive bra description. ...more",Notes are private!,0,0,1,"Feb 11, 2023","Mar 02, 2023","Feb 11, 2023",,Paperback,view (with text),/book/show/62967882-maybe-someday
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small Things Like These,"Keegan, Claire",0802158749,9780802158741,0802158749,128        pp,4.19,"153,362","Nov 05, 2021","Nov 30, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 09, 2023",,Hardcover,view,/book/show/58662236-small-things-like-these
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Orphan Collector,"Wiseman, Ellen Marie*",1496715861,9781496715869,1496715861,390        pp,4.24,"44,402","Jul 28, 2020","Jul 28, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 09, 2023",,Paperback,view,/book/show/49244342-the-orphan-collector
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Someone Else's Shoes,"Moyes, Jojo*",1984879294,9781984879295,1984879294,438        pp,3.97,"173,196","Feb 02, 2023","Feb 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 04, 2023",,Hardcover,view,/book/show/62971668-someone-else-s-shoes
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Earth's the Right Place for Love,"Berg, Elizabeth",0593446798,9780593446799,0593446798,273        pp,4.12,"6,783","Mar 21, 2023","Mar 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 02, 2023",,Hardcover,view,/book/show/60788841-earth-s-the-right-place-for-love
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Local Woman Missing,"Kubica, Mary*",0778389448,9780778389446,0778389448,352        pp,4.15,"422,492","May 18, 2021","May 18, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Was going along great, but oh, that ending! Just flew off the rails.",Notes are private!,0,0,1,"Jan 27, 2023",Feb 2023,"Feb 02, 2023",,Hardcover,view (with text),/book/show/54737068-local-woman-missing
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fresh Water for Flowers,"Perrin, Valérie",1609455959,9781609455958,1609455959,476        pp,4.28,"72,388","Feb 28, 2018","Jun 02, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 13, 2023",,Hardcover,view,/book/show/52649136-fresh-water-for-flowers
