,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Azita's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Baba Yaga Laid an Egg,"Ugrešić, Dubravka",1847670660,9781847670663,1847670660,327        pp,3.66,"2,286",2007,"Jan 01, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 24, 2024","Mar 11, 2024","Feb 24, 2024",,Hardcover,view,/book/show/6011268-baba-yaga-laid-an-egg
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Travelling Cat Chronicles,"Arikawa, Hiro",0735235244,9780735235243,B07BJLCTMK,281        pp,4.34,"73,163",Nov 2012,"Oct 23, 2018",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Meh. Cliche as expected.,Notes are private!,0,0,1,"Feb 16, 2024","Feb 23, 2024","Feb 23, 2024",,Kindle Edition,view (with text),/book/show/40961230-the-travelling-cat-chronicles
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Glass Hotel,"Mandel, Emily St. John*",0525521143,9780525521143,0525521143,307        pp,3.69,"172,188","Mar 24, 2020","Mar 24, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 17, 2024","Feb 23, 2024","Feb 17, 2024",,Hardcover,view,/book/show/45754981-the-glass-hotel
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Change: How to Make Big Things Happen,"Centola, Damon",0316457337,9780316457330,0316457337,352        pp,4.06,741,2021,"Jan 19, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2024",,Hardcover,view,/book/show/53369466-change
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer,"Bird, Kai*",,,,721        pp,4.31,"42,643","Apr 05, 2005","Dec 18, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 10, 2024",not set,"Feb 10, 2024",,Paperback,view,/book/show/80571.American_Prometheus
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Moonstone,"Collins, Wilkie",1400199441,9781400199440,,19        pp,3.91,"93,128","Aug 01, 1868","Nov 01, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 stars. Loved the humor and characterization, but as a detective story, no thanks. And the romance? I don’t have a stomach for love at first sight 3.5 stars. Loved the humor and characterization, but as a detective story, no thanks. And the romance? I don’t have a stomach for love at first sight anywhere. ...more",Notes are private!,0,1,1,"Feb 10, 2024","Feb 16, 2024","Feb 10, 2024",,Audiobook,view (with text),/book/show/16110255-the-moonstone
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Maureen        (Harold Fry #3),"Joyce, Rachel",,,B09ZSK7JCV,192        pp,3.96,"6,756","Feb 07, 2023","Feb 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Kindle Edition,view,/book/show/60192876-maureen
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Here in the Dark,"Soloski, Alexis",125088294X,9781250882943,125088294X,256        pp,3.40,"1,008","Dec 05, 2023","Dec 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Hardcover,view,/book/show/65211841-here-in-the-dark
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mother-Daughter Murder Night,"Simon, Nina*",0063315041,9780063315044,0063315041,357        pp,3.59,"53,417","Sep 05, 2023","Sep 05, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 02, 2024","Feb 07, 2024","Feb 02, 2024",,Hardcover,view,/book/show/65646968-mother-daughter-murder-night
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lady Violet Says I Do        (The Lady Violet Mysteries #8),"Burrowes, Grace*",,,B0B7GT37BL,301        pp,4.39,833,"Jan 03, 2023","Jan 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 02, 2024",,Kindle Edition,view,/book/show/61812021-lady-violet-says-i-do
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Narrow Corridor: States, Societies, and the Fate of Liberty","Acemoğlu, Daron",,,B07NYYM4BF,560        pp,4.23,"2,849","Sep 24, 2019","Sep 26, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2024",,Kindle Edition,view,/book/show/52884091-the-narrow-corridor
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Power and Progress: Our Thousand-Year Struggle Over Technology and Prosperity,"Acemoğlu, Daron",1668626403,9781668626405,,unknown,3.92,745,"May 16, 2023","May 16, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2024",,Audiobook,view,/book/show/62315566-power-and-progress
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Building a StoryBrand: Clarify Your Message So Customers Will Listen,"Miller, Donald",0718033329,9780718033323,0718033329,228        pp,4.28,"22,146","Oct 10, 2017","Oct 10, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 24, 2024",,Hardcover,view,/book/show/34460583-building-a-storybrand
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Birnam Wood,"Catton, Eleanor",0374110336,9780374110338,0374110336,432        pp,3.83,"30,752","Mar 02, 2023","Mar 07, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 19, 2024","Jan 27, 2024","Jan 19, 2024",,Hardcover,view,/book/show/60784757-birnam-wood
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Honjin Murders        (Detective Kosuke Kindaichi, #1)","Yokomizo, Seishi",1782275002,9781782275008,1782275002,189        pp,3.67,"14,155",1946,"Dec 05, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 14, 2024",,Paperback,view,/book/show/52706058-the-honjin-murders
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Confessions,"Minato, Kanae",0316200921,9780316200929,0316200921,240        pp,3.98,"46,888","Aug 05, 2008","Aug 19, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 06, 2024",not set,"Jan 14, 2024",,Paperback,view,/book/show/19161835-confessions
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Our Inner Ape: A Leading Primatologist Explains Why We Are Who We Are,"de Waal, Frans",1594481962,9781594481963,1594481962,312        pp,4.18,"4,117",2005,"Aug 01, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 11, 2024",,Paperback,view,/book/show/257106.Our_Inner_Ape
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,چیزی برای از دست دادن ندارید جز جان‌هایتان؛ سفری هجده‌ ساعته با مراد,"Amiry, Suad",,9786229495551,,176        pp,3.83,429,Apr 2010,152,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The four stars are four the topic and approach rather than the delivery. For the writing, I would probably give it two and a half. But I have read theThe four stars are four the topic and approach rather than the delivery. For the writing, I would probably give it two and a half. But I have read the book in translation, so that should be factored in as well. The original is hard to find and too expensive for my budget. ...more",Notes are private!,0,3,1,"Jan 17, 2024","Feb 11, 2024","Jan 10, 2024",,Paperback,view (with text),/book/show/63142318
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Overstory,"Powers, Richard",039335668X,9780393356687,039335668X,502        pp,4.12,"159,523","Apr 03, 2018","Apr 02, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Jan 10, 2024","Jan 22, 2024","Jan 10, 2024",,Paperback,view,/book/show/40180098-the-overstory
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Prince,"Machiavelli, Niccolò",0937832383,9780937832387,0937832383,144        pp,3.84,"337,602",1513,"Jul 13, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 10, 2024",Feb 2024,"Jan 10, 2024",,Paperback,view,/book/show/28862.The_Prince
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Italian Secretary,"Carr, Caleb*",0312939132,9780312939137,0312939132,338        pp,3.23,"5,572",2005,"May 02, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 09, 2024",,Mass Market Paperback,view,/book/show/149170.The_Italian_Secretary
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Accelerate: Building and Scaling High Performing Technology Organizations,"Forsgren, Nicole*",1942788339,9781942788331,1942788339,288        pp,4.07,"7,005",unknown,"Mar 27, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Very interesting and beautifully organised. Easy to follow and impactful. I only wish the performance of the audiobook had been given to a pro insteadVery interesting and beautifully organised. Easy to follow and impactful. I only wish the performance of the audiobook had been given to a pro instead of handled by one of the authors. ...more,Notes are private!,0,1,1,"Jan 06, 2024","Jan 08, 2024","Jan 06, 2024",,Paperback,view (with text),/book/show/35747076-accelerate
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Botchan,"Sōseki, Natsume",4770030487,9784770030481,4770030487,171        pp,3.64,"13,218",1906,"Mar 16, 2007",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 05, 2024","Jan 10, 2024","Jan 05, 2024",,Paperback,view,/book/show/169437.Botchan
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The No. 1 Ladies' Detective Agency        (No. 1 Ladies' Detective Agency, #1)","McCall Smith, Alexander*",1400034779,9781400034772,1400034779,235        pp,3.81,"265,149",1998,"Feb 06, 2003",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Dec 30, 2023","Dec 31, 2023","Dec 30, 2023",,Paperback,view,/book/show/7061.The_No_1_Ladies_Detective_Agency
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Create Space: How to Manage Time and Find Focus, Productivity and Success","Draper, Derek",1782834478,9781782834472,B07B9J2PYS,319        pp,3.70,142,2020,"Sep 06, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 26, 2023",,Kindle Edition,view,/book/show/40748064-create-space
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When We Cease to Understand the World,"Labatut, Benjamín",,,B08QM8VHRT,193        pp,4.14,"36,017",2019,Aug 2022,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Dec 30, 2023",Jan 2024,"Dec 22, 2023",,Kindle Edition,view,/book/show/62069739-when-we-cease-to-understand-the-world
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Greek Lessons,Han Kang,0593595270,9780593595275,0593595270,192        pp,3.49,"7,486","Nov 10, 2011","Apr 18, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,The one thing I absolutely dislike about this fantastic book is the artwork on its cover.,Notes are private!,0,1,1,"Dec 22, 2023","Dec 24, 2023","Dec 22, 2023",,Hardcover,view (with text),/book/show/61686012-greek-lessons
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In Times of Fading Light,"Ruge, Eugen",,,,432        pp,3.68,"3,368",2011,"Jun 11, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Dec 18, 2023","Jan 10, 2024","Dec 18, 2023",,Hardcover,view,/book/show/12386263-in-times-of-fading-light
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Song of Solomon,"Morrison, Toni",140003342X,9781400033423,140003342X,338        pp,4.14,"112,926","Aug 12, 1977","Jun 08, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 17, 2023",,Paperback,view,/book/show/11334.Song_of_Solomon
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Othello,"Shakespeare, William",,,B006U1QW78,314        pp,3.89,"389,780",1603,"Jan 01, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 15, 2023",not set,"Dec 15, 2023",,Mass Market Paperback,view,/book/show/12996.Othello
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Everyone in My Family Has Killed Someone        (Ernest Cunningham, #1)","Stevenson, Benjamin*",0063279029,9780063279025,0063279029,371        pp,3.81,"100,374","Mar 29, 2022","Jan 17, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 stars really. This was a fun read, but like indulging in too rich and sweet a pastry, I’d rather stick to good old dark, brooding Gaelic crime nov3.5 stars really. This was a fun read, but like indulging in too rich and sweet a pastry, I’d rather stick to good old dark, brooding Gaelic crime novels for quite some time to detox :-))...more",Notes are private!,0,3,1,"Dec 10, 2023","Dec 13, 2023","Dec 10, 2023",,Hardcover,view (with text),/book/show/60879779-everyone-in-my-family-has-killed-someone
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lady Violet Pays a Call        (The Lady Violet Mysteries #7),"Burrowes, Grace*",,,B09XTWN2XG,279        pp,4.18,783,"Jun 28, 2022","Aug 23, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 28, 2024","Feb 02, 2024","Dec 07, 2023",,Kindle Edition,view,/book/show/60830876-lady-violet-pays-a-call
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Post Office,"Bukowski, Charles",,,,162        pp,3.94,"126,111",1971,"Oct 13, 2009",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Loved the prose, humour, and social criticism; hated the objectification of women.",Notes are private!,0,1,1,"Dec 07, 2023","Dec 11, 2023","Dec 07, 2023",,Kindle Edition,view (with text),/book/show/40409718-post-office
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Goddesses in Everywoman,"Shinoda Bolen, Jean",,,,370        pp,4.14,"6,141",Jan 1984,"Mar 02, 2004",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was a reread after more than 30 years, and i must say I found it a lot less impressive than the first time. Still, it was interesting and had somThis was a reread after more than 30 years, and i must say I found it a lot less impressive than the first time. Still, it was interesting and had some insight to offer....more",Notes are private!,0,2,1,"Dec 05, 2023","Dec 18, 2023","Dec 05, 2023",,Paperback,view (with text),/book/show/174635.Goddesses_in_Everywoman
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lightseekers        (Philip Taiwo, #1)","Kayode, Femi*",031653661X,9780316536615,031653661X,432        pp,3.73,"2,695","Feb 04, 2021","Mar 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 02, 2023",,Hardcover,view,/book/show/54492661-lightseekers
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Growing Pains of Adrian Mole        (Adrian Mole, #2)","Townsend, Sue",0060533986,9780060533984,0060533986,304        pp,4.00,"16,209",1984,"Aug 19, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 27, 2023",,Paperback,view,/book/show/51069.The_Growing_Pains_of_Adrian_Mole
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How the World Became Rich: The Historical Origins of Economic Growth,"Koyama, Mark",1509540237,9781509540235,1509540237,240        pp,4.24,384,2022,"May 23, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 23, 2023",,Paperback,view,/book/show/59201469-how-the-world-became-rich
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Organized Mind: Thinking Straight in the Age of Information Overload,"Levitin, Daniel J.",052595418X,9780525954187,052595418X,528        pp,3.66,"13,282","Aug 19, 2014","Aug 19, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Nov 22, 2023","Dec 29, 2023","Nov 22, 2023",,Hardcover,view,/book/show/18693669-the-organized-mind
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wonder Test,"Richmond, Michelle*",080215851X,9780802158512,,448        pp,3.93,"3,241","Jul 06, 2021","Jul 06, 2021",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I feel disappointed. The beginning got me very much invested in Lina. I can even say I got attached to her. But the book spiralled down into a cheap tI feel disappointed. The beginning got me very much invested in Lina. I can even say I got attached to her. But the book spiralled down into a cheap thriller pretty fast. ...more,Notes are private!,0,3,1,"Nov 21, 2023","Nov 25, 2023","Nov 21, 2023",,ebook,view (with text),/book/show/55825858-the-wonder-test
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Posthumous Memoirs of Brás Cubas,Machado de Assis,0195101707,9780195101706,0195101707,240        pp,4.25,"30,586",1881,"Dec 10, 1998",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Nov 20, 2023","Nov 26, 2023","Nov 20, 2023",,Paperback,view,/book/show/87262.The_Posthumous_Memoirs_of_Br_s_Cubas
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Measure,"Erlick, Nikki",0063204207,9780063204201,0063204207,353        pp,4.00,"196,211","Jun 28, 2022","Jun 28, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,The premise is fabulous. It will lend itself to hours of delicious philosophical discussions. But the delivery falls short of the potential.,Notes are private!,0,1,1,"Nov 15, 2023","Nov 20, 2023","Nov 15, 2023",,Hardcover,view (with text),/book/show/58884736-the-measure
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the World's a Mall,"Gremaud, Rinny",1772127124,9781772127126,1772127124,152        pp,4.20,5,unknown,"Sep 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 13, 2023",,Paperback,view,/book/show/123496400-all-the-world-s-a-mall
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lady Violet Goes for a Gallop        (The Lady Violet Mysteries, #6)","Burrowes, Grace*",1952443989,9781952443985,B09LF5W75Q,292        pp,4.35,920,"Nov 28, 2021","Feb 22, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,1,2,1,"Dec 07, 2023","Dec 10, 2023","Nov 12, 2023",,Kindle Edition,view,/book/show/59828175-lady-violet-goes-for-a-gallop
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House of Doors,Tan Twan Eng,1639731938,9781639731930,1639731938,320        pp,4.16,"8,907","May 04, 2023","Oct 17, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Nov 06, 2023","Nov 12, 2023","Nov 06, 2023",,Hardcover,view,/book/show/65215270-the-house-of-doors
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pineapple Street,"Jackson, Jenny*",059349069X,9780593490693,059349069X,304        pp,3.58,"153,240","Mar 07, 2023","Mar 07, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"For escape literature, this was surprisingly good!",Notes are private!,0,2,1,"Oct 29, 2023","Nov 02, 2023","Oct 29, 2023",,Hardcover,view (with text),/book/show/61246258-pineapple-street
