,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Mira Margitta's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pravila uljudnosti,"Towles, Amor*",,9789531435567,,404        pp,4.08,"232,167","Jul 26, 2011",2023,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 03, 2024","Feb 08, 2024","Feb 03, 2024",,Paperback,view,/book/show/201856847-pravila-uljudnosti
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,U vezi sa strancem,"Hein, Christoph",,,,158        pp,3.71,827,1982,2020,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 21, 2024","Jan 24, 2024","Jan 21, 2024",,Paperback,view,/book/show/57343166-u-vezi-sa-strancem
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Orkestar manjina,"Obioma, Chigozie*",,9789532592504,,481        pp,3.68,"5,756","Jan 08, 2019",2019,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2024",,Paperback,view,/book/show/52882588-orkestar-manjina
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Neprilagođeni,"Atay, Oğuz",8664574707,9788664574709,8664574707,735        pp,4.56,"11,605",Dec 1972,2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 16, 2024",not set,"Jan 16, 2024",,Hardcover,view,/book/show/123181148-neprilago-eni
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Troje,"Perrin, Valérie",,9789538400186,,592        pp,4.29,"17,503",2021,2023,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"**spoiler alert** Pročitana po preporuci.Ni prva ni zadnja knjiga o odrastanju i prijateljstvu.Spisateljica ima lijep stil pisanja, radnja teče glatko**spoiler alert** Pročitana po preporuci.Ni prva ni zadnja knjiga o odrastanju i prijateljstvu.Spisateljica ima lijep stil pisanja, radnja teče glatko i brzo se čita....more",Notes are private!,0,2,1,"Jan 11, 2024","Jan 24, 2024","Jan 11, 2024",,Paperback,view (with text),/book/show/201272521-troje
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Otok duša,"Holmström, Johanna",,9789535202790,,300        pp,3.86,"1,648",2017,2020,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jan 08, 2024","Jan 11, 2024","Jan 08, 2024",,Paperback,view,/book/show/55857947-otok-du-a
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Moja nestala polovica,"Bennett, Brit*",,9789531430449,,348        pp,4.15,"753,554","Jun 02, 2020",2021,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A mislila sam da će mi godina krenuti ocjenom 5( u knjiškom smislu).Početak je zanimljiv i to je sve.Onda sve do kraja ide mlaka radnja, likovi emotivA mislila sam da će mi godina krenuti ocjenom 5( u knjiškom smislu).Početak je zanimljiv i to je sve.Onda sve do kraja ide mlaka radnja, likovi emotivno falični i nepovezani.Cijelo vrijeme ravna linija, emocije nisu išle ni gore ni dolje.Slab izbor za početak godine....more",Notes are private!,0,2,1,"Jan 02, 2024","Jan 08, 2024","Jan 02, 2024",,Paperback,view (with text),/book/show/58483386-moja-nestala-polovica
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beskrajna lakrdija,"Wallace, David Foster",,9788660361655,,974        pp,4.26,"91,908","Feb 01, 1996","Dec 26, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 26, 2023",,Paperback,view,/book/show/81056746-beskrajna-lakrdija
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Udovica na godinu dana,"Irving, John*",9532202072,9789532202076,9532202072,587        pp,3.77,"62,608",1998,2005,did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 26, 2023","Jan 28, 2024","Dec 26, 2023",,Hardcover,view,/book/show/27237308-udovica-na-godinu-dana
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Crni gavrani        (Shetland Island, #1)","Cleeves, Ann*",,9789531321600,,302        pp,3.96,"49,311",2006,2021,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Dec 11, 2023","Dec 24, 2023","Dec 11, 2023",,Paperback,view,/book/show/58459397-crni-gavrani
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Natrijum-hlorid        (Sonderdezernat Q, #9)","Adler-Olsen, Jussi",8610046443,9788610046441,8610046443,350        pp,4.04,"9,040","Nov 04, 2021",2023,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Nov 29, 2023","Dec 11, 2023","Nov 29, 2023",,Paperback,view,/book/show/123410347-natrijum-hlorid
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Znak ubojice,"Gómez-Jurado, Juan*",,9789531407960,,301        pp,3.86,"3,763",2008,Nov 2010,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Nov 29, 2023","Dec 11, 2023","Nov 29, 2023",,Paperback,view,/book/show/11964784-znak-ubojice
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vrt Zagonetki,"Garrido, Antonio",,9788652141067,,376        pp,3.39,155,unknown,"Apr 29, 2021",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Nov 29, 2023","Dec 11, 2023","Nov 29, 2023",,Paperback,view,/book/show/58384356-vrt-zagonetki
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pisareva kći,"Garrido, Antonio",,,,560        pp,3.69,"1,284",unknown,2010,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Zanimljiva knjiga, jedna od boljih koje sam pročitala u ovoj godini.Preporuka.",Notes are private!,0,3,1,Nov 2023,"Nov 29, 2023","Nov 01, 2023",,Paperback,view (with text),/book/show/20300734-pisareva-k-i
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Coworker,"McFadden, Freida*",172829620X,9781728296203,172829620X,362        pp,3.82,"198,496","Aug 23, 2023","Aug 29, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Oct 28, 2023","Nov 29, 2023","Oct 28, 2023",,Paperback,view,/book/show/123423832-the-coworker
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Majstor zagonetki,"Trussoni, Danielle*",,9789533721316,,388        pp,3.33,"6,083","Jun 13, 2023",2023,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Oct 22, 2023","Nov 29, 2023","Oct 22, 2023",,Paperback,view,/book/show/186582279-majstor-zagonetki
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dvanaest tajni,"Gold, Robert",,9789533608020,,336        pp,4.00,"7,115","Mar 03, 2022",2023,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Oct 16, 2023","Oct 22, 2023","Oct 16, 2023",,Paperback,view,/book/show/199023837-dvanaest-tajni
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Never Lie,"McFadden, Freida*",,,B0BBL2ZW73,286        pp,4.11,"510,870","Sep 19, 2022","Sep 19, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Oct 06, 2023","Oct 16, 2023","Oct 06, 2023",,Kindle Edition,view,/book/show/62080187-never-lie
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tokio by Mo Hayder        (2005-06-30),"Hayder, Mo",,,B01K8ZKKJC,0        pp,3.92,"10,908",2004,unknown,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Oct 06, 2023","Oct 16, 2023","Oct 06, 2023",,Hardcover,view,/book/show/161291384-tokio-by-mo-hayder
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Obrada,"Hayder, Mo",,9789532370577,,356        pp,4.03,"12,690",2001,2008,did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Silovanje dječaka je tema koja se provlači kroz ovu knjigu.Ne, hvala.",Notes are private!,0,1,1,"Sep 24, 2023","Oct 06, 2023","Sep 24, 2023",,Hardcover,view (with text),/book/show/14858190-obrada
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sjena zla,"Willingham, Stacy*",,9789533606040,,360        pp,4.00,"390,371","Jan 11, 2022",2022,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Sep 24, 2023","Oct 06, 2023","Sep 24, 2023",,Mass Market Paperback,view,/book/show/61786410-sjena-zla
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ptičar,"Hayder, Mo",,9789532370522,,304        pp,3.89,"23,219","Dec 01, 1999",Jun 2007,did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ne mogu se sjetiti gdje sam čitala preporuke za knjige ove spisateljice.Pročitala sam dosta trilera, ali iskreno, ovaj me ostavio brz teksta.Kad sam sNe mogu se sjetiti gdje sam čitala preporuke za knjige ove spisateljice.Pročitala sam dosta trilera, ali iskreno, ovaj me ostavio brz teksta.Kad sam stigla do mjesta gdje se spominje nekrofilija, tu je bio kraj čitanja.Od mene -NE....more",Notes are private!,0,2,1,"Sep 24, 2023","Oct 06, 2023","Sep 24, 2023",,Hardcover,view (with text),/book/show/14857497-pti-ar
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Srećna Nova godina,"Stehn, Malin",8652147574,9788652147571,8652147574,390        pp,3.60,"2,765","Oct 12, 2021",2022,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Sep 06, 2023not set","Sep 24, 2023not set","Sep 06, 2023",,Paperback,view,/book/show/64657297-sre-na-nova-godina
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Udovice četvrtka uveče,"Piñeiro, Claudia",8660590384,9788660590383,B004HC8UFO,251        pp,3.57,"5,184",2005,Jul 2010,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Sep 06, 2023Sep 06, 2023","Sep 24, 2023Sep 24, 2023","Sep 06, 2023",,Paperback,view,/book/show/37757349-udovice-etvrtka-uve-e
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kućna pomoćnica,"McFadden, Freida*",,9789531325707,,312        pp,4.33,"1,065,450","Apr 26, 2022",May 2023,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 30, 2023","Sep 24, 2023","Aug 30, 2023",,Paperback,view,/book/show/181734459-ku-na-pomo-nica
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vrag iz Bamberga        (The Hangman's Daughter #5),"Pötzsch, Oliver*",,9789533606934,,608        pp,4.18,"6,811","Aug 08, 2014","Jun 01, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Meni ovaj serijal ne može dosaditi.,Notes are private!,0,1,1,"Aug 30, 2023","Sep 06, 2023","Aug 30, 2023",,Mass Market Paperback,view (with text),/book/show/158982828-vrag-iz-bamberga
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pacijentova tajna,"White, Loreth Anne*",,9789531434492,,381        pp,4.31,"34,934","Mar 08, 2022",May 2023,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Aug 15, 2023","Aug 30, 2023","Aug 15, 2023",,Paperback,view,/book/show/156778566-pacijentova-tajna
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Poklapanje        (Wilde, #2)","Coben, Harlan*",865214916X,9788652149162,865214916X,339        pp,4.20,"51,393","Mar 15, 2022",2023,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 15, 2023","Aug 30, 2023","Aug 15, 2023",,Paperback,view,/book/show/176017737-poklapanje
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dečak iz šume,"Coben, Harlan*",9788652138,9788652138876,,377        pp,3.95,"99,672","Mar 17, 2020","Sep 15, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Aug 09, 2023","Aug 30, 2023","Aug 09, 2023",,Paperback,view,/book/show/55421137-de-ak-iz-ume
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Utočište,"Coben, Harlan*",,9789533603438,,408        pp,4.06,"68,330","Apr 02, 2019",2021,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jul 26, 2023","Aug 15, 2023","Jul 26, 2023",,Paperback,view,/book/show/58920194-uto-i-te
