,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Suanne's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ellipses,"Lawrence, Vanessa*",0593472772,9780593472774,0593472772,288        pp,3.07,138,"Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/174156231-ellipses
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Say Hello to My Little Friend,"Crucet, Jennine Capó*",1668023326,9781668023327,1668023326,304        pp,3.92,200,"Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/176443831-say-hello-to-my-little-friend
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Heavenly Favorite,"Rijneveld, Lucas",1644452731,9781644452738,1644452731,288        pp,3.89,"5,653","Nov 05, 2020","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/127282582-my-heavenly-favorite
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Extinction of Irena Rey,"Croft, Jennifer*",1639731709,9781639731701,1639731709,320        pp,3.42,526,"Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/172979818-the-extinction-of-irena-rey
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pelican Girls,"Malye, Julia Sixtine Marie*",0063299755,9780063299757,0063299755,368        pp,3.45,261,"Jan 03, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/173955779-pelican-girls
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Thirst,"Yuszczuk, Marina",0593472063,9780593472064,0593472063,256        pp,3.72,"1,909","Oct 01, 2020","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/174156085-thirst
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fruit of the Dead,"Lyon, Rachel*",1668020858,9781668020852,1668020858,320        pp,3.68,722,"Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/176443312-fruit-of-the-dead
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Anita de Monte Laughs Last,"Gonzalez, Xochitl*",1250786215,9781250786210,1250786215,342        pp,3.92,"7,380","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/127306192-anita-de-monte-laughs-last
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Great Divide,"Henríquez, Cristina*",0063291320,9780063291324,0063291320,321        pp,3.76,"3,479","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/181110028-the-great-divide
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Recipe for a Perfect Wife,"Brown, Karma*",,9781524744946,,336        pp,3.68,"21,308","Dec 31, 2019","Jan 21, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 04, 2024",,ebook,view,/book/show/40617092-recipe-for-a-perfect-wife
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Secret Book of Flora Lea,"Henry, Patti Callahan*",1668011832,9781668011836,1668011832,355        pp,4.08,"45,035","May 02, 2023","May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 28, 2024",,Hardcover,view,/book/show/61964751-the-secret-book-of-flora-lea
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Kingdoms,"Pulley, Natasha",1635576091,,B08WLTHLSG,439        pp,4.04,"9,117","May 25, 2021","May 25, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I don't like books that jump around in time and I don't like protagonists with amnesia. This book had both. I should've hated it. I loved it. Like... I don't like books that jump around in time and I don't like protagonists with amnesia. This book had both. I should've hated it. I loved it. Like... (Arm sweeps ""Best of 2024"" shelf and sets this book on it.) Try to knock that off if you can....more",Notes are private!,2,8,1,"Feb 27, 2024","Mar 02, 2024","Feb 27, 2024",,Kindle Edition,view (with text),/book/show/57249725-the-kingdoms
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Secret History of Bigfoot,"O’Connor, John",1464216630,9781464216633,1464216630,304        pp,3.15,508,"Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 27, 2024",,Hardcover,view,/book/show/152180034-the-secret-history-of-bigfoot
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fresh from the Country,"Read, Miss",0897334175,9780897334174,0897334175,219        pp,4.14,661,"Dec 01, 1955","Jan 01, 1995",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Adorable.,Notes are private!,0,1,1,not set,not set,"Feb 26, 2024",,Paperback,view (with text),/book/show/669004.Fresh_from_the_Country
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Children of Ash and Elm: A History of the Vikings,"Price, Neil",,,,656        pp,4.18,"5,768","Aug 25, 2020","Mar 05, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Feb 25, 2024","Feb 29, 2024","Feb 25, 2024",,Hardcover,view,/book/show/43305488-children-of-ash-and-elm
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Winter Garden,"Bell, Alexandra",1529100828,9781529100822,1529100828,528        pp,3.98,"2,015","Sep 02, 2021","Sep 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 24, 2024",,Hardcover,view,/book/show/56155176-the-winter-garden
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wager: A Tale of Shipwreck, Mutiny and Murder","Grann, David*",,,B0B6Z4SVTH,352        pp,4.21,"96,488","Apr 18, 2023","Apr 18, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was a book club read and a lot of members have given advance notice that they struggled with it. I honestly went in thinking it was historical fiThis was a book club read and a lot of members have given advance notice that they struggled with it. I honestly went in thinking it was historical fiction. It is not. But once I regrouped I found it pretty interesting. But if it’s not your cup of tea, the Wikipedia page on the Wager gives a much more concise version. ...more",Notes are private!,0,2,1,"Mar 30, 2024","Mar 31, 2024","Feb 23, 2024",,Kindle Edition,view (with text),/book/show/61854923-the-wager
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In the Shadow of the Sword: The Birth of Islam and the Rise of the Global Arab Empire,"Holland, Tom",0385531354,9780385531351,0385531354,526        pp,3.91,"4,546",2012,"May 15, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 02, 2024","Apr 10, 2024","Feb 23, 2024",,Hardcover,view,/book/show/12376830-in-the-shadow-of-the-sword
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dominion: How the Christian Revolution Remade the World,"Holland, Tom",0465093507,9780465093502,0465093507,624        pp,4.26,"6,848","Sep 05, 2019","Oct 29, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Didn't like as much as Forge of Christendom but if Tom Holland writes it, I will read it. If he were my social studies teacher, I'd never miss a classDidn't like as much as Forge of Christendom but if Tom Holland writes it, I will read it. If he were my social studies teacher, I'd never miss a class....more",Notes are private!,0,3,1,"Mar 04, 2024","Mar 22, 2024","Feb 23, 2024",,Hardcover,view (with text),/book/show/43885149-dominion
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Forge of Christendom: The End of Days and the Epic Rise of the West,"Holland, Tom",0385520581,9780385520584,0385520581,512        pp,3.85,"3,651","Sep 18, 2008","May 05, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"In case you haven’t noticed, Tom Holland is my new non-fiction obsession.",Notes are private!,0,6,1,"Feb 23, 2024","Feb 23, 2024","Feb 23, 2024",,Hardcover,view (with text),/book/show/5973277-the-forge-of-christendom
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mrs. Gulliver,"Martin, Valerie*",0385549954,9780385549950,0385549954,304        pp,3.56,158,"Feb 20, 2024","Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Hardcover,view,/book/show/157981733-mrs-gulliver
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Butcher of the Forest,"Mohamed, Premee*",1250881781,9781250881786,1250881781,160        pp,3.94,"1,075","Feb 27, 2024","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 21, 2024",,Paperback,view,/book/show/127281143-the-butcher-of-the-forest
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fox Wife,"Choo, Yangsze*",1250266017,9781250266019,1250266017,390        pp,4.05,"4,867","Feb 13, 2024","Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 21, 2024",,Hardcover,view,/book/show/127278666-the-fox-wife
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Piglet,"Hazell, Lottie",125028984X,9781250289841,125028984X,320        pp,3.60,"5,848","Feb 27, 2024","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 21, 2024",,Hardcover,view,/book/show/127282554-piglet
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Fire,"Lefteri, Christy",0593497287,9780593497289,B0C1YK9V82,323        pp,3.86,"2,414","Aug 17, 2023","Jan 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 21, 2024",,Kindle Edition,view,/book/show/127488337-the-book-of-fire
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Most Ardently,"Novoa, Gabe Cole*",1250869803,9781250869807,1250869803,304        pp,4.08,"3,785","Jan 16, 2024","Jan 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 20, 2024",,Hardcover,view,/book/show/111673641-most-ardently
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Before the Dawn: Recovering the Lost History of Our Ancestors,"Wade, Nicholas",014303832X,9780143038320,014303832X,314        pp,3.99,"4,597","Apr 20, 2006","Mar 27, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Paperback,view,/book/show/110995.Before_the_Dawn
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pirouette,"Scarlett, Susan",1915393299,9781915393296,B0B7KNT9MQ,242        pp,3.11,61,"Jan 01, 2009","Aug 01, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I have a weakness for what I call “Stiff Upper Lip Fiction,” which is basically sensible working-class British women tackling problems in sensible wayI have a weakness for what I call “Stiff Upper Lip Fiction,” which is basically sensible working-class British women tackling problems in sensible ways and being sensible about it.￼ Stella Gibbons. Margery Sharp. Miss Read. So imagine my delight when I discovered “…twelve charming, page-turning romances published under the pseudonym ‘Susan Scarlett’ by none other than beloved children’s author and novelist Noel Streatfeild.” My library acquired the e-book versions, and as of this morning, with Pirouette, I have read all twelve. ￼Are they wonderful if you like this sort of thing? Yes. Are they cozy AF and somewhat formulaic? Absolutely. Are they, by today’s standards, anywhere from a little misogynistic to extremely problematic? Sure. Were they a delight anyway￼? Oh GOD yes. Now let’s powder our noses and have a cup of tea, it’ll do us good....more",Notes are private!,0,6,1,"Feb 17, 2024","Feb 18, 2024","Feb 17, 2024",,Kindle Edition,view (with text),/book/show/72715119-pirouette
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Love in a Mist,"Scarlett, Susan",1915393310,9781915393319,B0B7KJRVMH,220        pp,3.67,48,1944,"Aug 01, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,2,"not setFeb 17, 2024","Feb 17, 2024Feb 17, 2024","Feb 17, 2024",,Kindle Edition,view,/book/show/65651483-love-in-a-mist
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Napoleonic Wars: A Global History,"Mikaberidze, Alexander",0199951063,9780199951062,0199951063,936        pp,4.34,773,"Feb 10, 2020","Feb 10, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I rarely bail out on a history audiobook but I was just retaining nothing here. The narrator was truly awful. Time to move on.,Notes are private!,0,2,1,"Feb 15, 2024","Feb 18, 2024","Feb 15, 2024",,Hardcover,view (with text),/book/show/24966135-the-napoleonic-wars
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Second World Wars: How the First Global Conflict Was Fought and Won,"Hanson, Victor Davis",0465066984,9780465066988,0465066984,652        pp,4.47,"1,563","Oct 17, 2017","Oct 17, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Feb 11, 2024","Feb 15, 2024","Feb 11, 2024",,Hardcover,view,/book/show/34184217-the-second-world-wars
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The First World War: A Complete History,"Gilbert, Martin",0805076174,9780805076172,0805076174,680        pp,4.15,"3,180",1994,"Mar 01, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,not set,not set,"Feb 11, 2024",,Paperback,view,/book/show/191413.The_First_World_War
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Poppies for England,"Scarlett, Susan",,,B0B7BJDZYG,unknown,3.56,89,1947,"Aug 01, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Feb 06, 2024","Feb 17, 2024","Feb 06, 2024",,Kindle Edition,view,/book/show/61673933-poppies-for-england
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Murder While You Work,"Scarlett, Susan",1915393256,9781915393258,B0B6Y57ZTF,235        pp,3.74,137,1944,"Aug 01, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Well thank goodness ONE of these wasn’t as good as the others.,Notes are private!,0,5,1,"Feb 04, 2024","Feb 06, 2024","Feb 04, 2024",,Kindle Edition,view (with text),/book/show/61610518-murder-while-you-work
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Summer Pudding,"Scarlett, Susan",,,B0B6M4WXKW,unknown,3.94,193,1943,"Aug 01, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 03, 2024","Feb 04, 2024","Feb 03, 2024",,Kindle Edition,view,/book/show/61448993-summer-pudding
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Under the Rainbow,"Scarlett, Susan",,,B0B69R7PHZ,unknown,4.08,155,1942,"Aug 01, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 03, 2024","Feb 03, 2024","Feb 03, 2024",,Kindle Edition,view,/book/show/61428910-under-the-rainbow
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Babbacombe's,"Scarlett, Susan",,,B0B5VWXN6Y,282        pp,4.04,290,1941,"Aug 01, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 02, 2024","Feb 03, 2024","Feb 02, 2024",,Kindle Edition,view,/book/show/61400442-babbacombe-s
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Peter and Paul,"Scarlett, Susan",,,B0B57PBG6F,240        pp,3.77,122,"Jan 01, 1940","Aug 01, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Jan 31, 2024",Feb 2024,"Feb 02, 2024",,Kindle Edition,view,/book/show/61364201-peter-and-paul
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Man in the Dark,"Scarlett, Susan",,,B0B5VXQVNN,unknown,4.09,156,1940,"Aug 01, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I’ve been scarfing these Susan Scarlett books like potato chips. I can’t deal with how wonderful they are.,Notes are private!,0,4,1,"Feb 02, 2024","Feb 02, 2024","Feb 02, 2024",,Kindle Edition,view (with text),/book/show/61400441-the-man-in-the-dark
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ten Way Street,"Scarlett, Susan",,,B0B57Q7RQS,unknown,3.82,136,"Jan 01, 1941","Aug 01, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,Feb 2024,"Feb 02, 2024","Feb 01, 2024",,Kindle Edition,view,/book/show/61364202-ten-way-street
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Unfathomable City: A New Orleans Atlas,"Solnit, Rebecca",0520274032,9780520274037,0520274032,176        pp,4.42,615,"Nov 28, 2013","Nov 18, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2024",,Hardcover,view,/book/show/17739571-unfathomable-city
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Olivia's Luck,"Alliott, Catherine*",,,B001KSXWVA,0        pp,3.86,"1,525","Jan 01, 2000","Jan 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2024",,Mass Market Paperback,view,/book/show/75015850-olivia-s-luck
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Alternatives to Sex,"McCauley, Stephen*",0743453190,9780743453196,,304        pp,3.41,826,"Mar 28, 2006","Jan 09, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 31, 2024",,Paperback,view,/book/show/100837.Alternatives_to_Sex
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,You Only Call When You're in Trouble,"McCauley, Stephen*",125029679X,9781250296795,125029679X,336        pp,3.53,"1,443","Jan 09, 2024","Jan 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 31, 2024",,Hardcover,view,/book/show/127278269-you-only-call-when-you-re-in-trouble
