,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Claire's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Maurice and Maralyn: An Extraordinary True Story of Love, Shipwreck and Survival","Elmhirst, Sophie",1529921562,9781529921564,B0C6PYTGWF,254        pp,4.26,219,"Feb 29, 2024","Feb 29, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Kindle Edition,view,/book/show/168726464-maurice-and-maralyn
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Don't Look Now and Other Stories,"du Maurier, Daphne",0141188375,9780141188379,0141188375,272        pp,3.82,"8,450",1971,"Jun 29, 2006",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I just about enjoyed the title story (although, sorry, but the film is better), read the next two and gave up. Too dated.",Notes are private!,0,1,1,"Feb 08, 2024","Feb 12, 2024","Feb 12, 2024",,Paperback,view (with text),/book/show/713898.Don_t_Look_Now_and_Other_Stories
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ten Days,"Duffy, Austin",1783786302,9781783786305,1783786302,272        pp,3.78,143,unknown,"Jan 28, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2024",,Paperback,view,/book/show/56277717-ten-days
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Night Interns,"Duffy, Austin",1783788356,9781783788354,1783788356,0        pp,3.39,537,"Aug 04, 2022","May 04, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I absolutely loved this novel about (as the title suggests) three surgical interns in a Dublin hospital working the nightshift. This is definitely goiI absolutely loved this novel about (as the title suggests) three surgical interns in a Dublin hospital working the nightshift. This is definitely going on my top ten reads of 2024. And the more I think about, the cleverer I realise it is: a novel with a structure that matches the content. It's told from the point of view of an unnamed, ungendered narrator who's working several shifts, mostly at night with two other interns, Lynda and Stuart. They are continually beeped on their pagers and have to go to different wards around the hospital to carry out various tasks - mostly mundane but some highly pressured. Sleep deprivation, and terror at doing something wrong or being accused of doing something wrong by the toxic hospital consultants is pervasive, which means there's alternately a dream-like quality to what's happening or everything is lit up with a hideous brightness.Some s have criticised The Night Interns for a lack of a plot and that many (all?) of the crises fizzle out, but that's the point. Instead of the usual Western structure of everything leading to a single climax, here we have scene after scene that might go badly or might go well (just as the narrator feels). And these brightly lit scenes and are linked both physically and metaphorically by the long dark corridors that the interns have to traipse up and down to get to the wards and back to the res where they can (perhaps) rest.We see the narrator's intern colleagues talking to each other and sometimes laughing and just like the narrator we don't always understand why. This kind of confusion just made me feel more like the narrator must be feeling - too tired, too discombobulated to work things out.At first I wasn't sure about not knowing the narrator's gender or name, but perhaps that is to show that their condition is universal.I love novels set in places of work, and I love reading about hospitals, so The Night Interns was always going to appeal to me, but I think it's a brilliant novel which seems to be a little misunderstood. ...more",Notes are private!,1,22,1,"Feb 04, 2024","Feb 07, 2024","Feb 08, 2024",,Paperback,view (with text),/book/show/141396537-the-night-interns
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Becoming Psychic: Lessons from the Minds of Mediums, Healers, and Psychics","Tarrant, Jeff*",0757324789,9780757324789,0757324789,320        pp,4.86,7,unknown,"Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2024",,Paperback,view,/book/show/123250224-becoming-psychic
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Art of Revision: The Last Word,"Davies, Peter Ho",1644450399,9781644450390,1644450399,172        pp,4.26,238,unknown,"Nov 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Paperback,view,/book/show/56269262-the-art-of-revision
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,From Where You Dream: The Process of Writing Fiction,"Butler, Robert Olen*",0802142575,9780802142573,0802142575,288        pp,3.94,"1,465","Mar 02, 2005","Jan 09, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Paperback,view,/book/show/222115.From_Where_You_Dream
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Craft in the Real World: Rethinking Fiction Writing and Workshopping,"Salesses, Matthew*",1948226804,9781948226806,1948226804,256        pp,4.48,"2,057","Jan 19, 2021","Jan 19, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Paperback,view,/book/show/55155120-craft-in-the-real-world
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Art and Fear: Observations on the Perils (and Rewards) of Artmaking,"Bayles, David",0961454733,9780961454739,0961454733,122        pp,3.77,"91,207",1994,"Apr 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Paperback,view,/book/show/187633.Art_and_Fear
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Escaping into the Open: The Art of Writing True,"Berg, Elizabeth",0060929294,9780060929299,0060929294,223        pp,4.07,"1,435",1999,"May 30, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Paperback,view,/book/show/127391.Escaping_into_the_Open
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Refuse to Be Done: How to Write and Rewrite a Novel in Three Drafts,"Bell, Matt*",1641293411,9781641293419,1641293411,168        pp,4.47,"1,411","Mar 08, 2022","Mar 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Paperback,view,/book/show/58640362-refuse-to-be-done
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Still Writing: The Perils and Pleasures of a Creative Life,"Shapiro, Dani*",0802121403,9780802121400,0802121403,230        pp,4.20,"4,439","Oct 01, 2013","Oct 01, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Hardcover,view,/book/show/17465707-still-writing
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Writing Life,"Dillard, Annie",0060919884,9780060919887,0060919884,111        pp,3.98,"17,112",1989,2013,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Paperback,view,/book/show/12530.The_Writing_Life
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Writer Laid Bare: Emotional honesty in a writer's art, craft and life","Kofman, Lee*",1920727566,9781920727567,B09SMZ6GWY,374        pp,4.48,85,unknown,"Mar 30, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Kindle Edition,view,/book/show/60433121-the-writer-laid-bare
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Elmore Leonard's 10 Rules of Writing,"Leonard, Elmore",0061451460,9780061451461,0061451460,96        pp,3.84,"2,039","Oct 30, 2006","Oct 30, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Hardcover,view,/book/show/859230.Elmore_Leonard_s_10_Rules_of_Writing
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Going Home,"Lamont, Tom",1399727524,9781399727525,B0CM648891,320        pp,3.67,3,unknown,"Jun 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"On one of his regular weekend visits to his elderly father, Vic in Enfield, Téo suddenly finds himself swept into a different and unexpected family dyOn one of his regular weekend visits to his elderly father, Vic in Enfield, Téo suddenly finds himself swept into a different and unexpected family dynamic. Told in four voices: Téo, best friend Ben, Vic, and the new local Rabbi, Sybil, this debut is bittersweet and moving. Joel, the four-year-old we hear from briefly at the very beginning, jumps off the page, and is funny and charming, and I just want to hug him. Wonderful! It's hard to  this without giving too much away but I highly recommend it as a story about male friendship and what it means to be a father. ...more",Notes are private!,0,5,1,"Jan 30, 2024","Feb 04, 2024","Feb 06, 2024",,Kindle Edition,view (with text),/book/show/201423341-going-home
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Patience Stone,"Rahimi, Atiq*",1590513444,9781590513446,1590513444,141        pp,3.69,"6,167",2008,"Jan 19, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 02, 2024",,Hardcover,view,/book/show/6624282-the-patience-stone
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Woman in the Dunes,"Abe, Kōbō",0679733787,9780679733782,0679733787,241        pp,3.89,"32,936","Jun 08, 1962","Apr 16, 1991",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2024",,Paperback,view,/book/show/9998.The_Woman_in_the_Dunes
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Death of Grass,"Christopher, John",,,,195        pp,3.88,"9,767",1956,2009,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Well, this was a difficult novel to read, and equally hard to . I read it compulsively to find out what would happen but I was often repulsed byWell, this was a difficult novel to read, and equally hard to . I read it compulsively to find out what would happen but I was often repulsed by it, not only by the story but by the choices Christopher made in writing his characters. Really this is a male power trip, full of misogyny, sexism, and casual racism. It was of course written in the 1950s, but that doesn't excuse all of it.A virus has wiped out grass in China. The virus spreads to Europe and the UK. The government knows that famine will be coming and apparently decides that bombing all the large cities will be a way of decreasing the population so that at least some people survive. John has a brother who lives in a secluded valley in Westmorland and after a tip-off from a friend, he gathers his family, as well as various other people and they set off out of London heading towards the valley. This novel is the story of that journey, first in cars and then on foot and what happens along the way. And let me tell you a lot of bad things happen along the way. Lots of killing, and not only in self defence, and rape. Civilisation falls apart very quickly, and the men with the guns take control.Christopher doesn't let any of the characters spend much time questioning the terrible events and their choices, including letting a man in his fifties taking a 'middle-teens' girl as his 'wife', after he shoots his own wife because he's bored of her being adulterous. And yet a boy with a blister on his heel is carried for miles by his parents.I know I'm seeing this with 21st century eyes, but it's a troubling book. Is it a dystopian classic, or a misogynous horror? If you've read it let me know what you think....more",Notes are private!,3,21,1,"Jan 08, 2024","Jan 11, 2024","Jan 12, 2024",,Paperback,view (with text),/book/show/59770556-the-death-of-grass
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No Hiding in Boise,"Hooper, Kim*",1684426235,9781684426232,1684426235,336        pp,4.02,"2,171","Jun 15, 2021","Jun 15, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I was excited by the premise of this novel: the aftermath and effects of a terrible event on three women, but I would have liked a bit more depth of cI was excited by the premise of this novel: the aftermath and effects of a terrible event on three women, but I would have liked a bit more depth of character or theme. It was enjoyable (as much as a story about a shooting could be called enjoyable), but after I guessed the mystery the novel fell rather flat. I don't mind that I guessed but I felt the momentum in the middle of the book dropped....more",Notes are private!,0,9,1,"Jan 07, 2024","Jan 12, 2024","Jan 12, 2024",,Paperback,view (with text),/book/show/56594377-no-hiding-in-boise
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Poor Deer,"Oshetsky, Claire*",006332766X,9780063327665,006332766X,240        pp,4.01,"1,750","Jan 09, 2024","Jan 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Hardcover,view,/book/show/127823311-poor-deer
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Satsuma Complex,"Mortimer, Bob",,,B0B5Y3GR9P,7        pp,3.69,"30,924","Oct 27, 2022","Oct 27, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I'm not really the right audience for this, and Mortimer seems to have done very well without me enjoying or not enjoying The Satsuma Complex. I find I'm not really the right audience for this, and Mortimer seems to have done very well without me enjoying or not enjoying The Satsuma Complex. I find him funny on telly, but in novel form the humour wore very thin. It also doesn't seem right to critique it for it's writing quality because I don't think Mortimer was trying for anything more than a fun and silly story. It's that I suppose, and I didn't hate it, I did finish it (reading it for my book club) but I'm just left with no feeling for it at all.Gary is a Legal Assistant. One night he meets acquaintance, Brendan for a drink and after Brendan leaves abruptly, not before putting something in Gary's pocket, he starts chatting to a girl he calls Satsuma. Gary is swept into a world of intrigue and dodgy coppers. I liked his conversations with the squirrel. Listened as an audio book read by Mortimer. ...more",Notes are private!,0,6,1,"Dec 27, 2023","Jan 07, 2024","Jan 08, 2024",,Audible Audio,view (with text),/book/show/63318204-the-satsuma-complex
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The World Below,"Miller, Sue",0747584583,9780747584582,0747584583,275        pp,3.57,"5,124","Oct 02, 2001","Apr 01, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I'm still diving back into Miller's backlist, and it's interesting to see with The World Below, published in 2001 (her sixth novel) her fascination wiI'm still diving back into Miller's backlist, and it's interesting to see with The World Below, published in 2001 (her sixth novel) her fascination with failed marriages, grandparents, and family houses crop up again. This starts with a grandmother driving in a buggy to see if her granddaughter, Georgia would like to come and live with her after Georgia's mother dies. Georgia declines. We don't meet this grandmother again, but we do meet Georgia who is eventually grandmother to Cath, who in turn becomes grandmother to Jessie. Miller examines the choices women make and are able to make in her usual wonderful style. Not my favourite Miller, but still recommended....more",Notes are private!,0,21,1,"Dec 30, 2023","Jan 02, 2024","Jan 03, 2024",,Paperback,view (with text),/book/show/409995.The_World_Below
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tom Lake,"Patchett, Ann",006332752X,9780063327528,006332752X,309        pp,4.04,"241,644","Aug 01, 2023","Aug 01, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I want to start by stating that I loved Patchett's Commonwealth and The Dutch House, and I was so hoping to love this but I found it actually just pleI want to start by stating that I loved Patchett's Commonwealth and The Dutch House, and I was so hoping to love this but I found it actually just pleasant, easy and sweet, and that in the end wasn't quite enough for me to fall in love with it as many others seem to have done. In the middle of the pandemic, Lara and Joe's three daughters, all in their twenties, return to the family cherry farm to help out. While the women are picking cherries Lara tells her daughters about her past relationship with Peter Duke, a famous movie actor, most of which they don't seem to have heard before (this was odd - why hadn't they been told the story before?). I listened to the audio book, wonderfully read by Meryl Streep. I think my issue with it is that there wasn't the slightest bit of jeopardy - everything felt on the same level of tension, even the couple of surprises that come towards the end. But writing craft-wise, character creation, even, weirdly, story, Patchett can't be faulted. 3.5 stars....more",Notes are private!,6,39,1,"Dec 26, 2023",Jan 2024,"Jan 03, 2024",,Hardcover,view (with text),/book/show/63241104-tom-lake
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Country Will Bring Us No Peace,"Simard, Matthieu",1910312835,9781910312834,1910312835,132        pp,3.70,"3,002","Sep 19, 2017","Aug 12, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Some enjoyable writing and general weirdness, and I liked that Simard often just drops in the future of the characters he's writing about (which also Some enjoyable writing and general weirdness, and I liked that Simard often just drops in the future of the characters he's writing about (which also of course means we know the ending before it happens). But there were some things in the story which seemed to be there only for weirdness and that was rather dissatisfying. A couple come to live an a small rural town which everyone else is leaving. They're grieving while trying to work out who of their neighbours they might make friends with. There is a giant antenna in the woods (why?) which seems to be significant (why?), and a death and dumb girl who is not all she seems (why?). Interesting, but didn't fully work for me. ...more",Notes are private!,0,9,1,"Dec 27, 2023","Dec 30, 2023","Jan 02, 2024",,Paperback,view (with text),/book/show/58058116-the-country-will-bring-us-no-peace
