,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Arbuz Dumbledore's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dom klepsydry,"Rubin, Gareth",8367759540,9788367759540,8367759540,448        pp,3.54,"1,585",unknown,"Feb 28, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"O rany, jak mi się to podobało! Świetne historie, które pięknie się zazębiają. Świetna forma, niezłe wykonanie i interesujące rozwiązanie. Radzę zacząO rany, jak mi się to podobało! Świetne historie, które pięknie się zazębiają. Świetna forma, niezłe wykonanie i interesujące rozwiązanie. Radzę zacząć od niebieskiej części, myślę, że gdy ona będzie pierwsza, to będzie się miało więcej zabawy....more",Notes are private!,2,13,1,"Mar 13, 2024","Mar 17, 2024","Mar 13, 2024",,Paperback,view (with text),/book/show/206657376-dom-klepsydry
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Krucza pieśń        (Green Creek, #2)","Klune, T.J.*",8328730278,9788328730274,8328730278,544        pp,4.43,"32,027","Jul 31, 2018","Feb 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2024",,Paperback,view,/book/show/205444309-krucza-pie
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Foxglove        (Belladonna, #2)","Grace, Adalyn*",8383194471,9788383194479,8383194471,400        pp,4.19,"26,046","Aug 22, 2023","Feb 14, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Nie była nawet w połowie tak dobra, jak pierwszy tom. Jestem strasznie zawiedziona.",Notes are private!,0,6,1,"Mar 29, 2024","Apr 05, 2024","Feb 11, 2024",,Paperback,view (with text),/book/show/205516663-foxglove
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Porcelanowy książę,"Hoffmann, Nika*",8383521081,9788383521084,,624        pp,3.98,207,"Oct 10, 2023","Oct 10, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Paperback,view,/book/show/198205653-porcelanowy-ksi
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Podzieleni. Unwind        (Podzieleni, #1)","Shusterman, Neal*",8383194765,9788383194769,8383194765,432        pp,4.17,"229,172","Nov 06, 2007","Feb 28, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Hardcover,view,/book/show/205560093-podzieleni-unwind
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jedyne ocalałe,"Sager, Riley*",8383218206,9788383218205,8383218206,464        pp,3.84,"188,300","Jul 11, 2017","Mar 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 09, 2024",,Paperback,view,/book/show/206809366-jedyne-ocala-e
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Krąg. Pora karmienia        (Krąg, #3)",Silencio,,,,550        pp,4.69,62,unknown,"Aug 20, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Wow. Po prostu wow.Może napiszę później coś więcej, na razie nie umiem. Silencio nie zawodzi.",Notes are private!,0,6,1,"Feb 09, 2024","Mar 13, 2024","Feb 09, 2024",,,view (with text),/book/show/195488649-kr-g-pora-karmienia
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Grzeczna dziewczynka, zepsuta krew        (Przewodnik po zbrodni według grzecznej dziewczynki, #2)","Jackson, Holly*",8382408184,9788382408188,8382408184,464        pp,4.31,"463,635","Apr 30, 2020","Nov 09, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Paperback,view,/book/show/127072682-grzeczna-dziewczynka-zepsuta-krew
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Krąg. Zrodzeni w mroku cz. ll        (Krąg, #2)",Silencio,,9788395428395,,393        pp,4.81,88,unknown,"Aug 20, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Przecież ja się zapłaczę, gdy skończę tę serię.",Notes are private!,0,7,1,"Feb 03, 2024","Feb 09, 2024","Feb 03, 2024",,Paperback,view (with text),/book/show/79179313-kr-g-zrodzeni-w-mroku-cz-ll
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gnijące miasteczko,"Arndt, Skyla*",8383622031,9788383622033,8383622031,321        pp,3.61,"3,061","Aug 29, 2023","Jan 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2024",,Paperback,view,/book/show/204455224-gnij-ce-miasteczko
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Czarne Góry,"Simmons, Dan",,9788377314616,,496        pp,3.60,"3,083",2010,"Oct 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 27, 2024",,Hardcover,view,/book/show/143476914-czarne-g-ry
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kontratak. Gniewni trzydziestoletni,Sohn Won-Pyung,8383217749,9788383217741,8383217749,280        pp,3.39,114,"Oct 23, 2017","Jan 24, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 27, 2024",,Hardcover,view,/book/show/202502269-kontratak-gniewni-trzydziestoletni
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sekrety alchemii. Eliksiry, homunkulusy i kamień filozofów na usługach władców","Iwaszkiewicz, Maja",,9788367891189,,256        pp,3.50,114,"Oct 11, 2023","Oct 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 27, 2024",,Paperback,view,/book/show/199190679-sekrety-alchemii-eliksiry-homunkulusy-i-kamie-filozof-w-na-us-ugach-w
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Oczy, nosy, usta, brwi","Nishi, Kanako",8395921667,9788395921667,8395921667,208        pp,4.10,134,2012,"Jan 29, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 27, 2024",,Paperback,view,/book/show/204835552-oczy-nosy-usta-brwi
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Krąg. Zrodzeni w mroku cz. I        (Krąg, #2)",Silencio,,,,424        pp,4.70,148,unknown,"Aug 20, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Nie wiem, co będzie dalej, ale na ten moment jestem ZACHWYCONA rozwojem fabuły. Kocham to, jak przedstawione są potwory, kocham postaci i relacje, bawNie wiem, co będzie dalej, ale na ten moment jestem ZACHWYCONA rozwojem fabuły. Kocham to, jak przedstawione są potwory, kocham postaci i relacje, bawię się na niej doskonale....more",Notes are private!,0,9,1,"Jan 24, 2024","Feb 03, 2024","Jan 24, 2024",,Paperback,view (with text),/book/show/58764034-kr-g-zrodzeni-w-mroku-cz-i
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Znajomy świat,"Hwang, Sok-yong",8381104890,9788381104890,8381104890,208        pp,3.68,"1,500",2011,"Nov 21, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5Gdybym przeczytała opis tej książki, a nie tylko rzuciła okiem, to pewnie nigdy bym po nią nie sięgnęła, bo to zupełnie nie moje klimaty, ale kurcz3.5Gdybym przeczytała opis tej książki, a nie tylko rzuciła okiem, to pewnie nigdy bym po nią nie sięgnęła, bo to zupełnie nie moje klimaty, ale kurczę, wiele bym straciła. To naprawdę świetna książka, mądra, z piękną braterską relacją i fajnym realizmem magicznym. Cieszę się, że ją przeczytałam....more",Notes are private!,0,5,1,"Jan 23, 2024","Jan 24, 2024","Jan 23, 2024",,Paperback,view (with text),/book/show/43495148-znajomy-wiat
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Domek z kart,"Hays, Katy*",,9788367996235,,348        pp,3.42,"54,520","Nov 01, 2022","Jan 24, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 23, 2024",,Paperback,view,/book/show/203582060-domek-z-kart
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Wszystko, co lśni        (Enchantée, #1)","Trelease, Gita*",8383217838,9788383217833,,480        pp,3.68,"8,654","Feb 05, 2019","Jan 17, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 23, 2024",,Paperback,view,/book/show/202748116-wszystko-co-l-ni
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,世界一初恋 ~小野寺律の場合17~,"Nakamura, Shungiku",4041120861,9784041120866,,162        pp,3.94,34,"Apr 30, 2022","Apr 30, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 22, 2024","Jan 22, 2024","Jan 22, 2024",,Paperback,view,/book/show/60740054-17
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Nieproszeni goście        (Krąg, #1)",Silencio,9788395428,,,557        pp,4.51,193,"Aug 01, 2020","Aug 01, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Na początku nie byłam co do niej przekonana, bo miałam zgrzyty ze stylem i uważam, że chłopcy zachowują się trochę zbyt dziecięco jak na swój wiek, alNa początku nie byłam co do niej przekonana, bo miałam zgrzyty ze stylem i uważam, że chłopcy zachowują się trochę zbyt dziecięco jak na swój wiek, ale nawet nie zauważyłam momentu, w którym się wciągnęłam i mam wrażenie, że umrę, jak zaraz nie zacznę kolejnego tomu...more",Notes are private!,0,11,1,"Jan 22, 2024","Jan 22, 2024","Jan 22, 2024",,Paperback,view (with text),/book/show/56514189-nieproszeni-go-cie
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Byłam Eileen,"Moshfegh, Ottessa",8328026198,9788328026193,8328026198,352        pp,3.58,"96,199","Aug 18, 2015",Mar 2016,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 19, 2024",,Paperback,view,/book/show/29603017-by-am-eileen
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Życie marionetek,"Klune, T.J.*",8328728257,9788328728257,,464        pp,3.94,"58,887","Apr 25, 2023","Nov 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 19, 2024",,Paperback,view,/book/show/199554264-ycie-marionetek
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Divine Rivals. Pojedynek bogów        (Letters of Enchantment, #1)","Ross, Rebecca*",8328729865,9788328729865,8328729865,352        pp,4.23,"363,935","Apr 04, 2023","Jan 10, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 16, 2024",,Paperback,view,/book/show/204024326-divine-rivals-pojedynek-bog-w
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cmentarz osobliwości,"Hendel, Paulina",8367551842,9788367551847,,478        pp,4.31,"1,307","Sep 06, 2023","Sep 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 15, 2024",,Paperback,view,/book/show/197856266-cmentarz-osobliwo-ci
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sto kwiatów,"Kawamura, Genki",8323353492,9788323353492,8323353492,256        pp,3.74,657,unknown,"Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 13, 2024",,Paperback,view,/book/show/205169615-sto-kwiat-w
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Długo i szczęśliwie,"Cochrun, Alison*",8383180284,9788383180281,8383180284,400        pp,4.14,"63,866","Sep 07, 2021","Sep 28, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 13, 2024",,Paperback,view,/book/show/61913928-d-ugo-i-szcz-liwie
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fable        (Fable, #1)","Young, Adrienne*",8382808182,9788382808186,,400        pp,4.03,"92,474","Sep 01, 2020","Jul 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 13, 2024",,Paperback,view,/book/show/178979576-fable
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Aurora: Przebudzenie        (Aurora, #1)","Kaufman, Amie*",,9788367793261,,416        pp,4.10,"66,955","May 06, 2019","Sep 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 13, 2024",,Hardcover,view,/book/show/160778206-aurora
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Materiał na męża        (London Calling, #2)","Hall, Alexis*",,9788381353274,,440        pp,3.57,"35,077","Aug 02, 2022","Jun 14, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"W pierwszym tomie się zakochałam, ten był sporo gorszy, ale kurczę, na pewno oceniłabym go lepiej, gdyby nie to koszmarne tłumaczenie i brak redakcji.W pierwszym tomie się zakochałam, ten był sporo gorszy, ale kurczę, na pewno oceniłabym go lepiej, gdyby nie to koszmarne tłumaczenie i brak redakcji. 1 tom jest super przetłumaczony, a ten woła o pomstę do nieba. Znaczenia połowy żartów trzeba było się domyślić, tłumacząc je sobie w głowie na angielski, mnóstwo redakcyjnych błędów, które aż bolały w dupę, typu 'księżniczka Diana', Luc przeklina w prawie każdym zdaniu, jakie wypowiada. Naprawdę, wydawanie czegoś takiego, sprzedawanie za niemałe pieniądze czytelnikowi takiego produktu, to jakiś nieśmieszny żart i wydawnictwo Otwarte powinno się wstydzić...more",Notes are private!,0,12,1,"Jan 12, 2024","Jan 14, 2024","Jan 12, 2024",,Paperback,view (with text),/book/show/165124781-materia-na-m-a
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wszyscy tak jeżdżą,"Józefiak, Bartosz",8381917123,9788381917124,,392        pp,4.20,"1,475","Jun 28, 2023","Jun 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 12, 2024",,Hardcover,view,/book/show/144738296-wszyscy-tak-je-d
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,7 procent Ro Devereux,"O'Clover, Ellen*",8383217803,9788383217802,8383217803,344        pp,3.90,"2,314","Jan 17, 2023","Jan 24, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 12, 2024",,Paperback,view,/book/show/202622593-7-procent-ro-devereux
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Akuszerki,"Jakubowska, Sabina",8366997685,9788366997684,8366997685,704        pp,4.58,421,"Feb 23, 2022","Feb 23, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 12, 2024",,Hardcover,view,/book/show/59968383-akuszerki
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nasza część nocy,"Enríquez, Mariana",8380153359,9788380153356,8380153359,720        pp,4.30,"33,893","Nov 27, 2019","May 19, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Paperback,view,/book/show/58096571-nasza-cz-nocy
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One For My Enemy,"Blake, Olivie*",8324088830,9788324088836,8324088830,512        pp,3.80,"16,818","Jan 30, 2019","Nov 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,Paperback,view,/book/show/198980184-one-for-my-enemy
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sekaiichi Hatsukoi Vol. 16,"Nakamura, Shungiku",,9782820343901,,178        pp,4.09,134,"May 01, 2021","Sep 07, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 07, 2024","Jan 07, 2024","Jan 07, 2024",,Paperback,view,/book/show/82168538-sekaiichi-hatsukoi-vol-16
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sekaiichi Hatsukoi Vol. 15,"Nakamura, Shungiku",2820341012,9782820341013,2820341012,194        pp,4.19,221,"May 01, 2020","Aug 18, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 07, 2024","Jan 07, 2024","Jan 07, 2024",,Paperback,view,/book/show/59380832-sekaiichi-hatsukoi-vol-15
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Generał i panna,"du Maurier, Daphne",838361098X,9788383610986,838361098X,448        pp,3.91,"4,945",1946,"Feb 28, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 10, 2024",not set,"Jan 06, 2024",,Hardcover,view,/book/show/204852979-genera-i-panna
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Materiał na chłopaka        (London Calling, #1)","Hall, Alexis*",8381350875,9788381350877,8381350875,451        pp,4.01,"128,496","Jul 07, 2020","Apr 12, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Kocham ją,Notes are private!,0,8,1,"Jan 05, 2024","Jan 11, 2024","Jan 05, 2024",,Paperback,view (with text),/book/show/56856512-materia-na-ch-opaka
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Małżeństwo we troje,"Schmitt, Éric-Emmanuel",,9788324099368,,320        pp,4.09,"2,564",Oct 2012,"Jan 08, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,Hardcover,view,/book/show/204543280-ma-e-stwo-we-troje
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Naila z Latającej Doliny,"Haber, Maja",,9788383621173,,513        pp,4.14,83,"Nov 21, 2023","Nov 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Paperback,view,/book/show/200233722-naila-z-lataj-cej-doliny
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ślepowidzenie        (Ognisty Deszcz, #1)","Watts, Peter*",,9788367793346,,384        pp,4.01,"42,788","Oct 03, 2006","Sep 29, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 23, 2023",,Hardcover,view,/book/show/197485570-lepowidzenie
