,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Iwillread's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tamsus vanduo,"Hawkins, Paula*",,9786094790423,,384        pp,3.59,"388,697","May 02, 2017","Dec 06, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2018",,Hardcover,view,/book/show/36879226-tamsus-vanduo
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fazanų žudikai,"Adler-Olsen, Jussi",,9786094035654,,512        pp,3.88,"40,109","May 28, 2008",2013,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Na, jausmai dvilypiai. Atsižvelgiant į tai, kad knygą buvau padėjusi į šalį keliems mėnesiams, galima suprasti, jog pernelyg stipriai ji neužkabino. TNa, jausmai dvilypiai. Atsižvelgiant į tai, kad knygą buvau padėjusi į šalį keliems mėnesiams, galima suprasti, jog pernelyg stipriai ji neužkabino. Tačiau visiškai taip teigti būtų klaidinga. Tiksliausia būtų pasakyti, jog knyga yra pernelyg ištęsta. Tam tikri jos skyriai be galo įtraukė, o kitus norėjosi greičiau prašokti.Knygoje tikrai laaabai daug detalių, be kurių tikrai būtų įmanoma išsiversti ir iš 544 puslapių drąsiai sutilpti į 350. Taip pat mane glumino veikėjų gausa, o jų visų vardai tokie keisti ir sudėtingi, kad kai kurių taip ir neįsiminiau. Jau vien kol įsiminiau pagrindinius, turėjau perskaityti daugiau nei trečdalį knygos. Dar nuvylė paiki dialogai, gal čia vertėjos darbas, bet jau taip lėkštai skambėjo kai kurie pokalbiai, kad buvo koktu skaityti (kalbu apie Karlo “meilę“ Monai ar tam tikrą jo “sarkazmą“).Knygoje yra nemažai žiaurumų, juos skaityti nebuvo malonu, tačiau tai nedarė knygos prastos, tiesiog perspėju jautresnius, ypač mylinčius gyvūnus, kad tam tikrų nemalonių scenų tikrai bus.Na, o kalbant apie siužetą, man jis pasirodė silpnas. Panašiai kaip ir “Moteris narve“ po viskuo slypi kažkieno liguisti polėkiai, patirti dėl sužalotos vaikystės. Ir nors tema rimta – vaikystės patirtys tikrai gali žaloti, tačiau pateikta kažkaip neišbaigtai. Kilo klausimas, kaip benamė sugeba šaudyti taip taikliai, kad stebisi net ilgametis detektyvas, kaip lengva čia būdavo imti ir nužudyti žmogų arba priešingai – pabėgti.Nors “Moteris narve“ man patiko žymiai labiau, jaučiu iš autoriaus šiokią tokią desperaciją sukurti kažką tokio wooooow ir tada gaunasi šiek tiek visko per daug. Neblogos mintys, neblogi kabliukai, bet per daug, tiesiog per daug. Kita vertus, gal aš esu šiek tiek subtilesnių detektyvų mėgėja. Kur ne šimtas nužudymų, o vienas ar keli (jei kalbama apie serijinius žudikus), kur psichologijos daugiau nei fantastikos.Visgi knyga man visai “suėjo“. Buvo įdomu tai, kad po “Moteris narve“ aš Karlą įsivaizdavau tokį panašų į tą žemą storuliuką iš “Vienas namuose“. O šioje knygoje paaiškėjo, kad jis aukštas gražuolis. 😀 Teko stipriai padirbėti vaizduotėje, kad pakeisti jo išvaizdą ir nesu tikra, ar man visgi gavosi, nes na jis toooks niurzga, ir tie niurzgėjimai tokie netikroviški.. 😀Dar supratau, kad, kitaip nei kitose knygose, čia iš karto aišku, kas yra nusikaltėliai. Visa esmė – kaip prie jų prisikasti ir tai įrodyti. Tad galvoju, gal čia truputį prašauta, nes kai žinomi kaltininkai, nebelieka pusės intrigos.Knygą rekomenduoju, jei turit laisvo laiko, esat atostogose, eilėje nelaukia kokia rimta knyga. Knyga stora, todėl laiko jai reiks nemažai, bet jei tas negąsdina – drąsiai imkit ir skaitykit. Beje, aš tikrai mielai perskaityčiau ir trečiąją, o gal ir tolimesnes Q skyriaus knygas. Tikrai nenurašau autoriaus, ką padariau su Nesbo.. 🙂...more",Notes are private!,0,1,2,"Mar 25, 2018not set","Mar 30, 2018not set","Mar 30, 2018",,Hardcover,view (with text),/book/show/18689290-fazan-udikai
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dingusi Džudė,"Cassidy, Anne",995516087X,9789955160878,995516087X,141        pp,3.77,885,"Jul 19, 2002",2006,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Knygos, istorijos apie dingimus - man jau savaime patinka dėl savo jautrios temos. Tačiau ši buvo išimtis. Pirmiausia painus pasirodė autorės rašymo sKnygos, istorijos apie dingimus - man jau savaime patinka dėl savo jautrios temos. Tačiau ši buvo išimtis. Pirmiausia painus pasirodė autorės rašymo stilius. Dabartį labai staiga keičia prisiminimų vaizdavimas ir tik įpusėjus į pastraipą supranti, kad jau čia kalbama apie praeitį. Tai be galo erzino, be to, tie išgyvenimai nuobodūs, lėti. Pats siužetas irgi nuvylė. Galėčiau sakyti, jog knygos esmė - artimųjų skausmo (ypač sesers Kim) vaizdavimas. O tai, turiu pripažinti, nėra taip įdomu, kaip narpliojimas - kurgi dingo ta mergaitė.Galiausiai, paskutinis knygos trečdalis davė man tai, ko laukiau - šiek tiek intrigos ir detalių apie dingimą. Na, bet pabaiga labai nuvylė. Visa laimė, kad knyga labai plonytė. Realiai - vieno prisėdimo, tik aš ištempiau jį, nes teko prisiversti skaityti, nenorėjau mesti neperskaičius antros knygos šiemet (pirmoji, kurios nepabaigiau , J. Picoult - Kita širdis).Knygos nerekomenduoju. Tačiau kaip ir visada - skonis draugų neturi, gal jums patiktų....more",Notes are private!,0,4,1,"Feb 05, 2018","Feb 07, 2018","Feb 05, 2018",,Paperback,view (with text),/book/show/33867332-dingusi-d-ud
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Druska jūrai,"Sepetys, Ruta*",,9786090125175,,320        pp,4.36,"211,704","Feb 02, 2016",2016,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Oho. Šis žodis per menkas apibūdinti emocijas, apėmusias perskaičius knygą ir, žinoma, ją skaitant. Antrojo pasaulinio karo tema mane domina nuo pat pOho. Šis žodis per menkas apibūdinti emocijas, apėmusias perskaičius knygą ir, žinoma, ją skaitant. Antrojo pasaulinio karo tema mane domina nuo pat paauglystės, pradėjusi su Ana Frank tiesiog negaliu nustoti domėtis panašiomis istorijomis. Apskritai – karo metu dužę žmonių likimai, mano manynu, negali būti pamiršti. Jie privalo nugulti į knygų puslapius ir negali išnykti. Tai yra siaubinga, baisu ir nesuvokiama, bet tokia yra realybė ir man atrodo labai niekšiška nuo jos bėgti.Na jei kalbant apie patį romaną, pirmi puslapiai kiek glumino, nes teko perprasti rašymo stilių, tiksliau – susipažinti su vėikėjais, kadangi epizodai buvo aprašomi iš kiekvieno jų perspektyvos. Tačiau juos pažinus, išmokus vardus, skaityti tampa labai įdomu. Jutau stiprų palankumą Joanai, Florianui ir lenkiukei. Mane žavėjo, kaip karo, bado, skurdo, stingdančio šalčio akivaizdoje jie gebėjo išlikti žmonėmis, geresniais, nei kartais būname mes, toli gražu nepatiriantys nepritekliaus. Tuo pačiu, tiesiogine to žodžio prasme šlykštėjausi tuščiagarbiu vokiečių kareiviu. Tiesą sakant, kai kurių jo “laiškų“ net neprisiverčiau perskaityti, toks atgrasus jis man buvo. Vien tai, kaip stipriai veikėjų charakteriai įsismelkia į skaitančiojo sąmonę, rodo knygos unikalumą. Man atrodo, neatsirastų abejingų, skaitančių knygą “paviršiukais“, nori nenori – ji iškart įtraukia.Knygoje gvildenamos meilės, pasiaukojimo, atsakomybės ir gerumo temos. Tuo pačiu iškyla ir baisiausios ydos – godumas, savanaudiškumas. Nejučia vis stačiau save į veikėjų pozicijas. Vis kėliau klausimą – kaip aš elgčiausi jų vietoje? Ar sugebėčiau išlikti tokia tauri, kaip jie? Prisipažinsiu, kad ir kaip kvailai beskambėtų, bet panašiose istorijose visada stebiuosi šalčiu. Man kyla nuostaba ir klausimai – kaip įmanoma stingdančiame šaltyje keliauti apsirengus vos keliom drapanėlėm? Kaip jie nesuserga?? Kaip jie miega kažkokioje vėjo košiamoje pašiūrėje?? Kaip jie alkani turi jėgų tokiame šaltyje sukarti kelis šimtus kilometrų? Žmogaus galimybės nesuvokiamos.Manau, tai yra knyga, kurią privalo perskaityti kiekvienas ir taškas....more",Notes are private!,0,7,1,"Jan 04, 2018","Jan 06, 2018","Feb 05, 2018",,Hardcover,view (with text),/book/show/32331780-druska-j-rai
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tarp pilkų debesų,"Sepetys, Ruta*",9955389648,9789955389644,9955389648,336        pp,4.37,"242,730","Mar 22, 2011",Dec 2011,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Nuostabi knyga. Dar viena istorija, dar vienas karo aukų liudijimas. Aš nežinau, ar Rutos Sepetys knygos yra įtrauktos į privalomąją literatūrą mokiniNuostabi knyga. Dar viena istorija, dar vienas karo aukų liudijimas. Aš nežinau, ar Rutos Sepetys knygos yra įtrauktos į privalomąją literatūrą mokiniams, tačiau manau, jog turėtų būti įtrauktos. Tokių istorijų mes, gimę jau laisvoje Lietuvoje, jokiais būdais negalime ignoruoti ir leisti joms užsimiršti. Aš esu skaičiusi išties nemažai knygų apie tremtį. Šios pradžia man kažkiek priminė ""Mano vardas Marytė"", ""Anos Frank dienoraštis"". Tačiau nuo vidurio buvo sunku atsiplėšti. Jutau autentiką ir be galo įsigyvenau į istoriją. Nekalbu apie pačią pabaigą - verkiau nesustodama. Istorijos centre - Lina, jos brolis Jonukas, mama, tėtis. Iš vieno lagerio į kitą keliama šeima (tėtis nuo jų atskirtas) patiria visus įmanomus žiaurumus, alkį, speigą, išnaudojimą, ligas. Lina visa tai perteikia savo kūryboje - tapydama, piešdama. Kad ir kaip tai pavojinga, mergaitei tai yra vienintelis paguodos šaltinis, būdas numalšinti įniršį, paliudyti žmonių patiriamą skausmą.Kaip ir ""Druska jūrai"", čia autorė taip pat nagrinėja žmogiškumo baisiausiomis sąlygomis temą. Tad kaip ir kai kurie minėtos knygos veikėjai, čia mane taip pat be galo žavėjo tragiškiausias negandas patyrusiųjų gerumas, pakantumas, meilė kitam, netgi savo priešui. Apskritai tokios knygos (kad ir ""Dievų miškas"", ""Žmogus ieško prasmės"") kartoja tą patį - įmanoma išlikti žmogumi, niekas negali atimti orumo, garbės, net ir pačiomis tragiškiausiomis sąlygomis. Žinoma, tai yra neapsakomai sunku, tačiau tai palaiko viltį, neleidžia pasiduoti. Mergaitei Linai būdingas paaugliškas maištas, stiprus neteisybės netoleravimas, karštakošiškumas vardan tiesos. Tokius jausmus mačiau ir savyje, kuomet tik pradėjau pažintį su tokio pobūdžio literatūra. O tai buvo irgi paauglystėje. Man vis kilo naivūs klausimai - na kodėl to Stalino, to Hitlerio kas nors nepaima ir nenužudo? Kaip jie gali šitaip kankinti žmones ir niekas (kitos šalys) nieko nedaro?? Tai baisu, nesuvokiama, nepakeliama. Tremtį patyrę žmonės sumokėjo kainą, dėl kurios mes esame laisvi. Privalome amžinai tai atsiminti ir amžinai būti jiems dėkingi, su pagarba ir meile neleisti užmarštin nugrimzti baisumams, kuriuos jie patyrė. Ši tema ypač svarbi šiemet - minint Lietuvos valstybės atkūrimo šimtmetį. Visi privalote perskaityti šią knygą....more",Notes are private!,0,10,1,"Feb 03, 2018","Feb 04, 2018","Feb 05, 2018",,Hardcover,view (with text),/book/show/12018489-tarp-pilk-debes
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Paskutinis pabėgimas,"Chamberlain, Diane*",,9786090129333,,360        pp,4.03,"9,559","Mar 01, 1997",Sep 2017,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Skaityti šią knygą man buvo vienas malonumas. Būtent dėl to jai duodu 5-etą. Nors akimirką pagalvojau, kad 5 gauna ir tokios rimtos, vertingos knygos Skaityti šią knygą man buvo vienas malonumas. Būtent dėl to jai duodu 5-etą. Nors akimirką pagalvojau, kad 5 gauna ir tokios rimtos, vertingos knygos kaip “Druska jūrai“ ir tarsi kažkiek keista, jog ir lengva drama, ir toks svarbus kūrinys gauna vienodą įvertinimą, tačiau noriu pabrėžti, jog “Paskutinis pabėgimas“ aukščiausią įvertinimą gauna ne dėl paties turinio, o dėl malonumo, kurį suteikė skaitymo procesas.Ko gero tiktų sakyti, jog tokį įvertinimą gauna pati autorė. Tai yra pirmoji mano pažintis su žymiąja D. Chamberlain. Sakyčiau, jog pažintis labai vykusi. Knyga mane tiesiog prikaustė. Skaityti norėjosi kiekvieną laisvą minutę.Pirmiausia nustebino tai, kad veikėjai pasirodė labai tikroviški, natūralūs, su tikrais jausmais ir išgyvenimais. Vieniems jų buvo labai lengva pajusti palankumą, kitiems – priešiškumą, tretiems – ir tą, ir tą vienu metu. Suzanos jaučiuosi labai pasiilgusi, gaila, kad knyga baigėsi, norėčiau tokio serialo, kad galėčiau su veikėjais “matytis“ nuolat. 🙂Tema, kurią autorė nagrinėja, taip pat labai svarbi. Kėlė pyktį tai, jog vaiko globą gali nulemti pinigai ir tam tikros ligos. Tailerio mama gulėjo psichiatrinėje ligoninėje. Ir nors tai buvo būtent dėl potrauminio streso, kurį patyrė po vyro išdavystės, vien pats buvusio, laikino psichikos sutrikimo faktas teismui pasirodo svarbesnis už Suzanos motinystės įgūdžius ir atsidavimą.Buvo kelios vietos, kurios kėlė klaustukų. Man pasirodė, kad Amerikoje šitaip dingti yra labai paprasta. Pernelyg lengva buvo gauti naujus dokumentus su naujomis pavardėmis, pasisavinti mašinos numerį, dingti visiškai be pėdsakų. Tačiau šie niuansai nebuvo įkyrūs ir mėgautis skaitymu netrukdė. Labai rekomenduoju šią knygą atostogoms, ilgajam savaitgaliui, vasarai ar popietėms, kuomet norisi gero, malonaus, kokybiško laiko su knyga.Ilgai nelaukusi tikrai imsiu ir kitą D. Chamberlain knygą....more",Notes are private!,0,2,1,"Feb 02, 2018","Feb 04, 2018","Feb 05, 2018",,Hardcover,view (with text),/book/show/36188457-paskutinis-pab-gimas
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dingusios        (Rizzoli & Isles, #5)","Gerritsen, Tess*",,9789955132516,9955132515,335        pp,4.14,"66,770","Aug 23, 2005",2010,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Nesitikėjau, kad kada nors taip sakysiu, bet esu truputį nusivylysi. Na, knyga manęs neįtraukė taip, kaip tikėjausi. Gal čia ir yra visa bėda? Gal perNesitikėjau, kad kada nors taip sakysiu, bet esu truputį nusivylysi. Na, knyga manęs neįtraukė taip, kaip tikėjausi. Gal čia ir yra visa bėda? Gal per daug tikėjausi? Visada daug tikiuosi iš Tess. Mano supratimu, labai svarbi tema - prekyba žmonėmis - nebuvo iki galo atskleista. Atrodė, jog ji gvildenama kažkur paraštėse, sutelkiant dėmesį į kažkokias žymių politikų machinacijas. Taigi tos politikos man šį kartą pasirodė per daug, o štai pagrindinės temos narpliojimo - per mažai. Nepadoriai per mažai.Žinoma, tai netrukdė man mėgautis mylimos rašytojos braižu, viena ar kita išties nustebinančia detale, jau pamėgtų personažų asmeninėmis gyvenimo peripetijomis. Todėl tikrai nesigailiu skaičiusi ir rankų nenuleidžiu. Neabejotinai perskaitysiu visas šios serijos knygas. Tik gal truputėlį pailsėsiu. Kad pasiilgčiau Tess. ...more",Notes are private!,0,2,1,"Jan 06, 2018","Jan 08, 2018","Jan 18, 2018",,Hardcover,view (with text),/book/show/17338650-dingusios
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Devyniolika minučių,"Picoult, Jodi*",9955381507,9789955381501,9955381507,560        pp,4.16,"370,642","Mar 05, 2007",2008,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Knyga kėlė begalinį susidomėjimą. Nenorėjau veikti nieko kito – tik skaityti. Pati šaudymo mokykloje tema labai domino, ir man norėjosi kuo greičiau iKnyga kėlė begalinį susidomėjimą. Nenorėjau veikti nieko kito – tik skaityti. Pati šaudymo mokykloje tema labai domino, ir man norėjosi kuo greičiau išgirsti Piterio motyvus, įsijausti tiek į jo, tiek į šaudymo aukų emocijas. Autorė kaip visada puikiai įsigilino į teisinius ir visus kitus specifinius dalykus, kurie jos kūriniams suteikia tikroviškumo, padeda įtikinti skaitytoją. Gana įdomus buvo ir vertėjos darbas, nustebdavau tekste radusi tokius žodžius kaip “aure“ ar išsireiškimus “tau ant manęs kaip iš penkto aukšto“. Iš pradžių tai kiek glumino, bet po to pripratau.Knygai stiprų ketvertą duodu už svarbios temos gvildenimą, už tai, kad buvo labai įdomu skaityti apie teismo procesą, jo užkulisius, psichologines teisiamojo charakteristikas, socialinį paauglių gyvenimą, maloniai nustebau tekste radusi jau pažįstamą veikėją Patriką (iš kitos autorės knygos “Lemtingas sutapimas“). Bene stipriausias ir labiausiai nustebinęs dalykas knygoje man buvo jos pabaiga. Dėl Piterio likimo neabejojau, numaniau, kad baigsis taip, kaip ir baigėsi, bet kas bus su Džouze, nė neįtariau.Visgi iki penketo pritrūko tam tikrų niuansų. Pirmiausia, labai anksti sumečiau, kurie veikėjai “sukibs poron“. Taip pat knygose mane erzina, kuomet moterys, suaugusios, turinčios vaikų, padariusios stulbinančią karjerą, piešiamos kaip visiškos analfabetės virtuvėje. Nu niekaip niekaip nepatikėsiu tuo. Juk kažkaip vaiką tai užaugino? O čia rašoma, kad nemoka užsikaisti virdulio ar iškepti blynų. Buvo bandoma kažkaip komiškai pavaizduoti tą veikėją, bet ji man visgi gavosi netikra. Tačiau labiausiai mane stebino ir pykdė patyčių situacija, o tiksliau – suaugusiųjų reakcija. Na kaipgi įmanoma nekreipti dėmesio į tai, kad vaiką stumdo koridoriuose, trenkia jį į spinteles, numauna kelnes prie visų, kiša galvą į unitazą (čia iš viso, visada galvojau, kad tik amerikietiškų filmų klišė yra). Man nesitiki, kad suaugusieji tokie abejingi gali būti, tad knyga neįtikino šiuo aspektu. Pati iš profesinės pusės į patyčių reiškinį esu gana įsigilinusi, matau, kaip su tuo dirbama mūsų aplinkoje, pati su tuo dirbu, tad labai sunku patikėti tokiu suaugusiųjų žiaurumu.Nors tikrai nenoriu sakyti, kad visur ir visada viską suaugusieji pastebi, neabejoju, kad yra vaikų, kurių niekas negina, ir labai apgailestauju dėl to. Tikiuosi, jie ras pagalbą. Jaučiu pareigą parašyti, jei kartais skaito koks nors skriaudžiamas vaikas ar paauglys – nebijok kreiptis pagalbos. Jei artimoje aplinkoje neturi žmogaus, kuriuo pasitiki, kreipkis į savo ugdymo įstaigos psichologę/psichologą ar į Jaunimo liniją ir nelik vienas su savo sunkumais....more",Notes are private!,0,2,1,"Jan 02, 2018","Jan 04, 2018","Jan 02, 2018",,Hardcover,view (with text),/book/show/17338684-devyniolika-minu-i
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dievas skambina vienąkart,"Albom, Mitch*",9955239344,9789955239345,9955239344,336        pp,3.78,"65,709","Nov 11, 2013",2016,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Knygą yra iš tų, kurios skaitosi labai lengvai ir greitai. Turint laiko, ją drąsiai įmanoma praryti vienu prisėdimu. Pati jaučiausi įsitraukusi ir sudKnygą yra iš tų, kurios skaitosi labai lengvai ir greitai. Turint laiko, ją drąsiai įmanoma praryti vienu prisėdimu. Pati jaučiausi įsitraukusi ir sudominta, buvo sunku suprasti, kas vyksta ir atspėti pabaigą, nors įtarimų kilo įvairiausių. Pagrindinis knygos herojus - Salis - praradęs žmoną ir vienas auginantis mažametį sūnų, siunta iš pykčio dėl šių skambučių ir žūtbūt stengiasi įrodyti, kad jie - kažkieno piktas pokštas, kadangi ir pats jo sūnelis pradeda laukti skambučio iš mirusios mamos. Praktiškai apie tai ir sukasi knyga - jis netiki, pyksta, o dauguma - tiki, džiaugiasi. Aišku, čia labai apibendrinau, veiksmo knygoje netrūksta, viskas aprašoma iš įvairių žmonių perspektyvos, nagrinėjami tikėjimo, vilties klausimai. Į knygą galima pažvelgti dvejopai - kaip į istoriją, su šiek tiek detektyvinių elementų, arba kaip į kūrinį, skatinanti kelti tikėjimo klausimus, kviečiantį pasvarstyti - o ką daryčiau, kuo tikėčiau, kuo apskritai tikiu aš? Manau, jog pati nejučia labiau susitelkiau į siužeto vingių, nei į moralės paieškų temą. Tam, kad pajusčiau knygos ""galią"", man ji turėtų būti šiek tiek stipresnė, norėtųsi mažiau buitiškumo ir truputį tikresnių dialogų. Kaip istorija ji irgi nėra tobulai išdirbta, atskleista tiesa mane truputį nuvylė. Tačiau tikrai džiaugiuosi knygą perskaičiusi vien dėl to, kad ji kažkuo kitokia, vienu metu ir lengva, ir paliečianti emociškai. Laisvalaikiui, jaukiam savaitgaliui su arbata - tikrai puikus pasirinkimas. Be to - didelis riebus pliusas už viršelį. Man jis be galo gražus. ...more",Notes are private!,0,0,1,"Nov 13, 2017","Nov 16, 2017","Dec 28, 2017",,Hardcover,view (with text),/book/show/34776115-dievas-skambina-vien-kart
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Moteris narve,"Adler-Olsen, Jussi",,9786094035623,,464        pp,4.00,"80,278","Sep 12, 2007",2013,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Įtraukė akimirksniu! Dingimai, pagrobimai – mano mylimos temos, nuo pat pradžių spėliojau, kas, kaip, kodėl. Norėjosi prisėsti ir neatsitraukti. Kaip Įtraukė akimirksniu! Dingimai, pagrobimai – mano mylimos temos, nuo pat pradžių spėliojau, kas, kaip, kodėl. Norėjosi prisėsti ir neatsitraukti. Kaip ir daugelyje trilerių, vienas iš pagrindinių herojų – sudėtingos asmenybės tyrėjas/detektyvas. Dėl ko jis sudėtingas – atskleisti nenoriu, tai pateikiama pačioje knygoje. Kadangi kūrinyje kalbama tarsi apie 2 laikmečius (“dabar“ ir “prieš 5 metus“), nori nenori prie kažkurio prisiriši. Tada mane labai domino tas “prieš 5 metus“ laikotarpis. Dėl ko ją pagrobė? Būtent šį klausimą ir patys pagrobėjai kėlė Meretei, į jį atsakiusi ji gautų laisvę. Bet ar atsakys? Siužeto vingiuose bandžiau pati atspėti, tai kuo gi nusikalto taip teigiamai piešiama asmenybė, tačiau man nepavyko. Nors nuojauta vedė į reikiamą pusę, tačiau visus taškus ant i autorius sudėjo knygos pabaigoje. Tiesą sakant, tikėjausi, kad atsakymas bus pikantiškesnis, nes pasirodė, jog pagrobėjas buvo tiesiog, hmm, dėl tam tikrų aplinkybių sužalotos psichikos asmuo. Kas man dar šiek tiek kliuvo – tai detektyvo – Karlo romantiniai santykiai. Jo ir buvusios žmonos bendravimas pasirodė toks nenatūralus ir netikras, kad net tingėjosi gaišti laiką apie tai skaitant. Būtent dėl to knyga gauna ne 5, o 4,5. Nekantrauju kibti į antrąją serijos knygą – Fazanų žudikai, apie kurią girdėjau dar daugiau gerų atsiliepimų nei apie Moterį narve. ...more",Notes are private!,0,1,1,"Aug 31, 2017","Dec 28, 2017","Aug 31, 2017",,Hardcover,view (with text),/book/show/18689319-moteris-narve
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lietaus dievas ir kiti,"Šlepikas, Alvydas",,9789986398745,,152        pp,3.65,55,2016,2016,did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Pirmas vienetas, kurį parašiau. Ir tikrai ne dėl to, kad pati knyga būtų prasta. Tiesiog šį kartą tas vienetas yra labai tiesiogiai susijęs su jo reikPirmas vienetas, kurį parašiau. Ir tikrai ne dėl to, kad pati knyga būtų prasta. Tiesiog šį kartą tas vienetas yra labai tiesiogiai susijęs su jo reikšme - laiko gaišimu. Knygą pasirinkau 24 valandų skaitymo iššūkiui ir suklydau, nes ji man buvo tiesiog neįdomi. Ne prasta, bet neįdomi. Tai reiškia, kad gaišau brangias valandas, kurias galėjau skirti didesnį malonumą teikiančiai knygai. Taip jau išpuolė, kad ši knyga įkrito į dar vieno iššūkio rėmus - Vasaros su knyga. Šį kartą ji atitiko užduotį: ""Perskaityk knygą, sudarytą iš trumpų istorijų/pasakų"". Noveles nuo pat mokyklos laikų aš labai mėgau. Savickį, Biliūną skaičiau su didžiausiu malonumu, tad buvau visai pasiilgusi tokio žanro istorijų. Pasirinkadama A. Šlepiką taip pat buvau sąmoninga - jo knyga ""Mano vardas Marytė"" man yra viena įsimintiniausių ir geriausių knygų, kurią daug kam rekomenduoju. Tad visai nesitikėjau, kad šį kartą galiu nusivilti. Autoriaus stilius man patiko, nors knyga ir nepatraukė, tikėjimas ir žavėjimasis jo talentu absoliučiai nesusvyravo, tačiau visai nekabino tematika - provincijos miestelio žmonių nuopoliai. Man norėjosi pamokančių (na, negaliu sakyti, kad visai nepamoko - besaikis alkoholis ir muštynės tikrai nėra gerai), moraliai praturtinančių istorijų, o čia teko skaityti apie antkapiu suknežintą vaiko galvą ir panašius ""nuotykius"", nutinkančius dėl alkoholio, žmonių tamsumo, gyvuliškų instinktų nevaldymo. Vėlgi - nenoriu pasakyti, kad tema nesvarbi,  kad nėra kur pakapstyti giliau, tačiau knyga pasitaikė man visai ne laiku ir ne vietoje, nebuvau pakankamai jai susikaupusi. Gaila.Prisėdus ir istorijas panagrinėjus atidžiau (kaip mokykloje:)) tikrai rasčiau daug gilių įžvalgų, metaforų ir palyginimų, bet dabar man to visai nesinorėjo, tad pasikartoju - knygą į rankas paėmiau ne laiku ir ne vietoje (tiesą sakant supratau ir tai, kad šiuo metu man norėjosi pabėgti nuo žmonių tamsybės, užsimerkti prieš negandas ir skaityti linksmas, įkvepiančias, gal net paikas istorijas). Todėl svarstant ar skaityti ją, ar ne, primygtinai prašau nesiremti mano nuomone, priešingai - siūlau būtinai perskaityti, tik tai daryti lėtai, neskubant, apmąstant, besimėgaujant žavingu teksto paprastumu ir lengvumu, subtiliu autoriaus gebėjimu savo kalbą pritaikyti prie aprašomo veikėjo, vartojant autentišką kaimo žargoną....more",Notes are private!,0,0,1,"Jul 25, 2017","Jul 25, 2017","Jul 30, 2017",,Hardcover,view (with text),/book/show/29436462-lietaus-dievas-ir-kiti
