,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,NILTON's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Martin Chuzzlewit,"Dickens, Charles",0140436146,9780140436143,0140436146,829        pp,3.83,"16,338",1844,"Aug 01, 2000",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Martin Chuzzlewit, (aka The Life and Adventures of Martin Chuzzlewit), by Charles Dickens 5 brilliant stars ⭐️⭐️⭐️⭐️⭐️ Recently I spent 6 hours watchiMartin Chuzzlewit, (aka The Life and Adventures of Martin Chuzzlewit), by Charles Dickens 5 brilliant stars ⭐️⭐️⭐️⭐️⭐️ Recently I spent 6 hours watching the 1994 BBC adaptation for the TV, with terrific performances by Tom Wilkinson and Paul Scofield. It was so good that it inspired me to read the book. David Lodge, who wrote the screenplay, did a magnificent job.It’s hard to believe that this book was a flop, when released.I absolutely loved it! I did not have a moment of boredom.It was published as a monthly serial between January 1843 and July 1844, so it’s totally acceptable to read it in small doses and savour those moments.Yes, it’s very wordy and it seems plotless, but the writing and the storytelling are delightful and the characters are unforgettable!The story is about greed and moral, dishonesty and change of heart. As the blurb says, it’s a brilliant study in selfishness and hypocrisy. It’s simply brilliant and I was completely entertained, so I cannot rate it less than 5stars.Paperback (Penguin Classics - edited with an introduction by P. N. Burbank): 942 pages, 54 chapters - includes original illustrations by Hablot K. Browne (and yes, I own a copy of this edition but switched to the ebook noted below while using the public transportation or walking - back to the paperback when I was in the comfort of my home)ebook (Kobo) Delphi Classics: 1255 pages (default), 341K words - this ebook contains all original illustrations (and I paid $1.29 for it)The audiobook narrated by Derek Jacobi, from Audible, is terrific and a great accompaniment to the book (I listened as I read the physical book). The reading is faithful to the written book, word by word (excluding the notes, appendix and the sorts)....more",Notes are private!,2,5,1,not set,not set,"Mar 25, 2024",,Paperback,view (with text),/book/show/1990.Martin_Chuzzlewit
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dombey and Son,"Dickens, Charles",0812967437,9780812967432,0812967437,880        pp,3.96,"15,789",1848,2003,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Paperback,view,/book/show/50827.Dombey_and_Son
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tortilla Flat,"Steinbeck, John",0582461502,9780582461505,0582461502,256        pp,3.83,"55,839",1935,Jul 2001,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Hardcover,view,/book/show/163977.Tortilla_Flat
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Christmas Carol and Other Christmas Writings,"Dickens, Charles",,,0140439056,288        pp,4.14,"38,125","Dec 19, 1843","Sep 30, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Paperback,view,/book/show/5338.A_Christmas_Carol_and_Other_Christmas_Writings
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The History of Tom Jones, a Foundling","Fielding, Henry",0140436227,9780140436228,0140436227,975        pp,3.75,"33,357","Feb 28, 1749","Sep 27, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Paperback,view,/book/show/99329.The_History_of_Tom_Jones_a_Foundling
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Old Curiosity Shop,"Dickens, Charles",0140437428,9780140437423,B00A2KAU2G,576        pp,3.79,"21,939",1840,"Jan 25, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Paperback,view,/book/show/429024.The_Old_Curiosity_Shop
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Little Dorrit,"Dickens, Charles",,,,"1,021        pp",4.00,"47,828",1857,"Sep 25, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Paperback,view,/book/show/31250.Little_Dorrit
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nicholas Nickleby,"Dickens, Charles",0140435123,9780140435122,0140435123,817        pp,3.94,"44,800",1839,2003,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Paperback,view,/book/show/325085.Nicholas_Nickleby
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Maurice,"Forster, E.M.",0393310329,9780393310320,0393310329,256        pp,4.08,"46,850",1971,"Dec 17, 2005",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"TW: suicidal thoughtsI’ve been meaning to read this book since I watched the movie adaptation in 1987.I don’t know what triggered my desired to read tTW: suicidal thoughtsI’ve been meaning to read this book since I watched the movie adaptation in 1987.I don’t know what triggered my desired to read this work now, but I was suddenly desperately seeking for a copy within my books, certain that I owned one. As I couldn’t find, I tried ordering a copy from the library but there was a 4 weeks waiting period. At the end I purchased a copy from Kobo, as well as the audiobook narrated by Ben Whishaw, available on Audible.I listened to the audiobook as I read the book. The narration is formidable! One of those voices that you love listening at normal speed. It made my experience extraordinary! As I read each page, scenes from the movie would clearly appear in front of my eyes, as if I had watched the movie adaptation just yesterday.I immensely enjoyed the writing, which I thought was very easy and clear.I also liked the structure and the development of the storyline.The story is set in England, starting in 1898, when Maurice was 14 years old (in the movie he was 11).The main character is not very likeable, but he is shown as being very human and believable. Maurice’s & Clive’s struggles with theirs sexuality were quite touching (the young generation has no idea how fortunate they are now).Differences in social status were also evident among the characters.I praised the author for writing a story based on his own struggles and experiences, and also for not making the story about sex. This book is free of vulgarities.I wonder how this book would have been taken by the society, had it been released back in 1914, instead of 1971.Some readers may be upset about the treatment towards women, but you have to remember when the story is set (only selected women of 30 years old or older were allowed to vote in England starting in 1918, and 10 years later women of at least 21 years of age were finally able to vote).Yes, society was cruel to women and homosexuals were treated as criminals There are differences between the novel and the movie adaptation, and these differences are listed in Wikipedia. Nothing major in my opinion, but the book is definitely better.e-book (Kobo): 242 pages (default), 62k wordsAudiobook narrated by Ben Whishaw: 7:28:17 hours (normal speed)Paperback (Penguin Books): 272 pages...more",Notes are private!,0,7,1,not set,not set,"Mar 25, 2024",,Paperback,view (with text),/book/show/3103.Maurice
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror,"Stevenson, Robert Louis",0141439734,9780141439730,0141439734,224        pp,3.92,"129,162","Jan 05, 1886","Feb 27, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Paperback,view,/book/show/51497.The_Strange_Case_of_Dr_Jekyll_and_Mr_Hyde_and_Other_Tales_of_Terror
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hard Times,"Dickens, Charles",0321107217,9780321107213,0321107217,384        pp,3.54,"68,411",1854,"Oct 09, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Paperback,view,/book/show/5344.Hard_Times
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Giovanni's Room,"Baldwin, James",,,,224        pp,4.32,"156,529","Jan 01, 1956","Apr 01, 1988",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Paperback,view,/book/show/406235.Giovanni_s_Room
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Streetcar Named Desire,"Williams, Tennessee",0822210894,9780822210894,0822210894,107        pp,3.98,"310,598",1947,"Jan 01, 1998",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A Streetcar Named Desire is one of the most critically acclaimed plays of the twentieth century and the most popular work of Tennessee Williams.This iA Streetcar Named Desire is one of the most critically acclaimed plays of the twentieth century and the most popular work of Tennessee Williams.This is a terrific drama around mental health and abusive relationships.I recently attended a performance by The National Ballet of Canada of an adaptation of this play, and I was mesmerized but at the same time disturbed by its graphic and violent sexual content. I have watched the movie adaptation several times and I don’t recall those scenes or some parts of the storyline, so I decided to read this play for the first time.I really enjoyed it, especially the dialogues. But as I read, I played the movie in my head, so my opinion could be considered biased, as the movie is one of my favourites.This play is quite remarkable.The ending in the movie is slightly different from the play.PS. Original  posted on March 21, 2022 and edited on February 10, 2023....more",Notes are private!,4,12,1,not set,not set,"Mar 25, 2024",,Paperback,view (with text),/book/show/12220.A_Streetcar_Named_Desire
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Pearl,"Steinbeck, John",0142000698,9780142000694,0142000698,96        pp,3.53,"237,943",1947,"Jan 08, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Paperback,view,/book/show/5308.The_Pearl
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Woman in White,"Collins, Wilkie",,,,672        pp,4.01,"154,414","Nov 26, 1859","Apr 29, 2003",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Simply terrific!It is said that “The Woman in White” is the first and most influential of the Victorian genre that combined Gothic horror with psycholSimply terrific!It is said that “The Woman in White” is the first and most influential of the Victorian genre that combined Gothic horror with psychological realism and it’s one of the first English-language detective novels.The genre was labeled as “epistolary fiction” as well as “sensation fiction” (the last one is new to me).If you decide to read this book, please keep in mind (at all times) that it was written in 1859/1860, and set in London, England, between 1849 & 1850. Sexism, classism, xenophobia, racism and other behaviours were common and considered normal back then.It does require some patience, but it’s an easy read. The last 30%, in my opinion, was riveting.This is a book to be read in small doses, as it was originally intended (it was published through periodicals). I did contemplate reading different books between, but I was afraid that it would take me way longer to finish it, so I avoided all temptations.But the writing is superb!This book critiques the gender and class inequalities of Victorian society and the narrative, which explores themes of identity, deception and justice is impeccable!The storytelling is not very gripping because the development is very slow, but if you like that writing style, you are in for a treat.I loved the structure of the book and the multiples POVs. It was so well constructed! A terrific concept for the era.The characters are very interesting and strong, but it takes time to warm up to them.The twists were clever and satisfying.The audiobook narrated by Roger Rees, Rosalyn Landor, John Lee and Judy Geeson is an excellent option or complement (I did listen at the same time as I read the paperback - Oxford World’s Classic edition).ebook - Oxford World’s Classic edition (Kobo): 1019 pages, 277 wordsPaperback - Oxford World’s Classic edition (reissued 2008): 756 pages (cover to cover)Audiobook (2009) narrated by Roger Rees, Rosalyn Landor, John Lee and Judy Geeson: 25h45min25sec (normal speed) - the audiobook is true to the book word by word, with no difference whatsoever. As I listened and read simultaneously, I can testify that, as for the story alone, not a single letter was omitted or added....more",Notes are private!,6,16,1,not set,not set,"Mar 25, 2024",,Paperback,view (with text),/book/show/5890.The_Woman_in_White
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Grapes of Wrath,"Steinbeck, John",067001690X,9780670016907,067001690X,479        pp,4.01,"906,449","Apr 14, 1939","Apr 10, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Hardcover,view,/book/show/18114322-the-grapes-of-wrath
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Great Expectations,"Dickens, Charles",0192833596,9780192805218,0192833596,544        pp,3.79,"802,538","Dec 01, 1860",1998,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Paperback,view,/book/show/2623.Great_Expectations
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Tale of Two Cities,"Dickens, Charles",0141439602,9780141439600,0141439602,489        pp,3.87,"947,085","Nov 26, 1859",2003,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Paperback,view,/book/show/1953.A_Tale_of_Two_Cities
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Of Mice and Men,"Steinbeck, John",0142000671,9780142000670,0142000671,107        pp,3.88,"2,546,547","Feb 25, 1937",2002,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Paperback,view,/book/show/890.Of_Mice_and_Men
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Frankenstein: The 1818 Text,"Shelley, Mary",,,,260        pp,3.87,"1,597,484",1818,"Mar 08, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Paperback,view,/book/show/35031085-frankenstein
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Animal Farm,"Orwell, George",0451526341,9780451526342,,141        pp,3.99,"3,883,646","Aug 17, 1945",Apr 1996,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Mass Market Paperback,view,/book/show/170448.Animal_Farm
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wuthering Heights,"Brontë, Emily",,,,464        pp,3.89,"1,805,284",Dec 1847,2002,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Paperback,view,/book/show/6185.Wuthering_Heights
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,1984,"Orwell, George",0452284236,9780452284234,B00A2MTYAI,368        pp,4.19,"4,597,896","Jun 08, 1949",Jul 2022,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Paperback,view,/book/show/61439040-1984
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Other Valley,"Howard, Scott Alexander*",1668023563,9781668023563,1668023563,304        pp,3.93,"2,427","Feb 27, 2024","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Apr 04, 2024Mar 25, 2024",not setnot set,"Mar 25, 2024",,Paperback,view,/book/show/176442668-the-other-valley
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sleeping Giants,"Denfeld, Rene*",0063014734,9780063014732,0063014734,304        pp,4.13,320,"Mar 26, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Hardcover,view,/book/show/60141369-sleeping-giants
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Les Misérables,"Hugo, Victor",0241248744,9780241248744,0241248744,"1,456        pp",4.20,"797,581",1862,"Mar 08, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Les Miserables (also published as “The Wretched”)A brilliant modern translation by Christine Donougher.And what a masterpiece! Simply magnificent! UnfLes Miserables (also published as “The Wretched”)A brilliant modern translation by Christine Donougher.And what a masterpiece! Simply magnificent! Unforgettable characters!For drama’s lover this is a treat.An enthralling story of broken dreams and unrequited love, sacrifice and redemption and a testament to the survival of the human spirit, set during the French Revolution.The night before starting this book I went to the theatre to see the latest musical production of Les Miserables. It was my fifth time and it was so marvellous that I decided to finally face this book.And what a wonderful surprise this was. Much better than I expected. But there are lots of “fillers” that perhaps are not included in the abridged version.I do have to applaud all of those people who worked on the adaptation for the musical/play and for the movies, as they did an excellent job keeping the essence of the original story (especially William Nicholson, Alain Boublil, Claude-Michel Schönberg and Herbert Kretzmer who all wrote the screenplay for the 2012 movie adaptation directed by Tom Hooper).I do have several free editions in ebook format, as well as another paperback by Penguin Classics which was translated by Norman Denny.As a simple example, which may give you an idea, see below a comparison between the translations by Donougher (1) and Denny (2):(1): “Still hidden at the corner of Rue Mondétour, irresolute and shivering, Marius had witnessed the first phase of the fighting.(2): “Crouched at the turning of the Rue Mondétour, Marius had witnessed the beginning of the battle, still irresolute and trembling.”(1): “Some time after the events we have described Boulatruelle had a severe shock.”(2): “Some time after the events we have just related, Sieur Boulatruelle experienced great excitement.”My favourite part of the book was the opening “Fantine” (Part 1). There was a lot of heart in this section that left me emotional (and how I hated the Thénardiers! In the musical they are hideous but hilarious).e-book (Kobo) - Penguin Classics (translation by Christine Donougher and an introduction by Robert Tombs): 2011 pages (default), 623k words - unabridged Paperback - Penguin Classics (translation by Christine Donougher and an introduction by Robert Tombs): 1456 pages, 366 chapters - unabridgedAudiobook narrated by: Adeel Akhtar, Natalie Simpson, Adrian Scarborough, Emma Fielding, John Owen-JonesLength: 65 hrs and 41 minsUnabridged AudiobookRelease date: 2020-04-23Publisher: Penguin AudioPS. I had the pleasure of reading this book while simultaneously listening to the audiobook. Both were the same edition, and I can certify that the audiobook is word by word accurate....more",Notes are private!,8,32,1,"Mar 31, 2024","Apr 04, 2024","Mar 24, 2024",,Paperback,view (with text),/book/show/26067902-les-mis-rables
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Listen for the Lie,"Tintera, Amy*",1250880319,9781250880314,1250880319,352        pp,4.22,"34,296","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 11, 2024",not set,"Mar 20, 2024",,Hardcover,view,/book/show/127279000-listen-for-the-lie
