,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Angela's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Walk Away,"Center, Katherine*",1250149061,9781250149060,1250149061,302        pp,4.08,"91,989","May 15, 2018","May 15, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 20, 2023","Dec 23, 2023","Dec 23, 2023",,Hardcover,view,/book/show/36249638-how-to-walk-away
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"My Life with the Walter Boys        (My Life with the Walter Boys, #1)","Novak, Ali*",,,B00HYGRVRI,368        pp,3.77,"49,914","May 14, 2012","Mar 01, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 19, 2023","Dec 20, 2023","Dec 19, 2023",,Kindle Edition,view,/book/show/13580846-my-life-with-the-walter-boys
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dreadfully Ever After        (Pride and Prejudice and Zombies, #2)","Hockensmith, Steve*",,,B004FGMD4Q,292        pp,3.75,"4,825","Mar 01, 2011","Mar 22, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 14, 2023",,Kindle Edition,view,/book/show/11207636-dreadfully-ever-after
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Court of Mist and Fury        (A Court of Thorns and Roses, #2)","Maas, Sarah J.*",,,B015FELXQ0,641        pp,4.65,"1,865,253","May 03, 2016",Feb 2021,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 28, 2023","Dec 06, 2023","Nov 28, 2023",,Kindle Edition,view,/book/show/57019034-a-court-of-mist-and-fury
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What You Wish For,"Center, Katherine*",1250219361,9781250219367,1250219361,320        pp,3.79,"51,495","Jul 14, 2020","Jul 14, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 27, 2023","Nov 28, 2023","Nov 27, 2023",,Hardcover,view,/book/show/51168993-what-you-wish-for
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The League of Gentlewomen Witches        (Dangerous Damsels #2),"Holton, India*",,,B097B2BP6R,336        pp,3.93,"16,166","Mar 15, 2022","Mar 15, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 20, 2023",,Kindle Edition,view,/book/show/58420056-the-league-of-gentlewomen-witches
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Firekeeper’s Daughter,"Boulley, Angeline*",,,,496        pp,4.34,"154,678","Mar 16, 2021","Mar 16, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Nov 13, 2023","Nov 20, 2023","Nov 13, 2023",,Hardcover,view,/book/show/52346471-firekeeper-s-daughter
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Think Indigenous: Native American Spirituality for a Modern World,"Feather, Doug Good",1401956173,9781401956172,B08PP868PR,162        pp,4.51,307,unknown,"Apr 13, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 13, 2023",,Kindle Edition,view,/book/show/57726380-think-indigenous
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Iron Flame        (The Empyrean, #2)","Yarros, Rebecca*",,,B0C4JMJBNX,884        pp,4.35,"920,190","Nov 07, 2023","Nov 07, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Nov 29, 2023","Dec 18, 2023","Nov 10, 2023",,Kindle Edition,view,/book/show/150260809-iron-flame
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Grandmother Begins the Story,"Porter, Michelle",1643755188,9781643755182,1643755188,336        pp,3.84,"1,533","Nov 07, 2023","Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 03, 2023",,Hardcover,view,/book/show/123204565-a-grandmother-begins-the-story
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Living Resistance: An Indigenous Vision for Seeking Wholeness Every Day,"Curtice, Kaitlin B.",1587435713,9781587435713,1587435713,208        pp,4.22,981,unknown,"Mar 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 03, 2023",,Hardcover,view,/book/show/75561006-living-resistance
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bodyguard,"Center, Katherine*",1250219396,9781250219398,1250219396,309        pp,3.99,"233,702","Jul 19, 2022","Jul 19, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Oct 31, 2023","Nov 03, 2023","Nov 03, 2023",,Hardcover,view,/book/show/58724801-the-bodyguard
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wisteria Society of Lady Scoundrels        (Dangerous Damsels, #1)","Holton, India*",,,B08JKM9V1Y,336        pp,3.68,"36,553","Jun 15, 2021","Jun 15, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 30, 2023","Nov 06, 2023","Oct 30, 2023",,Kindle Edition,view,/book/show/55655306-the-wisteria-society-of-lady-scoundrels
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Very Secret Society of Irregular Witches,"Mandanna, Sangu*",,,B09MH8K8W2,334        pp,4.12,"158,483","Aug 23, 2022","Aug 23, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,"Oct 30, 2023","Oct 30, 2023",,Kindle Edition,view,/book/show/58912891-the-very-secret-society-of-irregular-witches
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Grimoire Girl: A Memoir of Magic and Mischief,"Morgan, Hilarie Burton",0063222760,9780063222762,B0B7NBLV9C,222        pp,4.25,"5,655","Oct 03, 2023","Oct 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 29, 2023",not set,"Oct 29, 2023",,Kindle Edition,view,/book/show/61812422-grimoire-girl
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pandora,"Stokes-Chapman, Susan*",,,B09ZYFRXYZ,416        pp,3.68,"12,840","Jan 17, 2022","Jan 17, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 27, 2023","Nov 10, 2023","Oct 27, 2023",,Kindle Edition,view,/book/show/62611020-pandora
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Court of Thorns and Roses        (A Court of Thorns and Roses, #1)","Maas, Sarah J.*",,,B00OZP5VRS,433        pp,4.20,"2,490,278","May 05, 2015","Jun 02, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Oct 26, 2023","Oct 26, 2023",,Kindle Edition,view,/book/show/54386622-a-court-of-thorns-and-roses
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Doodle Revolution: Unlock the Power to Think Differently,"Brown, Sunni",1591845882,9781591845881,1591845882,256        pp,3.87,797,"Sep 12, 2013","Jan 09, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 17, 2023",not set,"Oct 17, 2023",,Hardcover,view,/book/show/17707707-the-doodle-revolution
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sketchnote Handbook: the illustrated guide to visual note taking,"Rohde, Mike",0321857895,9780321857897,0321857895,224        pp,4.07,"3,441","Dec 03, 2012","Dec 03, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 17, 2023","Nov 16, 2023","Oct 17, 2023",,Paperback,view,/book/show/15858089-the-sketchnote-handbook
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Light from Uncommon Stars,"Aoki, Ryka*",1250789060,9781250789068,1250789060,372        pp,4.07,"29,098","Sep 28, 2021","Sep 28, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 16, 2023","Oct 28, 2023","Oct 16, 2023",,Hardcover,view,/book/show/56179360-light-from-uncommon-stars
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Perfumist of Paris        (The Jaipur Trilogy, #3)","Joshi, Alka*",0778386147,9780778386148,0778386147,368        pp,4.17,"23,983","Mar 28, 2023","Mar 28, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Oct 11, 2023","Oct 16, 2023","Oct 11, 2023",,Hardcover,view,/book/show/61062499-the-perfumist-of-paris
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Ink Black Heart        (Cormoran Strike, #6)","Galbraith, Robert",0316473537,9780316473538,0316473537,"1,391        pp",4.12,"89,814","Aug 30, 2022","Sep 21, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,Jan 2023,"Oct 11, 2023",,Hardcover,view,/book/show/60144955-the-ink-black-heart
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Happiness for Beginners,"Center, Katherine*",1250047307,9781250047304,1250047307,320        pp,4.07,"46,738","Mar 24, 2015","Mar 24, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Aug 29, 2023","Oct 11, 2023",,Paperback,view,/book/show/21853666-happiness-for-beginners
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Surgeon's Daughter        (Nora Beady, #2)","Blake, Audrey*",1728228751,9781728228754,1728228751,384        pp,4.28,"20,677",May 2022,"May 10, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Oct 10, 2023","Oct 11, 2023",,Paperback,view,/book/show/58810867-the-surgeon-s-daughter
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Girl in His Shadow        (Nora Beady, #1)","Blake, Audrey*",1728228727,9781728228723,1728228727,384        pp,4.16,"43,020","May 04, 2021","May 04, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Oct 06, 2023","Oct 11, 2023",,Paperback,view,/book/show/54717137-the-girl-in-his-shadow
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hello Beautiful,"Napolitano, Ann*",,,B0B7R4Q5DJ,416        pp,4.18,"297,541","Mar 14, 2023","Mar 14, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,Oct 2023,"Oct 11, 2023","Oct 01, 2023",,Kindle Edition,view,/book/show/61771675-hello-beautiful
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Set Me Free,"LeZotte, Ann Clare*",1338742493,9781338742497,1338742493,288        pp,3.99,645,"Sep 21, 2021","Sep 21, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jun 07, 2023","Oct 01, 2023",,Hardcover,view,/book/show/55977937-set-me-free
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lightlark        (Lightlark, #1)","Aster, Alex*",1419760866,9781419760860,1419760866,416        pp,3.80,"90,489","Aug 23, 2022","Aug 23, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"May 10, 2023","Oct 01, 2023",,Hardcover,view,/book/show/60310757-lightlark
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fourth Wing        (The Empyrean, #1)","Yarros, Rebecca*",,,B0BGDM197Q,662        pp,4.59,"1,500,337","May 02, 2023","May 02, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,"Sep 10, 2023","Jul 23, 2023",,Kindle Edition,view,/book/show/63219094-fourth-wing
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Only the Beautiful,"Meissner, Susan*",0593332830,9780593332832,0593332830,400        pp,4.47,"20,928","Apr 18, 2023","Apr 18, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 23, 2023",,Hardcover,view,/book/show/56687771-only-the-beautiful
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Only the Beautiful,"Meissner, Susan*",,,B0B7LR66DF,400        pp,4.47,"20,928","Apr 18, 2023","Apr 18, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2023",,Kindle Edition,view,/book/show/60873080-only-the-beautiful
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Show Me a Sign        (Show Me a Sign #1),"LeZotte, Ann Clare*",,,B07PZZXBGC,293        pp,4.02,"5,114","Mar 03, 2020","Mar 03, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 09, 2023","Apr 10, 2023","Apr 09, 2023",,Kindle Edition,view,/book/show/45448409-show-me-a-sign
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Fade of Light,"Fakes, Nate",1513135015,9781513135014,B0B3J4W1TZ,232        pp,4.32,149,2022,"Oct 11, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Oct 24, 2022","Oct 24, 2022","Oct 24, 2022",,Kindle Edition,view,/book/show/62600197-a-fade-of-light
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Miss Austen,"Hornby, Gill*",1250252202,9781250252203,1250252202,288        pp,3.76,"7,533","Jan 23, 2020","Apr 07, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 23, 2023",not set,"Jul 16, 2022",,Hardcover,view,/book/show/44280984-miss-austen
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Essex Serpent,"Perry, Sarah",0062666371,9780062666376,0062666371,422        pp,3.53,"63,002","May 27, 2016","Jun 06, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 07, 2022","Jul 16, 2022","Jul 07, 2022",,Hardcover,view,/book/show/32075861-the-essex-serpent
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Secret Keeper of Jaipur        (The Jaipur Trilogy, #2)","Joshi, Alka*",0778331857,9780778331858,0778331857,384        pp,4.09,"51,613","Jun 22, 2021","Jun 22, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 13, 2021","Sep 24, 2021","Sep 13, 2021",,Hardcover,view,/book/show/55004546-the-secret-keeper-of-jaipur
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Nature of Fragile Things,"Meissner, Susan*",,,,11        pp,4.26,"63,494","Feb 02, 2021","Feb 02, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Aug 07, 2021","Aug 12, 2021","Aug 07, 2021",,Audiobook,view,/book/show/56615794-the-nature-of-fragile-things
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The House in the Cerulean Sea        (The House in the Cerulean Sea, #1)","Klune, T.J.*",,,,394        pp,4.41,"627,029","Mar 16, 2020","Mar 17, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jul 28, 2021",Aug 2021,"Jul 28, 2021",,Kindle Edition,view,/book/show/45047384-the-house-in-the-cerulean-sea
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lost Apothecary,"Penner, Sarah *",0778311015,9780778311010,0778311015,301        pp,3.75,"369,363","Mar 02, 2021","Mar 02, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jun 27, 2021","Jul 07, 2021","Jun 27, 2021",,Hardcover,view,/book/show/53288434-the-lost-apothecary
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Brat: An '80s Story,"McCarthy, Andrew",,,B08YP8RN1C,5        pp,3.60,"13,156","May 11, 2021","May 10, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 23, 2021","Jun 10, 2021","May 23, 2021",,Audible Audio,view,/book/show/57408669-brat
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Course in Miracles Made Easy: Mastering the Journey from Fear to Love,"Cohen, Alan",1401949975,9781401949976,B0143QG4QK,242        pp,4.45,"2,263","Oct 27, 2015","Oct 27, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,May 2020,"May 15, 2021","May 15, 2021",,Kindle Edition,view,/book/show/26241680-a-course-in-miracles-made-easy
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Nature of Fragile Things,"Meissner, Susan*",,,B08816XHX4,377        pp,4.26,"63,494","Feb 02, 2021","Feb 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 19, 2021",,Kindle Edition,view,/book/show/54067528-the-nature-of-fragile-things
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When We Were Vikings,"MacDonald, Andrew David*",1508299420,9781508299424,1508299420,unknown,3.84,"12,719","Jan 28, 2020","Jan 28, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Jan 07, 2021","Jan 20, 2021","Jan 07, 2021",,Audiobook,view,/book/show/51831264-when-we-were-vikings
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Guernsey Literary and Potato Peel Pie Society,"Shaffer, Mary Ann",1984801813,9781984801814,1984801813,291        pp,4.19,"752,835","Jul 29, 2008","Jul 10, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Fun fact - I am giving myself credit for reading this again because I have listened to this every night for almost a year now to help me fall asleep -Fun fact - I am giving myself credit for reading this again because I have listened to this every night for almost a year now to help me fall asleep - I don’t know what it is about this audiobook but it’s soothing!...more,Notes are private!,0,0,1,"Dec 14, 2020","Dec 14, 2020","Dec 14, 2020",,Paperback,view (with text),/book/show/39832183-the-guernsey-literary-and-potato-peel-pie-society
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"For the Love of Europe: My Favorite Places, People, and Stories","Steves, Rick",1641711310,9781641711319,1641711310,408        pp,4.12,"1,077",2020,"Jul 07, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Dec 13, 2020","Oct 11, 2023","Dec 13, 2020",,Paperback,view,/book/show/43522972-for-the-love-of-europe
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Christmas Carol,"Dickens, Charles",,,,4        pp,4.08,"841,490","Dec 17, 1843","Dec 01, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Dec 2020,"Dec 13, 2020","Dec 13, 2020",,Audible Audio,view,/book/show/12251075-a-christmas-carol
