,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Rusalka's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,But the Girl,"Yu, Jessica Zhan Mei",,,,unknown,3.73,332,"Mar 05, 2024",2023,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I heard an interview with this writer, and while the description of her book didn't sound really that interesting at all, there were a few turns of phI heard an interview with this writer, and while the description of her book didn't sound really that interesting at all, there were a few turns of phrase and great moments of introspection in the conversation that made me pay a little more attention to her. And then I had to find a book at short notice with a statue on the cover, and this was available at the library.I have never read Sylvia Plath. I should, but with all the hype around her, I am hesitant to. And so a book about a Sylvia Plath scholar writing a thesis and presentation about her, didn't tickle my fancy. But this book was surprising. And not at all what I thought it would be.This is a wonderful dissection of growing up in Australia, as an immigrant and what it is like in an immigrant family, but also just as an Aussie kid or young adult at a certain time. It's an interrogation of being a young woman at a certain point in time in both Australia and the world generally, and the toll it is to be a constant people pleaser. What it is navigating the word as someone who was religiously brought up is now lapsed, the complicated nature of creative friendships, how it is to live with chronic pain, the constant struggle to work within the academic space... There is a fricking lot in this tiny book.The book annoyed me at times with it's overly laboured poetic or creative writing exercise passages which were interesting the first time or two they got you, but carried on a little to much. But at the same time, there was writing in this book that will absolutely stick with me for a long time - the interrogation of growing up in the time of the bimbo as an example. Or the discussion of how the concept of God impacts your life when you were raised in the Church but no longer believe as another.The narrator was exceptional as well. She did so many accents well it was amazing - Australian, Malaysian/Australian, multiple English dialects, New Zealand, Scottish - a lot within the same conversation. She also had to change between English, Malay, and Hokkien words mid-sentence. It sounds like a recipe for disaster but it was really well done....more",Notes are private!,0,0,1,"Feb 17, 2024","Feb 24, 2024","Feb 17, 2024",,Audiobook,view (with text),/book/show/201067243-but-the-girl
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Timeless        (Parasol Protectorate, #5)","Carriger, Gail*",1841499870,9781841499871,1841499870,328        pp,4.12,"31,524","Mar 01, 2012","Mar 01, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Paperback,view,/book/show/10638776-timeless
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Black Sugar,"Bonnefoy, Miguel",1910477524,9781910477526,1910477524,208        pp,3.53,481,"Aug 16, 2017","Apr 03, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Paperback,view,/book/show/34381155-black-sugar
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Frost Burned        (Mercy Thompson, #7)","Briggs, Patricia",1841497983,9781841497983,1841497983,342        pp,4.36,"74,455","Mar 05, 2013","Mar 05, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Paperback,view,/book/show/11035657-frost-burned
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Foxglove Summer        (Peter Grant, #5)","Aaronovitch, Ben*",0575132523,9780575132528,0575132523,374        pp,4.21,"43,970","Nov 30, 2014",Sep 2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Paperback,view,/book/show/59007627-foxglove-summer
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Heartless        (Parasol Protectorate, #4)","Carriger, Gail*",0356500098,9780356500096,0356500098,311        pp,4.06,"35,157","Jul 01, 2011",2011,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Paperback,view,/book/show/11060241-heartless
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Disappearance of Stephanie Mailer,"Dicker, Joël",0857059262,9780857059260,0857059262,542        pp,3.95,"40,325","Mar 07, 2018","Sep 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Paperback,view,/book/show/59821777-the-disappearance-of-stephanie-mailer
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pirates!,"Rees, Celia*",0747569479,9780747569473,0747569479,unknown,3.84,"16,494","Oct 01, 2003","Jan 01, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Paperback,view,/book/show/1191865.Pirates_
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chronicler of the Winds,"Mankell, Henning",1860469914,9781860469916,1860469914,233        pp,3.89,"2,586",1995,2007,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Paperback,view,/book/show/1146875.Chronicler_of_the_Winds
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Accident,"Pavone, Chris*",0385348479,9780385348478,0385348479,416        pp,3.61,"10,916","Mar 11, 2014","Jan 06, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Paperback,view,/book/show/22926521-the-accident
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Travelers,"Pavone, Chris*",0571298885,9780571298884,0571298885,448        pp,3.61,"7,094","Mar 08, 2016","Apr 01, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Paperback,view,/book/show/29545073-the-travelers
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Madonna of Excelsior,"Mda, Zakes",0195783158,9780195783155,0195783158,268        pp,3.97,857,"Jan 01, 2004","Jan 01, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Paperback,view,/book/show/1738009.The_Madonna_of_Excelsior
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dream of Scipio,"Pears, Iain",0099284588,9780099284581,B007YTFH3U,400        pp,3.76,"4,321",2002,"Apr 03, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Paperback,view,/book/show/1291993.The_Dream_of_Scipio
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No Country Woman: A Memoir of Not Belonging,"Patel, Zoya*",0733640060,9780733640063,0733640060,272        pp,3.80,221,"Aug 14, 2018","Aug 14, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Paperback,view,/book/show/40492379-no-country-woman
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Portrait,"Pears, Iain",0007202776,9780007202775,0007202776,211        pp,3.48,"1,901","Oct 10, 2004",2005,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Paperback,view,/book/show/1291994.The_Portrait
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Behold a Pale Horse        (Sister Fidelma, #22)","Tremayne, Peter",0755377486,9780755377480,0755377486,416        pp,4.08,733,"Jul 01, 2011","Jan 01, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Paperback,view,/book/show/12889303-behold-a-pale-horse
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Darker Domain,"McDermid, Val",0061688991,9780061688997,0061688991,368        pp,4.00,"13,079",2008,"Jun 15, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Paperback,view,/book/show/7811776-a-darker-domain
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Beyond the Pale        (Darkwing Chronicles, #1)","Russe, Savannah",0451215648,9780451215642,0451215648,304        pp,3.39,"1,523","Jun 07, 2005","Jun 07, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Mass Market Paperback,view,/book/show/621660.Beyond_the_Pale
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,She Would Be King,"Moore, Wayetu",1555978177,9781555978174,1555978177,312        pp,4.00,"6,894","Sep 11, 2018","Sep 11, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2024",,Hardcover,view,/book/show/37941786-she-would-be-king
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Freshwater,"Emezi, Akwaeke*",0802127355,9780802127358,0802127355,229        pp,4.03,"31,622","Feb 13, 2018","Feb 13, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2024",,Hardcover,view,/book/show/35412372-freshwater
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Will Grayson, Will Grayson","Green, John*",1921656239,9781921656231,1921656239,320        pp,3.70,"397,812","Apr 06, 2010","May 03, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Paperback,view,/book/show/8139020-will-grayson-will-grayson
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Are All Completely Beside Ourselves,"Fowler, Karen Joy*",184668966X,9781846689666,184668966X,308        pp,3.71,"121,276","May 30, 2013","Jun 19, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Paperback,view,/book/show/22817474-we-are-all-completely-beside-ourselves
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Marriage Portrait,"O'Farrell, Maggie*",1472223888,9781472223883,1472223888,448        pp,4.02,"139,033","Aug 30, 2022","Jul 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Paperback,view,/book/show/108519988-the-marriage-portrait
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cardinal: The Rise and Fall of George Pell,"Milligan, Louise",0522871348,9780522871340,0522871348,386        pp,4.50,662,"May 14, 2017","Jul 03, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Paperback,view,/book/show/35099475-cardinal
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Jane Austen Book Club,"Fowler, Karen Joy*",0141020261,,B00TT8IJYS,285        pp,3.10,"69,818","Apr 22, 2004","Mar 12, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Kindle Edition,view,/book/show/25130704-the-jane-austen-book-club
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wind Knows My Name,"Allende, Isabel*",,9781526660312,1526660318,259        pp,4.03,"33,257","Jun 06, 2023",2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Hardcover,view,/book/show/166462888-the-wind-knows-my-name
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Iron Trial        (Magisterium, #1)","Black, Holly*",0857532502,9780857532503,0857532502,295        pp,3.96,"76,425","Sep 09, 2014","Sep 09, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Paperback,view,/book/show/13608989-the-iron-trial
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Invocations,Krystal Sutherland*,0593532260,9780593532263,0593532260,400        pp,4.15,"3,274","Jan 30, 2024","Jan 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Hardcover,view,/book/show/59475768-the-invocations
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Final Strife        (The Ending Fire Trilogy #1),"El-Arifi, Saara*",,,,640        pp,4.24,"5,648","Jun 21, 2022","Jun 23, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 26, 2024",,Hardcover,view,/book/show/54440543-the-final-strife
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Sun and the Void        (The Warring Gods, #1)","Romero-Lacruz, Gabriela*",0316336440,9780316336444,0316336440,511        pp,3.35,"2,578","Jul 25, 2023","Jul 25, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 26, 2024",,Paperback,view,/book/show/60568206-the-sun-and-the-void
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Our Share of Night,"Enríquez, Mariana",0451495144,9780451495143,0451495144,588        pp,4.30,"33,893","Nov 27, 2019","Feb 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 20, 2024",,Hardcover,view,/book/show/61111034-our-share-of-night
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Final Passage,"Phillips, Caryl",0099468581,9780099468585,0099468581,208        pp,3.32,300,"Feb 01, 1985","Jan 01, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 14, 2024",,Paperback,view,/book/show/461479.The_Final_Passage
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Eighth Life: for Brilka,"Haratischwili, Nino",1925713326,9781925713329,1925713326,944        pp,4.52,"22,534","Aug 18, 2014","Oct 01, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 11, 2024",,Paperback,view,/book/show/45570219-the-eighth-life
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Three Men in an Omnibus,"Jerome, Jerome K.",0413542505,9780413542502,0413542505,292        pp,4.02,"3,939",1889,"Jan 01, 1984",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Paperback,view,/book/show/1714037.Three_Men_in_an_Omnibus
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Titian Committee,"Pears, Iain",0007229186,9780007229185,0007229186,248        pp,3.62,"1,784","Mar 21, 1991",2007,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Paperback,view,/book/show/399492.The_Titian_Committee
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Woman in the Library,"Gentill, Sulari*",1761151398,9781761151392,1761151398,0        pp,3.51,"66,713","Jun 07, 2022",unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Paperback,view,/book/show/123140464-the-woman-in-the-library
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"One Step Behind        (Kurt Wallander, #7)","Mankell, Henning",0099448874,9780099448877,0099448874,450        pp,4.10,"21,037",1997,"Jan 01, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Paperback,view,/book/show/39799.One_Step_Behind
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Feet of Clay        (Discworld, #19; City Watch, #3)","Pratchett, Terry",0552142379,9780552142373,0552142379,415        pp,4.32,"84,305",1996,1997,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Paperback,view,/book/show/833426.Feet_of_Clay
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Raphael Affair        (Jonathan Argyll, #1)","Pears, Iain",0425166139,9780425166130,B0075LRZIC,226        pp,3.53,"3,693",1990,"Nov 01, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Mass Market Paperback,view,/book/show/875109.The_Raphael_Affair
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Light Fantastic        (Discworld, #2; Rincewind, #2)","Pratchett, Terry",0552128481,9780552128483,B01BITM1OO,285        pp,4.00,"152,239",1986,1986,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Mass Market Paperback,view,/book/show/54459300-the-light-fantastic
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Don’t Buy Fruit & Veg Without Me!,"Truong, Thanh",1761265962,9781761265969,1761265962,304        pp,4.00,8,unknown,"Jan 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Paperback,view,/book/show/181849807-don-t-buy-fruit-veg-without-me
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Princes in the Tower: Solving History's Greatest Cold Case,"Langley, Philippa",163936627X,9781639366279,163936627X,496        pp,3.76,359,"Nov 23, 2023","Nov 23, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Hardcover,view,/book/show/186631723-the-princes-in-the-tower
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Anxious People,"Backman, Fredrik*",0718186621,9780718186623,0718186621,352        pp,4.18,"633,655","Apr 25, 2019","Aug 18, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Paperback,view,/book/show/49095612-anxious-people
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eventually Everything Connects,"Firth, Sarah*",1761068415,9781761068416,1761068415,0        pp,4.25,12,unknown,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Hardcover,view,/book/show/199366312-eventually-everything-connects
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Five Bush Weddings,"Fletcher, Clare*",1761046780,9781761046780,1761046780,406        pp,3.99,"1,168","Aug 02, 2022","Aug 02, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Paperback,view,/book/show/60625773-five-bush-weddings
