,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Fabian's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bunny,"Awad, Mona*",0525559752,9780525559757,0525559752,305        pp,3.52,"190,802","Jun 11, 2019","Jun 09, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"An MFA candidates goes bonkers, and the prose simply bounces out of the page. A fantasia to nibble on!",Notes are private!,0,14,1,"Nov 22, 2023","Nov 26, 2023","Nov 30, 2023",,Paperback,view (with text),/book/show/53285047-bunny
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Schooldays of Jesus,"Coetzee, J.M.",1911215361,9781911215363,B01NB0J23G,260        pp,3.57,"2,488",Aug 2016,"Jan 01, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"At least know this: you don't know where the narrative will take ya! The child that resembles Jesus, the plot which resembles a modern day telling of At least know this: you don't know where the narrative will take ya! The child that resembles Jesus, the plot which resembles a modern day telling of two parental figures trying to figure the correct education/sentimental pathway for their little morsel. Strange, wondrous, but also ?...more",Notes are private!,0,8,2,"Nov 13, 2023Nov 20, 2023","Nov 30, 2023Nov 20, 2023","Nov 13, 2023",,Paperback,view (with text),/book/show/29959887-the-schooldays-of-jesus
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Woman in Me,"Spears, Britney",1668009048,9781668009048,1668009048,288        pp,3.91,"383,019","Oct 24, 2023","Oct 24, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""I am Britney Spears.""This uttered by a certain person at a certain point in the book WILL GIVE YOU CHILLS.Very little is left out--little of what we ""I am Britney Spears.""This uttered by a certain person at a certain point in the book WILL GIVE YOU CHILLS.Very little is left out--little of what we wanted to read about. It is pretty complete, pretty honest, and a damn good page-turner. Glad she's been given the chance to show what the Britney Show is all about. Glad she names names and takes back her personhood....more",Notes are private!,0,19,1,"Nov 09, 2023","Nov 13, 2023","Nov 09, 2023",,Hardcover,view (with text),/book/show/63133205-the-woman-in-me
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Little Family,"Beah, Ishmael",0735211779,9780735211773,0735211779,262        pp,3.85,"1,398","Apr 28, 2020","Apr 28, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Superb. A portrait of homeless misfits, vagabond malcontents of an African city, is poetically described. These souls find each other when all is nearSuperb. A portrait of homeless misfits, vagabond malcontents of an African city, is poetically described. These souls find each other when all is near hopeless. Their optimism and camaraderie really hit the modern ""family"" on the head. These people exist! Prose is powerful, real, beautiful. Beah is a true discovery. A genuine find at the Dollar Tree... a first edition, too! Perfect....more",Notes are private!,0,5,1,"Nov 09, 2023","Nov 09, 2023","Nov 09, 2023",,Hardcover,view (with text),/book/show/52674785-little-family
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Modern Romance,"Ansari, Aziz",1594206279,9781594206276,1594206279,279        pp,3.80,"186,652","Jun 16, 2015","Jun 16, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ok. So interesting topic. You got lucky, Mr. Ansari!Why? Because who cares what the dude's got to say in his worldwide research. Assistants galore, I Ok. So interesting topic. You got lucky, Mr. Ansari!Why? Because who cares what the dude's got to say in his worldwide research. Assistants galore, I am sure. And why am I a hater? Because it's NOT funny. It is imaginative--most jokes are hypothetical idiocies that not only ground such nonfiction garb, but sinks it. Sure, some data is fascinating, some predicts the end of times via general apathy and trying ALWAYS to be/get the best. Egh.I thought this was a comedic autobiography. Instead, its a high school report by a famous annoying comedian. (Annoying for his ""phoned in"" writing attempt!)...more",Notes are private!,0,6,1,"Oct 25, 2023","Oct 25, 2023","Oct 25, 2023",,Hardcover,view (with text),/book/show/23453112-modern-romance
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Brief Chronicle of Another Stupid Heartbreak,"Alsaid, Adi*",,,1335012559,384        pp,3.04,654,"Apr 30, 2019","Apr 30, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Another stupid New Yorker, with her tale suddenly universal! But! But Alsaid actually puts you there--in the urban movie theater, in a crowded apartmeAnother stupid New Yorker, with her tale suddenly universal! But! But Alsaid actually puts you there--in the urban movie theater, in a crowded apartment, at the Strand--and the totality of its authenticity is very much at display. Yes, the character is a dummy with deadlines, at a job only Carrie Bradshaw could do. The daily life aint too inspired, and yet the realness of the protagonist and her surroundings and friends makes this a readable adolescent manifesto....more",Notes are private!,0,9,1,not set,"Oct 09, 2023","Oct 15, 2023",,Hardcover,view (with text),/book/show/33952377-brief-chronicle-of-another-stupid-heartbreak
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,March,"Brooks, Geraldine*",,,,280        pp,3.80,"69,559","Mar 03, 2005","Jan 31, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Began to read this while trying to buy merch at the Lady Gaga Vegas concert, and I could not put it down! Knowing nothing about it, imagine my surprisBegan to read this while trying to buy merch at the Lady Gaga Vegas concert, and I could not put it down! Knowing nothing about it, imagine my surprise at a revisit with the March family, an American literary royalty--for their care of others, for their meekness and goodness. No, no Jo this time. Brooks has made a companion piece that REALLY shakes up Louisa May Alcott's beloved masterpiece. The little women stay at their home and hearth, while father goes out and discovers the hideousness of war. At first, I believed Jo was at the fields of war... Brooks really sets down the character, and the time, though same as Little Women's timeline, differs in style, atmosphere, plot, character. It is a radical masterpiece, an unbelievable companion to a literary juggernaut. A must read!...more",Notes are private!,1,10,1,"Sep 27, 2023","Oct 25, 2023","Sep 27, 2023",,Paperback,view (with text),/book/show/13529.March
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Overstory,"Powers, Richard",039335668X,9780393356687,039335668X,502        pp,4.12,"159,490","Apr 03, 2018","Apr 02, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The most beautiful novel with prose that is poetry and documentary alike. And its not about humans! The theme is trees, the message is relevant af... The most beautiful novel with prose that is poetry and documentary alike. And its not about humans! The theme is trees, the message is relevant af... the individual tales are devastating, but the commonality between them joins them into a mass. Personally inpersonal....more",Notes are private!,1,11,1,"Sep 19, 2023","Sep 27, 2023","Sep 19, 2023",,Paperback,view (with text),/book/show/40180098-the-overstory
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jillian,"Butler, Halle*",1940430291,9781940430294,1940430291,227        pp,3.56,"3,755","Jan 26, 2015","Feb 17, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The minutiae of modern day, experienced by two vastly different women working at an office. Attitude makes all the difference!",Notes are private!,0,5,1,not set,"Sep 23, 2023","Sep 19, 2023",,Paperback,view (with text),/book/show/21535475-jillian
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dark Passage,"Goodis, David",1853755087,9781853755088,1853755087,256        pp,3.97,"1,260",1946,"Sep 01, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Taut, thrilling, very manly, misoginistic. Noir! The bad dude is nasty, the femme is fatal. There is a fugitive. There is action! A decent buffer betwTaut, thrilling, very manly, misoginistic. Noir! The bad dude is nasty, the femme is fatal. There is a fugitive. There is action! A decent buffer between other more serious literature. Though this is not unserious by any means....more",Notes are private!,1,3,1,not set,"Sep 24, 2023","Sep 19, 2023",,Paperback,view (with text),/book/show/844793.Dark_Passage
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sundial,"Ward, Catriona*",1250812682,9781250812681,1250812682,292        pp,3.80,"18,429","Mar 01, 2022","Mar 01, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""It's possible to feel the horror of something and to accept it all at the same time. How else could we cope with being alive?""Remarkably out-there. M""It's possible to feel the horror of something and to accept it all at the same time. How else could we cope with being alive?""Remarkably out-there. Mixes genres elegantly--The Shining meets The Yellow Wallpaper meets Cujo at a secret science lab in the desert. And a haunted house story.That you have no clue where the book will take you--even in the last chapter!--is what book lovers dream of.Adore!...more",Notes are private!,0,10,1,"Aug 07, 2023","Aug 28, 2023","Aug 07, 2023",,Hardcover,view (with text),/book/show/57693183-sundial
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Omerta,"Puzo, Mario",0345432401,9780345432407,0345432401,369        pp,3.76,"17,625",2000,"May 01, 2001",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Plays like half a Godfather novel, it is thrilling and the type of book to take to the pool or beach. (I did!)Puzo had the panache to zip through storPlays like half a Godfather novel, it is thrilling and the type of book to take to the pool or beach. (I did!)Puzo had the panache to zip through stories of betrayal and crime, of ostentation and atonement. That there is a code, Omerta being the Sicilian equivalent of snitches getting stitches--and that it is followed, or not--is the engine that makes this novel roar. I loved it. If is not better than The Godfather, but on par with The Last D...more",Notes are private!,0,8,1,Aug 2023,"Aug 02, 2023","Aug 07, 2023",,Mass Market Paperback,view (with text),/book/show/22028.Omerta
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Candy House,"Egan, Jennifer*",1476716765,9781476716763,1476716765,352        pp,3.65,"57,124","Apr 05, 2022","Apr 05, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Absolutely brilliant! Better than A Visit from the Good Squad, it speaks of a select elite population, musicians and rich people, multigenerational stAbsolutely brilliant! Better than A Visit from the Good Squad, it speaks of a select elite population, musicians and rich people, multigenerational stories. Interlaced stories. The sci fi edge is bananas! Contender for best novel I've read this year....more",Notes are private!,0,12,1,not set,"Jul 23, 2023","Aug 07, 2023",,Hardcover,view (with text),/book/show/58437521-the-candy-house
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Revenge Wears Prada: The Devil Returns        (The Devil Wears Prada, #2)","Weisberger, Lauren",1439136637,9781439136638,1439136637,400        pp,2.99,"37,712","Jun 04, 2013","Jun 04, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"When your main girl becomes a sore, always bitchin', and of the never-satisified variety, well, one wants to sack our Andy Sachs. She takes forever deWhen your main girl becomes a sore, always bitchin', and of the never-satisified variety, well, one wants to sack our Andy Sachs. She takes forever deciding to get married, to have a kid. She mopes, surrounded by designer fashion New York stuff. Only when Miranda rears her white shark head do we get some flash of excitement. Who knew Miranda was a fan of... babies?!Despite its flaws, to convert it into a movie sequel with Hathaway and Streep would be a dream come true!...more",Notes are private!,0,3,1,not set,"Jul 20, 2023","Aug 07, 2023",,Hardcover,view (with text),/book/show/16130307-revenge-wears-prada
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Authenticity Project,"Pooley, Clare*",1984878638,9781984878632,1984878638,400        pp,3.94,"79,008","Feb 04, 2020","Dec 29, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Extremely precious, but with very indepth character representations. Modern London to me seems like a kiddie version of the U.S. because of these typeExtremely precious, but with very indepth character representations. Modern London to me seems like a kiddie version of the U.S. because of these types of books. Its like Chic Lit that always leads to the happy ending without deviation.A cozy novel about matchmaking and friendships....more",Notes are private!,0,3,1,not set,"Jul 16, 2023","Aug 07, 2023",,Paperback,view (with text),/book/show/55789067-the-authenticity-project
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mastery,"Greene, Robert*",0670024961,9780670024964,0670024961,318        pp,4.26,"40,791","Nov 01, 2012","Nov 13, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Very concise and accessible, from the author of 48 Laws of Power. While that tome is a bit more intelligent and eyeopening, Mastery recapitulates whatVery concise and accessible, from the author of 48 Laws of Power. While that tome is a bit more intelligent and eyeopening, Mastery recapitulates what you've always thought was true, about individual potential and life's work....more",Notes are private!,0,4,1,not set,"Jul 15, 2023","Aug 07, 2023",,Hardcover,view (with text),/book/show/13589182-mastery
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sammy and Juliana in Hollywood,"Sáenz, Benjamin Alire*",0060843748,9780060843748,0060843748,320        pp,3.88,"1,531","Aug 01, 2006","Aug 01, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 10, 2023",not set,"Jun 10, 2023",,Paperback,view,/book/show/554037.Sammy_and_Juliana_in_Hollywood
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Clown in a Cornfield 2: Frendo Lives,"Cesare, Adam*",0063096919,9780063096912,0063096919,416        pp,3.87,"6,237","Aug 23, 2022","Aug 23, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What became the slaying of students and adults in a cornfield by clown(s) is basically a failed script for The Purge film series. Little innovation, tWhat became the slaying of students and adults in a cornfield by clown(s) is basically a failed script for The Purge film series. Little innovation, too many characters with no distinct personalities to speak of, other than victimhood all around. The first novel loses what little luster it once possessed......more",Notes are private!,0,8,1,Jun 2023,"Jun 10, 2023","Jun 01, 2023",,Hardcover,view (with text),/book/show/59705289-clown-in-a-cornfield-2
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Avenue of Mysteries,"Irving, John*",1451664168,9781451664164,1451664168,460        pp,3.26,"13,464","Nov 03, 2015","Nov 03, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I feel like Irving took disparate topics--slums of Mexico, the Virgin Mary, modern day Philippines, AIDS, circuses--and wrote the heck out of em. It aI feel like Irving took disparate topics--slums of Mexico, the Virgin Mary, modern day Philippines, AIDS, circuses--and wrote the heck out of em. It amounts to little--nothing poetic-cute like Owen Meany, or poetic-strange like World According to Garp. It is a theater which Irving himself manufactures, in which characters all have their say and much dialogue and action is interlapped simultanously, so that different things occur at once to very interesting effects. It seems to want to be epic, about something, but is quirky and risque because it is sacriligious... and I feel like I want to say that he knows nothing of what he writes about. The focus on the Virgin mother--desecration, stigmata, Catholicism--all seem to be put there by a mind that is grabbing at SOMETHING, but gaining NOTHING....more",Notes are private!,0,18,1,"May 17, 2023","May 23, 2023","May 17, 2023",,Hardcover,view (with text),/book/show/25111109-avenue-of-mysteries
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Heart-Shaped Box,"Hill, Joe*",0061147931,9780061147937,0061147931,376        pp,3.84,"136,851","Feb 13, 2007","Feb 13, 2007",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Low grade Stephen King--a story about a famous asshole who reconciles with his forgotten/discarded ex girlfriends through terror, ghosts, special effeLow grade Stephen King--a story about a famous asshole who reconciles with his forgotten/discarded ex girlfriends through terror, ghosts, special effects. He feels better about himself by going through these horrific ordeals, including maniacal ghosts and white trash terrors. Too bad this was my first Joe Hill novel--I may not read another!...more",Notes are private!,0,7,1,not set,"May 17, 2023","May 17, 2023",,Hardcover,view (with text),/book/show/153025.Heart_Shaped_Box
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The New York Four,"Wood, Brian*",1401211542,9781401211547,1401211542,176        pp,3.37,"1,298",2011,"Jul 22, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"These ladies seem to have profound lives, more full than the actual plot that is basically the problems of a cellphone obsessed younger woman. She sufThese ladies seem to have profound lives, more full than the actual plot that is basically the problems of a cellphone obsessed younger woman. She suffers being thought of as an asshole--and a girl in trouble with her friends but still the star player of the group, this is the stuff that whole episodes of, say, Sex and the City for instance, would maybe one episode to the ""oh-oh ""of going to college and being an adult, which of course you ARE NOT at 18. And so, I would like to say that I want more episodes! One ain't enough Mr. Kelly!...more",Notes are private!,0,11,1,"May 03, 2023","May 08, 2023","May 03, 2023",,Paperback,view (with text),/book/show/2377953.The_New_York_Four
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Am Not Your Perfect Mexican Daughter,"Sánchez, Erika L.",1524700487,9781524700485,1524700487,344        pp,4.02,"68,852","Oct 17, 2017","Oct 17, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Very sad, but also relatable. The story is not as strong as the character development of Julia, who is adolescence--its sound, fury, acceptance and reVery sad, but also relatable. The story is not as strong as the character development of Julia, who is adolescence--its sound, fury, acceptance and rebellion--perfectly encapsulated. I am grateful more Mexican American voices are beating the literary metal drum....more",Notes are private!,0,9,1,"May 03, 2023","May 03, 2023","May 03, 2023",,Hardcover,view (with text),/book/show/29010395-i-am-not-your-perfect-mexican-daughter
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Deception Most Deadly        (A Cassie Gwynne Mystery #1),"Essig, Genevieve",,9781800196940,,340        pp,3.73,179,"Jan 11, 2022","Jan 14, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What is a cosy historical mystery? It is satisfying sure, yet in more ways than one! Discover a town in Florida-- over a hundred years ago! A communitWhat is a cosy historical mystery? It is satisfying sure, yet in more ways than one! Discover a town in Florida-- over a hundred years ago! A community of ""decent"" folk who question the motive more than lament the unsolved death, all of them somehow having a good reason to commit murder! They're all likeable; the pets/critters seem to personify the townspeople pretty well. The moments of tenderness between the ""good guys"" and the animals adorn the mystery so that it is not scary, or too serious. But it is cosy!Enough in this book to want to continue with Cassie in Book 2. And to continue reading the well-researched yet accessible prose of Essig!...more",Notes are private!,0,9,1,"May 17, 2023","May 17, 2023","Apr 22, 2023",,Kindle Edition,view (with text),/book/show/59755315-a-deception-most-deadly
