,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,John's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Foster,"Keegan, Claire",0571255655,9780571255658,0571255655,89        pp,4.33,"80,841",Feb 2010,"Feb 10, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 21, 2024","Jan 26, 2024","Jan 21, 2024",,Paperback,view,/book/show/8143909-foster
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Franciscan Saints,"Ellsberg, Robert",163253195X,9781632531957,B07533TGMR,258        pp,4.37,27,unknown,"Aug 22, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 15, 2024",,Kindle Edition,view,/book/show/36125286-the-franciscan-saints
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ragamuffin Gospel,"Manning, Brennan",1576737160,9781576737163,1576737160,240        pp,4.19,"38,135","Dec 01, 1990","Jun 08, 2000",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Very good. Glad I read it. But…I’m likely admitting how poor of a Christian I am. I’m an old fashioned orthodox fellow, and I see Manning picking and Very good. Glad I read it. But…I’m likely admitting how poor of a Christian I am. I’m an old fashioned orthodox fellow, and I see Manning picking and choosing parts of the gospel to accept and to refuse. Where is the need to deny myself, take up my cross, and follow him?I’m thinking of a conversation with an Episcopal friend. She was unhappy with the Catholic Church bc of all the rules and she didn’t understand why the Church isn’t nice just like Jesus. I laughed and said if Jesus were nice he wouldn’t have been Crucified. I agree that God loves me and that’s first. But in response I must repent. I must obey. I must love until it hurts. I must accept and take up my cross. The Christian life is hard. At times it hurts. Deo Gratias. ...more",Notes are private!,0,0,1,"Feb 18, 2024","Feb 26, 2024","Jan 10, 2024",,Paperback,view (with text),/book/show/173526.The_Ragamuffin_Gospel
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Red Comet: The Short Life and Blazing Art of Sylvia Plath,"Clark, Heather",1473579236,9781473579231,,"1,154        pp",4.58,"3,570",2020,"Oct 15, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2024",,ebook,view,/book/show/48721389-red-comet
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Saint John Paul the Great: His Five Loves,"Evert, Jason",0991375408,9780991375400,0991375408,300        pp,4.71,"2,533","Jan 01, 2014",2014,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Truly JP the great. What a hero. He grew up under the Nazis and Soviets. An easy read for anyone.,Notes are private!,0,0,1,"Dec 31, 2023","Jan 15, 2024","Dec 30, 2023",,Hardcover,view (with text),/book/show/21793112-saint-john-paul-the-great
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Pope Benedict XVI Reader,"Benedict XVI, Pope",,,B092SQF97S,294        pp,4.61,67,unknown,"Apr 16, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 25, 2023",not set,"Dec 25, 2023",,Kindle Edition,view,/book/show/57764784-the-pope-benedict-xvi-reader
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lead, Kindly Light: My Journey to Rome","Howard, Thomas",1586170287,9781586170288,1586170287,105        pp,4.19,129,1994,"Jun 09, 2004",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I love a good conversion story, especially by a thoughtful intelligent person.",Notes are private!,0,0,1,"Dec 23, 2023","Dec 26, 2023","Dec 23, 2023",,Paperback,view (with text),/book/show/742602.Lead_Kindly_Light
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,See No Evil: A Father Gabriel Mystery,"Maria, Fiorella De*",1621643492,9781621643494,1621643492,299        pp,4.16,56,"Feb 12, 2020","Feb 12, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 23, 2023",,Paperback,view,/book/show/48947494-see-no-evil
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cloudsplitter,"Banks, Russell",0060930861,9780060930868,0060930861,758        pp,3.93,"4,892","Feb 17, 1998","Jan 27, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 16, 2023",,Paperback,view,/book/show/26931.Cloudsplitter
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Father's Son,"Sano, Jim*",,,B07W94V8XM,374        pp,4.74,77,unknown,"Aug 07, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 09, 2023",,Kindle Edition,view,/book/show/51092895-the-father-s-son
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Soloviov și Larionov,"Vodolazkin, Eugene",9736899748,9789736899744,9736899748,324        pp,3.74,476,2009,Sep 2015,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 07, 2023",,Paperback,view,/book/show/26799747-soloviov-i-larionov
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Radical Optimism: Practical Spirituality in an Uncertain World,"Bruteau, Beatrice",1591810019,9781591810018,1591810019,139        pp,4.38,125,"Oct 01, 2002","Oct 01, 2002",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2023","Dec 12, 2023","Nov 19, 2023",,Paperback,view,/book/show/1834174.Radical_Optimism
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Case Against the Sexual Revolution: A New Guide to Sex in the 21st Century,"Perry, Louise",1509549994,9781509549993,1509549994,200        pp,4.29,"2,428",Apr 2022,"Apr 28, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 18, 2023",,Paperback,view,/book/show/59852733-the-case-against-the-sexual-revolution
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Build the Life You Want: The Art and Science of Getting Happier,"Brooks, Arthur C.",0593545400,9780593545409,0593545400,272        pp,3.81,"7,066",unknown,"Sep 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 16, 2023",,Hardcover,view,/book/show/137978862-build-the-life-you-want
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Hard Way        (Jack Reacher, #10)","Child, Lee*",0385336691,9780385336697,0385336691,384        pp,4.19,"82,952","May 16, 2006","May 16, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 14, 2023","Nov 19, 2023","Nov 14, 2023",,Hardcover,view,/book/show/383028.The_Hard_Way
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Eucharist Is Really Jesus: How Christ’s Body and Blood Are the Key to Everything We Believe,"Heschmeyer, Joe",1683573080,9781683573081,B0C7H6GZ3Y,160        pp,4.55,33,unknown,"Jun 07, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Challenging but good. Need to reread,Notes are private!,0,0,1,"Nov 12, 2023","Nov 28, 2023","Nov 12, 2023",,Kindle Edition,view (with text),/book/show/175440847-the-eucharist-is-really-jesus
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,God's Smuggler,Brother Andrew,0800793013,9780800793012,0800793013,256        pp,4.36,"42,771","Jan 01, 1964","Oct 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 03, 2023",,Paperback,view,/book/show/824062.God_s_Smuggler
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Social Justice Fallacies,"Sowell, Thomas",,,B0BJYSCX2M,225        pp,4.49,"1,247",unknown,"Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 31, 2023",,Kindle Edition,view,/book/show/63876112-social-justice-fallacies
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Heart Will Triumph,"Soldo, Mirjana",0997890614,9780997890617,B01JSNWBI8,381        pp,4.78,"1,454",2016,"Aug 15, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 31, 2023",,Kindle Edition,view,/book/show/31448020-my-heart-will-triumph
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Light at the Torn Horizon,"Murray, Paul",1685780253,9781685780258,1685780253,112        pp,4.43,14,unknown,"Apr 19, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 29, 2023",,Paperback,view,/book/show/61161913-light-at-the-torn-horizon
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,SOUTH TOWARD HORN,"Dannreuther, Wes",,,B0CH1LSSKM,237        pp,4.64,11,unknown,"Sep 29, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2023",,Kindle Edition,view,/book/show/198328649-south-toward-horn
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Persuader        (Jack Reacher, #7)","Child, Lee*",0440241006,9780440241003,0440241006,496        pp,4.13,"89,672","Apr 01, 2003","Mar 30, 2004",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 16, 2023","Oct 25, 2023","Oct 16, 2023",,Mass Market Paperback,view,/book/show/455941.Persuader
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Conversion: Spiritual Insights Into an Essential Encounter with God,"Haggerty, Donald",1681497778,9781681497778,B076HBV65S,180        pp,4.71,83,unknown,"Oct 16, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 29, 2023",,Kindle Edition,view,/book/show/36426036-conversion
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Bird in the Tree        (Eliots of Damerosehay, #1)","Goudge, Elizabeth",0892837586,9780892837588,0892837586,286        pp,4.23,"1,846","Jan 01, 1940","Jan 01, 1992",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 27, 2023",,Paperback,view,/book/show/855903.The_Bird_in_the_Tree
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Train Dreams,"Johnson, Denis",1250007658,9781250007650,1250007658,116        pp,3.90,"23,994",2002,"May 22, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 22, 2023",,Paperback,view,/book/show/12991188-train-dreams
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fragile Objects,"Carl, Katy*",1951319117,9781951319113,1951319117,318        pp,4.86,7,unknown,"Aug 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 15, 2023",,Paperback,view,/book/show/196446311-fragile-objects
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Enemy        (Jack Reacher, #8)","Child, Lee*",0440241014,9780440241010,0440241014,496        pp,4.17,"133,499","May 11, 2004","Apr 26, 2005",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,These stories are all unbelievable. But this one was way too much. But I see I’m in the minority.,Notes are private!,0,0,1,"Sep 07, 2023","Sep 11, 2023","Sep 07, 2023",,Paperback,view (with text),/book/show/231562.The_Enemy
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Citadel of God: A Novel about Saint Benedict,"De Wohl, Louis",0898704049,9780898704044,0898704049,345        pp,4.10,497,1959,"Mar 01, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 04, 2023",,Paperback,view,/book/show/299749.Citadel_of_God
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Visitations,"Simmonds, Kathryn*",1781721165,9781781721162,1781721165,62        pp,4.08,12,"Oct 01, 2013","Oct 01, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 03, 2023",,Paperback,view,/book/show/19300740-the-visitations
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Martin Eden,"London, Jack",,,,480        pp,4.47,"43,032",1908,"Feb 01, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 01, 2023",,Paperback,view,/book/show/929782.Martin_Eden
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"One Shot        (Jack Reacher, #9)","Child, Lee*",0440241022,9780440241027,B0095H41PO,466        pp,4.24,"114,780","Jul 10, 2005","Jan 01, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Best Reacher I’ve read. But I refuse to give it five stars because it’s just not great literature. Darn fun read though.,Notes are private!,0,0,1,"Aug 25, 2023","Aug 28, 2023","Aug 25, 2023",,Paperback,view (with text),/book/show/220968.One_Shot
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Moby-Dick or, The Whale","Melville, Herman",0142437247,9780142437247,0142437247,720        pp,3.54,"560,709","Oct 18, 1851","Feb 21, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 19, 2023",,Paperback,view,/book/show/153747.Moby_Dick_or_The_Whale
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shiloh,"Foote, Shelby",0679735429,9780679735427,0679735429,240        pp,4.10,"5,334",1952,"Apr 09, 1991",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Aug 16, 2023",,Paperback,view,/book/show/764255.Shiloh
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Son,"Meyer, Philipp*",0062120395,9780062120397,0062120395,561        pp,4.02,"35,472","May 28, 2013","May 28, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 16, 2023",,Hardcover,view,/book/show/16240761-the-son
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Joyful Beggar: A Novel of St. Francis of Assisi,"De Wohl, Louis",0898708141,9780898708141,0898708141,374        pp,4.26,481,1958,"Mar 01, 2001",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 18, 2023","Aug 22, 2023","Aug 14, 2023",,Paperback,view,/book/show/134957.The_Joyful_Beggar
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sabbatical: A Novel,"O'Brien, Michael D.",1621644901,9781621644903,1621644901,375        pp,4.19,141,unknown,"Jul 29, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 14, 2023",,Hardcover,view,/book/show/58766860-the-sabbatical
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Remember Death: The Surprising Path to Living Hope,"McCullough, Matthew",1433560534,9781433560538,1433560534,192        pp,4.58,428,unknown,"Aug 31, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 14, 2023",,Hardcover,view,/book/show/38530828-remember-death
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sun House,"Duncan, David James",0316129372,9780316129374,0316129372,784        pp,3.87,578,"Aug 08, 2023","Aug 08, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Nope. Could not finish. All the characters were some sort of mystic. So wise so profound. But completely selfish. Attacks on all things religious partNope. Could not finish. All the characters were some sort of mystic. So wise so profound. But completely selfish. Attacks on all things religious particularly Catholics. So easy to do. They all worshipped themselves. Spiritual but not religious. Maybe this was a book advocating hedonism or nihilism. Just yuck. Two stars bc the guy can write. ...more,Notes are private!,0,0,1,"Oct 13, 2023","Oct 16, 2023","Aug 08, 2023",,Hardcover,view (with text),/book/show/64000510-sun-house
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Understanding the Hillbilly Thomist: The Philosophical Foundations of Flannery O’Connor’s Narrative Art,"Ference, Damian",,,B0CDMBG7TJ,268        pp,4.87,15,unknown,"Aug 02, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A must read for anyone who enjoys Flannery. And for anyone interested in Thomism.The more time I spend reading her the more in awe I am with her storiA must read for anyone who enjoys Flannery. And for anyone interested in Thomism.The more time I spend reading her the more in awe I am with her stories. ...more,Notes are private!,0,1,1,"Aug 23, 2023","Aug 31, 2023","Aug 05, 2023",,Kindle Edition,view (with text),/book/show/195641604-understanding-the-hillbilly-thomist
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Brisbane,"Vodolazkin, Eugene",,,,370        pp,3.98,"1,296",Dec 2018,2019,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 30, 2023","Aug 11, 2023","Jul 30, 2023",,Paperback,view,/book/show/48637169-brisbane
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Time to Die: Monks on the Threshold of Eternal Life,"Diat, Nicolas",1621642747,9781621642749,1621642747,174        pp,4.48,308,"Jan 31, 2018","Jun 13, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 30, 2023","Aug 21, 2023","Jul 30, 2023",,Paperback,view,/book/show/46211991-a-time-to-die
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ungrateful Refugee,"Nayeri, Dina*",1948226421,9781948226424,1948226421,368        pp,4.05,"4,643","Sep 19, 2019","Sep 03, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 25, 2023",,Hardcover,view,/book/show/43835469-the-ungrateful-refugee
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Echo Burning        (Jack Reacher, #5)","Child, Lee*",0515133310,9780515133318,0515133310,432        pp,4.04,"94,141","Jun 25, 2001","Apr 28, 2002",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 16, 2023",,Mass Market Paperback,view,/book/show/455930.Echo_Burning
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Without Fail        (Jack Reacher, #6)","Child, Lee*",1590860624,9781590860625,1590860624,14        pp,4.16,"105,886","May 13, 2002","May 17, 2002",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A fun thriller. A little silly as in every book Reacher has great sex with a very beautiful law enforcement officer. Ending was very rushed,Notes are private!,0,0,1,"Jul 22, 2023","Jul 30, 2023","Jul 16, 2023",,Audiobook,view (with text),/book/show/21745.Without_Fail
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wake Up With Purpose!: What I’ve Learned in My First Hundred Years,"Schmidt, Jean Dolores",1400333512,9781400333516,1400333512,222        pp,4.19,"1,810","Feb 28, 2023","Feb 28, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I love this lady. She’s an enigma. She lives a life of obedience. Obedient to her superior. Humbly going to new assignment’s when she’s told. But boy I love this lady. She’s an enigma. She lives a life of obedience. Obedient to her superior. Humbly going to new assignment’s when she’s told. But boy she has strong opinions. Well worth reading ...more,Notes are private!,0,0,1,"Jul 15, 2023","Jul 22, 2023","Jul 15, 2023",,Hardcover,view (with text),/book/show/61349491-wake-up-with-purpose
