,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Marco's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rama: Il ciclo completo,"Clarke, Arthur C.",8804752289,9788804752288,8804752289,"1,200        pp",4.21,562,"Oct 14, 1993","Nov 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Hardcover,view,/book/show/63232871-rama
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Casa di foglie,"Danielewski, Mark Z.*",8832970945,9788832970944,8832970945,723        pp,4.09,"170,084","May 07, 2000","Nov 07, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""L'oscurità ci sarà sempre, ma ora realizzo che qualcosa la abita"".""L'oscurità ci sarà sempre, ma ora realizzo che qualcosa la abita""....more",Notes are private!,0,3,1,"Feb 17, 2024","Mar 10, 2024","Feb 17, 2024",,Paperback,view (with text),/book/show/48561873-casa-di-foglie
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Incontro con Rama        (Rama, #1)","Clarke, Arthur C.",,,,306        pp,4.12,"165,957",Jun 1973,"Apr 26, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2024",,Paperback,view,/book/show/15718189-incontro-con-rama
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,LoveStar,"Magnason, Andri Snær*",9979324783,9789979324782,,275        pp,3.77,"2,069",2002,2004,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Inaspettatamente illuminante. Figo. Leggetelo. Anche se non è mai stato tradotto in italiano, il livello della traduzione inglese è alla portata di tuInaspettatamente illuminante. Figo. Leggetelo. Anche se non è mai stato tradotto in italiano, il livello della traduzione inglese è alla portata di tutti....more",Notes are private!,0,3,1,"Jan 29, 2024","Feb 17, 2024","Jan 29, 2024",,Paperback,view (with text),/book/show/7675398-lovestar
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sete,"Radley, A.B.",,9788831982627,,480        pp,4.16,19,unknown,"Nov 27, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 07, 2024",not set,"Jan 22, 2024",,Paperback,view,/book/show/63111741-sete
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La ghirlanda. Kristin Lavransdatter. Vol. 1,"Undset, Sigrid",,9791280084668,B0BN4SD3KZ,344        pp,4.00,3,unknown,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 20, 2024",,Paperback,view,/book/show/150319563-la-ghirlanda-kristin-lavransdatter-vol-1
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I baffi,"Carrère, Emmanuel",8845934594,9788845934599,8845934594,149        pp,3.73,"9,704","Jun 03, 1986","Feb 27, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 16, 2024",,Paperback,view,/book/show/50723116-i-baffi
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Le visionarie. Fantascienza, fantasy e femminismo: un'antologia","VanderMeer, Ann",8880560077,9788880560074,8880560077,536        pp,4.13,"1,241","Jul 03, 2015","Feb 14, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Ci sono racconti splendidi e altri che non hanno senso di essere. Con la metà delle pagine (e dei racconti) poteva essere un'antologia capolavoro.Ci sono racconti splendidi e altri che non hanno senso di essere. Con la metà delle pagine (e dei racconti) poteva essere un'antologia capolavoro....more,Notes are private!,0,1,1,"Mar 11, 2024","Mar 28, 2024","Jan 16, 2024",,Paperback,view (with text),/book/show/38484700-le-visionarie-fantascienza-fantasy-e-femminismo
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Omenana: Racconti fantastici dal continente africano (Not),AA.VV.,8880562029,9788880562023,B0BWKGF9K1,219        pp,3.40,15,unknown,"Feb 22, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 16, 2024",,Kindle Edition,view,/book/show/192986349-omenana
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I ragazzi di Barrow,"Fleming, Fergus",,,B01I9RPJZG,734        pp,4.17,751,"Jan 01, 1998","Jul 14, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 11, 2024",,Kindle Edition,view,/book/show/31183845-i-ragazzi-di-barrow
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Venivamo tutte per mare,"Otsuka, Julie",8833922758,9788833922751,8833922758,142        pp,3.69,"57,727","Aug 23, 2011","Jan 12, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 09, 2024",,Paperback,view,/book/show/13319084-venivamo-tutte-per-mare
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Americanah,"Adichie, Chimamanda Ngozi",8806227270,9788806227272,8806227270,506        pp,4.32,"371,115","May 14, 2013","Oct 06, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 01, 2024",,Paperback,view,/book/show/26876784-americanah
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La campana di vetro,"Plath, Sylvia",8804479388,9788804479383,8804479388,238        pp,4.05,"960,064",Jan 1963,"Jan 01, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 01, 2024",,Paperback,view,/book/show/9732900-la-campana-di-vetro
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Giù nella valle,"Cognetti, Paolo*",8806262165,9788806262167,8806262165,128        pp,3.57,"1,688","Oct 24, 2023","Oct 24, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Audiolibro,Notes are private!,0,1,1,"Dec 28, 2023","Dec 28, 2023","Dec 28, 2023",,Hardcover,view (with text),/book/show/199258938-gi-nella-valle
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Un'estate,"Keegan, Claire",8858444116,9788858444115,,80        pp,4.33,"80,841",Feb 2010,"Nov 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 26, 2023",,ebook,view,/book/show/202096528-un-estate
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Non devi dirmi che mi ami,"Alexie, Sherman",8894938174,9788894938173,8894938174,462        pp,4.15,"17,770","Jun 13, 2017","Feb 07, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 18, 2023",,Paperback,view,/book/show/43898039-non-devi-dirmi-che-mi-ami
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"La figlia della foresta        (Sevenwaters, #1)","Marillier, Juliet*",,9788804755791,8804755792,636        pp,4.28,"65,244","Apr 01, 1999","Oct 25, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 18, 2023",,Paperback,view,/book/show/62821365-la-figlia-della-foresta
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La mano sinistra del buio,"Le Guin, Ursula K.",8804732059,9788804732051,8804732059,290        pp,4.10,"181,960",1969,"Oct 26, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 17, 2023",,Paperback,view,/book/show/59116749-la-mano-sinistra-del-buio
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Storie della tua vita,"Chiang, Ted",8868364190,9788868364199,8868364190,336        pp,4.26,"104,495","Jul 05, 2002","Feb 27, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Dec 15, 2023","Dec 27, 2023","Dec 15, 2023",,Paperback,view,/book/show/38472514-storie-della-tua-vita
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Babel. Una storia arcana,"Kuang, R.F.*",8835727979,9788835727972,,777        pp,4.20,"218,449","Aug 23, 2022","Aug 29, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 05, 2023",,ebook,view,/book/show/190042614-babel-una-storia-arcana
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Piccolo nome, grande sangue","Meozzi, Riccardo",8831982486,9788831982481,,96        pp,4.09,34,2022,"Jun 16, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 04, 2023",,Paperback,view,/book/show/61300548-piccolo-nome-grande-sangue
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Children of Memory        (Children of Time, #3)","Tchaikovsky, Adrian*",0316466409,9780316466400,0316466409,503        pp,4.04,"17,266","Nov 24, 2022","Jan 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 30, 2023",,Paperback,view,/book/show/61030535-children-of-memory
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il corpo che vuoi,"Kleeman, Alexandra*",8894833003,9788894833003,8894833003,304        pp,3.25,"6,193","Jul 14, 2015","Mar 02, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 27, 2023",,Paperback,view,/book/show/34112152-il-corpo-che-vuoi
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il capitano Jens Munk,"Hansen, Thorkild",8870910938,9788870910933,8870910938,512        pp,4.34,91,1965,Dec 2000,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 22, 2023",,Paperback,view,/book/show/13267285-il-capitano-jens-munk
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Qualcosa di nuovo sotto il sole,"Kleeman, Alexandra*",8894833836,9788894833836,8894833836,357        pp,3.32,"2,927","Aug 03, 2021","Oct 19, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Nov 22, 2023","Dec 14, 2023","Nov 22, 2023",,Paperback,view,/book/show/63052112-qualcosa-di-nuovo-sotto-il-sole
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Le schegge,"Ellis, Bret Easton",8806260863,9788806260866,8806260863,752        pp,3.99,"20,594","Jan 17, 2023","Oct 10, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 21, 2023",,Hardcover,view,/book/show/199107924-le-schegge
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Giù nel cieco mondo,"Ward, Jesmyn*",1255750022,9791255750024,B0C32B8Z1F,270        pp,3.73,"20,567","Oct 24, 2023","Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 21, 2023",,Paperback,view,/book/show/183440335-gi-nel-cieco-mondo
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Vita Nostra        (Vita Nostra, #1)","Dyachenko, Marina",0062694596,9780062694591,0062694596,408        pp,4.02,"17,699",2007,"Nov 01, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 21, 2023",,Hardcover,view,/book/show/38633526-vita-nostra
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Whale,"Cheon, Myeong-Kwan",8833576787,9788833576787,8833576787,422        pp,3.97,"2,511","Dec 24, 2004","Nov 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 08, 2023",,Paperback,view,/book/show/200801635-whale
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Brucia la notte,"Vecchietti, Tiffany",8835729688,9788835729686,B0CKRJDNQJ,412        pp,3.18,311,unknown,"Oct 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 07, 2023",,Kindle Edition,view,/book/show/199920294-brucia-la-notte
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rombo,"Kinsky, Esther",8870916650,9788870916652,8870916650,271        pp,3.54,312,2022,"Mar 29, 2023",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Scritto incredibilmente bene ma senza ragione di essere. Poteva e doveva essere lungo massimo 70 pagine. Ce ne sono quindi 200 di troppo.,Notes are private!,0,2,1,"Nov 04, 2023","Nov 22, 2023","Nov 04, 2023",,Paperback,view (with text),/book/show/75614498-rombo
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"House of Open Wounds        (The Tyrant Philosophers, #2)","Tchaikovsky, Adrian*",1035901382,9781035901388,1035901382,608        pp,4.53,921,"Dec 07, 2023","Dec 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 02, 2023",,Hardcover,view,/book/show/150254281-house-of-open-wounds
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L'altra sponda,"Cortázar, Julio",8858442016,9788858442012,B0C33MTD9B,126        pp,3.82,805,1945,"May 02, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 23, 2024","Jan 29, 2024","Oct 08, 2023",,Paperback,view,/book/show/136368033-l-altra-sponda
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I libri di Jakub,"Tokarczuk, Olga",8830100234,9788830100237,8830100234,"1,114        pp",4.03,"7,915","Oct 23, 2014","Sep 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 03, 2023",,Paperback,view,/book/show/123032138-i-libri-di-jakub
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stella Maris,"McCarthy, Cormac",880625958X,9788806259587,880625958X,194        pp,3.88,"16,973","Dec 06, 2022","Sep 26, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Oct 28, 2023","Nov 04, 2023","Sep 28, 2023",,Hardcover,view,/book/show/198699569-stella-maris
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Prophet Song,"Lynch, Paul*",,,B0C5Y3JG4S,259        pp,4.15,"26,515","Aug 24, 2023","Aug 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 28, 2023",,Kindle Edition,view,/book/show/158875813-prophet-song
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Grace,"Lynch, Paul*",8832971267,9788832971262,8832971267,448        pp,3.68,"1,825","Jul 11, 2017","Aug 06, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Sep 28, 2023","Oct 28, 2023","Sep 28, 2023",,Paperback,view,/book/show/54882519-grace
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"L'incendio: Reportage su una generazione tra Iran, Ucraina e Afghanistan","Sala, Cecilia",,,B0CGCRG9CY,194        pp,4.13,498,unknown,"Sep 12, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""Siamo abituati a empatizzare per prossimità e somiglianza, un caso di violenza domestica nel nostro palazzo ci colpisce più che un caso di violenza a""Siamo abituati a empatizzare per prossimità e somiglianza, un caso di violenza domestica nel nostro palazzo ci colpisce più che un caso di violenza a Bolzano se abitiamo a Messina. È uno dei motivi banali per cui questa guerra in Ucraina ci ha destabilizzati più di quanto non abbia fatto quella in Yemen. Perché milioni di donne, ragazze, bambini e vecchi che scappano con addosso piumini North Face e in mano il trasportino con dentro il gatto ci fanno vedere come saremmo noi se un giorno un missile cadesse sul nostro condominio. Noi che non abbiamo abbastanza consuetudine con la morte, noi che non ci percepiamo tanto disperati da prendere in considerazione di abbandonare il gatto a morire di freddo e di fame sotto le bombe. Scappare con i gatti è un simbolo di abitudine alla normalità - al benessere - che ci somiglia e quindi ci fa più paura. Riuscire a inserire un dato (il numero di missili, il numero di vittime) in un contesto aiuta l'empatia e per la maggioranza di noi è più facile capire Kyiv che Sanaa. Con Sanaa, l'elemento dell'immedesimazione che incrina il nostro equilibrio non è altrettanto potente.Come in ogni guerra, sapevamo che la solidarietà con chi è sotto le bombe non sarebbe durata per sempre. Sarebbero arrivate la stanchezza, la noia, i dubbi, e a un certo punto l'insofferenza. L'attenzione e l'empatia sono durate più del previsto e sicuramente più che per altre guerre, poi la stanchezza e l'insofferenza sono arrivate comunque.""...more",Notes are private!,0,2,1,"Sep 20, 2023","Sep 26, 2023","Sep 20, 2023",,Kindle Edition,view (with text),/book/show/197629400-l-incendio
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Future,"Alderman, Naomi*",166802568X,9781668025680,166802568X,432        pp,3.88,"11,328","Nov 07, 2023","Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 22, 2023",,Hardcover,view,/book/show/123163147-the-future
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Death I Gave Him,"Liu, Em X.*",1786189984,9781786189981,1786189984,351        pp,3.43,"1,457","Sep 12, 2023","Sep 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 22, 2023",,Hardcover,view,/book/show/101150684-the-death-i-gave-him
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"He Who Drowned the World        (The Radiant Emperor, #2)","Parker-Chan, Shelley*",1250621828,9781250621825,1250621828,486        pp,4.29,"6,711","Aug 22, 2023","Aug 22, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 22, 2023",,Hardcover,view,/book/show/63132338-he-who-drowned-the-world
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Quanto oro c'è in queste colline,"Zhang, C Pam*",8832971992,9788832971996,8832971992,345        pp,3.79,"23,840","Apr 07, 2020","Oct 28, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Dec 27, 2023","Jan 10, 2024","Aug 22, 2023",,Paperback,view,/book/show/59544337-quanto-oro-c-in-queste-colline
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Land of Milk and Honey,"Zhang, C Pam*",0593538242,9780593538241,0593538242,240        pp,3.57,"12,005","Sep 26, 2023","Sep 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 22, 2023",,Hardcover,view,/book/show/101673225-land-of-milk-and-honey
