,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Chris's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Wolf Hall        (Thomas Cromwell, #1)","Mantel, Hilary",0007230184,,B00IFARVYA,653        pp,3.90,"210,318","Apr 30, 2009",2010,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Wrong book at the wrong time. Hope to reattempt some day. Or not.,Notes are private!,0,0,1,not set,not set,"Apr 03, 2019",,Paperback,view (with text),/book/show/6101138-wolf-hall
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lake Success,"Shteyngart, Gary*",0812997417,9780812997415,0812997417,339        pp,3.62,"11,067","Sep 04, 2018","Sep 04, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2019",,Hardcover,view,/book/show/36739942-lake-success
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Record Play Pause,"Morris, Stephen",1472126203,9781472126207,1472126203,405        pp,4.37,694,unknown,"Feb 07, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2019",,Hardcover,view,/book/show/42650502-record-play-pause
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Facing the Other Way: The Story of 4AD,"Aston, Martin",0007489617,9780007489619,0007489617,650        pp,4.06,621,Sep 2013,"Sep 19, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 07, 2019",,Hardcover,view,/book/show/17910503-facing-the-other-way
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Split Tooth,"Tagaq, Tanya",0143198041,,B07CR2Y9QX,202        pp,3.92,"11,227","Sep 25, 2018","Sep 25, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 03, 2019","Apr 09, 2019","Feb 25, 2019",,Kindle Edition,view,/book/show/40044460-split-tooth
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Falling Upward: A Spirituality for the Two Halves of Life,"Rohr, Richard",0470907754,9780470907757,0470907754,199        pp,4.23,"16,071",Feb 2004,"Mar 22, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 11, 2019",,Hardcover,view,/book/show/9963483-falling-upward
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Stranger in the Woods: The Extraordinary Story of the Last True Hermit,"Finkel, Michael*",1101924926,9781101924921,1101924926,225        pp,3.89,"74,805","Mar 07, 2017","Mar 07, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 29, 2019",,Audio CD,view,/book/show/30687200-the-stranger-in-the-woods
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ziggyology: A Brief History Of Ziggy Stardust,"Goddard, Simon*",0091948886,9780091948887,0091948886,352        pp,3.97,513,"Mar 28, 2013","Mar 28, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 14, 2018",,Hardcover,view,/book/show/17307714-ziggyology
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Songs That Saved Your Life: The Art of The Smiths 1982-87,"Goddard, Simon*",1781162581,9781781162583,1781162581,368        pp,4.15,"1,082","Dec 01, 2002","Feb 26, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 14, 2018",,Paperback,view,/book/show/15797794-songs-that-saved-your-life
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Corrosion of Conservatism: Why I Left the Right,"Boot, Max",1631495674,9781631495670,1631495674,288        pp,3.96,882,"Oct 09, 2018","Oct 09, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 25, 2018",,Hardcover,view,/book/show/40554286-the-corrosion-of-conservatism
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wittenberg - Acting Edition,"Davalos, David",0822224429,9780822224426,0822224429,72        pp,3.96,82,"Jul 28, 2010","Jul 26, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 13, 2018",,Paperback,view,/book/show/10807306-wittenberg---acting-edition
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How Music Works,"Byrne, David*",1936365537,9781936365531,1936365537,345        pp,4.00,"24,935","Sep 02, 2014","Sep 12, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 04, 2018",,Hardcover,view,/book/show/13235689-how-music-works
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Frolic of the Beasts,"Mishima, Yukio",0525434151,9780525434153,0525434151,166        pp,3.52,"1,945",1961,"Nov 27, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 03, 2018",,Paperback,view,/book/show/35952941-the-frolic-of-the-beasts
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fox 8,"Saunders, George",1984818023,9781984818027,1984818023,49        pp,4.12,"15,299",2013,"Nov 13, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 07, 2018",,Hardcover,view,/book/show/38815794-fox-8
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Summer Book,"Jansson, Tove",0954221710,9780954221713,0954221710,192        pp,4.03,"39,198",1972,"May 29, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 29, 2018",,Paperback,view,/book/show/79550.The_Summer_Book
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lion Cross Point,"Ono, Masatsugu",193188370X,9781931883702,193188370X,128        pp,3.58,315,"Jan 19, 2013","Apr 10, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 29, 2018",,Hardcover,view,/book/show/36389547-lion-cross-point
60,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wild Robot Escapes        (The Wild Robot, #2)","Brown, Peter",0316382043,9780316382045,0316382043,279        pp,4.40,"17,338","Mar 13, 2018","Mar 13, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 29, 2018","Sep 26, 2018","Aug 29, 2018",,Hardcover,view,/book/show/34219841-the-wild-robot-escapes
