,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Pendle's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,And Then There Were None,"Christie, Agatha",0312330871,9780312330873,0312330871,264        pp,4.28,"1,355,946","Nov 06, 1939","May 03, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 07, 2022",,Paperback,view,/book/show/16299.And_Then_There_Were_None
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Death on the Nile        (Hercule Poirot, #18)","Christie, Agatha",,,0553119222,352        pp,4.12,"259,214","Nov 01, 1937",1978,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 07, 2022",,Paperback,view,/book/show/131359.Death_on_the_Nile
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Murder on the Orient Express        (Hercule Poirot, #10)","Christie, Agatha",0007119313,9780007119318,B006VWJ2XC,274        pp,4.20,"622,223","Jan 01, 1934","Jun 04, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 07, 2022",,Paperback,view,/book/show/853510.Murder_on_the_Orient_Express
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Norwegian Wood,"Murakami, Haruki",0375704027,9780375704024,0375704027,296        pp,4.01,"602,015","Sep 04, 1987","Sep 12, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 07, 2022",,Paperback,view,/book/show/11297.Norwegian_Wood
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Clockwork Orange,"Burgess, Anthony",0393341763,9780393341768,0393341763,240        pp,4.00,"712,081",1962,"May 21, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 07, 2022",,Paperback,view,/book/show/41817486-a-clockwork-orange
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Color Purple,"Walker, Alice",0143135694,9780143135692,0143135694,304        pp,4.27,"685,382","Jun 01, 1982","Dec 10, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 07, 2022",,Paperback,view,/book/show/52892857-the-color-purple
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Metamorphosis,"Kafka, Franz",,,,201        pp,3.86,"1,057,764",Oct 1915,"Mar 01, 1972",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 07, 2022",,Paperback,view,/book/show/485894.The_Metamorphosis
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Giver        (The Giver, #1)","Lowry, Lois*",0385732554,9780385732550,0385732554,208        pp,4.12,"2,478,521","Apr 26, 1993","Jan 24, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 07, 2022",,Paperback,view,/book/show/3636.The_Giver
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Harry Potter and the Order of the Phoenix        (Harry Potter, #5)","Rowling, J.K.",,,,912        pp,4.50,"3,383,353","Jun 21, 2003",Sep 2004,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 07, 2022",,Paperback,view,/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Romeo and Juliet,"Shakespeare, William",,,0743477111,281        pp,3.74,"2,603,585",1597,2002,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 07, 2022",,Mass Market Paperback,view,/book/show/18135.Romeo_and_Juliet
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Little Women,"Alcott, Louisa May",,,0451529308,449        pp,4.15,"2,233,570",1868,"Apr 06, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 07, 2022",,Paperback,view,/book/show/1934.Little_Women
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jane Eyre,"Brontë, Charlotte",0142437204,9780142437209,0142437204,532        pp,4.15,"2,094,596","Oct 16, 1847","Feb 04, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 07, 2022",,Paperback,view,/book/show/10210.Jane_Eyre
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,To Kill a Mockingbird,"Lee, Harper",,,,323        pp,4.26,"6,123,300","Jul 11, 1960","May 23, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 07, 2022",,Paperback,view,/book/show/2657.To_Kill_a_Mockingbird
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Look: Poems,"Sharif, Solmaz",1555977448,9781555977443,1555977448,98        pp,4.32,"2,374","Jul 05, 2016","Jul 05, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 07, 2022",,Paperback,view,/book/show/26114310-look
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stories From the Polycule: Real Life in Polyamorous Families,"Sheff, Elisabeth",0991399773,9780991399772,0991399773,288        pp,3.70,151,"Oct 15, 2015","Oct 15, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 07, 2022",,Paperback,view,/book/show/25707128-stories-from-the-polycule
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Giovanni’s Room,"Baldwin, James",,,,159        pp,4.32,"156,609","Jan 01, 1956",Jun 2000,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Aug 27, 2022",,Paperback,view,/book/show/38462.Giovanni_s_Room
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Native Son,"Wright, Richard",,,,432        pp,4.03,"99,107",1940,1987,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 27, 2022",,Paperback,view,/book/show/228631.Native_Son
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,To the Lighthouse,"Woolf, Virginia",,,140679239X,209        pp,3.80,"183,347","May 05, 1927","Dec 27, 1989",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2022",,Paperback,view,/book/show/59716.To_the_Lighthouse
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Apeirogon,"McCann, Colum*",030787804X,9780307878045,030787804X,15        pp,4.25,"21,707","Feb 25, 2020","Feb 25, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2022",,Audio CD,view,/book/show/50732671-apeirogon
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Homeland Elegies,"Akhtar, Ayad*",0316496421,9780316496421,0316496421,368        pp,4.14,"23,272","Sep 15, 2020","Sep 15, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2022",,Hardcover,view,/book/show/50358133-homeland-elegies
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The State of Affairs: Rethinking Infidelity,"Perel, Esther",0062322605,9780062322609,,352        pp,4.37,"18,564","Oct 10, 2017","Oct 10, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2022",,ebook,view,/book/show/34017010-the-state-of-affairs
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Overstory,"Powers, Richard",,,B073VX7HT4,502        pp,4.12,"159,525","Apr 03, 2018","Apr 03, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2022",,Kindle Edition,view,/book/show/36075657-the-overstory
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Girl, Woman, Other","Evaristo, Bernardine",0241364906,9780241364901,0241364906,453        pp,4.29,"231,194","May 02, 2019","May 02, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2022",,Kindle Edition,view,/book/show/41081373-girl-woman-other
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Be an Antiracist,"Kendi, Ibram X.*",0525509283,9780525509288,0525509283,305        pp,4.38,"114,462","Aug 13, 2019","Aug 13, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2022",,Hardcover,view,/book/show/40265832-how-to-be-an-antiracist
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,White Fragility: Why It’s So Hard for White People to Talk About Racism,"DiAngelo, Robin",0807071161,9780807071168,,7        pp,4.17,"163,691","Jun 26, 2018","Jun 26, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2022",,Audiobook,view,/book/show/43708708-white-fragility
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The End of Policing,"Vitale, Alex S.",1784782912,,B01I85OOZA,273        pp,4.19,"11,241","Oct 10, 2017","Oct 10, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 06, 2022",,Kindle Edition,view,/book/show/35403039-the-end-of-policing
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Autobiography of Malcolm X,"X, Malcolm",,,,466        pp,4.36,"267,709","Oct 29, 1965",2015,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2022",,Mass Market Paperback,view,/book/show/92057.The_Autobiography_of_Malcolm_X
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beloved,"Morrison, Toni",,9781400033416,1400033411,324        pp,3.95,"435,380","Sep 16, 1987","Jun 08, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2022",,Paperback,view,/book/show/6149.Beloved
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Invisible Man,"Ellison, Ralph",,,,581        pp,3.91,"187,876","Apr 14, 1952","Feb 01, 1995",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2022",,Paperback,view,/book/show/16981.Invisible_Man
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Black Boy,"Wright, Richard",0060929782,9780060929787,0060929782,419        pp,4.08,"53,782",Feb 1945,Sep 1998,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 06, 2022",,Paperback,view,/book/show/228630.Black_Boy
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bluest Eye,"Morrison, Toni",0307278441,9780307278449,0307278441,206        pp,4.11,"252,673","Jun 01, 1970","May 08, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Oct 08, 2023","Jan 06, 2022",,Paperback,view,/book/show/292327.The_Bluest_Eye
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sula,"Morrison, Toni",1400033438,9781400033430,1400033438,174        pp,4.03,"98,817",1973,"Jun 08, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2022",,Paperback,view,/book/show/11347.Sula
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lolita,"Nabokov, Vladimir",0679723161,9780679723165,0679723161,317        pp,3.88,"850,129",Sep 1955,"Mar 13, 1989",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2022",,Paperback,view,/book/show/18133.Lolita
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Death of Ivan Ilyich and Other Stories,"Tolstoy, Leo",0140449612,9780140449617,0140449612,317        pp,4.12,"14,988",1886,"May 27, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2022",,Paperback,view,/book/show/824279.The_Death_of_Ivan_Ilyich_and_Other_Stories
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Society of the Spectacle,"Debord, Guy",0942299795,9780942299793,0942299795,160        pp,4.03,"20,556",1967,1995,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 06, 2022",,Paperback,view,/book/show/381440.The_Society_of_the_Spectacle
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pachinko,"Lee, Min Jin",,,,496        pp,4.33,"471,228","Feb 07, 2017","Feb 07, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2022",,Kindle Edition,view,/book/show/34051011-pachinko
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sister Outsider: Essays and Speeches,"Lorde, Audre",0895941414,9780895941411,0895941414,190        pp,4.53,"35,766","Jun 01, 1984","Jun 01, 1984",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2022",,Paperback,view,/book/show/32951.Sister_Outsider
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Orientalism,"Said, Edward W.",,,,424        pp,4.11,"25,318",1978,May 2003,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 06, 2022",,Paperback,view,/book/show/355190.Orientalism
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On Earth We're Briefly Gorgeous,"Vuong, Ocean",0525562044,9780525562047,0525562044,256        pp,4.04,"299,683","Jun 04, 2019","Jun 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2022",,Paperback,view,/book/show/52007535-on-earth-we-re-briefly-gorgeous
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge and the Teachings of Plants","Kimmerer, Robin Wall",1571313354,9781571313355,1571313354,391        pp,4.54,"117,229","Oct 15, 2013","Oct 15, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 06, 2022",,Hardcover,view,/book/show/17465709-braiding-sweetgrass
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sodomites,"Callai, Adi",,9781735388809,,unknown,4.67,3,unknown,2020,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 06, 2022",,ebook,view,/book/show/55145906-the-sodomites
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Where Water Comes Together with Other Water: Poems,"Carver, Raymond",039474327X,9780394743271,039474327X,144        pp,4.18,851,unknown,"Mar 12, 1986",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 06, 2022",,Paperback,view,/book/show/11443.Where_Water_Comes_Together_with_Other_Water
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Looking for History: Dispatches from Latin America,"Guillermoprieto, Alma",0375725822,9780375725821,0375725822,320        pp,3.91,391,"Mar 12, 2001","Mar 12, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 06, 2022",not set,"Jan 06, 2022",,Paperback,view,/book/show/361877.Looking_for_History
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Decolonizing Wealth: Indigenous Wisdom to Heal Divides and Restore Balance,"Villanueva, Edgar",1523097892,9781523097890,1523097892,240        pp,4.31,"2,287",Oct 2018,"Oct 16, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2022",,Paperback,view,/book/show/38245185-decolonizing-wealth
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Blow Up a Pipeline,"Malm, Andreas",1839760257,9781839760259,1839760257,208        pp,3.96,"5,215",2021,"Jan 05, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2022",,Paperback,view,/book/show/51686708-how-to-blow-up-a-pipeline
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tiny Beautiful Things: Advice on Love and Life from Dear Sugar,"Strayed, Cheryl*",,,,354        pp,4.17,"123,201","Jul 10, 2012","Jul 10, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 06, 2022",,ebook,view,/book/show/13152194-tiny-beautiful-things
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Love Is Power, or Something Like That: Stories","Barrett, A. Igoni",1555976409,9781555976408,1555976409,199        pp,3.72,536,"May 07, 2013","May 07, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 06, 2022",,Paperback,view,/book/show/16059650-love-is-power-or-something-like-that
60,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Delights: Essays,"Gay, Ross",1616207922,9781616207922,1616207922,274        pp,4.16,"15,787","Feb 12, 2019","Feb 12, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 06, 2022",not set,"Jan 06, 2022",,Hardcover,view,/book/show/38746152-the-book-of-delights
61,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Slouching Towards Bethlehem,"Didion, Joan",,,,238        pp,4.19,"67,272",1968,"Oct 28, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 06, 2022",,Paperback,view,/book/show/424.Slouching_Towards_Bethlehem
62,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Queering Anarchism: Addressing and Undressing Power and Desire,"Daring, C.B.*",1849351201,9781849351201,1849351201,255        pp,3.93,461,"Jan 11, 2013","Jan 29, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2022",,Paperback,view,/book/show/13592233-queering-anarchism
