,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Mary-ellen's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Dead Letter Delivery        (Glass Library, #4)","Archer, C.J.*",1922554766,9781922554765,B0CD3CV73K,279        pp,4.18,"1,914","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 03, 2023",,Kindle Edition,view,/book/show/195265525-the-dead-letter-delivery
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Will of the Many        (Hierarchy, #1)","Islington, James*",,,B0BHTMBW5B,639        pp,4.64,"27,751","May 23, 2023","May 23, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I love this!I can't wait to read the next instalment.That ending had my jaw dropping.I love this!I can't wait to read the next instalment.That ending had my jaw dropping....more,Notes are private!,1,1,1,"Sep 28, 2023","Oct 02, 2023","Aug 26, 2023",,Kindle Edition,view (with text),/book/show/58416952-the-will-of-the-many
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Book That Wouldn’t Burn        (The Library Trilogy, #1)","Lawrence, Mark*",0593437918,9780593437919,0593437918,559        pp,4.09,"14,888","May 01, 2023","May 09, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 26, 2023",,Hardcover,view,/book/show/61612864-the-book-that-wouldn-t-burn
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Iron Flame        (The Empyrean, #2)","Yarros, Rebecca*",1649374178,9781649374172,1649374178,640        pp,4.35,"920,323","Nov 07, 2023","Nov 07, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I didn't enjoy this anywhere near as much as the first one.I read that it's going to be a five book series. I'm getting tired of would-be awesome two/I didn't enjoy this anywhere near as much as the first one.I read that it's going to be a five book series. I'm getting tired of would-be awesome two/three book series being turned into five book series that end up being mediocre. This one is already heading into that territory for me.The writing wasn't as good this time around. The sex scenes had me somewhere between hardcore cringing and laughing out loud. Also, the audiobook narrator seriously overacted the more dramatic moments to the point where it was painful to listen.The ending makes it so obvious where this is going and I'm not sure I care enough to read on. There was already too much Violet angst and that's just going to dial it up to the max....more",Notes are private!,0,3,1,"Nov 11, 2023","Nov 16, 2023","Aug 23, 2023",,Hardcover,view (with text),/book/show/90202302-iron-flame
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Love, Theoretically","Hazelwood, Ali*",1408725797,9781408725795,1408725797,389        pp,4.13,"360,107","Jun 13, 2023","Jun 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 19, 2023",,Paperback,view,/book/show/61326735-love-theoretically
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fourth Wing        (The Empyrean, #1)","Yarros, Rebecca*",1649374046,9781649374042,1649374046,498        pp,4.59,"1,500,410","May 02, 2023","May 02, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Wow! This is great. 4.5 stars!I love a book that keeps me up half the night reading.A survive-or-die-trying brutal war college with dragons and magic,Wow! This is great. 4.5 stars!I love a book that keeps me up half the night reading.A survive-or-die-trying brutal war college with dragons and magic, set in a regime that insists on blind loyalty. The new recruit not expected to survive her first day, and the wing commander who wants her dead.I enjoyed every second of this. The ending was great and the perfect set up for book 2.Thank goodness I only have two more months to wait....more",Notes are private!,0,3,1,"Aug 23, 2023","Aug 26, 2023","Aug 19, 2023",,Hardcover,view (with text),/book/show/61431922-fourth-wing
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Divine Rivals        (Letters of Enchantment, #1)","Ross, Rebecca*",1250857430,9781250857439,1250857430,357        pp,4.23,"364,189","Apr 04, 2023","Apr 04, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Rebecca Ross returns to her best in this one.I love the set up for book 2.,Notes are private!,0,1,1,"Oct 17, 2023","Oct 21, 2023","Aug 19, 2023",,Hardcover,view (with text),/book/show/60784546-divine-rivals
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Save the Cat! Writes a Novel,"Brody, Jessica*",,,,unknown,4.51,"10,635","Jan 01, 2018","Oct 09, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Aug 02, 2023","Aug 02, 2023","Aug 02, 2023",,Audible Audio,view,/book/show/45421370-save-the-cat-writes-a-novel
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Falling for Your Best Friend's Twin        (Love Clichés, #1)","Clair, Emma St.*",,,B08L38BCWP,290        pp,3.81,"10,287","Oct 11, 2020",Oct 2022,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"An okay read, but parts of it felt really disconnected.I don't think I'll read on.An okay read, but parts of it felt really disconnected.I don't think I'll read on....more",Notes are private!,0,2,1,"May 16, 2023","May 20, 2023","May 16, 2023",,Kindle Edition,view (with text),/book/show/63345531-falling-for-your-best-friend-s-twin
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Falling for Your Enemy        (Love Clichés, #5)","Clair, Emma St.*",,,B08XJ6TFBR,436        pp,4.15,"4,644","Jul 21, 2021",Oct 2022,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 12, 2023",,Kindle Edition,view,/book/show/63348490-falling-for-your-enemy
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Practice Makes Perfect        (When in Rome, #2)","Adams, Sarah*",0593500806,9780593500804,0593500806,368        pp,4.02,"116,609","May 02, 2023","May 02, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I really enjoyed this.Sarah Adams nails narrative empathy every time.,Notes are private!,0,1,1,"May 12, 2023","May 16, 2023","May 12, 2023",,Paperback,view (with text),/book/show/61897968-practice-makes-perfect
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Love & Saffron: A Novel of Friendship, Food, and Love","Fay, Kim*",,,B09D3PZVB6,206        pp,4.12,"12,557","Feb 08, 2022","Feb 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 25, 2023",,Kindle Edition,view,/book/show/60408884-love-saffron
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Book of Three        (The Chronicles of Prydain, #1)","Alexander, Lloyd",0805080481,9780805080483,0805080481,190        pp,3.98,"78,967","Mar 12, 1964","May 16, 2006",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I wish I’d discovered this children’s fantasy series when I was young. Ten year old me would have devoured it and adored it.,Notes are private!,0,2,1,"Apr 25, 2023","Apr 28, 2023","Apr 25, 2023",,Paperback,view (with text),/book/show/24780.The_Book_of_Three
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Riddle of the Sands,"Childers, Erskine",0283984201,,0283984201,278        pp,3.63,"6,940",1903,1972,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This must be the first book I’ve read by an author who was later executed by firing squad.The Riddle of the Sands is an early spy/adventure thriller. This must be the first book I’ve read by an author who was later executed by firing squad.The Riddle of the Sands is an early spy/adventure thriller. Set before WWI, the plot largely follows two English gentlemen cruising near the Frisian Islands on a small yacht. They suspect a German plot to wage war against England and try to uncover proof, leading them into both adventure and intrigue.Two men on a boat seems a simple premise, but there is nothing simple about this book. The writing is excellent; the detailed descriptions of sailing instantly clue the reader in to the expertise of the author in this area. His knowledge of the Frisian Islands and the general area is extensive, adding to the verisimilitude of the story. In fact, it turns out Childers even did some gun smuggling in his life (not the reason he faced the firing squad). Add to that well-drawn characters, some breathless moments and excellent audiobook narration by Anton Lesser and I was spellbound. I know it won’t be everyone’s cup of tea, but I can absolutely see why it’s considered a classic. ...more",Notes are private!,0,3,1,"Apr 22, 2023","Apr 27, 2023","Apr 22, 2023",,Paperback,view (with text),/book/show/18107180-the-riddle-of-the-sands
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Winter King        (Weathermages of Mystral, #1)","Wilson, C.L.*",0062018973,9780062018977,0062018973,594        pp,4.02,"26,152","Jul 29, 2014","Jul 29, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I didn't mind this, but it would have been better if the trust issue wasn't used repeatedly to create a wedge between the main characters and move theI didn't mind this, but it would have been better if the trust issue wasn't used repeatedly to create a wedge between the main characters and move the plot forward....more",Notes are private!,0,1,1,"May 03, 2023","May 10, 2023","Apr 09, 2023",,Mass Market Paperback,view (with text),/book/show/10485751-the-winter-king
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bound to the Battle God        (Aspect and Anchor #1),"Dixon, Ruby*",,,B07TS2H7ZM,660        pp,4.17,"14,788","Jun 30, 2019","Oct 25, 2021",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Dnf @ 25%.I can see this is popular, but I struggled to like the protagonist. It could have been the audiobook narration. Also, there seemed little myDnf @ 25%.I can see this is popular, but I struggled to like the protagonist. It could have been the audiobook narration. Also, there seemed little mystery in terms of where this was going....more",Notes are private!,0,0,1,"Apr 10, 2023","Apr 11, 2023","Apr 09, 2023",,Kindle Edition,view (with text),/book/show/59452782-bound-to-the-battle-god
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Awakening        (The Dragon Heart Legacy, #1)","Roberts, Nora*",1250272610,9781250272614,1250272610,435        pp,4.21,"57,406","Nov 24, 2020","Nov 24, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2023",,Hardcover,view,/book/show/49127421-the-awakening
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Radiance        (Wraith Kings, #1)","Draven, Grace*",,,B00S5IDLEQ,297        pp,4.01,"59,706","Jan 11, 2015","Jan 13, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 08, 2023","Apr 09, 2023","Apr 08, 2023",,Kindle Edition,view,/book/show/24473763-radiance
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"When in Rome        (When in Rome, #1)","Adams, Sarah*",0593500784,9780593500781,0593500784,320        pp,3.91,"105,609","Sep 20, 2022","Sep 20, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A light, fluffy romance.",Notes are private!,0,2,1,"May 06, 2023","May 08, 2023","Apr 07, 2023",,Paperback,view (with text),/book/show/60092579-when-in-rome
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Snowbound,"Starnes, Joana*",,,B0BTGLW7PP,254        pp,4.32,883,unknown,"Jan 30, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is better than a lot of retellings because it strayed a bit further from the original. Same great characters, but a fresh take on how things mighThis is better than a lot of retellings because it strayed a bit further from the original. Same great characters, but a fresh take on how things might have gone down....more",Notes are private!,0,1,1,"Apr 07, 2023","Apr 08, 2023","Apr 07, 2023",,Kindle Edition,view (with text),/book/show/92008814-snowbound
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Miss Bennet's Dragon        (Jane Austen Fantasy #1),"Verant, M.*",1736662902,,B08WNL6KQ8,456        pp,4.37,627,unknown,"May 02, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"With the exception of the addition of draca, this retelling of P & P was so close to the original that I was bored in parts. Once it diverged it becamWith the exception of the addition of draca, this retelling of P & P was so close to the original that I was bored in parts. Once it diverged it became far more enjoyable.I wish more thought had been put into the title and the ending was less abrupt. I was looking forward to seeing how thongs wrapped up, but it ended too soon....more",Notes are private!,0,0,1,"Apr 02, 2023","Apr 04, 2023","Apr 03, 2023",,Kindle Edition,view (with text),/book/show/57290597-miss-bennet-s-dragon
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Serpent and the Wings of Night        (Crowns of Nyaxia, #1)","Broadbent, Carissa*",,,B09WRJJKXC,504        pp,4.34,"285,847","Aug 30, 2022","Aug 30, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The plot of this felt familiar, so I welcomed the twist when it came, but I’m not sure it’s enough to make me want to read on.The biggest issue I had The plot of this felt familiar, so I welcomed the twist when it came, but I’m not sure it’s enough to make me want to read on.The biggest issue I had was that the romance didn’t feel real. The way the story is narrated keeps the reader at arm’s length so I was reading about it, but not really feeling it....more",Notes are private!,0,0,1,"Mar 31, 2023","Apr 02, 2023","Mar 29, 2023",,Kindle Edition,view (with text),/book/show/60714999-the-serpent-and-the-wings-of-night
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Icebreaker        (Maple Hills, #1)","Grace, Hannah*",,,B0B69VVD6C,435        pp,3.90,"718,908","Aug 23, 2022","Nov 22, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Wow! This one is really polarising. A lot of 5 star and 1 star s.I landed somewhere in the middle.I wasn’t a fan of Stassie. Although she improvWow! This one is really polarising. A lot of 5 star and 1 star s.I landed somewhere in the middle.I wasn’t a fan of Stassie. Although she improved when viewing her through Nate’s eyes. Nate seemed pretty awesome, until he called her a ‘good girl’ in a particular scene, which made my skin crawl. It’s just so belittling. Ew.Some of the decisions Stassie makes about her skating partner are so bad they read as contrivances to serve the plot. And yet, I still made it to the end because parts of it were good and fun.In particular, I liked the guys on the ice hockey team and the way they all messed with each other. That was a lot of fun....more",Notes are private!,0,0,1,"Apr 06, 2023","Apr 08, 2023","Mar 29, 2023",,Kindle Edition,view (with text),/book/show/61767292-icebreaker
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tomorrow, and Tomorrow, and Tomorrow","Zevin, Gabrielle*",,,,401        pp,4.18,"845,146","Jul 05, 2022","Jul 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2023",,Hardcover,view,/book/show/58784475-tomorrow-and-tomorrow-and-tomorrow
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Imposter's Inheritance        (Glass and Steele, #9)","Archer, C.J.*",,,B07XD6FWBD,300        pp,4.05,"5,037","Feb 04, 2020","Feb 04, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 29, 2023","Mar 30, 2023","Mar 29, 2023",,Kindle Edition,view,/book/show/53095840-the-imposter-s-inheritance
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Prisoner's Key        (Glass and Steele, #8)","Archer, C.J.*",,,B07SQYGFZC,288        pp,4.11,"5,807","Sep 03, 2019","Sep 03, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 24, 2023","Mar 26, 2023","Mar 29, 2023",,Kindle Edition,view,/book/show/46160962-the-prisoner-s-key
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Cheater's Game        (Glass and Steele, #7)","Archer, C.J.*",,,B07L9DWY71,316        pp,4.09,"6,773","Mar 12, 2019","Mar 12, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 22, 2023","Mar 23, 2023","Mar 29, 2023",,Kindle Edition,view,/book/show/43207890-the-cheater-s-game
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Ink Master's Silence        (Glass and Steele, #6)","Archer, C.J.*",,,B07DJYMCK7,245        pp,4.08,"7,842","Sep 04, 2018","Sep 04, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 21, 2023","Mar 22, 2023","Mar 29, 2023",,Kindle Edition,view,/book/show/40406844-the-ink-master-s-silence
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Convent's Secret        (Glass and Steele, #5)","Archer, C.J.*",,1230001957839,,270        pp,4.19,"8,991","Mar 06, 2018","Mar 06, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 19, 2023","Mar 20, 2023","Mar 29, 2023",,ebook,view,/book/show/36440499-the-convent-s-secret
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Magician's Diary        (Glass and Steele #4),"Archer, C.J.*",,,B0721P1Z6M,338        pp,4.18,"10,207","Sep 05, 2017","Sep 05, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 17, 2023","Mar 18, 2023","Mar 29, 2023",,Kindle Edition,view,/book/show/35438458-the-magician-s-diary
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Apothecary's Poison        (Glass and Steele, #3)","Archer, C.J.*",,,,352        pp,4.14,"11,666","Apr 04, 2017",Apr 2017,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 14, 2023","Mar 16, 2023","Mar 29, 2023",,Kindle Edition,view,/book/show/32785570-the-apothecary-s-poison
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Mapmaker's Apprentice        (Glass and Steele, #2)","Archer, C.J.*",,,B01J4PFJD4,313        pp,4.03,"14,444","Oct 25, 2016","Oct 25, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 13, 2023","Mar 14, 2023","Mar 13, 2023",,Kindle Edition,view,/book/show/31292428-the-mapmaker-s-apprentice
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Watchmaker's Daughter        (Glass and Steele, #1)","Archer, C.J.*",,,,302        pp,3.95,"30,059","Jun 28, 2016","Jun 28, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 12, 2023","Mar 13, 2023","Mar 11, 2023",,Kindle Edition,view,/book/show/29765820-the-watchmaker-s-daughter
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tress of the Emerald Sea,"Sanderson, Brandon*",1399613383,9781399613385,1399613383,369        pp,4.43,"114,147","Jan 10, 2023","Apr 04, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.5 stars. Brandon Sanderson does it again.This was a delightful fairy tale adventure with immensely likeable characters.I enjoyed the way the plot ev4.5 stars. Brandon Sanderson does it again.This was a delightful fairy tale adventure with immensely likeable characters.I enjoyed the way the plot evolved. Although I figured out what was really going on quite early, it didn’t matter. There were a few times where I laughed out loud at a metaphor or turn of phrase. I get the feeling that Sanderson had a lot of fun writing this....more",Notes are private!,0,1,1,"Apr 21, 2023","Apr 24, 2023","Mar 11, 2023",,Paperback,view (with text),/book/show/123199049-tress-of-the-emerald-sea
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Und Books        (Glass Library, #3)","Archer, C.J.*",192255443X,9781922554437,B0BT45MN4N,282        pp,4.15,"4,588","Sep 05, 2023","Sep 05, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Another great instalment for The Glass Library series.These books are such light enjoyable reads. There’s a new mystery for Gabe and Sylvia to solve aAnother great instalment for The Glass Library series.These books are such light enjoyable reads. There’s a new mystery for Gabe and Sylvia to solve and Sylvia makes some interesting discoveries about her past.The slow burn continues, but not if Willie can help it....more",Notes are private!,2,6,1,Sep 2023,"Sep 03, 2023","Mar 09, 2023",,Kindle Edition,view (with text),/book/show/86519502-the-untitled-books
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Poison Throne        (Royals of Arbon Academy, #3)","Eve, Jaymin*",,,B086WL6L1B,290        pp,4.13,"7,349","Jul 13, 2020","Jul 17, 2020",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I didn’t enjoy this. It was so unrealistic in every way. The friendships don’t ring true. The characters are all one dimensional and vacuous. They reaI didn’t enjoy this. It was so unrealistic in every way. The friendships don’t ring true. The characters are all one dimensional and vacuous. They read like shiny, happy, fake people. The plot is sparse.It seriously should have had about twenty less sex scenes and a lot more plot points. The sex scenes were all the same and quickly became tedious.I wish the authors would have been brave enough to kill more people off and deliver a more satisfying ending....more",Notes are private!,0,0,1,"Mar 07, 2023","Mar 08, 2023","Mar 08, 2023",,Kindle Edition,view (with text),/book/show/53064071-poison-throne
