,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Ayelet's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The End of Days,"Erpenbeck, Jenny",081122192X,9780811221924,081122192X,239        pp,3.73,"4,043",2012,"Nov 11, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Why can’t I write novels like this? What is even the point of writing novels if one can’t write novels like this?,Notes are private!,0,5,1,not set,not set,"Apr 17, 2018",,Hardcover,view (with text),/book/show/20724710-the-end-of-days
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,New People,"Senna, Danzy",159448709X,9781594487095,159448709X,240        pp,3.24,"6,128","Aug 01, 2017","Jan 01, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Hilarious and moving and everything you would expect form a Senna novel.,Notes are private!,0,1,1,not set,not set,"Apr 17, 2018",,Hardcover,view (with text),/book/show/33275357-new-people
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ghostwritten,"Mitchell, David",0375724508,9780375724503,0375724508,426        pp,4.05,"31,049","Aug 19, 1999","Oct 09, 2001",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,9,1,not set,not set,"Feb 15, 2018",,Paperback,view,/book/show/6819.Ghostwritten
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Maze at Windermere,"Smith, Gregory Blake",0735221928,9780735221925,0735221928,352        pp,3.49,"3,101","Jan 09, 2018","Jan 09, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,not set,not set,"Feb 15, 2018",,Hardcover,view,/book/show/34962936-the-maze-at-windermere
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Why We Sleep: Unlocking the Power of Sleep and Dreams,"Walker, Matthew",,,,368        pp,4.38,"185,827","Sep 28, 2017","Oct 03, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,not set,not set,"Feb 15, 2018",,Hardcover,view,/book/show/34466963-why-we-sleep
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Makioka Sisters,"Tanizaki, Jun'ichirō",0679761640,9780679761648,0679761640,530        pp,4.04,"9,822",1948,"Sep 26, 1995",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,not set,not set,"Feb 15, 2018",,Paperback,view,/book/show/34449.The_Makioka_Sisters
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Future Home of the Living God,"Erdrich, Louise",0062694057,9780062694058,0062694057,269        pp,3.59,"26,676","Nov 14, 2017","Nov 14, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,not set,not set,"Feb 15, 2018",,Hardcover,view,/book/show/34217599-future-home-of-the-living-god
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Female Persuasion,"Wolitzer, Meg",1594488401,9781594488405,1594488401,454        pp,3.56,"55,546","Apr 03, 2018","Apr 03, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,10,1,not set,not set,"Feb 15, 2018",,Hardcover,view,/book/show/35480518-the-female-persuasion
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sing, Unburied, Sing","Ward, Jesmyn*",,,,285        pp,4.01,"135,222","Sep 05, 2017","Sep 05, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,not set,not set,"Feb 15, 2018",,Hardcover,view,/book/show/32920226-sing-unburied-sing
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Mars Room,"Kushner, Rachel*",1448190592,9781448190591,1448190592,352        pp,3.45,"42,909","May 01, 2018","Jun 07, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,not set,not set,"Feb 15, 2018",,Kindle Edition,view,/book/show/35961727-the-mars-room
