,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Violet's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Jewel Box,"Davis, Anna",1416537368,9781416537366,1416537368,384        pp,3.13,569,Jun 2009,"Jun 02, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Paperback,view,/book/show/6406012-the-jewel-box
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tress of the Emerald Sea        (The Cosmere, #28)","Sanderson, Brandon*",,,,483        pp,4.43,"114,186","Jan 10, 2023","Apr 04, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"THIS BOOK WAS SO CUTE!! I love the stories where the main character grows so much as a person, and Tress is so sweet and clever. Some parts of the booTHIS BOOK WAS SO CUTE!! I love the stories where the main character grows so much as a person, and Tress is so sweet and clever. Some parts of the book were predictable but I don’t mind. also I loved the world building-I will definitely be reading more from the Cosmere universe. ALL of those references went over my head ...more",Notes are private!,2,5,1,Jan 2024,"Jan 16, 2024","Jan 22, 2024",,Kindle Edition,view (with text),/book/show/60531406-tress-of-the-emerald-sea
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dew Breaker,"Danticat, Edwidge",1400034299,9781400034291,1400034299,256        pp,3.81,"7,923","Mar 01, 2004","Mar 08, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"the everlasting problem with short stories is that I get attached to characters and then they leave forever. but alas, I enjoyed all of the chapters mthe everlasting problem with short stories is that I get attached to characters and then they leave forever. but alas, I enjoyed all of the chapters more or less, and I have to say Danticat had some beautiful lines. I would actually stop reading just to admire them. here are some: (view spoiler)[- ""I'd vowed to myself to always tolerate, even indulge him, letting him take me places I didn't enjoy and read me things I cared nothing about, simply to witness the joy they gave him, the kind of bliss that might keep a dying person alive"" (18)- ""This was love, if love there was, having the courage to abandon the present for a future one could only imagine"" (48)- ""He simply wanted to extinguish the carnivals burning in her head"" (49) night circus vibes- ""why should the living be spared the dead's own signs of existence: of shadows swaying in the breeze, of the laughter and cries of lost children, of the whispers of lovers, muffled as though in dreams"" (72)- ""It was always like this, her life a pendulum between forgiveness and regret, but when the anger dissipated she considered it a small miracle"" (86)also the way she solved the tree problem in the acknowledgements after saying, ""Who are we to know how tall a tree should be?"" (172) I'M DEAD (hide spoiler)]...more",Notes are private!,3,4,1,"Jan 24, 2024","Feb 05, 2024","Jan 22, 2024",,Paperback,view (with text),/book/show/31116.The_Dew_Breaker
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bartleby the Scrivener,"Melville, Herman",0974607800,9780974607801,0974607800,80        pp,3.93,"64,871",Dec 1853,"May 01, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 08, 2024","Jan 17, 2024","Jan 08, 2024",,Paperback,view,/book/show/114230.Bartleby_the_Scrivener
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Lightning Thief: The Graphic Novel        (Percy Jackson and the Olympians: The Graphic Novels, #1)","Venditti, Robert*",1423116968,9781423116967,1423116968,135        pp,4.39,"106,984",2010,"Oct 12, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,the storyline was slightly different/left stuff out. also I didn’t like the art style that much sorry,Notes are private!,0,1,1,"Dec 31, 2023","Dec 31, 2023","Dec 31, 2023",,Hardcover,view (with text),/book/show/7736086-the-lightning-thief
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,かぐや様は告らせたい ～天才たちの恋愛頭脳戦～ 9,"Akasaka, Aka",,,B07BK4XW66,232        pp,4.50,"1,230",unknown,"Apr 19, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I missed this series,Notes are private!,0,0,1,"Dec 31, 2023","Dec 31, 2023","Dec 31, 2023",,Kindle Edition,view (with text),/book/show/39905400-9
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,After Lambana: A Graphic Novel: Myth and Magic in Manila,"Victoria, Eliza*",0804855250,9780804855259,0804855250,192        pp,3.80,556,"May 10, 2022","Jun 07, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I am so confused,Notes are private!,4,0,1,"Dec 30, 2023","Dec 30, 2023","Dec 30, 2023",,Paperback,view (with text),/book/show/58690796-after-lambana
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Sea of Monsters        (Percy Jackson and the Olympians, #2)","Riordan, Rick*",0120000318,9780120000319,0120000318,279        pp,4.24,"1,172,560","Apr 01, 2006",unknown,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I’m so glad I’m reading this series, I really missed out in middle school",Notes are private!,2,5,1,"Dec 26, 2023","Dec 30, 2023","Dec 30, 2023",,Hardcover,view (with text),/book/show/40727118-the-sea-of-monsters
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Railway Children,"Nesbit, E.",0486410226,9780486410227,0486410226,188        pp,4.02,"60,025",1906,"May 24, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Paperback,view,/book/show/164531.The_Railway_Children
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When Jasy Whistles,Cibeles,,,,unknown,4.55,578,unknown,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,,view,/book/show/58666592-when-jasy-whistles
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nat Enough        (Nat Enough #1),"Scrivan, Maria",1338538195,9781338538199,1338538195,240        pp,4.09,"4,867","Apr 07, 2020","Apr 07, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I liked the frog story,Notes are private!,1,1,1,"Dec 27, 2023","Dec 27, 2023","Dec 27, 2023",,Paperback,view (with text),/book/show/44575136-nat-enough
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Disney/Pixar Turning Red: The Graphic Novel,"Chu, Amy*",0736442758,9780736442756,B097ZBNP9V,72        pp,3.96,114,"May 24, 2022","May 24, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"you gotta do, what you gotta do",Notes are private!,4,2,1,"Dec 27, 2023","Dec 27, 2023","Dec 27, 2023",,Kindle Edition,view (with text),/book/show/60628574-disney-pixar-turning-red
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Lightning Thief        (Percy Jackson and the Olympians, #1)","Riordan, Rick*",,,,377        pp,4.31,"3,011,774","Jul 28, 2005","Mar 01, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,SO GOOD,Notes are private!,5,3,1,"Dec 24, 2023","Dec 26, 2023","Dec 26, 2023",,Paperback,view (with text),/book/show/28187.The_Lightning_Thief
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Frog and Toad Are Friends        (Frog and Toad, #1)","Lobel, Arnold",,,,64        pp,4.24,"93,174","Aug 26, 1970","Feb 18, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 05, 2023",,Paperback,view,/book/show/537296.Frog_and_Toad_Are_Friends
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dubliners,"Joyce, James",0192839993,9780192839992,0192839993,207        pp,3.84,"156,200","Jun 15, 1914","Mar 15, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 29, 2023",,Paperback,view,/book/show/11012.Dubliners
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gallant,"Schwab, V.E.*",0062835777,9780062835772,0062835777,338        pp,3.72,"111,831","Mar 01, 2022","Mar 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 22, 2023",,Hardcover,view,/book/show/58064046-gallant
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jonathan Strange & Mr. Norrell,"Clarke, Susanna",,,,"1,006        pp",3.86,"236,381","Sep 08, 2004","Aug 01, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 22, 2023",,Paperback,view,/book/show/14201.Jonathan_Strange_Mr_Norrell
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Out of the Dust,"Hesse, Karen",0439771277,9780439771276,0439771277,227        pp,3.77,"76,524",1997,"Jun 01, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 21, 2018","Apr 21, 2018","Nov 21, 2023",,Paperback,view,/book/show/25346.Out_of_the_Dust
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"中文听说读写 Integrated Chinese, Textbook 1: Simplified Characters","Liu, Yuehua",1622911350,9781622911356,1622911350,348        pp,4.24,25,unknown,"Nov 17, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,很有意思！我学了很多。,Notes are private!,4,4,1,"Sep 19, 2020","May 19, 2023","Nov 19, 2023",,Paperback,view (with text),/book/show/35475905-integrated-chinese-textbook-1
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Station Eleven,"Mandel, Emily St. John*",0385353308,9780385353304,0385353308,333        pp,4.07,"517,960","Aug 26, 2014","Sep 09, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"this book was amazing, I must say. a post-apocalyptic novel that I enjoyed!! what are the chances. anyways. (view spoiler)[ I love how Mandel always ithis book was amazing, I must say. a post-apocalyptic novel that I enjoyed!! what are the chances. anyways. (view spoiler)[ I love how Mandel always interweaves characters, it’s so exciting. and I just loved every character, Clark and Miranda and Kirsten and Jeevan. also the post-apocalyptic setting is starting to make me look at society differently, namely how easy it is to live in this world (relatively speaking). I can write this  for other people to see, for example, by the click of a few fake buttons on my tablet. weird. I could go on but i must not. now here is my favorite quote that I highlighted:“what made it bearable were the friendships, of course, the camaraderie and the music and the Shakespeare, the moments of transcendent beauty and joy” yay  (hide spoiler)]...more",Notes are private!,21,4,1,"Nov 20, 2023","Nov 25, 2023","Nov 19, 2023",,Hardcover,view (with text),/book/show/20170404-station-eleven
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sword Catcher        (Sword Catcher, #1)","Clare, Cassandra*",0525619992,9780525619994,0525619992,624        pp,3.82,"20,116","Oct 10, 2023","Oct 10, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 16, 2023",,Hardcover,view,/book/show/36679274-sword-catcher
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Check, Please! Book 2: Sticks & Scones        (Check, Please!, #3-4)","Ukazu, Ngozi",1250179505,9781250179500,1250179505,336        pp,4.39,"14,409","Apr 07, 2020","Apr 07, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I want to bake forever,Notes are private!,0,0,1,"Nov 15, 2023","Nov 16, 2023","Nov 16, 2023",,Paperback,view (with text),/book/show/41541435-check-please-book-2
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Huda F Cares?,"Fahmy, Huda*",0593532805,9780593532805,0593532805,208        pp,4.21,"2,304","Oct 10, 2023","Oct 10, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Nov 08, 2023","Nov 08, 2023","Nov 08, 2023",,Paperback,view,/book/show/78292425-huda-f-cares
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Huda F Are You?,"Fahmy, Huda*",0593324315,9780593324318,0593324315,192        pp,4.18,"8,114","Nov 23, 2021","Nov 23, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Nov 06, 2023","Nov 08, 2023","Nov 08, 2023",,Paperback,view,/book/show/57005205-huda-f-are-you
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Himawari House,"Becker, Harmony",125023557X,9781250235572,125023557X,380        pp,4.38,"6,065","Nov 09, 2021","Nov 09, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,the ending was not what I was expecting :( I wish it was longer because I loved these characters and their complexity,Notes are private!,0,5,1,"Nov 05, 2023","Nov 05, 2023","Nov 05, 2023",,Paperback,view (with text),/book/show/55780534-himawari-house
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Danny and the Dinosaur,"Hoff, Syd",0064440028,9780064440028,0064440028,64        pp,4.03,"30,960",1958,1978,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,questionable language at the beginning (tells you it’s dated) but cute,Notes are private!,3,2,2,"Oct 24, 2023not set","Oct 24, 2023not set","Oct 24, 2023",,Paperback,view (with text),/book/show/858037.Danny_and_the_Dinosaur
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Othello,"Shakespeare, William",,,B006U1QW78,314        pp,3.89,"389,765",1603,"Jan 01, 2003",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,sadge,Notes are private!,1,1,1,"Oct 19, 2023","Nov 11, 2023","Oct 19, 2023",,Mass Market Paperback,view (with text),/book/show/12996.Othello
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Violet,"Stehlik, Tania Duprey",1897187602,9781897187609,1897187602,24        pp,4.02,124,"Aug 10, 2009","Sep 10, 2009",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I love this book so much too (I actually have two copies)!! I never really realized that I’m more similar to Violet than just our name because her momI love this book so much too (I actually have two copies)!! I never really realized that I’m more similar to Violet than just our name because her mom is red and her dad is blue and my parents are different too (THAT RHYMED). I seriously can’t believe I never realized this book is an example of biracial representation ...more,Notes are private!,1,5,1,"Sep 30, 2023","Sep 30, 2023","Oct 01, 2023",,Hardcover,view (with text),/book/show/6871250-violet
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Violet the Pilot,"Breen, Steve",0803731256,9780803731257,0803731256,40        pp,4.27,"1,020","Mar 13, 2008","Mar 13, 2008",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I LOVE THIS BOOK SO MUCH!! I re-read it for probably the 100th time and it’s still amazing,Notes are private!,1,2,1,"Sep 30, 2023","Sep 30, 2023","Oct 01, 2023",,Hardcover,view (with text),/book/show/2369506.Violet_the_Pilot
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Violet's Victory,"Goldstein, Valerie",1637550979,9781637550977,1637550979,38        pp,4.33,3,unknown,"Nov 01, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I’m biased because I like books where the main character is named Violet but this was good. I got a signed copy at the Chappaqua Children’s Book FestiI’m biased because I like books where the main character is named Violet but this was good. I got a signed copy at the Chappaqua Children’s Book Festival too so that was exciting! ...more,Notes are private!,2,3,1,"Sep 30, 2023","Sep 30, 2023","Oct 01, 2023",,Hardcover,view (with text),/book/show/62191217-violet-s-victory
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Artemis the Loyal        (Goddess Girls, #7)","Holub, Joan*",1442433779,9781442433779,1442433779,272        pp,4.27,"2,740","Dec 06, 2011","Dec 06, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I think I read this too,Notes are private!,0,0,1,"Nov 08, 2016","Dec 08, 2016","Sep 08, 2023",,Paperback,view (with text),/book/show/11175319-artemis-the-loyal
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Athena the Wise        (Goddess Girls, #5)","Holub, Joan*",1442420979,9781442420977,1442420979,246        pp,4.29,"3,617","Apr 05, 2011","Apr 05, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I don’t remember reading this but the cover is familiar (I remember drawing a picture of the guy on the cover and being proud of it),Notes are private!,3,1,1,"Sep 08, 2016","Oct 08, 2016","Sep 08, 2023",,Paperback,view (with text),/book/show/9296389-athena-the-wise
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Aphrodite the Beauty        (Goddess Girls, #3)","Holub, Joan*",1416982736,9781416982739,1416982736,176        pp,4.15,"4,880","Jul 16, 2010","Aug 03, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I only read this book because of the cover and I completely forgot about this series but found a graphic novel version on Libby so yeah(I read out of I only read this book because of the cover and I completely forgot about this series but found a graphic novel version on Libby so yeah(I read out of order too which made roan really mad-skipped book 2)...more,Notes are private!,0,0,1,"Nov 08, 2016","Dec 08, 2016","Sep 08, 2023",,Paperback,view (with text),/book/show/7199828-aphrodite-the-beauty
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Athena the Brain        (Goddess Girls, #1)","Holub, Joan*",141698271X,9781416982715,,160        pp,4.07,"8,250","Jan 01, 2010","Apr 06, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,2,0,1,"Sep 08, 2016","Oct 08, 2016","Sep 08, 2023",,Paperback,view,/book/show/6788767-athena-the-brain
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,River Sing Me Home,"Shearer, Eleanor*",0593548043,9780593548042,0593548043,322        pp,4.02,"22,514","Jan 19, 2023","Jan 31, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"“Break a vase, and the love that reassembles the fragments is stronger than that love which took its symmetry for granted when it was whole” (Derek Wa“Break a vase, and the love that reassembles the fragments is stronger than that love which took its symmetry for granted when it was whole” (Derek Walcott, epigraph)I learned a lot from this book about apprenticeships and the end tail of enslavement-how many people tried to extend the exploitation of labor despite emancipation. Rachel’s story is so beautiful and it’s crazy to think about how many mothers went on similar journeys to find their lost children. The metaphors around water and singing!! Very direct but nice. It ties well with the title of the book too. The authors note was also really cool. ...more",Notes are private!,0,4,1,"Sep 17, 2023","Oct 08, 2023","Sep 08, 2023",,Hardcover,view (with text),/book/show/61111298-river-sing-me-home
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Let the Great World Spin,"McCann, Colum*",1400063736,9781400063734,1400063736,351        pp,3.95,"104,953","Jun 16, 2009","Jun 23, 2009",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"why was this so good ☹️this book was incredibly enjoyable but I’m really dreading writing an essay about it because I Cannot collect my thoughts. therwhy was this so good ☹️this book was incredibly enjoyable but I’m really dreading writing an essay about it because I Cannot collect my thoughts. there is so much to unpack, so much I could talk about. it’s overwhelming!! in my opinion a lot of books we read in English class are mostly just good for analyzing but this was immensely enjoyable to read too. (view spoiler)[ I loved sam can I just say that :( and adelita and corrigan and tillie and jaslyn and all of them  (hide spoiler)]...more",Notes are private!,11,6,1,"Sep 07, 2023","Oct 03, 2023","Sep 07, 2023",,Hardcover,view (with text),/book/show/5941033-let-the-great-world-spin
