,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,BAM who is Beth Anne's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Olga Dies Dreaming,"Gonzalez, Xochitl*",1250786177,9781250786173,1250786177,369        pp,3.99,"61,760","Jan 04, 2022","Jan 04, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Beth Anne dies finishing this book.I don’t have to like characters to like a book. Honestly, sometimes unlikable characters are better. But this novelBeth Anne dies finishing this book.I don’t have to like characters to like a book. Honestly, sometimes unlikable characters are better. But this novel had unlikeable characters meandering around in choppy prose that I just couldn’t get engaged in. There was nothing that compelled me to pick up this book andEventually I did. And now I’m done. And there’s my . ...more",Notes are private!,0,2,1,"Mar 24, 2024","Apr 10, 2024","Mar 24, 2024",,Hardcover,view (with text),/book/show/57693171-olga-dies-dreaming
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Atlas Complex        (The Atlas, #3)","Blake, Olivie*",1529095352,9781529095357,1529095352,496        pp,2.98,"10,423","Jan 09, 2024","Jan 09, 2024",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What a disappointing finale to this series. The interstitial chapters about Atlas’s original six were wasteful and boring and the rest of the story waWhat a disappointing finale to this series. The interstitial chapters about Atlas’s original six were wasteful and boring and the rest of the story was all over the place. It lacked the charm and wry humor of the first two books. The multiverse chapter was a mess. The characters, all of whom felt like they progressed in the first two books, fell flat and halted any growth or dynamics in this book. I’m really sad the series ended this way because I was super invested in this story. ...more",Notes are private!,0,0,1,"Mar 24, 2024","Mar 24, 2024","Mar 24, 2024",,Hardcover,view (with text),/book/show/63104676-the-atlas-complex
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Listen for the Lie,"Tintera, Amy*",1250880319,9781250880314,1250880319,352        pp,4.22,"34,655","Mar 05, 2024","Mar 05, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"super fun page turner. I could not put this down til I got to the end. engaging characters, interesting format and lots of unreliable twist and turns super fun page turner. I could not put this down til I got to the end. engaging characters, interesting format and lots of unreliable twist and turns that made for a really thrilling ride. love both Lucy and the 'voice' of Savvy. relatable characters with funny snappy dialogue.really liked this one. thanks mom....more",Notes are private!,0,2,1,"Mar 22, 2024","Mar 23, 2024","Mar 22, 2024",,Hardcover,view (with text),/book/show/127279000-listen-for-the-lie
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Strong Female Character,"Brady, Fern*",1914240448,9781914240447,1914240448,288        pp,4.51,"19,180","Feb 14, 2023","Feb 14, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Funny and really engaging. Made me laugh out loud and cringe and do all the things I think Fern wanted me to do while I was listening to this. It was Funny and really engaging. Made me laugh out loud and cringe and do all the things I think Fern wanted me to do while I was listening to this. It was a really thought provoking look at neurodivergent female life. ...more,Notes are private!,0,1,1,"Mar 22, 2024","Mar 25, 2024","Mar 22, 2024",,Hardcover,view (with text),/book/show/59903149-strong-female-character
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Plastic Magician        (The Paper Magician, #4)","Holmberg, Charlie N.*",1542047927,9781542047920,B073ZDXNP4,233        pp,4.07,"17,328","May 15, 2018","May 15, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 22, 2024","Mar 24, 2024","Mar 22, 2024",,Kindle Edition,view,/book/show/35697528-the-plastic-magician
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Master Magician        (The Paper Magician, #3)","Holmberg, Charlie N.*",1477878696,,B00P1NO3G8,226        pp,3.90,"38,704","Jun 02, 2015","Jun 02, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This book was the least interesting of the trilogy. It could have probably been a duology and been fine. Ceony was kind of annoying in this book. FallThis book was the least interesting of the trilogy. It could have probably been a duology and been fine. Ceony was kind of annoying in this book. Falling into the same tropes. She didn’t learn from either of the first two books. I don’t like it when a character is one note and doesn’t grow. So that made this book a little disappointing for me. But the series on whole is really sweet with interesting magic and a cute romance so taken as a trio I will still say I loved this overall storyline. ...more,Notes are private!,0,0,1,"Mar 18, 2024","Mar 22, 2024","Mar 18, 2024",,Kindle Edition,view (with text),/book/show/23485372-the-master-magician
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Glass Magician        (The Paper Magician, #2)","Holmberg, Charlie N.*",,,B00K89FZLW,224        pp,3.93,"47,144","Nov 04, 2014","Nov 04, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 17, 2024","Mar 18, 2024","Mar 17, 2024",,Kindle Edition,view,/book/show/22910024-the-glass-magician
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Pariah        (Covenant of Steel, #1)","Ryan, Anthony*",0316430773,,B08PV49R1G,600        pp,4.21,"11,810","Aug 24, 2021","Aug 24, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Kindle Edition,view,/book/show/56229688-the-pariah
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mister Magic,"White, Kiersten*",0593359267,9780593359266,0593359267,295        pp,3.60,"15,327","Aug 08, 2023","Aug 08, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This one was really good. I went in with really no knowledge of what it was about and I was pleasantly surprised by the creepiness of the story. The eThis one was really good. I went in with really no knowledge of what it was about and I was pleasantly surprised by the creepiness of the story. The ending felt slightly rushed and just a little unsatisfying, which is why I took away one star. But when the author gave me her “here’s why I wrote this book” speech at the end I kind of understand her reasoning for this particular ending. I love love love the idea of this entire story and was thoroughly engaged in finding out what the heck was going on with these kids/adults and why the tv show was such a mystery. Would recommend. ...more",Notes are private!,0,1,1,"Mar 14, 2024","Mar 22, 2024","Mar 14, 2024",,Hardcover,view (with text),/book/show/63331415-mister-magic
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Stolen Child,"Hood, Ann*",0393609804,9780393609806,0393609804,304        pp,4.23,53,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Hardcover,view,/book/show/199448166-the-stolen-child
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,You Know What You Did,"Nguyen, K.T.*",059347385X,9780593473856,059347385X,384        pp,3.84,322,"Apr 16, 2024","Apr 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 13, 2024",,Hardcover,view,/book/show/192761618-you-know-what-you-did
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sociopath,"Gagne, Patric",166800318X,9781668003183,166800318X,368        pp,4.14,894,"Apr 02, 2024","Apr 02, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Really interesting memoir. there were several times I gasped out loud while reading this book. I found it to be so unique and really provocative. I diReally interesting memoir. there were several times I gasped out loud while reading this book. I found it to be so unique and really provocative. I didnt want to stop reading til I was finished, because I just wanted Patric to succeed in life. in the end, I think she does, as best she can-and I'm glad she's telling her story....more",Notes are private!,0,0,1,"Apr 04, 2024","Apr 07, 2024","Mar 13, 2024",,Hardcover,view (with text),/book/show/176443093-sociopath
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Table for Two,"Towles, Amor*",0593296370,9780593296370,0593296370,464        pp,4.37,761,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 13, 2024",,Hardcover,view,/book/show/195474144-table-for-two
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Third Wife of Faraday House,"Myers, B.R.*",006320987X,9780063209879,006320987X,352        pp,4.02,85,"Aug 20, 2024","Aug 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 13, 2024",,Paperback,view,/book/show/199635061-the-third-wife-of-faraday-house
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"One Dark Window        (The Shepherd King, #1)","Gillig, Rachel*",0316312487,9780316312486,0316312487,399        pp,4.32,"138,721","Sep 27, 2022","Sep 27, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 13, 2024",,Paperback,view,/book/show/58340706-one-dark-window
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Anita de Monte Laughs Last,"Gonzalez, Xochitl*",1250786215,9781250786210,1250786215,342        pp,3.92,"7,384","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 13, 2024",,Hardcover,view,/book/show/127306192-anita-de-monte-laughs-last
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eastbound,"Kerangal, Maylis de",,9781838490447,,140        pp,3.99,"4,462",2012,Sep 2022,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Really beautiful book. I think there’s a lot to unpack in this small book. Toxic masculinity, secrecy, trust, freedom. It’s tense and fluid all at theReally beautiful book. I think there’s a lot to unpack in this small book. Toxic masculinity, secrecy, trust, freedom. It’s tense and fluid all at the same time. And who doesn’t love a story on a train?Highly recommended. ...more",Notes are private!,0,1,1,"Mar 13, 2024","Mar 14, 2024","Mar 13, 2024",,Paperback,view (with text),/book/show/60853075-eastbound
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Paper Magician        (The Paper Magician #1),"Holmberg, Charlie N.*",147787383X,,B00HVF7OL0,234        pp,3.68,"85,092","Sep 01, 2014","Sep 01, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 09, 2024","Mar 17, 2024","Mar 09, 2024",,Kindle Edition,view,/book/show/22521286-the-paper-magician
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Who Owns This Sentence? A History of Copyrights and Wrongs,"Bellos, David",,,B0C97F8KPY,380        pp,3.95,87,"Jan 23, 2024","Jan 23, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Highly readable, and that says a lot when you look at the topic at hand.As a Director in a highly regulated creative industry, I deal a lot with legalHighly readable, and that says a lot when you look at the topic at hand.As a Director in a highly regulated creative industry, I deal a lot with legal entities and copyright laws so I thought this would be an interesting read. I was more than intrigued by this history of and conversation of copyright and IP. The authors made this relatable, digestible and understandable for a variety of readers. Full of just the right amount of information, I feel this book gave me exactly what I was looking for....more",Notes are private!,0,1,1,"Mar 06, 2024","Mar 16, 2024","Mar 06, 2024",,Kindle Edition,view (with text),/book/show/180494686-who-owns-this-sentence-a-history-of-copyrights-and-wrongs
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When Women Were Dragons,"Barnhill, Kelly*",,,B09BTZ5Z29,352        pp,3.87,"40,325","May 03, 2022","May 03, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 04, 2024","Mar 09, 2024","Mar 04, 2024",,Kindle Edition,view,/book/show/57033379-when-women-were-dragons
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Beneath the Sugar Sky        (Wayward Children, #3)","McGuire, Seanan*",,,B071KSR4T8,174        pp,3.85,"41,302","Jan 09, 2018","Jan 09, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,How can I not love this book.Sumi. Nonsense. Cake. These books are overall just a treat to read and explore this wonderful little world.,Notes are private!,0,1,1,"Mar 03, 2024","Mar 04, 2024","Mar 03, 2024",,Kindle Edition,view (with text),/book/show/35042084-beneath-the-sugar-sky
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Wizard of Most Wicked Ways        (Whimbrel House, #4)","Holmberg, Charlie N.*",,,,unknown,5.00,1,unknown,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Paperback,view,/book/show/208283672-wizard-of-most-wicked-ways
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Liar, Dreamer, Thief","Dong, Maria*",1538723492,9781538723494,B09ZB6L35Z,337        pp,3.59,"2,365","Jan 10, 2023","Jan 10, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This was a mess of a book that made absolutely no sense. Half the time I was asking myself if the story was actually happening or if it was a hallucinThis was a mess of a book that made absolutely no sense. Half the time I was asking myself if the story was actually happening or if it was a hallucination of Katerina’s. The other half of the time I was trying to make sense of why any of the plot points actually mattered. Kurt was a confusing character. Leoni even more so. Their little plot twists were not only hard to follow but didn’t add up and so left me more bewildered than satisfied. The first half of the book felt like a lead up to somewhere but the second half was so rushed it fell flat on delivering a cohesive ending. ...more,Notes are private!,0,1,1,"Mar 02, 2024","Mar 03, 2024","Mar 02, 2024",,Kindle Edition,view (with text),/book/show/63256350-liar-dreamer-thief
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Discussing Design: Improving Communication and Collaboration through Critique,"Connor, Adam",,9781491924044,,150        pp,3.89,326,"Jan 01, 2015",Jan 2015,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,my copy has about 1000 little post it tags in it. enough said,Notes are private!,0,1,1,"Feb 24, 2024",not set,"Feb 29, 2024",,ebook,view (with text),/book/show/25173297-discussing-design
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Be Eaten,"Adelmann, Maria*",0316450847,9780316450843,0316450847,291        pp,3.61,"10,119","May 31, 2022","May 31, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A little all over the place. Some parts were better than others. It felt a little….overwritten? Maybe tried a little too hard? Felt like it was tryingA little all over the place. Some parts were better than others. It felt a little….overwritten? Maybe tried a little too hard? Felt like it was trying too hard to tackle “issues” and ended up sacrificing story and plot to make a point. I wish the bachelor themed one was traded out for a real “fairy tale” but I guess the point was that these women think this is their chance at a fairy tale life? I dunno, felt like a miss in the context of the rest of the stories.Most of the other stories worked on an individual level. Wish there was a better group story that made this have more weight to it. Could have just been a collection of short stories because the urgency of the plot as a novel didn’t feel quite thereSo, yeh, some ups and some downs here for me....more",Notes are private!,0,2,1,"Feb 29, 2024","Mar 02, 2024","Feb 29, 2024",,Hardcover,view (with text),/book/show/58950713-how-to-be-eaten
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Iron Flame        (The Empyrean, #2)","Yarros, Rebecca*",,,B0C4JMJBNX,884        pp,4.35,"920,883","Nov 07, 2023","Nov 07, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I'm not gonna lie, these books get me. I am not usually a spicy book reader, but I must admit these books deliver in the fantasy story so well I dont I'm not gonna lie, these books get me. I am not usually a spicy book reader, but I must admit these books deliver in the fantasy story so well I dont even care about the swoony sex parts. the dragons, the lore, the magic...these stories are so freaking good. I have to hand to Yarros, there really is something for everyone in these books. ...more",Notes are private!,0,3,2,"not setFeb 25, 2024","Feb 26, 2024Feb 26, 2024","Feb 25, 2024",,Kindle Edition,view (with text),/book/show/150260809-iron-flame
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nestlings,"Cassidy, Nat*",1250265258,9781250265258,1250265258,293        pp,3.95,"6,617","Oct 31, 2023","Oct 31, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"the second half of the book was better than the first only in that there was more action and excitement. i do wish, overall, Cassidy had pushed everytthe second half of the book was better than the first only in that there was more action and excitement. i do wish, overall, Cassidy had pushed everything in this novel just a bit further. the gore, the horror, the creepiness, everything. I really liked where Reid's character was heading, and wish his obsession with the Deptford became more unhinged. his character arc became unbelievable because he was so wishy washy. Ana was sort of one note to me and never felt like a fully drawn character. her decisions in the end also didn't match with her attitude throughout the book.i liked the overall premise of the book, some of the passages were really well done, and the idea of the Deptford was so strong. i didnt hate reading it, but it could have been more deftly executed. which is why i gave it a three. ...more",Notes are private!,0,0,1,"Feb 23, 2024","Feb 27, 2024","Feb 23, 2024",,Paperback,view (with text),/book/show/65212029-nestlings
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,FantasticLand,"Bockoven, Mike*",1510709444,9781510709447,1510709444,272        pp,3.94,"20,683","Oct 11, 2016","Oct 11, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,But for a few chapters I found this book to be such fun and really really successful. Set in a Disney like Florida theme park after a devastating storBut for a few chapters I found this book to be such fun and really really successful. Set in a Disney like Florida theme park after a devastating storm. Tells the story of the subsequent 5 weeks and how the park and its teenage emergency employees devolved like Lord of the Flies only more horrific. I loved the interview style setup of the book. Fun read. ...more,Notes are private!,0,1,1,"Feb 19, 2024","Feb 24, 2024","Feb 19, 2024",,Hardcover,view (with text),/book/show/28695606-fantasticland
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Employees: A Workplace Novel of the 22nd Century,"Ravn, Olga",1999992881,9781999992880,1999992881,136        pp,3.68,"15,882","May 24, 2018","Oct 01, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Short read. I don’t want to call it whimsical or dreamy, but it’s very poetic. The writing is so different, and I liked that about it. It’s also kind Short read. I don’t want to call it whimsical or dreamy, but it’s very poetic. The writing is so different, and I liked that about it. It’s also kind of weird, and it makes you feel a little uneasy. I wish I could put my finger on the right word to use. Maybe that’s okay that I can’t. I am a fan of sci fi that is new and innovative and this surely hit the mark. The idea of setting up the story as a futuristic employee  is both hysterical and scary and I found it riveting to think about this This one will stick with me for a while. ...more",Notes are private!,0,1,1,"Feb 17, 2024","Feb 19, 2024","Feb 17, 2024",,Paperback,view (with text),/book/show/53780642-the-employees
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dead in Long Beach, California","Blackburn, Venita",0374602824,9780374602826,0374602824,240        pp,3.26,410,"Jan 23, 2024","Jan 23, 2024",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"**spoiler alert** When does speculative fiction become nonsense? Right here. This book. My thoughts while reading this book Oh this is a Greek chorus.**spoiler alert** When does speculative fiction become nonsense? Right here. This book. My thoughts while reading this book Oh this is a Greek chorus. Okay okay.Um. What’s this on the boat now? Wait, who’s Blank? What’s with all these lists? And how is abortion surviving the apocalypse when it can’t even survive republicans?These interstitials are…. I dont know….confusing at best and frustrating at worst. I don’t even know what’s happening anymore. Obsessive amounts of time talking about office pizza? Khadija’s two voices? Continued catfishing. I am really just confused.My mind keeps wandering…or is it the book that’s wandering and I can’t follow it? Or is it I don’t care anymore and so I’m just reading to finish?I don’t care about Khadijah or the pitbull or Coral. This is the longest last chapter of my lifeThank gosh I’m done...more",Notes are private!,0,6,1,"Feb 13, 2024","Feb 16, 2024","Feb 13, 2024",,Hardcover,view (with text),/book/show/127282888-dead-in-long-beach-california
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Love You So Much It's Killing Us Both,"Stovall, Mariah*",1593767617,9781593767617,B0CBDMGYLP,336        pp,3.59,241,"Feb 13, 2024","Feb 13, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Look. This book was so up my alley. It really gave me all the feels I could feel. I would imagine that because I listen to this music, lived in PhillyLook. This book was so up my alley. It really gave me all the feels I could feel. I would imagine that because I listen to this music, lived in Philly for most of my life (yes, during college) and understand the “scene” - I had some bit of nostalgia (and I actually hate nostalgia) for what she was writing about. No, I’m not black. Yes, I am a woman. There was a lot here to unpack. Mental health, feminism, boundaries of friendship, sexual identity, assault and exploration. And all so perfectly written. Stovall is a young author but really excited for what she has to bring to the table because she is wise beyond her years. Also the playlist. Come on. Chefs kisshttps://open.spotify.com/playlist/3IE......more",Notes are private!,1,3,1,"Feb 10, 2024","Feb 11, 2024","Feb 10, 2024",,Kindle Edition,view (with text),/book/show/185731054-i-love-you-so-much-it-s-killing-us-both
