,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Amber's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Because of Mr. Terupt        (Mr. Terupt, #1)","Buyea, Rob",038573882X,9780385738828,038573882X,269        pp,4.35,"42,992","Oct 12, 2010","Oct 12, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2024",,Hardcover,view,/book/show/7783920-because-of-mr-terupt
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Natural Genius of Ants,"Culley, Betty*",0593175778,9780593175774,0593175778,240        pp,4.12,147,unknown,"May 10, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2024",,Hardcover,view,/book/show/59446957-the-natural-genius-of-ants
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Lemonade War        (The Lemonade War, #1)","Davies, Jacqueline",0618750436,9780618750436,0618750436,177        pp,3.90,"21,269","Apr 23, 2007","Apr 23, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2024",,Hardcover,view,/book/show/1258121.The_Lemonade_War
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Grandad Mandela,"Mandela, Ambassador Zindzi",1786031361,9781786031365,1786031361,40        pp,4.08,211,unknown,"Jun 21, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2024",,Hardcover,view,/book/show/36342352-grandad-mandela
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Selfish Giant,"Wilde, Oscar",0399224483,9780399224485,0399224483,32        pp,4.09,"8,862",1888,"Mar 21, 1995",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2024",,Hardcover,view,/book/show/677552.The_Selfish_Giant
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,As Brave As You,"Reynolds, Jason",1481415905,9781481415903,1481415905,410        pp,4.05,"7,852","May 03, 2016","May 03, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2024",,Hardcover,view,/book/show/26875552-as-brave-as-you
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"[12 Essential Minerals for Cellular Health: An Introduction To Cell Salts] [By: Card, David] [October, 2014]","Card, David",,,B00VSCRLBK,0        pp,4.00,1,unknown,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 08, 2024",not set,"Mar 08, 2024",,Paperback,view,/book/show/137467347-12-essential-minerals-for-cellular-health
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"We Were Once a Family: A Story of Love, Death, and Child Removal in America","Asgarian, Roxanna",0374602298,9780374602291,0374602298,320        pp,4.34,"6,011","Mar 14, 2023","Mar 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Hardcover,view,/book/show/60784741-we-were-once-a-family
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Blood Years,"Arnold, Elana K.*",0062990853,9780062990853,0062990853,390        pp,4.34,460,"Oct 10, 2023","Oct 10, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Hardcover,view,/book/show/78296907-the-blood-years
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dubious Pranks of Shaindy Goodman,"Lowe, Mari",1646143396,9781646143399,B0C3SXBTPV,165        pp,3.87,139,"Nov 14, 2023","Nov 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Kindle Edition,view,/book/show/103512499-the-dubious-pranks-of-shaindy-goodman
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Common Rule: Habits of Purpose for an Age of Distraction,"Earley, Justin Whitmel*",0830845607,9780830845606,0830845607,204        pp,4.33,"5,792","Feb 19, 2019","Feb 19, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Paperback,view,/book/show/41252565-the-common-rule
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Failure of Nerve: Leadership in the Age of the Quick Fix,"Friedman, Edwin H.",159627042X,9781596270428,159627042X,260        pp,4.23,"1,716",unknown,"Feb 01, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 27, 2024",,Paperback,view,/book/show/151881.A_Failure_of_Nerve
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Healing Complex Children with Homeopathy,"Lemke, Angelica",1734394609,9781734394603,1734394609,454        pp,4.67,6,unknown,"Mar 30, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 27, 2024",,Paperback,view,/book/show/61828238-healing-complex-children-with-homeopathy
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Foundations of Christian Education: Addresses to Christian Teachers,"Berkhof, Louis",0875521142,9780875521145,0875521142,144        pp,3.90,94,"Jan 01, 1990","Dec 01, 1989",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 27, 2024",,Paperback,view,/book/show/1499211.Foundations_of_Christian_Education
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Bodies of Others: The New Authoritarians, COVID-19 and The War Against the Human","Wolf, Naomi*",,,B09YNZ2GXV,356        pp,4.60,684,unknown,"May 31, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 27, 2024",,Kindle Edition,view,/book/show/60916858-the-bodies-of-others
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Faith for Exiles: 5 Ways for a New Generation to Follow Jesus in Digital Babylon,"Kinnaman, David",0801013151,9780801013157,0801013151,229        pp,4.34,999,"Sep 03, 2019","Sep 03, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2024",,Hardcover,view,/book/show/38502464-faith-for-exiles
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Formation of Character        (Original Homeschooling #5),"Mason, Charlotte M.",0842313591,9780842313599,0842313591,451        pp,4.33,223,Sep 1989,"Jan 01, 1989",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 27, 2024",not set,"Jan 10, 2024",,Paperback,view,/book/show/1492117.Formation_of_Character
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Seated with Christ: Living Freely in a Culture of Comparison,"Holleman, Heather*",0802413439,9780802413437,0802413439,192        pp,4.46,932,"Sep 22, 2015","Oct 06, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,Paperback,view,/book/show/25363286-seated-with-christ
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Seat's Saved,"Holleman, Heather*",080242886X,9780802428868,080242886X,192        pp,4.61,95,unknown,"Jun 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,Paperback,view,/book/show/63347592-this-seat-s-saved
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Redeeming Vision: A Christian Guide to Looking at and Learning from Art,"Weichbrodt, Elissa Yukiko",154096597X,9781540965974,,unknown,4.55,51,unknown,"Mar 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,Paperback,view,/book/show/75451688-redeeming-vision
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Quiet Mind to Suffer With: Mental Illness, Trauma, and the Death of Christ","Bryant, John Andrew",1683597044,9781683597049,1683597044,300        pp,4.58,141,unknown,"Sep 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,Paperback,view,/book/show/125383789-a-quiet-mind-to-suffer-with
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Biblical Critical Theory: How the Bible's Unfolding Story Makes Sense of Modern Life and Culture,"Watkin, Christopher",0310128722,9780310128724,0310128722,672        pp,4.55,572,"Nov 08, 2022","Nov 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,Hardcover,view,/book/show/60693236-biblical-critical-theory
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Advent: The Season of Hope,"Warren, Tish Harrison",1514000180,9781514000182,1514000180,128        pp,4.53,573,unknown,"Aug 29, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 16, 2023",,Hardcover,view,/book/show/61723770-advent
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Adorning the Dark: Thoughts on Community, Calling, and the Mystery of Making","Peterson, Andrew*",1535949023,9781535949026,1535949023,224        pp,4.51,"5,516",Oct 2019,"Oct 15, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 11, 2023",not set,"Dec 11, 2023",,Paperback,view,/book/show/44092370-adorning-the-dark
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Modern Miss Mason,"Boden, Leah",1496458532,9781496458537,B0B57JX8Z8,218        pp,4.31,"1,926",unknown,"Jan 10, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Oct 26, 2023","Jan 10, 2024","Oct 26, 2023",,Kindle Edition,view,/book/show/61357094-modern-miss-mason
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The More Beautiful World Our Hearts Know Is Possible,"Eisenstein, Charles",1583947248,9781583947241,1583947248,288        pp,4.37,"1,807","Nov 05, 2013","Nov 05, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 01, 2023",,Paperback,view,/book/show/17345270-the-more-beautiful-world-our-hearts-know-is-possible
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wren, the Wren","Enright, Anne",1324005688,9781324005681,B0BWGJ8WQB,283        pp,3.58,"5,395","Sep 19, 2023","Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 30, 2023",,Hardcover,view,/book/show/77265006-the-wren-the-wren
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Great Dechurching: Who’s Leaving, Why Are They Going, and What Will It Take to Bring Them Back?","Davis, Jim",0310147433,9780310147435,0310147433,272        pp,3.87,755,unknown,"Aug 22, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 20, 2023",,Hardcover,view,/book/show/63354300-the-great-dechurching
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Heir of Fire        (Throne of Glass, #3)","Maas, Sarah J.*",,,,576        pp,4.46,"870,682","Sep 02, 2014","Feb 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 02, 2023",not set,"Sep 17, 2023",,Hardcover,view,/book/show/76706470-heir-of-fire
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Charlotte Mason Elementary Arithmetic Series Book 2,"Barburina, Richele R.",1616344334,,1616344334,0        pp,3.00,1,unknown,"Jan 01, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 13, 2023",not set,"Sep 13, 2023",,Hardcover,view,/book/show/80988760-the-charlotte-mason-elementary-arithmetic-series-book-2
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Horse and His Boy        (Chronicles of Narnia, #5)","Lewis, C.S.",0439861365,9780439861366,0439861365,224        pp,3.91,"350,916","Sep 06, 1954",1995,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 09, 2023",not set,"Sep 09, 2023",,Paperback,view,/book/show/84119.The_Horse_and_His_Boy
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Praying Like Monks, Living Like Fools: An Invitation to the Wonder and Mystery of Prayer","Staton, Tyler",,,B09XX2H1KL,272        pp,4.61,"6,386",unknown,"Oct 04, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 05, 2023",not set,"Sep 05, 2023",,Kindle Edition,view,/book/show/62194856-praying-like-monks-living-like-fools
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to be Your Own Selfish Pig: And Other Ways You've Been Brainwashed,"Macaulay, Susan Schaeffer",0936163380,9780936163383,0936163380,123        pp,3.97,337,"Jun 01, 1982","Jul 01, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 01, 2023",,Paperback,view,/book/show/2135707.How_to_be_Your_Own_Selfish_Pig
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vax-Unvax: Let the Science Speak,"Kennedy, Robert F. Jr.",1510766960,9781510766969,1510766960,304        pp,4.30,134,unknown,"Aug 29, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 31, 2023",,Hardcover,view,/book/show/57147004-vax-unvax
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Age of Surveillance Capitalism: The Fight for a Human Future at the New Frontier of Power,"Zuboff, Shoshana",1610395697,9781610395694,1610395697,691        pp,4.06,"11,227","Oct 04, 2018","Jan 15, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 26, 2023",,Hardcover,view,/book/show/26195941-the-age-of-surveillance-capitalism
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cloud Cuckoo Land,"Doerr, Anthony*",1982168439,9781982168438,1982168439,626        pp,4.26,"214,093","Sep 28, 2021","Sep 28, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 23, 2023",,Hardcover,view,/book/show/56783258-cloud-cuckoo-land
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Brain School: Stories of Children With Learning Disabilities And Attention Disorders Who Changed Their Lives By Improving Their Cognitive Functioning,"Eaton, Howard",0986749427,9780986749421,B00A10DZME,288        pp,4.18,51,"Nov 03, 2010","Nov 02, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 18, 2023",,Kindle Edition,view,/book/show/19428060-brain-school
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Letter to the American Church,"Metaxas, Eric*",,,B0B5FLRPVZ,6        pp,4.30,"2,168","Sep 20, 2022","Sep 20, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 03, 2023",,Audible Audio,view,/book/show/62328235-letter-to-the-american-church
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Horse Crazy        (Saddle Club, #1)","Bryant, Bonnie",,,B00HELB5S4,96        pp,3.91,"3,320","Jun 28, 1988","Mar 31, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 03, 2023",,Kindle Edition,view,/book/show/21224497-horse-crazy
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Dare You Not to Bore Me with The Bible,"Heiser, Michael S.",1577995392,9781577995395,1577995392,240        pp,4.36,410,"Jan 20, 2014","Apr 16, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 03, 2023",,Paperback,view,/book/show/20774870-i-dare-you-not-to-bore-me-with-the-bible
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Happiest Man on Earth,"Jaku, Eddie",1760980080,9781760980085,1760980080,208        pp,4.62,"79,441","Jul 28, 2020","Jul 28, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 24, 2023",,Hardcover,view,/book/show/53239311-the-happiest-man-on-earth
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Book 1: Exploration of Numbers to 100        (The Charlotte Mason Elementary Arithmetic Series, #1)","Baburina, Richele",1616344202,9781616344207,1616344202,267        pp,4.60,10,unknown,2017,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 24, 2023",not set,"Jul 24, 2023",,Hardcover,view,/book/show/41558069-book-1
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mathematics: An Instrument for Living Teaching,"Baburina, Richele",1616342013,9781616342012,1616342013,100        pp,4.00,28,"Sep 01, 2012",Sep 2012,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 24, 2023",not set,"Jul 24, 2023",,Paperback,view,/book/show/16034151-mathematics
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Chocolate Touch,"Catling, Patrick Skene",,,B00B3SPPH6,100        pp,3.84,"18,641",1952,"Jul 02, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 21, 2023","Jul 22, 2023","Jul 21, 2023",,Kindle Edition,view,/book/show/18888090-the-chocolate-touch
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Bald Bandit        (A to Z Mysteries, #2)","Roy, Ron",0679884491,9780679884491,0679884491,71        pp,4.08,"4,638","Jan 01, 1997","Sep 23, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 19, 2023","Jul 20, 2023","Jul 19, 2023",,Paperback,view,/book/show/357648.The_Bald_Bandit
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Basic Economics: A Common Sense Guide to the Economy,"Sowell, Thomas",0465002609,9780465002603,0465002609,640        pp,4.36,"12,441",2000,"Apr 03, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 18, 2023","Mar 17, 2024","Jul 18, 2023",,Hardcover,view,/book/show/3025.Basic_Economics
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Restless Devices: Recovering Personhood, Presence, and Place in the Digital Age","Song, Felicia Wu*",0830851135,9780830851133,0830851135,232        pp,4.42,175,Nov 2021,"Nov 30, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 30, 2023",,Paperback,view,/book/show/57801766-restless-devices
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,While Time Remains: A North Korean Defector's Search for Freedom in America,"Park, Yeonmi",1668003317,9781668003312,1668003317,224        pp,4.02,"3,359","Feb 14, 2023","Feb 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 28, 2023",,Hardcover,view,/book/show/61273331-while-time-remains
