,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Miss's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fault in Our Stars,"Green, John*",,,,313        pp,4.14,"5,138,704","Jan 10, 2012","Jan 10, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 28, 2023",,Hardcover,view,/book/show/11870085-the-fault-in-our-stars
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Count of Monte Cristo,"Dumas, Alexandre",0140449264,9780140449266,0140449264,"1,276        pp",4.30,"913,668","Aug 28, 1844","May 27, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 28, 2023",,Paperback,view,/book/show/7126.The_Count_of_Monte_Cristo
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Weyward,"Hart, Emilia",125028080X,9781250280800,125028080X,329        pp,4.09,"140,142","Feb 02, 2023","Mar 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 16, 2023",,Hardcover,view,/book/show/60654349-weyward
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Warrior's Apprentice        (Vorkosigan Saga, #2)","Bujold, Lois McMaster*",0743468406,9780743468404,0743468406,372        pp,4.27,"28,231",Aug 1986,2003,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"E da, ovo je već bolje! Mislim, prve dvije knjige su isto vrlo korektne, ali Pripravnika za ratnika bih svakako preporučila kao knjigu. Miles unosi svE da, ovo je već bolje! Mislim, prve dvije knjige su isto vrlo korektne, ali Pripravnika za ratnika bih svakako preporučila kao knjigu. Miles unosi svježinu u sagu, autorica opet ima svoj humor koji sam upoznala u Prokletstvu Chaliona. Radnja vuče naprijed, kompleksna je, ali nije neshvatljiva u svom politikanstvu. Jedino što su mi neki događaji zbrzani i na početku Milesovi motivi nisu do kraja jasni pa na kraju imam osjećaj da se sve 'trpa' pod želju za dokazivanjem ocu. Također, voljela bih malo više o tome kako je Miles stekao svoje vještine s obzirom na njegovu dob. Ok, genetska pozadina je jasna, posebno jer vrijedi dvostruko na Barrayjaru, ali recimo da se zna da je s majkom ili ocem razgovarao o ratovima, predano proučavao povijest... No, sve u svemu, vrlo dobro!...more",Notes are private!,0,0,1,"Dec 11, 2023","Dec 31, 2023","Dec 11, 2023",,Mass Market Paperback,view (with text),/book/show/61906.The_Warrior_s_Apprentice
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Britt-Marie Was Here,"Backman, Fredrik*",1501142534,9781501142536,1501142534,324        pp,4.09,"163,668","Oct 03, 2014","May 03, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Uf, imala sam jako visoka očekivanja od ove knjige iz dva razloga: 1. jedna jako draga osoba mi je rekla da joj je to Backmanova najdraža knjiga i 2. Uf, imala sam jako visoka očekivanja od ove knjige iz dva razloga: 1. jedna jako draga osoba mi je rekla da joj je to Backmanova najdraža knjiga i 2. Ove me je raspametio, a u Medvedgradu sam iskreno uživala. Nažalost, kako to obično ide kad puno očekuješ... Ne mogu reći da sam razočarana, ali nije mi ni blizu Oveu, a iritantno mi je koliko se preklapa s Medvedgradom (mali grad usred ničeg, ekipa okupljena oko sporta, grad se vrti oko sporta, malo krim scene...). Ok, Backmanu se mora priznati da sjajno opisuje likove i odnose, da ima tu slojevitost i da te dotakne na mnogo mjesta. Knjigu sam pročitala u nekoliko dana jer je sjajno napisana. Ali na ovom profilu si dozvoljavam subjektivnost pa, iako možda knjiga u kontekstu drugih zaslužuje i četvorku, ja trenutno nisam raspoložena za više od trojke.Edit: Sad vidim da sam Oveu dala pet, a Medvedgradu četiri tako da ipak mislim da je skroz pošteno da Britt-Marie dobije trojku....more",Notes are private!,0,1,1,"Nov 29, 2023","Jan 05, 2024","Nov 29, 2023",,Hardcover,view (with text),/book/show/27406704-britt-marie-was-here
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Barrayar        (Vorkosigan Saga, #7)","Bujold, Lois McMaster*",0743468414,9780743468411,0743468414,336        pp,4.29,"29,025",Oct 1991,"Dec 01, 2003",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Teško mi je biti objektivna prema ovoj knjizi jer je to najdraža knjiga meni najdraže osobe na svijetu, ali ipak ne mogu prestati biti čitatelj sa staTeško mi je biti objektivna prema ovoj knjizi jer je to najdraža knjiga meni najdraže osobe na svijetu, ali ipak ne mogu prestati biti čitatelj sa stavom. Rado bih joj dala više, ali Barrayar mi je ostavio dojam zanimljive, brzočitajuće knjige u kojoj znaš da će sve dobro proći za glavne junake samim time što znaš načelno o čemu je cijeli serijal. Ipak, nastavljam s ostalim knjigama, idemo vidjeti ima li u njima nešto više....more",Notes are private!,0,0,1,"Nov 29, 2023","Dec 11, 2023","Nov 29, 2023",,Paperback,view (with text),/book/show/61905.Barrayar
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Shards of Honour        (Vorkosigan Saga, #1)","Bujold, Lois McMaster*",0743468422,9780743468428,0743468422,253        pp,4.07,"37,004","Jan 01, 1986","Dec 01, 2003",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Nakon sto godina premišljanja konacno sam uzela ovaj serijal autorice Bujold i s prvom knjigom je donekle opravdao očekivanja. Brzo se čita, zanimljivNakon sto godina premišljanja konacno sam uzela ovaj serijal autorice Bujold i s prvom knjigom je donekle opravdao očekivanja. Brzo se čita, zanimljiva, likovi dobro opisani, detalja taman dovoljno, brutalnosti isto tako - dobra uvertira za daljnje knjige od kojih ipak očekujem malo više složenosti u radnji i malo više slojevitosti....more",Notes are private!,0,2,1,"Nov 21, 2023","Nov 29, 2023","Nov 21, 2023",,Paperback,view (with text),/book/show/61903.Shards_of_Honour
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All I Really Need to Know I Learned in Kindergarten,"Fulghum, Robert",034546639X,9780345466396,034546639X,221        pp,4.00,"23,658",1986,"May 04, 2004",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Neke knjige nađeš, a druge te nađu. Ova spada u drugu kategoriju. Ne znam kako se uopće našla kod mene doma, gdje sam ju kupila i kako sam ju u hrpi kNeke knjige nađeš, a druge te nađu. Ova spada u drugu kategoriju. Ne znam kako se uopće našla kod mene doma, gdje sam ju kupila i kako sam ju u hrpi knjiga izvukla, ali to je knjiga koju sam tražila ove godine. Topla, pozitivna, pametna, kratka (što je važno s obzirom na moje ograničeno vrijeme), slatka, poučna. Knjiga čije citate poželim zapisati, prepisati, podijeliti (tetovirati?). Knjiga koja me rasplakala. Knjiga koju sam čitala mužu, koju ću čitati djeci. Knjiga koju ću pokloniti jednoj dragoj osobi za Božić. Skupa s paketom bojica ♥️. Prekrasno! Jedva čekam da se čitamo opet!...more",Notes are private!,1,2,1,"Nov 10, 2023","Dec 18, 2023","Nov 10, 2023",,Paperback,view (with text),/book/show/34760.All_I_Really_Need_to_Know_I_Learned_in_Kindergarten
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Plemeniti gospodin u Moskvi,"Towles, Amor*",,9789531426138,,526        pp,4.33,"543,386","Sep 06, 2016",Sep 2019,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 28, 2023",not set,"Oct 28, 2023",,Paperback,view,/book/show/52733006-plemeniti-gospodin-u-moskvi
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kad je Niče plakao,"Yalom, Irvin D.",,9788644705451,8644705458,381        pp,4.36,"71,826",1992,2011,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Nietzsche je za mene uvijek predstavljao jednu od najzanimljivijih ličnosti iz svijeta filozofije, uvijek mi je ostao nedokučen i nekako dalek i stranNietzsche je za mene uvijek predstavljao jednu od najzanimljivijih ličnosti iz svijeta filozofije, uvijek mi je ostao nedokučen i nekako dalek i stran. Ova knjiga pruza jedan sasvim drugi prikaz različitih dobrobiti koje njegova filozofija pruža. S druge strane je nevjerojatno zanimljiva i lagana sa čitanje s obzirom na to što bi netko očekivao od knjige koja se bavi tom temom. Rekla bih genijalno odrađeno, veselim se idućim knjigama istog autora!...more",Notes are private!,0,3,1,"Sep 28, 2023","Nov 29, 2023","Sep 28, 2023",,Paperback,view (with text),/book/show/7671672-kad-je-ni-e-plakao
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Evidence-Based Habit Building: Finally Get Sh*t Done,"Davis, Dr. Melissa",,,B09GKTCFJX,172        pp,4.67,12,unknown,"Sep 16, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 28, 2023",,Kindle Edition,view,/book/show/59138955-evidence-based-habit-building
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Otok morskih žena,"See, Lisa*",,9789533720067,,456        pp,4.31,"119,800","Mar 05, 2019",May 2022,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Jako sam se dvoumila treba li ova knjiga dobiti trojku ili četvorku jer je zaista jako dobra. Osim što se iz nje može puno naučiti o Koreji, povijestiJako sam se dvoumila treba li ova knjiga dobiti trojku ili četvorku jer je zaista jako dobra. Osim što se iz nje može puno naučiti o Koreji, povijesti i otoku koji je meni do knjige bio nepoznat (a sad je na bucket listi za putovanja), može se mnogo naučiti i o prijateljstvu, ustrajnosti, požrtvovnosti i ženskoj snazi. Priča prekrasno teče, na dijelovima je užasno potresna, povijest je jako zanimljivo uklopljena. Ipak, ono što mi je ostalo kao da strši je dio priče koji se odnosi na otkrivanje istine, odnosno onaj dio priče koji se događa u sadašnjosti. Taj dio je nedovoljno dobro uklopljen, rasplet je previše brz i književno je lošiji od ostatka knjige. Ukupno, ocjena 3,5, zvjezdice 4....more",Notes are private!,0,1,1,"Jul 27, 2023","Aug 20, 2023","Jul 27, 2023",,Paperback,view (with text),/book/show/62138388-otok-morskih-ena
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Čovjek koji je ubio Getulija Vargasa,"Soares, Jô",,9789533037882,,313        pp,3.81,"1,253","Jan 01, 1998",unknown,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Hm, ne znam što bih mislila. Autoru se svakako ne može osporiti smisao za humor, ironiju i satiru. Također, kako bi se fikciju uklopilo u povijest potHm, ne znam što bih mislila. Autoru se svakako ne može osporiti smisao za humor, ironiju i satiru. Također, kako bi se fikciju uklopilo u povijest potrebno je ipak imati znanje i sposobnost šireg pregleda. Ipak, ne mogu izbjeći subjektivnost jer ne volim taj 'humor karaktera' ili kako se to već zove (mr. bean stil). A s obzirom da je ovo moj profil, bez daljnjeg pojašnjenja -3, s tri zvjezdice....more",Notes are private!,0,1,1,"Jun 02, 2023","Aug 20, 2023","Jun 02, 2023",,Paperback,view (with text),/book/show/24642024-ovjek-koji-je-ubio-getulija-vargasa
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tri nevjerojatne stvari o tebi,"Mansell, Jill",,9789533433745,,352        pp,4.14,"8,325","Jan 15, 2015","Jun 30, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Može se živjeti i bez da se pročita ova knjiga. Tako bih ja to sumirala. Tipično lagano štivo, za plažu i razbibrigu. Trojka samo zato što me povukla Može se živjeti i bez da se pročita ova knjiga. Tako bih ja to sumirala. Tipično lagano štivo, za plažu i razbibrigu. Trojka samo zato što me povukla da ju pročitam u danu, inače je priča prilično predvidljiva, nije slojevita i zapravo te ne uspije dotaknuti....more",Notes are private!,0,1,1,"Jun 02, 2023","Jul 19, 2023","Jun 02, 2023",,Mass Market Paperback,view (with text),/book/show/30109037-tri-nevjerojatne-stvari-o-tebi
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Istočno od sunca,"Gregson, Julia*",,9788652103454,8652103453,577        pp,3.71,"8,224",Dec 2007,"May 12, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"**spoiler alert** Korektno. To je prvo što mi pada na pamet kad pomislim kako komentirati ovu knjigu. Knjiga dobro prikazuje englesko društvo tog doba**spoiler alert** Korektno. To je prvo što mi pada na pamet kad pomislim kako komentirati ovu knjigu. Knjiga dobro prikazuje englesko društvo tog doba, Indiju i događanja u njoj puno lošije. Likovi su dobro prikazani, pogotovo tri glavne junakinje te se može dobiti dobar dojam o tome kakve su. Ipak, meni je najveći problem lik Guya Glovera. Bespotrebno ubačen, nedorečen, nedovršen, a kao važan za radnju. Knjiga je mogla potpuno bez njega. A najgori dio mi je taj s otmicom gdje ona pobjegne, ali otmičari ju više nikad ne potraže. Autorica se trebala držati stila povijesnog romana, ovaj izlet u krimi stilu je potpuno bezvezan i nepotreban. Ocjena 2,5, ali prema trojci, pa nek budu 3 zvjezdice....more",Notes are private!,0,1,1,"Jun 02, 2023","Aug 20, 2023","Jun 02, 2023",,Paperback,view (with text),/book/show/17617716-isto-no-od-sunca
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Adı: Aylin,"Kulin, Ayşe",9751405998,9789751405999,9751405998,328        pp,3.90,"5,711",Jul 1997,Jul 1997,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Nisam upoznata s ovom turskom junakinjom, malo sam kasnije pretraživala po internetu, ali nema puni informacija pa mi je pomalo ostalo nedorečeno zaštNisam upoznata s ovom turskom junakinjom, malo sam kasnije pretraživala po internetu, ali nema puni informacija pa mi je pomalo ostalo nedorečeno zašto je potrebna biografija jer, iako je život bio zanimljiv, nisam dobila dojam da je to važna povijesna ličnost za koju se treba znati. No, na stranu to - knjiga je dobra. Lako se čita, zanimljiva je, ima puno likova, ali je književno dobro složena pa nije problem pratiti radnju. Prikazi sporednih likova iz prvog lica su vrlo dobro uklopljeni i zapravo sam uživala čitajući. Ipak, nije knjiga bez koje se ne može, više ide u popis lakog štiva, tako da jedna fina, čvrsta trojka....more",Notes are private!,0,1,1,"Jun 02, 2023","Aug 20, 2023","Jun 02, 2023",,Paperback,view (with text),/book/show/190394.Ad_
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Orange Is the New Black,"Kerman, Piper*",0385523386,9780385523387,0385523386,322        pp,3.72,"200,989","Apr 06, 2010","Apr 06, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Knjiga je zanimljiva i lako se čita, daje uvid u neke svjetove koji su nam daleki. Nije osuđujuća, inkluzivna je i ima izrazito pozitivan ton. Ipak, mKnjiga je zanimljiva i lako se čita, daje uvid u neke svjetove koji su nam daleki. Nije osuđujuća, inkluzivna je i ima izrazito pozitivan ton. Ipak, mislim da se temi moglo pristupiti i na dubljoj razini, pruziti jos vise informacija o zatvorskom sustavu, negativnim iskustvima, problemima, emocijama. Ovo je prilično površno rješenje stoga trojka....more",Notes are private!,0,2,1,"Jun 02, 2023","Jul 19, 2023","Jun 02, 2023",,Hardcover,view (with text),/book/show/6314763-orange-is-the-new-black
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Himself,"Kidd, Jess*",1501166093,9781501166099,1501166093,384        pp,3.92,"13,486","Mar 14, 2017","Mar 21, 2017",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Dvoumila sam se između dvojke i trojke, ali s obzirom da je ovo roman/krimic koji bi se trebao lako citati, a da se ja s njim patim vise od mjesec danDvoumila sam se između dvojke i trojke, ali s obzirom da je ovo roman/krimic koji bi se trebao lako citati, a da se ja s njim patim vise od mjesec dana, ipak dvojka. Ima stvarno dobrih dijelova, na mahove i literarne kvalitete, ali je priča naporna i tinejdžerska. Slobodno preskočiti!...more",Notes are private!,0,0,1,"May 31, 2023","May 31, 2023","May 31, 2023",,Paperback,view (with text),/book/show/33023729-himself
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Novi car : uspon i vladavina Vladimira Putina,"Myers, Steven Lee",,,,477        pp,4.07,"5,214","Jan 14, 2014",2017,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Moj ukupni dojam jest - vau, kakva biografija. Autor je genijalno prikazao ne samo Putinov kompleksni lik i njegov razvoj, nego i njegovo okruženje, aMoj ukupni dojam jest - vau, kakva biografija. Autor je genijalno prikazao ne samo Putinov kompleksni lik i njegov razvoj, nego i njegovo okruženje, ali političku, ekonomsku i kulturnu situaciju u Rusiji. Knjiga je pisana jako čitko, autor suptilno ponavlja nćeke detalje da čitatelje podsjeti na događaje i likove, prepuna je konkretnih informacija, a različiti izvori su nenametljivo uklopljeni u tekst. Književno je ovo fantastično odrađeno. S obzirom na aktualna događanja, nemoguće je ne komentirati saznanja iz knjige s okolinom tako da sam redovito gnjavila muža čitajući mu najzanimljivije dijelove. Ostala sam fascinirana koliko interesa i zlobe može postojati u svijetu, ali i dobila širi dojam o Rusiji i ruskom društvu. Također, stvorila sam svoje mišljenje o Putinu i njegovim motivima. S radošću sam završila knjigu i vratila ju u knjižnicu jer sam Putinov lik na naslovnici mi je budio nemir - nisam ju voljela imati u sobi u kojoj boravim. Apsolutno sve preporuke!...more",Notes are private!,0,4,1,"Apr 10, 2023","Aug 22, 2023","Apr 10, 2023",,Hardcover,view (with text),/book/show/55289933-novi-car
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Zelena svjetla,"McConaughey, Matthew*",,9789530621749,,304        pp,4.21,"328,424","Oct 20, 2020",2022,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"U godini kada intenzivnije čitam (auto)biografije, na red je došla i ova poznata, hvaljena. Međutim, moje oduševljenje je uvelike izostalo. Iako je MMU godini kada intenzivnije čitam (auto)biografije, na red je došla i ova poznata, hvaljena. Međutim, moje oduševljenje je uvelike izostalo. Iako je MM iskren i neposredan, meni tu ipak nedostaje književne kvalitete i previše ide u nekom smjeru samopomoći, ali nekako uskogrudno i pomalo nadmeno. Sve u svemu, u konkurenciji ostalih, trojka....more",Notes are private!,0,1,1,"Apr 10, 2023","May 31, 2023","Apr 10, 2023",,Paperback,view (with text),/book/show/61306924-zelena-svjetla
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Voljela sam Staljina - i on mene!,"Orlova, Ljubov",,9789533136363,,unknown,2.88,16,unknown,Jun 2018,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ocijeniti knjigu poput ove nije nimalo lako, ali ono što sam ja tražila u njoj je da vidim način razmišljanja i saznam neke nove informacije iz perspeOcijeniti knjigu poput ove nije nimalo lako, ali ono što sam ja tražila u njoj je da vidim način razmišljanja i saznam neke nove informacije iz perspektive nekog 's druge strane'. Ujedno je to i moj kriterij za ocjenjivanje ove knjige pa se može reći da je to trojka na skali do pet....more",Notes are private!,0,2,1,"Apr 10, 2023","May 31, 2023","Apr 10, 2023",,,view (with text),/book/show/41745959-voljela-sam-staljina---i-on-mene
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Of Mice and Men,"Steinbeck, John",0142000671,9780142000670,0142000671,107        pp,3.88,"2,546,805","Feb 25, 1937",2002,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2023",,Paperback,view,/book/show/890.Of_Mice_and_Men
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Da Vinci Code        (Robert Langdon, #2)","Brown, Dan*",,,,489        pp,3.91,"2,351,688","Mar 18, 2003","Mar 28, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 23, 2023",,Paperback,view,/book/show/968.The_Da_Vinci_Code
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Chronicles of Narnia        (The Chronicles of Narnia, #1-7)","Lewis, C.S.",0066238501,9780066238500,0066238501,767        pp,4.27,"650,851",1956,2014,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2023",,Paperback,view,/book/show/11127.The_Chronicles_of_Narnia
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book Thief,"Zusak, Markus*",,,0375831002,592        pp,4.39,"2,557,581","Sep 01, 2005","Mar 14, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2023",,Kindle Edition,view,/book/show/19063.The_Book_Thief
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pet jezika ljubavi: Tajna ljubavi koja traje,"Chapman, Gary",9531415331,9789531415330,,248        pp,4.27,"429,519",1990,Jan 2014,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 23, 2023",not set,"Mar 23, 2023",,Paperback,view,/book/show/29070734-pet-jezika-ljubavi
